C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:18:34

Vmag< 11&dec< 0&rah >=9.5&rah< 9.75
-----------------------------------

Number of objects : 7080

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
1326|TYC 5486-318-1                                                        |Star                              |09 43 03.9496576944 -13 36 32.660983260|248.6098630564620 +28.7906017569396|   3.373 -6.227   |10.719   |~              |    ~     ~    
1327|TYC 5486-369-1                                                        |Star                              |09 43 42.7016545728 -13 53 20.139064296|248.9667327959251 +28.7196433480732| -17.732 -1.252   |10.433   |~              |    ~     ~    
1328|TYC 5486-521-1                                                        |Star                              |09 43 53.7330836136 -14 05 17.423544948|249.1690932399246 +28.6188292903720|   6.259 -9.201   |10.084   |~              |    ~     ~    
1329|TYC 5486-764-1                                                        |Star                              |09 44 21.1864840320 -13 59 55.583303172|249.1787845050320 +28.7610773118010|   -4.369 0.131   |10.239   |~              |    ~     ~    
1330|HD 82943                                                              |High Proper Motion Star           |09 34 50.7353072232 -12 07 46.369202196|245.8426084121352 +28.2511789872013| 1.440 -174.330   |6.53     |F9VFe+0.5      |    ~     ~    
1331|HD 82889                                                              |Double or Multiple Star           |09 34 26.0703632808 -13 52 00.591664044|247.2609950960973 +27.0471330191860| -14.772 -4.539   |8.57     |A0V            |0.0050  0.0    
1332|HD 82926                                                              |Star                              |09 34 40.0335412968 -14 24 25.115042052|247.7600802297475 +26.7359855924469|-12.706 -19.313   |9.74     |K(2)(III)      |    ~     ~    
1333|HD 82771                                                              |Star                              |09 33 48.6159740280 -14 42 46.978274808|247.8659999366866 +26.3786310761843|  -31.407 9.314   |10.32    |F5/6V          |    ~     ~    
1334|HD 82824                                                              |Star                              |09 34 12.6624845904 -15 23 07.159229232|248.5008609516100 +26.0087711551492| 14.773 -22.274   |9.58     |K0IV           |    ~     ~    
1335|HD 82890                                                              |Star                              |09 34 32.2772636568 -15 02 13.204190184|248.2672995950383 +26.2978984937629|  -21.014 3.143   |9.45     |A3III          |    ~     ~    
1336|HD 82945                                                              |Star                              |09 34 49.8767967240 -15 26 42.565159068|248.6608337066955 +26.0813475926252| -16.720 -0.629   |10.69    |A8/9V          |    ~     ~    
1337|HD 83074                                                              |High Proper Motion Star           |09 35 34.0333338528 -14 48 09.331355304|248.2537999889729 +26.6394016003817|-175.365 79.511   |10.047   |G3V            |    ~     ~    
1338|HD 83131                                                              |Star                              |09 36 02.4391755984 -15 03 32.012151732|248.5533898950276 +26.5557004519627|  4.667 -21.705   |8.87     |K0III          |    ~     ~    
1339|HD 82806                                                              |Star                              |09 34 04.1587114728 -15 41 03.152346828|248.7250721749373 +25.7855722939969|    2.171 2.484   |8.74     |K0III          |    ~     ~    
1340|HD 82998                                                              |Red Giant Branch star Candidate   |09 35 05.8917743520 -16 00 26.045630280|249.1757642789352 +25.7564416664372|  -9.412 -5.276   |9.53     |K0III          |    ~     ~    
1341|HD 83075                                                              |Star                              |09 35 36.2102041776 -16 04 39.484919712|249.3238607978556 +25.8001609736248| -23.975 -0.009   |9.09     |G8III/IV       |    ~     ~    
1342|V* X Hya                                                              |Mira Variable                     |09 35 30.2667472344 -14 41 28.610073456|248.1489974349742 +26.7014492624108|-51.970 -11.367   |7.20     |M7-8+e         |    ~     ~    
1343|BD-13 2886                                                            |High Proper Motion Star           |09 34 05.8294907544 -13 52 33.095508600|247.2086478373154 +26.9792324465511|-65.049 -43.735   |10.11    |~              |    ~     ~    
1344|BD-15 2835                                                            |Star                              |09 34 17.7118010856 -15 50 58.601067864|248.9026297719581 +25.7167555595396| -39.182 14.059   |10.28    |~              |    ~     ~    
1345|BD-15 2836                                                            |Star                              |09 34 32.0354312304 -15 52 57.767218572|248.9723918326532 +25.7377726619207| -12.759 10.268   |10.36    |~              |    ~     ~    
1346|BD-14 2885                                                            |Star                              |09 34 10.2252423384 -14 40 15.569205636|247.8944489232594 +26.4719332948984| -2.786 -24.823   |10.31    |~              |    ~     ~    
1347|BD-15 2834                                                            |Star                              |09 34 11.5204726824 -16 01 22.195431768|249.0282057887068 +25.5833155327155| -20.451 10.252   |10.37    |~              |    ~     ~    
1348|BD-14 2887                                                            |Star                              |09 34 20.3976820896 -14 41 44.805536016|247.9454243190759 +26.4865487453118|  -38.895 2.364   |10.32    |~              |    ~     ~    
1349|BD-14 2891                                                            |Star                              |09 35 18.6232426536 -15 18 15.003533952|248.6282946707803 +26.2612453164132|   5.275 -8.402   |10.48    |~              |    ~     ~    
1350|BD-13 2892                                                            |Star                              |09 35 53.6770579152 -14 17 45.128861880|247.8853287913716 +27.0330313834528|   -3.397 4.060   |10.55    |~              |    ~     ~    
1351|HD 83753                                                              |Star                              |09 40 13.9919494944 -14 04 41.039945976|248.4858934622878 +27.9654765752130|  2.973 -23.193   |8.70     |K1/2III        |    ~     ~    
1352|HD 83893                                                              |Star                              |09 41 01.8421902744 -14 04 49.224057420|248.6337713125689 +28.1081902832275|   -6.647 4.590   |9.968    |G8/K1IV/V      |    ~     ~    
1353|HD 84145                                                              |Star                              |09 42 43.2655945008 -14 07 37.242104556|248.9842725588779 +28.3817324231300| 28.089 -23.404   |8.78     |K0III          |    ~     ~    
1354|BD-13 2933                                                            |Star                              |09 43 49.7419207920 -14 11 30.575771304|249.2440756858327 +28.5371700198638|   4.899 -6.812   |10.117   |~              |    ~     ~    
1355|HD 83176                                                              |Star                              |09 36 13.5962434848 -14 29 11.740697952|248.1057812247735 +26.9677870562946|   4.958 -5.068   |9.484    |K2III          |    ~     ~    
1356|HD 83228                                                              |Star                              |09 36 30.6781752384 -14 26 09.062517156|248.1140502398333 +27.0530548425647|-46.630 -13.679   |9.64     |F3V            |    ~     ~    
1357|HD 83229                                                              |Star                              |09 36 32.8218201600 -14 29 20.419824768|248.1652786475197 +27.0244502883093|  8.832 -19.911   |10.00    |F6/8(V)        |    ~     ~    
1358|HD 83635                                                              |High Proper Motion Star           |09 39 35.1034661328 -14 23 34.938043908|248.6334592080305 +27.6386180571592|-98.800 -78.447   |9.393    |G5V            |    ~     ~    
1359|* kap Hya                                                             |Variable Star                     |09 40 18.3649593 -14 19 56.267439      |248.7137343019 +27.8093022092      |  -23.41 -21.10   |5.052    |B3/5IV/V       |    ~     ~    
1360|HD 83177                                                              |Star                              |09 36 12.3329374704 -14 48 38.207079504|248.3746563279027 +26.7498956560398|  -18.590 4.207   |9.17     |A9V            |    ~     ~    
1361|HD 83257                                                              |Star                              |09 36 44.7320862144 -14 38 46.648431636|248.3333511069042 +26.9565106210411|  -6.904 -7.107   |9.63     |F0V            |    ~     ~    
1362|HD 83344                                                              |Star                              |09 37 18.4164313656 -14 51 04.057009992|248.6063164902732 +26.9224099897240| -1.685 -14.003   |7.96     |A3IV           |    ~     ~    
1363|HD 83496                                                              |Star                              |09 38 28.0012139616 -15 37 50.443625172|249.4659238847838 +26.6111141080582|   -8.309 2.763   |9.46     |A0V            |    ~     ~    
1364|HD 83537                                                              |High Proper Motion Star           |09 38 51.0026362704 -15 13 39.452431008|249.1996685161346 +26.9494737142183| -23.564 96.134   |10.00    |F5V            |    ~     ~    
1365|HD 83593                                                              |Star                              |09 39 20.3534661648 -15 11 22.369649964|249.2565008968978 +27.0626676966739| -35.733 17.467   |9.82     |F3V            |    ~     ~    
1366|HD 83732                                                              |Star                              |09 40 12.9858636456 -15 10 38.188940664|249.4056451716126 +27.2279891466996| -16.582 -7.038   |9.39     |F3/5V          |    ~     ~    
1367|HD 83793                                                              |Star                              |09 40 23.7944934240 -15 08 56.438097828|249.4148826530683 +27.2791838039419|  -17.426 0.301   |10.03    |K2(III)        |    ~     ~    
1368|CSI-14 2914 2                                                         |Star                              |09 40 27.9 -15 09 04                   |249.4291 +27.2900                  |            ~ ~   |10.5     |~              |    ~     ~    
1369|HD 83773                                                              |Star                              |09 40 26.2495495776 -15 33 44.181164628|249.7661773859696 +27.0086995599953|  -13.986 1.570   |9.63     |K0III          |    ~     ~    
1370|HD 83913                                                              |Star                              |09 41 08.9757854544 -15 11 40.705190484|249.5903557237274 +27.3830813558827| -11.593 15.466   |10.03    |F5V            |    ~     ~    
1371|HD 84025                                                              |Star                              |09 41 56.3964071832 -15 26 16.811430864|249.9374297385476 +27.3597622378581| -25.099 -6.201   |8.38     |K0III          |    ~     ~    
1372|HD 84065                                                              |Star                              |09 42 07.7706254016 -15 02 08.877256260|249.6375103714507 +27.6648888184771| -32.827 -8.779   |10.024   |F3V            |    ~     ~    
1373|HD 84130                                                              |Star                              |09 42 29.0557288536 -14 59 17.738424168|249.6630780350998 +27.7602062344719| 12.339 -21.988   |9.251    |G2/3V          |    ~     ~    
1374|HD 84131                                                              |Star                              |09 42 32.4375860640 -15 01 14.256783732|249.7004536104133 +27.7484238208187| -25.902 -1.958   |7.87     |A2IV           |    ~     ~    
1375|HD 84146                                                              |Star                              |09 42 40.1061417672 -14 39 30.726107784|249.4213227796621 +28.0152387183008|  1.625 -16.848   |9.993    |F3/5V          |    ~     ~    
1376|HD 84270                                                              |High Proper Motion Star           |09 43 41.7039502728 -15 10 17.069693844|250.0390286798009 +27.8517806351500| -98.889 54.543   |8.53     |F7V            |    ~     ~    
1377|HD 83375                                                              |Star                              |09 37 42.0891551784 -15 41 59.893168272|249.3857100333544 +26.4278726888461|-10.688 -15.521   |7.69     |K0III          |    ~     ~    
1378|HD 83481                                                              |High Proper Motion Star           |09 38 22.3571221728 -15 46 16.762515168|249.5656865661520 +26.5000738499428|-67.296 -34.922   |8.95     |G2V            |    ~     ~    
1379|HD 83620                                                              |High Proper Motion Star           |09 39 30.2637174264 -15 57 42.341468292|249.9277344515030 +26.5737340679537|  -50.446 6.598   |8.33     |F2IV           |    ~     ~    
1380|HD 83733                                                              |Star                              |09 40 13.9186471992 -15 54 07.419180384|250.0102752055792 +26.7431912245379|  -32.489 4.067   |9.81     |F2V            |    ~     ~    
1381|HD 84081                                                              |High Proper Motion Star           |09 42 17.0050405656 -15 55 13.527845904|250.3996515181467 +27.0939842053963|-31.897 -50.902   |7.75     |K0/1(III)      |    ~     ~    
1382|HD 84082                                                              |Star                              |09 42 17.4657122256 -15 59 47.408968788|250.4638012051358 +27.0437022720630|   3.602 -3.979   |8.17     |A0/1V          |    ~     ~    
1383|HD 84114                                                              |Star                              |09 42 29.1013200648 -15 51 52.258937868|250.3904726730688 +27.1675285673031|  2.772 -21.877   |8.26     |K0III          |    ~     ~    
1384|HD 84409                                                              |Star                              |09 44 50.8249427808 -16 12 02.729162232|251.1024793110772 +27.3534649718685|  -31.081 9.900   |9.01     |F3V            |    ~     ~    
1385|HD 83428                                                              |Star                              |09 37 56.6125291032 -16 14 10.748876568|249.8731357185129 +26.1116242961982| -19.965 12.642   |8.27     |K0III          |    ~     ~    
1386|BD-15 2867                                                            |Long-Period Variable Candidate    |09 40 17.5463847312 -16 20 51.187941888|250.3885695246283 +26.4529248061194|  -19.322 3.486   |8.66     |M3III          |    ~     ~    
1387|HD 84223                                                              |Star                              |09 43 18.5494965288 -16 19 41.684137500|250.9233902215684 +26.9969536111430|  -6.848 -1.376   |9.03     |K0/1III        |    ~     ~    
1388|HD 84302                                                              |Star                              |09 44 00.6042788208 -16 28 56.493021900|251.1786078124760 +27.0142991353766| 40.175 -24.611   |9.09     |K0/1III/IV     |    ~     ~    
1389|HD 84421                                                              |Star                              |09 44 55.4600768568 -16 18 43.008737220|251.2079269265764 +27.2907749528533|  -5.962 -6.507   |9.34     |K1III          |    ~     ~    
1390|HD 84422                                                              |Star                              |09 44 55.5808556232 -16 33 12.787916616|251.4059170469869 +27.1253415342759| -18.472 -1.708   |9.51     |K0IV           |    ~     ~    
1391|BD-13 2908                                                            |Star                              |09 38 29.0729370480 -14 16 51.913109820|248.3392576553413 +27.5137945180663|  -2.813 -2.005   |10.399   |~              |    ~     ~    
1392|BD-15 2854                                                            |Star                              |09 38 51.6538933800 -16 14 52.217938752|250.0476646412617 +26.2668246785615| -10.257 12.538   |10.065   |~              |    ~     ~    
1393|BD-13 2918                                                            |Star                              |09 40 21.2306711928 -14 12 10.616589504|248.6133986145759 +27.9041465859820| -13.491 10.278   |10.269   |~              |    ~     ~    
1394|BD-13 2919                                                            |Star                              |09 40 36.1562009280 -14 29 03.062191308|248.8957409262608 +27.7613755017266| -12.951 -5.657   |10.278   |~              |    ~     ~    
1395|BD-15 2876                                                            |Star                              |09 42 30.9681205248 -16 01 05.939013828|250.5230230090361 +27.0685772970371|  -17.216 0.745   |9.42     |~              |    ~     ~    
1396|BD-14 2926                                                            |Star                              |09 42 31.0069298448 -14 56 11.597193564|249.6259049220863 +27.8008699335230|  -22.076 6.222   |9.96     |~              |    ~     ~    
1397|BD-15 2877                                                            |Double or Multiple Star           |09 42 43.131672 -16 01 01.29612        |250.559148633 +27.105186397        |    -109.1 24.3   |10.52    |~              |    ~     ~    
1398|BD-14 2935                                                            |Star                              |09 43 55.1209699848 -14 47 30.737038200|249.7640232760773 +28.1484382276043| -6.918 -30.833   |10.078   |~              |    ~     ~    
1399|BD-14 2936                                                            |Star                              |09 44 15.9134397576 -14 47 38.188500864|249.8300376376091 +28.2087253508657|  -7.741 -1.870   |9.95     |~              |    ~     ~    
1400|BD-15 2887                                                            |Star                              |09 44 31.3712478720 -16 19 08.579637804|251.1394976371102 +27.2157488973894|  -44.465 0.198   |10.16    |~              |    ~     ~    
1401|BD-13 2897                                                            |Star                              |09 36 47.8063769952 -14 31 37.291329192|248.2421579316115 +27.0446918559148|  2.705 -24.012   |9.80     |~              |    ~     ~    
1402|BD-13 2898                                                            |Star                              |09 36 49.0934599632 -14 33 24.812109900|248.2711656581711 +27.0288364107383| -23.010 21.912   |10.541   |~              |    ~     ~    
1403|BD-14 2905                                                            |Star                              |09 37 40.0400159136 -15 24 04.448659104|249.1310756740928 +26.6212701087204|  -1.705 -8.864   |10.378   |~              |    ~     ~    
1404|TYC 6043-703-1                                                        |Star                              |09 37 40.2921918792 -16 00 17.844538860|249.6331393104526 +26.2183837657846| -0.579 -15.680   |10.69    |~              |    ~     ~    
1405|BD-13 2906                                                            |High Proper Motion Star           |09 37 44.3532851472 -14 14 23.142513336|248.1695724143226 +27.4058591581088|  0.843 -55.737   |10.43    |~              |    ~     ~    
1406|TYC 6043-799-1                                                        |Star                              |09 37 46.1665829160 -16 02 04.429477356|249.6752079995835 +26.2160021246293|   -7.831 0.924   |10.65    |~              |    ~     ~    
1407|BD-15 2845                                                            |Star                              |09 37 47.3625941088 -16 07 52.990690980|249.7588248462444 +26.1546243630122|-11.294 -23.897   |10.10    |~              |    ~     ~    
1408|BD-13 2911                                                            |Star                              |09 39 05.0457462408 -14 32 58.590795588|248.6741831773918 +27.4438976513196|   -4.240 5.800   |10.197   |~              |    ~     ~    
1409|BD-15 2858                                                            |Star                              |09 39 22.8619378104 -16 02 42.499291020|249.9743128514039 +26.4956696512746|  22.857 -7.366   |9.722    |~              |    ~     ~    
1410|BD-14 2911                                                            |Star                              |09 40 04.7903652912 -15 30 17.900618688|249.6535556236189 +26.9835101993128|  -9.856 -1.728   |10.71    |~              |    ~     ~    
1411|BD-14 2916                                                            |Star                              |09 40 36.6910326768 -15 32 08.105798688|249.7757099289908 +27.0576577881257| -10.075 -3.144   |10.71    |~              |    ~     ~    
1412|BD-14 2917                                                            |Spectroscopic Binary              |09 40 52.0300298040 -14 57 43.004677140|249.3445677003809 +27.4889508461437| -45.493 -6.421   |10.395   |~              |    ~     ~    
1413|BD-14 2918                                                            |Star                              |09 40 54.3294233736 -14 56 39.151580856|249.3367463380359 +27.5077164645788|  -3.993 -2.258   |10.064   |~              |    ~     ~    
1414|BD-15 2871                                                            |Star                              |09 42 06.4103788368 -16 01 24.195992160|250.4522237057591 +26.9929389423857|  -13.382 4.525   |9.69     |~              |    ~     ~    
1415|BD-14 2923                                                            |Star                              |09 42 09.7490339544 -15 36 56.937169044|250.1256734668406 +27.2790204955656| -34.545 27.727   |10.445   |~              |    ~     ~    
1416|BD-14 2924                                                            |Star                              |09 42 24.8129034864 -15 38 22.099514208|250.1913195342550 +27.3074813243850|  -11.513 6.683   |10.34    |~              |    ~     ~    
1417|TYC 5486-95-1                                                         |Star                              |09 42 44.5302929664 -14 57 46.322904852|249.6893819252027 +27.8233177449702| -43.406 -3.066   |10.69    |~              |    ~     ~    
1418|TYC 6043-893-1                                                        |Star                              |09 42 52.4933278728 -16 21 34.142904972|250.8692908766983 +26.8994666837265| -10.282 15.111   |10.368   |~              |    ~     ~    
1419|BD-14 2934                                                            |Star                              |09 43 52.7450341968 -15 36 49.138483860|250.4398411696246 +27.5841071729666| -5.514 -15.855   |10.22    |~              |    ~     ~    
1420|TYC 6043-670-1                                                        |Star                              |09 38 02.3134048728 -16 13 38.944554636|249.8829090060359 +26.1344540723982|   -7.987 4.382   |10.71    |~              |    ~     ~    
1421|BD-15 2859                                                            |Star                              |09 39 23.0813825136 -15 55 26.399188992|249.8748519171941 +26.5778738244097|  -4.525 -1.325   |9.98     |~              |    ~     ~    
1422|BD-15 2886                                                            |Star                              |09 44 00.0770771112 -16 30 52.132997880|251.2032658773088 +26.9907705995849|   -7.003 0.642   |10.064   |~              |    ~     ~    
1423|TYC 5472-751-1                                                        |Star                              |09 34 09.9892324992 -14 28 40.755982440|247.7310117218019 +26.5979123967774|   -8.341 6.217   |10.88    |~              |    ~     ~    
1424|GSC 05473-00430                                                       |Double or Multiple Star           |09 36 21.8437736016 -14 33 17.016136776|248.1878337317419 +26.9477948234892|   -2.606 6.147   |10.215   |~              |    ~     ~    
1425|TYC 5473-474-1                                                        |Star                              |09 38 25.3436131248 -14 42 14.337762732|248.6840209593657 +27.2216915181522|    9.730 6.244   |10.64    |~              |    ~     ~    
1426|TYC 5473-624-1                                                        |Star                              |09 36 59.3886014352 -14 02 26.993970384|247.8661697273259 +27.4007645165047|-10.976 -25.886   |10.992   |~              |    ~     ~    
1427|TYC 5473-1110-1                                                       |Star                              |09 40 13.3311414480 -14 55 01.600871088|249.1893930728602 +27.4034026228088|  -16.295 8.819   |10.98    |~              |    ~     ~    
1428|TYC 5473-1176-1                                                       |Star                              |09 37 38.4168078600 -14 45 57.436535088|248.5948553660125 +27.0392048696829|  -9.810 -9.778   |10.93    |~              |    ~     ~    
1429|TYC 5486-129-1                                                        |High Proper Motion Star           |09 43 02.6024854392 -14 53 21.901438500|249.6836098612339 +27.9265793194351| 65.473 -61.204   |10.42    |~              |    ~     ~    
1430|TYC 5486-277-1                                                        |Star                              |09 44 53.5530349056 -14 53 31.829326692|250.0286347109410 +28.2536283250961|  -13.754 0.011   |10.935   |~              |    ~     ~    
1431|TYC 5486-1038-1                                                       |Star                              |09 43 37.1271451848 -14 11 32.801493228|249.2055837368909 +28.4990500357730|-18.922 -23.091   |10.643   |~              |    ~     ~    
1432|TYC 6043-27-1                                                         |Star                              |09 37 09.3435084000 -15 14 44.707967448|248.9094354384355 +26.6328744851219|   -9.219 0.699   |10.53    |~              |    ~     ~    
1433|TYC 6043-147-1                                                        |Star                              |09 37 11.6188615368 -15 15 53.402416380|248.9321777740389 +26.6270031633683|   -9.109 0.238   |10.63    |~              |    ~     ~    
1434|TYC 6043-279-1                                                        |Star                              |09 43 24.7319809272 -15 16 01.771479192|250.0663647663660 +27.7367172674927|-21.055 -41.402   |10.85    |~              |    ~     ~    
1435|TYC 6043-394-1                                                        |Star                              |09 37 05.2548406080 -15 29 48.405319512|249.1065392049641 +26.4534513064800| -1.728 -14.157   |10.276   |~              |    ~     ~    
1436|TYC 6043-529-1                                                        |Star                              |09 42 32.4011453832 -15 14 23.589314448|249.8829721654577 +27.6002769387943|   -2.894 0.706   |10.84    |~              |    ~     ~    
1437|TYC 6043-596-1                                                        |Star                              |09 42 21.0366891576 -15 57 52.325665596|250.4483497137028 +27.0759077685389|   -0.286 3.052   |10.982   |~              |    ~     ~    
1438|TYC 6043-644-1                                                        |Star                              |09 38 12.0478342824 -16 03 56.856111084|249.7785427925916 +26.2719071075837|   -8.911 2.470   |10.828   |~              |    ~     ~    
1439|TYC 6043-811-1                                                        |Star                              |09 43 30.9428008176 -15 46 01.975807380|250.4996833135211 +27.4155433757302|   -3.133 1.634   |10.844   |~              |    ~     ~    
1440|TYC 6043-824-1                                                        |Star                              |09 43 49.7346537312 -16 01 27.351677424|250.7693295821613 +27.2955912555500|   -1.890 3.081   |10.94    |~              |    ~     ~    
1441|TYC 6043-987-1                                                        |Star                              |09 43 20.3743656624 -15 58 03.694193832|250.6325898575411 +27.2480770140321| 18.855 -24.074   |10.524   |~              |    ~     ~    
1442|TYC 6044-703-1                                                        |Star                              |09 44 55.0832295696 -15 13 19.930030680|250.3080078783218 +28.0339190436542| -4.177 -10.568   |10.307   |~              |    ~     ~    
1443|TYC 5486-906-1                                                        |Star                              |09 44 09.6375708600 -14 22 57.502328124|249.4661197963423 +28.4679821277540|  -0.805 -0.364   |10.97    |~              |    ~     ~    
1444|BD-15 2832                                                            |Star                              |09 33 59.2732884504 -16 03 29.671821720|249.0215154690849 +25.5231268727690|   -2.452 4.997   |10.67    |~              |    ~     ~    
1445|V* OT Hya                                                             |Long-Period Variable              |09 34 37.5185497464 -16 22 32.833335900|249.3969841950266 +25.4264217083088|  -15.964 6.562   |9.164    |M1/2III        |    ~     ~    
1446|HD 83039                                                              |Star                              |09 35 19.5221087880 -16 16 33.416524380|249.4385187823405 +25.6181836186820|  -27.318 9.155   |9.44     |K2/3III        |    ~     ~    
1447|HD 83049                                                              |delta Sct Variable                |09 35 31.0049380080 -16 28 20.195175360|249.6345539144787 +25.5213286426551|  -16.087 8.059   |9.66     |Fm_dD          |    ~     ~    
1448|BD-17 2898                                                            |Star                              |09 34 25.2667208928 -17 59 22.700379804|250.6825286774130 +24.3099028324654| -24.783 18.603   |9.729    |M0             |    ~     ~    
1449|BD-16 2829                                                            |Star                              |09 34 08.8509435840 -17 33 36.307355004|250.2849073172752 +24.5501105859474| -0.486 -15.550   |9.77     |~              |    ~     ~    
1450|BD-17 2899                                                            |Star                              |09 34 30.9313031424 -17 52 51.373503012|250.6108107698228 +24.3996335485709|  -6.443 12.217   |10.17    |~              |    ~     ~    
1451|BD-17 2900                                                            |Star                              |09 34 53.3532219984 -18 26 04.122570984|251.1249034139897 +24.0921153891469|   -3.525 6.698   |10.11    |~              |    ~     ~    
1452|BD-16 2832                                                            |High Proper Motion Star           |09 35 09.2117394120 -17 22 08.579517744|250.3061447192222 +24.8561806771360| -58.072 22.579   |9.93     |~              |    ~     ~    
1453|BD-17 2901                                                            |Star                              |09 35 30.1489568376 -17 53 04.652273328|250.7875666276590 +24.5707413039370| 15.302 -17.405   |10.25    |~              |    ~     ~    
1454|BD-15 2842                                                            |Star                              |09 35 42.6122866320 -16 17 41.948556144|249.5225987683855 +25.6742688821171|-15.591 -18.612   |10.01    |~              |    ~     ~    
1455|BD-16 2834                                                            |Red Giant Branch star Candidate   |09 35 52.2355063056 -17 34 48.789612336|250.6050971561646 +24.8406817106807|-15.442 -21.575   |9.703    |~              |    ~     ~    
1456|BD-15 2831                                                            |Star                              |09 33 49.6054153488 -16 21 20.529598644|249.2393933657987 +25.2967452084936|   -8.208 0.045   |10.335   |~              |    ~     ~    
1457|BD-16 2830                                                            |Star                              |09 34 18.2418144792 -17 04 31.237765608|249.9159881024161 +24.9023624899430| -33.329 -5.157   |10.66    |~              |    ~     ~    
1458|BD-16 2833                                                            |Star                              |09 35 50.7988801752 -16 42 22.242119688|249.8857055455703 +25.4236159379426|   -5.004 4.659   |10.200   |~              |    ~     ~    
1459|HD 83412                                                              |Star                              |09 37 49.7749594272 -16 15 48.222342936|249.8750193280706 +26.0731748148102|  -45.086 4.308   |8.80     |F0IV/V         |    ~     ~    
1460|HD 83636                                                              |Star                              |09 39 33.5773451136 -16 20 45.664183212|250.2546448680308 +26.3244151326685|   0.445 -0.501   |9.57     |A2IV/V         |    ~     ~    
1461|BD-15 2851                                                            |High Proper Motion Star           |09 38 31.6648513080 -16 16 14.148362460|250.0064199315528 +26.1923789467447|-115.590 -4.691   |10.252   |~              |    ~     ~    
1462|BD-15 2868                                                            |Star                              |09 40 55.2544525176 -16 27 37.322482284|250.5953420325267 +26.4873299035170| -19.613 12.945   |10.09    |~              |    ~     ~    
1463|BD-15 2888                                                            |Star                              |09 44 32.4564232296 -16 37 27.397793316|251.3924717944206 +27.0096453123454|  -15.467 5.432   |10.352   |~              |    ~     ~    
1464|BD-15 2853                                                            |Star                              |09 38 49.7246912424 -16 18 39.735561744|250.0939490334109 +26.2185515307869| -23.534 13.844   |10.67    |~              |    ~     ~    
1465|BD-15 2856                                                            |High Proper Motion Star           |09 39 05.4649191312 -16 19 39.415557864|250.1548971061541 +26.2538756492106| -70.802 30.940   |10.448   |~              |    ~     ~    
1466|BD-15 2870                                                            |Star                              |09 41 15.4552952928 -16 24 30.361903632|250.6139495808414 +26.5818682423999|   3.475 -1.347   |10.576   |~              |    ~     ~    
1467|HD 84231                                                              |High Proper Motion Star           |09 43 22.5526940736 -16 38 07.125669960|251.1870453672665 +26.7988138574603|  5.248 -57.976   |9.54     |F7V(w)         |    ~     ~    
1468|HD 83164                                                              |Double or Multiple Star           |09 36 10.8833 -17 14 59.206            |250.3906488 +25.1179901            |   -15.10 -1.10   |8.91     |F3V            |    ~     ~    
1469|HD 83211                                                              |Star                              |09 36 25.4997244224 -17 23 06.940468536|250.5444767270806 +25.0697328441805|  -7.777 -0.818   |8.66     |K4/5III        |    ~     ~    
1470|BD-16 2842                                                            |Star                              |09 37 24.6512104008 -16 42 12.458045700|250.1621868844142 +25.7030538874569|  -22.793 9.322   |9.925    |K0             |    ~     ~    
1471|HD 83376                                                              |Star                              |09 37 36.5803729200 -17 04 18.136309584|250.4994251073340 +25.4900654263237| -27.089 -1.636   |9.02     |F8V            |    ~     ~    
1472|HD 83438                                                              |Star                              |09 38 05.2121281968 -16 39 10.550828844|250.2417544234813 +25.8567727691954| -30.700 -4.492   |9.10     |K0/1III        |    ~     ~    
1473|BD-16 2845                                                            |Long-Period Variable Candidate    |09 38 11.6494999584 -16 43 01.549984152|250.3136618505855 +25.8324950356661|  1.960 -16.023   |8.78     |M6III          |    ~     ~    
1474|HD 83456                                                              |High Proper Motion Star           |09 38 10.7918336496 -17 19 07.194882000|250.8029373645663 +25.4234818516708| -71.133 20.155   |9.09     |F7V            |    ~     ~    
1475|HD 83572                                                              |High Proper Motion Star           |09 39 00.0927617352 -17 37 27.052741560|251.1985278705112 +25.3601017644355| -66.675 14.642   |6.72     |A9IV           |    ~     ~    
1476|HD 83713                                                              |Double or Multiple Star           |09 40 02.34672 -17 09 52.4916          |251.01150755 +25.85412604          |            ~ ~   |8.467    |F2V            |    ~     ~    
1477|HD 83714                                                              |Star                              |09 40 05.5660499784 -17 15 05.238866736|251.0919363652124 +25.8044221828130| -10.772 -8.354   |8.70     |F5V            |    ~     ~    
1478|HD 83923                                                              |Star                              |09 41 12.3130586208 -17 23 00.120484932|251.4003434744372 +25.9086812343102| -36.948 19.164   |7.80     |K3III          |    ~     ~    
1479|HD 83987                                                              |Star                              |09 41 41.2252588464 -17 36 59.343036264|251.6766478618347 +25.8329490875112| -47.145 12.842   |9.22     |F2V            |    ~     ~    
1480|HD 84009                                                              |Star                              |09 41 45.9786434952 -16 44 24.860886108|250.9784283399301 +26.4455503161908|   -6.417 2.388   |9.46     |G8/K0III/IV    |    ~     ~    
1481|BD-16 2867                                                            |Star                              |09 42 44.6905861728 -17 29 01.271681304|251.7615632445987 +26.1074976399591| -12.080 -2.179   |9.37     |K2             |    ~     ~    
