C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:18:34

Vmag< 11&dec< 0&rah >=9.5&rah< 9.75
-----------------------------------

Number of objects : 7080

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
34  |HD 82505                                                              |Star                              |09 32 20.2145655432 -04 25 16.900726620|238.3771434608337 +32.5394848709223|  -26.914 3.267   |9.33     |F0V            |    ~     ~    
35  |HD 82673                                                              |Star                              |09 33 16.5117826848 -04 24 43.553684484|238.5328511615440 +32.7333667652834|-21.578 -35.799   |8.26     |K0III          |    ~     ~    
36  |BD-02 2909                                                            |Star                              |09 30 18.2870019936 -03 01 59.429088300|236.6861248080187 +32.9407046978727| -0.335 -19.989   |9.96     |~              |    ~     ~    
37  |BD-03 2696                                                            |Star                              |09 30 26.4519417384 -04 04 51.776433048|237.7212770475931 +32.3579936237092| -25.726 13.942   |10.61    |~              |    ~     ~    
38  |BD-02 2910                                                            |Star                              |09 30 46.6568784840 -02 55 46.521486552|236.6667784986146 +33.0969163659831|   -7.671 3.657   |10.023   |~              |    ~     ~    
39  |BD-02 2918                                                            |Star                              |09 31 52.0679401776 -03 33 12.844340712|237.4609604814541 +32.9554026767026|  -6.862 -7.713   |10.426   |~              |    ~     ~    
40  |BD-03 2702                                                            |Star                              |09 32 08.2691264328 -04 05 34.073178072|238.0275344538025 +32.6934401255961| -30.802 11.474   |10.010   |~              |    ~     ~    
41  |BD-03 2705                                                            |Star                              |09 33 07.4927043288 -03 53 37.430621736|238.0087159119498 +33.0096290651752|   -2.580 0.017   |10.227   |~              |    ~     ~    
42  |BD-03 2709                                                            |Star                              |09 33 28.9003802568 -03 42 40.582029708|237.8952372679624 +33.1890034469015|   -7.388 0.823   |10.254   |~              |    ~     ~    
43  |BD-01 2270                                                            |High Proper Motion Star           |09 30 37.7818727856 -02 33 02.613289284|236.2714977663753 +33.2852772895316| 49.729 -27.527   |10.124   |~              |    ~     ~    
44  |BD-02 2912                                                            |High Proper Motion Star           |09 30 58.2104351544 -03 12 41.111971776|236.9739686815967 +32.9727473905118|-59.927 -30.172   |10.008   |~              |    ~     ~    
45  |BD-02 2913                                                            |Double or Multiple Star           |09 31 00.1098880056 -03 19 18.979516344|237.0866070391811 +32.9149411311616| 15.671 -20.777   |10.710   |~              |    ~     ~    
