C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:01:25

Vmag< 11&dec >=0&rah >=3.75&rah< 4.0
------------------------------------

Number of objects : 4192

 #  |                                               identifier                                                |             typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------
1161|TYC 4063-523-1                                                                                           |Star                          |03 49 48.8316175056 +61 18 55.117277820|142.7203522625915 +05.4988019573415|  6.469 -16.834   |10.39    |~                |    ~     ~    
1162|TYC 4063-547-1                                                                                           |Star                          |03 53 43.8505668072 +61 38 24.227805408|142.8772502641353 +06.0462753867073|   14.085 2.382   |10.47    |~                |    ~     ~    
1163|TYC 4063-664-1                                                                                           |Star                          |03 50 30.3775260336 +61 33 09.619726788|142.6350473003990 +05.7354135147222|   -1.758 0.777   |10.97    |~                |    ~     ~    
1164|TYC 4063-711-1                                                                                           |Star                          |03 46 56.8569697200 +61 05 58.959686580|142.5843888640897 +05.1150535981987|  -7.478 10.959   |10.60    |~                |    ~     ~    
1165|TYC 4063-1070-1                                                                                          |Pulsating Variable            |03 58 26.7242859528 +61 20 34.056865752|143.5023138213072 +06.1824651169760|   -1.731 0.455   |10.63    |~                |    ~     ~    
1166|TYC 4063-1186-1                                                                                          |Star                          |03 50 08.0732510664 +61 02 16.000282464|142.9256533553547 +05.3071160838953|   1.010 -3.870   |10.95    |~                |    ~     ~    
1167|TYC 4063-1257-1                                                                                          |Pulsating Variable            |03 50 17.6081398344 +60 52 58.316727720|143.0385016527743 +05.1987570942197|  -1.884 -6.448   |9.94     |~                |    ~     ~    
1168|TYC 4063-1259-1                                                                                          |Star                          |03 55 57.1171722576 +61 30 18.266856228|143.1681991939930 +06.1125601719692| -2.588 -31.427   |10.95    |~                |    ~     ~    
1169|TYC 4067-23-1                                                                                            |Spectroscopic Binary          |03 50 59.8503932136 +63 23 11.023224576|141.5139699371588 +07.1931326856042|   4.768 -0.125   |10.93    |~                |    ~     ~    
1170|TYC 4067-50-1                                                                                            |Spectroscopic Binary          |03 46 45.3524402472 +62 50 17.225431764|141.4836473839069 +06.4653588503427|  -0.385 -0.365   |9.00     |~                |    ~     ~    
1171|TYC 4067-155-1                                                                                           |Star                          |03 46 45.0999295560 +63 29 28.056665112|141.0752151424185 +06.9771106273735| -1.689 -16.486   |10.67    |~                |    ~     ~    
1172|TYC 4067-233-1                                                                                           |Star                          |03 52 14.3721748488 +62 39 41.002460856|142.0870643152811 +06.7221194439527|   5.744 -2.012   |10.84    |~                |    ~     ~    
1173|TYC 4067-250-1                                                                                           |Star                          |03 47 19.8906456264 +62 36 53.021177172|141.6752549188208 +06.3312160604922|  9.332 -10.280   |10.08    |~                |    ~     ~    
1174|TYC 4067-268-1                                                                                           |Star                          |03 58 58.5955270608 +63 12 30.998588040|142.3207002948342 +07.6347580655576|   -3.635 0.926   |10.11    |~                |    ~     ~    
1175|TYC 4067-313-1                                                                                           |Star                          |03 53 06.3950755608 +62 12 12.342991356|142.4585196214238 +06.4329436044781|  17.330 -8.544   |10.76    |~                |    ~     ~    
1176|TYC 4067-339-1                                                                                           |Star                          |03 53 22.8144237384 +63 11 28.690829700|141.8472908524017 +07.2130453095859| -26.142 -4.420   |10.66    |~                |    ~     ~    
1177|TYC 4067-394-1                                                                                           |Star                          |03 57 26.3709921696 +62 05 23.621496108|142.9218439733436 +06.6719908665518| 16.845 -15.426   |10.86    |~                |    ~     ~    
1178|TYC 4067-423-1                                                                                           |High Proper Motion Star       |03 55 17.2176113952 +63 00 26.240489496|142.1330447495696 +07.2105328871260| 52.511 -23.488   |10.93    |~                |    ~     ~    
1179|TYC 4067-508-1                                                                                           |Star                          |03 48 33.9043162392 +63 35 43.804805100|141.1687327597612 +07.1846583928491|   1.794 -9.491   |10.36    |~                |    ~     ~    
1180|TYC 4067-523-1                                                                                           |Star                          |03 50 38.7992959080 +61 56 30.941398968|142.4013694488411 +06.0480895762651| 14.197 -11.316   |10.96    |~                |    ~     ~    
1181|TYC 4067-525-1                                                                                           |High Proper Motion Star       |03 50 24.2172495168 +62 16 34.073333112|142.1672510604536 +06.2895874962249| 65.285 -56.173   |10.28    |~                |    ~     ~    
1182|TYC 4067-571-1                                                                                           |Star                          |03 47 47.4562760712 +62 41 30.090548616|141.6686045281155 +06.4242944736369|  -0.926 -5.554   |10.54    |~                |    ~     ~    
1183|GSC 04067-00572                                                                                          |Double or Multiple Star       |03 50 52.863408 +63 19 24.84120        |141.543858219 +07.136225386        |      23.7 26.2   |10.657   |~                |    ~     ~    
1184|GSC 04067-00742                                                                                          |Double or Multiple Star       |03 46 42.513264 +62 20 54.44700        |141.784754919 +06.077784591        |      -4.1 -2.0   |9.911    |~                |    ~     ~    
1185|TYC 4067-829-1                                                                                           |Star                          |03 51 16.0596178920 +62 13 50.666141568|142.2745411574997 +06.3178969109533|   21.70 -21.30   |10.24    |~                |    ~     ~    
1186|TYC 4067-923-1                                                                                           |Star                          |03 47 30.5050504488 +63 08 50.150897628|141.3575968521450 +06.7606415408433|   0.619 -0.692   |10.72    |~                |    ~     ~    
1187|TYC 4067-941-1                                                                                           |Spectroscopic Binary          |03 59 15.5054944416 +63 27 05.715885996|142.1839264447538 +07.8388902177057| 34.258 -18.758   |10.83    |~                |    ~     ~    
1188|TYC 4067-955-1                                                                                           |High Proper Motion Star       |03 48 46.2635002104 +62 22 34.766877576|141.9555484536030 +06.2485260427463| 28.256 -87.698   |10.26    |~                |    ~     ~    
1189|TYC 4067-1040-1                                                                                          |Star                          |03 48 52.3223866464 +62 20 57.376330944|141.9817676923268 +06.2347537309882|   3.231 12.946   |10.94    |~                |    ~     ~    
1190|TYC 4067-1053-1                                                                                          |Star                          |03 48 15.0274120344 +62 04 02.900011296|142.1019828708105 +05.9694768630468|   27.377 7.843   |10.39    |~                |    ~     ~    
1191|TYC 4067-1076-1                                                                                          |Star                          |03 54 33.3446013936 +63 23 53.738116044|141.8155884106587 +07.4565292388708|  -2.635 -7.528   |10.65    |~                |    ~     ~    
1192|TYC 4067-1103-1                                                                                          |Star                          |03 46 59.9825352216 +62 49 30.421372440|141.5137327721267 +06.4724390672243|  -0.973 -0.434   |10.55    |~                |    ~     ~    
1193|TYC 4067-1108-1                                                                                          |Star                          |03 58 20.8093143648 +63 35 43.122224436|142.0113699914266 +07.8808574326441|   1.035 -2.130   |10.74    |~                |    ~     ~    
1194|TYC 4067-1122-1                                                                                          |Star                          |03 46 41.7659830896 +63 05 28.114487016|141.3202953471242 +06.6596069467863| 16.407 -24.285   |9.82     |~                |    ~     ~    
1195|TYC 4067-1166-1                                                                                          |Star                          |03 52 23.2128274680 +62 08 44.502448884|142.4303604958915 +06.3349455556533|   1.210 -5.755   |10.76    |~                |    ~     ~    
1196|TYC 4067-1173-1                                                                                          |Star                          |03 53 37.2589365408 +63 07 57.009795528|141.9062662504430 +07.1852547524014|  -3.464 -4.579   |10.48    |~                |    ~     ~    
1197|TYC 4067-1175-1                                                                                          |Star                          |03 45 40.0465883184 +63 30 47.324552472|140.9658260099584 +06.9194972137360|  -12.418 6.571   |10.25    |~                |    ~     ~    
1198|TYC 4067-1256-1                                                                                          |Star                          |03 56 05.2282516608 +62 34 16.763753820|142.4871232163880 +06.9367394131387|  -4.244 -7.720   |10.44    |~                |    ~     ~    
1199|TYC 4067-1258-1                                                                                          |Star                          |03 49 04.6216521000 +62 10 18.088554720|142.1123140704662 +06.1112292239166|  -0.391 -5.296   |9.96     |~                |    ~     ~    
1200|TYC 4067-1390-1                                                                                          |Star                          |03 56 56.4416531904 +63 38 15.021325104|141.8640579231116 +07.8109545685232|   5.847 -6.851   |10.13    |~                |    ~     ~    
1201|TYC 4067-1722-1                                                                                          |Star                          |03 54 58.0022899968 +63 44 14.649632880|141.6305286010472 +07.7454253780961|  6.544 -20.677   |10.54    |~                |    ~     ~    
1202|TYC 4071-1414-1                                                                                          |Star                          |03 54 48.9599431728 +63 53 55.016556900|141.5127977509866 +07.8579457932252|   -1.571 9.968   |10.79    |~                |    ~     ~    
1203|TYC 4071-1475-1                                                                                          |Star                          |03 56 41.2588739520 +63 52 16.030629768|141.6892820617851 +07.9702878467305|    2.393 0.859   |10.61    |~                |    ~     ~    
1204|TYC 4071-1524-1                                                                                          |Star                          |03 55 33.8147759904 +63 54 06.341561136|141.5741348356354 +07.9134337902558|    0.927 3.053   |10.74    |~                |    ~     ~    
1205|GSC 04071-01596                                                                                          |Double or Multiple Star       |03 53 34.6797613272 +63 53 26.223807804|141.4126870813175 +07.7642763045805|   -2.216 3.090   |10.962   |~                |    ~     ~    
1206|BD+60 753                                                                                                |Star                          |03 50 59.9319225672 +60 31 53.253108480|143.3279289728457 +04.9800741951837|   0.196 -0.658   |8.68     |M0               |    ~     ~    
1207|HD 23847                                                                                                 |Star                          |03 51 31.9759938960 +60 35 07.209480912|143.3448825547004 +05.0632881950858|  -5.487 -0.416   |9.27     |A2               |    ~     ~    
1208|HD 23894                                                                                                 |Star                          |03 52 00.0798801744 +60 20 11.649909264|143.5477344358609 +04.9071485238397|  11.415 15.437   |6.90     |K0               |    ~     ~    
1209|HD 237186                                                                                                |Star                          |03 52 15.1062760320 +60 13 26.335510572|143.6434204750149 +04.8396977214670|  12.471 -8.374   |10.19    |F2               |    ~     ~    
1210|HD 24151                                                                                                 |Star                          |03 54 06.3952753440 +60 21 00.094382748|143.7408380364470 +05.0831989094591|   0.255 -5.193   |8.62     |M1.5Ib-II        |    ~     ~    
1211|HD 24239                                                                                                 |Star                          |03 54 51.3338371488 +60 11 58.433456256|143.9091339734462 +05.0270311793475| 11.754 -11.444   |8.99     |A0               |    ~     ~    
1212|HD 237199                                                                                                |Star                          |03 57 31.7986134264 +59 37 19.743130164|144.5399171722732 +04.8016647443844|  -3.404 -0.546   |9.56     |A0               |    ~     ~    
1213|LS I +59 195                                                                                             |Star                          |03 58 51.8562812952 +59 37 44.848024644|144.6640185929652 +04.9165896874420|  -1.407 -0.947   |10.8     |A5Ib             |    ~     ~    
1214|IRAS 03479+6030                                                                                          |Star                          |03 52 10.5479618808 +60 39 29.875988304|143.3597954977190 +05.1696797898480|    5.147 1.034   |9.54     |~                |    ~     ~    
1215|BD+60 765                                                                                                |Star                          |03 55 51.0141109392 +60 44 36.178297368|143.6524288366277 +05.5224270137994| -9.829 -14.025   |9.28     |K2               |    ~     ~    
1216|BD+60 767                                                                                                |Star                          |03 56 24.9160206360 +60 44 22.737177780|143.7078502637718 +05.5641111895177|  -1.006 -1.323   |10.12    |~                |    ~     ~    
1217|TYC 4063-949-1                                                                                           |High Proper Motion Star       |03 57 51.4815143928 +60 53 00.645967212|143.7488178410594 +05.7876646415811|-22.726 -58.741   |10.88    |B                |    ~     ~    
1218|IRAS 03556+6043                                                                                          |Star                          |03 59 54.4250230488 +60 52 08.515691004|143.9481713352094 +05.9394595349022|   4.232 -3.982   |10.31    |~                |    ~     ~    
1219|BD+60 763                                                                                                |Star                          |03 55 19.9855631976 +60 49 30.071534196|143.5511170283320 +05.5442925979857| 11.150 -11.743   |10.09    |~                |    ~     ~    
1220|BD+60 766                                                                                                |Star                          |03 56 16.5348710280 +60 43 19.437596256|143.7061578237364 +05.5396604664404|  40.078 -2.751   |10.28    |~                |    ~     ~    
1221|BD+60 764                                                                                                |High Proper Motion Star       |03 55 27.0384663408 +60 53 03.668645292|143.5237899864021 +05.5989319866572| 70.185 -60.953   |9.63     |~                |    ~     ~    
1222|HD 24481                                                                                                 |Star                          |03 57 08.4670200288 +61 06 33.110539632|143.5351069471142 +05.9029321206898| -2.351 -14.220   |8.04     |B9.0             |    ~     ~    
1223|HD 24480                                                                                                 |Star                          |03 57 08.2895322360 +61 06 31.986146592|143.5350369636867 +05.9024626860136| -2.117 -12.858   |5.05     |K4III            |    ~     ~    
1224|BD+60 769                                                                                                |Star                          |03 58 54.8743790112 +61 12 03.920092992|143.6382924448790 +06.1118933726333| -24.864 12.346   |9.92     |~                |    ~     ~    
1225|TYC 3729-140-1                                                                                           |Star                          |03 53 45.5293 +59 58 52.507            |143.9437583 +04.7717628            |  -0.942 -3.399   |10.98    |~                |    ~     ~    
1226|TYC 3729-340-1                                                                                           |Star                          |03 59 37.7126430840 +59 23 20.507500716|144.8950124720843 +04.7979782866421|   -7.794 2.296   |10.15    |~                |    ~     ~    
1227|TYC 3729-360-1                                                                                           |Star                          |03 58 40.6624979592 +59 19 49.334189700|144.8412785220017 +04.6744875421600| 11.432 -25.459   |9.88     |~                |    ~     ~    
1228|TYC 3729-528-1                                                                                           |Star                          |03 57 14.8435345200 +59 23 16.907375904|144.6646421860853 +04.6000560798770|   7.421 -7.872   |10.52    |~                |    ~     ~    
1229|TYC 3729-718-1                                                                                           |High Proper Motion Star       |03 55 50.1509434368 +59 44 00.749168232|144.3039054255615 +04.7486257724288| 35.581 -50.585   |9.92     |~                |    ~     ~    
1230|TYC 3729-884-1                                                                                           |Star                          |03 54 33.2416464432 +59 53 52.637307504|144.0740358322404 +04.7713148434924| 10.244 -15.563   |10.95    |~                |    ~     ~    
1231|TYC 3729-1002-1                                                                                          |Star                          |03 59 01.7424758352 +59 21 15.621136956|144.8597001349892 +04.7218507251729|  -8.878 -3.001   |10.76    |~                |    ~     ~    
1232|TYC 3729-1179-1                                                                                          |Star                          |03 59 12.3848928120 +59 26 05.087798664|144.8242403265958 +04.7975230276596|   6.553 -7.041   |10.89    |~                |    ~     ~    
1233|TYC 4063-155-1                                                                                           |Star                          |03 59 20.3111082480 +60 48 21.370560372|143.9370838396650 +05.8464169526520| 23.163 -29.919   |10.87    |~                |    ~     ~    
1234|TYC 4063-176-1                                                                                           |Star                          |03 52 59.9749611696 +60 54 49.870703232|143.2747433771571 +05.4309059758646|  -1.078 -4.719   |10.87    |~                |    ~     ~    
1235|TYC 4063-238-1                                                                                           |Star                          |03 57 34.6533188760 +61 09 34.887264984|143.5424639393731 +05.9755305059937|  4.932 -14.911   |10.83    |~                |    ~     ~    
1236|TYC 4063-666-1                                                                                           |Star                          |03 56 23.8050064944 +60 59 59.948043216|143.5371293384948 +05.7613883056476|    4.570 0.006   |10.63    |~                |    ~     ~    
1237|TYC 4063-777-1                                                                                           |Star                          |03 57 38.7078556416 +60 46 51.802805424|143.7958972350211 +05.6929235276427|   -5.920 2.244   |10.83    |~                |    ~     ~    
1238|TYC 4063-1147-1                                                                                          |Star                          |03 58 57.7357735896 +60 28 47.681672268|144.1160771230138 +05.5694746969816|  7.516 -15.362   |10.33    |~                |    ~     ~    
1239|TYC 4063-1164-1                                                                                          |Star                          |03 58 18.4651059552 +60 12 31.086195228|144.2319838037977 +05.3109560024399|  -2.966 -4.022   |9.86     |~                |    ~     ~    
1240|TYC 4063-1180-1                                                                                          |Star                          |03 55 54.9603130968 +60 11 40.720141788|144.0136652190736 +05.1079295992581| -20.507 14.075   |10.10    |~                |    ~     ~    
1241|TYC 4063-1270-1                                                                                          |Star                          |03 53 58.6242059592 +60 10 37.388527104|143.8393666038970 +04.9398667741947|  -1.784 -1.267   |10.70    |~                |    ~     ~    
1242|TYC 4063-1384-1                                                                                          |Star                          |03 55 02.2771316640 +60 07 54.760049220|143.9701814079093 +04.9896450153925|   -4.271 4.053   |10.66    |~                |    ~     ~    
1243|TYC 4063-1400-1                                                                                          |High Proper Motion Star       |03 57 37.4961549024 +60 07 08.410827576|144.2256305596499 +05.1876402070295|106.812 -75.396   |9.66     |~                |    ~     ~    
1244|TYC 4063-1475-1                                                                                          |Star                          |03 59 27.4942287216 +60 14 25.785998016|144.3198504723176 +05.4282739541869|   0.668 -2.360   |10.55    |~                |    ~     ~    
1245|TYC 4063-1542-1                                                                                          |Star                          |03 53 25.8960791088 +60 17 51.989401752|143.7097391120217 +04.9896552488670|   1.651 -2.498   |10.59    |~                |    ~     ~    
1246|TYC 4063-1555-1                                                                                          |Star                          |03 52 26.2980070266 +60 29 49.599010500|143.4874588196377 +05.0655038815030|   -5.478 6.913   |10.19    |~                |    ~     ~    
1247|TYC 4063-1624-1                                                                                          |Star                          |03 55 40.1331567912 +60 01 49.627889400|144.0961043242008 +04.9624546768079|    3.449 0.015   |10.72    |~                |    ~     ~    
1248|TYC 4063-1668-1                                                                                          |Star                          |03 54 02.3586114912 +60 00 20.778582240|143.9551435772710 +04.8130212849973|   11.413 3.315   |10.94    |~                |    ~     ~    
1249|TYC 4331-800-1                                                                                           |Star                          |03 46 19.8035982912 +70 01 54.834474612|136.8987432119151 +12.0594046573973| 12.686 -19.006   |10.90    |~                |    ~     ~    
1250|BD+69 226                                                                                                |Star                          |03 48 11.7480743616 +69 27 52.792778916|137.3926429928025 +11.7214160935354|  9.871 -11.030   |10.16    |A0               |    ~     ~    
1251|TYC 4327-2618-1                                                                                          |High Proper Motion Star       |03 48 00.5331434760 +68 40 57.619342020|137.8841310863317 +11.1052244769375|  3.110 -53.279   |10.47    |K1V              |    ~     ~    
1252|BD+68 279                                                                                                |Spectroscopic Binary          |03 48 44.7431911800 +69 12 47.588122368|137.5937411238718 +11.5577590791184| 69.974 -35.365   |9.55     |G5               |    ~     ~    
1253|HD 23321                                                                                                 |Star                          |03 49 09.8790756000 +69 11 59.616047724|137.6316891164383 +11.5710916576855| -1.461 -16.310   |8.03     |G0               |    ~     ~    
1254|BD+68 281                                                                                                |Star                          |03 49 19.6269278616 +69 04 57.139180428|137.7192654587851 +11.4897399711574|  -18.393 3.014   |10.45    |G0               |    ~     ~    
1255|BD+67 290                                                                                                |Star                          |03 46 34.4556556920 +68 13 24.778827804|138.0740212988040 +10.6654863137617|   4.339 -1.691   |9.88     |A0               |    ~     ~    
1256|BD+67 292                                                                                                |Star                          |03 47 25.7864744640 +68 22 34.341586068|138.0390731840982 +10.8339465203563|  7.520 -24.042   |9.29     |K2               |    ~     ~    
1257|V* MM Cam                                                                                                |Variable Star                 |03 51 00.5021462832 +69 06 09.962419032|137.8238677972697 +11.6011105016493| 22.591 -23.642   |7.11     |K0III            |    ~     ~    
1258|BD+68 284                                                                                                |Star                          |03 51 11.5832462520 +69 10 57.048006828|137.7845050885558 +11.6728271675340| -19.423 20.812   |9.77     |K0               |    ~     ~    
1259|HD 23662                                                                                                 |Star                          |03 51 41.7756333480 +68 30 26.950213980|138.2621970468261 +11.1844690886246| 15.992 -20.583   |6.299    |B9IVp            |    ~     ~    
1260|HD 24493                                                                                                 |Star                          |03 58 33.9814758024 +68 21 24.826618224|138.8505087572213 +11.4820018885466| -17.074 -1.609   |8.06     |F0               |    ~     ~    
1261|BD+67 291                                                                                                |Star                          |03 47 02.1760210848 +67 50 53.209721868|138.3476965241765 +10.4001129717996| 25.811 -23.454   |9.37     |G5               |    ~     ~    
1262|HD 23449                                                                                                 |Star                          |03 49 44.0948954640 +67 43 07.352127192|138.6319200621144 +10.4608007089065|  -3.770 -2.237   |9.19     |A2               |    ~     ~    
1263|HD 23005                                                                                                 |High Proper Motion Star       |03 46 00.9400234704 +67 12 05.768204220|138.6811112009930 +09.8346439571900|82.853 -113.717   |5.782    |F1IVnn           |    ~     ~    
1264|BD+66 288                                                                                                |Star                          |03 49 10.2007694448 +67 00 10.552617396|139.0500975594284 +09.8726937153559| 12.324 -11.441   |9.00     |G5               |    ~     ~    
1265|HD 23450                                                                                                 |Star                          |03 49 38.2203602136 +67 09 55.803937320|138.9813023913599 +10.0273028509733| 14.039 -27.824   |7.04     |G8III            |    ~     ~    
1266|BD+67 294                                                                                                |Star                          |03 51 18.7674140904 +67 33 40.789401804|138.8515025674614 +10.4351787181897|-14.593 -29.156   |9.49     |F0               |    ~     ~    
1267|HD 23799                                                                                                 |Star                          |03 52 40.5650512752 +67 53 36.723741360|138.7353705821345 +10.7728401726000| 31.789 -30.954   |8.66     |G0               |    ~     ~    
1268|HD 23818                                                                                                 |Star                          |03 52 35.4219239520 +67 33 23.921898660|138.9496822033394 +10.5097865119226|  11.962 -2.859   |7.39     |F0               |    ~     ~    
1269|HD 24320                                                                                                 |Star                          |03 56 39.6719019264 +67 30 50.826378204|139.2787324328071 +10.7298674196156|  4.315 -10.238   |8.57     |G5               |    ~     ~    
1270|BD+67 298                                                                                                |Star                          |03 56 56.7678497784 +67 33 41.215084272|139.2680815872365 +10.7834527367666|   3.382 -1.478   |9.70     |B8               |    ~     ~    
1271|HD 24513                                                                                                 |Star                          |03 58 44.0235848856 +68 01 25.913082324|139.0871944309352 +11.2426151912829| -2.119 -12.243   |7.28     |G5               |    ~     ~    
1272|BD+66 291                                                                                                |Star                          |03 52 03.1674762480 +67 25 47.035291512|138.9924916025641 +10.3794751865959|  -2.353 -2.021   |9.74     |A0               |    ~     ~    
1273|HD 24140                                                                                                 |Star                          |03 55 18.2746604280 +67 25 09.828053112|139.2414935908594 +10.5732622992384|  -2.670 -1.561   |9.56     |A                |    ~     ~    
1274|IRAS 03423+6723                                                                                          |Star                          |03 47 11.0093902080 +67 32 55.979544084|138.5495578063730 +10.1758679648225|  -1.409 -6.263   |10.39    |~                |    ~     ~    
1275|TYC 4075-405-1                                                                                           |Star                          |03 46 22.0943 +67 26 42.541            |138.5537473 +10.0461438            |  6.605 -13.362   |10.90    |~                |    ~     ~    
1276|TYC 4075-435-1                                                                                           |Spectroscopic Binary          |03 47 56.5204566192 +67 20 43.969222356|138.7368172141668 +10.0633888299881| 41.947 -57.123   |10.14    |~                |    ~     ~    
1277|TYC 4075-513-1                                                                                           |Star                          |03 54 30.6331697280 +67 20 19.683222432|139.2357157886766 +10.4623885257277|  7.968 -13.569   |10.81    |~                |    ~     ~    
1278|TYC 4075-932-1                                                                                           |High Proper Motion Star       |03 47 15.1386402552 +66 57 14.764064040|138.9334691812462 +09.7167165269531|-49.545 -64.361   |10.54    |~                |    ~     ~    
1279|TYC 4327-51-1                                                                                            |Star                          |03 45 22.5819972384 +69 18 26.670076092|137.2967657299616 +11.4430472284723|   8.109 -4.175   |10.29    |~                |    ~     ~    
1280|TYC 4327-246-1                                                                                           |Star                          |03 59 46.5726521880 +67 49 31.433171664|139.2960867103027 +11.1589900422953| 11.682 -13.301   |10.11    |~                |    ~     ~    
1281|TYC 4327-258-1                                                                                           |Star                          |03 58 36.4202709528 +67 31 28.463358864|139.4143636432324 +10.8600847420026|  18.300 13.002   |10.25    |~                |    ~     ~    
1282|TYC 4327-293-1                                                                                           |Star                          |03 58 31.8235569504 +68 28 42.650925852|138.7658247553743 +11.5709783260291|  7.995 -27.277   |10.50    |~                |    ~     ~    
1283|TYC 4327-321-1                                                                                           |Star                          |03 58 12.9422615112 +67 46 32.219486832|139.2171045554283 +11.0240889255707|   -2.449 0.700   |10.45    |~                |    ~     ~    
1284|TYC 4327-380-1                                                                                           |Star                          |03 58 15.9144422592 +67 43 29.990076924|139.2547212385752 +10.9891480594294|   2.612 -0.047   |10.37    |~                |    ~     ~    
1285|TYC 4327-403-1                                                                                           |Star                          |03 56 49.0098790344 +68 32 40.484747976|138.6009622694481 +11.5171375723918|   5.428 -5.753   |10.68    |~                |    ~     ~    
1286|TYC 4327-725-1                                                                                           |Star                          |03 55 44.3387636208 +67 37 44.035489776|139.1346065106615 +10.7592228172571|   -3.521 4.541   |10.61    |~                |    ~     ~    
1287|TYC 4327-742-1                                                                                           |Star                          |03 51 14.5271859120 +68 58 04.375771284|137.9285534898928 +11.5110445196760|    1.989 6.813   |10.09    |~                |    ~     ~    
1288|TYC 4327-869-1                                                                                           |Star                          |03 52 21.1674013200 +67 59 30.690713436|138.6472936756449 +10.8285515031271|   -7.255 4.274   |10.53    |~                |    ~     ~    
1289|TYC 4327-954-1                                                                                           |Star                          |03 48 26.5799513256 +69 00 56.088790200|137.7003380919592 +11.3878308244366|  15.812 -5.864   |10.25    |~                |    ~     ~    
1290|TYC 4327-984-1                                                                                           |Star                          |03 53 39.4957505856 +68 41 49.844947272|138.2767964454521 +11.4448575053048|  10.484 -1.874   |10.11    |~                |    ~     ~    
1291|TYC 4327-1078-1                                                                                          |Star                          |03 53 30.2256867600 +69 02 27.722153400|138.0384114278088 +11.6976204626974|    0.144 6.478   |10.56    |~                |    ~     ~    
1292|TYC 4327-1238-1                                                                                          |Star                          |03 54 23.9221965792 +68 51 16.608200976|138.2244436289057 +11.6080899726920| -15.278 10.585   |10.56    |~                |    ~     ~    
1293|TYC 4327-1240-1                                                                                          |Star                          |03 47 18.9685070088 +68 42 01.792636524|137.8229044597667 +11.0793697395614|   0.530 -0.540   |10.10    |~                |    ~     ~    
1294|TYC 4327-1276-1                                                                                          |Star                          |03 52 16.7133363672 +68 48 47.446162668|138.1029926124941 +11.4525824833481|   -3.098 1.034   |9.91     |~                |    ~     ~    
1295|TYC 4327-1337-1                                                                                          |Star                          |03 53 44.4558007872 +68 26 27.534591312|138.4520336300174 +11.2546593189785|   10.527 8.740   |9.95     |~                |    ~     ~    
1296|TYC 4327-1395-1                                                                                          |Star                          |03 54 52.1807777256 +68 04 34.039596108|138.7745473619354 +11.0450824509068|  -2.182 -3.338   |10.83    |~                |    ~     ~    
1297|TYC 4327-1482-1                                                                                          |Star                          |03 54 50.0372896632 +68 53 50.802494640|138.2263376522087 +11.6661323091708|   2.960 -3.268   |10.95    |~                |    ~     ~    
1298|TYC 4327-1708-1                                                                                          |Star                          |03 52 25.1279080176 +69 04 27.613819992|137.9409173176671 +11.6603031564045|  18.390 -0.607   |9.59     |~                |    ~     ~    
1299|TYC 4327-1763-1                                                                                          |Star                          |03 46 00.1511856120 +67 44 56.331815856|138.3333346039693 +10.2616791504504|    3.173 0.633   |10.75    |~                |    ~     ~    
1300|TYC 4327-1772-1                                                                                          |Star                          |03 45 19.7598139536 +68 33 36.646102872|137.7687745728288 +10.8566090414871|  10.556 -4.728   |10.06    |~                |    ~     ~    
1301|TYC 4327-1831-1                                                                                          |Star                          |03 48 42.1547402304 +67 30 00.938447964|138.6952689249406 +10.2294993113440| -18.515 -0.708   |10.93    |~                |    ~     ~    
1302|TYC 4327-1876-1                                                                                          |Star                          |03 50 39.5855832528 +68 42 38.933522424|138.0553770013946 +11.2799832469430|   0.146 -2.089   |10.69    |~                |    ~     ~    
1303|TYC 4327-2005-1                                                                                          |Star                          |03 46 10.6135998288 +67 41 47.227138584|138.3797836421223 +10.2309682567657| -20.622 10.741   |10.89    |~                |    ~     ~    
1304|TYC 4327-2079-1                                                                                          |Star                          |03 46 33.4955501832 +67 39 05.272888644|138.4370860706007 +10.2184985440384|   -6.119 6.639   |10.87    |~                |    ~     ~    
1305|TYC 4327-2123-1                                                                                          |Star                          |03 50 50.2333 +67 50 29.064            |138.6341553 +10.6217670            |  -9.845 -1.851   |10.59    |~                |    ~     ~    
1306|TYC 4327-2164-1                                                                                          |Star                          |03 46 03.5873991120 +68 34 10.256916252|137.8159091526298 +10.9055824132759|  11.368 -9.724   |10.92    |~                |    ~     ~    
1307|TYC 4327-2176-1                                                                                          |Star                          |03 47 00.1350466536 +68 34 53.267322576|137.8765582625233 +10.9688588110157|  0.210 -21.574   |10.22    |~                |    ~     ~    
1308|TYC 4327-2192-1                                                                                          |Star                          |03 55 46.4249322216 +68 37 35.757512832|138.4727138854616 +11.5166328433683|  -3.908 -5.661   |10.84    |~                |    ~     ~    
1309|TYC 4327-2233-1                                                                                          |Star                          |03 46 12.4024568328 +67 57 45.277208208|138.2129743994009 +10.4404935407669|   -0.909 1.647   |10.54    |~                |    ~     ~    
1310|TYC 4327-2354-1                                                                                          |Star                          |03 45 13.5598540344 +68 35 55.872743928|137.7367144840242 +10.8809686297062| -19.519 -5.615   |10.76    |~                |    ~     ~    
