C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:08:27

dec >=0&rah >=6.75&rah< 7.0&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 8283

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------|-----|----------------|-----------------------|--------|-------------------
22  |BD+83 167                                                                                                |Spectroscopic Binary              |06 49 02.8986020280 +83 27 46.832941476|130.2637964553566 +26.8696886250978|  -12.936 3.780   |9.94     |F8                   |    ~     ~    |    1|  338.398   pc  | -10.5123    +10.5123  |paral   |2020yCat.1350....0G
23  |BD+83 168                                                                                                |Spectroscopic Binary              |06 59 25.6263891432 +83 28 29.594274816|130.2657441489423 +27.1650228806075| 13.943 -49.809   |10.71    |F5                   |    ~     ~    |    1|  274.975   pc  |  -1.6408     +1.6408  |paral   |2020yCat.1350....0G
24  |BD+82 175                                                                                                |Star                              |06 45 34.8387882648 +82 53 18.669193188|130.8963336239230 +26.7218976144068|  19.606 10.117   |9.84     |G5                   |    ~     ~    |    1|  226.752   pc  |  -0.6581     +0.6581  |paral   |2020yCat.1350....0G
25  |HD 45635                                                                                                 |Star                              |06 45 17.5104719280 +82 25 01.290021456|131.4209457596728 +26.6697312169212|  -0.377 -7.096   |8.60     |K0                   |    ~     ~    |    1|  547.705   pc  |  -4.7097     +4.7097  |paral   |2020yCat.1350....0G
26  |BD+82 178                                                                                                |Star                              |06 49 43.6637471352 +82 34 31.747515096|131.2576860663756 +26.8272925007427|   6.804 12.942   |10.40    |F0                   |    ~     ~    |    1|  455.581   pc  |  -2.8850     +2.8850  |paral   |2020yCat.1350....0G
27  |BD+82 179                                                                                                |Star                              |06 50 08.7601250256 +82 33 05.836492152|131.2854606316885 +26.8390577599381|   -1.123 8.787   |10.26    |F0                   |    ~     ~    |    1|  314.515   pc  |  -1.7410     +1.7410  |paral   |2020yCat.1350....0G
28  |BD+82 180                                                                                                |Star                              |06 51 13.8089978472 +82 22 25.903857288|131.4870073873209 +26.8620299918732|   -0.562 3.413   |9.14     |M2                   |    ~     ~    |    1| 1256.755   pc  | -28.1139    +28.1139  |paral   |2020yCat.1350....0G
29  |BD+82 181                                                                                                |Star                              |06 52 25.5260413536 +82 15 13.316345784|131.6244116600747 +26.8938938625068|   1.641 -2.004   |10.13    |K0                   |    ~     ~    |    1|  524.686   pc  |  -2.9732     +2.9732  |paral   |2020yCat.1350....0G
30  |BD+82 182                                                                                                |Star                              |06 52 44.2065963528 +82 03 08.529752988|131.8504515263793 +26.8914374947894|   -0.821 0.774   |10.00    |K2                   |    ~     ~    |    1|  876.732   pc  | -10.3000    +10.3000  |paral   |2020yCat.1350....0G
31  |BD+82 183                                                                                                |Star                              |06 56 32.4716670672 +82 34 29.983574388|131.2727422631014 +27.0469914425305|   3.189 -1.485   |10.05    |G5                   |    ~     ~    |    1|  113.425   pc  |  -0.1415     +0.1415  |paral   |2020yCat.1350....0G
32  |BD+82 184                                                                                                |High Proper Motion Star           |06 58 45.1849427520 +82 34 40.558605960|131.2726005877071 +27.1184970270399|21.441 -116.732   |9.35     |K2                   |    ~     ~    |    1|  636.699   pc  |  -4.9052     +4.9052  |paral   |2020yCat.1350....0G
33  |HD 48191                                                                                                 |Star                              |06 58 55.0510722024 +82 29 22.199440056|131.3721054014898 +27.1207780311096|  11.565 23.651   |8.59     |K2                   |    ~     ~    |    1|  414.422   pc  |  -3.5551     +3.5551  |paral   |2020yCat.1350....0G
34  |HD 46070                                                                                                 |Pulsating Variable                |06 46 35.4112719072 +81 49 10.066074852|132.0913426500910 +26.6580972105742|  0.569 -18.330   |9.25     |F2                   |    ~     ~    |    1|  440.509   pc  |  -2.4062     +2.4062  |paral   |2020yCat.1350....0G
35  |BD+81 223                                                                                                |Star                              |06 47 17.1477484656 +81 46 07.732144848|132.1503393348529 +26.6781436411363|   -0.606 0.054   |10.59    |F0                   |    ~     ~    |    1|  613.008   pc  |  -4.4342     +4.4342  |paral   |2020yCat.1350....0G
36  |BD+81 226                                                                                                |Star                              |06 57 23.2595321304 +81 42 03.922692732|132.2543651950968 +27.0355654318689|    0.945 0.751   |9.93     |F5                   |    ~     ~    |    1|  407.780   pc  |  -3.1927     +3.1927  |paral   |2020yCat.1350....0G
37  |TYC 4618-557-1                                                                                           |Star                              |06 49 51.3862986744 +83 44 19.124225412|129.9570653670550 +26.9102319449183|    4.063 2.740   |10.99    |~                    |    ~     ~    |    1| 2234.637   pc  | -53.9309    +53.9309  |paral   |2020yCat.1350....0G
38  |TYC 4618-953-1                                                                                           |Star                              |06 54 16.4429745480 +82 45 49.296098916|131.0572724135029 +26.9838412653078|  -1.872 -2.446   |10.59    |~                    |    ~     ~    |    1| 1334.935   pc  | -18.3551    +18.3551  |paral   |2020yCat.1350....0G
39  |BD+81 224                                                                                                |Star                              |06 47 23.4183440712 +81 17 02.483766816|132.6908503560476 +26.6369877062021|    5.962 8.349   |10.47    |K5                   |    ~     ~    |    1|  986.096   pc  | -12.7382    +12.7382  |paral   |2020yCat.1350....0G
40  |HD 46632                                                                                                 |Star                              |06 48 38.9165924856 +81 08 23.696780100|132.8563804000982 +26.6714935672389|    3.199 7.624   |8.22     |K5                   |    ~     ~    |    1|  669.613   pc  |  -8.9228     +8.9228  |paral   |2020yCat.1350....0G
41  |HD 48679                                                                                                 |Star                              |06 58 18.0061351416 +80 55 42.299875344|133.1226654616418 +27.0315677428214| -24.534 -5.760   |8.85     |G0                   |    ~     ~    |    1|   66.974   pc  |  -0.3683     +0.3683  |paral   |2020yCat.1350....0G
