C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:18:42

dec< 0&rah >=14.0&rah< 14.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5673

 #  |                                                                 identifier                                                                 |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
22  |HD 122239                                                                                                                                   |Star                                  |14 00 44.8821178440 -02 31 13.921572144|335.0493118747263 +55.9678321552657| -27.121 19.910   |10.730   |A2             |    ~     ~    |    1|  452.141   pc  | -13.8400    +13.8400    |ST-L    |2020AJ....160...83S
23  |HD 122266                                                                                                                                   |High Proper Motion Star               |14 01 01.1313454584 -02 30 01.471062780|335.1727411849789 +55.9534573430033|-68.525 -89.493   |9.76     |G3V            |    ~     ~    |    1|  112.244   pc  |  -0.2759     +0.2759    |paral   |2020yCat.1350....0G
24  |HD 122303                                                                                                                                   |High Proper Motion Star               |14 01 03.1882316643 -02 39 17.519814662|335.0555075029475 +55.8134322579837|-825.463 598.433  |9.707    |M0V            |    ~     ~    |    1|   10.4213  pc  |  -0.0027     +0.0027    |paral   |2020yCat.1350....0G
25  |HD 122531                                                                                                                                   |Star                                  |14 02 36.0439918368 -03 06 51.774764220|335.2702785210914 +55.2254844372882|   -5.933 8.967   |9.23     |G8III/IV       |    ~     ~    |    1|  418.901   pc  |  -3.4745     +3.4745    |paral   |2020yCat.1350....0G
26  |HD 122564                                                                                                                                   |Double or Multiple Star               |14 02 49.7743720608 -03 47 14.763219936|334.8028893273682 +54.6057308192258| -0.853 -11.653   |9.600    |K1(III)        |    ~     ~    |    1|  494.682   pc  |  -4.3803     +4.3803    |paral   |2020yCat.1350....0G
27  |HD 122678                                                                                                                                   |High Proper Motion Star               |14 03 22.4526430584 -03 51 57.158190216|334.9455398793339 +54.4724596084579|-141.601 -5.922   |9.64     |G3V            |    ~     ~    |    1|   99.359   pc  |  -0.7697     +0.7697    |ST-L    |2020AJ....160...83S
28  |HD 122190                                                                                                                                   |High Proper Motion Star               |14 00 28.7097533376 -04 35 12.059667060|333.2767768743669 +54.1667278860577|-59.892 -44.126   |10.83    |B9IV/V         |    ~     ~    |    1|  769.645   pc  | -21.7986    +21.7986    |paral   |2020yCat.1350....0G
29  |BD-03 3567                                                                                                                                  |Star                                  |14 01 42.0582204000 -04 18 59.347171800|333.9511805037304 +54.2684749590268|-10.823 -39.340   |10.57    |G0             |    ~     ~    |    1|  250.350   pc  |  -1.0968     +1.0968    |paral   |2020yCat.1350....0G
30  |HD 122718                                                                                                                                   |Star                                  |14 03 37.8972986640 -04 20 25.931476284|334.6597051812387 +54.0235374111946|  -11.695 4.407   |10.28    |A7II           |    ~     ~    |    1|  396.227   pc  | -11.7300    +11.7300    |ST-L    |2020AJ....160...83S
31  |HD 122267                                                                                                                                   |High Proper Motion Star               |14 01 00.0130279032 -04 46 54.403658076|333.3243302737107 +53.9339586927075|  -64.554 0.059   |10.377   |F5/7V          |    ~     ~    |    1|  253.101   pc  |  -6.8060     +6.8060    |ST-L    |2020AJ....160...83S
