C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:18:42

dec< 0&rah >=14.0&rah< 14.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5673

 #  |                                                                 identifier                                                                 |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
1272|V* V353 Hya                                                                                                                                 |Eclipsing Binary                      |14 10 12.3383015376 -25 24 02.391491016|324.5122077448829 +34.1488067583756| -74.915 -5.686   |7.43     |F5V            |    ~     ~    |    1|  133.097   pc  |  -1.1532     +1.1532    |paral   |2020yCat.1350....0G
1273|HD 123810                                                                                                                                   |Star                                  |14 10 25.3737809280 -25 18 37.225295640|324.6071256907502 +34.2151531983368|  -24.355 2.399   |9.64     |K0III          |    ~     ~    |    1|  597.407   pc  |  -8.0301     +8.0301    |paral   |2020yCat.1350....0G
1274|HD 123905                                                                                                                                   |Star                                  |14 10 54.6953818632 -25 19 15.733409736|324.7267357400941 +34.1649274256100|-13.599 -12.469   |7.86     |K3III          |    ~     ~    |    1|  476.804   pc  |  -6.0018     +6.0018    |paral   |2020yCat.1350....0G
1275|HD 124026                                                                                                                                   |Star                                  |14 11 36.1647668448 -25 10 54.923034432|324.9642565761412 +34.2369291082009| -4.694 -24.431   |8.15     |K2III          |    ~     ~    |    1|  264.257   pc  |  -2.9678     +2.9678    |paral   |2020yCat.1350....0G
1276|HD 124189                                                                                                                                   |Star                                  |14 12 38.1340330464 -25 26 38.963806512|325.1087078604715 +33.9068817752536|  -16.652 5.091   |10.34    |G0V            |    ~     ~    |    1|  268.219   pc  |  -1.5036     +1.5036    |paral   |2020yCat.1350....0G
1277|HD 124226                                                                                                                                   |Double or Multiple Star               |14 12 56.35558 -25 30 15.6275          |325.15831294 +33.82549638          |   -4.60 -20.53   |7.23     |K0III          |    ~     ~    |    0|                |                         |        |                   
1278|HD 124251                                                                                                                                   |Star                                  |14 13 00.5516674464 -25 35 11.782371552|325.1390060957666 +33.7432837669434|  3.637 -10.574   |9.10     |K1III(+G)      |    ~     ~    |    1|  560.852   pc  | -42.8425    +42.8425    |paral   |2020yCat.1350....0G
1279|HD 124306                                                                                                                                   |High Proper Motion Star               |14 13 20.9596876032 -25 29 34.802970144|325.2667093203576 +33.8014216445589|-56.234 -94.723   |9.93     |G8(III)        |    ~     ~    |    1|  290.823   pc  |  -5.5350     +5.5350    |ST-L    |2020AJ....160...83S
1280|HD 123218                                                                                                                                   |Star                                  |14 06 54.2872477272 -25 57 29.722335768|323.4346936021150 +33.8911187495114| -44.016 -4.786   |8.64     |A5mA9-F2       |    ~     ~    |    1|  213.885   pc  |  -1.1574     +1.1574    |paral   |2020yCat.1350....0G
1281|HD 124008                                                                                                                                   |High Proper Motion Star               |14 11 31.7975917608 -25 51 46.250256888|324.6443544465934 +33.6096609136500|-56.304 -85.676   |10.44    |K1V            |    ~     ~    |    1|   65.059   pc  |  -0.3032     +0.3032    |ST-L    |2020AJ....160...83S
1282|HD 124075                                                                                                                                   |Star                                  |14 11 51.7533051504 -26 13 55.183909080|324.5658449214441 +33.2387735020051| -24.991 -5.811   |9.40     |F3IV/V         |    ~     ~    |    1|  316.854   pc  |  -8.9100     +8.9100    |ST-L    |2020AJ....160...83S
1283|HD 124413                                                                                                                                   |Star                                  |14 14 05.1634280112 -25 55 08.825929860|325.2593869302967 +33.3441696500325| -23.732 -3.266   |10.542   |F7/8V          |    ~     ~    |    1|  350.598   pc  |  -8.6650     +8.6650    |ST-L    |2020AJ....160...83S
1284|HD 124536                                                                                                                                   |Spectroscopic Binary                  |14 14 50.5018043784 -26 00 51.574983552|325.4045536150020 +33.1919269593870| -26.468 -9.886   |9.52     |K1III          |    ~     ~    |    1|  570.613   pc  |  -8.0749     +8.0749    |paral   |2020yCat.1350....0G
1285|HD 124557                                                                                                                                   |Star                                  |14 14 54.4386165960 -25 55 17.523366276|325.4628985924069 +33.2722146736230| -8.563 -12.982   |10.08    |G0/1V          |    ~     ~    |    1|  310.181   pc  | -16.4700    +16.4700    |ST-L    |2020AJ....160...83S
1286|HD 123456                                                                                                                                   |Star                                  |14 08 24.7854924072 -26 20 56.647776300|323.6518508911918 +33.4067460717809|   15.015 2.033   |9.359    |F2IV/V         |    ~     ~    |    1|  176.557   pc  |  -2.9250     +2.9250    |ST-L    |2020AJ....160...83S
1287|HD 123541                                                                                                                                   |Double or Multiple Star               |14 08 55.1204424960 -26 22 45.029560692|323.7660610480633 +33.3386667778442|-225.076 49.531   |8.82     |G1V            |0.0067  0.0    |    1|   96.147   pc  |  -0.6157     +0.6157    |paral   |2020yCat.1350....0G
1288|HD 123621                                                                                                                                   |Star                                  |14 09 18.4354906848 -26 20 16.743369552|323.8809671116430 +33.3463557862458| -16.115 -4.091   |9.53     |A1IV/V         |    ~     ~    |    1|  329.734   pc  |  -9.8820     +9.8820    |ST-L    |2020AJ....160...83S
1289|HD 123698                                                                                                                                   |Star                                  |14 09 51.1332828696 -26 14 44.716193232|324.0569742195081 +33.3890049120645|-44.544 -17.610   |9.10     |F5V            |    ~     ~    |    1|  131.914   pc  |  -0.3463     +0.3463    |paral   |2020yCat.1350....0G
1290|HD 123789                                                                                                                                   |Star                                  |14 10 17.6518258392 -26 32 39.201008424|324.0397361971178 +33.0748850952267| -15.621 -2.641   |9.31     |K1/2(IV)       |    ~     ~    |    1|  700.427   pc  | -11.0385    +11.0385    |paral   |2020yCat.1350....0G
1291|HD 123886                                                                                                                                   |Star                                  |14 10 46.0036561944 -26 27 22.795881732|324.1952056153202 +33.1189079305714|  -34.729 7.002   |9.66     |G0V            |    ~     ~    |    1|  154.579   pc  |  -1.3510     +1.3510    |ST-L    |2020AJ....160...83S
1292|HD 123935                                                                                                                                   |Star                                  |14 11 06.2970239472 -26 23 47.418332136|324.3053330921179 +33.1473350949661|  -4.405 -1.639   |10.30    |A9IV           |    ~     ~    |    1|  750.084   pc  | -31.7800    +31.7800    |ST-L    |2020AJ....160...83S
1293|HD 124500                                                                                                                                   |Star                                  |14 14 39.2117793264 -26 24 17.739801432|325.1821353728685 +32.8461374414979| 19.226 -18.703   |8.42     |F2IV           |    ~     ~    |    1|  176.932   pc  |  -1.2898     +1.2898    |paral   |2020yCat.1350....0G
1294|CD-25 10239                                                                                                                                 |Star                                  |14 14 57.5204019672 -26 17 28.529136456|325.3085734661609 +32.9256388728988|  15.754 -7.800   |10.417   |~              |    ~     ~    |    1|  251.016   pc  |  -4.1320     +4.1320    |ST-L    |2020AJ....160...83S
1295|HD 123768                                                                                                                                   |Star                                  |14 10 12.3919941552 -26 44 07.394317980|323.9363960409478 +32.9033785660844|-30.294 -19.003   |10.163   |F5V            |    ~     ~    |    1|  313.770   pc  |  -6.6130     +6.6130    |ST-L    |2020AJ....160...83S
1296|V* V558 Hya                                                                                                                                 |Long-Period Variable                  |14 10 06.9516765024 -26 09 39.558602844|324.1595091121832 +33.4469523318196|   -6.173 0.206   |10.48    |~              |    ~     ~    |    1| 2154.24    pc  |-143.4      +143.4       |paral   |2020yCat.1350....0G
1297|IRAS 14117-2601                                                                                                                             |Long-Period Variable Candidate        |14 14 38.1700845024 -26 15 15.215439636|325.2454340305606 +32.9872135619868| -11.011 -9.143   |10.62    |~              |    ~     ~    |    1|  815.794   pc  | -57.5009    +57.5009    |paral   |2020yCat.1350....0G
1298|CD-25 10183                                                                                                                                 |Star                                  |14 08 31.6666401480 -25 52 12.836602668|323.8835149420625 +33.8457648922556| -20.161 12.488   |10.90    |~              |    ~     ~    |    1|  285.179   pc  |  -4.8280     +4.8280    |ST-L    |2020AJ....160...83S
1299|CD-24 11323                                                                                                                                 |Star                                  |14 10 19.0573878864 -25 11 09.435181308|324.6350315741452 +34.3396795836543|  0.917 -11.901   |10.553   |~              |    ~     ~    |    1|  517.832   pc  | -21.7300    +21.7300    |ST-L    |2020AJ....160...83S
1300|CD-26 10137                                                                                                                                 |High Proper Motion Star               |14 10 50.6195206800 -26 37 23.189575476|324.1426623551147 +32.9571361321255| -47.561 20.717   |10.539   |~              |    ~     ~    |    1|  296.485   pc  |  -4.8180     +4.8180    |ST-L    |2020AJ....160...83S
1301|CD-25 10205                                                                                                                                 |High Proper Motion Star               |14 11 04.8914677728 -25 37 16.324515516|324.6375206829214 +33.8714968547368| -52.604 -9.757   |10.207   |~              |    ~     ~    |    1|  508.847   pc  | -20.9900    +20.9900    |ST-L    |2020AJ....160...83S
1302|CD-25 10222                                                                                                                                 |Star                                  |14 13 02.1000766392 -25 58 24.983679504|324.9726042125365 +33.3819298367163|    2.301 1.097   |10.536   |~              |    ~     ~    |    1|  194.039   pc  |  -3.2580     +3.2580    |ST-L    |2020AJ....160...83S
1303|CD-25 10202                                                                                                                                 |Star                                  |14 11 05.5598911200 -26 30 18.747297504|324.2553181186582 +33.0469946824092| -3.587 -15.151   |10.48    |~              |    ~     ~    |    1| 1233.980   pc  | -84.0600    +84.0600    |ST-L    |2020AJ....160...83S
1304|CD-24 11353                                                                                                                                 |Star                                  |14 13 39.0815724216 -24 47 01.170526632|325.6660019250068 +34.4327410538162|   -2.870 2.034   |9.76     |~              |    ~     ~    |    1| 1113.710   pc  | -75.8200    +75.8200    |ST-L    |2020AJ....160...83S
1305|TYC 6730-966-1                                                                                                                              |High Proper Motion Star               |14 11 17.7759416136 -24 19 11.041508388|325.2735578734229 +35.0636536433880|-49.515 -38.700   |10.662   |~              |    ~     ~    |    1|  263.553   pc  | -29.7800    +29.7800    |ST-L    |2020AJ....160...83S
1306|HD 124279                                                                                                                                   |Star                                  |14 13 10.2026107224 -24 05 29.017675284|325.8622938743374 +35.1148222743453|-37.355 -27.729   |10.71    |G0/2V          |    ~     ~    |    1|  140.921   pc  |  -1.3630     +1.3630    |ST-L    |2020AJ....160...83S
1307|TYC 6734-207-1                                                                                                                              |Star                                  |14 07 15.0871381296 -26 12 27.071700840|323.4184874942856 +33.6303316224512| -14.475 -8.354   |10.424   |~              |    ~     ~    |    1| 1836.530   pc  |-251.1000   +251.1000    |ST-L    |2020AJ....160...83S
1308|TYC 6734-295-1                                                                                                                              |Star                                  |14 08 23.1877194528 -26 01 39.734079240|323.7808644905336 +33.7096531746913|-15.845 -12.566   |10.678   |~              |    ~     ~    |    1|  702.792   pc  | -29.2300    +29.2300    |ST-L    |2020AJ....160...83S
1309|TYC 6734-302-1                                                                                                                              |Star                                  |14 08 13.9371344616 -24 42 11.586754476|324.3105177961218 +34.9603355470087|  -28.218 2.211   |10.832   |~              |    ~     ~    |    1|  282.941   pc  |  -4.4770     +4.4770    |ST-L    |2020AJ....160...83S
1310|TYC 6734-341-1                                                                                                                              |Star                                  |14 10 11.3435157120 -25 28 05.577525192|324.4784391441155 +34.0871977053402| -9.595 -16.484   |10.87    |~              |    ~     ~    |    1|  660.808   pc  | -11.6590    +11.6590    |paral   |2020yCat.1350....0G
1311|TYC 6734-370-1                                                                                                                              |Star                                  |14 08 02.9887005192 -24 29 19.280865660|324.3567990829247 +35.1755296812136|  -8.233 -1.805   |10.528   |~              |    ~     ~    |    1|  879.401   pc  |-111.3000   +111.3000    |ST-L    |2020AJ....160...83S
1312|TYC 6734-387-1                                                                                                                              |Star                                  |14 09 01.8276134064 -25 10 34.220152056|324.3102024632151 +34.4539533704703|   -1.340 0.287   |10.799   |~              |    ~     ~    |    1|  948.798   pc  | -52.5700    +52.5700    |ST-L    |2020AJ....160...83S
1313|TYC 6734-658-1                                                                                                                              |Star                                  |14 12 46.4486439312 -25 18 57.168239868|325.2013486249917 +34.0142618175617| -33.910 -3.670   |10.899   |~              |    ~     ~    |    1|  233.023   pc  |  -3.1920     +3.1920    |ST-L    |2020AJ....160...83S
1314|TYC 6734-679-1                                                                                                                              |Star                                  |14 09 10.4933128848 -24 28 54.105565224|324.6519361976058 +35.0900156534139|    5.412 5.831   |10.443   |~              |    ~     ~    |    1|  858.238   pc  | -36.1900    +36.1900    |ST-L    |2020AJ....160...83S
1315|TYC 6734-936-1                                                                                                                              |Star                                  |14 12 13.2210391560 -26 08 06.992034720|324.6975813020350 +33.2993213936459| -9.202 -16.600   |10.496   |~              |    ~     ~    |    1|  263.580   pc  |  -5.6380     +5.6380    |ST-L    |2020AJ....160...83S
1316|TYC 6735-886-1                                                                                                                              |Star                                  |14 14 23.4998778816 -24 31 08.488156404|325.9771125819303 +34.6133614851433| -2.178 -13.476   |10.570   |~              |    ~     ~    |    1|  177.406   pc  |  -2.2560     +2.2560    |ST-L    |2020AJ....160...83S
1317|TYC 6737-523-1                                                                                                                              |Star                                  |14 05 20.9211174192 -26 37 45.487701012|322.7652351183928 +33.3799616392040|-20.091 -11.958   |10.09    |~              |    ~     ~    |    1|  658.675   pc  |  -9.1977     +9.1977    |paral   |2020yCat.1350....0G
1318|TYC 6738-779-1                                                                                                                              |Star                                  |14 08 26.3739750048 -26 39 31.557752928|323.5285377480179 +33.1146581978403|-16.315 -18.958   |10.764   |~              |    ~     ~    |    1|  239.129   pc  |  -4.9510     +4.9510    |ST-L    |2020AJ....160...83S
1319|TYC 6738-1094-1                                                                                                                             |Star                                  |14 08 53.1281612640 -26 44 16.991157264|323.6065889233523 +33.0054535154466|  -7.525 -7.414   |10.550   |~              |    ~     ~    |    1|  468.207   pc  | -13.1500    +13.1500    |ST-L    |2020AJ....160...83S
1320|TYC 6738-1279-1                                                                                                                             |Star                                  |14 11 38.9067581328 -26 35 53.547435852|324.3532065870795 +32.9152579366003| -7.978 -34.104   |10.59    |~              |    ~     ~    |    1|  428.896   pc  | -12.4000    +12.4000    |ST-L    |2020AJ....160...83S
1321|TYC 6738-1355-1                                                                                                                             |Star                                  |14 11 59.5656042264 -26 34 49.986019668|324.4462560970359 +32.9036638294821|   6.524 -6.215   |10.491   |~              |    ~     ~    |    1|  563.649   pc  | -18.9400    +18.9400    |ST-L    |2020AJ....160...83S
1322|CD-26 10077                                                                                                                                 |Star                                  |14 04 16.2685072440 -27 22 25.473833148|322.1983691352965 +32.7585576738801|   -8.510 5.721   |10.500   |~              |    ~     ~    |    1|  263.838   pc  |  -4.7810     +4.7810    |ST-L    |2020AJ....160...83S
1323|HD 123053                                                                                                                                   |High Proper Motion Star               |14 05 59.7907595064 -27 33 31.440191220|322.5533017538447 +32.4563917917774| -57.539 -6.258   |9.22     |F3/5V          |    ~     ~    |    1|  139.807   pc  |  -0.5981     +0.5981    |paral   |2020yCat.1350....0G
1324|HD 122720                                                                                                                                   |Star                                  |14 04 10.8316978992 -27 51 39.413802600|321.9853884859438 +32.3052036363874|   0.876 -7.698   |9.92     |A1/2V          |    ~     ~    |    1|  452.568   pc  | -19.4100    +19.4100    |ST-L    |2020AJ....160...83S
1325|HD 122870                                                                                                                                   |Star                                  |14 05 05.3358297120 -28 30 59.484636756|321.9536425437696 +31.6202810463114|  -4.826 17.295   |8.01     |F3V            |    ~     ~    |    1|   90.688   pc  |  -0.2402     +0.2402    |paral   |2020yCat.1350....0G
1326|HD 122662                                                                                                                                   |Star                                  |14 03 53.9809743792 -29 34 48.977960448|321.2612827254332 +30.6993543714065|  17.893 11.968   |9.84     |F5/6V          |    ~     ~    |    1|  193.454   pc  |  -2.1818     +2.1818    |paral   |2020yCat.1350....0G
1327|HD 122682                                                                                                                                   |High Proper Motion Star               |14 03 59.6059768248 -28 54 17.151507648|321.5385331416852 +31.3320238667094|-63.529 -39.528   |9.70     |G8V            |    ~     ~    |    1|  180.646   pc  |  -7.4077     +7.4077    |paral   |2020yCat.1350....0G
1328|HD 122754                                                                                                                                   |Double or Multiple Star               |14 04 21.76258 -28 35 59.5475          |321.74464312 +31.59394108          |  -27.33 -12.74   |8.40     |F2IV           |    ~     ~    |    0|                |                         |        |                   
1329|HD 122977                                                                                                                                   |Star                                  |14 05 43.3477569072 -28 50 54.817692000|321.9785695567357 +31.2609723260527| -26.439 -7.364   |9.85     |F3V            |    ~     ~    |    1|  244.004   pc  |  -1.3515     +1.3515    |paral   |2020yCat.1350....0G
1330|HD 122997                                                                                                                                   |Star                                  |14 05 47.7168725184 -29 32 00.319484040|321.7320793732297 +30.6093683772452| -7.789 -14.930   |9.89     |F3/5V          |    ~     ~    |    1|  194.738   pc  |  -0.5613     +0.5613    |paral   |2020yCat.1350....0G
1331|HD 123108                                                                                                                                   |Star                                  |14 06 22.6239060720 -29 20 43.548242100|321.9434241377563 +30.7448134699094|  -7.602 -7.224   |8.78     |K1/2III        |    ~     ~    |    1|  349.199   pc  |  -2.6827     +2.6827    |paral   |2020yCat.1350....0G
1332|CD-27 9566                                                                                                                                  |Star                                  |14 04 02.2931033016 -28 05 07.217221272|321.8633382110300 +32.1035287744727| -24.017 -1.926   |10.67    |~              |    ~     ~    |    1|  385.966   pc  |  -3.2922     +3.2922    |paral   |2020yCat.1350....0G
1333|CPD-28 4848                                                                                                                                 |High Proper Motion Star               |14 04 00.9381535464 -29 18 03.080076876|321.3940507542911 +30.9556988125815|-46.215 -31.601   |10.44    |~              |    ~     ~    |    1|  100.228   pc  |  -0.2089     +0.2089    |paral   |2020yCat.1350....0G
1334|CD-28 10417                                                                                                                                 |Star                                  |14 04 14.9575670040 -29 01 57.583499484|321.5518729974559 +31.1928852626960| -20.729 -5.424   |10.344   |~              |    ~     ~    |    1|  281.418   pc  |  -5.7070     +5.7070    |ST-L    |2020AJ....160...83S
1335|CD-27 9592                                                                                                                                  |Star                                  |14 05 40.3110381384 -27 51 57.556614348|322.3510743499747 +32.1911274709566| -18.477 -7.034   |10.04    |~              |    ~     ~    |    1|  974.469   pc  | -17.8523    +17.8523    |paral   |2020yCat.1350....0G
1336|HD 123243                                                                                                                                   |Double or Multiple Star               |14 07 01.9495332192 -27 21 10.195657992|322.8925664237344 +32.5720118110412|  13.684 14.357   |7.48     |G8III          |0.0100  0.0    |    1|  238.755   pc  |  -2.7875     +2.7875    |paral   |2020yCat.1350....0G
1337|HD 123312                                                                                                                                   |Star                                  |14 07 25.8379575984 -26 58 53.508399312|323.1430654042294 +32.8902926039155| -2.680 -14.311   |9.775    |G8III          |    ~     ~    |    1|  577.586   pc  | -17.4200    +17.4200    |ST-L    |2020AJ....160...83S
1338|CD-26 10110                                                                                                                                 |Long-Period Variable Candidate        |14 07 45.1585874640 -26 58 42.088292904|323.2245295428276 +32.8684690494718|  -9.490 -7.135   |9.580    |M2/3(III)      |    ~     ~    |    1| 1013.120   pc  | -76.6000    +76.6000    |ST-L    |2020AJ....160...83S
1339|HD 123384                                                                                                                                   |High Proper Motion Star               |14 07 55.0672241760 -27 20 42.021720096|323.1147349317642 +32.5117593180933| -62.952 -1.672   |8.68     |F0V            |    ~     ~    |    1|  147.916   pc  |  -0.4595     +0.4595    |paral   |2020yCat.1350....0G
1340|HD 123582                                                                                                                                   |Star                                  |14 09 06.8374618968 -27 11 36.398587848|323.4729082240792 +32.5612217733001|  -19.597 5.250   |8.94     |K0III          |    ~     ~    |    1|  469.881   pc  | -20.9528    +20.9528    |paral   |2020yCat.1350....0G
1341|HD 123811                                                                                                                                   |Star                                  |14 10 26.0039988864 -26 52 53.373903996|323.9305209821872 +32.7488312153835| -28.958 -5.585   |8.26     |F5V            |    ~     ~    |    1|  104.571   pc  |  -0.5807     +0.5807    |paral   |2020yCat.1350....0G
1342|HD 124281                                                                                                                                   |Star                                  |14 13 13.2571427208 -26 36 44.316326808|324.7362971008759 +32.7732654160199| 14.140 -18.291   |6.236    |K0III          |    ~     ~    |    1|  175.577   pc  |  -0.9248     +0.9248    |paral   |2020yCat.1350....0G
1343|HD 124501                                                                                                                                   |Star                                  |14 14 39.0699406776 -26 41 10.347833040|325.0559525054395 +32.5856615464163|-14.847 -15.637   |9.18     |K3III          |    ~     ~    |    1|  759.474   pc  | -13.2664    +13.2664    |paral   |2020yCat.1350....0G
1344|CD-26 10182                                                                                                                                 |Star                                  |14 14 57.6332543472 -26 42 54.630124632|325.1190186267505 +32.5328559282603|-31.974 -15.078   |10.679   |~              |    ~     ~    |    1|  244.414   pc  |  -5.2360     +5.2360    |ST-L    |2020AJ....160...83S
1345|HD 123457                                                                                                                                   |Star                                  |14 08 26.4477683664 -27 28 31.812206268|323.1901609203207 +32.3491260813516|   -5.283 5.623   |10.157   |F5/6V          |    ~     ~    |    1|  156.749   pc  |  -1.5850     +1.5850    |ST-L    |2020AJ....160...83S
1346|HD 123699                                                                                                                                   |Star                                  |14 09 49.5253153176 -27 22 51.075553872|323.5700111088934 +32.3301488601237|-11.528 -10.161   |8.46     |G8IV           |    ~     ~    |    1|  561.451   pc  | -12.4830    +12.4830    |paral   |2020yCat.1350....0G
1347|HD 124190                                                                                                                                   |Star                                  |14 12 37.4893025856 -27 25 56.158634892|324.2335224979414 +32.0592499524773|  -5.456 10.054   |9.25     |G8IV           |    ~     ~    |    1|  527.287   pc  |  -4.1705     +4.1705    |paral   |2020yCat.1350....0G
1348|* 50 Hya                                                                                                                                    |Star                                  |14 12 46.0229491343 -27 15 40.268119429|324.3419625193429 +32.2070119925842|-12.951 -35.033   |5.08     |K2III          |    ~     ~    |    1|   68.2543  pc  |  -1.0296     +1.0296    |paral   |2018yCat.1345....0G
1349|HD 124479                                                                                                                                   |Star                                  |14 14 35.7792495024 -27 06 45.124869348|324.8535927252408 +32.1948857847730| -24.764 -5.514   |9.68     |F3/5V          |    ~     ~    |    1|  253.389   pc  |  -4.9439     +4.9439    |paral   |2020yCat.1350....0G
1350|HD 123197                                                                                                                                   |Star                                  |14 06 50.2829302440 -27 42 46.358753148|322.6991277726772 +32.2482502120348| 10.597 -12.565   |9.84     |K1III          |    ~     ~    |    1|  488.019   pc  |  -4.2155     +4.2155    |paral   |2020yCat.1350....0G
1351|HD 123341                                                                                                                                   |Star                                  |14 07 39.9695876520 -27 42 40.614351048|322.9033709904130 +32.1871268598856| -2.146 -28.363   |9.73     |F2V            |    ~     ~    |    1|  178.115   pc  |  -2.1630     +2.1630    |ST-L    |2020AJ....160...83S
1352|HD 123370                                                                                                                                   |Star                                  |14 07 53.9997921024 -28 08 12.621446304|322.7884464198979 +31.7696773998673|-36.544 -15.870   |8.54     |F0V            |    ~     ~    |    1|  175.451   pc  |  -1.6592     +1.6592    |paral   |2020yCat.1350....0G
1353|HD 123385                                                                                                                                   |Star                                  |14 07 56.9097114600 -27 35 37.558594284|323.0205770150265 +32.2759480816112|-13.138 -26.460   |10.16    |G2V            |    ~     ~    |    1|  245.399   pc  |  -3.7600     +3.7600    |ST-L    |2020AJ....160...83S
1354|HD 123427                                                                                                                                   |Star                                  |14 08 13.4498928768 -28 04 11.385889572|322.8945159736166 +31.8080462276337|  -5.905 -6.755   |9.23     |G8/K0III       |    ~     ~    |    1|  506.586   pc  |  -5.3892     +5.3892    |paral   |2020yCat.1350....0G
1355|HD 123562                                                                                                                                   |Star                                  |14 09 02.9757936384 -28 12 47.948475528|323.0368965790665 +31.6104907303603| -9.509 -13.116   |10.195   |F0V            |    ~     ~    |    1|  373.351   pc  |  -8.9730     +8.9730    |ST-L    |2020AJ....160...83S
1356|HD 123601                                                                                                                                   |Star                                  |14 09 16.3238189112 -28 08 41.983913472|323.1187883332313 +31.6575024708455| -13.740 -3.995   |10.11    |A9V            |    ~     ~    |    1|  311.480   pc  |  -5.7790     +5.7790    |ST-L    |2020AJ....160...83S
1357|HD 123744                                                                                                                                   |Star                                  |14 10 11.3047332120 -28 11 49.687605024|323.3194597002489 +31.5379690142710|-36.158 -31.132   |9.92     |G0V            |    ~     ~    |    1|  150.164   pc  |  -1.3790     +1.3790    |ST-L    |2020AJ....160...83S
1358|HD 123830                                                                                                                                   |Star                                  |14 10 35.4708454968 -27 59 35.024763048|323.5016416098634 +31.6975553474423|   4.967 -2.265   |10.05    |G0V            |    ~     ~    |    1|  266.688   pc  |  -1.2589     +1.2589    |paral   |2020yCat.1350....0G
1359|HD 124142                                                                                                                                   |Star                                  |14 12 24.4748551824 -27 35 25.070335944|324.1129516792277 +31.9295170784355|        7.3 0.7   |10.502   |F0V            |    ~     ~    |    1|  296.43    pc  | +32.905     +55         |ST-L    |2017AJ....153...75K
1360|HD 124502                                                                                                                                   |High Proper Motion Star               |14 14 41.8595837784 -27 45 42.479444880|324.5935071574618 +31.5839147262604|-99.673 -16.783   |7.73     |F6V            |    ~     ~    |    1|   68.466   pc  |  -0.1120     +0.1120    |paral   |2020yCat.1350....0G
1361|HD 123906                                                                                                                                   |Star                                  |14 10 58.1257247184 -28 21 06.587748252|323.4438421360671 +31.3325752900825| -33.525 -0.514   |7.38     |G6III          |    ~     ~    |    1|  282.159   pc  |  -2.8979     +2.8979    |paral   |2020yCat.1350....0G
1362|HD 123950                                                                                                                                   |High Proper Motion Star               |14 11 14.8869993984 -28 27 29.651969592|323.4668793127732 +31.2112971025831|  -51.544 7.588   |9.98     |G0V            |    ~     ~    |    1|  192.792   pc  |  -3.0860     +3.0860    |ST-L    |2020AJ....160...83S
1363|CD-28 10440                                                                                                                                 |Star                                  |14 06 45.9842544360 -29 29 48.038753292|321.9777794088532 +30.5739616442268|   1.050 -9.095   |10.21    |~              |    ~     ~    |    1|  400.352   pc  |  -4.2956     +4.2956    |paral   |2020yCat.1350....0G
1364|HD 123220                                                                                                                                   |Double or Multiple Star               |14 07 00.3000576048 -29 11 10.961795688|322.1555566521174 +30.8489671959036|   -1.801 0.854   |9.01     |M1/2(III)      |    ~     ~    |    1|  746.714   pc  | -14.6644    +14.6644    |paral   |2020yCat.1350....0G
1365|HD 123219                                                                                                                                   |Star                                  |14 07 01.5816890616 -28 42 35.625538080|322.3478820888566 +31.2960932205601| -43.872 -9.374   |9.54     |G8IV           |    ~     ~    |    1|  394.664   pc  |  -3.6448     +3.6448    |paral   |2020yCat.1350....0G
1366|V* V351 Hya                                                                                                                                 |Long-Period Variable                  |14 07 43.5608730576 -29 01 33.650052564|322.3913833736931 +30.9467982563255|  -16.784 0.421   |8.81     |M2III          |    ~     ~    |    1| 1031.78    pc  | -43.4344    +43.4344    |paral   |2020yCat.1350....0G
1367|HD 123404                                                                                                                                   |Star                                  |14 08 03.7678648488 -28 38 57.653937096|322.6221376244949 +31.2758658815010|  -12.377 3.454   |9.63     |K2/3(III)      |    ~     ~    |    1| 1104.606   pc  | -30.1378    +30.1378    |paral   |2020yCat.1350....0G
1368|HD 123499                                                                                                                                   |Star                                  |14 08 44.2977016488 -28 55 14.597147352|322.6759638495361 +30.9702090035553|-34.177 -18.004   |9.898    |F0V            |    ~     ~    |    1|  254.209   pc  |  -4.8760     +4.8760    |ST-L    |2020AJ....160...83S
1369|HD 123745                                                                                                                                   |Star                                  |14 10 10.1001437304 -28 50 55.951937520|323.0473835661463 +30.9291475507345| -9.602 -16.993   |9.95     |G8(III)        |    ~     ~    |    1|  700.427   pc  |  -9.5176     +9.5176    |paral   |2020yCat.1350....0G
1370|HD 123812                                                                                                                                   |High Proper Motion Star               |14 10 28.6726337472 -29 08 03.098293980|323.0051039358161 +30.6381682277070|-80.064 -117.799  |9.65     |K0V            |    ~     ~    |    1|   65.421   pc  |  -0.0924     +0.0924    |paral   |2020yCat.1350....0G
1371|HD 123851                                                                                                                                   |High Proper Motion Star               |14 10 42.4313778072 -29 06 16.432438500|323.0716892340666 +30.6483818397926|-87.342 -24.463   |9.786    |K4IV           |    ~     ~    |    1|   61.364   pc  |  -0.0791     +0.0791    |paral   |2020yCat.1350....0G
