C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:03:52

dec< 0&rah >=18.5&rah< 18.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 8057

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type     |      ang. size      |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-------------------|---------------------|-----|----------------|-------------------------|--------|-------------------
22  |HD 170802                                                                                                |Star                                  |18 33 23.4779543448 -43 01 39.313922556|351.9317872853159 -15.0678697250332|   -0.683 3.319   |9.63     |M2/3               |    ~     ~          |    1| 1425.517   pc  | -47.9575    +47.9575    |paral   |2020yCat.1350....0G
23  |HD 170663                                                                                                |Star                                  |18 32 43.4896632792 -43 56 56.487115356|351.0047561805574 -15.3194703536800|  -4.458 -7.838   |9.10     |K2/3III            |    ~     ~          |    1|  660.197   pc  |  -7.4096     +7.4096    |paral   |2020yCat.1350....0G
24  |HD 170189                                                                                                |Star                                  |18 30 19.9532550360 -44 09 54.031175928|350.6232300537176 -15.0099938879433| -6.985 -10.303   |9.44     |K0/1(III)          |    ~     ~          |    1|  534.988   pc  |  -4.5794     +4.5794    |paral   |2020yCat.1350....0G
25  |HD 170219                                                                                                |High Proper Motion Star               |18 30 27.8922559704 -44 27 56.386146240|350.3471613308321 -15.1510551295241|-10.327 -112.570  |9.85     |G6/8IV/V           |    ~     ~          |    1|  100.381   pc  |  -0.1904     +0.1904    |paral   |2020yCat.1350....0G
26  |HD 170218                                                                                                |Star                                  |18 30 26.6160915144 -44 19 06.955514040|350.4854534186367 -15.0892585630401|  10.600 -7.594   |9.49     |K1(III)            |    ~     ~          |    1|  468.999   pc  |  -3.3874     +3.3874    |paral   |2020yCat.1350....0G
27  |IDS 18235-4402 AB                                                                                        |Double or Multiple Star               |18 30 45.5 -43 58 10                   |350.8405 -15.0024                  |            ~ ~   |10.0     |K1/2III+(G)        |    ~     ~          |    0|                |                         |        |                   
28  |HD 170333                                                                                                |Star                                  |18 31 01.7035034064 -44 33 53.910131940|350.2937707344481 -15.2825854690869|  2.453 -13.232   |9.49     |A2V                |    ~     ~          |    0|                |                         |        |                   
29  |HD 170522                                                                                                |Star                                  |18 32 01.8898363896 -44 35 38.601891780|350.3388479785717 -15.4582624248301|  9.712 -10.408   |8.17     |K1III              |    ~     ~          |    1|  283.046   pc  |  -5.4799     +5.4799    |paral   |2020yCat.1350....0G
30  |HD 170536                                                                                                |Star                                  |18 32 07.9201400256 -44 02 22.660037304|350.8749351321702 -15.2570583972986|   8.610 -7.528   |8.99     |A0IV/V             |    ~     ~          |    1|  316.006   pc  |  -2.5764     +2.5764    |paral   |2020yCat.1350....0G
31  |NSV 10906                                                                                                |Long-Period Variable                  |18 30 55.0831607856 -44 43 29.537552712|350.1333961418619 -15.3275752293403| -8.018 -10.414   |10.57    |~                  |    ~     ~          |    1| 3570.154   pc  |-249.8215   +249.8215    |paral   |2020yCat.1350....0G
