C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:19:15

Vmag< 11&dec >=0&rah >=9.75&rah< 10.0
-------------------------------------

Number of objects : 2696

 #  |                                                                                  identifier                                                                                   |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
264 |HD 86024                                                                                                                                                                       |Star                           |09 58 46.0126990536 +67 07 53.708940660|143.9822632771594 +42.2525950905759|  -2.464 -5.454   |9.20     |K5             |    ~     ~    
265 |BD+66 631                                                                                                                                                                      |High Proper Motion Star        |09 46 19.8989903664 +65 54 59.872338900|146.2577157346606 +41.8597199240201|-30.791 -40.036   |8.80     |K2             |    ~     ~    
266 |BD+66 633                                                                                                                                                                      |High Proper Motion Star        |09 47 07.5588327646 +65 50 58.492292960|146.2803461012118 +41.9636232373245|   54.751 3.803   |9.96     |G5             |    ~     ~    
267 |BD+66 634                                                                                                                                                                      |Star                           |09 48 14.6535023856 +66 19 28.096074552|145.6543775898992 +41.8179456305725|   5.416 -1.954   |9.64     |K0             |    ~     ~    
268 |HD 84539                                                                                                                                                                       |Star                           |09 48 47.0775537216 +65 48 19.200789288|146.2150166144575 +42.1322518234344|  1.077 -12.088   |8.69     |K0             |    ~     ~    
269 |BD+67 616                                                                                                                                                                      |Star                           |09 49 20.0327693832 +66 23 23.428949136|145.5032136751989 +41.8773445846114|-30.190 -32.392   |9.67     |K0             |    ~     ~    
270 |HD 85893                                                                                                                                                                       |Star                           |09 57 42.1700447184 +66 46 09.357258504|144.4661899409627 +42.3711673699320|-15.454 -19.862   |8.460    |K2             |    ~     ~    
271 |HD 85631                                                                                                                                                                       |High Proper Motion Star        |09 55 41.8394745504 +65 46 28.680305556|145.7441319749925 +42.7506432580993|-8.713 -139.786   |8.73     |G0             |    ~     ~    
272 |BD+66 641                                                                                                                                                                      |High Proper Motion Star        |09 55 44.3634032712 +66 14 37.907939328|145.2058259179655 +42.4990263782002|-62.561 -102.764  |9.72     |F8             |    ~     ~    
273 |HD 86001                                                                                                                                                                       |Star                           |09 58 17.5325184840 +65 55 36.008637852|145.3726223620577 +42.8895551327869|   2.264 12.037   |8.66     |A2             |    ~     ~    
274 |HD 84812                                                                                                                                                                       |High Proper Motion Star        |09 50 23.5850770464 +65 35 35.615573664|146.3454729456557 +42.3833493263753|-57.933 -28.224   |6.262    |A9Vn           |    ~     ~    
275 |HD 86186                                                                                                                                                                       |High Proper Motion Star        |09 59 21.8671044696 +65 20 16.256751540|145.9612031670812 +43.3069752566449|-56.757 -39.241   |8.76     |F8             |    ~     ~    
276 |HD 85360                                                                                                                                                                       |Star                           |09 53 53.9888395344 +64 47 19.964596020|147.0208839253604 +43.1156585950640|-34.830 -23.036   |7.39     |K0             |    ~     ~    
277 |BD+65 742                                                                                                                                                                      |Star                           |09 54 31.3485554736 +65 15 02.157419844|146.4365394878156 +42.9285733339567| -14.352 -7.587   |10.11    |G0             |    ~     ~    
278 |BD+65 745                                                                                                                                                                      |Star                           |09 58 47.5872946800 +64 38 42.952174800|146.8061699819962 +43.6345334253621|  0.278 -41.116   |9.88     |G0             |    ~     ~    
279 |IRAS 09467+6539                                                                                                                                                                |Long-Period Variable Candidate |09 50 36.2632345752 +65 25 27.080303880|146.5262437209324 +42.4894345704172|-27.127 -13.214   |10.18    |~              |    ~     ~    
280 |StKM 1-809                                                                                                                                                                     |Star                           |09 55 16.7819052696 +65 06 08.813143044|146.5505038935187 +43.0745816675102| -7.369 -48.278   |10.49    |K3/4           |    ~     ~    
281 |TYC 4140-1007-1                                                                                                                                                                |Star                           |09 54 42.8864352432 +64 58 42.603540312|146.7376642639148 +43.0896963512452|-34.467 -32.523   |10.60    |~              |    ~     ~    
282 |TYC 4140-1067-1                                                                                                                                                                |Star                           |09 54 58.5510078600 +64 43 33.746549628|147.0118223341746 +43.2462933703204| -15.560 -9.683   |10.85    |~              |    ~     ~    
283 |TYC 4140-1289-1                                                                                                                                                                |Star                           |09 58 17.8735618200 +64 25 27.448157136|147.1032323804028 +43.7086593633179| -12.041 -7.725   |10.92    |~              |    ~     ~    
284 |GSC 04142-00275                                                                                                                                                                |Double or Multiple Star        |09 53 20.742720 +66 47 59.24616        |144.751558388 +41.996222209        |    -36.9 -20.6   |10.349   |~              |    ~     ~    
285 |TYC 4142-521-1                                                                                                                                                                 |Star                           |09 52 00.0388544232 +66 29 23.935096968|145.1995930505765 +42.0507595217584|   2.005 -5.010   |10.54    |~              |    ~     ~    
286 |TYC 4142-552-1                                                                                                                                                                 |Star                           |09 50 20.3541261312 +65 51 28.391549472|146.0433551493118 +42.2413534985896|   6.788 -0.709   |10.78    |~              |    ~     ~    
287 |TYC 4142-901-1                                                                                                                                                                 |Star                           |09 54 06.2450504640 +66 23 04.162115544|145.1670518881359 +42.2847176336202|-32.102 -32.237   |10.41    |~              |    ~     ~    
288 |TYC 4142-1052-1                                                                                                                                                                |Star                           |09 48 02.4338942664 +66 04 24.131009820|145.9576621032546 +41.9296356580773|    2.285 4.676   |10.52    |~              |    ~     ~    
289 |TYC 4142-1091-1                                                                                                                                                                |Star                           |09 46 47.7082215120 +66 13 00.782266080|145.8785444861618 +41.7480387945062|-15.582 -10.052   |10.19    |~              |    ~     ~    
290 |TYC 4142-1104-1                                                                                                                                                                |Star                           |09 51 37.0682974944 +67 03 15.056547228|144.5872500865103 +41.7162264518781|-12.200 -15.032   |10.79    |~              |    ~     ~    
291 |TYC 4143-1031-1                                                                                                                                                                |Star                           |09 59 12.6318312936 +66 17 39.491197368|144.8857958145136 +42.7618298304743|-25.942 -11.037   |10.14    |~              |    ~     ~    
292 |TYC 4143-1107-1                                                                                                                                                                |Star                           |09 59 14.6483360928 +67 20 31.285239072|143.7133874102968 +42.1704040141371|  -3.706 -5.543   |10.05    |~              |    ~     ~    
293 |TYC 4143-1121-1                                                                                                                                                                |High Proper Motion Star        |09 58 32.8024348896 +66 40 04.976935068|144.5162186230007 +42.4970021489677|-69.582 -42.155   |10.51    |~              |    ~     ~    
294 |TYC 4143-1129-1                                                                                                                                                                |Star                           |09 58 24.2846854536 +66 27 39.144372660|144.7597171798269 +42.6016077136125|  -1.289 -8.429   |10.69    |~              |    ~     ~    
295 |TYC 4143-1183-1                                                                                                                                                                |Star                           |09 58 37.1244005880 +66 21 26.015237064|144.8601821603237 +42.6773648414834|-10.648 -15.297   |10.14    |~              |    ~     ~    
296 |TYC 4143-1225-1                                                                                                                                                                |Star                           |09 55 04.6581746040 +66 09 10.706650668|145.3585266265042 +42.4925485096484|-17.914 -33.205   |10.08    |~              |    ~     ~    
297 |TYC 4143-1261-1                                                                                                                                                                |Star                           |09 57 35.9412968376 +65 59 17.308926888|145.3559281936481 +42.7967440178273| -5.202 -14.208   |10.99    |~              |    ~     ~    
298 |TYC 4143-1403-1                                                                                                                                                                |High Proper Motion Star        |09 59 15.9329679648 +67 23 54.831420384|143.6492958523550 +42.1396861214715|-46.171 -58.341   |10.75    |~              |    ~     ~    
299 |TYC 4143-1478-1                                                                                                                                                                |Star                           |09 55 11.5858211856 +66 59 48.998969844|144.3959253935965 +42.0397945904021|-16.895 -23.628   |10.98    |~              |    ~     ~    
300 |BD+66 628                                                                                                                                                                      |Star                           |09 45 16.6393662408 +65 25 08.729761836|146.9101625963487 +42.0139347428258|  5.260 -11.840   |9.13     |K2             |    ~     ~    
301 |BD+66 629                                                                                                                                                                      |Star                           |09 46 00.1703089728 +65 22 00.797775240|146.9208783782342 +42.1053998601460|   -7.763 5.779   |10.00    |K2             |    ~     ~    
302 |BD+65 732                                                                                                                                                                      |Star                           |09 45 14.5279632072 +64 45 04.888865772|147.6981040279958 +42.3378317373240|  4.110 -32.594   |9.27     |K2             |    ~     ~    
303 |BD+65 733                                                                                                                                                                      |Star                           |09 45 50.4450220752 +64 37 54.418521180|147.7974498294028 +42.4518851146332|  1.020 -48.978   |9.76     |G0             |    ~     ~    
304 |BD+65 734                                                                                                                                                                      |Spectroscopic Binary           |09 46 43.4248790784 +64 43 28.379363124|147.6251422034401 +42.4888416742949| -2.510 -21.174   |9.36     |K2             |    ~     ~    
305 |HD 84558                                                                                                                                                                       |Star                           |09 48 46.7962591176 +64 53 39.528440988|147.2776225336226 +42.5943378670572|   2.260 35.663   |7.11     |F5             |    ~     ~    
306 |BD+65 738                                                                                                                                                                      |Star                           |09 50 29.4869566536 +64 32 10.345636860|147.5736321672137 +42.9325837898569|  -0.326 -9.118   |10.66    |G5             |    ~     ~    
307 |BD+64 754                                                                                                                                                                      |Star                           |09 49 01.7547536496 +64 09 58.253098068|148.1196007310796 +42.9804591465596|  1.818 -25.271   |10.57    |F8             |    ~     ~    
308 |BD+64 755                                                                                                                                                                      |Star                           |09 49 02.0257385376 +64 12 39.373704108|148.0661131060287 +42.9587438192888|  -5.352 -0.366   |10.30    |A2             |    ~     ~    
309 |TYC 4139-514-1                                                                                                                                                                 |Star                           |09 53 13.1901479232 +64 26 43.674445428|147.4752894743062 +43.2315188723359|-17.108 -30.174   |10.94    |~              |    ~     ~    
310 |TYC 4139-702-1                                                                                                                                                                 |Star                           |09 48 44.3446617360 +63 58 24.639861360|148.3702800976850 +43.0477771940083|  -6.088 11.097   |10.35    |~              |    ~     ~    
311 |TYC 4139-854-1                                                                                                                                                                 |Spectroscopic Binary           |09 45 06.0895548312 +63 53 57.641017560|148.7222334994509 +42.7336837619642|   4.095 -3.907   |10.79    |~              |    ~     ~    
312 |TYC 4142-26-1                                                                                                                                                                  |Star                           |09 47 57.5398479552 +65 01 28.682101884|147.1837140084405 +42.4538410911107|   -1.011 1.504   |10.49    |~              |    ~     ~    
313 |TYC 4142-46-1                                                                                                                                                                  |Star                           |09 46 26.7119476800 +65 02 33.257684940|147.2702030119158 +42.3063407871616|  6.135 -11.396   |10.11    |~              |    ~     ~    
314 |TYC 4142-48-1                                                                                                                                                                  |Star                           |09 46 04.6370506728 +65 02 30.420030084|147.2970241920370 +42.2729759746311|-12.325 -11.160   |10.31    |~              |    ~     ~    
315 |TYC 4142-574-1                                                                                                                                                                 |Star                           |09 46 54.1616334912 +65 14 32.985648636|147.0033894173692 +42.2488162159739|-18.678 -10.458   |10.63    |~              |    ~     ~    
316 |BD+64 763                                                                                                                                                                      |Star                           |09 58 45.9877202160 +63 52 32.082969000|147.7091066411097 +44.0447548534737|   -0.410 1.802   |9.43     |K5             |    ~     ~    
317 |TYC 4140-1137-1                                                                                                                                                                |Star                           |09 58 13.6765300368 +64 04 56.628141744|147.5093537210719 +43.8847839602567| -13.671 -6.309   |10.76    |~              |    ~     ~    
318 |BD+64 757                                                                                                                                                                      |Star                           |09 52 46.2313899432 +63 54 23.140192716|148.1468047756602 +43.4649685694004|    0.873 2.202   |10.38    |A5             |    ~     ~    
319 |BD+64 759                                                                                                                                                                      |Star                           |09 53 26.9721500376 +63 36 56.089862568|148.4404686391699 +43.6769959658328|-16.790 -15.439   |10.54    |F2             |    ~     ~    
320 |BD+63 860                                                                                                                                                                      |Star                           |09 45 45.4700423136 +62 38 38.771784600|150.1931001849329 +43.3865484470455|-13.900 -20.281   |10.11    |K2             |    ~     ~    
321 |BD+62 1085                                                                                                                                                                     |Star                           |09 46 11.9146892736 +61 52 47.310917772|151.0989966314645 +43.7817590598132|  -2.693 -1.197   |9.62     |K2             |    ~     ~    
322 |HD 85915                                                                                                                                                                       |Star                           |09 57 30.0339164880 +63 22 34.349496708|148.4037308905482 +44.1877350306818|-22.448 -17.085   |7.61     |G5             |    ~     ~    
323 |BD+63 866                                                                                                                                                                      |Star                           |09 54 42.5475846360 +63 12 11.417460012|148.8346728054763 +44.0073149808974|-12.879 -12.464   |9.72     |G5             |    ~     ~    
324 |BD+63 868                                                                                                                                                                      |High Proper Motion Star        |09 55 52.2320263392 +62 37 26.915039868|149.4387482737473 +44.4138539452053|-63.253 -22.112   |9.80     |F8             |    ~     ~    
325 |BD+63 869                                                                                                                                                                      |High Proper Motion Star        |09 56 08.6709221097 +62 47 18.464618863|149.2181338308900 +44.3579043137712|-303.922 -583.413 |9.18     |M0.5V          |    ~     ~    
326 |HD 85987                                                                                                                                                                       |High Proper Motion Star        |09 57 50.8932143856 +62 27 57.272929740|149.4679794188507 +44.6905601836400|-49.031 -11.635   |8.39     |K2             |    ~     ~    
327 |BD+63 874                                                                                                                                                                      |High Proper Motion Star        |09 59 40.4857574160 +62 55 06.518097876|148.7710237093303 +44.6360184914142| 71.831 -14.900   |10.18    |G0             |    ~     ~    
328 |GSC 04139-00883                                                                                                                                                                |Double or Multiple Star        |09 51 32.6631167184 +62 33 26.188196724|149.8632068902253 +44.0141085275098|    9.631 4.587   |10.857   |F8             |    ~     ~    
329 |BD+62 1088                                                                                                                                                                     |Star                           |09 53 08.1346524912 +62 07 49.716476904|150.2587076465280 +44.3826871092930|-10.188 -19.104   |9.52     |K0             |    ~     ~    
330 |BD+62 1092                                                                                                                                                                     |Star                           |09 57 49.1179332864 +62 15 12.827417364|149.7278339073762 +44.7956206831368|-11.772 -14.248   |8.95     |K5             |    ~     ~    
331 |HD 86025                                                                                                                                                                       |Star                           |09 58 03.8113342632 +62 07 46.655637096|149.8580712242551 +44.8830712171027| -5.898 -12.719   |7.74     |K0             |    ~     ~    
332 |BD+62 1087                                                                                                                                                                     |Star                           |09 52 38.7056862823 +61 42 32.586644796|150.8149810848604 +44.5352959693881| 10.268 -11.814   |9.09     |K2             |    ~     ~    
333 |BD+62 1091                                                                                                                                                                     |Star                           |09 57 23.2783642944 +61 19 17.105974968|150.9054337061011 +45.2178782140177| -3.110 -22.083   |10.09    |G5             |    ~     ~    
334 |BD+61 1143                                                                                                                                                                     |Spectroscopic Binary           |09 49 08.5097758488 +61 05 20.772180492|151.8579345521523 +44.4538753574410|  -14.484 3.175   |9.54     |A5             |    ~     ~    
335 |BD+61 1149                                                                                                                                                                     |High Proper Motion Star        |09 52 34.0459315080 +61 08 06.529679412|151.5315840958977 +44.7993314608546| 54.762 -12.955   |9.23     |G0             |    ~     ~    
336 |HD 85583                                                                                                                                                                       |Star                           |09 55 03.3572697816 +61 06 58.045350312|151.3534482918808 +45.0726673237762|   7.630 -2.979   |6.286    |K0             |    ~     ~    
337 |TYC 4136-82-1                                                                                                                                                                  |Star                           |09 53 33.4323477768 +61 53 15.349863192|150.5226398405415 +44.5437936085090|  -22.891 2.071   |10.12    |~              |    ~     ~    
338 |GSC 04136-00519                                                                                                                                                                |Double or Multiple Star        |09 46 26.1570587472 +61 38 59.887728024|151.3656216365800 +43.9107514602823|-14.855 -10.955   |10.566   |~              |    ~     ~    
339 |TYC 4136-610-1                                                                                                                                                                 |Spectroscopic Binary           |09 46 40.2456107400 +61 56 15.879003180|150.9924989186758 +43.8049223424211| -14.928 -5.819   |10.16    |~              |    ~     ~    
340 |TYC 4136-656-1                                                                                                                                                                 |Star                           |09 46 41.8322969640 +61 24 10.043485884|151.6528767232324 +44.0498239543731|  14.340 -3.763   |10.97    |~              |    ~     ~    
341 |TYC 4136-945-1                                                                                                                                                                 |High Proper Motion Star        |09 52 17.0880812040 +61 04 22.172403216|151.6317211585543 +44.7984275743400| 62.422 -39.714   |10.48    |~              |    ~     ~    
342 |TYC 4136-1123-1                                                                                                                                                                |Star                           |09 48 03.2761366656 +62 09 42.367038840|150.6133650544196 +43.8457008392076| -12.135 -0.019   |10.33    |~              |    ~     ~    
343 |TYC 4136-1285-1                                                                                                                                                                |Star                           |09 47 11.3411899896 +62 11 48.506040456|150.6351663316275 +43.7399669212862| -16.201 -4.291   |10.95    |~              |    ~     ~    
344 |TYC 4136-1304-1                                                                                                                                                                |Star                           |09 47 36.3620399568 +61 04 17.600695968|151.9971909760436 +44.2961606742301|-13.401 -32.493   |10.55    |~              |    ~     ~    
345 |TYC 4136-1576-1                                                                                                                                                                |Star                           |09 52 09.5557911888 +61 02 51.573178968|151.6730787250123 +44.7967787629182|   4.125 -0.822   |10.86    |~              |    ~     ~    
346 |TYC 4137-1253-1                                                                                                                                                                |High Proper Motion Star        |09 54 42.1521694176 +61 27 53.740359864|150.9504507197335 +44.8672955152431|-39.326 -41.293   |10.48    |~              |    ~     ~    
347 |TYC 4137-1287-1                                                                                                                                                                |Star                           |09 55 38.6226920592 +61 23 23.525622096|150.9660190402398 +45.0021156066099|  -9.209 -5.734   |10.61    |~              |    ~     ~    
348 |TYC 4137-1588-1                                                                                                                                                                |Star                           |09 57 10.9223754072 +61 23 03.469174368|150.8450915899542 +45.1653947738509|  -8.618 -7.905   |10.98    |~              |    ~     ~    
349 |TYC 4137-1606-1                                                                                                                                                                |High Proper Motion Star        |09 54 21.3446316168 +61 45 05.174530236|150.6256131500292 +44.6923037614527|-37.541 -39.933   |10.95    |~              |    ~     ~    
350 |TYC 4137-1642-1                                                                                                                                                                |High Proper Motion Star        |09 54 31.2137915400 +61 52 14.950983468|150.4657054018231 +44.6511003373142|-84.945 -34.874   |10.71    |~              |    ~     ~    
351 |TYC 4137-1675-1                                                                                                                                                                |Star                           |09 58 23.7364677576 +61 17 56.866259220|150.8478459215649 +45.3339787316952|   -2.818 5.097   |10.77    |~              |    ~     ~    
352 |TYC 4137-1788-1                                                                                                                                                                |Star                           |09 57 31.6728973080 +62 26 51.667628784|149.5165607539612 +44.6679719873554|   -0.166 3.048   |10.39    |~              |    ~     ~    
353 |TYC 4139-267-1                                                                                                                                                                 |Star                           |09 50 19.4714377848 +62 45 26.786659392|149.7140100089350 +43.7947193871564|   -5.909 1.180   |10.91    |~              |    ~     ~    
354 |TYC 4139-799-1                                                                                                                                                                 |Star                           |09 51 44.9586605448 +63 11 06.009576684|149.0879038398145 +43.7274001097401|    9.349 0.013   |10.41    |~              |    ~     ~    
355 |TYC 4139-1121-1                                                                                                                                                                |Star                           |09 49 43.6744741128 +62 37 31.970762904|149.9198157511466 +43.7980118765084|-11.196 -27.873   |10.63    |~              |    ~     ~    
356 |TYC 4139-1164-1                                                                                                                                                                |Star                           |09 52 56.1176731416 +63 51 29.214045900|148.1915327144678 +43.5050908220914|   8.131 -5.768   |10.54    |~              |    ~     ~    
357 |TYC 4139-1205-1                                                                                                                                                                |High Proper Motion Star        |09 48 50.2881627768 +62 42 01.589507136|149.8960702165621 +43.6725146288600|-18.722 -60.808   |10.79    |~              |    ~     ~    
358 |TYC 4140-704-1                                                                                                                                                                 |High Proper Motion Star        |09 54 29.9694679848 +63 21 32.491897092|148.6646172706711 +43.9080158722644|-61.751 -105.065  |10.43    |~              |    ~     ~    
359 |TYC 4140-800-1                                                                                                                                                                 |Star                           |09 59 27.5976366096 +63 10 42.359990268|148.4783610546234 +44.4789119668418|  -15.470 8.658   |10.88    |~              |    ~     ~    
360 |TYC 4140-896-1                                                                                                                                                                 |Star                           |09 55 41.7108118776 +62 41 17.806493868|149.3754194555142 +44.3641455395494|-35.185 -28.150   |10.92    |~              |    ~     ~    
361 |TYC 4140-997-1                                                                                                                                                                 |Star                           |09 56 37.6793963400 +63 38 14.179835760|148.1637201972268 +43.9688858663622|-17.525 -12.512   |10.20    |~              |    ~     ~    
362 |TYC 4140-1041-1                                                                                                                                                                |Star                           |09 54 26.4982678464 +64 03 24.357497652|147.8394862676779 +43.5455999595655|   2.629 -0.292   |10.67    |~              |    ~     ~    
363 |TYC 4140-1054-1                                                                                                                                                                |Star                           |09 57 39.7452624384 +62 57 41.037086340|148.8863673354437 +44.4181660591087|  -3.049 -0.682   |10.76    |~              |    ~     ~    
364 |TYC 4140-1093-1                                                                                                                                                                |Star                           |09 57 16.9656940368 +63 36 58.641491088|148.1359616436293 +44.0418866819836| -10.477 -4.020   |10.99    |~              |    ~     ~    
365 |TYC 4140-1170-1                                                                                                                                                                |Star                           |09 55 20.4623916096 +63 15 20.655527148|148.7214360186752 +44.0419111496849|    8.359 0.818   |10.42    |~              |    ~     ~    
366 |TYC 4140-1214-1                                                                                                                                                                |High Proper Motion Star        |09 58 08.9326702104 +62 32 37.859644680|149.3488107796950 +44.6805388889356|-76.008 -25.256   |10.22    |~              |    ~     ~    
367 |TYC 4140-1215-1                                                                                                                                                                |Star                           |09 55 22.3130793120 +63 43 25.809745044|148.1609400393852 +43.8049510450620|   13.954 3.038   |9.61     |~              |    ~     ~    
368 |TYC 4136-65-1                                                                                                                                                                  |Star                           |09 45 28.7271917400 +61 03 08.665931376|152.1803648858696 +44.0740601483893|-17.011 -16.490   |10.56    |~              |    ~     ~    
369 |HD 84998                                                                                                                                                                       |Double or Multiple Star        |09 51 15.23146 +60 37 00.5517          |152.28382181 +44.89825003          |    -19.67 9.24   |8.47     |G0             |    ~     ~    
370 |HD 85501                                                                                                                                                                       |Star                           |09 54 17.5927660344 +59 55 13.313497224|152.9164293615909 +45.5528647889450| 30.824 -15.805   |6.84     |K2             |    ~     ~    
371 |HD 85816                                                                                                                                                                       |Star                           |09 56 22.8275780376 +59 26 21.368006556|153.3537221881079 +46.0087575871761|   1.783 -1.989   |8.17     |K2             |    ~     ~    
372 |HD 86236                                                                                                                                                                       |High Proper Motion Star        |09 59 13.2054470712 +59 11 12.843264192|153.4314840958323 +46.4469961532249| -2.105 -64.399   |8.37     |F0             |    ~     ~    
373 |IRAS 09560+5917                                                                                                                                                                |Long-Period Variable Candidate |09 59 31.5550170240 +59 03 12.950462376|153.5754032155854 +46.5444320776697|  -0.627 -0.334   |10.89    |~              |    ~     ~    
374 |BD+61 1147                                                                                                                                                                     |Star                           |09 51 43.2181914552 +60 38 17.447289288|152.2199604011857 +44.9392710839223|  -22.058 4.672   |9.34     |F2             |    ~     ~    
375 |HD 85196                                                                                                                                                                       |Star                           |09 52 36.1196072016 +60 45 30.677307336|151.9986572295676 +44.9792340283367|  26.150 23.615   |9.14     |F8             |    ~     ~    
376 |BD+61 1152                                                                                                                                                                     |Star                           |09 55 27.9407223768 +60 21 46.123027560|152.2607877184905 +45.4755345162777|  19.978 -4.364   |10.07    |K0             |    ~     ~    
377 |BD+61 1153                                                                                                                                                                     |Star                           |09 57 56.7762130608 +60 21 43.567602912|152.0524087669539 +45.7453461633100|   2.529 -3.011   |9.53     |K5             |    ~     ~    
378 |BD+61 1154                                                                                                                                                                     |High Proper Motion Star        |09 59 37.0910288904 +60 38 47.707053936|151.5524867843304 +45.7860918377573|-21.917 -68.879   |9.58     |G5             |    ~     ~    
379 |HD 86042                                                                                                                                                                       |Double or Multiple Star        |09 58 02.11934 +60 16 23.5311          |152.15644112 +45.79787183          |   -4.12 -34.41   |8.84     |F8             |    ~     ~    
380 |HD 86187                                                                                                                                                                       |Star                           |09 58 57.3978694176 +60 04 53.576363676|152.3182514789150 +45.9906649350657|  19.459 -7.323   |9.47     |G5             |    ~     ~    
381 |BD+60 1226A                                                                                                                                                                    |Star                           |09 59 52.0712106096 +59 39 02.300194404|152.7836198460710 +46.2985685962232|  -11.634 1.584   |9.99     |G5             |    ~     ~    
382 |BD+60 1226B                                                                                                                                                                    |Star                           |09 59 47.543 +59 39 39.88              |152.777007 +46.285192              |      -0.8 -6.5   |10.44    |F5             |    ~     ~    
383 |BD+60 1219                                                                                                                                                                     |Star                           |09 55 35.0826610752 +59 36 06.689167128|153.2135745355507 +45.8440936278119|  -35.037 7.617   |9.98     |~              |    ~     ~    
384 |TYC 3820-348-1                                                                                                                                                                 |Star                           |09 58 59.6620288560 +59 30 34.248246228|153.0394682947826 +46.2689242607516|-34.024 -21.955   |10.33    |~              |    ~     ~    
385 |TYC 3820-504-1                                                                                                                                                                 |Star                           |09 58 49.6696093800 +59 41 04.775866512|152.8313642000381 +46.1670076738366|-33.215 -17.936   |10.50    |~              |    ~     ~    
386 |TYC 3820-971-1                                                                                                                                                                 |Star                           |09 56 19.7537790000 +59 30 57.400557084|153.2602750174803 +45.9674555933351| 38.144 -22.213   |10.92    |~              |    ~     ~    
387 |TYC 4136-618-1                                                                                                                                                                 |Star                           |09 54 16.9567556184 +60 37 43.764766680|152.0246742373357 +45.2216772202855|  -1.013 -1.465   |10.96    |~              |    ~     ~    
388 |TYC 4136-878-1                                                                                                                                                                 |Star                           |09 54 04.2214257312 +60 35 57.757798500|152.0789451245548 +45.2125363207251|  -2.319 -1.621   |10.99    |~              |    ~     ~    
389 |TYC 4136-1710-1                                                                                                                                                                |Star                           |09 52 43.5256261248 +60 19 18.311929140|152.5371674697685 +45.1947371262006|  7.637 -13.967   |10.36    |~              |    ~     ~    
390 |TYC 4137-1244-1                                                                                                                                                                |Star                           |09 59 21.6984016776 +60 55 34.949892108|151.2265611140855 +45.6204046376185|   44.635 7.767   |10.50    |~              |    ~     ~    
391 |TYC 4137-1477-1                                                                                                                                                                |Star                           |09 56 18.3206008560 +60 00 59.386519872|152.6269987598397 +45.7308409962467|   -2.002 1.128   |10.80    |~              |    ~     ~    
392 |TYC 4137-1616-1                                                                                                                                                                |Star                           |09 56 19.1939375424 +60 16 35.124527640|152.2979831698316 +45.6095722731489|   5.850 -8.541   |10.12    |~              |    ~     ~    
