C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:40:45

dec< 0&rah >=21.5&rah< 21.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 3883

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
681 |HD 205365                                                                                                |Star                                  |21 35 13.3000429584 -22 03 38.500205940|028.2508434871069 -45.3824690647329|  2.654 -14.859   |9.36     |G8III/IV       |    ~     ~    |    1|  413.497   pc  |  -3.3512     +3.3512  |paral   |2020yCat.1350....0G
682 |CD-23 16984                                                                                              |Star                                  |21 33 56.8373290776 -22 27 26.673524424|027.5903174795110 -45.2138118493437|  20.353 -1.470   |9.885    |~              |    ~     ~    |    1|  543.337   pc  | -21.7700    +21.7700  |ST-L    |2020AJ....160...83S
683 |HD 205387                                                                                                |Star                                  |21 35 31.5621354432 -22 29 13.764918840|027.6968406864198 -45.5720113412316|  -1.751 -6.701   |9.43     |K3III          |    ~     ~    |    1|  759.590   pc  | -11.7703    +11.7703  |paral   |2020yCat.1350....0G
684 |HD 205487                                                                                                |Star                                  |21 36 12.1557688248 -22 49 23.730177684|027.2973888419262 -45.8158967063779| 27.069 -27.862   |9.05     |K1III          |    ~     ~    |    1|  317.834   pc  |  -6.7420     +6.7420  |ST-L    |2020AJ....160...83S
685 |BD-22 5718                                                                                               |Star                                  |21 34 42.6874446144 -21 47 56.157155592|028.5575785267548 -45.1928667326346|-11.336 -40.788   |10.651   |~              |    ~     ~    |    1|  260.114   pc  |  -9.9160     +9.9160  |ST-L    |2020AJ....160...83S
686 |BD-22 5719                                                                                               |Star                                  |21 35 04.5617782296 -21 30 32.498717688|028.9860773757444 -45.1878199155059|  6.968 -38.255   |10.213   |~              |    ~     ~    |    1|  109.638   pc  |  -0.9042     +0.9042  |ST-L    |2020AJ....160...83S
687 |CD-23 17004                                                                                              |Star                                  |21 35 57.9667148904 -22 30 29.206984212|027.7091430003505 -45.6754379599322|    7.320 0.088   |10.381   |~              |    ~     ~    |    1|  438.397   pc  | -41.2200    +41.2200  |ST-L    |2020AJ....160...83S
688 |BD-21 6043                                                                                               |Star                                  |21 34 20.0178221424 -21 02 43.459425852|029.5373563414731 -44.8827114727301|  14.398 -8.877   |10.087   |~              |    ~     ~    |    1|  839.566   pc  | -53.4800    +53.4800  |ST-L    |2020AJ....160...83S
689 |HD 205638                                                                                                |Star                                  |21 37 09.0660716640 -21 02 21.762256776|029.8309245005482 -45.5067386423373|   8.445 11.723   |9.20     |G8/K0IV        |    ~     ~    |    1|  474.608   pc  |  -3.9870     +3.9870  |paral   |2020yCat.1350....0G
690 |HD 206128                                                                                                |Star                                  |21 40 33.4808978280 -21 15 58.523800140|029.8664214280729 -46.3324731076932|    5.161 5.384   |9.69     |F6V            |    ~     ~    |    1|  233.807   pc  |  -3.8220     +3.8220  |ST-L    |2020AJ....160...83S
691 |HD 206273                                                                                                |Star                                  |21 41 32.5776512424 -21 17 58.087177512|029.9205093250932 -46.5612924016111| -12.617 -4.162   |9.49     |G8/K0III       |    ~     ~    |    1|  575.891   pc  | -21.2000    +21.2000  |ST-L    |2020AJ....160...83S
692 |HD 205577                                                                                                |High Proper Motion Star               |21 36 43.6450260984 -21 30 10.216106208|029.1576815353684 -45.5525675237382| -4.529 -48.755   |7.93     |K0/1III        |    ~     ~    |    1|  210.841   pc  |  -1.2269     +1.2269  |paral   |2020yCat.1350....0G
693 |HD 205609                                                                                                |High Proper Motion Star               |21 36 51.6678673080 -21 26 24.548442000|029.2563925563490 -45.5635299385005| 18.841 -61.143   |9.74     |F7V            |    ~     ~    |    1|  156.360   pc  |  -0.5721     +0.5721  |paral   |2020yCat.1350....0G
694 |HD 205902                                                                                                |Star                                  |21 38 52.0864237320 -21 30 36.852485616|029.3602158071966 -46.0300895271213| 13.225 -14.839   |10.38    |F7V            |    ~     ~    |    1|  234.977   pc  |  -4.4400     +4.4400  |ST-L    |2020AJ....160...83S
695 |HD 205959                                                                                                |Star                                  |21 39 14.8541155104 -21 33 06.387084180|029.3408178392833 -46.1266896216565|   9.889 -3.007   |10.707   |A1III/IV       |    ~     ~    |    1|  706.043   pc  |-157.0000   +157.0000  |ST-L    |2020AJ....160...83S
696 |HD 206274                                                                                                |Star                                  |21 41 32.9034113568 -21 39 47.349917316|029.4154792473646 -46.6705172789079| 15.111 -20.303   |7.92     |K3III          |    ~     ~    |    1|  441.094   pc  | -12.6300    +12.6300  |ST-L    |2020AJ....160...83S
697 |HD 206391                                                                                                |Star                                  |21 42 23.2757332656 -21 45 45.574709400|029.3599679143558 -46.8861066649934| -10.904 -9.827   |9.33     |K1III+A/F      |    ~     ~    |    1|  920.132   pc  | -76.7906    +76.7906  |paral   |2020yCat.1350....0G
698 |HD 206436                                                                                                |High Proper Motion Star               |21 42 39.4660581768 -21 24 35.298231480|029.8801426952223 -46.8419752818876| 52.113 -73.378   |10.24    |G6(V)          |    ~     ~    |    1|  121.092   pc  |  -0.2405     +0.2405  |paral   |2020yCat.1350....0G
699 |HD 205563                                                                                                |High Proper Motion Star               |21 36 36.6857597088 -22 17 58.880658876|028.0560007449281 -45.7593313770529| 23.224 -46.408   |9.74     |F5/6V          |    ~     ~    |    1|  256.885   pc  |  -1.3462     +1.3462  |paral   |2020yCat.1350....0G
700 |HD 205675                                                                                                |Star                                  |21 37 26.3023700832 -22 09 24.708034764|028.3310238956871 -45.9018093991474| -16.411 -3.036   |9.30     |K0III          |    ~     ~    |    1|  465.138   pc  |  -3.5915     +3.5915  |paral   |2020yCat.1350....0G
701 |CD-22 15499                                                                                              |Star                                  |21 39 04.2578250504 -22 18 43.499026800|028.2721072441776 -46.3082039027152| -1.884 -21.538   |10.821   |~              |    ~     ~    |    1|  300.502   pc  |  -9.9240     +9.9240  |ST-L    |2020AJ....160...83S
702 |HD 206050                                                                                                |High Proper Motion Star               |21 39 56.1589312632 -22 09 40.614425964|028.5643548936975 -46.4570852022575|58.538 -101.958   |9.12     |G5V            |    ~     ~    |    1|   98.614   pc  |  -0.1799     +0.1799  |paral   |2020yCat.1350....0G
703 |HD 206192                                                                                                |Star                                  |21 40 52.0816335720 -22 10 16.282482960|028.6402623114855 -46.6667028742483|  4.965 -30.522   |9.55     |K1/2(III)      |    ~     ~    |    1|  463.156   pc  |  -3.6682     +3.6682  |paral   |2020yCat.1350....0G
704 |HD 206266                                                                                                |High Proper Motion Star               |21 41 30.4527064776 -21 55 43.165945272|029.0411153546223 -46.7388974198511| 75.403 -15.792   |7.67     |K0III          |    ~     ~    |    1|  218.162   pc  |  -4.6150     +4.6150  |ST-L    |2020AJ....160...83S
705 |HD 206318                                                                                                |Star                                  |21 41 50.1891679872 -22 09 57.725379828|028.7409214595803 -46.8801205918679| -6.059 -39.084   |10.469   |G6V            |    ~     ~    |    1|  200.504   pc  |  -2.7150     +2.7150  |ST-L    |2020AJ....160...83S
706 |HD 206392                                                                                                |Star                                  |21 42 19.7904102648 -22 15 20.689429284|028.6625075436431 -47.0151070820693| -20.329 -2.716   |10.465   |F8/G0V         |    ~     ~    |    1|  229.325   pc  |  -3.6710     +3.6710  |ST-L    |2020AJ....160...83S
707 |HD 206476                                                                                                |Star                                  |21 42 46.8410483880 -22 06 04.638042252|028.9234029832461 -47.0711689238618| 12.733 -10.243   |10.54    |F3V            |    ~     ~    |    1|  227.931   pc  |  -1.3040     +1.3040  |paral   |2020yCat.1350....0G
708 |HD 206639                                                                                                |Star                                  |21 43 56.0178977376 -21 57 48.380794920|029.2304985413402 -47.2875521330001|    4.579 5.726   |10.63    |F2V            |    ~     ~    |    1|  341.381   pc  |  -7.1660     +7.1660  |ST-L    |2020AJ....160...83S
709 |HD 205723                                                                                                |High Proper Motion Star               |21 37 50.0928550176 -22 56 40.703633988|027.2784380228169 -46.2107400532400| 77.618 -28.922   |9.979    |F8/G1V         |    ~     ~    |    1|  155.430   pc  |  -1.7780     +1.7780  |ST-L    |2020AJ....160...83S
710 |HD 205753                                                                                                |Star                                  |21 38 00.6048015120 -22 34 38.258106564|027.8043768454784 -46.1478058480202|    1.898 5.565   |9.61     |G8/K0          |    ~     ~    |    1| 1433.486   pc  | -49.1117    +49.1117  |paral   |2020yCat.1350....0G
711 |HD 205752                                                                                                |Star                                  |21 37 59.8688152824 -22 31 05.618626176|027.8850508354109 -46.1285190486273|  13.597 -5.849   |10.224   |G6/8(IV)       |    ~     ~    |    1|  654.150   pc  | -33.5400    +33.5400  |ST-L    |2020AJ....160...83S
712 |HD 205927                                                                                                |Star                                  |21 39 09.2919275304 -22 55 20.324785908|027.4300972532408 -46.4969295446212|   3.243 -1.250   |10.080   |G8(III)        |    ~     ~    |    1|  575.662   pc  | -26.1700    +26.1700  |ST-L    |2020AJ....160...83S
713 |HD 205928                                                                                                |Star                                  |21 39 15.4713977424 -23 04 28.223496336|027.2266191652002 -46.5611755432175|   29.973 8.667   |10.933   |F5/7           |    ~     ~    |    1|  470.316   pc  | -17.2600    +17.2600  |ST-L    |2020AJ....160...83S
714 |HD 206034                                                                                                |Star                                  |21 39 57.0135753360 -23 11 56.660200584|027.1144084500585 -46.7480435811247|   17.252 0.902   |8.61     |A3V            |    ~     ~    |    1|  257.845   pc  |  -1.7485     +1.7485  |paral   |2020yCat.1350....0G
715 |HD 206178                                                                                                |High Proper Motion Star               |21 40 53.4516778320 -22 46 53.898641508|027.7871450965314 -46.8429203759144|  63.920 -5.828   |9.872    |F5V            |    ~     ~    |    1|  187.064   pc  |  -2.6800     +2.6800  |ST-L    |2020AJ....160...83S
716 |* 41 Cap                                                                                                 |High Proper Motion Star               |21 42 00.6970857096 -23 15 46.285843716|027.2098824466672 -47.2214247896400| 91.684 -95.143   |5.240    |K0III          |    ~     ~    |    1|   74.155   pc  |  -0.5961     +0.5961  |paral   |2020yCat.1350....0G
717 |HD 206498                                                                                                |Star                                  |21 42 56.5923361704 -22 44 14.833110156|028.0405400569707 -47.2856581407451|  15.088 -4.571   |9.91     |K2             |    ~     ~    |    1|  881.213   pc  | -11.7257    +11.7257  |paral   |2020yCat.1350....0G
718 |HD 206499                                                                                                |Star                                  |21 42 59.2879017600 -23 10 13.688107284|027.4295013675678 -47.4130101913678|   11.495 2.996   |7.57     |K1III          |    ~     ~    |    1|  347.814   pc  |  -3.2663     +3.2663  |paral   |2020yCat.1350....0G
719 |HD 206517                                                                                                |Star                                  |21 43 06.5711007048 -23 03 13.934478924|027.6065446876110 -47.4086152954625|   3.826 -5.489   |9.57     |M2(III)        |    ~     ~    |    1| 1214.772   pc  | -42.2042    +42.2042  |paral   |2020yCat.1350....0G
720 |HD 206611                                                                                                |Star                                  |21 43 45.1136344896 -22 34 51.976536708|028.3383885789895 -47.4218041383054|  -7.462 -2.735   |10.112   |G8III          |    ~     ~    |    1|  720.329   pc  | -25.0500    +25.0500  |ST-L    |2020AJ....160...83S
721 |NGC 7103                           NGC 7103                                                              |Brightest Galaxy in a Cluster (BCG)   |21 39 51.4106011536 -22 28 25.445175816|028.1215880743780 -46.5281181402019|            ~ ~   |     ~   |~              |0.857 0.771    |    1|  134.07    Mpc |                       |redshift|2007ApJ...655..790C
722 |BD-22 5733                                                                                               |Star                                  |21 38 25.4482293576 -21 54 32.315704740|028.7675128596751 -46.0488320422702|-17.209 -20.763   |10.477   |~              |    ~     ~    |    1|  216.251   pc  |  -2.7970     +2.7970  |ST-L    |2020AJ....160...83S
723 |BD-21 6063                                                                                               |Star                                  |21 39 48.6755086416 -21 13 07.801548708|029.8559694270095 -46.1522669925809|  8.631 -21.828   |10.16    |~              |    ~     ~    |    1|  386.698   pc  |  -2.3178     +2.3178  |paral   |2020yCat.1350....0G
724 |BD-22 5740                                                                                               |Star                                  |21 40 16.6636126680 -21 37 15.245511384|029.3477752108169 -46.3758975190333|-43.671 -15.708   |10.82    |~              |    ~     ~    |    1|  204.399   pc  |  -0.8732     +0.8732  |paral   |2020yCat.1350....0G
725 |BD-22 5741                                                                                               |Star                                  |21 40 22.3157392752 -21 34 21.501549768|029.4239873153024 -46.3825571149284| 11.530 -32.357   |10.62    |~              |    ~     ~    |    1|  306.269   pc  |  -1.7447     +1.7447  |paral   |2020yCat.1350....0G
726 |CD-23 17049                                                                                              |Star                                  |21 40 27.6891265680 -22 26 05.647963416|028.2329558744782 -46.6512711703841|   7.594 -3.150   |10.34    |~              |    ~     ~    |    1|  475.037   pc  |  -3.3849     +3.3849  |paral   |2020yCat.1350....0G
727 |BD-22 5743                                                                                               |Star                                  |21 41 05.8625238888 -22 19 38.308477728|028.4439832967142 -46.7620269842593| 26.367 -36.328   |10.601   |~              |    ~     ~    |    1|  198.113   pc  |  -3.3320     +3.3320  |ST-L    |2020AJ....160...83S
728 |CPD-23 8019                                                                                              |Star                                  |21 41 07.9460360448 -22 30 34.392144636|028.1918402593358 -46.8209877976234| 12.927 -14.981   |10.873   |~              |    ~     ~    |    1|  256.127   pc  |  -3.9060     +3.9060  |ST-L    |2020AJ....160...83S
729 |CD-23 17060                                                                                              |Star                                  |21 42 24.1169746560 -23 04 13.632673944|027.5183043497608 -47.2563403849207|   0.536 -0.228   |10.531   |~              |    ~     ~    |    1|  676.648   pc  | -60.2300    +60.2300  |ST-L    |2020AJ....160...83S
730 |BD-22 5754                                                                                               |High Proper Motion Star               |21 44 01.8293561640 -21 39 24.850964376|029.6722489442472 -47.2199762108933|-37.370 -43.555   |10.767   |~              |    ~     ~    |    1|  257.736   pc  |  -4.2810     +4.2810  |ST-L    |2020AJ....160...83S
731 |TYC 6374-35-1                                                                                            |Star                                  |21 36 48.6241783032 -22 23 38.873978376|027.9449113204718 -45.8303021407455| -9.073 -26.156   |10.32    |~              |    ~     ~    |    1|  686.248   pc  |  -8.3827     +8.3827  |paral   |2020yCat.1350....0G
732 |CD-23 17019                                                                                              |High Proper Motion Star               |21 37 15.1613804376 -22 56 46.587720840|027.2231484751190 -46.0822884495726|-11.234 -59.959   |10.95    |~              |    ~     ~    |    1|  138.564   pc  |  -0.3168     +0.3168  |paral   |2020yCat.1350....0G
733 |CD-23 17023                                                                                              |Star                                  |21 37 27.5416863768 -22 40 22.242868536|027.6208337397480 -46.0523981719414| 20.579 -21.333   |10.26    |~              |    ~     ~    |    1|  365.270   pc  |  -2.3349     +2.3349  |paral   |2020yCat.1350....0G
734 |BD-22 5738                                                                                               |Star                                  |21 39 48.8970349920 -21 31 19.947186804|029.4381500902351 -46.2439159618168| 11.102 -26.371   |10.83    |~              |    ~     ~    |    1| 1069.633   pc  | -24.9417    +24.9417  |paral   |2020yCat.1350....0G
735 |CD-23 17056                                                                                              |High Proper Motion Star               |21 41 29.5518390192 -22 28 17.846771124|028.2791380499728 -46.8902211656977|  59.972 27.846   |10.745   |~              |    ~     ~    |    1|  168.448   pc  |  -2.5680     +2.5680  |ST-L    |2020AJ....160...83S
736 |CD-23 17061                                                                                              |Star                                  |21 42 26.4530538048 -23 02 35.968359768|027.5603531824484 -47.2576511631576|  -5.599 -4.972   |10.73    |~              |    ~     ~    |    0|                |                       |        |                   
737 |BD-22 5730                                                                                               |Star                                  |21 37 40.5953072424 -21 23 53.692805292|029.3948713357316 -45.7320607113850|   8.063 -4.052   |9.85     |~              |    ~     ~    |    1| 1611.604   pc  | -67.7886    +67.7886  |paral   |2020yCat.1350....0G
738 |TYC 6374-177-1                                                                                           |Star                                  |21 37 40.9234286352 -22 01 03.329949288|028.5460757170074 -45.9157016921834| -10.059 12.019   |10.856   |~              |    ~     ~    |    1|  165.951   pc  |  -1.7840     +1.7840  |ST-L    |2020AJ....160...83S
739 |TYC 6374-189-1                                                                                           |Star                                  |21 42 09.5100997608 -21 28 37.890636636|029.7356942876592 -46.7510956284610|  -3.536 -5.918   |10.867   |~              |    ~     ~    |    1|  904.662   pc  | -37.7800    +37.7800  |ST-L    |2020AJ....160...83S
740 |TYC 6374-387-1                                                                                           |Star                                  |21 41 20.3548416072 -21 52 58.924147656|029.0882941923466 -46.6883118728929|-12.615 -17.371   |10.10    |~              |    ~     ~    |    1|  604.983   pc  | -28.3500    +28.3500  |ST-L    |2020AJ....160...83S
741 |TYC 6374-607-1                                                                                           |Star                                  |21 43 27.9367628304 -22 08 35.889614196|028.9307971792660 -47.2351879797373|  5.578 -19.634   |10.969   |~              |    ~     ~    |    1|  370.697   pc  | -10.6800    +10.6800  |ST-L    |2020AJ....160...83S
742 |TYC 6374-1094-1                                                                                          |Star                                  |21 37 50.3487057864 -21 53 21.325001388|028.7377899948539 -45.9132761130847|-26.637 -20.655   |10.927   |~              |    ~     ~    |    1|  197.345   pc  |  -2.4410     +2.4410  |ST-L    |2020AJ....160...83S
743 |TYC 6939-123-1                                                                                           |Star                                  |21 36 59.0849194512 -22 36 50.569815528|027.6581071711248 -45.9309008701427|-33.234 -31.384   |10.79    |~              |    ~     ~    |    1|  199.394   pc  |  -0.9423     +0.9423  |paral   |2020yCat.1350....0G
744 |TYC 6940-42-1                                                                                            |Star                                  |21 42 29.8837345800 -22 34 36.199210620|028.2261546591515 -47.1425318515217|   1.964 -8.982   |10.94    |~              |    ~     ~    |    1|  166.304   pc  | -12.6503    +12.6503  |paral   |2020yCat.1350....0G
745 |TYC 6940-197-1                                                                                           |Star                                  |21 44 59.7924988488 -22 35 27.559875264|028.4422169328629 -47.7006022098314|   4.199 38.909   |10.08    |~              |    ~     ~    |    1|  174.313   pc  |  -0.5986     +0.5986  |paral   |2020yCat.1350....0G
746 |TYC 6940-843-1                                                                                           |Star                                  |21 38 34.4676732312 -23 16 19.164892296|026.8887782403961 -46.4631353860113|   0.713 -2.171   |10.855   |~              |    ~     ~    |    1| 2254.370   pc  |-248.7000   +248.7000  |ST-L    |2020AJ....160...83S
747 |NGC 7099 83                        NGC 7099 83                                                           |Horizontal Branch Star                |21 40 05.1090266736 -23 12 01.681509600|027.1245944763637 -46.7782838314289|  -0.780 -7.404   |15.40    |~              |    ~     ~    |    0|                |                       |        |                   
748 |NGC 7099 98                        NGC 7099 98                                                           |Star                                  |21 40 12.6510087744 -23 12 26.587201860|027.1261766889363 -46.8079639813455|  -1.017 -7.451   |15.45    |~              |    ~     ~    |    0|                |                       |        |                   
749 |NGC 7099 100                       NGC 7099 100                                                          |Star                                  |21 40 14.4655648320 -23 12 38.765183832|027.1241372329425 -46.8155653342181|  -0.694 -7.167   |15.73    |~              |    ~     ~    |    0|                |                       |        |                   
750 |NGC 7099 1                         NGC 7099 1                                                            |Horizontal Branch Star                |21 40 35.2425526224 -23 10 43.201857648|027.2005662912804 -46.8836104304380|  -0.660 -7.433   |15.24    |~              |    ~     ~    |    0|                |                       |        |                   
751 |NGC 7099 96                        NGC 7099 96                                                           |Horizontal Branch Star                |21 40 09.6355308336 -23 12 14.781483504|027.1262673329221 -46.7959595637277|  -0.986 -7.305   |15.28    |~              |    ~     ~    |    0|                |                       |        |                   
752 |NGC 7099 159                       NGC 7099 159                                                          |Star                                  |21 40 30.4996037520 -23 12 08.298459792|027.1601237215291 -46.8724520020936|  -0.805 -7.441   |     ~   |~              |    ~     ~    |    0|                |                       |        |                   
753 |M 30                               NGC 7099                           M 30                               |Globular Cluster                      |21 40 22.12 -23 10 47.5                |027.17915 -46.83551                |    -0.73 -7.24   |7.10     |~              |11.0  11.0     |    1|    0.007   Mpc |                       |        |2008MNRAS.389.1924F
754 |HD 204821                                                                                                |High Proper Motion Star               |21 31 34.2111546216 -20 34 08.912095428|029.8910278565623 -44.1209639875932|-36.798 -40.166   |9.68     |F7V            |    ~     ~    |    1|  206.100   pc  |  -3.1700     +3.1700  |ST-L    |2020AJ....160...83S
755 |HD 204913                                                                                                |Star                                  |21 32 15.0178461024 -20 22 09.615096768|030.2254580069047 -44.2089668682163|   -0.315 4.205   |10.096   |K0III          |    ~     ~    |    1|  556.440   pc  | -20.6900    +20.6900  |ST-L    |2020AJ....160...83S
756 |HD 204958                                                                                                |Star                                  |21 32 35.7027894840 -20 23 00.293101656|030.2426035582066 -44.2900534131745|   9.930 -7.623   |8.80     |K0III          |    ~     ~    |    1|  441.794   pc  |  -3.7865     +3.7865  |paral   |2020yCat.1350....0G
757 |HD 205044                                                                                                |Star                                  |21 33 12.1933801128 -20 40 31.906286796|029.9172436399400 -44.5171532547565|   9.929 23.340   |8.50     |K0III          |    ~     ~    |    1|  136.452   pc  |  -0.4860     +0.4860  |paral   |2020yCat.1350....0G
758 |BD-21 6034                                                                                               |Star                                  |21 32 21.4346581200 -20 36 18.597897648|029.9240436087637 -44.3071546836864|    3.622 2.972   |10.100   |~              |    ~     ~    |    1|  704.275   pc  | -40.5300    +40.5300  |ST-L    |2020AJ....160...83S
759 |TYC 6369-658-1                                                                                           |Star                                  |21 32 52.5599982552 -20 37 11.552750112|029.9577498213939 -44.4270315856764|   5.824 -0.026   |10.699   |~              |    ~     ~    |    1|  869.443   pc  | -55.8100    +55.8100  |ST-L    |2020AJ....160...83S
760 |HD 204607                                                                                                |Star                                  |21 30 13.7477901504 -18 36 46.465856496|032.3002613152193 -43.1785542567383|   8.931 -0.143   |9.87     |K0(III)        |    ~     ~    |    1| 1132.430   pc  |-110.9000   +110.9000  |ST-L    |2020AJ....160...83S
761 |HD 204693                                                                                                |Star                                  |21 30 47.0516912496 -18 21 49.020429852|032.6835403032494 -43.2159036872961|  6.334 -27.637   |10.18    |G5/6(IV)       |    ~     ~    |    1|  183.612   pc  |  -3.0000     +3.0000  |ST-L    |2020AJ....160...83S
762 |HD 204704                                                                                                |Star                                  |21 30 53.6397051768 -18 36 39.143572056|032.3772349048320 -43.3257776170248| -8.008 -12.575   |10.354   |K2(III)        |    ~     ~    |    1| 1185.370   pc  | -89.5500    +89.5500  |ST-L    |2020AJ....160...83S
763 |HD 204763                                                                                                |Star                                  |21 31 20.9637930624 -19 19 26.246293428|031.5025124140962 -43.6685011109380|  10.963 -8.101   |9.42     |A9V            |    ~     ~    |    1|  353.707   pc  |  -3.5030     +3.5030  |paral   |2020yCat.1350....0G
764 |HD 204779                                                                                                |High Proper Motion Star               |21 31 25.4994379226 -19 14 15.152190938|031.6233436086485 -43.6564603970051| 59.414 -14.690   |7.17     |F0/2V          |    ~     ~    |    1|   89.1544  pc  |  -0.5031     +0.5031  |paral   |2018yCat.1345....0G
765 |HD 204928                                                                                                |Star                                  |21 32 20.6620260936 -19 01 36.559007256|031.9989433965698 -43.7901642480209|  14.237 14.790   |9.32     |G6V            |    ~     ~    |    1|  157.028   pc  |  -0.4241     +0.4241  |paral   |2020yCat.1350....0G
766 |HD 205003                                                                                                |Star                                  |21 32 48.9123248184 -18 34 43.527043668|032.6348239213662 -43.7421821159578|   12.450 0.803   |9.12     |A0V            |    ~     ~    |    1|  276.702   pc  |  -2.7027     +2.7027  |paral   |2020yCat.1350....0G
767 |HD 205017                                                                                                |Star                                  |21 32 49.1006762376 -19 11 13.859199708|031.8417054070854 -43.9495466905673|  25.555 -2.193   |10.59    |A9/F0Ib/II     |    ~     ~    |    1|  370.028   pc  |  -2.3413     +2.3413  |paral   |2020yCat.1350....0G
768 |HD 205056                                                                                                |Star                                  |21 33 12.8487817488 -18 34 03.947847168|032.6942023224283 -43.8271595476089|  -8.911 -3.231   |8.54     |M2III          |    ~     ~    |    1|  721.709   pc  | -14.8967    +14.8967  |paral   |2020yCat.1350....0G
769 |HD 205066                                                                                                |Star                                  |21 33 16.2851601912 -19 20 56.095975032|031.6793359659678 -44.1043387049807|   3.484 -0.454   |10.46    |K1/2(III)      |    ~     ~    |    1|  681.199   pc  |  -8.2598     +8.2598  |paral   |2020yCat.1350....0G
770 |HD 205078                                                                                                |Star                                  |21 33 24.1318908744 -19 02 30.961126464|032.0962892173162 -44.0305995189268| -6.566 -22.255   |9.80     |F6/7V          |    ~     ~    |    1|  155.376   pc  |  -2.4407     +2.4407  |paral   |2020yCat.1350....0G
771 |HD 205107                                                                                                |High Proper Motion Star               |21 33 33.5922156168 -18 40 18.025481280|032.5978497603530 -43.9397800370432|-56.951 -55.708   |9.56     |G3V            |    ~     ~    |    1|   97.796   pc  |  -0.2190     +0.2190  |paral   |2020yCat.1350....0G
772 |HD 204667                                                                                                |Star                                  |21 30 36.4683773400 -19 31 46.739340516|031.1543376325089 -43.5718150297399|   13.683 0.996   |10.312   |G6V            |    ~     ~    |    1|  236.912   pc  |  -4.7590     +4.7590  |ST-L    |2020AJ....160...83S
773 |HD 204718                                                                                                |Star                                  |21 31 04.7097532296 -19 31 04.110233268|031.2203949732231 -43.6725811925569|   -1.494 5.876   |10.490   |A(5)II         |    ~     ~    |    1|  282.734   pc  |  -6.6070     +6.6070  |ST-L    |2020AJ....160...83S
774 |HD 204912                                                                                                |Star                                  |21 32 14.7494129160 -19 40 12.636831360|031.1464279526643 -43.9823498142451|   4.466 -9.452   |10.13    |K1(III)        |    ~     ~    |    1|  668.941   pc  | -10.1131    +10.1131  |paral   |2020yCat.1350....0G
775 |HD 205093                                                                                                |Spectroscopic Binary                  |21 33 31.5145149648 -19 39 51.692041800|031.2916809362732 -44.2649813931788|  20.140 -3.963   |10.305   |F0V            |    ~     ~    |    1|  241.310   pc  |  -4.7800     +4.7800  |ST-L    |2020AJ....160...83S
776 |HD 204838                                                                                                |Star                                  |21 31 45.1608640800 -20 09 39.808239912|030.4485639792214 -44.0319130870017|  -6.983 -3.591   |9.76     |K5(III)        |    ~     ~    |    1| 1191.611   pc  | -25.1329    +25.1329  |paral   |2020yCat.1350....0G
777 |HD 205035                                                                                                |Star                                  |21 33 04.2741187776 -20 17 13.508242800|030.4198703221720 -44.3652836143129| 40.805 -16.249   |9.07     |F0V            |    ~     ~    |    1|  343.466   pc  |  -7.2197     +7.2197  |paral   |2020yCat.1350....0G
778 |HD 205033                                                                                                |High Proper Motion Star               |21 33 03.6419648448 -19 48 22.758446772|031.0545525479077 -44.2080697351748|135.380 -60.940   |10.31    |G3/5IV         |    ~     ~    |    1|  239.469   pc  | -14.6633    +14.6633  |paral   |2020yCat.1350....0G
779 |HD 205034                                                                                                |Star                                  |21 33 05.3258300376 -20 03 45.634828320|030.7189192382333 -44.2973295704780| 10.857 -16.260   |9.77     |K1III          |    ~     ~    |    1|  546.568   pc  |  -5.0785     +5.0785  |paral   |2020yCat.1350....0G
780 |BD-19 6108                                                                                               |Star                                  |21 30 08.2782143304 -19 01 14.707902576|031.7638576961710 -43.2972805139924|   9.606 -4.235   |10.83    |~              |    ~     ~    |    1|  369.099   pc  |  -2.6021     +2.6021  |paral   |2020yCat.1350....0G
781 |BD-20 6225                                                                                               |Star                                  |21 31 48.3710759880 -19 51 12.599227476|030.8587658974524 -43.9444687361202|  -9.544 -5.252   |10.28    |~              |    ~     ~    |    1| 1076.310   pc  | -20.1569    +20.1569  |paral   |2020yCat.1350....0G
782 |BD-19 6115                                                                                               |Star                                  |21 32 30.8755317816 -18 38 37.933361196|032.5163482056012 -43.6976771552492|  -3.961 -0.923   |10.31    |~              |    ~     ~    |    1| 1744.287   pc  |-144.5206   +144.5206  |paral   |2020yCat.1350....0G
783 |BD-20 6229                                                                                               |Star                                  |21 32 49.3401258456 -19 26 31.739576280|031.5079978836839 -44.0354004561958|  -1.280 -3.417   |10.44    |~              |    ~     ~    |    1| 2233.140   pc  | -92.2579    +92.2579  |paral   |2020yCat.1350....0G
