C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:40:45

dec< 0&rah >=21.5&rah< 21.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 3883

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
23  |HD 205057                                                                                                |Star                                  |21 33 45.6621152256 -37 30 39.378181356|005.9573108009376 -47.4682353617774| 11.818 -23.678   |9.59     |A3V(+F)        |    ~     ~    |    1|  303.924   pc  |  -6.0330     +6.0330  |ST-L    |2020AJ....160...83S
24  |HD 205081                                                                                                |Star                                  |21 33 55.0010363640 -38 06 27.095974848|005.0748563600421 -47.5035609133293|    8.267 4.922   |9.862    |F2/3V          |    ~     ~    |    1|  308.655   pc  | -14.9700    +14.9700  |ST-L    |2020AJ....160...83S
25  |HD 205367                                                                                                |High Proper Motion Star               |21 35 43.2200759976 -37 48 38.166850836|005.5170567164599 -47.8584225285696| 37.452 -34.300   |9.64     |K1III          |    ~     ~    |    1|  238.379   pc  |  -0.7899     +0.7899  |paral   |2020yCat.1350....0G
26  |HD 205474                                                                                                |Star                                  |21 36 28.4146704912 -37 54 51.314453640|005.3624975775405 -48.0071591608791|  -0.550 -6.728   |9.77     |F2V            |    ~     ~    |    1|  319.428   pc  |  -1.8672     +1.8672  |paral   |2020yCat.1350....0G
27  |NGC 7091                           NGC 7091                                                              |Galaxy                                |21 34 07.7090722560 -36 39 21.968524008|007.2245584114676 -47.5233545311894|  -0.750 -9.810   |     ~   |~              |0.547 0.426    |    1| 2010.050   pc  |-191.9143   +191.9143  |paral   |2020yCat.1350....0G
28  |CD-38 14605                                                                                              |Star                                  |21 33 45.9850874664 -38 02 00.370535388|005.1843816511997 -47.4737864047157| 16.625 -18.858   |10.11    |~              |    ~     ~    |    1|  536.308   pc  |  -4.3719     +4.3719  |paral   |2020yCat.1350....0G
29  |CD-37 14346                                                                                              |Star                                  |21 33 50.2970673576 -36 49 00.765009876|006.9842991931050 -47.4696946694184|  28.875 -2.397   |10.43    |~              |    ~     ~    |    1|  202.597   pc  |  -2.3930     +2.3930  |ST-L    |2020AJ....160...83S
30  |CD-37 14351                                                                                              |Star                                  |21 34 10.7944406832 -36 49 12.181731996|006.9822487140630 -47.5381247087990|  0.716 -31.574   |10.96    |~              |    ~     ~    |    1|  446.018   pc  | -33.6300    +33.6300  |ST-L    |2020AJ....160...83S
31  |CD-38 14619                                                                                              |Star                                  |21 35 35.9688837624 -38 02 09.688785108|005.1811420642296 -47.8347360298833| 26.324 -24.105   |10.78    |~              |    ~     ~    |    1|  267.501   pc  |  -1.1878     +1.1878  |paral   |2020yCat.1350....0G
32  |CD-38 14625                                                                                              |Star                                  |21 35 58.9736 -38 24 12.095            |004.6329302 -47.9080493            |     10.5 -14.7   |10.72    |~              |    ~     ~    |    0|                |                       |        |                   
