C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:40:01

Vmag< 11&dec >=0&rah >=19.25&rah< 19.5
--------------------------------------

Number of objects : 7704

 #  |                                                                 identifier                                                                 |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |    spec. type     |      ang. size      
----|--------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|-------------------|---------------------
1620|HD 183278                                                                                                                                   |Star                           |19 22 28.3668285744 +71 51 35.058449592|103.3019358148380 +23.3228749882566|  19.506 31.341    |9.19     |F0                 |    ~     ~          
1621|HD 183382                                                                                                                                   |Star                           |19 22 58.9495626768 +71 54 14.279657688|103.3602432145876 +23.2972033060130|-13.929 -14.445    |8.55     |A5                 |    ~     ~          
1622|BD+71 952                                                                                                                                   |Star                           |19 24 12.7539988416 +71 39 59.239907964|103.1421039185849 +23.1376369761764|  -2.404 -7.128    |10.82    |A0                 |    ~     ~          
1623|HD 183610                                                                                                                                   |High Proper Motion Star        |19 24 04.9893194808 +71 59 35.324712132|103.4795764255390 +23.2405896840976|-54.091 -74.471    |8.39     |K2                 |    ~     ~          
1624|HD 182270                                                                                                                                   |Star                           |19 17 54.3322700016 +70 54 25.200079524|102.1950815583989 +23.4128752024331|  -4.570 -7.599    |7.90     |K5                 |    ~     ~          
1625|HD 183097                                                                                                                                   |Double or Multiple Star        |19 22 01.5468255 +70 36 49.391156      |101.9907672929 +23.0055020878      |     4.15 15.07    |8.23     |A0                 |0.0033  0.0          
1626|BD+70 1059                                                                                                                                  |Spectroscopic Binary           |19 22 12.4091305536 +70 20 59.809443900|101.7210678976958 +22.9153036620075|  31.384 13.739    |10.47    |G0                 |    ~     ~          
1627|AG+71 574                                                                                                                                   |Long-Period Variable Candidate |19 25 34.8882369864 +71 08 00.912691896|102.6228418523369 +22.8779815087780|   -9.292 5.897    |9.21     |K5                 |    ~     ~          
1628|BD+70 1067                                                                                                                                  |Star                           |19 28 19.3764943704 +71 18 00.432131256|102.8670377100472 +22.7175043649946|   -0.464 6.929    |9.32     |A2                 |    ~     ~          
1629|BD+70 1068                                                                                                                                  |Star                           |19 29 11.8398348696 +70 29 13.524970488|102.0537694560160 +22.3980270417480|   3.821 -8.389    |9.26     |G8III              |    ~     ~          
1630|HD 182935                                                                                                                                   |Star                           |19 21 21.9336331416 +70 12 29.183338620|101.5514175275427 +22.9425502331215|   8.302 27.071    |9.42     |G5                 |    ~     ~          
1631|BD+70 1071                                                                                                                                  |Star                           |19 29 42.7135897176 +70 56 46.770655056|102.5400795628573 +22.5014271884523|  11.626 33.940    |9.42     |F0                 |    ~     ~          
1632|BD+69 1039                                                                                                                                  |Star                           |19 15 48.9464598600 +69 23 19.798701756|100.5512861361151 +23.1746103305377|   0.667 12.434    |9.75     |F0                 |    ~     ~          
1633|HD 181959                                                                                                                                   |Star                           |19 16 48.4216919952 +69 48 31.807083168|101.0165672359213 +23.2053760404940|   -3.162 6.203    |9.50     |A0                 |    ~     ~          
1634|BD+69 1041                                                                                                                                  |High Proper Motion Star        |19 18 08.3609894472 +69 29 11.018336892|100.7142150421706 +23.0052554633499|  42.076 27.206    |9.57     |K0                 |    ~     ~          
1635|BD+69 1042                                                                                                                                  |Star                           |19 19 30.2542668960 +69 34 43.858984116|100.8470037654877 +22.9167403334032|  -3.942 -4.904    |10.29    |A5                 |    ~     ~          
1636|HD 183221                                                                                                                                   |Star                           |19 22 50.7997096392 +69 57 00.068108940|101.3230376787102 +22.7470267173668|   4.895 12.910    |9.62     |A2                 |    ~     ~          
1637|BD+69 1047                                                                                                                                  |High Proper Motion Star        |19 24 23.2009495416 +69 47 47.369004324|101.2067643616244 +22.5749553114291|-13.691 -52.962    |9.62     |K0                 |    ~     ~          
1638|BD+69 1048                                                                                                                                  |High Proper Motion Star        |19 25 26.4475296600 +70 03 23.442000336|101.5047792357960 +22.5670376220927|  17.364 70.684    |9.48     |F8                 |    ~     ~          
1639|BD+69 1051                                                                                                                                  |High Proper Motion Star        |19 28 18.6968281704 +69 43 06.324571236|101.2394095407920 +22.2279076050305|  32.624 45.371    |9.28     |F5                 |    ~     ~          
1640|BD+68 1070                                                                                                                                  |Star                           |19 28 53.8122377496 +69 15 17.372345112|100.7824746042547 +22.0319701238824|   39.258 0.167    |9.93     |F8                 |    ~     ~          
1641|TYC 4448-1615-1                                                                                                                             |Star                           |19 28 59.3338799664 +69 58 06.870438336|101.5157454659263 +22.2515106120244|  -2.951 -7.906    |10.76    |G5III              |    ~     ~          
1642|BD+71 954                                                                                                                                   |Star                           |19 24 40.4036977656 +71 54 27.491075748|103.4046212872085 +23.1723530092139|   2.831 11.901    |9.64     |~                  |    ~     ~          
1643|TYC 4452-994-1                                                                                                                              |Star                           |19 21 07.9256889480 +71 50 14.944648668|103.2471926628573 +23.4170690952579|   2.330 -3.395    |10.56    |~                  |    ~     ~          
1644|TYC 4444-5-1                                                                                                                                |Star                           |19 27 23.7209546568 +69 07 32.622304980|100.6046356886682 +22.1173566887033|  -4.607 -7.740    |10.71    |~                  |    ~     ~          
1645|TYC 4444-310-1                                                                                                                              |Star                           |19 27 55.9226160984 +69 03 14.068239588|100.5474970048965 +22.0491805409630|    4.591 6.070    |10.09    |~                  |    ~     ~          
1646|GSC 04444-00515                                                                                                                             |Double or Multiple Star        |19 24 25.9595457456 +69 03 35.940708468|100.4484910154866 +22.3482067900150|-11.330 -29.276    |10.600   |~                  |    ~     ~          
1647|TYC 4444-540-1                                                                                                                              |Eclipsing Binary               |19 26 20.8037573688 +69 17 01.643605152|100.7352660873626 +22.2552510094848|   1.481 -5.615    |10.35    |~                  |    ~     ~          
1648|TYC 4448-92-1                                                                                                                               |Star                           |19 29 52.8630276528 +71 08 47.613403608|102.7506629239595 +22.5508797963594|   -0.447 7.291    |10.34    |~                  |    ~     ~          
1649|TYC 4448-121-1                                                                                                                              |Star                           |19 19 53.2845240936 +70 58 23.502367308|102.3123596373308 +23.2750952904494|   0.740 -8.880    |10.60    |~                  |    ~     ~          
1650|TYC 4448-377-1                                                                                                                              |Star                           |19 27 35.3284836504 +71 13 27.821777628|102.7693940258402 +22.7506693377921|  -0.119 -5.674    |10.00    |~                  |    ~     ~          
1651|TYC 4448-382-1                                                                                                                              |Star                           |19 29 13.2699045384 +70 33 56.375852364|102.1351505878079 +22.4207593800575|   0.527 -5.068    |10.08    |~                  |    ~     ~          
1652|TYC 4448-397-1                                                                                                                              |Star                           |19 20 43.9928926992 +70 29 46.862121948|101.8352953914338 +23.0753494360233|    0.930 4.655    |10.65    |~                  |    ~     ~          
1653|TYC 4448-589-1                                                                                                                              |Star                           |19 27 36.8435075712 +70 39 30.962230092|102.1860709702936 +22.5763656499087|   -0.185 0.438    |9.79     |~                  |    ~     ~          
1654|TYC 4448-590-1                                                                                                                              |Star                           |19 28 14.9064874800 +71 01 42.858677784|102.5848305604089 +22.6402177939950|  -0.867 -9.452    |10.02    |~                  |    ~     ~          
1655|TYC 4448-607-1                                                                                                                              |Star                           |19 15 53.2050304728 +70 40 25.743544896|101.9019892593326 +23.5111709596794|  0.041 -15.098    |10.72    |~                  |    ~     ~          
1656|TYC 4448-919-1                                                                                                                              |Spectroscopic Binary           |19 27 37.6780383000 +70 54 48.169370988|102.4492383696987 +22.6531623777520|  -4.724 -7.304    |10.67    |~                  |    ~     ~          
1657|TYC 4448-933-1                                                                                                                              |Star                           |19 17 43.4908666608 +69 39 55.497391056|100.8902222345193 +23.0896710090747|   -1.106 5.421    |10.60    |~                  |    ~     ~          
1658|TYC 4448-985-1                                                                                                                              |Star                           |19 27 25.6686882384 +70 27 48.546019512|101.9798384198565 +22.5312515666412|  -3.541 -9.224    |10.76    |~                  |    ~     ~          
1659|TYC 4448-1028-1                                                                                                                             |Star                           |19 27 58.0145533872 +71 05 20.205470868|102.6395535124692 +22.6804281311971|   5.868 -0.053    |9.88     |~                  |    ~     ~          
1660|TYC 4448-1122-1                                                                                                                             |Star                           |19 27 54.1509513024 +69 28 07.398691176|100.9713159534634 +22.1830275501430|  -3.687 31.383    |10.60    |~                  |    ~     ~          
1661|TYC 4448-1129-1                                                                                                                             |Star                           |19 21 42.6433320936 +70 19 09.179365224|101.6760820355767 +22.9464463280229|    8.277 9.049    |10.86    |~                  |    ~     ~          
1662|TYC 4448-1162-1                                                                                                                             |Star                           |19 21 51.1114358208 +69 26 21.863571900|100.7663942980447 +22.6798196429200|   7.504 17.434    |10.57    |~                  |    ~     ~          
1663|TYC 4448-1231-1                                                                                                                             |Star                           |19 29 43.0954626024 +70 34 09.640195536|102.1529781563435 +22.3826629629583|   13.012 1.967    |9.21     |~                  |    ~     ~          
1664|TYC 4448-1235-1                                                                                                                             |Star                           |19 21 06.1914949536 +70 58 15.735728964|102.3400171726208 +23.1793471803929|   2.625 37.059    |9.24     |~                  |    ~     ~          
1665|TYC 4448-1359-1                                                                                                                             |Star                           |19 23 43.8076952640 +70 43 00.536720592|102.1421850749637 +22.9001967798944|   5.556 13.388    |9.63     |~                  |    ~     ~          
1666|TYC 4448-1402-1                                                                                                                             |Star                           |19 25 21.8707323288 +70 34 06.982761972|102.0319181298685 +22.7270587347063|   8.104 -5.531    |10.09    |~                  |    ~     ~          
1667|TYC 4448-1408-1                                                                                                                             |Star                           |19 15 58.2037704432 +70 18 17.564966964|101.5160246797651 +23.4072282987684|    6.474 0.555    |10.42    |~                  |    ~     ~          
1668|TYC 4448-1427-1                                                                                                                             |Star                           |19 26 10.2442653696 +70 14 38.429627064|101.7186078654048 +22.5648183059473|  -0.610 -0.775    |10.26    |~                  |    ~     ~          
1669|TYC 4448-1430-1                                                                                                                             |Star                           |19 23 47.2168803744 +70 20 52.809537840|101.7610362535611 +22.7876513620888|  -9.040 18.776    |9.88     |~                  |    ~     ~          
1670|TYC 4448-1464-1                                                                                                                             |Star                           |19 24 39.3789216912 +70 17 32.970702120|101.7270382775111 +22.7013061299511|-12.438 -16.029    |10.01    |~                  |    ~     ~          
1671|TYC 4448-1592-1                                                                                                                             |High Proper Motion Star        |19 29 45.1256480520 +70 55 43.516607808|102.5231255253186 +22.4928165012617|     19.7 -58.0    |10.512   |~                  |    ~     ~          
1672|TYC 4448-1641-1                                                                                                                             |Star                           |19 26 01.9468039306 +69 56 53.418381589|101.4096720174666 +22.4859298339113| -2.056 -13.434    |9.93     |~                  |    ~     ~          
1673|TYC 4448-1726-1                                                                                                                             |Star                           |19 22 29.1201954096 +70 24 26.615860848|101.7881070712661 +22.9094961306421|    8.605 5.690    |10.92    |~                  |    ~     ~          
1674|TYC 4448-1828-1                                                                                                                             |Star                           |19 26 33.5523950232 +70 22 37.643863872|101.8667112154553 +22.5741318759419|    9.612 7.365    |10.71    |~                  |    ~     ~          
1675|TYC 4448-1866-1                                                                                                                             |Star                           |19 21 21.7372858032 +70 41 27.708206136|102.0543372509288 +23.0801664061736|-12.637 -14.060    |9.29     |~                  |    ~     ~          
1676|TYC 4448-1945-1                                                                                                                             |Star                           |19 22 37.0400855616 +69 49 30.404889264|101.1872934943659 +22.7292317223532|    2.288 1.341    |10.81    |~                  |    ~     ~          
1677|TYC 4448-1968-1                                                                                                                             |Star                           |19 17 50.3743219560 +70 24 12.978779940|101.6655148996480 +23.2823306118869|    0.320 7.965    |10.13    |~                  |    ~     ~          
1678|TYC 4448-2306-1                                                                                                                             |Star                           |19 18 13.0975578552 +70 07 28.951555368|101.3830541033543 +23.1754092445627|   10.611 9.952    |10.60    |~                  |    ~     ~          
1679|TYC 4448-2311-1                                                                                                                             |Star                           |19 26 59.2457561640 +70 40 46.311325716|102.1905128509648 +22.6321369742528|  -1.647 -3.516    |10.45    |~                  |    ~     ~          
1680|TYC 4448-2426-1                                                                                                                             |Star                           |19 16 49.1202602136 +70 07 36.068663064|101.3498980005442 +23.2904111497811|   6.488 -2.057    |10.28    |~                  |    ~     ~          
1681|TYC 4448-2459-1                                                                                                                             |Star                           |19 23 50.4118872168 +69 42 06.830715384|101.0936797704560 +22.5917497826360|  0.519 -12.860    |10.10    |~                  |    ~     ~          
1682|TYC 4448-2460-1                                                                                                                             |Star                           |19 26 30.8799621144 +69 45 06.960809700|101.2213874986891 +22.3861966132138|  -1.685 23.102    |10.74    |~                  |    ~     ~          
1683|TYC 4452-68-1                                                                                                                               |Star                           |19 21 41.6477261352 +71 37 23.320108884|103.0359914129776 +23.3156177913642|  19.315 17.325    |10.90    |~                  |    ~     ~          
1684|TYC 4452-134-1                                                                                                                              |Star                           |19 17 32.7328194000 +71 50 56.792424912|103.1780210472454 +23.6894317917806|  24.215 -5.550    |10.50    |~                  |    ~     ~          
1685|TYC 4452-1030-1                                                                                                                             |Star                           |19 27 53.3611216800 +71 21 54.843321168|102.9228693949372 +22.7703470650117| -24.436 41.743    |10.07    |~                  |    ~     ~          
1686|TYC 4452-1118-1                                                                                                                             |Spectroscopic Binary           |19 19 01.9879794768 +71 21 57.309628716|102.7035393743428 +23.4483892910498|  14.161 14.620    |10.57    |~                  |    ~     ~          
1687|TYC 4452-1252-1                                                                                                                             |Star                           |19 26 31.3866627312 +71 31 33.409608492|103.0538906512540 +22.9222098353384|   1.791 -9.764    |10.52    |~                  |    ~     ~          
1688|TYC 4452-1336-1                                                                                                                             |Star                           |19 16 20.9145571656 +71 36 32.060761776|102.8981129279440 +23.7179273610395|   -6.976 1.253    |10.81    |~                  |    ~     ~          
1689|TYC 4452-1706-1                                                                                                                             |Star                           |19 18 38.3272939032 +71 44 04.469074152|103.0818697723378 +23.5769504033179|   0.126 13.699    |10.46    |~                  |    ~     ~          
1690|BD+74 822                                                                                                                                   |Spectroscopic Binary           |19 23 29.0494710048 +74 19 06.009035016|105.9059214857539 +23.9214726154535|   13.860 0.451    |10.307   |F5                 |    ~     ~          
1691|HD 182689                                                                                                                                   |Spectroscopic Binary           |19 18 56.0044905504 +73 33 03.228919776|105.0054389792380 +24.0265104944819|  13.444 62.229    |6.95     |A5                 |    ~     ~          
1692|HD 184292                                                                                                                                   |Double or Multiple Star        |19 26 59.50110 +73 21 59.0204          |104.98027294 +23.42447787          |    12.05 42.20    |8.551    |F2                 |    ~     ~          
1693|HD 181874                                                                                                                                   |Star                           |19 15 26.8371066312 +72 55 53.080511916|104.2798397507343 +24.1158776418389|  -0.673 -5.720    |9.22     |A2                 |    ~     ~          
1694|HD 182470                                                                                                                                   |Star                           |19 18 12.7451329248 +72 44 10.040716788|104.1287639269930 +23.8694763882845| 14.344 -10.272    |8.38     |K2                 |    ~     ~          
1695|BD+72 888                                                                                                                                   |Star                           |19 19 07.4608619592 +72 16 44.613169284|103.6658956106165 +23.6845933786122|  -6.241 -9.099    |9.26     |K0                 |    ~     ~          
1696|BD+72 890                                                                                                                                   |Star                           |19 20 32.2930208016 +73 06 32.584994892|104.5709347608507 +23.8013446218356|  -2.675 -0.780    |10.18    |G0                 |    ~     ~          
1697|HD 183609                                                                                                                                   |Star                           |19 23 54.8330693928 +72 35 00.025936728|104.0923222518532 +23.4192632130397| -1.352 -11.323    |7.98     |K5                 |    ~     ~          
1698|HD 184396                                                                                                                                   |High Proper Motion Star        |19 27 49.7884252104 +72 28 39.785734560|104.0741119383955 +23.1074244127661|  49.712 57.301    |7.82     |K0                 |    ~     ~          
1699|HD 184872                                                                                                                                   |Star                           |19 29 36.3392767176 +73 31 44.906441052|105.2087857456304 +23.2935716774398|  10.878 29.933    |9.93     |G5                 |    ~     ~          
1700|BD+72 900                                                                                                                                   |Star                           |19 29 44.7387440376 +72 34 36.256294056|104.2234693080719 +22.9997270340879|  -6.500 -9.820    |9.80     |K0                 |    ~     ~          
1701|HD 184824                                                                                                                                   |High Proper Motion Star        |19 29 56.4705627408 +72 16 22.310039064|103.9138755311504 +22.8935287826332|-70.144 112.806    |7.96     |K0                 |    ~     ~          
1702|HD 184785                                                                                                                                   |Star                           |19 29 50.5298914032 +71 57 22.496428980|103.5842017908743 +22.8040566557462|  15.990 32.931    |8.65     |A0                 |    ~     ~          
1703|TYC 4456-307-1                                                                                                                              |Star                           |19 27 42.8509644504 +74 09 36.818086824|105.8258878546003 +23.6018857763144|   8.877 13.668    |10.84    |~                  |    ~     ~          
1704|HIP 95601                                                                                                                                   |Star                           |19 26 41.1012675432 +74 05 50.226502308|105.7383560568032 +23.6517000588419|  -4.800 -2.920    |10.34    |~                  |    ~     ~          
1705|LP 45-242                                                                                                                                   |High Proper Motion Star        |19 27 00.4784987712 +73 53 49.263408420|105.5354099601323 +23.5740879345199| 87.031 119.059    |10.68    |~                  |    ~     ~          
1706|BD+72 901                                                                                                                                   |Star                           |19 29 33.9924024528 +73 11 13.607642400|104.8523094443835 +23.1950454030653|   2.591 41.727    |10.53    |~                  |    ~     ~          
1707|HD 182951                                                                                                                                   |Star                           |19 20 46.3892950056 +72 06 06.366677256|103.5161680783919 +23.5157707166629|   4.872 18.455    |7.28     |K0                 |    ~     ~          
1708|TYC 4452-41-1                                                                                                                               |High Proper Motion Star        |19 17 26.4124284264 +72 50 13.911008208|104.2197872253707 +23.9504441099211| 5.384 -105.690    |9.31     |~                  |    ~     ~          
1709|TYC 4452-299-1                                                                                                                              |Star                           |19 27 52.1080894896 +72 36 12.782581920|104.2057864169842 +23.1417501890994|  -6.621 -4.989    |10.73    |~                  |    ~     ~          
1710|TYC 4452-465-1                                                                                                                              |Star                           |19 29 12.0195719184 +72 44 47.633224668|104.3862581184493 +23.0894614340727|  11.469 14.707    |9.92     |~                  |    ~     ~          
1711|TYC 4452-565-1                                                                                                                              |Star                           |19 28 32.4874183224 +72 43 32.854334664|104.3488901844319 +23.1299560316617| -5.896 -21.651    |10.74    |~                  |    ~     ~          
1712|TYC 4452-869-1                                                                                                                              |Star                           |19 17 16.5251554128 +72 25 45.537451428|103.7848226766371 +23.8588460743878|  -3.790 -4.222    |10.50    |~                  |    ~     ~          
1713|TYC 4452-1093-1                                                                                                                             |High Proper Motion Star        |19 29 44.4600765816 +72 22 30.904452120|104.0147674387464 +22.9391167085019|  36.846 42.752    |10.05    |~                  |    ~     ~          
1714|TYC 4452-1301-1                                                                                                                             |Star                           |19 16 52.4695545096 +72 23 00.136344084|103.7278087452563 +23.8764641810445|   1.655 -1.283    |10.70    |~                  |    ~     ~          
1715|TYC 4452-1387-1                                                                                                                             |Star                           |19 25 13.1284551480 +72 37 33.944481084|104.1669551219779 +23.3377331117916|   -1.988 5.373    |10.15    |~                  |    ~     ~          
1716|TYC 4452-1897-1                                                                                                                             |Star                           |19 21 38.0710897632 +72 14 39.352759944|103.6852476566320 +23.4910713207849|   -8.596 1.195    |10.36    |~                  |    ~     ~          
1717|TYC 4452-1978-1                                                                                                                             |Star                           |19 28 10.8636495768 +73 04 29.665150068|104.7033968080659 +23.2580247082331| -11.192 -8.069    |9.56     |~                  |    ~     ~          
1718|TYC 4452-1986-1                                                                                                                             |Star                           |19 28 06.7960118208 +72 52 04.217627964|104.4863672231584 +23.2020968460975|    3.599 7.868    |10.29    |~                  |    ~     ~          
1719|TYC 4456-6-1                                                                                                                                |Red Giant Branch star Candidate|19 20 09.5793173136 +73 09 02.994544152|104.6071536135514 +23.8387890002412|   0.878 -2.190    |10.19    |~                  |    ~     ~          
1720|TYC 4456-141-1                                                                                                                              |Star                           |19 26 19.6294515960 +73 07 31.004786604|104.7135579911016 +23.4015624030729| -2.350 -18.797    |10.52    |~                  |    ~     ~          
1721|TYC 4456-327-1                                                                                                                              |Star                           |19 16 05.6091211392 +73 10 33.990447468|104.5524283675116 +24.1300412323379|   3.864 -5.736    |10.15    |~                  |    ~     ~          
1722|TYC 4456-399-1                                                                                                                              |Star                           |19 24 25.2884740464 +73 09 35.470481364|104.7073816454032 +23.5438674522016|-11.037 -19.073    |10.74    |~                  |    ~     ~          
1723|TYC 4456-505-1                                                                                                                              |Spectroscopic Binary           |19 24 31.0640562888 +74 08 12.251809356|105.7352137359185 +23.8051132599035|   -6.381 0.352    |9.90     |~                  |    ~     ~          
1724|TYC 4456-556-1                                                                                                                              |Star                           |19 26 23.6818207248 +74 52 39.265670352|106.5519373836550 +23.8858816468966|   -3.495 2.734    |10.33    |~                  |    ~     ~          
1725|TYC 4456-715-1                                                                                                                              |Star                           |19 27 15.5304325536 +74 31 18.853127580|106.1954493152037 +23.7329832418679|-15.905 -18.096    |9.92     |~                  |    ~     ~          
1726|TYC 4456-827-1                                                                                                                              |Star                           |19 21 03.1808257104 +74 04 42.787674516|105.6052684822955 +24.0184916510682|   0.241 12.746    |10.26    |~                  |    ~     ~          
1727|TYC 4456-1232-1                                                                                                                             |Star                           |19 21 21.2759254200 +73 54 54.178903656|105.4382999799354 +23.9560889657814|  -29.162 5.496    |10.78    |~                  |    ~     ~          
1728|TYC 4456-1266-1                                                                                                                             |Star                           |19 21 36.2877040656 +73 48 06.560227476|105.3236781519679 +23.9097558176741|    1.429 2.119    |9.99     |~                  |    ~     ~          
1729|TYC 4456-1620-1                                                                                                                             |Star                           |19 28 59.8687833696 +73 54 39.863628612|105.5931143901999 +23.4459505729362| -6.018 -23.801    |10.93    |~                  |    ~     ~          
1730|TYC 4456-1703-1                                                                                                                             |Spectroscopic Binary           |19 22 48.4549776312 +74 07 11.081109936|105.6831064142582 +23.9132300376506|  -3.003 15.231    |10.07    |~                  |    ~     ~          
1731|TYC 4456-1704-1                                                                                                                             |Star                           |19 20 35.9649527328 +73 22 03.777677004|104.8451089558943 +23.8648194686485|  1.055 -14.675    |10.82    |~                  |    ~     ~          
1732|TYC 4456-1768-1                                                                                                                             |Star                           |19 26 40.1635686654 +73 34 42.689775294|105.1948646928000 +23.5067991295328|  25.753 -7.350    |10.28    |~                  |    ~     ~          
1733|HD 184466                                                                                                                                   |Star                           |19 26 55.2320098224 +75 02 03.514993692|106.7270337258640 +23.8959012014032|    9.754 6.575    |9.94     |F8                 |    ~     ~          
1734|TYC 4584-429-1                                                                                                                              |Star                           |19 29 27.104472 +75 11 12.23232        |106.936549741 +23.782127494        |      18.8 29.2    |10.91    |~                  |    ~     ~          
1735|HD 183557                                                                                                                                   |Star                           |19 22 44.4535037208 +74 38 01.313076084|106.2246435105897 +24.0523580127212|   6.218 -0.260    |8.81     |B9                 |    ~     ~          
1736|* tau Dra                                                                                                                                   |High Proper Motion Star        |19 15 32.9853001560 +73 21 19.878315048|104.7327526926058 +24.2116242178395|-129.430 93.738    |4.45     |K2+IIIbCN1         |    ~     ~          
1737|HD 182469                                                                                                                                   |Star                           |19 17 04.4181327696 +74 55 36.499494756|106.4349092421487 +24.4853627948802|    1.207 4.762    |8.91     |A0                 |    ~     ~          
1738|HD 182590                                                                                                                                   |Star                           |19 18 02.8080057264 +74 18 13.841412768|105.7879507221082 +24.2732188539061|   1.009 21.692    |8.52     |A2                 |    ~     ~          
1739|HD 182711                                                                                                                                   |Star                           |19 18 29.4459604728 +74 29 52.500629256|106.0024054611168 +24.2917010767032| -7.540 -13.296    |8.83     |K0                 |    ~     ~          
1740|BD+74 819                                                                                                                                   |Star                           |19 18 32.4246962256 +74 28 19.819403508|105.9759110197309 +24.2821820209764|   -2.009 2.618    |9.15     |~                  |    ~     ~          
1741|TYC 4456-805-1                                                                                                                              |Star                           |19 19 30.1558901208 +74 29 55.021616268|106.0214303151510 +24.2263527215259|   -5.714 0.374    |10.33    |K0                 |    ~     ~          
1742|TYC 4583-1501-1                                                                                                                             |Star                           |19 19 59.8581891648 +75 00 27.544039128|106.5712827428687 +24.3208618473593|    4.243 1.998    |10.30    |K2                 |    ~     ~          
1743|HD 181873                                                                                                                                   |Star                           |19 15 00.9206048376 +73 49 45.639109812|105.2276910085088 +24.3613168694556|   3.733 13.365    |8.18     |A0                 |    ~     ~          
1744|BD+73 858                                                                                                                                   |Star                           |19 15 53.9939499072 +73 53 55.423661388|105.3176733024329 +24.3180747225225|    0.162 9.464    |9.40     |F2                 |    ~     ~          
1745|BD+73 859                                                                                                                                   |Star                           |19 16 37.8596169816 +73 54 40.390548660|105.3443266622723 +24.2718862280323|   1.050 -5.590    |10.01    |K2                 |    ~     ~          
1746|TYC 4456-172-1                                                                                                                              |Star                           |19 16 31.7957171136 +74 32 01.683272040|106.0060882833807 +24.4273615724616|   -0.809 7.337    |9.47     |~                  |    ~     ~          
1747|TYC 4456-338-1                                                                                                                              |High Proper Motion Star        |19 22 17.1034545504 +74 40 39.747412308|106.2626359065759 +24.0928910409177|-69.990 -69.900    |10.42    |~                  |    ~     ~          
1748|TYC 4456-522-1                                                                                                                              |Star                           |19 21 43.1569433136 +74 45 45.471450492|106.3420796290698 +24.1507200710420|  -3.002 -8.244    |10.47    |~                  |    ~     ~          
1749|TYC 4456-565-1                                                                                                                              |Star                           |19 15 44.5089600240 +74 24 14.801594400|105.8539989517174 +24.4481045733923| -12.258 18.627    |9.69     |~                  |    ~     ~          
1750|TYC 4456-854-1                                                                                                                              |Star                           |19 17 06.5761622328 +74 44 53.901921552|106.2449766888503 +24.4408725192125|  19.225 42.943    |10.85    |~                  |    ~     ~          
1751|TYC 4456-944-1                                                                                                                              |Star                           |19 17 58.0446283080 +74 45 15.303163068|106.2661118810262 +24.3875222948217|   -3.087 1.882    |9.21     |~                  |    ~     ~          
1752|TYC 4456-1226-1                                                                                                                             |Star                           |19 16 53.0098401384 +74 18 26.187678540|105.7707206395951 +24.3503824752039|  -4.335 27.963    |10.82    |~                  |    ~     ~          
1753|TYC 4456-1264-1                                                                                                                             |Star                           |19 19 20.3522875320 +74 00 46.130820264|105.5028105565957 +24.1156466987309|  -5.045 -9.525    |10.39    |~                  |    ~     ~          
1754|TYC 4456-1369-1                                                                                                                             |Star                           |19 22 33.0428568600 +74 27 25.702657668|106.0343855852108 +24.0185881532532|  2.443 -10.711    |10.49    |~                  |    ~     ~          
1755|TYC 4583-1793-1                                                                                                                             |Star                           |19 16 18.1335014688 +75 04 16.784306148|106.5765519042177 +24.5676626010436|  -2.980 -9.583    |10.62    |~                  |    ~     ~          
1756|TYC 4584-2652-1                                                                                                                             |Star                           |19 27 49.9837220760 +75 31 34.606111440|107.2620833990848 +23.9748711915604|  -0.954 -7.045    |10.88    |~                  |    ~     ~          
1757|BD+77 722                                                                                                                                   |Star                           |19 15 17.2872894264 +77 24 33.442497432|109.0751029602292 +25.1421521920403|    3.758 3.087    |9.44     |K0                 |    ~     ~          
