C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:40:01

Vmag< 11&dec >=0&rah >=19.25&rah< 19.5
--------------------------------------

Number of objects : 7704

 #  |                                                                 identifier                                                                 |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |    spec. type     |      ang. size      
----|--------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|-------------------|---------------------
31  |BD+43 3259                                                                                                                                  |Star                           |19 29 40.3465988256 +44 03 22.736762388|076.4647270167013 +12.1731044974471|  -3.572 -3.019    |8.69     |K4III:             |    ~     ~          
32  |BD+42 3328                                                                                                                                  |delta Sct Variable             |19 24 02.2379295744 +43 14 57.807817800|075.2667491562518 +12.7402570975579|   -1.749 0.537    |9.33     |A9V                |    ~     ~          
33  |BD+42 3341                                                                                                                                  |Star                           |19 26 11.6917755168 +43 07 38.394660360|075.3279970280460 +12.3328412085803|  -3.600 -2.516    |9.94     |G0                 |    ~     ~          
34  |TYC 3146-807-1                                                                                                                              |Star                           |19 26 05.2788636264 +43 08 02.712471072|075.3255491313018 +12.3533395002841|   1.733 -2.783    |10.78    |F5V                |    ~     ~          
35  |BD+42 3345                                                                                                                                  |Double or Multiple Star        |19 27 13.474 +43 07 17.58              |075.406498 +12.161231              |      19.7 11.0    |9.20     |A5                 |    ~     ~          
36  |BD+42 3348                                                                                                                                  |Star                           |19 27 23.21 +43 05 01.1                |075.38488 +12.11801                |            ~ ~    |9.00     |~                  |    ~     ~          
37  |BD+42 3352                                                                                                                                  |Star                           |19 28 02.1407680464 +43 10 49.900376496|075.5270110348401 +12.0540887832778| -15.752 32.306    |8.78     |G0                 |    ~     ~          
38  |HD 183727                                                                                                                                   |High Proper Motion Star        |19 29 01.5896818536 +43 10 34.086444024|075.6042664411927 +11.8899675975942|  27.901 67.970    |8.49     |F5IV-V             |    ~     ~          
39  |BD+42 3361                                                                                                                                  |Star                           |19 29 57.8405571312 +43 11 47.332308480|075.7001700352853 +11.7457225071732|  4.834 -22.094    |8.94     |K0                 |    ~     ~          
40  |IRAS 19209+4324                                                                                                                             |Star                           |19 22 33.4162638552 +43 29 47.039325504|075.3780744345612 +13.0889826751905|  -3.345 -7.524    |10.45    |~                  |    ~     ~          
41  |IRAS 19221+4308                                                                                                                             |Long-Period Variable Candidate |19 23 46.9753509648 +43 14 14.147177928|075.2351461225069 +12.7769049675264| -2.504 -11.974    |10.36    |M1.5II-III         |    ~     ~          
