C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:40:16

dec >=0&rah >=16.75&rah< 17.0&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 3749

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |      spec. type       |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------------|---------------|-----|----------------|-----------------------|--------|-------------------
1134|HD 152583                                                                                                |Star                                |16 54 06.5998651584 +01 07 50.275365924|019.6491117423223 +26.4163161677798|  -10.069 6.996   |8.35     |K0III                  |    ~     ~    |    1|  387.327   pc  |  -3.7055     +3.7055  |paral   |2020yCat.1350....0G
1135|BD+01 3337                                                                                               |Star                                |16 54 14.8930080576 +01 37 04.329020316|020.1406147112326 +26.6288973467003| -20.337 -4.825   |10.59    |K0                     |    ~     ~    |    1|  834.028   pc  | -11.7557    +11.7557  |paral   |2020yCat.1350....0G
1136|BD+01 3338                                                                                               |Double or Multiple Star             |16 54 21.5401926912 +01 35 09.813209136|020.1250899684151 +26.5890763865491|   -5.567 5.459   |9.62     |K0                     |    ~     ~    |    1|  780.945   pc  | -10.2459    +10.2459  |paral   |2020yCat.1350....0G
1137|HD 152696                                                                                                |Star                                |16 54 49.4025587304 +01 27 11.420672040|020.0605764972772 +26.4223610029464|  -5.092 -2.572   |8.92     |K0/1III                |    ~     ~    |    1|  384.187   pc  |  -2.7601     +2.7601  |paral   |2020yCat.1350....0G
1138|BD+00 3594                                                                                               |High Proper Motion Star             |16 53 33.1935003888 +00 40 30.870272568|019.1314534023055 +26.3085279587324|  -49.366 7.944   |10.84    |K0                     |    ~     ~    |    1|  125.513   pc  |  -0.2174     +0.2174  |paral   |2020yCat.1350....0G
1139|HD 152675                                                                                                |Star                                |16 54 49.3595850720 +00 23 38.557713876|019.0386840225592 +25.8927882492678| -2.696 -13.699   |10.26    |A1IV                   |    ~     ~    |    1|  363.769   pc  |  -2.7524     +2.7524  |paral   |2020yCat.1350....0G
1140|TYC 385-525-1                                                                                            |Spectroscopic Binary                |16 52 52.7966164056 +00 27 19.455170760|018.8249671987861 +26.3431361415120|  1.353 -11.624   |10.19    |~                      |    ~     ~    |    1|  588.893   pc  | -20.7731    +20.7731  |paral   |2020yCat.1350....0G
1141|TYC 385-560-1                                                                                            |Star                                |16 55 02.2978079952 +00 41 52.824479100|019.3610678619965 +25.9989167004220|   2.742 -1.394   |10.89    |~                      |    ~     ~    |    1| 1156.337   pc  | -26.0737    +26.0737  |paral   |2020yCat.1350....0G
1142|BD+02 3202                                                                                               |Star                                |16 55 53.7927277800 +02 39 14.148910980|021.3770933338758 +26.7801721515804|   -2.842 7.108   |10.61    |F                      |    ~     ~    |    1|  291.256   pc  |  -1.3234     +1.3234  |paral   |2020yCat.1350....0G
1143|BD+02 3216                                                                                               |Star                                |16 59 00.2191340520 +02 40 13.865174328|021.8150685940306 +26.1104106218387|   1.248 -0.790   |9.65     |F8                     |    ~     ~    |    1|  744.823   pc  |  -8.1550     +8.1550  |paral   |2020yCat.1350....0G
1144|BD+02 3203                                                                                               |Star                                |16 56 03.0094789296 +02 09 17.849061864|020.9113279069286 +26.5024537659379|   -8.088 4.516   |9.71     |K5                     |    ~     ~    |    1|  625.861   pc  |  -7.7949     +7.7949  |paral   |2020yCat.1350....0G
1145|BD+02 3209                                                                                               |Star                                |16 57 22.0705471512 +01 57 42.357520656|020.9040161148705 +26.1208015668669|-37.912 -14.698   |10.54    |K0                     |    ~     ~    |    1|  209.718   pc  |  -1.9440     +1.9440  |paral   |2020yCat.1350....0G
1146|BD+02 3211                                                                                               |Star                                |16 57 30.7283786496 +02 00 16.544061432|020.9652865264263 +26.1104332607959|-20.808 -26.310   |9.86     |K0                     |    ~     ~    |    1|  146.505   pc  |  -0.3284     +0.3284  |paral   |2020yCat.1350....0G
1147|HD 153227                                                                                                |Star                                |16 58 00.4442216784 +02 20 31.064201988|021.3604375780874 +26.1677550455108| -18.263 12.453   |9.81     |G3/5V                  |    ~     ~    |    1|  110.568   pc  |  -0.1858     +0.1858  |paral   |2020yCat.1350....0G
1148|HD 153478                                                                                                |Star                                |16 59 43.2601014672 +02 23 18.696904044|021.6378584871379 +25.8167544678033|   -9.846 2.452   |10.08    |F2V                    |    ~     ~    |    1|  216.600   pc  |  -0.8726     +0.8726  |paral   |2020yCat.1350....0G
1149|HD 153502                                                                                                |Star                                |16 59 46.3432571352 +02 20 48.577148520|021.6043446410228 +25.7852388928969|-29.176 -10.330   |9.45     |F3/5V                  |    ~     ~    |    1|  181.683   pc  |  -0.4654     +0.4654  |paral   |2020yCat.1350....0G
1150|BD+02 3217                                                                                               |Star                                |16 59 13.7357811264 +01 49 45.626323872|021.0296065476447 +25.6506836366818|  -4.613 -0.650   |9.86     |M0                     |    ~     ~    |    1| 1173.709   pc  | -36.3684    +36.3684  |paral   |2020yCat.1350....0G
1151|BD+01 3345                                                                                               |Star                                |16 55 40.5827435544 +01 17 56.350251060|020.0294821596340 +26.1607393925222|  -5.430 -0.470   |10.34    |F0                     |    ~     ~    |    1|  490.364   pc  |  -4.1118     +4.1118  |paral   |2020yCat.1350....0G
1152|HD 152898                                                                                                |Star                                |16 56 05.5936092456 +01 25 14.328881616|020.2047468573283 +26.1307007914561| -0.964 -27.547   |7.70     |K2/3III                |    ~     ~    |    1|  323.060   pc  |  -2.6196     +2.6196  |paral   |2020yCat.1350....0G
1153|HD 152930                                                                                                |High Proper Motion Star             |16 56 20.4486657864 +01 37 44.910368112|020.4406881104665 +26.1801704030785|  5.676 -83.197   |8.48     |G8III/IV               |    ~     ~    |    1|  298.294   pc  |  -1.8864     +1.8864  |paral   |2020yCat.1350....0G
1154|BD+01 3349                                                                                               |Star                                |16 56 39.2908167288 +00 58 39.846774972|019.8549049968172 +25.7887380070942|  2.109 -18.651   |10.45    |F0                     |    ~     ~    |    1|  392.2184  pc  | -37.1666    +37.1666  |paral   |2018yCat.1345....0G
1155|HD 153019                                                                                                |Star                                |16 56 55.7217458208 +01 15 45.034965468|020.1672184117621 +25.8709485295257|  -30.850 7.149   |9.46     |K0V                    |    ~     ~    |    1|  152.672   pc  |  -0.3380     +0.3380  |paral   |2020yCat.1350....0G
1156|BD+01 3352                                                                                               |Star                                |16 57 12.5793545832 +01 15 47.301538284|020.2065331016331 +25.8102883044511|  2.738 -14.052   |10.94    |G0                     |    ~     ~    |    1|  354.333   pc  |  -2.0967     +2.0967  |paral   |2020yCat.1350....0G
1157|HD 153273                                                                                                |Star                                |16 58 18.2795968032 +01 45 44.559394416|020.8388930277001 +25.8189378993190|  -3.798 -3.152   |10.09    |F0V                    |    ~     ~    |    1|  513.848   pc  |  -4.9375     +4.9375  |paral   |2020yCat.1350....0G
1158|HD 153314                                                                                                |Star                                |16 58 37.7973340728 +01 39 43.169041944|020.7862754006974 +25.6987740941580|    0.158 6.662   |8.63     |K2III                  |    ~     ~    |    1|  642.756   pc  |  -8.1388     +8.1388  |paral   |2020yCat.1350....0G
1159|HD 152777                                                                                                |Star                                |16 55 24.8719132920 +00 05 36.496196556|018.8333271696524 +25.6134532540167|   0.356 -0.510   |8.33     |K4III                  |    ~     ~    |    1|  333.300   pc  |  -2.2551     +2.2551  |paral   |2020yCat.1350....0G
1160|BD+00 3599                                                                                               |Star                                |16 56 28.8383270592 +00 41 13.064230716|019.5510850141385 +25.6813039790292|   11.712 1.380   |10.04    |K0                     |    ~     ~    |    1|  627.392   pc  |  -5.7469     +5.7469  |paral   |2020yCat.1350....0G
1161|BD+00 3602                                                                                               |Star                                |16 57 27.2524687656 +00 18 25.127385876|019.3218680022684 +25.2802979858537|-29.590 -15.182   |10.66    |F8                     |    ~     ~    |    1|  176.016   pc  |  -0.4461     +0.4461  |paral   |2020yCat.1350....0G
1162|BD+01 3341                                                                                               |Variable Star                       |16 55 03.6306611352 +00 45 53.422483932|019.4285167669352 +26.0276077939738|  -2.763 -0.696   |10.46    |~                      |    ~     ~    |    1| 1965.023   pc  | -66.0285    +66.0285  |paral   |2020yCat.1350....0G
1163|BD+00 3600                                                                                               |Star                                |16 56 44.1917644008 +00 12 41.202854928|019.1307502836022 +25.3874391464071| -28.067 -9.133   |10.05    |~                      |    ~     ~    |    1|  191.051   pc  |  -0.4964     +0.4964  |paral   |2020yCat.1350....0G
1164|BD+00 3601                                                                                               |Long-Period Variable                |16 57 25.3593181032 +00 00 56.268662328|019.0391029239021 +25.1406656881037|  -5.598 -7.729   |10.05    |~                      |    ~     ~    |    1|  922.084   pc  | -24.5719    +24.5719  |paral   |2020yCat.1350....0G
1165|BD+00 3605                                                                                               |Red Giant Branch star Candidate     |16 59 00.3686260704 +00 14 19.915386036|019.4715499549169 +24.9104421160596|  11.433 -3.094   |10.30    |~                      |    ~     ~    |    1|  770.238   pc  |  -8.4837     +8.4837  |paral   |2020yCat.1350....0G
1166|TYC 385-7-1                                                                                              |Star                                |16 54 13.3561281000 +01 31 51.762240336|020.0527609870726 +26.5913521637340|   -4.281 0.206   |10.40    |~                      |    ~     ~    |    1|  664.805   pc  |  -7.2040     +7.2040  |paral   |2020yCat.1350....0G
1167|TYC 385-34-1                                                                                             |Star                                |16 55 08.1549764424 +01 34 01.510850100|020.2142849903971 +26.4110757433529| -20.274 -9.338   |10.70    |~                      |    ~     ~    |    1|  185.843   pc  |  -0.5353     +0.5353  |paral   |2020yCat.1350....0G
1168|TYC 385-201-1                                                                                            |Spectroscopic Binary                |16 54 55.1174642112 +01 42 00.933603876|020.3134650913443 +26.5242168912224|  -5.000 12.308   |10.46    |~                      |    ~     ~    |    1| 1423.082   pc  | -73.5134    +73.5134  |paral   |2020yCat.1350....0G
1169|TYC 385-294-1                                                                                            |Star                                |16 54 31.8155461344 +01 18 28.166330952|019.8790924097009 +26.4136307239439|  -6.158 -2.210   |10.63    |~                      |    ~     ~    |    1| 1197.318   pc  | -24.8008    +24.8008  |paral   |2020yCat.1350....0G
1170|TYC 385-342-1                                                                                            |Star                                |16 53 38.9785501680 +00 57 11.227175316|019.4132004074453 +26.4271594685228|  -6.616 -4.607   |10.42    |~                      |    ~     ~    |    1|  358.654   pc  |  -2.2253     +2.2253  |paral   |2020yCat.1350....0G
1171|TYC 385-427-1                                                                                            |Star                                |16 55 01.5134507616 +01 07 29.689720464|019.7709511061635 +26.2152252960664|-30.754 -26.647   |10.73    |~                      |    ~     ~    |    1|  200.176   pc  |  -1.1220     +1.1220  |paral   |2020yCat.1350....0G
1172|TYC 385-620-1                                                                                            |Star                                |16 54 09.9778985472 +00 09 52.737671052|018.7264639361550 +25.9187145523916|  -7.097 -8.369   |10.55    |~                      |    ~     ~    |    1|  303.196   pc  |  -1.5260     +1.5260  |paral   |2020yCat.1350....0G
1173|TYC 385-695-1                                                                                            |Star                                |16 53 47.7931462752 +00 33 58.850291412|019.0606441157577 +26.2011720626265|  -7.502 10.444   |10.56    |~                      |    ~     ~    |    1|  323.112   pc  |  -1.6391     +1.6391  |paral   |2020yCat.1350....0G
1174|TYC 385-972-1                                                                                            |Spectroscopic Binary                |16 55 31.5636180984 +01 46 01.693104240|020.4622654526493 +26.4253657082152|   2.965 -4.354   |10.77    |~                      |    ~     ~    |    1| 1060.783   pc  | -28.4691    +28.4691  |paral   |2020yCat.1350....0G
1175|TYC 385-1143-1                                                                                           |Spectroscopic Binary                |16 57 01.6432810848 +00 34 02.414950860|019.5120761683558 +25.5031088195766| 16.126 -37.323   |10.992   |~                      |    ~     ~    |    1|  213.027   pc  |  -2.7700     +2.7700  |ST-L    |2020AJ....160...83S
1176|TYC 385-1171-1                                                                                           |Star                                |16 55 27.2551964424 +00 53 39.154099416|019.6079609095212 +26.0071265697436|   -4.320 0.320   |10.31    |~                      |    ~     ~    |    1|  420.929   pc  |  -3.0475     +3.0475  |paral   |2020yCat.1350....0G
1177|TYC 385-1178-1                                                                                           |Star                                |16 57 52.1364049440 +01 18 59.890094352|020.3487808456359 +25.6936720331472| -16.395 -0.226   |10.92    |~                      |    ~     ~    |    1|  802.375   pc  |  -8.9489     +8.9489  |paral   |2020yCat.1350....0G
1178|TYC 385-1189-1                                                                                           |Star                                |16 55 22.8080792424 +00 46 43.715836020|019.4864869291440 +25.9654462321584|   -0.026 7.171   |10.75    |~                      |    ~     ~    |    1|  307.796   pc  |  -1.4590     +1.4590  |paral   |2020yCat.1350....0G
1179|TYC 385-1241-1                                                                                           |Star                                |16 59 33.3793284048 +00 40 02.966946600|019.9569242110238 +25.0052786737379|-20.468 -16.036   |10.90    |~                      |    ~     ~    |    1|  700.624   pc  |  -6.5286     +6.5286  |paral   |2020yCat.1350....0G
1180|TYC 385-1265-1                                                                                           |Star                                |16 59 13.6394325720 +00 58 01.681033296|020.1989594137425 +25.2255556963426|   -7.439 0.444   |10.23    |~                      |    ~     ~    |    1|  461.915   pc  |  -6.5717     +6.5717  |paral   |2020yCat.1350....0G
1181|TYC 385-1299-1                                                                                           |Star                                |16 56 10.4038782864 +00 44 08.472753204|019.5552722689064 +25.7721816653705| -9.048 -14.005   |10.74    |~                      |    ~     ~    |    1|  798.722   pc  | -10.4625    +10.4625  |paral   |2020yCat.1350....0G
1182|TYC 385-1310-1                                                                                           |Star                                |16 58 48.0551250384 +01 17 51.570598452|020.4582772760840 +25.4818575344383|  10.448 -4.425   |10.72    |~                      |    ~     ~    |    1|  186.244   pc  |  -0.4371     +0.4371  |paral   |2020yCat.1350....0G
1183|TYC 385-1315-1                                                                                           |Star                                |16 57 54.7532246520 +01 00 36.729764964|020.0597064480974 +25.5322027686857| -1.566 -17.693   |10.42    |~                      |    ~     ~    |    1|  227.485   pc  |  -1.1540     +1.1540  |paral   |2020yCat.1350....0G
1184|TYC 385-1371-1                                                                                           |Star                                |16 58 19.2076028112 +01 05 14.122533048|020.1898640260958 +25.4820381706657| -4.833 -30.691   |10.92    |~                      |    ~     ~    |    1|  281.136   pc  |  -1.8732     +1.8732  |paral   |2020yCat.1350....0G
1185|TYC 385-1516-1                                                                                           |Star                                |16 58 51.2804113128 +01 17 28.819981788|020.4595512021107 +25.4670547924080|    7.456 1.777   |10.97    |~                      |    ~     ~    |    1|  273.853   pc  |  -1.0799     +1.0799  |paral   |2020yCat.1350....0G
1186|TYC 385-1559-1                                                                                           |Star                                |16 57 48.2310819984 +00 03 28.959187212|019.1325465639333 +25.0796611315240| -3.351 -13.499   |10.49    |~                      |    ~     ~    |    1|  335.390   pc  |  -1.7548     +1.7548  |paral   |2020yCat.1350....0G
1187|TYC 385-1578-1                                                                                           |Star                                |16 56 43.8690386400 +01 50 28.893089724|020.7000246037949 +26.2000610393503|  -7.027 -4.737   |10.82    |~                      |    ~     ~    |    1|  443.557   pc  |  -3.2856     +3.2856  |paral   |2020yCat.1350....0G
1188|TYC 385-1621-1                                                                                           |Star                                |16 59 49.1775881856 +00 38 44.673586332|019.9722535283808 +24.9373641789580|   -6.635 0.676   |10.86    |~                      |    ~     ~    |    1|  356.926   pc  |  -1.6562     +1.6562  |paral   |2020yCat.1350....0G
1189|TYC 385-1823-1                                                                                           |Star                                |16 59 55.6596095088 +00 15 53.879869620|019.6234455728618 +24.7240362329098|    0.305 7.140   |10.92    |~                      |    ~     ~    |    1| 1085.305   pc  | -18.8462    +18.8462  |paral   |2020yCat.1350....0G
1190|IRAS 16543+0045                                                                                          |Long-Period Variable Candidate      |16 56 54.3714815256 +00 40 56.918247852|019.6057817840332 +25.5869369249677|   2.224 -5.757   |10.48    |~                      |    ~     ~    |    1| 1961.94    pc  | -85.4523    +85.4523  |paral   |2020yCat.1350....0G
1191|TYC 385-1859-1                                                                                           |Star                                |16 59 35.2502822400 +00 06 20.608346448|019.4248190299974 +24.7179559673261|  -1.794 -4.824   |10.80    |~                      |    ~     ~    |    1|  355.202   pc  |  -1.7916     +1.7916  |paral   |2020yCat.1350....0G
1192|TYC 385-1870-1                                                                                           |Star                                |16 58 04.7778480048 +00 59 24.019587132|020.0632842693664 +25.4859248805534|    5.960 2.989   |10.63    |~                      |    ~     ~    |    1|  604.961   pc  |  -5.8556     +5.8556  |paral   |2020yCat.1350....0G
1193|TYC 389-35-1                                                                                             |Star                                |16 54 53.8349730096 +02 07 57.045119628|020.7310610873076 +26.7422278425507| -11.562 -9.623   |10.79    |~                      |    ~     ~    |    1| 1679.543   pc  | -49.9293    +49.9293  |paral   |2020yCat.1350....0G
1194|TYC 389-106-1                                                                                            |Star                                |16 54 08.4785215896 +02 30 56.796870779|021.0014440072317 +27.0949678059495| -2.752 -10.625   |10.59    |~                      |    ~     ~    |    1|  971.4397  pc  | -32.6518    +32.6518  |paral   |2018yCat.1345....0G
1195|TYC 389-148-1                                                                                            |Pulsating Variable                  |16 53 16.3975837272 +02 16 09.006938184|020.6404016935000 +27.1626185165772|   2.826 -4.543   |10.83    |~                      |    ~     ~    |    1|  961.261   pc  | -18.3881    +18.3881  |paral   |2020yCat.1350....0G
1196|TYC 389-302-1                                                                                            |Star                                |16 54 51.0170574360 +02 12 50.046028632|020.8039609719657 +26.7924810984147|    3.625 5.981   |10.81    |~                      |    ~     ~    |    1|  921.319   pc  | -11.8836    +11.8836  |paral   |2020yCat.1350....0G
1197|TYC 389-2294-1                                                                                           |Star                                |16 57 04.6558499664 +01 56 32.151964740|020.8453876354417 +26.1743699393248|    0.938 8.998   |9.95     |~                      |    ~     ~    |    1| 1338.151   pc  | -38.1408    +38.1408  |paral   |2020yCat.1350....0G
1198|TYC 389-2365-1                                                                                           |Star                                |16 58 58.0476909360 +02 22 22.204383132|021.5207015438305 +25.9734902332999|    3.166 0.500   |10.17    |~                      |    ~     ~    |    1|  822.233   pc  | -11.3579    +11.3579  |paral   |2020yCat.1350....0G
1199|TYC 389-2406-1                                                                                           |Star                                |16 57 11.7356458320 +02 11 48.662253312|021.1087762886305 +26.2736448310457|-37.784 -10.902   |10.53    |~                      |    ~     ~    |    1|  286.738   pc  |  -2.0144     +2.0144  |paral   |2020yCat.1350....0G
1200|TYC 389-2408-1                                                                                           |Star                                |16 58 34.4617558032 +02 11 50.995504572|021.2971626040229 +25.9735955496823|-14.959 -13.210   |10.14    |~                      |    ~     ~    |    1|  562.873   pc  |  -5.4177     +5.4177  |paral   |2020yCat.1350....0G
1201|TYC 389-2437-1                                                                                           |Star                                |16 57 16.4206791408 +02 19 55.680360024|021.2510140286503 +26.3228540921243| -10.192 -8.876   |10.90    |~                      |    ~     ~    |    1|  978.857   pc  | -18.1092    +18.1092  |paral   |2020yCat.1350....0G
1202|TYC 389-2458-1                                                                                           |Star                                |16 57 01.1506155600 +01 57 35.243825832|020.8543961709487 +26.1956972760856|  -21.542 2.806   |10.81    |~                      |    ~     ~    |    1|  240.714   pc  |  -6.0145     +6.0145  |paral   |2020yCat.1350....0G
1203|TYC 389-2575-1                                                                                           |Star                                |16 57 23.2822572720 +02 25 54.420987972|021.3635999844993 +26.3466240858751|   5.314 -9.628   |10.08    |~                      |    ~     ~    |    1| 1023.541   pc  | -17.9146    +17.9146  |paral   |2020yCat.1350....0G
1204|TYC 389-2801-1                                                                                           |Star                                |16 55 46.4001096192 +02 14 32.974849212|020.9586257561017 +26.6056755344073|   4.458 -6.434   |10.45    |~                      |    ~     ~    |    1|  310.540   pc  | -25.2370    +25.2370  |paral   |2020yCat.1350....0G
1205|NGC 6240N                          NGC 6240N                                                             |Part of a Galaxy                    |16 52 58.98 +02 24 02.8                |020.72909 +27.29052                |            ~ ~   |     ~   |~                      |    ~     ~    |    0|                |                       |        |                   
1206|NGC 6240S                          NGC 6240S                                                             |Part of a Galaxy                    |16 52 58.96 +02 24 01.0                |020.72856 +27.29035                |            ~ ~   |     ~   |~                      |    ~     ~    |    0|                |                       |        |                   
1207|NGC 6240                           NGC 6240                                                              |Seyfert 2 Galaxy                    |16 52 58.861 +02 24 03.55              |020.729024 +27.291056              |            ~ ~   |13.37    |~                      |1.103 0.618    |    1|  105.4     Mpc |                       |        |2011ApJ...739...57K
1208|BD+05 3268                                                                                               |Star                                |16 46 38.6184520440 +05 19 44.835829212|022.7788049968697 +30.0911026071463|    4.941 0.914   |10.18    |K2                     |    ~     ~    |    1|  598.229   pc  |  -6.5850     +6.5850  |paral   |2020yCat.1350....0G
1209|* l Her                                                                                                  |alpha2 CVn Variable                 |16 47 46.4200216512 +05 14 48.291336960|022.8494223020896 +29.8044435406134|-19.403 -39.531   |5.24     |A1VpSi                 |    ~     ~    |    1|  129.561   pc  |  -1.9253     +1.9253  |paral   |2020yCat.1350....0G
1210|BD+05 3274                                                                                               |Star                                |16 48 50.5065559224 +05 01 26.945274360|022.7696650770955 +29.4646269756646|   4.193 -3.026   |10.90    |~                      |    ~     ~    |    1|  542.505   pc  |  -5.0033     +5.0033  |paral   |2020yCat.1350....0G
1211|HD 151841                                                                                                |Star                                |16 49 43.2294364128 +05 08 19.108297932|023.0046599487208 +29.3265337547618|  -4.388 -5.477   |9.31     |K5                     |    ~     ~    |    1| 1110.371   pc  | -19.7268    +19.7268  |paral   |2020yCat.1350....0G
1212|HD 151976                                                                                                |Star                                |16 50 35.0732348280 +05 07 01.609598856|023.0999000435498 +29.1269208200732|   7.052 -2.653   |9.53     |K2                     |    ~     ~    |    1|  562.651   pc  |  -4.9069     +4.9069  |paral   |2020yCat.1350....0G
1213|HD 152068                                                                                                |High Proper Motion Star             |16 51 04.1376511872 +04 46 58.829111076|022.8293772984889 +28.8619764674052| 30.519 -78.068   |8.43     |K0/1III                |    ~     ~    |    1|  147.176   pc  |  -0.4527     +0.4527  |paral   |2020yCat.1350....0G
1214|HD 152277                                                                                                |Spectroscopic Binary                |16 52 21.5308550976 +04 48 39.013999380|023.0316513225264 +28.5925835353694|  -12.991 8.215   |8.05     |K2III                  |    ~     ~    |    1|  524.301   pc  | -14.9266    +14.9266  |paral   |2020yCat.1350....0G
1215|HD 151206                                                                                                |Star                                |16 45 57.3853820040 +04 09 54.056611260|021.5061327216136 +29.6825213723483|   3.341 -5.661   |9.12     |K0                     |    ~     ~    |    1|  434.537   pc  |  -3.5687     +3.5687  |paral   |2020yCat.1350....0G
1216|HD 151219                                                                                                |Star                                |16 45 57.9991975896 +04 02 30.479450856|021.3835822119759 +29.6205063417258|  6.969 -11.010   |7.12     |F2V                    |    ~     ~    |    1|  182.558   pc  |  -0.6632     +0.6632  |paral   |2020yCat.1350....0G
1217|BD+04 3255                                                                                               |Star                                |16 46 58.3941159240 +04 01 20.478643212|021.5040368141733 +29.3915943094476|    1.859 2.323   |10.39    |K5                     |    ~     ~    |    1|  989.609   pc  | -16.4527    +16.4527  |paral   |2020yCat.1350....0G
1218|HD 151411                                                                                                |Star                                |16 47 05.2869277200 +04 26 58.180297920|021.9494882771171 +29.5729888982188|  -4.441 -7.004   |10.32    |A3/5II                 |    ~     ~    |    1|  491.618   pc  |  -4.8338     +4.8338  |paral   |2020yCat.1350....0G
1219|BD+04 3257                                                                                               |Star                                |16 47 52.1712870456 +04 42 56.953523304|022.3255359495801 +29.5301508106434| 10.985 -22.793   |9.23     |M0                     |    ~     ~    |    1|  911.993   pc  | -19.9615    +19.9615  |paral   |2020yCat.1350....0G
1220|HD 151716                                                                                                |Star                                |16 48 56.2546543440 +04 23 03.180520176|022.1383875398150 +29.1374803337655| -34.755 12.727   |9.27     |G2V                    |    ~     ~    |    1|   95.361   pc  |  -0.1510     +0.1510  |paral   |2020yCat.1350....0G
1221|BD+04 3260                                                                                               |Star                                |16 49 09.2874685968 +03 58 53.783254560|021.7649302355674 +28.8958734541376|  -0.547 -6.787   |10.45    |K0                     |    ~     ~    |    1|  923.361   pc  | -15.6878    +15.6878  |paral   |2020yCat.1350....0G
1222|BD+04 3262                                                                                               |Star                                |16 49 14.8660396824 +04 38 48.656251644|022.4447562607048 +29.1956469562488|  -13.004 3.793   |9.93     |F8                     |    ~     ~    |    1|  149.211   pc  |  -0.3473     +0.3473  |paral   |2020yCat.1350....0G
1223|BD+04 3263                                                                                               |High Proper Motion Star             |16 49 27.3853007280 +04 26 32.423664516|022.2678295230917 +29.0519813972012|-48.326 -25.225   |9.83     |F8                     |    ~     ~    |    1|  107.910   pc  |  -0.1828     +0.1828  |paral   |2020yCat.1350....0G
1224|HD 151880                                                                                                |Star                                |16 50 03.1916611608 +04 44 14.014310460|022.6454526715893 +29.0625809688607|   28.863 8.714   |9.18     |G8/K0(III)             |    ~     ~    |    1|   91.511   pc  |  -0.1298     +0.1298  |paral   |2020yCat.1350....0G
1225|HD 151881                                                                                                |Star                                |16 50 03.3210363696 +04 43 20.290015956|022.6307453022447 +29.0549836437810| -21.946 -9.304   |8.87     |G                      |    ~     ~    |    1|  353.982   pc  |  -2.5311     +2.5311  |paral   |2020yCat.1350....0G
1226|HD 152014                                                                                                |Star                                |16 50 45.1462283352 +04 27 05.449281552|022.4539846873433 +28.7729149534902| -12.757 -1.798   |8.72     |K4                     |    ~     ~    |    1|  352.113   pc  |  -2.8144     +2.8144  |paral   |2020yCat.1350....0G
1227|BD+04 3269                                                                                               |Star                                |16 51 01.0262260656 +04 23 36.446967132|022.4319205622569 +28.6871934544710|  -1.004 -5.262   |10.13    |G5                     |    ~     ~    |    1|  724.218   pc  |  -7.4478     +7.4478  |paral   |2020yCat.1350....0G
1228|HD 152087                                                                                                |Star                                |16 51 07.5203761128 +04 36 49.493380716|022.6672342272872 +28.7688984824394|  -17.621 4.135   |8.98     |F3V                    |    ~     ~    |    1|  122.525   pc  |  -0.2507     +0.2507  |paral   |2020yCat.1350....0G
1229|BD+04 3271                                                                                               |Star                                |16 51 10.5077698344 +04 12 42.983066052|022.2720299466516 +28.5655230847834|  -5.274 -4.795   |10.25    |K2                     |    ~     ~    |    1|  662.822   pc  |  -8.0837     +8.0837  |paral   |2020yCat.1350....0G
1230|HD 152310                                                                                                |Star                                |16 52 29.8124722368 +04 18 18.147346272|022.5447037064944 +28.3210447512035|-18.859 -24.294   |8.57     |F3V                    |    ~     ~    |    1|  103.740   pc  |  -0.2217     +0.2217  |paral   |2020yCat.1350....0G
1231|HD 151269                                                                                                |High Proper Motion Star             |16 46 17.8143702672 +03 50 57.470169444|021.2362782541991 +29.4549257680836| -8.050 -65.169   |7.93     |K0III                  |    ~     ~    |    1|  231.476   pc  |  -1.2217     +1.2217  |paral   |2020yCat.1350....0G
1232|HD 151590                                                                                                |Star                                |16 48 13.8827357904 +03 53 24.324723816|021.5458985448657 +29.0530368555693|-10.883 -15.922   |9.55     |K0(III)                |    ~     ~    |    1|  648.214   pc  |  -6.0506     +6.0506  |paral   |2020yCat.1350....0G
1233|BD+04 3274                                                                                               |Star                                |16 51 25.7854852800 +03 49 36.413299884|021.9229789130401 +28.3243083479868| 25.263 -11.380   |10.79    |F8                     |    ~     ~    |    1|  199.573   pc  |  -1.1710     +1.1710  |paral   |2020yCat.1350....0G
1234|HD 151191                                                                                                |Star                                |16 45 46.6867956696 +02 53 15.601101252|020.2028336744502 +29.0959126316339|  14.776 -2.499   |9.84     |A0III                  |    ~     ~    |    1|  335.672   pc  |  -2.9408     +2.9408  |paral   |2020yCat.1350....0G
1235|HD 151220                                                                                                |Star                                |16 45 56.6755214592 +02 46 37.303647564|020.1163755830566 +29.0050484905734| -4.318 -30.391   |9.45     |K1(III)                |    ~     ~    |    1|  376.790   pc  |  -4.2165     +4.2165  |paral   |2020yCat.1350....0G
1236|HD 151371                                                                                                |Pulsating Variable                  |16 46 58.9589616336 +03 22 34.620765456|020.8588917378204 +29.0746233016992|   -0.239 5.493   |9.88     |A2/3II                 |    ~     ~    |    1|  460.320   pc  |  -4.4286     +4.4286  |paral   |2020yCat.1350....0G
