C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:40:16

dec >=0&rah >=16.75&rah< 17.0&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 3749

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |      spec. type       |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------------|---------------|-----|----------------|-----------------------|--------|-------------------
22  |BD+81 562                                                                                                |Pulsating Variable                  |16 45 08.8457179056 +81 29 37.065650460|114.4481546779262 +31.3252112886469|  1.341 -14.899   |10.85    |F2                     |    ~     ~    |    1|  368.514   pc  |  -1.4395     +1.4395  |paral   |2020yCat.1350....0G
23  |BD+81 564                                                                                                |Star                                |16 48 58.8594978192 +81 16 50.457595764|114.1499039631928 +31.2934263558864|  -0.589 18.724   |9.03     |F8                     |    ~     ~    |    1|  197.394   pc  |  -0.4520     +0.4520  |paral   |2020yCat.1350....0G
24  |BD+81 569                                                                                                |Star                                |16 55 44.9012918664 +81 14 21.246333108|113.9770832883096 +31.0790820579069|   -1.163 6.669   |8.20     |M0                     |    ~     ~    |    1|  723.641   pc  |  -8.4309     +8.4309  |paral   |2020yCat.1350....0G
25  |BD+81 571                                                                                                |Star                                |16 59 17.3837519520 +81 42 54.108426852|114.4200389405611 +30.7641446957644| -11.912 17.090   |9.31     |A5                     |    ~     ~    |    1|  382.878   pc  |  -2.0817     +2.0817  |paral   |2020yCat.1350....0G
26  |* eps UMi                                                                                                |RS CVn Variable                     |16 45 58.2436042536 +82 02 14.129823444|114.9961216427571 +31.0483536610926|   18.925 2.423   |4.212    |G5III                  |    ~     ~    |    1|  101.382   pc  |  -1.4708     +1.4708  |paral   |2020yCat.1350....0G
27  |TYC 4580-810-1                                                                                           |Star                                |16 49 07.6374654216 +81 15 58.489030620|114.1318818054172 +31.2948467530151|   4.883 10.285   |10.82    |~                      |    ~     ~    |    1|  774.773   pc  |  -6.1228     +6.1228  |paral   |2020yCat.1350....0G
28  |TYC 4647-1777-1                                                                                          |High Proper Motion Star             |16 48 31.1938972584 +82 37 45.760921608|115.5634966062776 +30.7009597125143|  -5.203 50.124   |10.85    |~                      |    ~     ~    |    1|  206.484   pc  |  -1.8632     +1.8632  |paral   |2020yCat.1350....0G
29  |BD+86 255                                                                                                |Star                                |16 46 18.8779505760 +85 58 24.106328832|118.9911822268719 +29.1637830567221|   -4.115 0.411   |10.85    |F8                     |    ~     ~    |    1|  446.967   pc  |  -5.7537     +5.7537  |paral   |2020yCat.1350....0G
30  |HD 156374                                                                                                |High Proper Motion Star             |16 45 16.1232529824 +86 04 11.469653940|119.0975186439212 +29.1319333734473| -37.216 39.067   |8.25     |G5                     |    ~     ~    |    1|  305.745   pc  |  -1.6546     +1.6546  |paral   |2020yCat.1350....0G
31  |BD+86 257                                                                                                |Star                                |16 48 37.4403723720 +85 56 21.870260628|118.9345311458508 +29.1447400193666|  3.803 -19.667   |10.06    |G5                     |    ~     ~    |    1|  104.546   pc  |  -0.1093     +0.1093  |paral   |2020yCat.1350....0G
32  |BD+86 258                                                                                                |Star                                |16 49 58.7152498944 +86 29 41.754388416|119.4789350232445 +28.8576964796043|   0.398 -3.823   |10.44    |G8                     |    ~     ~    |    1|  941.620   pc  | -25.8014    +25.8014  |paral   |2020yCat.1350....0G
33  |BD+86 259                                                                                                |Star                                |16 53 56.8634860104 +86 47 48.464975796|119.7506605278922 +28.6634182609732|   8.795 -4.468   |10.63    |G5                     |    ~     ~    |    1|  185.010   pc  |  -0.4450     +0.4450  |paral   |2020yCat.1350....0G
34  |BD+86 260                                                                                                |Star                                |16 58 06.2378520336 +86 35 53.891019564|119.5183282739320 +28.7012971227539|  9.896 -17.247   |9.87     |G0                     |    ~     ~    |    1|  153.565   pc  |  -0.8042     +0.8042  |paral   |2020yCat.1350....0G
35  |BD+86 263                                                                                                |High Proper Motion Star             |16 56 52.7164203528 +86 50 16.902180528|119.7709043001716 +28.6082898295845| -30.529 54.902   |9.20     |G0                     |    ~     ~    |    1|  115.503   pc  |  -0.1988     +0.1988  |paral   |2020yCat.1350....0G
36  |HD 160010                                                                                                |Spectroscopic Binary                |16 57 17.7220988280 +86 50 40.565018256|119.7745885287273 +28.6001841731817| -31.616 54.324   |8.35     |F2                     |    ~     ~    |    1|  115.306   pc  |  -0.2420     +0.2420  |paral   |2020yCat.1350....0G
37  |BD+84 373                                                                                                |Star                                |16 45 49.1532688272 +84 28 48.456929064|117.4975941855940 +29.8993800137056|  1.443 -10.201   |10.21    |M                      |    ~     ~    |    1|  553.618   pc  |  -3.8925     +3.8925  |paral   |2020yCat.1350....0G
38  |BD+84 374                                                                                                |Star                                |16 49 31.1113232016 +84 11 01.591136304|117.1465069954748 +29.9592404133939| -2.769 -36.844   |9.80     |G0                     |    ~     ~    |    1|  172.150   pc  |  -0.5660     +0.5660  |paral   |2020yCat.1350....0G
39  |BD+84 375                                                                                                |Star                                |16 48 31.4081070624 +84 29 45.252896028|117.4778938237477 +29.8347736140091|   4.386 24.362   |10.13    |G0                     |    ~     ~    |    1|  179.662   pc  |  -0.4228     +0.4228  |paral   |2020yCat.1350....0G
40  |BD+84 377                                                                                                |Star                                |16 55 55.8277914312 +84 15 01.479555540|117.1307217551059 +29.7850628737627| -11.282 11.384   |9.49     |F0                     |    ~     ~    |    1|  324.254   pc  |  -1.2827     +1.2827  |paral   |2020yCat.1350....0G
41  |HD 156401                                                                                                |High Proper Motion Star             |16 53 28.7892655584 +84 45 51.749200908|117.6901542673297 +29.6077615994538| -32.314 45.790   |7.89     |A0                     |    ~     ~    |    1|  217.742   pc  |  -0.8487     +0.8487  |paral   |2020yCat.1350....0G
42  |TYC 4651-194-1                                                                                           |Star                                |16 46 28.6082252256 +84 52 21.726637248|117.8854647277640 +29.6967551813644|  -0.717 -9.185   |10.92    |~                      |    ~     ~    |    1|  499.725   pc  |  -3.4962     +3.4962  |paral   |2020yCat.1350....0G
43  |TYC 4651-905-1                                                                                           |Star                                |16 51 26.5237756896 +85 22 11.190576468|118.3307385160718 +29.3679657981577|   3.275 -7.358   |10.78    |~                      |    ~     ~    |    1|  796.749   pc  |  -9.8395     +9.8395  |paral   |2020yCat.1350....0G
44  |TYC 4655-291-1                                                                                           |Star                                |16 49 15.6897964728 +86 17 00.028241268|119.2732900180104 +28.9694725657442| -11.619 21.295   |10.97    |~                      |    ~     ~    |    1|  322.643   pc  |  -1.6448     +1.6448  |paral   |2020yCat.1350....0G
45  |TYC 4655-310-1                                                                                           |Star                                |16 58 53.6035017048 +86 50 42.616523940|119.7638542104696 +28.5803100894013|    2.007 2.017   |10.64    |~                      |    ~     ~    |    1|  490.701   pc  |  -2.6968     +2.6968  |paral   |2020yCat.1350....0G
46  |BD+88 103                                                                                                |Star                                |16 55 02.7201808944 +87 59 30.393801960|120.9428631791876 +28.0908239439019|   -6.221 4.022   |10.12    |K0                     |    ~     ~    |    1|  890.869   pc  |  -9.9206     +9.9206  |paral   |2020yCat.1350....0G
47  |HD 163988                                                                                                |Star                                |16 48 43.2674641224 +88 09 22.444268112|121.1350554895311 +28.0575395540298|  -2.222 12.015   |8.11     |F5.5IV(Sr)             |    ~     ~    |    1|  278.738   pc  |  -1.3907     +1.3907  |paral   |2020yCat.1350....0G
48  |BD+87 163                                                                                                |Star                                |16 46 48.3854769744 +87 38 18.664302768|120.6361353374394 +28.3313625656457|   0.692 20.329   |10.45    |F8                     |    ~     ~    |    1|  232.304   pc  |  -0.8257     +0.8257  |paral   |2020yCat.1350....0G
49  |BD+87 166                                                                                                |Star                                |16 54 53.3479515648 +87 44 03.348654720|120.6860885110862 +28.2135390927828| -16.104 -5.967   |8.960    |K0                     |    ~     ~    |    1|  297.230   pc  |  -1.3075     +1.3075  |paral   |2020yCat.1350....0G
50  |BD+87 168                                                                                                |Star                                |16 56 48.2470024536 +87 52 31.104078780|120.8177767675487 +28.1313632163765|   -0.148 0.944   |9.58     |G2                     |    ~     ~    |    1|  660.066   pc  |  -5.0104     +5.0104  |paral   |2020yCat.1350....0G
51  |TYC 4659-147-1                                                                                           |Star                                |16 52 55.0430235840 +88 58 19.162792344|121.9232978327583 +27.6328926924372|  -12.685 9.260   |10.75    |~                      |    ~     ~    |    1| 1108.279   pc  | -14.8622    +14.8622  |paral   |2020yCat.1350....0G
52  |HD 154273                                                                                                |Star                                |16 58 40.1454783048 +69 38 05.558358588|100.9382127163889 +35.0157799037607|    1.401 8.986   |7.90     |G7.5IIIa               |    ~     ~    |    1|  355.492   pc  |  -1.8830     +1.8830  |paral   |2020yCat.1350....0G
53  |BD+72 761                                                                                                |Star                                |16 59 37.2048369528 +72 07 38.775885240|103.7995475138883 +34.1954404642612|  11.159 -5.314   |9.39     |K0                     |    ~     ~    |    1|  524.274   pc  |  -3.4358     +3.4358  |paral   |2020yCat.1350....0G
54  |BD+71 814                                                                                                |High Proper Motion Star             |16 55 56.9310854088 +71 32 40.413353784|103.2384524646437 +34.6508201183904|  -6.644 63.875   |9.32     |K0                     |    ~     ~    |    1|  474.158   pc  |  -3.8895     +3.8895  |paral   |2020yCat.1350....0G
55  |BD+71 815                                                                                                |Star                                |16 56 50.0908322400 +70 54 56.563110108|102.4850128891187 +34.7811145306537|  5.386 -19.628   |9.68     |K0                     |    ~     ~    |    1|  590.772   pc  |  -4.0485     +4.0485  |paral   |2020yCat.1350....0G
56  |BD+71 816                                                                                                |Star                                |16 56 42.6684134856 +71 15 38.866190976|102.8878058250195 +34.6831040432304| -1.484 -12.888   |9.22     |K0                     |    ~     ~    |    1|  525.210   pc  |  -3.5308     +3.5308  |paral   |2020yCat.1350....0G
57  |BD+71 818                                                                                                |Star                                |16 58 48.2199734664 +71 05 51.487299312|102.6359254996196 +34.5728970132545|  8.061 -11.936   |9.56     |F5                     |    ~     ~    |    1|  360.205   pc  |  -1.8684     +1.8684  |paral   |2020yCat.1350....0G
58  |TYC 4423-133-1                                                                                           |Star                                |16 57 11.9317219008 +71 58 06.671059608|103.6881332915410 +34.4225791513081|  -3.627 -2.027   |10.97    |~                      |    ~     ~    |    1|  791.828   pc  | -18.1828    +18.1828  |paral   |2020yCat.1350....0G
59  |TYC 4423-199-1                                                                                           |Spectroscopic Binary                |16 52 52.5536524152 +72 01 05.490387948|103.8784817992545 +34.7217652450845|  -4.903 -0.418   |9.84     |~                      |    ~     ~    |    1|  394.555   pc  |  -3.0045     +3.0045  |paral   |2020yCat.1350....0G
60  |TYC 4423-201-1                                                                                           |Star                                |16 55 35.3646707232 +72 16 11.444286972|104.0822967251394 +34.4417001899710|   15.899 2.235   |10.50    |~                      |    ~     ~    |    1|  239.464   pc  |  -0.6824     +0.6824  |paral   |2020yCat.1350....0G
