C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:27:36

dec< 0&rah >=20.25&rah< 20.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 4937

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------|-----|----------------|-------------------------|--------|-------------------
22  |CD-39 13698                                                                                              |High Proper Motion Star           |20 15 49.6634150544 -39 09 19.574096256|001.9325483551125 -32.4345403239068|-50.228 -61.003   |10.806   |~               |    ~     ~    |    1|  206.202   pc  |  -3.7520     +3.7520    |ST-L    |2020AJ....160...83S
23  |CD-38 13941                                                                                              |Star                              |20 16 06.0729870384 -37 41 00.815804736|003.6555223235759 -32.2121875099288| -0.878 -17.530   |10.68    |~               |    ~     ~    |    1|  362.779   pc  |  -3.2244     +3.2244    |paral   |2020yCat.1350....0G
24  |CD-39 13721                                                                                              |Star                              |20 17 39.8845381800 -38 39 07.680374280|002.5962730635731 -32.6955845470663| -1.166 -14.765   |10.552   |~               |    ~     ~    |    1|  770.806   pc  | -23.6900    +23.6900    |ST-L    |2020AJ....160...83S
25  |CD-38 13959                                                                                              |Star                              |20 17 57.3889082040 -38 30 07.985505708|002.7837634360092 -32.7245374003168|   9.803 -8.649   |10.684   |~               |    ~     ~    |    1| 1906.250   pc  |-228.6000   +228.6000    |ST-L    |2020AJ....160...83S
26  |CD-39 13727                                                                                              |Star                              |20 18 09.5214295344 -39 04 35.322218904|002.1198803055944 -32.8655609472896|   5.165 -0.562   |10.206   |~               |    ~     ~    |    1|  674.854   pc  | -26.3100    +26.3100    |ST-L    |2020AJ....160...83S
27  |V* V4439 Sgr                                                                                             |Long-Period Variable              |20 21 42.5226809592 -36 28 16.577281776|005.3263081892411 -33.0731209985698| -21.921 -7.692   |8.72     |M2/3            |    ~     ~    |    1| 1008.06    pc  | -25.3032    +25.3032    |paral   |2020yCat.1350....0G
28  |CD-37 13671                                                                                              |Spectroscopic Binary              |20 19 59.8016666256 -36 37 18.262407072|005.0701449362767 -32.7654971415200| 22.197 -28.263   |10.37    |~               |    ~     ~    |    1|  299.240   pc  |  -3.8862     +3.8862    |paral   |2020yCat.1350....0G
29  |CD-37 13673                                                                                              |Star                              |20 20 08.9283019656 -36 40 29.291635884|005.0154045668115 -32.8058549307849| -1.284 -17.284   |10.688   |~               |    ~     ~    |    1|  836.921   pc  | -26.3100    +26.3100    |ST-L    |2020AJ....160...83S
30  |CD-36 14068                                                                                              |Star                              |20 21 49.6276811160 -36 27 12.728038788|005.3526170547408 -33.0930084330246| -17.552 14.429   |10.79    |~               |    ~     ~    |    1|   78.550   pc  |  -0.4909     +0.4909    |ST-L    |2020AJ....160...83S
31  |HD 193569                                                                                                |Double or Multiple Star           |20 22 15.84677 -36 31 22.2135          |005.29182156 -33.19263684          |      1.94 8.09   |9.55     |F3/5V           |    ~     ~    |    0|                |                         |        |                   
32  |CD-37 13682                                                                                              |Long-Period Variable Candidate    |20 20 46.4730355704 -36 51 10.375975332|004.8364703404626 -32.9634588421491|   3.829 -1.906   |8.45     |M5III           |    ~     ~    |    1|  562.778   pc  | -17.3245    +17.3245    |paral   |2020yCat.1350....0G
33  |HD 193304                                                                                                |Star                              |20 20 58.8974721792 -37 24 17.549386848|004.1993502723738 -33.1087922007058|  -13.918 2.777   |8.73     |G6III/IV        |    ~     ~    |    1|  569.249   pc  |  -6.3837     +6.3837    |paral   |2020yCat.1350....0G
34  |HD 193464                                                                                                |Double or Multiple Star           |20 21 43.0884588548 -36 36 36.287526081|005.1642381935688 -33.1019810539958| 66.091 -42.664   |7.47     |G0/1V           |0.0033  0.0    |    1|   70.2183  pc  |  -1.5078     +1.5078    |paral   |2018yCat.1345....0G
35  |HD 193465A                                                                                               |Star                              |20 21 47.5659784018 -36 54 05.481861843|004.8260993363066 -33.1726308575981|  4.300 -12.426   |8.70     |F5/7V           |    ~     ~    |    1|  183.729   pc  |  -2.1637     +2.1637    |paral   |2018yCat.1345....0G
36  |HD 193501                                                                                                |Star                              |20 21 57.3908934816 -36 53 10.992199956|004.8512999120188 -33.2018913918431|  12.427 -6.738   |9.59     |K2III           |    ~     ~    |    1|  481.812   pc  |  -3.0643     +3.0643    |paral   |2020yCat.1350....0G
37  |HD 193643                                                                                                |High Proper Motion Star           |20 22 46.4840602632 -37 15 43.667097012|004.4461797141116 -33.4325700483473| 26.923 -44.487   |8.55     |F3V             |    ~     ~    |    1|  204.918   pc  |  -0.8188     +0.8188    |paral   |2020yCat.1350....0G
38  |HD 193751                                                                                                |Star                              |20 23 17.9344044840 -36 41 30.176016072|005.1410785719605 -33.4288058576745|  3.154 -43.919   |8.11     |K2III           |    ~     ~    |    1|  253.408   pc  |  -1.6375     +1.6375    |paral   |2020yCat.1350....0G
39  |HD 193805                                                                                                |Star                              |20 23 39.7239527112 -37 29 19.512425904|004.2173330771435 -33.6471659804214| -3.358 -10.921   |8.71     |K1/2III         |    ~     ~    |    1|  416.510   pc  |  -3.6951     +3.6951    |paral   |2020yCat.1350....0G
40  |HD 193851                                                                                                |Star                              |20 23 50.5309217016 -37 30 00.884629008|004.2114564253227 -33.6843753576718| 15.666 -18.062   |8.29     |K0III           |    ~     ~    |    1|  357.871   pc  |  -2.9713     +2.9713    |paral   |2020yCat.1350....0G
41  |HD 193921                                                                                                |Star                              |20 24 17.4406096752 -37 04 57.226771164|004.7245662090560 -33.6964424424352|   12.890 5.234   |10.76    |ApSi            |    ~     ~    |    1|  641.841   pc  | -26.4000    +26.4000    |ST-L    |2020AJ....160...83S
42  |HD 194047                                                                                                |Star                              |20 24 49.0810140552 -36 59 46.666413816|004.8497039916807 -33.7841211102557|-23.404 -23.253   |7.95     |K0III           |    ~     ~    |    1|  265.351   pc  |  -1.8236     +1.8236    |paral   |2020yCat.1350....0G
43  |HD 193259                                                                                                |Star                              |20 20 49.3799403096 -37 41 50.143281396|003.8493280047656 -33.1320448585110|    6.661 1.088   |9.13     |K0/1III         |    ~     ~    |    1|  615.726   pc  |  -6.1796     +6.1796    |paral   |2020yCat.1350....0G
44  |HD 193283                                                                                                |High Proper Motion Star           |20 20 53.7463500240 -37 42 52.734025188|003.8320728070961 -33.1493859678516|-44.272 -50.439   |8.74     |F3V             |    ~     ~    |    1|  122.695   pc  |  -0.2650     +0.2650    |paral   |2020yCat.1350....0G
45  |HD 193570                                                                                                |Star                              |20 22 19.1154418416 -37 47 58.704560916|003.7930946167102 -33.4413609106098|   4.305 -4.443   |8.84     |G8III           |    ~     ~    |    1|  422.815   pc  |  -3.3788     +3.3788    |paral   |2020yCat.1350....0G
46  |HD 192858                                                                                                |Star                              |20 18 33.2003604984 -38 03 34.452096228|003.3266275536221 -32.7586226706997|   15.186 7.456   |9.41     |K1III           |    ~     ~    |    1|  383.745   pc  |  -2.6065     +2.6065    |paral   |2020yCat.1350....0G
47  |V* V4436 Sgr                                                                                             |Long-Period Variable Candidate    |20 18 36.8445266088 -38 05 31.355079864|003.2912974599899 -32.7763651118139|  1.204 -21.530   |8.95     |M2(III)         |    ~     ~    |    1| 1058.873   pc  | -31.2818    +31.2818    |paral   |2020yCat.1350....0G
48  |HD 192959                                                                                                |Star                              |20 19 07.1126946480 -38 12 19.389028536|003.1803089348893 -32.8946299347315|  10.637 -3.004   |10.36    |A7/9(II)        |    ~     ~    |    1|  359.819   pc  |  -8.1320     +8.1320    |ST-L    |2020AJ....160...83S
49  |HD 193022                                                                                                |Star                              |20 19 29.5255684752 -38 12 35.293239576|003.1910063035563 -32.9675935841298|  0.885 -23.620   |9.28     |M1/2            |    ~     ~    |    1| 1313.198   pc  | -46.9061    +46.9061    |paral   |2020yCat.1350....0G
50  |HD 193131                                                                                                |High Proper Motion Star           |20 20 07.3246713840 -38 25 30.867290904|002.9645689385927 -33.1277722542243| 65.492 -91.028   |10.15    |G5V             |    ~     ~    |    1|  142.714   pc  |  -0.3768     +0.3768    |paral   |2020yCat.1350....0G
51  |HD 193403                                                                                                |Star                              |20 21 27.2047372968 -38 28 42.567814272|002.9565814931088 -33.3937242913223|  14.930 -9.850   |9.47     |G8III           |    ~     ~    |    1|  585.103   pc  |  -6.2992     +6.2992    |paral   |2020yCat.1350....0G
52  |HD 193502                                                                                                |Star                              |20 22 01.9551522216 -38 04 45.729297696|003.4512042184341 -33.4356814545938|   17.374 3.731   |9.74     |G5V             |    ~     ~    |    1|  332.591   pc  |  -4.0264     +4.0264    |paral   |2020yCat.1350....0G
53  |CD-38 14005                                                                                              |Star                              |20 22 50.7675138048 -38 18 56.586574728|003.2054889020690 -33.6343251557508|  7.426 -17.507   |10.03    |K0              |    ~     ~    |    1|  280.970   pc  |  -1.4763     +1.4763    |paral   |2020yCat.1350....0G
54  |CD-38 14016                                                                                              |High Proper Motion Star           |20 24 21.6458586720 -38 02 20.371121268|003.5950049911799 -33.8798999177719| 22.818 -55.166   |10.29    |G5              |    ~     ~    |    1|  105.032   pc  |  -0.9728     +0.9728    |ST-L    |2020AJ....160...83S
55  |CD-38 14027                                                                                              |High Proper Motion Star           |20 25 47.9880510816 -38 30 38.979691164|003.0907044604197 -34.2374501062489|  142.779 6.247   |10.17    |K0              |    ~     ~    |    1|   66.868   pc  |  -0.0733     +0.0733    |paral   |2020yCat.1350....0G
56  |CD-39 13732                                                                                              |Star                              |20 18 26.7347627880 -38 55 49.957209696|002.3025902166869 -32.8948739699215| 17.335 -25.471   |8.80     |K2              |    ~     ~    |    1|  772.618   pc  | -15.1026    +15.1026    |paral   |2020yCat.1350....0G
57  |HD 193000                                                                                                |Star                              |20 19 23.0660536560 -38 43 59.414084220|002.5724599669674 -33.0402102112499|   3.116 -2.412   |9.71     |A8IV            |    ~     ~    |    1|  387.193   pc  | -10.1100    +10.1100    |ST-L    |2020AJ....160...83S
58  |HD 193001                                                                                                |Star                              |20 19 27.5585963208 -39 15 43.292655180|001.9536775750187 -33.1458264639442|    1.637 0.776   |9.62     |K1II/III        |    ~     ~    |    1| 1029.336   pc  | -15.9989    +15.9989    |paral   |2020yCat.1350....0G
59  |HD 193073                                                                                                |Star                              |20 19 46.7186220240 -38 56 08.887757964|002.3502266691048 -33.1510733410455|  2.876 -38.554   |9.27     |G0V             |    ~     ~    |    1|  220.041   pc  |  -1.6026     +1.6026    |paral   |2020yCat.1350....0G
60  |HD 193305                                                                                                |Star                              |20 20 58.7747355336 -39 10 54.407035416|002.1075662131265 -33.4225652051952|    6.495 2.840   |9.10     |A9V             |    ~     ~    |    1|  269.440   pc  |  -1.6407     +1.6407    |paral   |2020yCat.1350....0G
61  |HD 193419                                                                                                |High Proper Motion Star           |20 21 35.0169755616 -39 09 01.538785440|002.1679857425689 -33.5327968016403|21.854 -103.773   |8.19     |G8/K0IIICNIV/V  |    ~     ~    |    1|  377.330   pc  |  -7.3040     +7.3040    |paral   |2020yCat.1350....0G
62  |CD-37 13689                                                                                              |High Proper Motion Star           |20 21 27.1387866984 -37 09 56.048934564|004.5010095225696 -33.1559035079022|-20.574 -56.310   |10.37    |~               |    ~     ~    |    1|  195.737   pc  |  -2.1494     +2.1494    |paral   |2020yCat.1350....0G
63  |CD-39 13764                                                                                              |Star                              |20 22 19.9184007240 -38 48 18.838631340|002.6056335273527 -33.6185768901534| 16.094 -18.639   |10.59    |~               |    ~     ~    |    1|  248.589   pc  |  -1.4584     +1.4584    |paral   |2020yCat.1350....0G
64  |CD-38 14011                                                                                              |Star                              |20 23 34.1952456360 -38 06 42.256645200|003.4764528603586 -33.7391443284476|    7.210 2.513   |9.96     |~               |    ~     ~    |    1|  724.585   pc  |  -8.7154     +8.7154    |paral   |2020yCat.1350....0G
65  |CD-37 13720                                                                                              |Star                              |20 24 59.5601932056 -36 39 17.167279356|005.2612523986609 -33.7554365029176|   -1.413 8.330   |10.509   |~               |    ~     ~    |    1|  642.249   pc  | -33.8600    +33.8600    |ST-L    |2020AJ....160...83S
66  |CD-37 13662                                                                                              |Star                              |20 18 39.9842440728 -36 54 25.018596108|004.6756147372294 -32.5605316975754|   1.131 -2.109   |10.60    |~               |    ~     ~    |    0|                |                         |        |                   
67  |CD-38 13973                                                                                              |Star                              |20 19 33.6587662512 -37 57 40.883159880|003.4850632302569 -32.9356057932338|  7.281 -10.283   |10.08    |~               |    ~     ~    |    1| 1096.251   pc  | -22.1125    +22.1125    |paral   |2020yCat.1350....0G
68  |CD-37 13669                                                                                              |Star                              |20 19 47.4719 -37 05 59.337            |004.5028181 -32.8183643            |    6.094 0.440   |10.00    |~               |    ~     ~    |    0|                |                         |        |                   
69  |CD-37 13677                                                                                              |Star                              |20 20 37.3639468248 -37 09 26.911330092|004.4731808370470 -32.9920762061550|   8.715 -9.130   |10.84    |~               |    ~     ~    |    1| 1012.351   pc  | -15.7827    +15.7827    |paral   |2020yCat.1350....0G
70  |CD-37 13680                                                                                              |Star                              |20 20 44.2450784280 -37 03 10.488692952|004.6007579170151 -32.9945974639999|  -1.001 -6.413   |10.86    |~               |    ~     ~    |    1|  158.421   pc  |  -0.3413     +0.3413    |paral   |2020yCat.1350....0G
71  |TYC 7949-342-1                                                                                           |Star                              |20 21 22.5291699216 -37 30 23.488088148|004.0973736193656 -33.2044676722762|   2.120 -0.219   |10.94    |~               |    ~     ~    |    1| 2284.670   pc  |-108.5701   +108.5701    |paral   |2020yCat.1350....0G
72  |CD-37 13692                                                                                              |Star                              |20 21 42.2436476976 -36 55 12.562285692|004.8002137690948 -33.1587713282657|  -0.003 -5.594   |10.29    |~               |    ~     ~    |    1|  795.748   pc  | -29.5600    +29.5600    |ST-L    |2020AJ....160...83S
73  |CD-38 13998                                                                                              |Star                              |20 21 54.0977717688 -37 45 37.658451636|003.8214951622663 -33.3532663863934|-16.795 -41.958   |10.80    |~               |    ~     ~    |    1|  425.996   pc  | -12.5300    +12.5300    |ST-L    |2020AJ....160...83S
74  |CD-36 14080                                                                                              |Star                              |20 22 41.5190429160 -36 30 01.224662508|005.3380715577911 -33.2726432572119|  7.162 -18.896   |10.418   |~               |    ~     ~    |    1|  561.571   pc  | -19.6200    +19.6200    |ST-L    |2020AJ....160...83S
75  |CD-37 13703                                                                                              |Star                              |20 22 52.1008196808 -37 24 33.778897380|004.2767661784645 -33.4778634226126|  -10.257 4.194   |10.81    |~               |    ~     ~    |    1|  192.708   pc  |  -0.5942     +0.5942    |paral   |2020yCat.1350....0G
76  |CD-37 13704                                                                                              |Star                              |20 23 02.3392157040 -37 35 31.424821872|004.0686528015469 -33.5442547270146|  9.575 -15.985   |10.99    |~               |    ~     ~    |    1|  938.262   pc  | -13.8213    +13.8213    |paral   |2020yCat.1350....0G
77  |CD-36 14090                                                                                              |Star                              |20 23 25.4425605216 -36 27 12.773882088|005.4269253949602 -33.4080530377036|  -0.191 -1.308   |10.818   |~               |    ~     ~    |    1| 1031.620   pc  | -62.4400    +62.4400    |ST-L    |2020AJ....160...83S
78  |CD-37 13707                                                                                              |Star                              |20 23 30.8420625480 -37 01 00.366557088|004.7679424197946 -33.5320121546350|  -5.061 -4.248   |10.855   |~               |    ~     ~    |    1| 1094.830   pc  | -99.8300    +99.8300    |ST-L    |2020AJ....160...83S
79  |CD-37 13710                                                                                              |Star                              |20 23 41.9732889936 -36 48 14.972927760|005.0268166701441 -33.5288149492687|  -0.831 -6.877   |10.279   |~               |    ~     ~    |    1|  756.910   pc  | -28.1500    +28.1500    |ST-L    |2020AJ....160...83S
80  |CD-37 13718                                                                                              |High Proper Motion Star           |20 24 52.2244771992 -37 28 47.268197544|004.2794107899922 -33.8814270713085|-12.945 -76.774   |10.162   |~               |    ~     ~    |    1|   68.446   pc  |  -0.2708     +0.2708    |ST-L    |2020AJ....160...83S
81  |CD-38 14019                                                                                              |Star                              |20 25 07.8903225888 -37 58 52.184764128|003.6950708775404 -34.0195511815358|   7.018 -1.515   |9.979    |~               |    ~     ~    |    1|  717.581   pc  | -27.9000    +27.9000    |ST-L    |2020AJ....160...83S
82  |CD-37 13727                                                                                              |High Proper Motion Star           |20 25 25.5994006152 -37 01 56.048902068|004.8337732513676 -33.9101300074164| 92.809 -41.961   |10.15    |~               |    ~     ~    |    1|  106.312   pc  |  -1.0930     +1.0930    |ST-L    |2020AJ....160...83S
83  |CD-38 14025                                                                                              |Star                              |20 25 33.8353750872 -37 49 14.255580180|003.9035984906814 -34.0760790143282| -16.387 -0.205   |10.619   |~               |    ~     ~    |    1|  835.457   pc  | -30.9200    +30.9200    |ST-L    |2020AJ....160...83S
84  |CD-39 13760                                                                                              |Star                              |20 21 39.8210693760 -39 10 02.330557068|002.1510904271040 -33.5509010357479|    3.724 0.363   |10.41    |~               |    ~     ~    |    1|  765.228   pc  | -13.3511    +13.3511    |paral   |2020yCat.1350....0G
85  |AKARI-IRC-V1 J2025238-373201                                                                             |Long-Period Variable Candidate    |20 25 23.8312263336 -37 32 01.458206664|004.2376190006495 -33.9937735074861|  -1.550 -8.824   |10.821   |~               |    ~     ~    |    1| 1181.2     pc  | -58.0413    +58.0413    |paral   |2020yCat.1350....0G
86  |CD-36 14121                                                                                              |Star                              |20 25 38.3750862984 -36 31 42.295522764|005.4397740999942 -33.8594719379995|  -2.699 -4.890   |10.030   |~               |    ~     ~    |    1| 1415.829   pc  | -87.1989    +87.1989    |paral   |2020yCat.1350....0G
87  |TYC 7454-771-1                                                                                           |Star                              |20 17 41.2062554952 -37 16 45.164581716|004.1973677476608 -32.4419734290300|    6.817 3.903   |10.91    |~               |    ~     ~    |    1|  386.818   pc  |  -8.2440     +8.2440    |ST-L    |2020AJ....160...83S
88  |TYC 7454-878-1                                                                                           |Star                              |20 20 35.7541662072 -36 45 24.863633928|004.9403987026554 -32.9097742536615|   0.483 -7.555   |10.94    |~               |    ~     ~    |    1|  220.327   pc  |  -0.7233     +0.7233    |paral   |2020yCat.1350....0G
89  |TYC 7454-988-1                                                                                           |Star                              |20 17 09.1675578456 -37 22 23.506400676|004.0636514867353 -32.3562123488764| 20.198 -21.977   |10.850   |~               |    ~     ~    |    1|  273.208   pc  |  -4.2490     +4.2490    |ST-L    |2020AJ....160...83S
90  |TYC 7454-1023-1                                                                                          |High Proper Motion Star           |20 20 49.4964015000 -37 23 03.642094464|004.2164799520235 -33.0743830220793| 31.513 -85.594   |10.37    |~               |    ~     ~    |    1|  164.254   pc  |  -1.6840     +1.6840    |ST-L    |2020AJ....160...83S
91  |TYC 7454-1259-1                                                                                          |Star                              |20 17 22.0963838640 -37 23 11.067045972|004.0581936811679 -32.4007736452520|   5.596 -1.948   |10.927   |~               |    ~     ~    |    1|  269.609   pc  |  -4.1820     +4.1820    |ST-L    |2020AJ....160...83S
92  |TYC 7454-1295-1                                                                                          |Star                              |20 20 55.8397005624 -37 16 17.358577248|004.3534731345451 -33.0738432307354| 13.658 -20.200   |10.28    |~               |    ~     ~    |    1|  556.241   pc  | -18.0500    +18.0500    |ST-L    |2020AJ....160...83S
93  |TYC 7454-1350-1                                                                                          |Star                              |20 17 44.0418624672 -37 22 44.356416348|004.0835491660556 -32.4706036405742|  18.333 -2.218   |10.918   |~               |    ~     ~    |    1|  336.417   pc  |  -6.6200     +6.6200    |ST-L    |2020AJ....160...83S
94  |TYC 7948-1189-1                                                                                          |Star                              |20 18 32.5512080880 -37 32 54.674991348|003.9227289405038 -32.6606300863657|   9.886 11.236   |10.27    |~               |    ~     ~    |    1|  268.788   pc  |  -1.2499     +1.2499    |paral   |2020yCat.1350....0G
95  |TYC 7948-1204-1                                                                                          |Star                              |20 17 30.8837269128 -37 46 44.770140732|003.6081410167386 -32.5048256211072|   -6.206 3.072   |10.95    |~               |    ~     ~    |    1|  364.759   pc  | -14.9100    +14.9100    |ST-L    |2020AJ....160...83S
96  |TYC 7948-1237-1                                                                                          |Star                              |20 16 25.5856997184 -37 51 50.509347300|003.4607880429707 -32.3100786456439| -8.269 -16.488   |10.81    |~               |    ~     ~    |    1|  346.081   pc  |  -2.1439     +2.1439    |paral   |2020yCat.1350....0G
97  |TYC 7948-1304-1                                                                                          |Star                              |20 19 06.1381850016 -37 47 56.947756596|003.6549180233866 -32.8166422020566| 25.795 -11.311   |10.798   |~               |    ~     ~    |    1|  203.718   pc  |  -2.2910     +2.2910    |ST-L    |2020AJ....160...83S
98  |TYC 7948-1341-1                                                                                          |Star                              |20 15 18.9810275976 -39 12 37.556436744|001.8474054599869 -32.3469312017390|  13.866 -7.709   |10.788   |~               |    ~     ~    |    1|  846.279   pc  | -42.5900    +42.5900    |ST-L    |2020AJ....160...83S
99  |TYC 7948-1589-1                                                                                          |Star                              |20 17 26.3592938112 -39 13 23.080583748|001.9191443280239 -32.7538546521747|   5.561 -9.182   |10.81    |~               |    ~     ~    |    1|  350.042   pc  |  -1.8257     +1.8257    |paral   |2020yCat.1350....0G
100 |TYC 7948-1752-1                                                                                          |High Proper Motion Star           |20 17 05.3388933600 -38 02 49.031591820|003.2774911251770 -32.4730577402007|-19.009 -70.566   |10.89    |~               |    ~     ~    |    1|  186.766   pc  | -10.9702    +10.9702    |paral   |2020yCat.1350....0G
101 |TYC 7948-1776-1                                                                                          |Star                              |20 19 49.3312420296 -38 24 39.305646612|002.9689309628030 -33.0674210031605|  -1.452 -6.952   |10.71    |~               |    ~     ~    |    1|  799.808   pc  | -10.2351    +10.2351    |paral   |2020yCat.1350....0G
