C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:27:36

dec< 0&rah >=20.25&rah< 20.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 4937

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------|-----|----------------|-------------------------|--------|-------------------
1199|HD 193149                                                                                                |Star                              |20 19 18.3860146776 -18 27 29.956221324|025.1648965319598 -27.3978013468060| -0.794 -13.818   |9.97     |G2/3V           |    ~     ~    |    1| 1385.170   pc  |-383.8000   +383.8000    |ST-L    |2020AJ....160...83S
1200|HD 193454                                                                                                |High Proper Motion Star           |20 20 53.5575669552 -18 09 22.317576804|025.6382143343920 -27.6361355947595| 56.292 -36.676   |7.79     |G0V             |    ~     ~    |    1|   74.212   pc  |  -0.1261     +0.1261    |paral   |2020yCat.1350....0G
1201|HD 193456                                                                                                |Star                              |20 20 57.4566246336 -18 28 42.062984652|025.3064079360971 -27.7692429670352|  22.922 -2.365   |9.26     |F2V             |    ~     ~    |    1|  147.546   pc  |  -1.3520     +1.3520    |ST-L    |2020AJ....160...83S
1202|HD 193455                                                                                                |Star                              |20 21 01.2298351008 -18 19 26.176028448|025.4748450722558 -27.7262928202881|  5.710 -13.363   |7.24     |K3III           |    ~     ~    |    1|  405.471   pc  | -10.1200    +10.1200    |ST-L    |2020AJ....160...83S
1203|HD 193675                                                                                                |Star                              |20 22 04.2865508520 -18 20 13.652335824|025.5648475685632 -27.9630274868210|   7.150 -4.079   |9.95     |G8III           |    ~     ~    |    1|  640.246   pc  |  -6.3537     +6.3537    |paral   |2020yCat.1350....0G
1204|HD 193864                                                                                                |Star                              |20 23 07.8070724400 -18 20 33.019285092|025.6638552310710 -28.1986387881415|-16.200 -34.393   |7.90     |K0III           |    ~     ~    |    1|  234.637   pc  |  -1.1451     +1.1451    |paral   |2020yCat.1350....0G
1205|HD 193956                                                                                                |Star                              |20 23 33.7169315088 -18 12 54.271169172|025.8411277680611 -28.2471068140000|   -0.057 0.986   |8.89     |K0III           |    ~     ~    |    1|  532.8502  pc  | -48.2680    +48.2680    |paral   |2018yCat.1345....0G
1206|HD 194019                                                                                                |Star                              |20 23 54.8624922600 -18 06 51.250365720|025.9825874343312 -28.2877779710012| 15.087 -27.545   |9.61     |K2III           |    ~     ~    |    1|  468.289   pc  | -12.8400    +12.8400    |ST-L    |2020AJ....160...83S
1207|HD 194082                                                                                                |Star                              |20 24 12.5421057480 -18 21 51.347826720|025.7475816788735 -28.4447721540802| -10.437 -3.284   |9.663    |K0III           |    ~     ~    |    1|  533.295   pc  | -15.2000    +15.2000    |ST-L    |2020AJ....160...83S
1208|BD-18 5672                                                                                               |Star                              |20 24 58.7669595792 -17 50 50.345155572|026.3707918172750 -28.4244547839650|   -5.475 1.860   |9.358    |K0              |    ~     ~    |    1| 1170.330   pc  | -92.7300    +92.7300    |ST-L    |2020AJ....160...83S
1209|HD 193333                                                                                                |Eclipsing Binary                  |20 20 19.0204129728 -18 35 04.243765812|025.1318840660479 -27.6669760948689|  9.207 -12.739   |10.71    |F5              |    ~     ~    |    1|  494.096   pc  | -19.7500    +19.7500    |ST-L    |2020AJ....160...83S
1210|HD 193400                                                                                                |Star                              |20 20 39.4255232544 -18 37 41.837501388|025.1192487005063 -27.7579922613049|   8.535 -3.695   |9.45     |K2III           |    ~     ~    |    1|  631.062   pc  | -27.9700    +27.9700    |ST-L    |2020AJ....160...83S
1211|HD 193544                                                                                                |Star                              |20 21 17.1469575456 -18 33 16.827512544|025.2584134733180 -27.8696206942518|   5.873 -2.061   |9.09     |K1III           |    ~     ~    |    1|  415.524   pc  |  -3.3841     +3.3841    |paral   |2020yCat.1350....0G
1212|BD-17 5940                                                                                               |Star                              |20 20 09.6606950544 -17 14 09.889732068|026.5260138292566 -27.1306247681638|  -0.971 -3.066   |10.278   |~               |    ~     ~    |    1|  699.039   pc  | -22.7100    +22.7100    |ST-L    |2020AJ....160...83S
1213|BD-17 5941                                                                                               |Star                              |20 20 19.9476629184 -16 58 56.290067940|026.8073075436663 -27.0725104553241| -5.742 -10.877   |9.946    |~               |    ~     ~    |    1| 2103.640   pc  |-233.9000   +233.9000    |ST-L    |2020AJ....160...83S
1214|BD-18 5654                                                                                               |Star                              |20 21 32.1278239248 -17 36 57.208073688|026.2683906197343 -27.5771442708137|   19.670 0.968   |10.877   |~               |    ~     ~    |    1|  235.368   pc  |  -4.0490     +4.0490    |ST-L    |2020AJ....160...83S
1215|BD-17 5953                                                                                               |High Proper Motion Star           |20 22 03.6262020816 -17 20 51.630499176|026.6018833552802 -27.5926629008596| 135.724 77.791   |10.40    |~               |    ~     ~    |    1|  178.766   pc  |  -9.7981     +9.7981    |paral   |2020yCat.1350....0G
1216|BD-18 5659                                                                                               |Star                              |20 22 55.5488229384 -17 35 52.208439576|026.4271614305263 -27.8777061897825|    1.811 2.858   |10.244   |~               |    ~     ~    |    1| 1014.740   pc  | -59.9500    +59.9500    |ST-L    |2020AJ....160...83S
1217|BD-17 5962                                                                                               |High Proper Motion Star           |20 24 05.8114752024 -17 18 13.796604000|026.8541423885786 -28.0266442651068|  55.630 46.936   |10.36    |~               |    ~     ~    |    1|   66.963   pc  |  -0.3095     +0.3095    |ST-L    |2020AJ....160...83S
1218|BD-17 5963                                                                                               |Star                              |20 24 07.9383084912 -16 58 42.719885220|027.1989691941849 -27.9120133407864|-13.106 -27.401   |9.73     |~               |    ~     ~    |    1|  233.727   pc  |  -2.5238     +2.5238    |paral   |2020yCat.1350....0G
1219|BD-17 5968                                                                                               |Star                              |20 24 45.9595812648 -17 01 14.013842628|027.2196631098000 -28.0681688454958|  11.075 -5.445   |10.000   |~               |    ~     ~    |    1| 1808.400   pc  |-194.7000   +194.7000    |ST-L    |2020AJ....160...83S
1220|BD-18 5642                                                                                               |Star                              |20 17 58.8465167664 -17 37 55.254506304|025.8948145667141 -26.7979259580034|    7.361 3.567   |10.524   |~               |    ~     ~    |    1| 1114.510   pc  | -67.4600    +67.4600    |ST-L    |2020AJ....160...83S
1221|BD-17 5931                                                                                               |Star                              |20 18 34.9354879344 -16 41 37.877735364|026.9274701975487 -26.5754296032016|   9.962 -1.923   |10.695   |~               |    ~     ~    |    1|  736.288   pc  | -31.1000    +31.1000    |ST-L    |2020AJ....160...83S
1222|BD-18 5650                                                                                               |Star                              |20 19 56.8488929376 -17 40 26.604013152|026.0482129405571 -27.2480464839915|  6.756 -12.848   |10.903   |~               |    ~     ~    |    1|  791.645   pc  | -41.6600    +41.6600    |ST-L    |2020AJ....160...83S
1223|BD-17 5938                                                                                               |Star                              |20 20 02.3399372184 -16 53 57.856010892|026.8634799401012 -26.9761065151755|   3.920 -0.214   |10.777   |~               |    ~     ~    |    1| 1245.410   pc  |-110.7000   +110.7000    |ST-L    |2020AJ....160...83S
1224|TYC 6332-215-1                                                                                           |Star                              |20 20 14.2415661384 -17 03 38.456002368|026.7161711384257 -27.0811844751254|   5.542 -1.945   |10.580   |~               |    ~     ~    |    1|  534.809   pc  | -15.8700    +15.8700    |ST-L    |2020AJ....160...83S
1225|TYC 6332-609-1                                                                                           |Star                              |20 20 16.8120141360 -17 40 51.667456620|026.0743084294047 -27.3241483011313| -3.342 -10.615   |10.727   |~               |    ~     ~    |    1|  865.349   pc  | -44.9100    +44.9100    |ST-L    |2020AJ....160...83S
1226|BD-17 5942                                                                                               |Star                              |20 20 27.4253006448 -17 18 30.049856604|026.4807420373035 -27.2233412318686|  16.409 -9.738   |10.606   |~               |    ~     ~    |    1|  231.596   pc  |  -3.1200     +3.1200    |ST-L    |2020AJ....160...83S
1227|BD-18 5655                                                                                               |Star                              |20 21 51.3101503464 -18 08 09.377350764|025.7550254305944 -27.8411005333312|   6.487 -1.410   |10.82    |~               |    ~     ~    |    1| 1221.299   pc  | -25.3567    +25.3567    |paral   |2020yCat.1350....0G
1228|BD-19 5794                                                                                               |Star                              |20 21 52.9080124992 -18 34 51.872341584|025.2891769410987 -28.0107216723222|  -5.991 -4.059   |10.42    |~               |    ~     ~    |    1|  849.329   pc  | -11.9024    +11.9024    |paral   |2020yCat.1350....0G
1229|BD-16 5585                                                                                               |Star                              |20 23 07.8219651312 -16 21 51.751227888|027.7373091082052 -27.4564732973432|-16.613 -12.264   |10.047   |~               |    ~     ~    |    1|  983.400   pc  | -58.5300    +58.5300    |ST-L    |2020AJ....160...83S
1230|BD-17 5960                                                                                               |Star                              |20 23 22.0531366200 -16 50 30.806896092|027.2636844689678 -27.6909828998552|  1.525 -13.739   |10.637   |~               |    ~     ~    |    1|  395.560   pc  | -49.1100    +49.1100    |ST-L    |2020AJ....160...83S
1231|BD-18 5667                                                                                               |Star                              |20 24 05.9114690112 -18 09 22.705293348|025.9564789140217 -28.3439541896990|  -3.602 -9.176   |10.86    |~               |    ~     ~    |    1|  552.268   pc  | -18.9800    +18.9800    |ST-L    |2020AJ....160...83S
1232|TYC 6333-438-1                                                                                           |Star                              |20 24 06.0189450216 -17 02 09.172235184|027.1356033042025 -27.9265844383647| 12.397 -14.388   |10.49    |~               |    ~     ~    |    1|  207.687   pc  |  -2.7990     +2.7990    |ST-L    |2020AJ....160...83S
1233|TYC 6329-1760-1                                                                                          |High Proper Motion Star           |20 24 29.4473912232 -16 37 21.012765708|027.6084954451620 -27.8564241267223| 66.302 -16.219   |10.921   |~               |    ~     ~    |    1|  122.252   pc  |  -0.9043     +0.9043    |ST-L    |2020AJ....160...83S
1234|BD-18 5669                                                                                               |Star                              |20 24 35.6391328704 -17 41 11.223500208|026.5018215629183 -28.2795306013869| -15.458 -7.134   |10.818   |~               |    ~     ~    |    1|  269.186   pc  |  -3.9980     +3.9980    |ST-L    |2020AJ....160...83S
1235|TYC 6329-1661-1                                                                                          |Star                              |20 24 58.4105814936 -16 18 46.079278956|027.9822147684993 -27.8452151825117|   0.889 -1.577   |10.663   |~               |    ~     ~    |    1|  760.293   pc  | -37.8500    +37.8500    |ST-L    |2020AJ....160...83S
1236|BD-18 5673                                                                                               |Spectroscopic Binary              |20 24 59.4266703360 -17 53 10.405797360|026.3307955692309 -28.4412907793870| 10.801 -15.756   |10.218   |~               |    ~     ~    |    1|  220.981   pc  |  -5.7800     +5.7800    |ST-L    |2020AJ....160...83S
1237|BD-18 5674                                                                                               |Star                              |20 25 08.8529588520 -18 18 33.048645984|025.8988521757731 -28.6317913825015| 21.522 -24.592   |10.89    |~               |    ~     ~    |    1|  313.853   pc  |  -1.8617     +1.8617    |paral   |2020yCat.1350....0G
1238|BD-17 5970                                                                                               |Star                              |20 25 17.4223793880 -16 42 30.484408716|027.6008503079146 -28.0662245548587|  2.374 -22.535   |10.65    |~               |    ~     ~    |    1|  253.775   pc  |  -1.5263     +1.5263    |paral   |2020yCat.1350....0G
1239|BD-17 5971                                                                                               |Star                              |20 25 19.9536960384 -16 49 46.987599360|027.4779968308000 -28.1215224275027| 14.380 -13.648   |10.99    |~               |    ~     ~    |    1|  326.744   pc  |  -3.4057     +3.4057    |paral   |2020yCat.1350....0G
1240|TYC 6333-291-1                                                                                           |Star                              |20 25 38.1423279672 -17 42 16.332369156|026.5875452095249 -28.5165922466630|   0.588 -9.965   |10.64    |~               |    ~     ~    |    1|  228.128   pc  |  -1.2750     +1.2750    |paral   |2020yCat.1350....0G
1241|BD-19 5773                                                                                               |Star                              |20 18 47.1839982696 -18 48 09.915533784|024.7530753785080 -27.4097046395791|  4.791 -10.465   |10.41    |~               |    ~     ~    |    1| 1612.903   pc  | -61.9147    +61.9147    |paral   |2020yCat.1350....0G
1242|BD-17 5944                                                                                               |Star                              |20 20 42.0175588512 -16 35 51.109327824|027.2443980518201 -27.0074198240565|-10.969 -10.272   |10.305   |~               |    ~     ~    |    1|  767.595   pc  | -38.4900    +38.4900    |ST-L    |2020AJ....160...83S
1243|TYC 6328-4-1                                                                                             |Star                              |20 22 28.5843107088 -16 33 36.959208732|027.4658544873839 -27.3864970458127| -1.173 -11.084   |10.74    |~               |    ~     ~    |    1| 1553.036   pc  | -40.2791    +40.2791    |paral   |2020yCat.1350....0G
1244|TYC 6328-232-1                                                                                           |Star                              |20 22 43.7685875520 -16 47 48.273768276|027.2454323275221 -27.5325766227480|  6.315 -10.899   |10.85    |~               |    ~     ~    |    1|  487.757   pc  |  -4.5202     +4.5202    |paral   |2020yCat.1350....0G
1245|TYC 6328-748-1                                                                                           |Star                              |20 21 37.2388367256 -16 18 14.459735268|027.6437485471826 -27.0988226934567|  -4.476 -5.224   |10.957   |~               |    ~     ~    |    1|  538.428   pc  | -21.8900    +21.8900    |ST-L    |2020AJ....160...83S
1246|TYC 6332-393-1                                                                                           |Star                              |20 19 15.7876342872 -17 20 15.545977692|026.3295956885408 -26.9704566782151|   14.954 0.196   |10.86    |~               |    ~     ~    |    1|  163.025   pc  |  -1.8840     +1.8840    |ST-L    |2020AJ....160...83S
1247|TYC 6332-761-1                                                                                           |Star                              |20 18 26.6003105088 -17 24 41.053925664|026.1703142451966 -26.8171018009288|    3.808 1.378   |10.973   |~               |    ~     ~    |    1|  419.395   pc  | -12.3400    +12.3400    |ST-L    |2020AJ....160...83S
1248|TYC 6332-1025-1                                                                                          |Star                              |20 22 38.5386574440 -17 28 05.285272548|026.5345959474601 -27.7665220765291| -10.960 -3.052   |10.71    |~               |    ~     ~    |    1|  238.846   pc  |  -0.9470     +0.9470    |paral   |2020yCat.1350....0G
1249|TYC 6332-1477-1                                                                                          |Star                              |20 23 58.8540836064 -18 00 58.275988380|026.0926857527177 -28.2662775527858| -5.636 -20.368   |10.791   |~               |    ~     ~    |    1|  343.326   pc  |  -7.1060     +7.1060    |ST-L    |2020AJ....160...83S
1250|TYC 6332-1853-1                                                                                          |Star                              |20 23 19.5962049720 -18 05 30.428399580|025.9477764194069 -28.1496815913865|   -7.204 5.509   |10.61    |~               |    ~     ~    |    1|  600.903   pc  | -21.4200    +21.4200    |ST-L    |2020AJ....160...83S
1251|TYC 6333-400-1                                                                                           |Star                              |20 25 38.9703417096 -17 55 36.951229812|026.3537350427492 -28.6020141990384|  -9.552 -3.954   |10.40    |~               |    ~     ~    |    1| 1227.747   pc  | -25.1730    +25.1730    |paral   |2020yCat.1350....0G
1252|TYC 6333-604-1                                                                                           |Star                              |20 24 48.2982138984 -17 16 12.662300820|026.9613936666094 -28.1707022694362| -4.285 -38.676   |10.984   |~               |    ~     ~    |    1|  235.316   pc  |  -3.1720     +3.1720    |ST-L    |2020AJ....160...83S
1253|TYC 6333-993-1                                                                                           |Spectroscopic Binary              |20 24 28.9936175040 -16 53 26.468426904|027.3269362735442 -27.9564983969967|   7.373 -8.460   |10.797   |~               |    ~     ~    |    1|  682.128   pc  | -61.6000    +61.6000    |ST-L    |2020AJ....160...83S
1254|TYC 6333-2002-1                                                                                          |Star                              |20 24 00.5156542728 -18 20 24.268209792|025.7533356899117 -28.3916535145170| -6.403 -14.322   |10.253   |~               |    ~     ~    |    1| 1177.250   pc  | -83.2500    +83.2500    |ST-L    |2020AJ....160...83S
1255|CGCS 4844                                                                                                |Carbon Star                       |20 25 46.4477941200 -16 31 48.373832064|027.8377757454826 -28.1056177374633|   8.742 -5.795   |10.97    |C               |    ~     ~    |    0|                |                         |        |                   
1256|HD 194919                                                                                                |High Proper Motion Star           |20 28 44.3978467632 -16 30 23.184178164|028.1700711467201 -28.7540675129451|16.203 -114.499   |9.79     |G8V             |    ~     ~    |    1|   81.055   pc  |  -0.8055     +0.8055    |paral   |2020yCat.1350....0G
1257|HD 194980                                                                                                |Star                              |20 29 03.5500706352 -15 57 44.686515096|028.7765365313725 -28.6170328198846|  -1.770 -4.928   |9.80     |F7/8V           |    ~     ~    |    1|  186.773   pc  |  -2.3150     +2.3150    |ST-L    |2020AJ....160...83S
1258|HD 194515                                                                                                |Spectroscopic Binary              |20 26 31.6620685992 -17 22 39.760344804|027.0230186450229 -28.5922031369593| -5.053 -20.804   |7.34     |G0V             |    ~     ~    |    1|   94.946   pc  |  -1.5614     +1.5614    |paral   |2020yCat.1350....0G
1259|HD 194562                                                                                                |Star                              |20 26 52.4914792656 -16 40 57.796694976|027.7912394540354 -28.4075312411907|  -12.277 7.456   |10.226   |F2V             |    ~     ~    |    1|  237.246   pc  |  -3.7310     +3.7310    |ST-L    |2020AJ....160...83S
1260|HD 194620                                                                                                |Star                              |20 27 07.4707046568 -17 05 59.361868212|027.3773002918357 -28.6202325035159|  -2.031 -8.909   |8.68     |K3III           |    ~     ~    |    1|  735.510   pc  | -28.5635    +28.5635    |paral   |2020yCat.1350....0G
1261|HD 194635                                                                                                |Star                              |20 27 13.2358644168 -16 58 59.671878888|027.5101840352429 -28.5976712923173|  4.639 -21.785   |10.030   |F5/6V           |    ~     ~    |    1|  179.061   pc  |  -0.7054     +0.7054    |paral   |2020yCat.1350....0G
1262|HD 194674                                                                                                |Star                              |20 27 25.3530593520 -17 04 05.343552840|027.4412351905092 -28.6743390985913| 17.499 -34.964   |9.43     |F0V             |    ~     ~    |    1|  241.235   pc  |  -4.2570     +4.2570    |ST-L    |2020AJ....160...83S
1263|HD 194828                                                                                                |High Proper Motion Star           |20 28 23.8699544808 -17 20 01.453287516|027.2596846084929 -28.9897595887803|-18.790 -48.608   |8.29     |K1III           |    ~     ~    |    1|  299.025   pc  |  -2.3427     +2.3427    |paral   |2020yCat.1350....0G
1264|HD 194920                                                                                                |High Proper Motion Star           |20 28 45.8284342512 -17 29 20.667395004|027.1319597416082 -29.1286345176686| 45.595 -52.226   |9.82     |G0V             |    ~     ~    |    1|  127.802   pc  |  -0.3185     +0.3185    |paral   |2020yCat.1350....0G
1265|HD 194582                                                                                                |High Proper Motion Star           |20 27 01.3588993224 -17 47 28.567806072|026.6352366466456 -28.8554523325954|17.154 -108.958   |9.09     |K1V             |    ~     ~    |    1|   46.255   pc  |  -0.1543     +0.1543    |paral   |2020yCat.1350....0G
1266|UCAC2 25218332                                                                                           |Star                              |20 29 04.4729417496 -17 52 36.820814772|026.7504585533766 -29.3408974992269|   0.934 -4.362   |10.60    |~               |    ~     ~    |    1|  775.632   pc  | -26.0400    +26.0400    |ST-L    |2020AJ....160...83S
1267|* rho Cap B                                                                                              |Star                              |20 28 51.5900834616 -17 48 50.520572676|026.7958689638906 -29.2702274917038|-12.980 -32.490   |6.88     |~               |    ~     ~    |    1|   30.463   pc  |  -0.1627     +0.1627    |paral   |2020yCat.1350....0G
1268|HD 194488                                                                                                |Star                              |20 26 23.5721444424 -18 22 02.243305416|025.9605605801715 -28.9280734587679|  3.028 -10.136   |8.51     |K0IIICNII       |    ~     ~    |    1|  333.901   pc  |  -2.5977     +2.5977    |paral   |2020yCat.1350....0G
1269|* pi. Cap                                                                                                |Spectroscopic Binary              |20 27 19.2018649104 -18 12 42.098429628|026.2181978621757 -29.0759655707105| 16.560 -17.375   |5.14     |B3/5V           |    ~     ~    |    1|  198.843   pc  |  -6.0494     +6.0494    |paral   |2020yCat.1350....0G
1270|HD 194829                                                                                                |Pulsating Variable                |20 28 24.7080724056 -17 58 55.254711576|026.5718742928518 -29.2330067666638| 14.049 -12.881   |9.39     |A7III           |    ~     ~    |    1|  407.554   pc  |  -8.7220     +8.7220    |ST-L    |2020AJ....160...83S
1271|HD 194960                                                                                                |High Proper Motion Star           |20 29 00.6933931752 -17 52 31.459852200|026.7457141435727 -29.3264149040420|37.762 -118.149   |6.559    |K0III           |    ~     ~    |    1|  132.428   pc  |  -0.4788     +0.4788    |paral   |2020yCat.1350....0G
1272|BD-17 5973                                                                                               |Star                              |20 26 16.8073969632 -16 59 27.758208624|027.4055863422221 -28.3923115869046| -6.020 -13.797   |10.701   |~               |    ~     ~    |    1|  378.562   pc  | -10.1100    +10.1100    |ST-L    |2020AJ....160...83S
1273|BD-16 5602                                                                                               |Star                              |20 26 28.0855354920 -16 30 14.416243884|027.9369904237981 -28.2494881672656|   1.914 -8.832   |10.716   |~               |    ~     ~    |    1|  432.917   pc  | -11.1500    +11.1500    |ST-L    |2020AJ....160...83S
1274|BD-18 5682                                                                                               |Star                              |20 26 29.6545627968 -17 49 44.205409272|026.5421957182597 -28.7525408851189|    7.820 4.519   |10.427   |~               |    ~     ~    |    1|  896.209   pc  | -46.5100    +46.5100    |ST-L    |2020AJ....160...83S
1275|BD-18 5683                                                                                               |Star                              |20 26 55.6173126120 -18 13 39.023478372|026.1622599286940 -28.9949047411514|   4.651 -0.205   |10.810   |~               |    ~     ~    |    1| 1539.030   pc  |-143.9000   +143.9000    |ST-L    |2020AJ....160...83S
1276|BD-17 5981                                                                                               |Star                              |20 27 24.0355828488 -16 41 21.409801260|027.8386095135353 -28.5265252962831|   2.889 -1.817   |10.86    |~               |    ~     ~    |    1|  780.538   pc  | -37.1100    +37.1100    |ST-L    |2020AJ....160...83S
1277|BD-17 5983                                                                                               |Star                              |20 27 41.0365034928 -16 48 07.943207292|027.7487987615660 -28.6320405595990|  5.415 -14.612   |10.02    |~               |    ~     ~    |    1|  873.362   pc  | -14.2636    +14.2636    |paral   |2020yCat.1350....0G
1278|BD-17 5985                                                                                               |Star                              |20 27 59.9201775672 -16 50 07.013929956|027.7463093246438 -28.7142704199586|-23.857 -23.872   |10.428   |~               |    ~     ~    |    1|  153.685   pc  | -13.5400    +13.5400    |ST-L    |2020AJ....160...83S
1279|PPM 721890                                                                                               |Star                              |20 28 26.5835356104 -16 40 20.038530864|027.9643169019486 -28.7511209146696|   -8.925 0.789   |10.0     |~               |    ~     ~    |    1| 1364.815   pc  | -34.8329    +34.8329    |paral   |2020yCat.1350....0G
1280|BD-16 5607                                                                                               |Star                              |20 28 40.1743767168 -15 59 48.318963396|028.6994703772760 -28.5437730428318|   7.246 -7.934   |10.19    |~               |    ~     ~    |    1|  838.926   pc  | -75.4471    +75.4471    |paral   |2020yCat.1350....0G
1281|HD 195060                                                                                                |Star                              |20 29 35.0169213120 -17 24 19.080634896|027.3043531733418 -29.2789773789230|  -1.422 -3.418   |9.39     |A4mA7-F2        |    ~     ~    |    1|  303.877   pc  |  -6.1520     +6.1520    |ST-L    |2020AJ....160...83S
1282|BD-16 5611                                                                                               |Star                              |20 29 20.8414939968 -16 04 48.632432520|028.6828720523905 -28.7261658328880| -4.657 -14.954   |10.681   |~               |    ~     ~    |    1|  778.534   pc  | -28.5700    +28.5700    |ST-L    |2020AJ....160...83S
1283|BD-16 5612                                                                                               |Star                              |20 29 23.8340146992 -16 05 44.751992568|028.6716844969433 -28.7432042923464|  -6.958 -5.430   |10.847   |~               |    ~     ~    |    1| 1191.190   pc  | -91.1200    +91.1200    |ST-L    |2020AJ....160...83S
1284|TYC 6329-1029-1                                                                                          |Star                              |20 29 26.6355703344 -15 58 06.593310768|028.8106177329771 -28.7047546868709| -0.718 -10.737   |10.880   |~               |    ~     ~    |    1|  724.299   pc  | -31.9900    +31.9900    |ST-L    |2020AJ....160...83S
1285|BD-17 5995                                                                                               |Star                              |20 29 43.1637422952 -17 19 00.182067024|027.4124360876978 -29.2760541716616|    2.180 3.425   |10.151   |~               |    ~     ~    |    1| 1350.010   pc  |-116.6000   +116.6000    |ST-L    |2020AJ....160...83S
1286|BD-17 5997                                                                                               |Star                              |20 29 49.8955015416 -17 06 33.972431004|027.6442755255428 -29.2234607073875|    4.010 2.811   |10.121   |~               |    ~     ~    |    1|  690.833   pc  | -23.6900    +23.6900    |ST-L    |2020AJ....160...83S
1287|BD-16 5603                                                                                               |Star                              |20 26 33.0332584680 -16 27 42.785116200|027.9897489164060 -28.2517260761441|  4.416 -20.007   |10.91    |~               |    ~     ~    |    1|  271.145   pc  | -28.2000    +28.2000    |ST-L    |2020AJ....160...83S
1288|TYC 6329-832-1                                                                                           |Star                              |20 28 48.8388937560 -15 55 25.150785240|028.7914838821969 -28.5477231452540| 23.155 -11.652   |10.64    |~               |    ~     ~    |    1|  275.718   pc  |  -1.5128     +1.5128    |paral   |2020yCat.1350....0G
1289|TYC 6329-1374-1                                                                                          |Star                              |20 29 41.9765427360 -16 02 23.387970300|028.7623775702998 -28.7888656983417|  -1.661 -2.771   |10.94    |~               |    ~     ~    |    1|  906.824   pc  | -55.2000    +55.2000    |ST-L    |2020AJ....160...83S
1290|TYC 6329-1446-1                                                                                          |High Proper Motion Star           |20 27 53.3178231624 -16 44 21.094411308|027.8363757475572 -28.6535779970230|  113.311 7.365   |10.46    |~               |    ~     ~    |    1|  116.098   pc  |  -1.3340     +1.3340    |ST-L    |2020AJ....160...83S
1291|TYC 6333-917-1                                                                                           |Star                              |20 28 13.0967402400 -17 13 00.103731816|027.3654428494197 -28.9062642341934|  -0.779 -4.852   |10.929   |~               |    ~     ~    |    1| 1126.240   pc  | -94.6200    +94.6200    |ST-L    |2020AJ....160...83S
1292|TYC 6333-1078-1                                                                                          |High Proper Motion Star           |20 28 51.7462918248 -16 58 41.203623288|027.6841153394570 -28.9594633162471| 28.327 -52.828   |10.80    |~               |    ~     ~    |    1|  157.662   pc  |  -0.4474     +0.4474    |paral   |2020yCat.1350....0G
1293|TYC 6333-1398-1                                                                                          |Star                              |20 29 54.8395294776 -18 03 18.386204724|026.6443134240270 -29.5920360279056|   0.939 10.357   |10.99    |~               |    ~     ~    |    1|  507.820   pc  |  -7.9685     +7.9685    |paral   |2020yCat.1350....0G
1294|HD 192451                                                                                                |Star                              |20 15 25.4800173888 -14 16 02.699942160|029.0756497684684 -24.9252465236640|  7.899 -15.072   |9.47     |G8III/IV        |    ~     ~    |    1|  515.943   pc  |  -4.0196     +4.0196    |paral   |2020yCat.1350....0G
1295|HD 192484                                                                                                |Star                              |20 15 34.5070577520 -14 22 06.037157928|028.9897222395178 -24.9990430282816|   0.513 -3.005   |9.70     |M2/3(III)       |    ~     ~    |    1| 1034.554   pc  | -34.9989    +34.9989    |paral   |2020yCat.1350....0G
1296|HD 192507                                                                                                |Star                              |20 15 41.6658924312 -14 18 23.084659368|029.0651059678284 -25.0007489583534|  5.443 -12.505   |9.63     |K1III           |    ~     ~    |    1|  561.354   pc  | -29.9300    +29.9300    |ST-L    |2020AJ....160...83S
1297|HD 192566                                                                                                |Star                              |20 16 00.8812702752 -14 32 10.523954256|028.8666602794658 -25.1636518113306|  -6.832 -8.114   |9.86     |K1/2III         |    ~     ~    |    1|  781.067   pc  |  -9.7610     +9.7610    |paral   |2020yCat.1350....0G
1298|HD 192565                                                                                                |Star                              |20 16 03.7193069880 -14 17 12.950489976|029.1241535990440 -25.0745468911138|  6.537 -15.203   |9.15     |K2/3(III)       |    ~     ~    |    1|  838.997   pc  | -16.8940    +16.8940    |paral   |2020yCat.1350....0G
1299|HD 192592                                                                                                |Star                              |20 16 04.1816449224 -14 10 59.059840800|029.2300194611655 -25.0346416480590| 15.447 -36.736   |9.70     |K0/1IV          |    ~     ~    |    1|  167.988   pc  |  -0.5164     +0.5164    |paral   |2020yCat.1350....0G
1300|HD 192721                                                                                                |Star                              |20 16 50.8399891104 -14 11 50.197584660|029.2991041416479 -25.2130045558883|  20.914 -2.707   |9.18     |A1mA8-F2        |    ~     ~    |    1|  275.686   pc  |  -4.7050     +4.7050    |ST-L    |2020AJ....160...83S
1301|HD 192428                                                                                                |High Proper Motion Star           |20 15 22.0793483496 -14 47 19.191131052|028.5421118038954 -25.1205791427559|-108.821 -218.692 |8.23     |F8/G0V          |    ~     ~    |    1|   61.323   pc  |  -0.2607     +0.2607    |ST-L    |2020AJ....160...83S
