C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:44:19

dec< 0&rah >=17.0&rah< 17.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6815

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
1360|HD 154295                                                                                                |Star                                  |17 06 03.0940174992 -32 43 55.554361968|352.0983441207080 +04.9163802051116|  -3.834 -7.050    |10.27    |A1III          |    ~     ~    |    1|  366.555   pc  |  -2.6469     +2.6469  |paral   |2020yCat.1350....0G
1361|TYC 7365-629-1                                                                                           |Star                                  |17 06 51.0025113096 -32 54 31.096000296|352.0572071911172 +04.6763235436846| -2.610 -11.776    |10.18    |~              |    ~     ~    |    1| 1103.144   pc  | -36.0210    +36.0210  |paral   |2020yCat.1350....0G
1362|CD-30 13745                                                                                              |Star                                  |17 03 45.8064818400 -30 40 17.298129900|353.4605490293932 +06.5430352945774|  2.909 -27.105    |9.74     |~              |    ~     ~    |    1|  427.807   pc  |  -6.4789     +6.4789  |paral   |2020yCat.1350....0G
1363|CD-31 13513                                                                                              |Star                                  |17 03 46.7888112624 -31 17 42.198137988|352.9616778609099 +06.1648222152848|   0.027 -3.842    |10.66    |~              |    ~     ~    |    1|  830.289   pc  | -12.4088    +12.4088  |paral   |2020yCat.1350....0G
1364|CD-31 13520                                                                                              |Star                                  |17 04 05.8051796880 -31 52 50.819188080|352.5324973376472 +05.7580979199049|  -0.167 -5.905    |10.32    |~              |    ~     ~    |    1|  982.222   pc  | -60.7799    +60.7799  |paral   |2020yCat.1350....0G
1365|CD-31 13534                                                                                              |Star                                  |17 05 03.0263431272 -31 53 52.444056156|352.6411150083860 +05.5860775107176|  -2.536 -5.507    |10.14    |~              |    ~     ~    |    1|  865.127   pc  | -13.1726    +13.1726  |paral   |2020yCat.1350....0G
1366|CD-31 13542                                                                                              |Star                                  |17 05 24.3765730848 -32 07 14.423990628|352.5076149356991 +05.3920193594526|  -4.097 -8.550    |9.99     |~              |    ~     ~    |    1|  640.328   pc  |  -7.7904     +7.7904  |paral   |2020yCat.1350....0G
1367|CD-32 12326                                                                                              |Star                                  |17 05 40.3324313856 -32 53 23.891344764|351.9235752395136 +04.8854653816522|  10.510 -0.073    |10.35    |~              |    ~     ~    |    1|  620.117   pc  |  -6.2681     +6.2681  |paral   |2020yCat.1350....0G
1368|CD-31 13559                                                                                              |Star                                  |17 06 08.5949888760 -31 44 25.142313696|352.9076385642695 +05.4946926881126|   -0.463 0.572    |9.79     |~              |    ~     ~    |    1|  987.557   pc  | -21.2609    +21.2609  |paral   |2020yCat.1350....0G
1369|CD-32 12339                                                                                              |Star                                  |17 06 21.9646822056 -32 17 17.971055016|352.4949851618217 +05.1290138579490|-10.090 -30.068    |10.36    |~              |    ~     ~    |    1|  319.438   pc  |  -1.7449     +1.7449  |paral   |2020yCat.1350....0G
1370|HD 154522                                                                                                |Star                                  |17 07 16.0885251384 -31 07 47.504130060|353.5436993981325 +05.6663966753972|  -1.289 -1.699    |8.99     |G6/8IV         |    ~     ~    |    1|  871.612   pc  | -17.0174    +17.0174  |paral   |2020yCat.1350....0G
1371|HD 154587                                                                                                |Double or Multiple Star               |17 07 33.8865416184 -30 35 37.858997724|354.0149176015102 +05.9339472563250|-21.922 -30.426    |8.92     |F3V            |0.0033  0.0    |    1|  243.956   pc  |  -1.3153     +1.3153  |paral   |2020yCat.1350....0G
1372|HD 154604                                                                                                |High Proper Motion Star               |17 07 44.2161780672 -31 04 39.694154880|353.6458155462618 +05.6167510373077| 27.560 -43.061    |7.12     |K0/1III        |    ~     ~    |    1|  144.883   pc  |  -0.8732     +0.8732  |paral   |2020yCat.1350....0G
1373|HD 154784                                                                                                |Star                                  |17 08 50.0097327432 -30 52 36.096822228|353.9484779527016 +05.5467052804047|   1.630 -1.980    |9.51     |B9V            |    ~     ~    |    1|  540.482   pc  | -19.6889    +19.6889  |paral   |2020yCat.1350....0G
1374|HD 154783                                                                                                |High Proper Motion Star               |17 08 47.5394206392 -30 24 13.382302392|354.3264222206836 +05.8336680372923|-12.426 -68.177    |5.911    |Fm_dD          |    ~     ~    |    1|   82.457   pc  |  -0.4045     +0.4045  |paral   |2020yCat.1350....0G
1375|CD-30 13845                                                                                              |Star                                  |17 09 05.1962411688 -30 29 27.681346212|354.2933305711901 +05.7309016758297|  -0.070 -4.213    |9.59     |B8             |    ~     ~    |    1|  628.812   pc  |  -7.9476     +7.9476  |paral   |2020yCat.1350....0G
1376|HD 154833                                                                                                |Star                                  |17 09 09.4450305840 -30 49 39.325922472|354.0295695360696 +05.5196943419838|    9.304 4.951    |9.70     |F7/8V(+A/F)    |    ~     ~    |    1|  201.110   pc  |  -0.6916     +0.6916  |paral   |2020yCat.1350....0G
1377|CD-30 13849                                                                                              |Star                                  |17 09 20.7475946112 -30 40 57.845558856|354.1710082871392 +05.5726375417405| -1.549 -11.759    |9.72     |K0             |    ~     ~    |    1|  705.916   pc  | -11.5111    +11.5111  |paral   |2020yCat.1350....0G
1378|CD-30 13852                                                                                              |Star                                  |17 09 30.8037783432 -30 59 08.750067144|353.9467076205796 +05.3646297925774| -3.544 -12.773    |9.56     |~              |    ~     ~    |    1|  943.218   pc  | -16.2808    +16.2808  |paral   |2020yCat.1350....0G
1379|HD 154995                                                                                                |Star                                  |17 10 11.6912125872 -30 34 19.702394832|354.3689625294886 +05.4903460169103|  9.377 -10.911    |9.21     |F3/5V          |    ~     ~    |    1|  246.239   pc  |  -1.0611     +1.0611  |paral   |2020yCat.1350....0G
1380|CD-30 13873                                                                                              |Star                                  |17 10 44.7191796024 -31 05 51.523244448|354.0121454353918 +05.0855221080871| -3.166 -25.558    |9.80     |F0             |    ~     ~    |    1|  277.269   pc  |  -4.4128     +4.4128  |paral   |2020yCat.1350....0G
1381|HD 155293                                                                                                |Star                                  |17 11 54.1734509568 -30 25 58.499902704|354.6991168554155 +05.2742422439984|  -21.085 2.415    |8.93     |F5V            |    ~     ~    |    1|  197.457   pc  |  -2.6981     +2.6981  |paral   |2020yCat.1350....0G
1382|CD-30 13900                                                                                              |Star                                  |17 12 05.9791444224 -31 08 47.825660544|354.1431222945155 +04.8221130337849| -3.668 -35.311    |10.00    |F5             |    ~     ~    |    1|  243.730   pc  |  -1.8118     +1.8118  |paral   |2020yCat.1350....0G
1383|HD 155348                                                                                                |Star                                  |17 12 20.0195188080 -30 29 22.981672860|354.7073794161385 +05.1657271940401|    3.508 2.983    |8.96     |A9V            |    ~     ~    |    1|  268.082   pc  |  -1.7967     +1.7967  |paral   |2020yCat.1350....0G
1384|HD 155382                                                                                                |Star                                  |17 12 32.6235158424 -31 02 35.009292336|354.2832245515979 +04.8056235969804|  -4.861 -1.231    |9.22     |A0V            |    ~     ~    |    1|  550.509   pc  |  -5.9703     +5.9703  |paral   |2020yCat.1350....0G
1385|HD 155492                                                                                                |Star                                  |17 13 16.9291640616 -31 00 10.779963912|354.4085585432965 +04.7005911194418|   0.893 -2.811    |9.47     |B9IV           |    ~     ~    |    1|  631.991   pc  |  -8.0282     +8.0282  |paral   |2020yCat.1350....0G
1386|HD 155518                                                                                                |High Proper Motion Star               |17 13 21.5959545984 -30 32 14.615297268|354.7980054649219 +04.9584091034642|-49.898 -93.443    |9.64     |G5/6V          |    ~     ~    |    1|  100.594   pc  |  -0.1740     +0.1740  |paral   |2020yCat.1350....0G
1387|CD-31 13582                                                                                              |Star                                  |17 07 34.1692900392 -32 00 58.111056360|352.8668779181534 +05.0871297499677|  -5.604 -1.057    |9.74     |K0             |    ~     ~    |    1|  463.564   pc  |  -3.7176     +3.7176  |paral   |2020yCat.1350....0G
1388|HD 154565                                                                                                |Star                                  |17 07 36.9753562008 -31 33 27.386684820|353.2427913477400 +05.3521044077617|   1.025 -2.415    |10.12    |B9III          |    ~     ~    |    1|  635.566   pc  |  -7.7557     +7.7557  |paral   |2020yCat.1350....0G
1389|HD 154628                                                                                                |Star                                  |17 07 58.4818083504 -31 58 37.410101724|352.9497397359377 +05.0413490958256|-20.457 -25.856    |9.22     |G8(III)        |    ~     ~    |    1|  409.350   pc  |  -3.9378     +3.9378  |paral   |2020yCat.1350....0G
1390|HD 154785                                                                                                |Star                                  |17 08 47.2156427808 -31 17 16.098219060|353.6097590243855 +05.3113146666856| -3.507 -11.044    |9.66     |A1IV           |    ~     ~    |    1|  300.643   pc  |  -3.6426     +3.6426  |paral   |2020yCat.1350....0G
1391|HD 154852                                                                                                |Star                                  |17 09 15.2268744384 -32 01 01.600982580|353.0789147843726 +04.7993062647242|  -0.309 -0.057    |9.74     |B9III          |    ~     ~    |    1| 1279.754   pc  | -46.8403    +46.8403  |paral   |2020yCat.1350....0G
1392|CD-31 13627                                                                                              |Star                                  |17 09 13.9173477480 -31 11 30.590375460|353.7439940195894 +05.2914478911750|   2.385 -6.472    |9.70     |~              |    ~     ~    |    1|  858.664   pc  | -13.6401    +13.6401  |paral   |2020yCat.1350....0G
1393|HD 154871                                                                                                |Star                                  |17 09 23.9821629216 -31 40 47.132128524|353.3702323431294 +04.9739971741879|   0.270 -8.313    |8.86     |A0/1V+(A)      |    ~     ~    |    1|  372.439   pc  |  -9.1133     +9.1133  |paral   |2020yCat.1350....0G
1394|HD 154897                                                                                                |High Proper Motion Star               |17 09 37.9079548032 -31 57 57.113143128|353.1679666072987 +04.7650219287874|   57.884 4.672    |10.01    |F5V            |    ~     ~    |    1|  154.323   pc  |  -0.4168     +0.4168  |paral   |2020yCat.1350....0G
1395|HD 155030                                                                                                |Star                                  |17 10 27.9530794704 -31 29 31.947056808|353.6567252895457 +04.9014665752133| -18.722 -7.118    |9.72     |F6V            |    ~     ~    |    1|  172.334   pc  |  -0.5108     +0.5108  |paral   |2020yCat.1350....0G
1396|HD 155081                                                                                                |Double or Multiple Star               |17 10 45.2036583528 -31 33 41.635405224|353.6366887733660 +04.8111023721207|   0.768 -6.009    |8.16     |A1V            |    ~     ~    |    1|   91.4545  pc  |  -8.7779     +8.7779  |paral   |2018yCat.1345....0G
1397|HD 155128                                                                                                |Star                                  |17 11 03.4455851832 -31 34 58.459170612|353.6576135029670 +04.7461862355264|  6.514 -35.787    |9.25     |G3V            |    ~     ~    |    1|  124.281   pc  |  -0.4526     +0.4526  |paral   |2020yCat.1350....0G
1398|HD 155254                                                                                                |Star                                  |17 11 49.8491178312 -31 57 46.569305016|353.4460042776252 +04.3898895861858| -2.592 -18.519    |10.10    |A8/9IV/V       |    ~     ~    |    1|  422.547   pc  | -22.1933    +22.1933  |paral   |2020yCat.1350....0G
1399|HD 155272                                                                                                |Star                                  |17 11 55.6597697520 -31 47 52.320172848|353.5921685132881 +04.4701017389456|   0.631 -5.096    |9.39     |B8II           |    ~     ~    |    1|  805.218   pc  | -13.5511    +13.5511  |paral   |2020yCat.1350....0G
1400|CD-31 13707                                                                                              |Star                                  |17 13 12.7263964176 -31 19 41.235096180|354.1348701372028 +04.5230786032905|-27.993 -34.595    |10.22    |A0             |    ~     ~    |    1|  223.549   pc  |  -0.8496     +0.8496  |paral   |2020yCat.1350....0G
1401|HD 155651                                                                                                |Star                                  |17 14 16.5695682840 -31 12 30.653950284|354.3652371425878 +04.4079392206854|  -1.887 -2.655    |9.59     |G6IV/V         |    ~     ~    |    1|  635.122   pc  |  -8.0273     +8.0273  |paral   |2020yCat.1350....0G
1402|HD 155687                                                                                                |Star                                  |17 14 26.2222803792 -31 31 48.963747396|354.1227358222378 +04.1929323880147|  -0.884 -4.156    |10.12    |A(pSi)         |    ~     ~    |    1|  935.366   pc  | -18.1106    +18.1106  |paral   |2020yCat.1350....0G
1403|V* V459 Sco                                                                                              |Long-Period Variable                  |17 08 21.1838605512 -31 03 19.504723536|353.7425191914169 +05.5237963623981|    0.365 1.661    |10.74    |M7             |    ~     ~    |    1|  996.612   pc  | -66.1494    +66.1494  |paral   |2020yCat.1350....0G
1404|CD-31 13609                                                                                              |Star                                  |17 08 38.3980761984 -32 06 13.229094780|352.9315825862129 +04.8527204583889|    0.662 0.622    |9.92     |A0             |    ~     ~    |    1|  269.411   pc  |  -1.2992     +1.2992  |paral   |2020yCat.1350....0G
1405|HD 154822                                                                                                |Star                                  |17 09 07.7846300064 -32 05 57.261612732|352.9968922659145 +04.7718324876143|   0.851 -1.081    |10.59    |B9II/III       |    ~     ~    |    1|  973.425   pc  | -21.0358    +21.0358  |paral   |2020yCat.1350....0G
1406|HD 155349                                                                                                |Be Star                               |17 12 23.1825734760 -32 08 47.981619168|353.3660047778571 +04.1867944218153|   1.833 -1.868    |9.64     |B5/7Vne        |    ~     ~    |    1| 1222.494   pc  | -32.7294    +32.7294  |paral   |2020yCat.1350....0G
1407|CD-32 12365                                                                                              |Star                                  |17 08 05.8544286936 -32 37 38.431822512|352.4406761430292 +04.6336218495819|   0.970 -0.351    |9.50     |K0             |    ~     ~    |    1|  944.6439  pc  | -51.8457    +51.8457  |paral   |2018yCat.1345....0G
1408|HD 154642                                                                                                |Star                                  |17 08 08.5098035976 -32 34 07.057272108|352.4935865918359 +04.6610666197586|   3.399 11.317    |8.62     |K(5)           |    ~     ~    |    1|  784.868   pc  | -14.8460    +14.8460  |paral   |2020yCat.1350....0G
1409|HD 154681                                                                                                |Star                                  |17 08 22.0082400816 -32 47 59.546434308|352.3353498624177 +04.4854637245444| -3.777 -21.203    |10.02    |F2V            |    ~     ~    |    1|  227.557   pc  |  -0.9373     +0.9373  |paral   |2020yCat.1350....0G
1410|HD 154755                                                                                                |Pulsating Variable                    |17 08 42.7584728856 -32 59 52.866425580|352.2188206615709 +04.3093051185596|   0.062 -6.581    |10.22    |A0IV           |    ~     ~    |    1|  731.422   pc  | -10.7531    +10.7531  |paral   |2020yCat.1350....0G
1411|HD 155015                                                                                                |Star                                  |17 10 26.0759033400 -33 01 17.190192504|352.4143241893251 +04.0045954926806|   1.568 -5.213    |8.95     |B8/9II/III     |    ~     ~    |    1|  836.540   pc  | -14.8357    +14.8357  |paral   |2020yCat.1350....0G
1412|HD 155014                                                                                                |Star                                  |17 10 25.4846774760 -32 37 15.941283276|352.7370295441972 +04.2426749711088|   1.553 -5.006    |8.62     |B8/9II         |    ~     ~    |    1|  815.395   pc  | -21.8077    +21.8077  |paral   |2020yCat.1350....0G
1413|HD 155049                                                                                                |Star                                  |17 10 39.7660441536 -32 53 19.954995144|352.5499134519629 +04.0442266383401|   2.037 -5.615    |9.61     |B8/9II         |    ~     ~    |    0|                |                       |        |                   
1414|HD 155082                                                                                                |Star                                  |17 10 47.8290736440 -32 23 23.477910108|352.9707203612923 +04.3156771633559|  -2.747 -4.310    |9.33     |K(3)           |    ~     ~    |    1| 1205.400   pc  | -27.8974    +27.8974  |paral   |2020yCat.1350....0G
1415|TYC 7365-575-1                                                                                           |Star                                  |17 10 55.7276328072 -32 30 55.651621428|352.8853750173799 +04.2192196080096|  -1.251 -0.947    |10.75    |~              |    ~     ~    |    1|  959.601   pc  | -17.8642    +17.8642  |paral   |2020yCat.1350....0G
1416|HD 155129                                                                                                |Star                                  |17 11 07.0318144872 -32 43 35.932390896|352.7377139264149 +04.0627443166881|  -0.295 -0.529    |10.58    |B9/A0III/IV    |    ~     ~    |    1| 1129.944   pc  | -43.1549    +43.1549  |paral   |2020yCat.1350....0G
1417|HD 155130                                                                                                |Star                                  |17 11 10.9569596568 -33 03 48.338656164|352.4730351537554 +03.8532496226223|   1.618 -2.898    |10.18    |A3             |    ~     ~    |    1|  977.231   pc  | -19.2906    +19.2906  |paral   |2020yCat.1350....0G
1418|CSI-32-17079                                                                                             |Star                                  |17 11 11.0 -32 18 25                   |353.0861 +04.2986                  |            ~ ~    |10.76    |~              |    ~     ~    |    0|                |                       |        |                   
1419|HD 155144                                                                                                |Star                                  |17 11 11.2855713024 -32 11 32.923135968|353.1794933080867 +04.3651441636002|    6.206 7.523    |8.63     |G8III(+A)      |    ~     ~    |    1|  288.160   pc  |  -1.8434     +1.8434  |paral   |2020yCat.1350....0G
1420|HD 155162                                                                                                |Star                                  |17 11 22.4735138496 -32 46 11.275865220|352.7346900314082 +03.9935979623843| -8.290 -13.235    |8.93     |A8V            |    ~     ~    |    1|  178.202   pc  |  -1.2988     +1.2988  |paral   |2020yCat.1350....0G
1421|CSI-32-17085 1                                                                                           |Star                                  |17 11 43.2 -32 29 27                   |353.0038 +04.0988                  |            ~ ~    |10.69    |~              |    ~     ~    |    0|                |                       |        |                   
1422|HD 155336                                                                                                |Pulsating Variable                    |17 12 18.3554946312 -33 06 03.118922352|352.5813510922454 +03.6409139237181|  -0.538 -1.980    |9.43     |B1/2Ib         |    ~     ~    |    1| 1911.315   pc  | -71.6012    +71.6012  |paral   |2020yCat.1350....0G
1423|HD 155335                                                                                                |Star                                  |17 12 21.7828585728 -32 31 38.550273024|353.0538778630764 +03.9676221686354|  -3.060 -5.002    |10.26    |A2/3III        |    ~     ~    |    1|  430.496   pc  |  -3.5212     +3.5212  |paral   |2020yCat.1350....0G
1424|CD-32 12448                                                                                              |Pulsating Variable                    |17 12 26.7322221338 -32 17 19.227219681|353.2579803096566 +04.0934364501539|   0.280 -4.498    |10.62    |~              |    ~     ~    |    1| 1102.29    pc  | -23.4505    +23.4505  |paral   |2020yCat.1350....0G
1425|HD 155383                                                                                                |Star                                  |17 12 36.6683239032 -32 48 41.029183692|352.8539273584789 +03.7588262775355|   5.103 -4.969    |9.48     |K0             |    ~     ~    |    1|  533.191   pc  |  -4.6624     +4.6624  |paral   |2020yCat.1350....0G
1426|HD 155450                                                                                                |Star                                  |17 12 58.5578949696 -32 26 17.993977116|353.2021062137392 +03.9150081495409|   1.831 -1.853    |5.997    |B1Ib           |    ~     ~    |    1| 1146.395   pc  | -52.9631    +52.9631  |paral   |2020yCat.1350....0G
1427|HD 155449                                                                                                |Double or Multiple Star               |17 13 02.672760 -32 15 52.31628        |353.351904505 +04.004916432        |       3.7 -6.1    |9.618    |B9             |    ~     ~    |    0|                |                       |        |                   
1428|CD-32 12466                                                                                              |Star                                  |17 13 05.1792832632 -32 20 04.411157496|353.3001355541741 +03.9568070411106|   1.411 -1.362    |10.18    |~              |    ~     ~    |    1| 1108.525   pc  | -28.7545    +28.7545  |paral   |2020yCat.1350....0G
1429|HD 155463                                                                                                |High Proper Motion Star               |17 13 10.3766026968 -32 37 20.565162696|353.0768293299877 +03.7736803747267|-11.193 -57.078    |7.53     |A9IV           |    ~     ~    |    1|   93.358   pc  |  -0.2161     +0.2161  |paral   |2020yCat.1350....0G
1430|HD 155519                                                                                                |Star                                  |17 13 36.0194409096 -33 07 30.537005412|352.7206533327980 +03.4069834589110|   1.790 -1.755    |9.37     |B3/5Vn         |    ~     ~    |    1|  966.464   pc  | -27.0875    +27.0875  |paral   |2020yCat.1350....0G
1431|HD 155600                                                                                                |Star                                  |17 13 57.3660353328 -32 14 28.486558032|353.4836412836583 +03.8620441415862|   -1.118 0.946    |7.94     |B8V            |    ~     ~    |    1|  547.435   pc  |  -8.0915     +8.0915  |paral   |2020yCat.1350....0G
1432|HD 155652                                                                                                |Double or Multiple Star               |17 14 18.1 -32 29 10                   |353.3268 +03.6601                  |            ~ ~    |10.0     |A5V            |    ~     ~    |    0|                |                       |        |                   
1433|HD 319483                                                                                                |Star                                  |17 14 21.1349553096 -32 46 47.700023592|353.0937445474779 +03.4802782605245|   1.954 -0.466    |10.09    |B5             |    ~     ~    |    1| 1598.465   pc  | -45.7361    +45.7361  |paral   |2020yCat.1350....0G
1434|CSI-33-17098                                                                                             |Star                                  |17 13 06.0 -33 10 00                   |352.6256 +03.4677                  |            ~ ~    |10.8     |K2             |    ~     ~    |    0|                |                       |        |                   
1435|HD 155601                                                                                                |Pulsating Variable                    |17 14 06.9836526768 -33 10 43.833588456|352.7401492706832 +03.2879383330859|   1.507 -4.811    |8.84     |F3IV/V         |    ~     ~    |    1|  308.842   pc  |  -2.6421     +2.6421  |paral   |2020yCat.1350....0G
1436|V* AH Sco                                                                                                |Red Supergiant                        |17 11 17.0194487616 -32 19 30.714035556|353.0837968072639 +04.2707154022171|  -2.332 -2.610    |8.10     |M5Ia-Iab       |    ~     ~    |    0|                |                       |        |                   
1437|V* V726 Sco                                                                                              |Eclipsing Binary                      |17 13 43.8120923976 -33 04 06.927182868|352.7825582111181 +03.4179427997588|  -0.349 -4.261    |10.33    |A0V            |    ~     ~    |    1| 1022.809   pc  | -20.5043    +20.5043  |paral   |2020yCat.1350....0G
1438|V* FV Sco                                                                                                |Eclipsing Binary                      |17 13 44.9911910232 -32 51 09.233742636|352.9606712904475 +03.5407303912196|   1.698 -0.047    |8.07     |B4IV           |    ~     ~    |    1| 1127.269   pc  | -62.0118    +62.0118  |paral   |2020yCat.1350....0G
1439|CD-32 12457                                                                                              |Star                                  |17 12 50.42 -32 18 18.9                |353.29349 +04.01610                |            ~ ~    |10.5     |~              |    ~     ~    |    0|                |                       |        |                   
1440|TYC 7365-158-1                                                                                           |Star                                  |17 10 33.0355634856 -32 39 09.670247964|352.7271392644189 +04.2026415113854|  -3.933 -3.585    |10.08    |~              |    ~     ~    |    1|  936.330   pc  | -17.3589    +17.3589  |paral   |2020yCat.1350....0G
1441|[SC96] GC 7                                                                                              |Star                                  |17 10 30.0 -32 58 00                   |352.4668 +04.0259                  |            ~ ~    |8.51     |~              |    ~     ~    |    0|                |                       |        |                   
1442|[SC96] Mis 312                                                                                           |Star                                  |17 10 30.0 -32 58 00                   |352.4668 +04.0259                  |            ~ ~    |8.51     |~              |    ~     ~    |    0|                |                       |        |                   
1443|[SC96] Mis 335                                                                                           |Star                                  |17 13 06.0 -32 21 00                   |353.2893 +03.9454                  |            ~ ~    |8.28     |~              |    ~     ~    |    0|                |                       |        |                   
1444|TYC 7361-1540-1                                                                                          |Star                                  |17 09 24.3646716984 -31 40 54.336238968|353.3694181430983 +04.9717198605695|   0.053 -9.572    |9.49     |A0             |    ~     ~    |    1|  372.703   pc  |  -4.8340     +4.8340  |paral   |2020yCat.1350....0G
1445|CD-31 13621                                                                                              |Star                                  |17 09 10.3026470616 -31 26 49.418016036|353.5297165381978 +05.1508304829976|  -6.768 -5.354    |10.72    |~              |    ~     ~    |    1| 1088.376   pc  | -24.2835    +24.2835  |paral   |2020yCat.1350....0G
1446|CD-32 12401                                                                                              |Star                                  |17 09 58.9356127296 -32 43 27.107594796|352.5984496128519 +04.2568832147551| -22.754 -5.280    |10.70    |~              |    ~     ~    |    1|  958.865   pc  | -19.4917    +19.4917  |paral   |2020yCat.1350....0G
1447|CD-31 13643                                                                                              |Star                                  |17 10 00.6406813488 -31 52 11.799422508|353.2932903725778 +04.7568467865366|   0.171 -2.270    |10.49    |~              |    ~     ~    |    1|  717.772   pc  |  -8.9644     +8.9644  |paral   |2020yCat.1350....0G
1448|CD-32 12427                                                                                              |Star                                  |17 11 11.4736463208 -32 29 07.457342604|352.9424063546587 +04.1922023211507| -14.474 -5.689    |10.53    |~              |    ~     ~    |    1|  620.232   pc  |  -6.9244     +6.9244  |paral   |2020yCat.1350....0G
1449|CD-30 13888                                                                                              |Star                                  |17 11 27.8566781688 -30 26 16.537255368|354.6394202818518 +05.3479331522393|  -5.184 -4.465    |10.19    |~              |    ~     ~    |    1|  912.742   pc  | -15.9955    +15.9955  |paral   |2020yCat.1350....0G
1450|CD-30 13890                                                                                              |Spectroscopic Binary                  |17 11 38.7006957888 -30 48 53.218823436|354.3557223231454 +05.0955160826142|  -3.832 -4.876    |10.18    |~              |    ~     ~    |    1|  887.548   pc  | -19.1421    +19.1421  |paral   |2020yCat.1350....0G
1451|CD-30 13891                                                                                              |Star                                  |17 11 39.4945821624 -30 50 22.157961720|354.3373000743300 +05.0787318553436|   -0.402 1.588    |9.88     |~              |    ~     ~    |    1|  891.822   pc  | -14.3162    +14.3162  |paral   |2020yCat.1350....0G
1452|CD-31 13677                                                                                              |Star                                  |17 11 48.4037876040 -32 02 08.907678708|353.3838299103333 +04.3512479518044|  -0.852 -8.899    |10.25    |~              |    ~     ~    |    1|  966.277   pc  | -29.1312    +29.1312  |paral   |2020yCat.1350....0G
1453|CD-31 13692                                                                                              |Star                                  |17 12 15.9062672544 -31 37 45.017591484|353.7714583013072 +04.5108495224151|  -4.117 -0.556    |10.74    |~              |    ~     ~    |    1|  939.408   pc  | -15.1788    +15.1788  |paral   |2020yCat.1350....0G
1454|CD-32 12447                                                                                              |Star                                  |17 12 28.1659425720 -33 00 09.273164292|352.6812519566006 +03.6708356050765|  0.234 -12.694    |10.37    |~              |    ~     ~    |    1| 1006.239   pc  | -19.2378    +19.2378  |paral   |2020yCat.1350....0G
1455|CD-31 13711                                                                                              |Star                                  |17 13 17.8710839640 -31 36 50.155793532|353.9128017493802 +04.3414125384256|   0.737 -0.296    |10.80    |~              |    ~     ~    |    1| 1436.782   pc  | -38.6032    +38.6032  |paral   |2020yCat.1350....0G
1456|CD-32 12469                                                                                              |Star                                  |17 13 21.4690605264 -32 49 43.237071372|352.9318989272239 +03.6215188072305|  -0.875 -4.994    |9.86     |~              |    ~     ~    |    1|  983.671   pc  | -15.1915    +15.1915  |paral   |2020yCat.1350....0G
1457|CD-30 13924                                                                                              |Star                                  |17 13 24.3266468256 -30 48 59.218336260|354.5761149787088 +04.7878565108321| -0.616 -13.159    |10.80    |~              |    ~     ~    |    1|  612.933   pc  |  -7.1380     +7.1380  |paral   |2020yCat.1350....0G
1458|CD-32 12480                                                                                              |S Star                                |17 13 47.3755325568 -32 23 29.886777528|353.3406353761997 +03.8029247538040| -2.266 -15.368    |10.29    |S4,2           |    ~     ~    |    1| 1034.982   pc  | -25.0658    +25.0658  |paral   |2020yCat.1350....0G
1459|CD-31 13744                                                                                              |Star                                  |17 14 49.9284074088 -31 51 08.519887080|353.9089088861578 +03.9373555876901|    1.667 2.387    |10.86    |~              |    ~     ~    |    1|  654.450   pc  |  -6.8957     +6.8957  |paral   |2020yCat.1350....0G
1460|CD-31 13746                                                                                              |Star                                  |17 14 54.3108089400 -31 50 38.504955948|353.9247418443838 +03.9295709808390|    3.386 0.070    |10.38    |~              |    ~     ~    |    1|  564.972   pc  |  -5.1071     +5.1071  |paral   |2020yCat.1350....0G
1461|HD 155472                                                                                                |Star                                  |17 13 16.6532084496 -33 11 24.019959264|352.6283776291434 +03.4238721303003|  -4.558 -3.013    |9.76     |B9.5V          |    ~     ~    |    1|  702.445   pc  | -11.0528    +11.0528  |paral   |2020yCat.1350....0G
1462|HD 155614                                                                                                |Star                                  |17 14 10.2446669448 -33 13 08.633541468|352.7140649105254 +03.2552440097722|   1.839 -1.886    |9.13     |B2Vnn          |    ~     ~    |    1| 1082.251   pc  | -34.7866    +34.7866  |paral   |2020yCat.1350....0G
1463|CD-31 13556                                                                                              |Pulsating Variable                    |17 05 50.8056971952 -31 11 18.781902744|353.3139999135415 +05.8753962454410|   0.674 -2.542    |10.40    |~              |    ~     ~    |    1|  905.879   pc  | -15.6738    +15.6738  |paral   |2020yCat.1350....0G
1464|CD-32 12341                                                                                              |Star                                  |17 06 31.1053123680 -32 50 10.709643336|352.0735720533407 +04.7753889270132|  -5.534 -9.173    |10.67    |~              |    ~     ~    |    1|  383.656   pc  |  -2.6495     +2.6495  |paral   |2020yCat.1350....0G
1465|CD-30 13792                                                                                              |Star                                  |17 06 31.1348242344 -30 59 25.075221000|353.5602477513509 +05.8784151015815|   2.022 -6.094    |10.57    |~              |    ~     ~    |    1|  712.708   pc  | -15.6957    +15.6957  |paral   |2020yCat.1350....0G
