C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:44:19

dec< 0&rah >=17.0&rah< 17.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6815

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
23  |NGC 6231 335                       HD 153295                                                             |High Mass X-ray Binary                |17 00 25.2435659064 -42 19 00.279910236|343.8034099026475 -00.0299352037780|   1.181 -1.470    |     ~   |B2e            |    ~     ~    |    1| 1561.280   pc  | -55.8209    +55.8209  |paral   |2020yCat.1350....0G
24  |HD 153428                                                                                                |Star                                  |17 01 27.9862692624 -42 11 20.187853080|344.0231901636462 -00.1039250435796|   0.864 -2.332    |9.89     |A0III/IV       |    ~     ~    |    1|  798.686   pc  | -69.6300    +69.6300  |ST-L    |2020AJ....160...83S
25  |HD 153520                                                                                                |Star                                  |17 01 56.7932942832 -42 32 10.109493780|343.8033132645872 -00.3868896545631|  -1.437 -1.195    |9.49     |B9Ib/II        |    ~     ~    |    1|  616.871   pc  | -23.7200    +23.7200  |ST-L    |2020AJ....160...83S
26  |HD 153578                                                                                                |Star                                  |17 02 13.5515980488 -42 37 41.306167524|343.7620580834697 -00.4838705751170|   3.247 -6.186    |8.53     |K1III(p)       |    ~     ~    |    1|  360.579   pc  |  -9.4780     +9.4780  |ST-L    |2020AJ....160...83S
27  |HD 153713                                                                                                |High Proper Motion Star               |17 02 59.8782430104 -43 07 11.913452508|343.4591481667486 -00.8963895971475| 44.102 -83.397    |9.43     |K1V            |    ~     ~    |    1|   45.488   pc  |  -0.1285     +0.1285  |ST-L    |2020AJ....160...83S
28  |HD 153733                                                                                                |Double or Multiple Star               |17 03 03.4140517800 -42 59 35.232540000|343.5662417152364 -00.8275285397959|  -2.561 -9.965    |9.73     |A0III/IV       |    ~     ~    |    1|  298.197   pc  | -50.503     +50.503   |ST-L    |2017AJ....153...75K
29  |HD 153383                                                                                                |High Proper Motion Star               |17 01 16.8355822296 -43 38 37.140761400|342.8539556156873 -00.9701657416197|-62.678 -92.574    |9.09     |K1(V)(+G)      |    ~     ~    |    1|   57.816   pc  |  -0.1611     +0.1611  |paral   |2020yCat.1350....0G
30  |HD 326691                                                                                                |Star                                  |17 01 47.5690253352 -43 24 00.075789792|343.1033496690789 -00.8940327428437| -1.972 -17.746    |10.07    |A5             |    ~     ~    |    1|  470.810   pc  |  -5.4307     +5.4307  |paral   |2020yCat.1350....0G
31  |HD 326692                                                                                                |Star                                  |17 01 51.2483792808 -43 23 14.359821036|343.1202135036130 -00.8950535188072|  16.736 -8.551    |10.05    |F0             |    ~     ~    |    1|  219.063   pc  |  -0.6670     +0.6670  |paral   |2020yCat.1350....0G
32  |HD 326700                                                                                                |Star                                  |17 02 01.0701196944 -43 33 47.509828596|342.9993704404072 -01.0262595020479|   0.514 -4.529    |10.04    |B8             |    ~     ~    |    1|  833.820   pc  | -17.5204    +17.5204  |paral   |2020yCat.1350....0G
33  |HD 153617                                                                                                |Star                                  |17 02 34.7685016248 -43 56 15.843344568|342.7650470760385 -01.3355832759387|   12.633 3.089    |8.94     |K0III/IV       |    ~     ~    |    1|  363.029   pc  |  -2.2404     +2.2404  |paral   |2020yCat.1350....0G
34  |HD 326683                                                                                                |Eclipsing Binary                      |17 02 53.0208599736 -43 15 55.115486748|343.3312839989662 -00.9685765424623|   0.195 -4.346    |10.24    |B8             |    ~     ~    |    1|  830.358   pc  | -14.8931    +14.8931  |paral   |2020yCat.1350....0G
35  |HD 326712                                                                                                |Star                                  |17 03 00.8756083368 -43 50 49.167339648|342.8848072785144 -01.3422819026255| -1.703 -22.344    |9.11     |K7             |    ~     ~    |    1|  520.806   pc  |  -4.3127     +4.3127  |paral   |2020yCat.1350....0G
36  |HD 153714                                                                                                |Star                                  |17 03 02.0934787800 -43 49 32.826602784|342.9038498796293 -01.3322490070162|  -0.388 -4.135    |9.89     |B8IV/V         |    ~     ~    |    1|  833.264   pc  | -13.6783    +13.6783  |paral   |2020yCat.1350....0G
