C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:06:06

dec >=0&rah >=12.5&rah< 12.75&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2283

 #  |                                                                                                                                       identifier                                                                                                                                       |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
614 |BD+49 2147                                                                                                                                                                                                                                                                              |Star                                |12 31 39.3346487232 +48 21 53.253338328|131.8900622591478 +68.4179251483633|  28.487 10.123   |9.76     |G7V            |    ~     ~    |    1|   74.332   pc  |  -0.0669     +0.0669  |paral   |2020yCat.1350....0G
615 |TYC 3458-1099-1                                                                                                                                                                                                                                                                         |Star                                |12 32 10.0582023696 +49 40 40.064722500|130.9761967130060 +67.1483908823816|-12.447 -35.868   |10.7     |G5             |    ~     ~    |    1|  198.843   pc  |  -0.5377     +0.5377  |paral   |2020yCat.1350....0G
616 |BD+49 2150                                                                                                                                                                                                                                                                              |Star                                |12 33 07.0919018520 +48 22 52.448459376|131.2337368425666 +68.4506500984579| 10.923 -10.524   |10.90    |G8III          |    ~     ~    |    1|  810.964   pc  |  -9.0757     +9.0757  |paral   |2020yCat.1350....0G
617 |HD 109680                                                                                                                                                                                                                                                                               |Star                                |12 36 09.3756675120 +49 10 58.304656056|129.5363995444333 +67.7489621416705| -38.984 -2.030   |8.72     |F0V            |    ~     ~    |    1|  178.709   pc  |  -1.1274     +1.1274  |paral   |2020yCat.1350....0G
618 |BD+49 2152                                                                                                                                                                                                                                                                              |Red Giant Branch star Candidate     |12 37 05.8705500600 +48 31 59.542269528|129.3943574815502 +68.4147149964498|    8.763 6.350   |9.81     |K0III          |    ~     ~    |    1|  605.437   pc  |  -4.5819     +4.5819  |paral   |2020yCat.1350....0G
619 |BD+48 2032                                                                                                                                                                                                                                                                              |Star                                |12 31 40.5327453840 +48 01 43.485638088|132.0744283304569 +68.7471761594062|   0.960 -6.157   |9.90     |K2IV           |    ~     ~    |    1| 1219.661   pc  | -23.0574    +23.0574  |paral   |2020yCat.1350....0G
620 |BD+48 2039                                                                                                                                                                                                                                                                              |High Proper Motion Star             |12 35 57.5925719448 +48 11 48.849109260|130.0508060612869 +68.7168439775982| 33.279 -70.334   |9.68     |G0             |    ~     ~    |    1|  151.605   pc  |  -0.7102     +0.7102  |paral   |2020yCat.1350....0G
621 |BD+48 2041                                                                                                                                                                                                                                                                              |Star                                |12 37 17.1319828896 +47 49 44.113673568|129.6058541660767 +69.1155222428562| -34.816 13.415   |10.70    |G8III          |    ~     ~    |    1|  489.740   pc  |  -3.0220     +3.0220  |paral   |2020yCat.1350....0G
622 |BD+48 2043                                                                                                                                                                                                                                                                              |Star                                |12 37 47.3724984216 +48 03 55.444938552|129.2735877673669 +68.8944463829579|   2.011 -5.980   |9.75     |K1III          |    ~     ~    |    1| 1232.590   pc  | -19.9025    +19.9025  |paral   |2020yCat.1350....0G
623 |BD+48 2034                                                                                                                                                                                                                                                                              |Star                                |12 32 38.6815650264 +47 36 10.487921760|131.8782200033161 +69.1975625994913| -29.895 -6.363   |10.27    |G0             |    ~     ~    |    1|  265.823   pc  |  -1.2154     +1.2154  |paral   |2020yCat.1350....0G
624 |TYC 3456-347-1                                                                                                                                                                                                                                                                          |Star                                |12 32 15.0147667344 +48 16 42.216256200|131.6749428800943 +68.5228301573272|-10.870 -17.139   |10.35    |~              |    ~     ~    |    1|  164.306   pc  |  -0.4994     +0.4994  |paral   |2020yCat.1350....0G
625 |TYC 3456-815-1                                                                                                                                                                                                                                                                          |Star                                |12 31 25.8537438648 +48 09 29.080588032|132.1087778678351 +68.6121220104770|  -13.264 4.777   |10.92    |~              |    ~     ~    |    1|  350.963   pc  |  -6.5652     +6.5652  |paral   |2020yCat.1350....0G
626 |TYC 3456-1253-1                                                                                                                                                                                                                                                                         |Star                                |12 35 16.5089448624 +48 18 18.742233024|130.3092890990002 +68.5908693390118|  -5.528 -1.969   |10.50    |~              |    ~     ~    |    1|  281.073   pc  |  -1.1613     +1.1613  |paral   |2020yCat.1350....0G
627 |TYC 3458-716-1                                                                                                                                                                                                                                                                          |Star                                |12 36 33.6842226048 +49 00 45.150977196|129.4327546341481 +67.9275081410044| -41.424 -0.964   |10.89    |G8III          |    ~     ~    |    1|  362.845   pc  |  -1.6457     +1.6457  |paral   |2020yCat.1350....0G
628 |TYC 3458-1022-1                                                                                                                                                                                                                                                                         |Star                                |12 37 49.6907236800 +50 07 33.282950268|128.4869940559154 +66.8552908832439|    6.394 0.534   |10.39    |~              |    ~     ~    |    1|  676.544   pc  |  -5.7214     +5.7214  |paral   |2020yCat.1350....0G
629 |BD+48 2042                                                                                                                                                                                                                                                                              |Star                                |12 37 33.2515824528 +47 15 38.659466304|129.7282515082625 +69.6838809314436| -13.090 -1.530   |10.49    |F5             |    ~     ~    |    1|  339.685   pc  |  -5.0885     +5.0885  |paral   |2020yCat.1350....0G
630 |BD+47 1973                                                                                                                                                                                                                                                                              |Star                                |12 35 40.7382339264 +46 13 12.280550448|131.1827702177464 +70.6548889206351|  -1.120 -5.000   |9.9      |K1             |    ~     ~    |    1| 1350.986   pc  | -23.5446    +23.5446  |paral   |2020yCat.1350....0G
631 |BD+47 1975                                                                                                                                                                                                                                                                              |Star                                |12 37 02.7344886552 +47 03 30.052348236|130.0681409714805 +69.8699813697030| -32.744 25.395   |9.84     |G5             |    ~     ~    |    0|                |                       |        |                   
632 |HD 109781                                                                                                                                                                                                                                                                               |High Proper Motion Star             |12 37 02.6359362504 +46 40 55.784525952|130.2495552147580 +70.2410427352718| -37.392 47.422   |8.3      |G5III:         |    ~     ~    |    1|  310.675   pc  |  -1.9304     +1.9304  |paral   |2020yCat.1350....0G
633 |HD 110012                                                                                                                                                                                                                                                                               |Star                                |12 38 46.4285678856 +46 46 22.029898476|129.3426433106381 +70.1975151431689| 21.430 -26.988   |9.89     |A3V            |    ~     ~    |    1|  906.783   pc  | -28.0389    +28.0389  |paral   |2020yCat.1350....0G
634 |HD 109655                                                                                                                                                                                                                                                                               |Star                                |12 35 53.0952076080 +45 46 51.499913448|131.3240015882990 +71.0930121793995|  -8.236 19.751   |7.3      |K5III          |    ~     ~    |    1|  481.047   pc  |  -4.2810     +4.2810  |paral   |2020yCat.1350....0G
635 |BD+46 1799                                                                                                                                                                                                                                                                              |Star                                |12 36 21.0616034064 +46 08 33.378794304|130.8790208618883 +70.7521476364168|-16.264 -17.087   |9.8      |G9III          |    ~     ~    |    1|  598.802   pc  |  -4.5538     +4.5538  |paral   |2020yCat.1350....0G
636 |BD+46 1800                                                                                                                                                                                                                                                                              |Star                                |12 36 43.1799681240 +46 05 12.965280792|130.7176449419379 +70.8181777404542|  -4.281 -2.207   |10.30    |F5             |    ~     ~    |    1|  300.842   pc  |  -1.6472     +1.6472  |paral   |2020yCat.1350....0G
637 |BD+46 1804                                                                                                                                                                                                                                                                              |High Proper Motion Star             |12 37 41.2192631256 +46 13 28.558363620|130.1463050947915 +70.7105532280622| -75.453 41.871   |10.13    |F8             |    ~     ~    |    1|  119.964   pc  |  -0.5267     +0.5267  |paral   |2020yCat.1350....0G
638 |BD+46 1795                                                                                                                                                                                                                                                                              |Star                                |12 34 53.9638933536 +45 28 52.508720028|132.0293056837103 +71.3537386683862|   5.125 -3.540   |10.79    |G8III          |    ~     ~    |    1|  970.120   pc  | -12.6112    +12.6112  |paral   |2020yCat.1350....0G
639 |BD+46 1798                                                                                                                                                                                                                                                                              |High Proper Motion Star             |12 36 12.4856807616 +45 40 59.368560996|131.2084335998711 +71.1995641194010| 53.811 -54.550   |9.9      |G5             |    ~     ~    |    1|  178.358   pc  |  -0.4963     +0.4963  |paral   |2020yCat.1350....0G
640 |HD 109755                                                                                                                                                                                                                                                                               |Star                                |12 36 43.8722931744 +45 31 14.121062328|131.0196859891530 +71.3760116255078| -16.416 17.258   |8.75     |F2             |    ~     ~    |    1|  139.641   pc  |  -0.3744     +0.3744  |paral   |2020yCat.1350....0G
641 |BD+45 2050                                                                                                                                                                                                                                                                              |Star                                |12 35 25.1217829368 +44 49 28.206256800|132.1639880138910 +72.0154883227780|  -23.463 2.722   |9.4      |K0III          |    ~     ~    |    1|  411.032   pc  |  -2.6694     +2.6694  |paral   |2020yCat.1350....0G
642 |BD+45 2051                                                                                                                                                                                                                                                                              |Star                                |12 36 05.1267635664 +44 39 54.763756668|131.8890058311751 +72.1950718497800|  -26.409 2.385   |10.4     |G9III          |    ~     ~    |    1|  891.186   pc  | -13.5810    +13.5810  |paral   |2020yCat.1350....0G
643 |BD+45 2052                                                                                                                                                                                                                                                                              |Star                                |12 36 29.9757823224 +44 53 58.285803948|131.5088863841026 +71.9791218952128|  -12.958 6.844   |8.6      |G8III          |    ~     ~    |    1|  157.513   pc  |  -0.4739     +0.4739  |paral   |2020yCat.1350....0G
644 |BD+45 2053                                                                                                                                                                                                                                                                              |Star                                |12 36 33.7233500232 +45 06 10.755949752|131.3523134695304 +71.7812624826744| -14.224 -8.907   |10.4     |K0III          |    ~     ~    |    1|  889.442   pc  | -11.7875    +11.7875  |paral   |2020yCat.1350....0G
645 |HD 110278                                                                                                                                                                                                                                                                               |High Proper Motion Star             |12 40 37.8452653440 +46 47 23.074371024|128.4054664400299 +70.2234863152916| -94.756 31.341   |8.42     |G5             |    ~     ~    |    1|  100.843   pc  |  -0.2075     +0.2075  |paral   |2020yCat.1350....0G
646 |BD+47 1982                                                                                                                                                                                                                                                                              |Star                                |12 41 40.2558221856 +46 24 58.403439576|128.0089060229584 +70.6156297982270| 20.762 -13.905   |9.3      |K1III          |    ~     ~    |    1|  475.127   pc  |  -2.8895     +2.8895  |paral   |2020yCat.1350....0G
647 |BD+46 1806                                                                                                                                                                                                                                                                              |Star                                |12 38 41.5634098800 +46 09 54.598200840|129.6528941499171 +70.7964063360848| -25.416 20.414   |10.4     |K0III          |    ~     ~    |    1|  335.649   pc  |  -1.6110     +1.6110  |paral   |2020yCat.1350....0G
648 |BD+46 1813                                                                                                                                                                                                                                                                              |Star                                |12 42 09.4364704152 +45 45 43.787712204|127.9791359377138 +71.2750312274828|  -3.373 -1.115   |10.99    |G8III:         |    ~     ~    |    1| 1259.604   pc  | -27.6069    +27.6069  |paral   |2020yCat.1350....0G
649 |HD 110500                                                                                                                                                                                                                                                                               |High Proper Motion Star             |12 42 14.8681971360 +45 52 37.369561224|127.8907107552090 +71.1626185553438| -51.376 -4.365   |7.012    |kA3hA7VmF5     |    ~     ~    |    1|  104.133   pc  |  -1.5908     +1.5908  |paral   |2020yCat.1350....0G
650 |BD+46 1815                                                                                                                                                                                                                                                                              |Star                                |12 42 14.8451481432 +46 02 13.456948704|127.8365915217197 +71.0035590021903|  -35.690 9.071   |9.7      |G8III          |    ~     ~    |    1|  366.972   pc  |  -2.6260     +2.6260  |paral   |2020yCat.1350....0G
651 |HD 109838                                                                                                                                                                                                                                                                               |Pulsating Variable                  |12 37 33.4807370588 +45 15 13.555742663|130.7160517747063 +71.6641201980266|  13.402 18.307   |8.03     |F2IV           |    ~     ~    |    1|  105.062   pc  |  -0.2560     +0.2560  |paral   |2020yCat.1350....0G
652 |BD+46 1803                                                                                                                                                                                                                                                                              |Star                                |12 37 37.0098087264 +45 21 29.359325952|130.6273443149901 +71.5630197429847|   9.829 -3.137   |10.7     |G5             |    ~     ~    |    1|  978.378   pc  | -15.0284    +15.0284  |paral   |2020yCat.1350....0G
653 |HD 109979                                                                                                                                                                                                                                                                               |High Proper Motion Star             |12 38 32.7579199896 +45 13 01.531590096|130.1891727416110 +71.7290599537070|-140.795 -35.817  |7.230    |F2             |    ~     ~    |    1|   60.282   pc  |  -0.0701     +0.0701  |paral   |2020yCat.1350....0G
654 |BD+46 1807                                                                                                                                                                                                                                                                              |Star                                |12 38 46.4052039216 +45 39 04.122454248|129.8505885625535 +71.3065968927054|   -5.855 8.413   |10.13    |F8             |    ~     ~    |    1|  297.424   pc  |  -2.8396     +2.8396  |paral   |2020yCat.1350....0G
655 |BD+46 1811                                                                                                                                                                                                                                                                              |Star                                |12 40 37.9062914856 +45 13 12.718576956|129.0272382972278 +71.7799445874536| -25.658 -3.513   |9.6      |K0III          |    ~     ~    |    1|  833.264   pc  | -10.9010    +10.9010  |paral   |2020yCat.1350....0G
656 |BD+45 2057                                                                                                                                                                                                                                                                              |Spectroscopic Binary                |12 39 45.1570511112 +44 52 55.119968940|129.6766506315402 +72.0929298992692|-25.047 -16.921   |8.9      |K1III          |    ~     ~    |    1|  937.207   pc  | -46.6408    +46.6408  |paral   |2020yCat.1350....0G
657 |BD+45 2058                                                                                                                                                                                                                                                                              |Star                                |12 42 43.3282641240 +44 37 12.926435736|128.0727119844069 +72.4208947117212|    3.447 3.990   |9.6      |G8III          |    ~     ~    |    1|  606.649   pc  | -16.9291    +16.9291  |paral   |2020yCat.1350....0G
658 |BD+45 2059                                                                                                                                                                                                                                                                              |Star                                |12 43 40.4970205608 +44 44 01.600906560|127.4768682991722 +72.3259050663760| -38.592 -1.516   |10.1     |G6III          |    ~     ~    |    1|  213.908   pc  |  -0.7687     +0.7687  |paral   |2020yCat.1350....0G
659 |BD+45 2060                                                                                                                                                                                                                                                                              |Star                                |12 44 06.6323310120 +44 42 31.153815288|127.2309740276571 +72.3583844249308|  -17.990 6.340   |9.8      |K0III          |    ~     ~    |    1|  546.568   pc  |  -4.6304     +4.6304  |paral   |2020yCat.1350....0G
660 |HD 110870                                                                                                                                                                                                                                                                               |Spectroscopic Binary                |12 44 52.7120712600 +44 54 09.026981640|126.7291029260806 +72.1773524652411|  6.746 -11.308   |9.12     |G0             |    ~     ~    |    1|  139.260   pc  |  -3.6673     +3.6673  |paral   |2020yCat.1350....0G
661 |RX J1244.3+4619                                                                                                                                                                                                                                                                         |Rotating Variable                   |12 44 20.1955568952 +46 19 13.985539104|126.6540184303570 +70.7563456057234|    9.819 1.993   |10.89    |~              |    ~     ~    |    1|  365.657   pc  |  -2.4468     +2.4468  |paral   |2020yCat.1350....0G
662 |TYC 3020-1932-1                                                                                                                                                                                                                                                                         |High Proper Motion Star             |12 37 44.7845190096 +44 51 15.770091492|130.8312892157931 +72.0632802885384|  62.286 -8.514   |10.08    |~              |    ~     ~    |    1|  171.990   pc  |  -0.4999     +0.4999  |paral   |2020yCat.1350....0G
663 |TYC 3456-62-1                                                                                                                                                                                                                                                                           |Star                                |12 35 46.7174527824 +45 26 23.782471116|131.5808981617095 +71.4244281372962| 17.581 -17.178   |10.88    |~              |    ~     ~    |    1|  363.835   pc  |  -2.2901     +2.2901  |paral   |2020yCat.1350....0G
664 |TYC 3456-116-1                                                                                                                                                                                                                                                                          |Star                                |12 37 26.7250340112 +45 14 40.974499176|130.7830650579556 +71.6696281535269|-13.279 -31.077   |10.83    |~              |    ~     ~    |    1|  250.947   pc  |  -3.2936     +3.2936  |paral   |2020yCat.1350....0G
665 |TYC 3456-148-1                                                                                                                                                                                                                                                                          |Star                                |12 42 00.5672556072 +45 13 26.843280780|128.2553745108960 +71.8065475554209| -10.182 -2.379   |10.94    |~              |    ~     ~    |    1|  513.637   pc  |  -7.4134     +7.4134  |paral   |2020yCat.1350....0G
666 |TYC 3456-362-1                                                                                                                                                                                                                                                                          |Star                                |12 34 15.7488207336 +45 00 20.134944900|132.6878647261063 +71.7958943460070|  -22.192 9.897   |10.34    |~              |    ~     ~    |    1|  276.068   pc  |  -7.7814     +7.7814  |paral   |2020yCat.1350....0G
667 |TYC 3456-512-1                                                                                                                                                                                                                                                                          |Red Giant Branch star               |12 43 19.7334222336 +45 06 19.157545188|127.5539166954894 +71.9500872723339|-33.704 -21.551   |10.87    |G9III          |    ~     ~    |    1|  727.537   pc  |  -7.8338     +7.8338  |paral   |2020yCat.1350....0G
668 |TYC 3456-581-1                                                                                                                                                                                                                                                                          |Star                                |12 40 47.9014016496 +47 17 13.259057280|128.1460477891077 +69.7333752705820| -27.821 -0.759   |10.40    |~              |    ~     ~    |    1|  240.512   pc  |  -1.3536     +1.3536  |paral   |2020yCat.1350....0G
669 |TYC 3456-1045-1                                                                                                                                                                                                                                                                         |Star                                |12 42 20.5142553864 +46 40 21.930179052|127.5811844858403 +70.3732960720907|    0.676 1.968   |10.91    |~              |    ~     ~    |    1|  414.302   pc  |  -3.2269     +3.2269  |paral   |2020yCat.1350....0G
670 |TYC 3456-1092-1                                                                                                                                                                                                                                                                         |Star                                |12 36 59.8618743888 +47 02 02.708914164|130.1030093117556 +69.8925938019995|  -0.230 -7.710   |10.55    |K4             |    ~     ~    |    1| 1762.115   pc  | -45.3337    +45.3337  |paral   |2020yCat.1350....0G
671 |TYC 3456-1144-1                                                                                                                                                                                                                                                                         |Star                                |12 40 55.2437298960 +46 38 06.207581364|128.3154632348317 +70.3831046567149|-45.952 -16.580   |9.95     |~              |    ~     ~    |    1|  138.104   pc  |  -0.2975     +0.2975  |paral   |2020yCat.1350....0G
672 |TYC 3456-1466-1                                                                                                                                                                                                                                                                         |Star                                |12 44 12.9096672144 +46 08 33.926743428|126.7637034749701 +70.9317204383304|   -4.296 0.782   |10.88    |K0III:         |    ~     ~    |    1| 1117.568   pc  | -18.3597    +18.3597  |paral   |2020yCat.1350....0G
673 |TYC 3456-1945-1                                                                                                                                                                                                                                                                         |Star                                |12 39 50.3240298768 +45 37 00.616082268|129.2907318673655 +71.3679345777548|    8.819 1.969   |10.93    |~              |    ~     ~    |    1|  328.235   pc  |  -2.3271     +2.3271  |paral   |2020yCat.1350....0G
674 |BD+48 2029                                                                                                                                                                                                                                                                              |High Proper Motion Star             |12 31 03.4465047480 +47 25 04.006679700|132.7296080845878 +69.3208810525092|-45.995 -66.298   |9.76     |G8III          |    ~     ~    |    1|  149.703   pc  |  -0.3048     +0.3048  |paral   |2020yCat.1350....0G
675 |BD+48 2038                                                                                                                                                                                                                                                                              |Pulsating Variable                  |12 35 13.5478570800 +47 14 46.209903900|130.8557344129962 +69.6318732502276|-34.534 -29.645   |10.83    |A3V            |    ~     ~    |    1|  593.437   pc  |  -8.8042     +8.8042  |paral   |2020yCat.1350....0G
676 |BD+48 2030                                                                                                                                                                                                                                                                              |Star                                |12 31 33.2190347784 +47 17 22.682034132|132.5775444679685 +69.4644774121937|   4.638 -6.817   |9.95     |K0III          |    ~     ~    |    1|  890.313   pc  | -10.3838    +10.3838  |paral   |2020yCat.1350....0G
677 |BD+47 1966                                                                                                                                                                                                                                                                              |Star                                |12 30 58.2730651176 +46 57 36.444751668|133.0671971187588 +69.7633092868608|  -7.244 -9.018   |9.35     |G8III          |    ~     ~    |    1|  248.077   pc  |  -0.7570     +0.7570  |paral   |2020yCat.1350....0G
678 |BD+47 1968                                                                                                                                                                                                                                                                              |Star                                |12 32 48.7238257248 +46 58 50.938354200|132.1672657268264 +69.8120301239077| -16.596 -0.766   |9.34     |G8III          |    ~     ~    |    1|  558.036   pc  |  -4.4531     +4.4531  |paral   |2020yCat.1350....0G
679 |HD 109400                                                                                                                                                                                                                                                                               |High Proper Motion Star             |12 34 03.4095997200 +46 44 51.656262360|131.6981987390582 +70.0836119207335|-53.379 -33.989   |7.3      |G9III          |    ~     ~    |    1|  287.869   pc  |  -1.5248     +1.5248  |paral   |2020yCat.1350....0G
680 |HD 109496                                                                                                                                                                                                                                                                               |Star                                |12 34 42.4845703056 +47 00 26.583752952|131.2329744217096 +69.8503015650246| -10.090 -8.932   |7.61     |K3IV:          |    ~     ~    |    1|  642.055   pc  |  -7.6263     +7.6263  |paral   |2020yCat.1350....0G
681 |HD 109068                                                                                                                                                                                                                                                                               |Star                                |12 31 38.4109636152 +45 13 32.229637068|133.9588919914786 +71.4763662596360| -27.120 -7.049   |7.66     |A7V            |    ~     ~    |    1|  226.927   pc  |  -2.5748     +2.5748  |paral   |2020yCat.1350....0G
682 |V* BW CVn                                                                                                                                                                                                                                                                               |Long-Period Variable                |12 32 14.3713945608 +45 29 50.330747652|133.4378138600950 +71.2372936386561|  -3.806 -5.630   |8.7      |M1III          |    ~     ~    |    1|  708.818   pc  | -11.3547    +11.3547  |paral   |2020yCat.1350....0G
683 |HD 109268                                                                                                                                                                                                                                                                               |Star                                |12 33 09.8843036208 +45 20 14.737582428|133.0572010808039 +71.4298697335800|   3.573 -1.075   |9.06     |A2V            |    ~     ~    |    1|  440.723   pc  |  -5.1473     +5.1473  |paral   |2020yCat.1350....0G
684 |BD+45 2045                                                                                                                                                                                                                                                                              |Star                                |12 32 49.2775278936 +44 46 41.363372388|133.6510495792500 +71.9606081251958|-25.759 -13.228   |10.36    |K2             |    ~     ~    |    1| 2616.431   pc  | -92.4171    +92.4171  |paral   |2020yCat.1350....0G
685 |TYC 3020-2014-1                                                                                                                                                                                                                                                                         |High Proper Motion Star             |12 31 23.1584171448 +44 55 57.785845800|134.3243290294060 +71.7493460742741|  -52.373 2.073   |10.83    |~              |    ~     ~    |    1|  267.001   pc  |  -1.0551     +1.0551  |paral   |2020yCat.1350....0G
686 |TYC 3020-2075-1                                                                                                                                                                                                                                                                         |Star                                |12 33 46.6959919200 +44 51 39.754737720|133.0572603949400 +71.9184020615813|-45.944 -16.089   |10.61    |G5             |    ~     ~    |    1|  116.993   pc  |  -0.2108     +0.2108  |paral   |2020yCat.1350....0G
687 |TYC 3456-260-1                                                                                                                                                                                                                                                                          |High Proper Motion Star             |12 32 17.6395620408 +45 09 59.879744136|133.6503268176811 +71.5610943159338|-87.320 -24.873   |9.87     |~              |    ~     ~    |    1|  119.838   pc  |  -1.7765     +1.7765  |paral   |2020yCat.1350....0G
688 |TYC 3456-945-1                                                                                                                                                                                                                                                                          |Star                                |12 30 32.6031832008 +46 46 33.206115972|133.3980436046374 +69.9254611984938| -5.430 -20.006   |10.45    |~              |    ~     ~    |    1|  267.652   pc  |  -1.1247     +1.1247  |paral   |2020yCat.1350....0G
689 |TYC 3456-1247-1                                                                                                                                                                                                                                                                         |High Proper Motion Star             |12 33 13.8072035544 +46 18 06.088415040|132.3815575186978 +70.4910492192097|-23.391 -79.439   |10.87    |~              |    ~     ~    |    1|  168.870   pc  |  -0.5304     +0.5304  |paral   |2020yCat.1350....0G
690 |TYC 3456-1270-1                                                                                                                                                                                                                                                                         |Spectroscopic Binary                |12 35 20.5678963632 +46 50 10.277546676|131.0151304407031 +70.0386447222285|  14.066 -7.380   |10.76    |~              |    ~     ~    |    1|  245.242   pc  |  -6.1768     +6.1768  |paral   |2020yCat.1350....0G
691 |TYC 3456-1470-1                                                                                                                                                                                                                                                                         |Star                                |12 36 25.6162362864 +47 10 11.202357036|130.3155061174734 +69.7426882747083|   0.857 -0.114   |10.34    |G8III          |    ~     ~    |    1|  879.585   pc  | -11.9145    +11.9145  |paral   |2020yCat.1350....0G
692 |GSC 03456-01535                                                                                                                                                                                                                                                                         |Double or Multiple Star             |12 36 18.9632378136 +47 23 52.321739316|130.2587093306037 +69.5146812579464|-35.587 -15.104   |10.811   |~              |    ~     ~    |    1|  182.442   pc  |  -1.3314     +1.3314  |paral   |2020yCat.1350....0G
693 |BD+45 2041                                                                                                                                                                                                                                                                              |Star                                |12 30 43.9088329704 +44 44 27.853917864|134.8397599755983 +71.9053479183791|-16.788 -13.420   |10.2     |K0III          |    ~     ~    |    1|  583.873   pc  |  -4.9432     +4.9432  |paral   |2020yCat.1350....0G
694 |BD+45 2044                                                                                                                                                                                                                                                                              |Star                                |12 32 21.0844563792 +44 40 54.154858368|133.9872529183750 +72.0345700860765|-43.929 -10.131   |9.45     |F8             |    ~     ~    |    1|  161.757   pc  |  -0.3768     +0.3768  |paral   |2020yCat.1350....0G
695 |BD+45 2046                                                                                                                                                                                                                                                                              |Horizontal Branch Star              |12 33 18.1189496208 +44 13 26.088738636|133.8024834411488 +72.5195341886806| -9.252 -10.280   |10.88    |G8III          |    ~     ~    |    1|  995.124   pc  | -13.1706    +13.1706  |paral   |2020yCat.1350....0G
696 |BD+44 2196                                                                                                                                                                                                                                                                              |Star                                |12 30 52.9837852536 +44 11 19.342075848|135.2263923070210 +72.4455619814614|  -7.570 -2.944   |9.0      |K2III          |    ~     ~    |    1|  750.413   pc  |  -9.5730     +9.5730  |paral   |2020yCat.1350....0G
697 |BD+44 2197                                                                                                                                                                                                                                                                              |Star                                |12 31 39.1104969504 +44 04 05.519854596|134.8874222128735 +72.5978389593318|  -10.303 4.592   |10.62    |F8             |    ~     ~    |    1|  208.268   pc  |  -0.6420     +0.6420  |paral   |2020yCat.1350....0G
