C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:06:06

dec >=0&rah >=12.5&rah< 12.75&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2283

 #  |                                                                                                                                       identifier                                                                                                                                       |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
21  |BD+84 283                                                                                                                                                                                                                                                                               |Star                                |12 38 01.6442440584 +83 28 21.197860176|123.3894761742470 +33.6437793931832|  1.879 -14.462   |10.31    |~              |    ~     ~    |    1|  420.451   pc  |  -8.2732     +8.2732  |paral   |2020yCat.1350....0G
22  |BD+84 285                                                                                                                                                                                                                                                                               |Star                                |12 39 09.8676488275 +83 34 38.116662365|123.3435402230716 +33.5411858636254|       9.0 -4.2   |10.27    |F5             |    ~     ~    |    0|                |                       |        |                   
23  |BD+83 358                                                                                                                                                                                                                                                                               |Star                                |12 36 50.2540168800 +82 35 15.056244816|123.5031140576295 +34.5245374889806|  -26.949 1.144   |10.02    |G5             |    ~     ~    |    1|  274.251   pc  |  -0.9627     +0.9627  |paral   |2020yCat.1350....0G
24  |BD+83 360                                                                                                                                                                                                                                                                               |Star                                |12 43 39.1524653544 +82 13 42.629199024|123.2527486512298 +34.8948939976949|  3.140 -37.491   |10.88    |K0             |    ~     ~    |    1|  258.538   pc  |  -0.9759     +0.9759  |paral   |2020yCat.1350....0G
25  |BD+83 361                                                                                                                                                                                                                                                                               |Double or Multiple Star             |12 43 39.6845764512 +82 52 51.658002804|123.2233277106016 +34.2428358217246|116.660 -98.973   |10.45    |G5             |    ~     ~    |    1|  133.367   pc  |  -7.9454     +7.9454  |paral   |2020yCat.1350....0G
26  |BD+83 362                                                                                                                                                                                                                                                                               |Star                                |12 44 29.1472703112 +82 26 56.870081232|123.2095971682125 +34.6753732945636|   2.479 -3.968   |10.54    |G5             |    ~     ~    |    1|  975.800   pc  | -11.9975    +11.9975  |paral   |2020yCat.1350....0G
27  |BD+82 368                                                                                                                                                                                                                                                                               |High Proper Motion Star             |12 34 02.7856746168 +81 56 04.725038976|123.6774631582696 +35.1684158015083|  15.518 69.308   |9.49     |G0             |    ~     ~    |    1|   78.399   pc  |  -0.0584     +0.0584  |paral   |2020yCat.1350....0G
28  |BD+82 371                                                                                                                                                                                                                                                                               |Star                                |12 42 18.1495808376 +81 45 51.823366668|123.3329533604677 +35.3567424776312|   0.318 -2.919   |10.60    |K0             |    ~     ~    |    1|  836.540   pc  |  -8.6075     +8.6075  |paral   |2020yCat.1350....0G
29  |BD+82 367                                                                                                                                                                                                                                                                               |Star                                |12 30 06.1876753416 +81 39 31.984653744|123.8801761826080 +35.4300505418260|  11.880 -3.785   |10.54    |K5             |    ~     ~    |    1| 1002.808   pc  | -10.4585    +10.4585  |paral   |2020yCat.1350....0G
30  |BD+82 369                                                                                                                                                                                                                                                                               |Star                                |12 34 50.1211446720 +81 29 31.111083096|123.6866298309280 +35.6119345062123|   4.329 -5.862   |9.68     |M              |    ~     ~    |    1| 1270.325   pc  | -28.8857    +28.8857  |paral   |2020yCat.1350....0G
31  |BD+82 372                                                                                                                                                                                                                                                                               |Star                                |12 44 11.7606503328 +81 41 29.603156640|123.2529542490092 +35.4321814331991| -14.073 -0.360   |10.00    |G5             |    ~     ~    |    1|  662.954   pc  | -11.3833    +11.3833  |paral   |2020yCat.1350....0G
32  |TYC 4557-639-1                                                                                                                                                                                                                                                                          |High Proper Motion Star             |12 40 38.9411946576 +82 21 34.111153368|123.3682789630993 +34.7596341282510| -62.992 -0.268   |10.84    |~              |    ~     ~    |    1|  247.795   pc  |  -0.7245     +0.7245  |paral   |2020yCat.1350....0G
33  |BD+82 370                                                                                                                                                                                                                                                                               |Star                                |12 39 42.0385284456 +81 14 17.664493668|123.4833263057316 +35.8774424620138|   -7.791 2.310   |10.19    |F2             |    ~     ~    |    1|  250.746   pc  |  -0.8865     +0.8865  |paral   |2020yCat.1350....0G
34  |HD 109518                                                                                                                                                                                                                                                                               |Star                                |12 33 23.1878958864 +80 56 41.269126092|123.8106873268155 +36.1526343572280| 32.656 -16.021   |8.18     |G5             |    ~     ~    |    1|  286.303   pc  |  -1.4099     +1.4099  |paral   |2020yCat.1350....0G
35  |HD 109646                                                                                                                                                                                                                                                                               |Spectroscopic Binary                |12 34 16.4164169928 +80 15 01.988195652|123.8391612945741 +36.8474457108680|-100.476 -4.392   |7.27     |F2             |    ~     ~    |    1|  129.029   pc  |  -1.6798     +1.6798  |paral   |2020yCat.1350....0G
36  |HD 111112                                                                                                                                                                                                                                                                               |High Proper Motion Star             |12 44 26.0150914704 +80 37 15.672906552|123.2868759454268 +36.5024043491206| 31.539 -42.785   |6.340    |A5m            |    ~     ~    |    1|  142.043   pc  |  -1.9228     +1.9228  |paral   |2020yCat.1350....0G
37  |HD 110010                                                                                                                                                                                                                                                                               |Spectroscopic Binary                |12 37 19.3007880240 +79 12 56.040453936|123.7681502117069 +37.8897556766898|-139.080 -15.553  |6.990    |G0             |    ~     ~    |    1|   34.957   pc  |  -0.3407     +0.3407  |paral   |2020yCat.1350....0G
