C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:37:44

dec >=0&rah >=3.5&rah< 3.75&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4199

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
22  |TYC 2870-205-1                                                                                           |Star                                  |03 32 01.1125660392 +41 53 37.319379396|152.2737930610128 -11.6501732429118|  -4.959 -8.302    |10.78    |~                 |    ~     ~    |    1|  466.636   pc  |  -4.5074     +4.5074  |paral   |2020yCat.1350....0G
23  |TYC 2870-441-1                                                                                           |Star                                  |03 31 01.7855793144 +42 01 52.874879268|152.0393646592915 -11.6458802000231|  20.662 -9.250    |10.72    |~                 |    ~     ~    |    1|  395.179   pc  |  -3.1702     +3.1702  |paral   |2020yCat.1350....0G
24  |TYC 2870-604-1                                                                                           |Star                                  |03 32 03.1458281184 +41 58 12.304550136|152.2333216517712 -11.5845771883606|  -4.067 -2.733    |9.97     |~                 |    ~     ~    |    1|  850.123   pc  | -12.6474    +12.6474  |paral   |2020yCat.1350....0G
25  |TYC 2870-2205-1                                                                                          |Star                                  |03 30 15.7567973088 +41 41 31.172126244|152.1225169353814 -12.0049680714489|   3.527 -0.994    |10.53    |~                 |    ~     ~    |    1|  715.820   pc  |  -8.0959     +8.0959  |paral   |2020yCat.1350....0G
26  |HD 21630                                                                                                 |High Proper Motion Star               |03 31 04.0823021256 +39 38 40.868382048|153.4763396514659 -13.5772007514968|113.838 -45.288    |8.64     |G0                |    ~     ~    |    1|  141.916   pc  |  -0.5035     +0.5035  |paral   |2020yCat.1350....0G
27  |HD 21974                                                                                                 |Star                                  |03 34 02.2730838000 +39 18 22.488638688|154.1575348211767 -13.5108117410068|  15.417 -9.392    |8.10     |K5                |    ~     ~    |    1|  244.123   pc  |  -1.5793     +1.5793  |paral   |2020yCat.1350....0G
28  |HD 275475                                                                                                |Star                                  |03 34 30.4665920496 +39 10 56.272614888|154.3087183400154 -13.5559276279437|  9.737 -10.872    |9.90     |F5                |    ~     ~    |    1|  497.859   pc  |  -4.7590     +4.7590  |paral   |2020yCat.1350....0G
29  |HD 22137                                                                                                 |Star                                  |03 35 29.6125805904 +39 09 49.555312344|154.4774487450150 -13.4562922607226|  -3.957 -8.107    |9.35     |A2                |    ~     ~    |    1|  382.922   pc  |  -5.1760     +5.1760  |paral   |2020yCat.1350....0G
30  |V* RU Per                                                                                                |Long-Period Variable                  |03 30 30.2814448416 +39 39 29.222690472|153.3778777435712 -13.6299299741667|   0.190 -7.258    |10.58    |M4                |0.0050  0.0    |    1|  836.750   pc  | -47.6803    +47.6803  |paral   |2020yCat.1350....0G
31  |HD 275558                                                                                                |Star                                  |03 36 10.4572599216 +39 02 54.830725620|154.6571818944741 -13.4688725238251|  -1.270 -9.534    |9.25     |K5                |    ~     ~    |    1|  820.681   pc  | -15.0868    +15.0868  |paral   |2020yCat.1350....0G
32  |HD 275560                                                                                                |Star                                  |03 35 24.8155215336 +38 57 41.397354756|154.5896464121020 -13.6273312213994|-17.009 -20.591    |10.82    |F5                |    ~     ~    |    1|  159.706   pc  |  -0.4566     +0.4566  |paral   |2020yCat.1350....0G
33  |HD 275473                                                                                                |Star                                  |03 32 05.8814797800 +39 27 25.629145488|153.7550764632293 -13.6118338631474|  -6.727 -2.198    |10.75    |K2                |    ~     ~    |    1| 1047.998   pc  | -16.5843    +16.5843  |paral   |2020yCat.1350....0G
34  |HD 275474                                                                                                |Star                                  |03 32 48.0813202344 +39 17 10.225488192|153.9719247187352 -13.6691968768594|  4.073 -15.072    |10.77    |G0                |    ~     ~    |    1|  190.074   pc  |  -0.5600     +0.5600  |paral   |2020yCat.1350....0G
35  |IRAS 03294+3859                                                                                          |Long-Period Variable Candidate        |03 32 46.2487781064 +39 09 38.945561760|154.0435412657313 -13.7736413493445|   0.252 -3.992    |10.67    |~                 |    ~     ~    |    1| 2146.38    pc  |-118.399    +118.399   |paral   |2020yCat.1350....0G
36  |HD 275381                                                                                                |Star                                  |03 30 26.0729959680 +39 23 25.717907328|153.5280429752727 -13.8547347941502|  13.561 -6.462    |10.10    |F2                |    ~     ~    |    1|  537.346   pc  | -15.4765    +15.4765  |paral   |2020yCat.1350....0G
37  |HD 275470                                                                                                |Star                                  |03 31 42.7892929584 +39 40 02.654626548|153.5658708144462 -13.4857863211072|   0.803 -1.420    |10.70    |K5                |    ~     ~    |    1| 1511.487   pc  | -36.7820    +36.7820  |paral   |2020yCat.1350....0G
38  |HD 275472                                                                                                |Star                                  |03 31 12.1824523080 +39 29 35.099484936|153.5896822529922 -13.6845652143231|   6.833 -7.911    |10.84    |A0                |    ~     ~    |    1|  717.721   pc  | -26.8894    +26.8894  |paral   |2020yCat.1350....0G
39  |HD 275476                                                                                                |Star                                  |03 32 46.4376341760 +39 03 21.572470188|154.1080822585813 -13.8576701179609|  4.911 -12.441    |10.10    |A2                |    ~     ~    |    1|  322.716   pc  |  -7.7172     +7.7172  |paral   |2020yCat.1350....0G
40  |HD 275477                                                                                                |Star                                  |03 34 41.2005311352 +38 54 41.108118156|154.5041468957130 -13.7521873578544|  -0.436 -0.398    |10.74    |A0                |    ~     ~    |    1|  564.972   pc  |  -6.4477     +6.4477  |paral   |2020yCat.1350....0G
41  |HD 275349                                                                                                |Star                                  |03 30 27.1081479912 +40 57 41.665987836|152.5873015692897 -12.5781522677271|  -9.656 -0.053    |9.10     |K0                |    ~     ~    |    1|  512.138   pc  | -13.3765    +13.3765  |paral   |2020yCat.1350....0G
42  |HD 275448                                                                                                |Star                                  |03 31 11.8651985232 +40 48 21.316716216|152.7977388066788 -12.6220834459989|   3.105 -2.088    |8.92     |K0                |    ~     ~    |    1|  342.419   pc  |  -2.6264     +2.6264  |paral   |2020yCat.1350....0G
