C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:37:44

dec >=0&rah >=3.5&rah< 3.75&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4199

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
995 |BD+50 811                                                                                                |Star                                  |03 44 54.6451589592 +50 27 50.882531688|148.9025397157297 -03.4499652308751|  -3.795 -5.783    |10.64    |A5                |    ~     ~    |    1|  500.425   pc  |  -7.1622     +7.1622  |paral   |2020yCat.1350....0G
996 |HD 22718                                                                                                 |High Proper Motion Star               |03 41 25.6544959920 +50 49 17.644135728|148.2455493546923 -03.5013760117676| -34.243 59.048    |8.20     |G0                |    ~     ~    |    1|   86.639   pc  |  -0.1614     +0.1614  |paral   |2020yCat.1350....0G
997 |TYC 3321-578-1                                                                                           |Star                                  |03 42 47.0483038944 +50 18 15.123011292|148.7308560083768 -03.7833450669799| 10.395 -10.179    |10.04    |~                 |    ~     ~    |    1|  521.812   pc  |  -3.9209     +3.9209  |paral   |2020yCat.1350....0G
998 |TYC 3321-759-1                                                                                           |Star                                  |03 44 41.3277577800 +50 31 38.804416680|148.8357594172949 -03.4214913507636| 46.668 -13.227    |10.8     |~                 |    ~     ~    |    1|  290.630   pc  |  -1.2248     +1.2248  |paral   |2020yCat.1350....0G
999 |TYC 3325-92-1                                                                                            |Star                                  |03 43 36.0373675248 +50 54 35.609390892|148.4653632881301 -03.2235067296556| 23.099 -33.523    |10.96    |~                 |    ~     ~    |    1|  254.285   pc  |  -2.2502     +2.2502  |paral   |2020yCat.1350....0G
1000|Cl Melotte 20 1340                                                                                       |Star                                  |03 41 25.1187124032 +50 52 49.628711208|148.2088885311762 -03.4552206829172|  -4.336 -8.690    |10.28    |~                 |    ~     ~    |    1|  274.657   pc  |  -1.2296     +1.2296  |paral   |2020yCat.1350....0G
1001|Cl Melotte 20 1345                                                                                       |Spectroscopic Binary                  |03 41 25.2501962232 +50 44 11.053223988|148.2960960400814 -03.5699968228899| -6.429 -10.316    |9.86     |~                 |    ~     ~    |    1|  246.305   pc  |  -1.6926     +1.6926  |paral   |2020yCat.1350....0G
1002|HD 21538                                                                                                 |Star                                  |03 31 26.3549848560 +58 42 15.504493680|142.4504713232530 +02.0338523907860|  -2.959 -7.312    |9.13     |K1IV              |    ~     ~    |    1|  385.535   pc  |  -2.8241     +2.8241  |paral   |2020yCat.1350....0G
1003|HD 237149                                                                                                |Double or Multiple Star               |03 32 54.9925674350 +58 50 08.574578777|142.5317191232948 +02.2514353731795|  21.921 -7.946    |9.50     |F5                |    ~     ~    |    1|  312.2073  pc  | -28.8034    +28.8034  |paral   |2018yCat.1345....0G
1004|HD 237150                                                                                                |Spectroscopic Binary                  |03 33 29.8430308080 +58 45 45.828999396|142.6353650570081 +02.2353265579073| 11.076 -34.157    |7.86     |F2                |    ~     ~    |    1|   93.884   pc  |  -0.2821     +0.2821  |paral   |2020yCat.1350....0G
1005|HD 21769                                                                                                 |Star                                  |03 33 32.2069887912 +58 45 54.875785212|142.6380785956985 +02.2403317949703| 14.584 -44.649    |6.409    |kA4hA5mA6(V)      |    ~     ~    |    1|   93.960   pc  |  -0.2234     +0.2234  |paral   |2020yCat.1350....0G
1006|** STF 396C                                                                                              |Star                                  |03 33 52.7 +58 45 20                   |142.6798 +02.2581                  |            ~ ~    |10.8     |~                 |    ~     ~    |    0|                |                       |        |                   
1007|HD 237153                                                                                                |Emission-line Star                    |03 34 37.6344621048 +58 38 43.292711724|142.8231134173746 +02.2248816845149|   1.376 -1.262    |9.33     |B8Ib              |    ~     ~    |    1| 2444.390   pc  | -78.2731    +78.2731  |paral   |2020yCat.1350....0G
1008|HD 21894                                                                                                 |Star                                  |03 34 41.8174306440 +58 35 08.421649116|142.8652651285319 +02.1816299531118|  -1.887 -1.291    |7.97     |OB                |    ~     ~    |    1| 1064.056   pc  | -30.6830    +30.6830  |paral   |2020yCat.1350....0G
1009|HD 237148                                                                                                |Star                                  |03 31 20.7881487120 +58 29 38.228252820|142.5610036882617 +01.8544318276455|   4.077 -3.113    |8.65     |M2III             |    ~     ~    |    1| 1058.089   pc  | -62.3591    +62.3591  |paral   |2020yCat.1350....0G
1010|HD 21784                                                                                                 |Spectroscopic Binary                  |03 33 37.0136923152 +58 15 48.048297660|142.9372858031052 +01.8370970616781| 25.538 -23.919    |8.40     |A2                |    ~     ~    |    1|  163.816   pc  |  -0.9527     +0.9527  |paral   |2020yCat.1350....0G
1011|HD 21794                                                                                                 |Double or Multiple Star               |03 33 41.2409712600 +57 52 07.428128268|143.1734210334386 +01.5207154799455|   4.951 35.310    |6.380    |F7V               |    ~     ~    |    1|   68.273   pc  |  -1.1089     +1.1089  |paral   |2020yCat.1350....0G
1012|HD 22020                                                                                                 |Star                                  |03 35 51.6217439088 +57 49 41.736377532|143.4321375656937 +01.6561110277032|  9.560 -15.826    |9.22     |F2                |    ~     ~    |    1|  155.287   pc  |  -0.3617     +0.3617  |paral   |2020yCat.1350....0G
1013|HD 237156                                                                                                |Star                                  |03 36 44.2946937216 +57 48 23.856804720|143.5395400294396 +01.7071685338202| 31.404 -25.061    |9.68     |K5                |    ~     ~    |    1|  541.243   pc  |  -5.4488     +5.4488  |paral   |2020yCat.1350....0G
1014|HD 22297                                                                                                 |Star                                  |03 38 19.9814655480 +57 41 10.692347424|143.7824215800434 +01.7356360215000|  -4.402 -1.398    |8.80     |A0:III:           |    ~     ~    |    1|  610.687   pc  |  -6.2281     +6.2281  |paral   |2020yCat.1350....0G
1015|HD 22678                                                                                                 |Star                                  |03 41 42.1610710824 +57 30 23.577226200|144.2520443376312 +01.8612186022435| -15.138 -2.587    |8.31     |K0III             |    ~     ~    |    1|  282.749   pc  |  -1.5510     +1.5510  |paral   |2020yCat.1350....0G
1016|BD+56 815                                                                                                |High Proper Motion Star               |03 30 42.5155889568 +57 11 31.843144500|143.2348311145196 +00.7372840907565| 94.241 -12.459    |10.43    |K0                |    ~     ~    |    1|   92.198   pc  |  -0.1632     +0.1632  |paral   |2020yCat.1350....0G
1017|HD 237151                                                                                                |Star                                  |03 33 56.7757536120 +56 56 22.206832116|143.7402096654780 +00.7834464897690|  11.900 -6.434    |9.00     |K3III             |    ~     ~    |    1|  428.614   pc  |  -3.4170     +3.4170  |paral   |2020yCat.1350....0G
1018|HD 237157                                                                                                |High Proper Motion Star               |03 36 54.3819995256 +56 52 24.088348020|144.1068941893801 +00.9656873950503| 10.873 -29.045    |10.19    |F5                |    ~     ~    |    0|                |                       |        |                   
1019|HD 22253                                                                                                 |Star                                  |03 37 44.1480233112 +56 44 21.788520648|144.2775919588085 +00.9243829625403|  -2.263 -0.291    |6.526    |B0.5III           |    ~     ~    |    1|  702.642   pc  | -15.3049    +15.3049  |paral   |2020yCat.1350....0G
1020|HD 237158                                                                                                |Star                                  |03 37 56.0686256712 +57 06 33.308846136|144.0808377175823 +01.2387678117135|  -5.754 -1.314    |9.32     |B8                |    ~     ~    |    1|  521.268   pc  |  -3.8041     +3.8041  |paral   |2020yCat.1350....0G
1021|BD+56 827                                                                                                |Star                                  |03 38 35.6059672176 +56 51 23.751082008|144.3028453446657 +01.0883516462426|-21.800 -14.481    |10.04    |F8V               |    ~     ~    |    1|  153.872   pc  |  -0.3362     +0.3362  |paral   |2020yCat.1350....0G
1022|HD 237162                                                                                                |Star                                  |03 39 35.6593720752 +57 28 23.404640808|144.0451730108097 +01.6647278894182|  5.035 -11.707    |9.15     |K2V               |    ~     ~    |    1|  501.932   pc  |  -4.7112     +4.7112  |paral   |2020yCat.1350....0G
1023|HD 22650                                                                                                 |Star                                  |03 41 24.5225709888 +57 09 44.693796312|144.4275705070693 +01.5625214786266|  -2.332 -0.095    |9.14     |B/A               |    ~     ~    |    1|  541.184   pc  |  -6.7362     +6.7362  |paral   |2020yCat.1350....0G
1024|HD 21599                                                                                                 |Spectroscopic Binary                  |03 31 53.3793313272 +56 26 25.339925256|143.7972384145460 +00.2128334239469| 47.688 -38.299    |7.97     |F2                |    ~     ~    |    1|  131.546   pc  |  -0.3772     +0.3772  |paral   |2020yCat.1350....0G
1025|V* KZ Cam                                                                                                |alpha2 CVn Variable                   |03 38 19.7334959304 +56 55 57.775389816|144.2286178818201 +01.1282396882704| 27.145 -33.909    |6.282    |B9p               |    ~     ~    |    1|  137.208   pc  |  -0.7869     +0.7869  |paral   |2020yCat.1350....0G
1026|TYC 3715-1177-1                                                                                          |Star                                  |03 31 44.6904021936 +58 33 39.463180056|142.5652535735694 +01.9391423707259|   3.753 -2.375    |10.87    |B9.5V             |    ~     ~    |    1|  741.730   pc  | -10.5631    +10.5631  |paral   |2020yCat.1350....0G
1027|BD+56 816                                                                                                |Spectroscopic Binary                  |03 31 44.4829040088 +57 05 09.345058224|143.4105317289903 +00.7301589061863|-16.542 -14.080    |9.63     |G8III             |    ~     ~    |    1|  172.694   pc  |  -0.7694     +0.7694  |paral   |2020yCat.1350....0G
1028|BD+58 613                                                                                                |High Proper Motion Star               |03 31 55.2892743312 +59 00 59.155207524|142.3225510246924 +02.3253467758867| 58.042 -80.341    |9.83     |G5V               |    ~     ~    |    1|  146.143   pc  |  -0.3097     +0.3097  |paral   |2020yCat.1350....0G
1029|TYC 3711-639-1                                                                                           |Star                                  |03 32 21.3966604512 +56 33 59.380369524|143.7775801580868 +00.3530874432571|  -4.537 -6.820    |10.95    |A2V               |    ~     ~    |    1|  402.414   pc  |  -2.4614     +2.4614  |paral   |2020yCat.1350....0G
1030|BD+56 817                                                                                                |Star                                  |03 32 23.7486622200 +56 34 12.477493812|143.7799066670197 +00.3591681543781|  -4.695 -7.443    |9.78     |B/A               |    ~     ~    |    0|                |                       |        |                   
1031|BD+56 818                                                                                                |Star                                  |03 32 32.1792348216 +57 03 38.474278200|143.5134761336409 +00.7715217737949| 15.968 -14.328    |10.64    |F5V               |    ~     ~    |    1|  197.640   pc  |  -0.6758     +0.6758  |paral   |2020yCat.1350....0G
1032|BD+58 615                                                                                                |High Proper Motion Star               |03 32 55.1278967952 +59 05 42.211654152|142.3822011276508 +02.4634292958420| 71.581 -91.752    |10.20    |G7V               |    ~     ~    |    1|  198.779   pc  |  -1.1380     +1.1380  |paral   |2020yCat.1350....0G
1033|BD+57 728                                                                                                |Star                                  |03 33 38.9303874360 +58 29 44.820417444|142.8060661490351 +02.0290485186356|   3.514 -2.014    |10.12    |B5V               |    ~     ~    |    1| 1018.434   pc  | -17.3214    +17.3214  |paral   |2020yCat.1350....0G
1034|BD+58 624                                                                                                |Star                                  |03 35 16.6803220992 +58 46 19.278879744|142.8179316295456 +02.3770555665345|   -2.891 0.429    |10.32    |A4V               |    ~     ~    |    1|  544.603   pc  |  -4.4192     +4.4192  |paral   |2020yCat.1350....0G
1035|BD+56 822                                                                                                |Star                                  |03 35 29.0842904064 +56 48 17.450767872|143.9895348427206 +00.7962268998959|  -1.376 -0.283    |10.70    |B8.5V             |    ~     ~    |    1|  714.439   pc  | -14.4450    +14.4450  |paral   |2020yCat.1350....0G
1036|BD+56 832                                                                                                |Star                                  |03 41 52.6639743864 +57 20 26.585925792|144.3708327799454 +01.7430731459888|  -1.462 -2.339    |9.91     |B/A               |    ~     ~    |    1|  679.256   pc  |  -6.1826     +6.1826  |paral   |2020yCat.1350....0G
1037|BD+58 611                                                                                                |Star                                  |03 31 32.1735363984 +59 16 58.573051104|142.1290885695792 +02.5153555061373|   0.308 -1.241    |10.5     |B8II              |    ~     ~    |    1| 2021.836   pc  | -56.4119    +56.4119  |paral   |2020yCat.1350....0G
1038|BD+58 610                                                                                                |Emission-line Star                    |03 30 58.9355984640 +59 14 39.582004632|142.0930871050219 +02.4431963359826|  -2.264 -0.485    |9.61     |B2III:            |    ~     ~    |    1| 1091.941   pc  | -15.0234    +15.0234  |paral   |2020yCat.1350....0G
1039|BD+58 609                                                                                                |High Proper Motion Star               |03 30 55.3612342416 +59 07 48.140673348|142.1521500957452 +02.3450236083789| 36.810 -38.080    |9.40     |F5                |    ~     ~    |    1|  144.827   pc  |  -0.2811     +0.2811  |paral   |2020yCat.1350....0G
1040|TYC 3711-449-1                                                                                           |Star                                  |03 30 45.2550454224 +57 18 45.303994692|143.1712641639966 +00.8397325566002|  -3.896 -1.278    |10.78    |~                 |    ~     ~    |    1|  647.626   pc  |  -6.4591     +6.4591  |paral   |2020yCat.1350....0G
1041|TYC 3711-481-1                                                                                           |Star                                  |03 31 50.5804080816 +57 21 06.823561104|143.2693391940699 +00.9559824519193|   5.740 30.576    |10.77    |~                 |    ~     ~    |    1|  280.128   pc  |  -1.6165     +1.6165  |paral   |2020yCat.1350....0G
1042|TYC 3711-498-1                                                                                           |High Proper Motion Star               |03 30 35.7356820600 +56 53 07.008578268|143.3970692671806 +00.4763153380752|  82.192 32.704    |10.76    |~                 |    ~     ~    |    1|  147.892   pc  |  -0.4549     +0.4549  |paral   |2020yCat.1350....0G
1043|Lan 289                                                                                                  |Pulsating Variable                    |03 32 44.5279297632 +57 28 49.413022248|143.2945594502948 +01.1307086150436|   1.793 -3.721    |10.92    |~                 |    ~     ~    |    1| 1058.985   pc  | -20.5225    +20.5225  |paral   |2020yCat.1350....0G
1044|TYC 3715-571-1                                                                                           |Star                                  |03 30 40.1310371544 +58 24 23.163061032|142.5382077475258 +01.7319689177061|   2.920 -3.518    |10.61    |~                 |    ~     ~    |    1| 1565.680   pc  | -82.8558    +82.8558  |paral   |2020yCat.1350....0G
1045|TYC 3715-1007-1                                                                                          |Star                                  |03 31 45.3831698160 +58 27 40.646995632|142.6236642362795 +01.8583429003154| -11.837 -5.185    |10.50    |~                 |    ~     ~    |    1|  322.134   pc  |  -1.3490     +1.3490  |paral   |2020yCat.1350....0G
1046|TYC 3715-1053-1                                                                                          |Star                                  |03 32 49.2874830384 +58 28 43.719862080|142.7275792568944 +01.9527316445658|  -3.228 -1.543    |10.95    |~                 |    ~     ~    |    1|  776.458   pc  | -14.7104    +14.7104  |paral   |2020yCat.1350....0G
1047|TYC 3715-1202-1                                                                                          |Star                                  |03 31 33.7755440664 +58 13 44.262511104|142.7360400944639 +01.6533927763914|   -0.874 0.417    |10.25    |~                 |    ~     ~    |    1|  427.826   pc  |  -3.2214     +3.2214  |paral   |2020yCat.1350....0G
1048|TYC 3715-1223-1                                                                                          |Star                                  |03 32 38.1651108504 +58 11 03.427966032|142.8774747754833 +01.6979937258011|   -6.209 6.570    |10.80    |~                 |    ~     ~    |    1|  368.895   pc  |  -1.7827     +1.7827  |paral   |2020yCat.1350....0G
1049|TYC 3724-159-1                                                                                           |Star                                  |03 37 34.3270279008 +57 27 19.492076808|143.8367484010440 +01.4891271406145|  -3.386 -0.945    |10.36    |~                 |    ~     ~    |    1|  933.010   pc  | -34.1239    +34.1239  |paral   |2020yCat.1350....0G
1050|TYC 3724-347-1                                                                                           |Chemically Peculiar Star              |03 37 00.3768149592 +57 11 39.600912120|143.9289788941376 +01.2332093590146|   2.520 -5.450    |10.68    |B9IV(HgMn)        |    ~     ~    |    1|  545.613   pc  | -30.9602    +30.9602  |paral   |2020yCat.1350....0G
1051|TYC 3724-746-1                                                                                           |Star                                  |03 38 06.0393484824 +58 00 12.807830052|143.5694906103092 +01.9729419278021|  0.754 -21.778    |10.59    |~                 |    ~     ~    |    1|  358.963   pc  |  -4.3682     +4.3682  |paral   |2020yCat.1350....0G
1052|TYC 3724-799-1                                                                                           |High Proper Motion Star               |03 37 38.9500542888 +57 35 18.706914816|143.7664741898940 +01.6026691378653| 81.512 -47.653    |10.77    |~                 |    ~     ~    |    1|  139.065   pc  |  -0.2940     +0.2940  |paral   |2020yCat.1350....0G
1053|BD+57 735                                                                                                |Star                                  |03 38 29.6891275800 +57 37 32.710509408|143.8357687392829 +01.6997014611777|   -2.572 0.533    |10.19    |A3                |    ~     ~    |    1|  539.549   pc  |  -3.9882     +3.9882  |paral   |2020yCat.1350....0G
1054|TYC 3724-1031-1                                                                                          |Star                                  |03 33 31.1980943688 +57 43 51.846962952|143.2349169430991 +01.3955412318668|  -8.155 -6.880    |10.73    |~                 |    ~     ~    |    1|  215.652   pc  |  -0.5906     +0.5906  |paral   |2020yCat.1350....0G
1055|TYC 3724-1053-1                                                                                          |Star                                  |03 38 58.3819934136 +57 44 57.352190928|143.8138422013724 +01.8370285497823|  -2.538 -8.118    |10.60    |A0                |    ~     ~    |    1|  439.638   pc  |  -2.5513     +2.5513  |paral   |2020yCat.1350....0G
1056|TYC 3724-1054-1                                                                                          |Star                                  |03 38 04.1520902136 +57 49 07.228717464|143.6756193540393 +01.8214551376977|  17.215 -4.777    |10.36    |~                 |    ~     ~    |    1|  463.822   pc  |  -2.8182     +2.8182  |paral   |2020yCat.1350....0G
1057|TYC 3724-1110-1                                                                                          |Star                                  |03 36 36.2118960648 +57 57 37.077419376|143.4346809931826 +01.8209700812833|   -2.082 7.067    |10.64    |~                 |    ~     ~    |    1|  517.090   pc  |  -3.9305     +3.9305  |paral   |2020yCat.1350....0G
1058|TYC 3724-1132-1                                                                                          |Star                                  |03 41 08.1118527432 +57 40 32.783021256|144.0894171734668 +01.9506612271896|  -11.809 7.757    |10.38    |G2:               |    ~     ~    |    1|  530.251   pc  |  -5.6796     +5.6796  |paral   |2020yCat.1350....0G
1059|TYC 3728-958-1                                                                                           |Spectroscopic Binary                  |03 36 25.9074349008 +58 27 28.446095484|143.1238873757402 +02.2103888232932|   60.648 7.638    |10.59    |~                 |    ~     ~    |    1|  189.541   pc  |  -4.0884     +4.0884  |paral   |2020yCat.1350....0G
1060|TYC 3728-982-1                                                                                           |Pulsating Variable                    |03 34 33.9581678688 +58 12 55.996480296|143.0668018472485 +01.8706385680869|   -4.736 0.817    |10.58    |B                 |    ~     ~    |    1|  553.281   pc  |  -5.0816     +5.0816  |paral   |2020yCat.1350....0G
1061|V* OR Cam                                                                                                |Classical Cepheid Variable            |03 34 23.7376223472 +58 24 50.013679428|142.9332101637640 +02.0190035420102|  -0.204 -1.050    |10.402   |~                 |    ~     ~    |    1| 1554.243   pc  | -50.2460    +50.2460  |paral   |2020yCat.1350....0G
1062|TYC 3724-321-1                                                                                           |Star                                  |03 39 16.2847943304 +57 01 07.539288312|144.2808605699445 +01.2737273768288|   8.020 -7.454    |10.42    |K0                |    ~     ~    |    1|  815.594   pc  | -12.0400    +12.0400  |paral   |2020yCat.1350....0G
1063|TYC 3724-1038-1                                                                                          |Star                                  |03 38 34.6015744680 +57 43 07.023592164|143.7894736219994 +01.7809566797494|  8.440 -13.047    |10.49    |G8III             |    ~     ~    |    1|  657.592   pc  |  -6.1405     +6.1405  |paral   |2020yCat.1350....0G
1064|TYC 3724-296-1                                                                                           |Star                                  |03 40 36.9395281872 +57 14 17.157449580|144.2961927571449 +01.5585847563614|  20.527 -7.834    |10.26    |G5III             |    ~     ~    |    1|  455.519   pc  |  -2.8220     +2.8220  |paral   |2020yCat.1350....0G
1065|TYC 3724-291-1                                                                                           |Star                                  |03 40 36.9332194584 +57 25 19.827777612|144.1858475733877 +01.7059532260207| -8.357 -13.747    |10.61    |K0                |    ~     ~    |    1|  615.650   pc  |  -5.4580     +5.4580  |paral   |2020yCat.1350....0G
1066|TYC 3724-650-1                                                                                           |Star                                  |03 42 13.4073979368 +57 20 02.482813320|144.4120922142124 +01.7658751927625|   8.335 -1.508    |10.63    |K0                |    ~     ~    |    1|  795.482   pc  |  -9.0489     +9.0489  |paral   |2020yCat.1350....0G
1067|BD+55 795                                                                                                |Star                                  |03 32 46.4612113848 +55 50 35.001599424|144.2413745009671 -00.2051546943516|  -1.465 -1.072    |10.31    |B5III:            |    ~     ~    |    1| 1114.827   pc  | -23.6140    +23.6140  |paral   |2020yCat.1350....0G
1068|BD+55 796                                                                                                |Star                                  |03 33 05.9385581184 +55 54 47.568451932|144.2381245321578 -00.1215843781599|  4.128 -11.342    |9.72     |A2                |    ~     ~    |    1|  309.530   pc  |  -5.0491     +5.0491  |paral   |2020yCat.1350....0G
1069|HD 21802                                                                                                 |Star                                  |03 33 30.6527724936 +55 33 33.448356648|144.4898836801696 -00.3770069750346| -2.195 -14.983    |7.90     |B/A               |    ~     ~    |    1|  184.635   pc  |  -0.9272     +0.9272  |paral   |2020yCat.1350....0G
1070|BD+54 695                                                                                                |Star                                  |03 37 03.2838015336 +54 45 07.003680156|145.3720654197848 -00.7373365500781|   -3.744 2.510    |10.21    |B/A               |    ~     ~    |    1|  504.668   pc  |  -4.0750     +4.0750  |paral   |2020yCat.1350....0G
1071|BD+54 697                                                                                                |Star                                  |03 37 36.3444135000 +54 48 41.965801920|145.4010427015935 -00.6422746954009|   2.123 -4.108    |10.26    |~                 |    ~     ~    |    1|  791.954   pc  |  -9.5960     +9.5960  |paral   |2020yCat.1350....0G
1072|HD 22298                                                                                                 |Be Star                               |03 38 01.0360988544 +55 10 15.105725724|145.2364267715883 -00.3175965716533|  -2.533 -2.072    |7.69     |B2Vne             |    ~     ~    |    1|  793.084   pc  | -14.3408    +14.3408  |paral   |2020yCat.1350....0G
1073|BD+54 704                                                                                                |Star                                  |03 42 05.7004902336 +54 36 06.702152472|146.0465808523648 -00.4236833240333|-23.953 -16.520    |10.08    |F5                |    ~     ~    |    1|  154.643   pc  |  -1.1455     +1.1455  |paral   |2020yCat.1350....0G
1074|BD+54 705                                                                                                |Star                                  |03 42 09.4534571502 +54 35 41.008049385|146.0581115876490 -00.4239109001486|-28.423 -15.368    |9.54     |F5                |    ~     ~    |    0|                |                       |        |                   
1075|HD 232819                                                                                                |Star                                  |03 41 02.8743253137 +54 00 04.040486657|146.2860576127239 -00.9954170188296|   0.851 -3.096    |9.423    |B8                |    ~     ~    |    1|  869.036   pc  | -17.3702    +17.3702  |paral   |2020yCat.1350....0G
1076|HD 232824                                                                                                |Star                                  |03 43 22.0003738848 +54 06 14.719883724|146.4952739945509 -00.7079347578794|  5.939 -11.393    |9.52     |G2V               |    ~     ~    |    1|  163.605   pc  |  -0.6852     +0.6852  |paral   |2020yCat.1350....0G
1077|IRAS 03299+5519                                                                                          |Star                                  |03 33 51.1224303552 +55 29 41.955281772|144.5664696733360 -00.4015089624470|  -2.151 -9.524    |10.25    |~                 |    ~     ~    |    1|  861.623   pc  | -50.4086    +50.4086  |paral   |2020yCat.1350....0G
1078|HD 22777                                                                                                 |Star                                  |03 42 26.0526885168 +56 28 28.042035816|144.9543767168658 +01.0981946269326|   2.356 -8.617    |8.87     |B/A               |    ~     ~    |    1|  478.858   pc  |  -7.1314     +7.1314  |paral   |2020yCat.1350....0G
1079|HD 22489                                                                                                 |Star                                  |03 39 45.1949939328 +56 22 58.934575308|144.7128291160129 +00.8025765106871|  13.022 -1.199    |6.51     |A2                |    ~     ~    |    1|  136.498   pc  |  -2.3048     +2.3048  |paral   |2020yCat.1350....0G
1080|BD+55 808                                                                                                |High Proper Motion Star               |03 41 12.5749718232 +56 14 28.463980020|144.9595010476173 +00.8098692901127|-62.846 -37.158    |10.19    |G0V               |    ~     ~    |    1|  133.872   pc  |  -0.2402     +0.2402  |paral   |2020yCat.1350....0G
1081|BD+55 814                                                                                                |Star                                  |03 42 53.3609375976 +56 14 22.037207244|145.1467497251726 +00.9491849074774|   -7.372 7.134    |9.49     |K0III             |    ~     ~    |    1|  362.924   pc  |  -2.0679     +2.0679  |paral   |2020yCat.1350....0G
1082|HD 22844                                                                                                 |High Proper Motion Star               |03 42 54.7964752752 +56 24 18.584015508|145.0490313959096 +01.0830658044301| 58.471 -18.606    |8.12     |K0III-IV          |    ~     ~    |    1|  101.833   pc  |  -0.2043     +0.2043  |paral   |2020yCat.1350....0G
1083|BD+55 819                                                                                                |Double or Multiple Star               |03 44 36.7996641696 +56 15 25.827217380|145.3261283777426 +01.1088338784568|    -10.3 -40.8    |10.31    |G8IV              |    ~     ~    |    0|                |                       |        |                   
1084|HD 21832                                                                                                 |Star                                  |03 33 55.6015751040 +56 05 51.407085948|144.2258954535959 +00.0957618967023|  -1.731 -1.389    |8.97     |A0                |    ~     ~    |    1|  567.086   pc  |  -6.5925     +6.5925  |paral   |2020yCat.1350....0G
1085|HD 22105                                                                                                 |Pulsating Variable                    |03 36 21.9192751680 +55 53 12.627903984|144.6258134253857 +00.1233246185278|  6.823 -12.676    |6.82     |B8                |    ~     ~    |    1|  249.445   pc  |  -1.4747     +1.4747  |paral   |2020yCat.1350....0G
1086|HD 237163                                                                                                |Star                                  |03 39 52.3053870912 +55 45 29.840079096|145.0988621731937 +00.3110711077094|   -1.035 1.605    |8.75     |A5                |    ~     ~    |    1|  674.491   pc  |  -7.0515     +7.0515  |paral   |2020yCat.1350....0G
1087|HD 22518                                                                                                 |Star                                  |03 39 54.6266876976 +55 52 44.015070756|145.0312397871543 +00.4110825448862| 19.249 -25.937    |8.410    |B/A               |    ~     ~    |    1|  191.256   pc  |  -0.9547     +0.9547  |paral   |2020yCat.1350....0G
1088|BD+55 807                                                                                                |Star                                  |03 40 36.3559867824 +55 58 14.065643352|145.0545111743988 +00.5428169182790|-18.961 -18.593    |10.55    |F0                |    ~     ~    |    1|  262.936   pc  |  -1.2306     +1.2306  |paral   |2020yCat.1350....0G
1089|BD+55 809                                                                                                |High Proper Motion Star               |03 41 12.8442041136 +55 40 58.987447392|145.2952986017683 +00.3639695722304| 71.480 -69.032    |10.19    |G5V               |    ~     ~    |    1|  114.797   pc  |  -5.1093     +5.1093  |paral   |2020yCat.1350....0G
1090|BD+55 810                                                                                                |Star                                  |03 41 57.7088784240 +55 56 17.712157380|145.2256364378070 +00.6310080778231|  -17.167 6.175    |9.51     |G5IV              |    ~     ~    |    1|  165.912   pc  |  -0.7763     +0.7763  |paral   |2020yCat.1350....0G
1091|HD 237167                                                                                                |Star                                  |03 42 26.9473713288 +55 51 24.824517336|145.3292058066916 +00.6073582823931|   3.079 -4.158    |9.28     |K3III             |    ~     ~    |    1| 1001.904   pc  | -19.9758    +19.9758  |paral   |2020yCat.1350....0G
1092|HD 237168                                                                                                |Star                                  |03 42 26.0102723376 +55 39 24.771599496|145.4483009589687 +00.4466465490076|  -11.776 8.337    |9.14     |G8III             |    ~     ~    |    1|  336.428   pc  |  -1.9128     +1.9128  |paral   |2020yCat.1350....0G
1093|BD+55 813                                                                                                |Star                                  |03 42 39.8576916144 +55 43 10.192480968|145.4363606182271 +00.5161887669984|   9.340 -8.439    |9.76     |G5III             |    ~     ~    |    1|  615.347   pc  | -11.7003    +11.7003  |paral   |2020yCat.1350....0G
1094|HD 22858                                                                                                 |Star                                  |03 42 55.7706529992 +55 31 14.003828508|145.5865640740320 +00.3804694672119|   -4.995 0.728    |8.96     |A                 |    ~     ~    |    1|  494.047   pc  |  -4.2470     +4.2470  |paral   |2020yCat.1350....0G
1095|HD 232817                                                                                                |Star                                  |03 40 29.4577153704 +55 27 02.663568720|145.3527858983880 +00.1167593673976|    2.932 5.211    |9.78     |G8III             |    ~     ~    |    1|  386.220   pc  |  -1.9988     +1.9988  |paral   |2020yCat.1350....0G
1096|HD 232822                                                                                                |Star                                  |03 42 02.4556369248 +54 55 14.782779480|145.8480270920265 -00.1739979205299|  -6.663 -0.708    |9.24     |A3                |    ~     ~    |    1|  199.243   pc  |  -0.6510     +0.6510  |paral   |2020yCat.1350....0G
