C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:41:41

dec< 0&rah >=4.0&rah< 4.25&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 3224

 #  |                                               identifier                                                |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
191 |BD-09 799                                                                                                |Star                               |04 02 13.7059138968 -09 08 01.537822968|200.4437576939719 -41.5894172498073|   0.175 -0.895   |10.61    |~              |    ~     ~    |    0|                |                       |        |                   
192 |BD-09 800                                                                                                |Star                               |04 02 49.6040849904 -08 45 50.112874836|200.1040509286557 -41.2832239240040| -14.398 -8.934   |10.26    |~              |    ~     ~    |    1|  490.364   pc  | -10.2675    +10.2675  |paral   |2020yCat.1350....0G
193 |HD 25545                                                                                                 |Star                               |04 03 02.9130636024 -08 45 11.076472476|200.1262756549275 -41.2299108390356|   2.988 -5.569   |9.07     |F3V            |    ~     ~    |    1|  200.682   pc  |  -1.2565     +1.2565  |paral   |2020yCat.1350....0G
194 |BD-09 803                                                                                                |Star                               |04 03 38.031 -08 55 19.67              |200.415457 -41.183527              |      -1.5 -1.0   |10.190   |~              |    ~     ~    |    1|  315.286   pc  |  -5.7010     +5.7010  |ST-L    |2020AJ....160...83S
195 |BD-09 805                                                                                                |Star                               |04 04 42.6458803752 -08 50 28.284213480|200.4889143778342 -40.9110598480382| -5.798 -22.460   |10.472   |~              |    ~     ~    |    1|  293.718   pc  |  -5.4330     +5.4330  |ST-L    |2020AJ....160...83S
196 |BD-09 806                                                                                                |Double or Multiple Star            |04 04 51.539 -08 44 47.62              |200.401946 -40.833788              |      13.3 -5.0   |9.711    |F8             |    ~     ~    |    0|                |                       |        |                   
197 |HD 25802                                                                                                 |Star                               |04 05 06.7273368384 -09 15 44.082496584|201.0422601118814 -41.0229967028233|  5.141 -14.185   |8.22     |K1III          |    ~     ~    |    1|  272.250   pc  |  -1.6825     +1.6825  |paral   |2020yCat.1350....0G
198 |BD-09 809                                                                                                |Star                               |04 05 36.2141007360 -09 03 14.906501172|200.8750722252272 -40.8179096943269|-19.776 -36.364   |10.37    |~              |    ~     ~    |    1|  216.502   pc  |  -0.8250     +0.8250  |paral   |2020yCat.1350....0G
199 |HD 25910                                                                                                 |Star                               |04 05 56.5080839496 -08 51 21.975869772|200.6970674924488 -40.6505714759674|  24.777 -8.491   |6.261    |A1V            |    ~     ~    |    1|   84.667   pc  |  -0.2373     +0.2373  |paral   |2020yCat.1350....0G
200 |BD-09 812                                                                                                |Star                               |04 06 08.4715624920 -08 47 19.952694168|200.6499311882609 -40.5753008084034|   3.563 -4.264   |9.42     |K2             |    ~     ~    |    1|  788.519   pc  | -10.3213    +10.3213  |paral   |2020yCat.1350....0G
201 |HD 25955                                                                                                 |Star                               |04 06 15.6270056736 -08 42 24.987697776|200.5735167578234 -40.5104190456027|    4.533 3.127   |9.48     |F0V            |    ~     ~    |    1|  278.311   pc  |  -1.3942     +1.3942  |paral   |2020yCat.1350....0G
202 |HD 26067                                                                                                 |Double or Multiple Star            |04 07 17.077344 -08 45 56.93112        |200.799461987 -40.315697267        |    107.7 -69.9   |9.29     |G5V            |    ~     ~    |    0|                |                       |        |                   
203 |BD-09 817                                                                                                |High Proper Motion Star            |04 07 28.4275069776 -09 05 23.395762860|201.2033013246242 -40.4275478288161| 43.333 -94.967   |10.86    |~              |    ~     ~    |    1|  194.977   pc  |  -0.5854     +0.5854  |paral   |2020yCat.1350....0G
204 |NAME NC 21                         C* 3240                                                               |Carbon Star                        |04 03 35.8 -09 13 46                   |200.7696 -41.3373                  |            ~ ~   |10.1     |N              |    ~     ~    |    0|                |                       |        |                   
205 |NGC 1505                           NGC 1505                                                              |Galaxy                             |04 02 36.4099508736 -09 19 20.615034828|200.7250328806438 -41.5964868938446|            ~ ~   |     ~   |~              |0.743 0.550    |    0|                |                       |        |                   
206 |NGC 1504                           NGC 1504                                                              |Galaxy                             |04 02 29.6942865144 -09 20 07.447982496|200.7229344349441 -41.6269695225991|            ~ ~   |     ~   |~              |0.473 0.379    |    0|                |                       |        |                   
207 |HD 25954                                                                                                 |Star                               |04 06 17.9111732808 -07 49 43.369448124|199.5698894856743 -40.0798242119917|   18.506 2.983   |7.51     |K1III          |    ~     ~    |    1|  207.228   pc  |  -0.8975     +0.8975  |paral   |2020yCat.1350....0G
208 |HD 26067B                                                                                                |High Proper Motion Star            |04 07 17.068273 -08 45 56.69188        |200.799362022 -40.315698637        |    108.4 -70.9   |9.76     |~              |    ~     ~    |    0|                |                       |        |                   
209 |BD-07 719                                                                                                |Star                               |04 00 19.8829017456 -07 29 03.855510492|198.2179081120247 -41.1987875248133|  18.914 -2.999   |10.68    |~              |    ~     ~    |    1|  350.693   pc  |  -2.2137     +2.2137  |paral   |2020yCat.1350....0G
210 |BD-09 797                                                                                                |Star                               |04 01 33.2045207352 -09 33 41.655515040|200.8437394057911 -41.9383303283867|-11.608 -18.701   |10.53    |~              |    ~     ~    |    1|  379.521   pc  |  -4.4219     +4.4219  |paral   |2020yCat.1350....0G
211 |BD-08 772                                                                                                |Star                               |04 02 50.6604225024 -07 57 35.833183272|199.1730130541205 -40.8908454613621|   3.058 -6.614   |10.67    |~              |    ~     ~    |    1|  237.626   pc  |  -0.9543     +0.9543  |paral   |2020yCat.1350....0G
212 |BD-09 804                                                                                                |Spectroscopic Binary               |04 03 45.5352892224 -09 32 51.032333544|201.1688624628460 -41.4516021907673|  15.907 -3.196   |10.553   |~              |    ~     ~    |    1|  483.847   pc  | -14.8500    +14.8500  |ST-L    |2020AJ....160...83S
213 |BD-08 777                                                                                                |High Proper Motion Star            |04 04 16.4167 -08 10 15.387            |199.6436474 -40.6841952            |     43.7 -33.9   |10.433   |~              |    ~     ~    |    1|  241.357   pc  |  -3.5420     +3.5420  |ST-L    |2020AJ....160...83S
214 |BD-08 784                                                                                                |Star                               |04 05 25.4039181576 -07 47 53.448751464|199.3969955237535 -40.2543431359112|   -2.944 8.689   |9.757    |~              |    ~     ~    |    1|  578.366   pc  | -15.4800    +15.4800  |ST-L    |2020AJ....160...83S
215 |BD-09 808                                                                                                |Star                               |04 05 27.5446043016 -09 26 23.686621836|201.3034648084156 -41.0307980813265|   14.261 1.781   |10.87    |~              |    ~     ~    |    1|  456.217   pc  | -20.8500    +20.8500  |ST-L    |2020AJ....160...83S
216 |BD-09 810                                                                                                |Star                               |04 05 51.7368320544 -09 34 50.713185144|201.5300674200578 -41.0086728378134|   4.623 -0.910   |10.33    |~              |    ~     ~    |    1| 1549.427   pc  | -36.9711    +36.9711  |paral   |2020yCat.1350....0G
217 |BD-07 742                                                                                                |Star                               |04 06 06.9442891656 -07 32 05.816958504|199.2061075858119 -39.9761251655317| -2.185 -11.706   |10.10    |~              |    ~     ~    |    1|  417.798   pc  |  -3.7529     +3.7529  |paral   |2020yCat.1350....0G
218 |BD-08 790                                                                                                |Star                               |04 07 23.0188329408 -08 27 31.167627012|200.4608809483821 -40.1479778646971|  -19.674 8.170   |10.90    |~              |    ~     ~    |    1|  339.156   pc  |  -6.3150     +6.3150  |paral   |2020yCat.1350....0G
219 |TYC 5305-1229-1                                                                                          |Spectroscopic Binary               |04 00 53.3629519056 -09 23 52.740740040|200.5458483681719 -42.0055680311521|  13.856 -5.956   |10.84    |~              |    ~     ~    |    1|  601.612   pc  | -10.2428    +10.2428  |paral   |2020yCat.1350....0G
220 |TYC 5305-1037-1                                                                                          |Star                               |04 01 17.6730387984 -09 21 10.091351844|200.5558860843950 -41.8961452777963|  -1.195 -5.705   |10.90    |~              |    ~     ~    |    1|  943.485   pc  | -12.5513    +12.5513  |paral   |2020yCat.1350....0G
221 |TYC 5305-364-1                                                                                           |Star                               |04 01 45.2276484696 -08 01 55.290335808|199.0816976726444 -41.1616608948143|    5.400 1.445   |10.92    |~              |    ~     ~    |    1|  958.038   pc  | -17.0718    +17.0718  |paral   |2020yCat.1350....0G
222 |BD-09 802                                                                                                |Star                               |04 03 34.6258290816 -09 33 37.783517004|201.1561550594921 -41.4972895084774| -1.311 -11.059   |10.88    |~              |    ~     ~    |    1|  955.384   pc  | -14.3303    +14.3303  |paral   |2020yCat.1350....0G
223 |BD-08 775                                                                                                |High Proper Motion Star            |04 03 47.8488472464 -08 12 55.494181368|199.6197418931953 -40.8088185265099| -8.576 -63.906   |10.47    |~              |    ~     ~    |    1|  226.187   pc  |  -2.8990     +2.8990  |ST-L    |2020AJ....160...83S
224 |BD-08 786                                                                                                |High Proper Motion Star            |04 06 24.7618150296 -07 50 05.200017468|199.5947654777392 -40.0580521865343|-109.387 -113.430 |9.16     |~              |    ~     ~    |    1|   77.574   pc  |  -1.6567     +1.6567  |paral   |2020yCat.1350....0G
225 |BD-08 789                                                                                                |High Proper Motion Star            |04 07 16.0168019904 -08 33 11.897253216|200.5517310373997 -40.2184985142831|-57.193 -50.017   |10.51    |~              |    ~     ~    |    1|  135.766   pc  |  -0.2839     +0.2839  |paral   |2020yCat.1350....0G
226 |TYC 5312-1654-1                                                                                          |Star                               |04 07 20.8678876800 -08 40 55.815856248|200.7126651403021 -40.2622521199241|   2.632 -5.012   |10.66    |~              |    ~     ~    |    1| 1351.534   pc  | -28.8610    +28.8610  |paral   |2020yCat.1350....0G
227 |TYC 5312-2115-1                                                                                          |High Proper Motion Star            |04 07 26.0755025448 -08 39 21.522614832|200.6958282426320 -40.2309308273821|  0.990 -48.755   |10.53    |~              |    ~     ~    |    1|  368.854   pc  | -18.0815    +18.0815  |paral   |2020yCat.1350....0G
228 |TYC 4731-128-1                                                                                           |Star                               |04 01 49.1634984120 -07 25 00.434811576|198.3824581429295 -40.8449248119079|   -1.294 1.144   |10.80    |~              |    ~     ~    |    1|  490.316   pc  |  -6.0343     +6.0343  |paral   |2020yCat.1350....0G
229 |TYC 5305-254-1                                                                                           |Star                               |04 02 33.2855823168 -08 34 04.313692812|199.8323036673681 -41.2481070187867|  -2.713 -5.627   |10.38    |~              |    ~     ~    |    1|  830.841   pc  | -12.4253    +12.4253  |paral   |2020yCat.1350....0G
230 |TYC 5305-265-1                                                                                           |Star                               |04 00 52.9870368648 -07 37 28.743530952|198.4697301505913 -41.1494214226652|   8.261 -7.038   |10.91    |~              |    ~     ~    |    1|  315.368   pc  |  -1.6709     +1.6709  |paral   |2020yCat.1350....0G
231 |TYC 5305-337-1                                                                                           |Star                               |04 04 38.0429658624 -07 36 39.566229372|199.0575991478282 -40.3335161416010|  11.456 -6.741   |10.808   |~              |    ~     ~    |    1|  430.353   pc  | -10.6500    +10.6500  |ST-L    |2020AJ....160...83S
232 |TYC 5305-1307-1                                                                                          |Star                               |04 04 40.7834843904 -08 17 05.739579168|199.8392297791295 -40.6512967180624|  -0.622 -5.332   |10.964   |~              |    ~     ~    |    1|  381.722   pc  | -11.7600    +11.7600  |ST-L    |2020AJ....160...83S
233 |TYC 5305-1387-1                                                                                          |Star                               |04 05 04.6184354016 -07 35 48.211303524|199.1117787312543 -40.2308425768400|  -5.941 -5.078   |10.77    |~              |    ~     ~    |    1|  591.506   pc  |  -5.3881     +5.3881  |paral   |2020yCat.1350....0G
234 |TYC 5312-1691-1                                                                                          |Star                               |04 07 00.7244887200 -09 47 06.248598108|201.9437276930653 -40.8525817553585|  15.001 -5.453   |10.644   |~              |    ~     ~    |    1|  471.298   pc  | -12.0700    +12.0700  |ST-L    |2020AJ....160...83S
235 |TYC 5312-1693-1                                                                                          |Spectroscopic Binary               |04 06 32.2843739952 -07 51 22.402590048|199.6389502572096 -40.0413175200530|  -3.741 -2.426   |10.95    |~              |    ~     ~    |    1|  446.183   pc  | -15.4700    +15.4700  |ST-L    |2020AJ....160...83S
236 |TYC 5312-2006-1                                                                                          |Star                               |04 07 07.5658617264 -08 44 40.996222764|200.7507293414680 -40.3401701860662| -12.117 -6.617   |10.98    |~              |    ~     ~    |    1|  421.301   pc  |  -2.9109     +2.9109  |paral   |2020yCat.1350....0G
237 |BD-12 769                                                                                                |Star                               |04 00 33.3471320304 -12 09 08.241894756|203.8297997291963 -43.3338272169738|  -0.078 -0.852   |10.32    |~              |    ~     ~    |    1| 1768.034   pc  | -71.8967    +71.8967  |paral   |2020yCat.1350....0G
238 |BD-12 773                                                                                                |Star                               |04 01 50.8080941064 -12 08 19.240014336|204.0024393225575 -43.0441710224796|  5.833 -23.339   |10.79    |~              |    ~     ~    |    1|  373.357   pc  | -11.7092    +11.7092  |paral   |2020yCat.1350....0G
239 |BD-12 797                                                                                                |Star                               |04 06 16.4256498624 -12 23 12.401324088|204.9440830361376 -42.1776101346095| 11.944 -11.112   |10.890   |~              |    ~     ~    |    1|  876.751   pc  | -72.0700    +72.0700  |ST-L    |2020AJ....160...83S
240 |HD 25298                                                                                                 |Spectroscopic Binary               |04 00 54.9806800944 -10 26 58.282849680|201.8065985256223 -42.4901667635782|   2.828 15.506   |9.43     |A4V            |    ~     ~    |    1|  268.132   pc  |  -1.1503     +1.1503  |paral   |2020yCat.1350....0G
241 |BD-10 813C                                                                                               |Star                               |04 00 53.9399595432 -10 27 11.168587764|201.8082496878200 -42.4955995011862|  23.931 10.771   |10.45    |~              |    ~     ~    |    1|  250.809   pc  |  -1.0631     +1.0631  |paral   |2020yCat.1350....0G
242 |BD-10 814                                                                                                |Star                               |04 00 55.1182140384 -10 26 46.393963368|201.8029731700975 -42.4881475899263|   2.658 15.483   |9.90     |F0             |    ~     ~    |    1|  267.544   pc  |  -1.1739     +1.1739  |paral   |2020yCat.1350....0G
243 |HD 25417                                                                                                 |Star                               |04 02 02.5429090680 -10 28 53.708606904|202.0172097739991 -42.2589685459136|    3.486 0.584   |9.53     |G8IV           |    ~     ~    |    1|  553.955   pc  |  -4.4189     +4.4189  |paral   |2020yCat.1350....0G
244 |HD 25446                                                                                                 |Star                               |04 02 12.9152588112 -10 05 55.284235908|201.5852566904141 -42.0448036987517|  1.906 -33.302   |9.75     |F3V            |    ~     ~    |    1|  209.297   pc  |  -0.9944     +0.9944  |paral   |2020yCat.1350....0G
245 |HD 25585                                                                                                 |Star                               |04 03 24.1017899592 -10 33 14.234843088|202.3100441680962 -41.9949529126227|    0.409 3.186   |8.14     |K3III          |    ~     ~    |    1|  733.568   pc  | -11.1391    +11.1391  |paral   |2020yCat.1350....0G
246 |BD-10 828                                                                                                |Star                               |04 04 19.3872861864 -10 25 45.900565032|202.3001976142230 -41.7365728562254|  37.487 -0.646   |9.59     |G5             |    ~     ~    |    1|   88.636   pc  |  -0.1273     +0.1273  |paral   |2020yCat.1350....0G
247 |HD 25710                                                                                                 |Spectroscopic Binary               |04 04 26.7500380344 -10 14 06.727540452|202.0875937706903 -41.6207464710102|114.609 -31.966   |8.11     |G2V            |    ~     ~    |    1|   50.635   pc  |  -0.1656     +0.1656  |paral   |2020yCat.1350....0G
248 |V* CY Eri                                                                                                |Long-Period Variable               |04 05 54.0971700504 -10 17 44.931842664|202.3786009653069 -41.3302542797079|   27.085 0.923   |7.10     |M3/4III        |    ~     ~    |    1|  368.229   pc  |  -4.7457     +4.7457  |paral   |2020yCat.1350....0G
249 |HD 26040                                                                                                 |Double or Multiple Star            |04 07 00.5708353608 -10 00 01.879480476|202.1962556913738 -40.9525333904387|-138.493 -134.176 |6.88     |G1/2V          |0.0017  0.0    |    1|   44.705   pc  |  -0.8106     +0.8106  |paral   |2020yCat.1350....0G
250 |BD-10 842                                                                                                |Star                               |04 07 26.7022964976 -10 02 43.831164264|202.3143351914008 -40.8779830556495|    4.614 2.623   |9.64     |M0             |    ~     ~    |    1| 1268.070   pc  | -31.1952    +31.1952  |paral   |2020yCat.1350....0G
251 |HD 25249                                                                                                 |Star                               |04 00 14.4827069856 -10 40 01.831652760|201.9659722066312 -42.7374190987787|   17.163 7.093   |9.15     |F0Vn           |    ~     ~    |    1|  360.776   pc  |  -2.4730     +2.4730  |paral   |2020yCat.1350....0G
252 |BD-11 781                                                                                                |Rotating Variable                  |04 01 28.8076496040 -11 19 25.632285636|202.9506896478828 -42.7638212458929|  -7.448 -5.287   |10.02    |F5             |    ~     ~    |    1|  148.644   pc  |  -1.2815     +1.2815  |paral   |2018yCat.1345....0G
253 |HD 25478                                                                                                 |Star                               |04 02 29.6712652560 -10 54 04.690184292|202.5908250575529 -42.3513269121918|  -4.619 30.899   |9.96     |F0V            |    ~     ~    |    1|  219.539   pc  |  -0.8579     +0.8579  |paral   |2020yCat.1350....0G
254 |HD 25492                                                                                                 |Star                               |04 02 31.4280620040 -11 24 49.843377936|203.2158289406088 -42.5753056533066|  18.734 26.831   |8.69     |F5III/IV       |    ~     ~    |    1|  164.428   pc  |  -4.7882     +4.7882  |paral   |2020yCat.1350....0G
255 |HD 25510                                                                                                 |Star                               |04 02 46.6201008384 -10 55 51.178730124|202.6689444284378 -42.3028733846571|  -7.396 10.931   |9.07     |F3V            |    ~     ~    |    1|  154.107   pc  |  -5.1416     +5.1416  |paral   |2020yCat.1350....0G
256 |HD 25534                                                                                                 |Star                               |04 02 58.4064667896 -10 55 08.323964040|202.6840625265919 -42.2544818582103|  -0.629 32.375   |8.84     |A8/9V          |    ~     ~    |    1|  206.979   pc  |  -0.7925     +0.7925  |paral   |2020yCat.1350....0G
257 |BD-11 791                                                                                                |Star                               |04 03 53.9425253904 -10 53 46.923503640|202.7953551418862 -42.0415698738331|  -8.235 -5.692   |9.650    |K2             |    ~     ~    |    1|  537.329   pc  | -17.2500    +17.2500  |ST-L    |2020AJ....160...83S
258 |HD 25561                                                                                                 |Star                               |04 03 06.2094246744 -11 49 21.303080688|203.7990711281460 -42.6292892422539|   6.452 19.845   |9.34     |K1III          |    ~     ~    |    1|  454.690   pc  |  -2.9564     +2.9564  |paral   |2020yCat.1350....0G
259 |BD-12 780B                                                                                               |Star                               |04 03 07.8289041120 -11 49 54.098352840|203.8141405674209 -42.6273720466823|    6.838 2.443   |10.11    |~              |    ~     ~    |    1|  345.889   pc  |  -1.7946     +1.7946  |paral   |2020yCat.1350....0G
260 |HD 25674                                                                                                 |Star                               |04 04 01.8155609016 -11 44 54.167301492|203.8442831437573 -42.3929898673528|   2.024 -5.578   |8.69     |A1V            |    ~     ~    |    1|  196.215   pc  |  -2.7970     +2.7970  |ST-L    |2020AJ....160...83S
261 |HD 25769                                                                                                 |High Proper Motion Star            |04 04 45.5473342896 -11 48 48.335526252|204.0294689642692 -42.2614403444724|-53.162 -90.269   |8.42     |F3V            |    ~     ~    |    1|  149.499   pc  |  -0.4448     +0.4448  |paral   |2020yCat.1350....0G
262 |HD 25792                                                                                                 |Star                               |04 04 56.2673302992 -11 47 56.539072068|204.0379622487241 -42.2158436056102|  20.797 -1.553   |8.01     |A0V            |    ~     ~    |    1|  256.187   pc  |  -2.0018     +2.0018  |paral   |2020yCat.1350....0G
263 |HD 25898                                                                                                 |Star                               |04 05 43.0239305808 -11 37 38.826703416|203.9435253010295 -41.9690212470195|   1.106 -7.538   |9.06     |A9V            |    ~     ~    |    1|  205.581   pc  |  -2.7000     +2.7000  |ST-L    |2020AJ....160...83S
264 |HD 25922                                                                                                 |Star                               |04 05 57.7221134424 -11 42 00.756373968|204.0668917688056 -41.9472273866516|  4.953 -34.922   |9.24     |K0III          |    ~     ~    |    1|  206.548   pc  |  -0.6613     +0.6613  |paral   |2020yCat.1350....0G
265 |HD 25960                                                                                                 |Star                               |04 06 18.6985444944 -11 54 37.726841376|204.3714494001641 -41.9625434134816|  -14.601 1.605   |8.95     |F0V            |    ~     ~    |    1|  174.889   pc  |  -1.1133     +1.1133  |paral   |2018yCat.1345....0G
266 |NGC 1509                           NGC 1509                                                              |Emission-line galaxy               |04 03 55.2084661104 -11 10 44.466667104|203.1387241346248 -42.1641088151385|            ~ ~   |     ~   |~              |0.583 0.420    |    0|                |                       |        |                   
267 |BD-10 824                                                                                                |Star                               |04 04 10.3496805000 -09 53 02.714047404|201.6297695811533 -41.5183348615657|   0.553 -4.716   |10.00    |~              |    ~     ~    |    1|  512.715   pc  |  -5.7044     +5.7044  |paral   |2020yCat.1350....0G
268 |BD-11 778                                                                                                |Star                               |04 00 12.1602969024 -11 17 25.531893204|202.7180721555124 -43.0286705316206|  -3.308 -2.194   |10.31    |~              |    ~     ~    |    1|  611.172   pc  |  -5.8271     +5.8271  |paral   |2020yCat.1350....0G
269 |BD-10 810                                                                                                |Star                               |04 00 31.3819629648 -10 12 34.655286168|201.4575144770193 -42.4652564259199|   17.277 3.095   |10.70    |~              |    ~     ~    |    1|  403.584   pc  |  -3.5996     +3.5996  |paral   |2020yCat.1350....0G
270 |BD-10 815                                                                                                |High Proper Motion Star            |04 01 24.9991217880 -10 27 16.788902976|201.8893839803790 -42.3832889396515|  85.035 18.190   |10.43    |~              |    ~     ~    |    1|  177.456   pc  |  -0.4976     +0.4976  |paral   |2020yCat.1350....0G
271 |BD-12 772                                                                                                |Star                               |04 01 47.3578482720 -11 50 55.533692724|203.6379459764209 -42.9294597540223| 17.432 -31.834   |10.47    |~              |    ~     ~    |    1|  210.133   pc  |  -0.7551     +0.7551  |paral   |2020yCat.1350....0G
272 |BD-11 782                                                                                                |Star                               |04 01 55.7871571776 -11 24 35.270539812|203.1225529597845 -42.7037508567652|    1.616 3.156   |9.32     |~              |    ~     ~    |    1| 1226.693   pc  | -26.6345    +26.6345  |paral   |2020yCat.1350....0G
273 |BD-10 817                                                                                                |Star                               |04 01 59.6656888488 -10 01 28.217910396|201.4627963483452 -42.0585721964102|   0.273 -0.388   |9.82     |~              |    ~     ~    |    1|  805.802   pc  | -10.5839    +10.5839  |paral   |2020yCat.1350....0G
274 |BD-11 783                                                                                                |High Proper Motion Star            |04 02 09.2410437744 -10 46 09.254622216|202.3802202156471 -42.3659061035778| 50.514 -13.152   |10.25    |~              |    ~     ~    |    1|  156.946   pc  |  -0.4089     +0.4089  |paral   |2020yCat.1350....0G
275 |BD-11 786                                                                                                |Star                               |04 02 33.4751323752 -11 03 05.639885568|202.7818103965353 -42.4053357582254|    6.060 0.416   |10.59    |~              |    ~     ~    |    1|  323.855   pc  |  -1.6467     +1.6467  |paral   |2020yCat.1350....0G
276 |BD-11 789                                                                                                |Star                               |04 03 13.9132792104 -10 38 58.308317844|202.3989684769726 -42.0756607027300| -2.473 -18.364   |9.52     |~              |    ~     ~    |    1|  837.381   pc  | -11.1492    +11.1492  |paral   |2020yCat.1350....0G
277 |BD-11 790                                                                                                |Star                               |04 03 34.5601971288 -11 01 47.760976776|202.9078475339829 -42.1725698325644|    6.523 0.103   |10.07    |~              |    ~     ~    |    1|  593.859   pc  |  -5.5016     +5.5016  |paral   |2020yCat.1350....0G
278 |BD-10 826                                                                                                |Star                               |04 04 14.8501295928 -10 01 42.094860780|201.8120497895356 -41.5687638494221|    4.513 2.402   |10.124   |~              |    ~     ~    |    1| 2185.700   pc  |-212.7000   +212.7000  |ST-L    |2020AJ....160...83S
279 |BD-10 829                                                                                                |Star                               |04 04 19.3395209496 -10 30 26.024220684|202.3928727681278 -41.7722793002392| 21.430 -31.340   |10.283   |~              |    ~     ~    |    1|  240.529   pc  |  -3.6360     +3.6360  |ST-L    |2020AJ....160...83S
280 |BD-11 795                                                                                                |Star                               |04 04 43.5635325864 -10 44 46.824299232|202.7389657277985 -41.7925957837947| 31.451 -26.186   |10.495   |~              |    ~     ~    |    1|  180.770   pc  |  -1.7720     +1.7720  |ST-L    |2020AJ....160...83S
281 |BD-11 797                                                                                                |Star                               |04 05 13.6230815424 -11 32 30.801062472|203.7688811754123 -42.0388827135287| -3.174 -29.179   |9.93     |~              |    ~     ~    |    1|  361.560   pc  |  -6.8740     +6.8740  |ST-L    |2020AJ....160...83S
282 |BD-12 791                                                                                                |Star                               |04 05 16.6191385656 -11 56 17.923634736|204.2560781560942 -42.2023215427694| -4.239 -16.388   |10.74    |~              |    ~     ~    |    1|  504.130   pc  | -14.7600    +14.7600  |ST-L    |2020AJ....160...83S
283 |BD-11 798                                                                                                |Star                               |04 05 44.0715299976 -10 36 47.553402168|202.7304404626592 -41.5114142678975| -5.791 -14.874   |10.505   |~              |    ~     ~    |    1|  304.383   pc  |  -5.0450     +5.0450  |ST-L    |2020AJ....160...83S
284 |BD-12 794                                                                                                |Star                               |04 05 46.5681494904 -12 03 15.872752764|204.4689084638024 -42.1431791586566|-15.306 -16.498   |10.95    |~              |    ~     ~    |    1|  352.510   pc  |  -2.1622     +2.1622  |paral   |2020yCat.1350....0G
285 |BD-11 799                                                                                                |Star                               |04 06 11.1992863272 -10 41 18.415731516|202.8871425156827 -41.4464692307749|   5.249 -0.073   |10.46    |~              |    ~     ~    |    1|  815.794   pc  | -10.5818    +10.5818  |paral   |2020yCat.1350....0G
286 |BD-10 836                                                                                                |Star                               |04 06 33.7749890784 -10 07 36.166095912|202.2778767759346 -41.1081545893516|   1.602 -7.807   |9.925    |~              |    ~     ~    |    1|  719.409   pc  | -88.2600    +88.2600  |ST-L    |2020AJ....160...83S
287 |BD-11 792                                                                                                |Star                               |04 03 59.7998887944 -11 35 56.655017916|203.6580762892587 -42.3344133532287|  4.526 -32.840   |10.593   |~              |    ~     ~    |    1|  257.736   pc  |  -3.5650     +3.5650  |ST-L    |2020AJ....160...83S
288 |TYC 5312-2206-1                                                                                          |Star                               |04 07 08.2168193664 -09 58 57.102508632|202.1942161801194 -40.9163976490944|  -4.176 -2.121   |10.758   |~              |    ~     ~    |    1| 1784.121   pc  | -81.8054    +81.8054  |paral   |2020yCat.1350....0G
289 |BD-11 774                                                                                                |Star                               |04 00 00.4849520064 -11 29 56.806687968|202.9442319364275 -43.1648791921763|   5.229 -0.561   |10.71    |~              |    ~     ~    |    1|  840.266   pc  | -11.5792    +11.5792  |paral   |2020yCat.1350....0G
290 |BD-10 811                                                                                                |Star                               |04 00 45.6247389096 -10 15 29.792137716|201.5525926623118 -42.4360030813228|    9.546 1.450   |10.91    |~              |    ~     ~    |    1|  670.511   pc  |  -6.0244     +6.0244  |paral   |2020yCat.1350....0G
291 |BD-11 779                                                                                                |Star                               |04 01 12.9959714640 -10 40 00.537291768|202.1144510028630 -42.5241796542612|   3.513 -1.946   |10.89    |~              |    ~     ~    |    1| 1224.590   pc  | -32.2418    +32.2418  |paral   |2020yCat.1350....0G
292 |TYC 5308-1209-1                                                                                          |High Proper Motion Star            |04 01 13.0408336776 -10 12 05.820206508|201.5549832013432 -42.3101267263206| 44.726 -27.587   |10.86    |~              |    ~     ~    |    1|  248.447   pc  |  -0.9197     +0.9197  |paral   |2020yCat.1350....0G
293 |BD-10 821                                                                                                |Star                               |04 02 17.4954960480 -10 12 59.235572052|201.7376120986996 -42.0825889472346|  -1.516 -5.481   |10.53    |~              |    ~     ~    |    1|  994.926   pc  | -17.1249    +17.1249  |paral   |2020yCat.1350....0G
294 |BD-11 796                                                                                                |Star                               |04 04 57.9002498472 -11 23 42.473094756|203.5534484424268 -42.0313337987955| -5.510 -21.307   |10.952   |~              |    ~     ~    |    1|  321.127   pc  |  -6.2650     +6.2650  |ST-L    |2020AJ....160...83S
295 |BD-11 800                                                                                                |Star                               |04 06 43.5788840472 -11 32 18.958618212|203.9828957701282 -41.7080053876001|   1.032 27.133   |10.838   |~              |    ~     ~    |    1|  422.541   pc  | -10.4100    +10.4100  |ST-L    |2020AJ....160...83S
296 |BD-12 799                                                                                                |Star                               |04 06 49.7454329688 -11 46 13.270633500|204.2766836104356 -41.7873681765011| 16.367 -10.379   |10.896   |~              |    ~     ~    |    1|  250.671   pc  |  -3.3770     +3.3770  |ST-L    |2020AJ....160...83S
