C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:41:41

dec< 0&rah >=4.0&rah< 4.25&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 3224

 #  |                                               identifier                                                |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
23  |HD 26052                                                                                                 |High Proper Motion Star            |04 07 26.4969877344 -00 56 05.690803596|192.2692539129096 -36.2447839625240|-30.484 -51.448   |10.03    |G0V            |    ~     ~    |    1|  200.373   pc  |  -0.8030     +0.8030  |paral   |2020yCat.1350....0G
24  |HD 25414                                                                                                 |High Proper Motion Star            |04 02 17.1815942016 -01 37 57.747564912|192.1028336717305 -37.7040403449853| 58.651 -30.903   |7.71     |F5/6IV         |    ~     ~    |    1|   67.513   pc  |  -0.1062     +0.1062  |paral   |2020yCat.1350....0G
25  |HD 25559                                                                                                 |Star                               |04 03 26.3940104688 -01 43 54.955821972|192.4084929460725 -37.5188071964963| -4.618 -13.879   |9.69     |K0III          |    ~     ~    |    1|  450.877   pc  |  -3.1103     +3.1103  |paral   |2020yCat.1350....0G
26  |HD 25629                                                                                                 |Star                               |04 04 02.1376427448 -01 38 35.669587272|192.4188274244608 -37.3457172702358|   1.464 -2.827   |9.99     |G8/K0          |    ~     ~    |    1|  769.408   pc  | -16.2797    +16.2797  |paral   |2020yCat.1350....0G
27  |HD 25780                                                                                                 |Star                               |04 05 10.3258451832 -01 46 50.191024872|192.7593607731798 -37.1842444765966|   18.527 9.363   |9.448    |F3V            |    ~     ~    |    1|  128.430   pc  |  -1.0930     +1.0930  |ST-L    |2020AJ....160...83S
28  |HD 25571                                                                                                 |Star                               |04 03 29.8255348512 -01 55 44.297710500|192.6258761576150 -37.6154469660647| 10.582 -25.456   |9.72     |K0/1(III)      |    ~     ~    |    1|  502.235   pc  |  -4.0106     +4.0106  |paral   |2020yCat.1350....0G
29  |HD 25609                                                                                                 |Star                               |04 03 48.6478942944 -02 00 09.096185988|192.7578071541550 -37.5903734579068|  3.589 -40.282   |9.22     |F5/6V          |    ~     ~    |    1|  189.179   pc  |  -0.6478     +0.6478  |paral   |2020yCat.1350....0G
30  |HD 25630                                                                                                 |Star                               |04 03 59.8974495240 -02 03 12.693845736|192.8440422527008 -37.5791793610989|   0.332 -6.224   |9.52     |A0V            |    ~     ~    |    1|  367.701   pc  |  -4.0156     +4.0156  |paral   |2020yCat.1350....0G
31  |HD 25696                                                                                                 |Star                               |04 04 32.2101223320 -02 02 37.832263800|192.9267598532238 -37.4613095503101| -8.336 -20.736   |9.880    |F5V            |    ~     ~    |    1|  146.436   pc  |  -1.3030     +1.3030  |ST-L    |2020AJ....160...83S
32  |HD 25751                                                                                                 |Star                               |04 04 53.2155108336 -01 59 20.618774880|192.9293357050817 -37.3581227086850|   19.030 6.416   |9.64     |A9V            |    ~     ~    |    1|  219.525   pc  |  -3.1140     +3.1140  |ST-L    |2020AJ....160...83S
33  |HD 25781                                                                                                 |Star                               |04 05 09.9350943672 -01 53 49.921067544|192.8806583855686 -37.2495558306553|  -7.835 -1.020   |8.14     |K2III          |    ~     ~    |    1|  403.275   pc  |  -4.2447     +4.2447  |paral   |2020yCat.1350....0G
34  |HD 25837                                                                                                 |High Proper Motion Star            |04 05 38.0442209328 -02 05 13.210681344|193.1607150067938 -37.2553262517789|  64.277 20.817   |9.930    |F8/G0V         |    ~     ~    |    1|  150.686   pc  |  -1.3290     +1.3290  |ST-L    |2020AJ....160...83S
35  |HD 25980                                                                                                 |Star                               |04 06 41.7134730528 -01 54 52.228505520|193.1608407354592 -36.9390246393756|  18.451 -7.811   |8.59     |K0III          |    ~     ~    |    1|  304.460   pc  |  -2.0393     +2.0393  |paral   |2020yCat.1350....0G
36  |HD 26034                                                                                                 |Star                               |04 07 09.0065351280 -02 06 28.479161628|193.4412406761677 -36.9490005703117|  17.652 15.601   |10.04    |F7/G0          |    ~     ~    |    1|  207.344   pc  |  -0.6449     +0.6449  |paral   |2020yCat.1350....0G
37  |BD-02 801                                                                                                |High Proper Motion Star            |04 05 31.0438808448 -02 16 25.570109172|193.3376889841563 -37.3815107734191| 143.299 40.256   |10.25    |K6             |    ~     ~    |    1|   40.224   pc  |  -0.1038     +0.1038  |ST-L    |2020AJ....160...83S
38  |NGC 1507                           NGC 1507                                                              |HII Galaxy                         |04 04 27.36 -02 11 10.1                |193.06302 -37.55603                |            ~ ~   |12.36    |~              | 3.47  0.83    |    1|    9.12    Mpc |  -0.82       +0.82    |T-F     |2020ApJ...902..145K
