C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:22:25

dec >=0&rah >=1.25&rah< 1.5&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4907

 #  |                                                                 identifier                                                                 |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|--------------------|---------------|-----|----------------|-----------------------|--------|-------------------
884 |TYC 3674-255-1                                                                                                                              |Star                                  |01 21 08.5533910848 +55 14 49.127447364|127.1924683443659 -07.3788492378677|  11.379 -4.154   |10.26    |~                   |    ~     ~    |    1| 1043.188   pc  | -23.7237    +23.7237  |paral   |2020yCat.1350....0G
885 |TYC 3674-276-1                                                                                                                              |Star                                  |01 20 15.6134890464 +55 52 37.720966008|126.9950739637434 -06.7670535981970|    5.955 3.922   |10.42    |~                   |    ~     ~    |    1|  760.341   pc  |  -8.3249     +8.3249  |paral   |2020yCat.1350....0G
886 |TYC 3674-293-1                                                                                                                              |Star                                  |01 20 11.4585698256 +56 02 58.461828288|126.9658901457044 -06.5968033307187|  -28.722 1.312   |10.54    |~                   |    ~     ~    |    1|  343.938   pc  |  -1.6798     +1.6798  |paral   |2020yCat.1350....0G
887 |TYC 3674-294-1                                                                                                                              |Star                                  |01 20 15.3697267800 +55 44 31.149346884|127.0098063388702 -06.9014197138484|   4.356 -3.701   |10.32    |~                   |    ~     ~    |    1|  692.761   pc  | -54.9985    +54.9985  |paral   |2020yCat.1350....0G
888 |TYC 3674-303-1                                                                                                                              |Spectroscopic Binary                  |01 20 28.8140739120 +54 58 55.748009640|127.1282264631141 -07.6527936710306|   -6.692 0.571   |10.54    |~                   |    ~     ~    |    1|  928.936   pc  | -41.0751    +41.0751  |paral   |2020yCat.1350....0G
889 |TYC 3674-381-1                                                                                                                              |Star                                  |01 22 14.6305831920 +55 49 23.101687200|127.2798417402670 -06.7883820324209|   7.184 -2.193   |10.71    |~                   |    ~     ~    |    1|  487.520   pc  |  -3.8503     +3.8503  |paral   |2020yCat.1350....0G
890 |TYC 3674-425-1                                                                                                                              |Star                                  |01 26 58.5703267920 +56 02 47.358804084|127.9123304870721 -06.4812201131373|   8.329 -7.874   |10.62    |~                   |    ~     ~    |    1|  780.092   pc  |  -7.5459     +7.5459  |paral   |2020yCat.1350....0G
891 |TYC 3674-434-1                                                                                                                              |Star                                  |01 22 03.1119668976 +55 58 55.193210940|127.2337888058460 -06.6338318338278|  -8.550 -6.525   |10.62    |~                   |    ~     ~    |    1|  840.901   pc  |  -9.4046     +9.4046  |paral   |2020yCat.1350....0G
892 |TYC 3674-497-1                                                                                                                              |Star                                  |01 20 51.5970425616 +56 07 22.039498488|127.0508542650531 -06.5134784868112|  -4.420 -3.024   |9.89     |~                   |    ~     ~    |    1|  641.725   pc  |  -5.5183     +5.5183  |paral   |2020yCat.1350....0G
893 |TYC 3674-527-1                                                                                                                              |Star                                  |01 23 52.8717639456 +55 59 34.894817736|127.4880059806810 -06.5914555652564|   2.149 -3.879   |10.80    |~                   |    ~     ~    |    1|  500.626   pc  |  -3.8095     +3.8095  |paral   |2020yCat.1350....0G
894 |TYC 3674-530-1                                                                                                                              |Star                                  |01 20 12.5814047328 +55 08 47.450682780|127.0706765363306 -07.4938580364826|   5.172 -2.769   |10.03    |~                   |    ~     ~    |    1|  722.909   pc  |  -8.0480     +8.0480  |paral   |2020yCat.1350....0G
895 |TYC 3674-559-1                                                                                                                              |High Proper Motion Star               |01 23 54.5852045760 +55 58 00.372401004|127.4953372887694 -06.6169958684566|   74.553 3.818   |10.76    |~                   |    ~     ~    |    1|  124.704   pc  |  -0.2488     +0.2488  |paral   |2020yCat.1350....0G
896 |TYC 3674-596-1                                                                                                                              |Star                                  |01 22 34.0545895320 +55 53 48.997315968|127.3162660843064 -06.7095787694041|  -5.791 -7.594   |10.75    |~                   |    ~     ~    |    1|  436.110   pc  |  -3.1001     +3.1001  |paral   |2020yCat.1350....0G
897 |TYC 3674-618-1                                                                                                                              |Star                                  |01 20 24.3506652768 +55 18 12.777430644|127.0808457662838 -07.3346705727903|  -5.874 -5.024   |10.82    |~                   |    ~     ~    |    1|  749.344   pc  | -13.4203    +13.4203  |paral   |2020yCat.1350....0G
898 |TYC 3674-695-1                                                                                                                              |Star                                  |01 20 47.0711296920 +55 56 55.284731592|127.0603952862356 -06.6876378146808|   5.141 -4.476   |10.73    |~                   |    ~     ~    |    1| 1109.262   pc  | -26.9471    +26.9471  |paral   |2020yCat.1350....0G
899 |TYC 3674-728-1                                                                                                                              |Star                                  |01 21 08.9785500336 +55 13 42.913044012|127.1956315313869 -07.3970007749764|   0.517 -1.401   |10.85    |~                   |    ~     ~    |    1|  799.297   pc  | -14.2469    +14.2469  |paral   |2020yCat.1350....0G
900 |TYC 3674-737-1                                                                                                                              |Star                                  |01 21 13.9800698616 +56 04 38.799305148|127.1081283684481 -06.5525168031696|   10.666 9.575   |10.14    |~                   |    ~     ~    |    1|  178.763   pc  |  -0.5848     +0.5848  |paral   |2020yCat.1350....0G
901 |TYC 3674-775-1                                                                                                                              |Star                                  |01 25 10.1397990840 +56 12 34.555747788|127.6391239178750 -06.3535508079895|  -8.380 -6.003   |10.55    |~                   |    ~     ~    |    1|  411.709   pc  |  -2.2205     +2.2205  |paral   |2020yCat.1350....0G
902 |TYC 3674-805-1                                                                                                                              |High Proper Motion Star               |01 26 03.4456828464 +56 00 49.794235848|127.7888592379104 -06.5310981289948| 74.888 -39.868   |10.66    |~                   |    ~     ~    |    1|  364.937   pc  |  -1.6781     +1.6781  |paral   |2020yCat.1350....0G
903 |TYC 3674-837-1                                                                                                                              |Star                                  |01 22 59.5251046224 +55 41 33.918059184|127.4010271289795 -06.9049472339311| 44.741 -20.640   |10.34    |~                   |    ~     ~    |    1|  167.328   pc  |  -0.4228     +0.4228  |paral   |2020yCat.1350....0G
904 |TYC 3674-865-1                                                                                                                              |Star                                  |01 24 00.5701505664 +55 20 14.180221680|127.5898011485853 -07.2396289710536|    8.647 5.229   |10.18    |~                   |    ~     ~    |    1|  370.247   pc  |  -5.1817     +5.1817  |paral   |2020yCat.1350....0G
905 |TYC 3674-879-1                                                                                                                              |Star                                  |01 21 02.1089673480 +55 49 59.434200768|127.1089104252841 -06.7983482346739|   1.612 -1.051   |9.88     |~                   |    ~     ~    |    1|  779.180   pc  | -14.8138    +14.8138  |paral   |2020yCat.1350....0G
906 |TYC 3674-927-1                                                                                                                              |Star                                  |01 21 14.7224196480 +55 24 00.784715688|127.1891651442957 -07.2249497366536|  -4.789 -4.502   |9.91     |~                   |    ~     ~    |    1|  320.718   pc  |  -1.8618     +1.8618  |paral   |2020yCat.1350....0G
907 |TYC 3674-954-1                                                                                                                              |Star                                  |01 24 06.2431930008 +55 52 42.753843336|127.5337903519311 -06.7010558763218|    3.248 0.297   |10.75    |~                   |    ~     ~    |    1|  893.495   pc  |  -9.7397     +9.7397  |paral   |2020yCat.1350....0G
908 |TYC 3674-1080-1                                                                                                                             |Spectroscopic Binary                  |01 22 55.9522133664 +54 52 34.681894752|127.4938204789014 -07.7162417375582| 24.157 -38.823   |10.58    |~                   |    ~     ~    |    1|  121.330   pc  |  -0.2444     +0.2444  |paral   |2020yCat.1350....0G
909 |TYC 3674-1141-1                                                                                                                             |Star                                  |01 22 09.6015560832 +55 11 25.428742332|127.3444985796566 -07.4179191765769|  10.989 -2.956   |10.83    |~                   |    ~     ~    |    1|  481.348   pc  |  -3.3132     +3.3132  |paral   |2020yCat.1350....0G
910 |TYC 3674-1146-1                                                                                                                             |Star                                  |01 21 43.9364607072 +55 44 48.096086244|127.2170949353263 -06.8727955528060|  17.288 -1.176   |10.91    |~                   |    ~     ~    |    1|  384.497   pc  |  -2.0697     +2.0697  |paral   |2020yCat.1350....0G
911 |TYC 3674-1316-1                                                                                                                             |Star                                  |01 23 08.8713622848 +55 38 06.599680152|127.4301411761440 -06.9593864663644|    5.133 0.666   |10.53    |~                   |    ~     ~    |    1|  980.584   pc  | -14.2309    +14.2309  |paral   |2020yCat.1350....0G
912 |TYC 3674-1361-1                                                                                                                             |Star                                  |01 21 22.4483033352 +54 41 01.560139404|127.2919883970768 -07.9343537618472|  -5.821 -3.113   |10.69    |~                   |    ~     ~    |    1|  483.746   pc  |  -4.0016     +4.0016  |paral   |2020yCat.1350....0G
913 |TYC 3674-1411-1                                                                                                                             |Star                                  |01 21 28.2001088136 +54 55 01.899523668|127.2782232279619 -07.7009157336027|  -5.475 -3.249   |10.65    |~                   |    ~     ~    |    1| 1276.650   pc  | -29.1741    +29.1741  |paral   |2020yCat.1350....0G
914 |TYC 3674-1540-1                                                                                                                             |Star                                  |01 21 58.8685102800 +55 09 50.552253720|127.3221084822931 -07.4471390292269|  -8.816 -7.196   |10.73    |~                   |    ~     ~    |    1|  364.166   pc  |  -2.2280     +2.2280  |paral   |2020yCat.1350....0G
915 |TYC 3674-1563-1                                                                                                                             |Star                                  |01 21 09.2182065600 +55 09 35.202464856|127.2042545626861 -07.4652783034039|  -1.992 -2.444   |10.55    |~                   |    ~     ~    |    1| 1901.864   pc  |-106.7040   +106.7040  |paral   |2020yCat.1350....0G
916 |TYC 3674-1702-1                                                                                                                             |Star                                  |01 20 13.9001799600 +54 35 24.011750544|127.1370424156909 -08.0464794247433| -1.562 -12.062   |10.81    |~                   |    ~     ~    |    1|  465.160   pc  |  -6.6210     +6.6210  |paral   |2020yCat.1350....0G
917 |TYC 3677-1016-1                                                                                                                             |Star                                  |01 17 52.4566358664 +57 33 03.111831792|126.4867353357257 -05.1383020345998|  -2.228 -1.495   |9.84     |~                   |    ~     ~    |    1|  658.501   pc  |  -9.0627     +9.0627  |paral   |2020yCat.1350....0G
918 |TYC 3677-1181-1                                                                                                                             |High Proper Motion Star               |01 17 06.7512275232 +57 30 51.632132328|126.3883339164720 -05.1849996642925| 63.062 -25.711   |10.16    |~                   |    ~     ~    |    1|  143.964   pc  |  -0.3212     +0.3212  |paral   |2020yCat.1350....0G
919 |TYC 3677-1242-1                                                                                                                             |Star                                  |01 15 13.7382483984 +56 39 51.359149764|126.2147211565169 -06.0557609764058|   3.876 -3.587   |10.60    |~                   |    ~     ~    |    1|  649.773   pc  |  -7.9374     +7.9374  |paral   |2020yCat.1350....0G
920 |TYC 3677-1260-1                                                                                                                             |Star                                  |01 15 12.1238083440 +56 57 06.585995304|126.1842457435951 -05.7697764411685|  -5.341 -0.612   |10.45    |~                   |    ~     ~    |    1|  703.087   pc  | -13.6930    +13.6930  |paral   |2020yCat.1350....0G
921 |TYC 3677-1342-1                                                                                                                             |Star                                  |01 19 40.2109140528 +56 58 27.133851036|126.7908555705470 -05.6858604972844|   2.694 -3.471   |10.40    |~                   |    ~     ~    |    1|  432.563   pc  |  -5.3888     +5.3888  |paral   |2020yCat.1350....0G
922 |TYC 3677-1365-1                                                                                                                             |Star                                  |01 15 50.8138079592 +57 25 51.263172768|126.2264680325410 -05.2846187875983| -10.612 -7.393   |10.58    |~                   |    ~     ~    |    1|  517.250   pc  | -19.9056    +19.9056  |paral   |2020yCat.1350....0G
923 |TYC 3677-1418-1                                                                                                                             |Star                                  |01 18 36.6020278512 +56 37 10.130805948|126.6842743973217 -06.0541699809683|   5.248 -6.127   |10.79    |~                   |    ~     ~    |    1|  627.746   pc  | -28.3727    +28.3727  |paral   |2020yCat.1350....0G
924 |TYC 3677-1426-1                                                                                                                             |Star                                  |01 16 50.6139401904 +56 59 49.607984256|126.4036393186023 -05.7032816664694|  29.933 -8.509   |10.35    |~                   |    ~     ~    |    1|  274.567   pc  |  -1.0931     +1.0931  |paral   |2020yCat.1350....0G
925 |TYC 3677-1466-1                                                                                                                             |Star                                  |01 18 34.5369890328 +56 17 37.222693476|126.7142017824851 -06.3786513964592|  -0.195 -2.244   |10.45    |~                   |    ~     ~    |    1|  788.768   pc  | -20.8422    +20.8422  |paral   |2020yCat.1350....0G
926 |TYC 3677-1470-1                                                                                                                             |Star                                  |01 16 21.1473014640 +57 01 30.103910652|126.3340326841086 -05.6820511853991|  40.562 -9.636   |10.08    |~                   |    ~     ~    |    1|  142.066   pc  |  -0.4279     +0.4279  |paral   |2020yCat.1350....0G
927 |TYC 3677-1489-1                                                                                                                             |Star                                  |01 17 51.4006437744 +57 11 24.871616268|126.5216126644280 -05.4972561867406|   -0.296 1.583   |10.59    |~                   |    ~     ~    |    1|  764.059   pc  | -10.0411    +10.0411  |paral   |2020yCat.1350....0G
928 |TYC 3677-1527-1                                                                                                                             |Star                                  |01 15 25.1352580464 +57 25 07.203914292|126.1700298825598 -05.3022286351924| 27.647 -10.947   |10.92    |~                   |    ~     ~    |    1|  250.081   pc  |  -1.2383     +1.2383  |paral   |2020yCat.1350....0G
929 |TYC 3677-1556-1                                                                                                                             |Star                                  |01 18 25.1387685096 +56 56 58.073033868|126.6231329474649 -05.7287854554687|  -0.509 -4.494   |10.89    |~                   |    ~     ~    |    1|  872.905   pc  |  -9.9817     +9.9817  |paral   |2020yCat.1350....0G
930 |TYC 3677-1570-1                                                                                                                             |Star                                  |01 17 21.5758947840 +56 53 36.842964684|126.4844094591862 -05.7992754631570|  -1.157 -2.616   |10.11    |~                   |    ~     ~    |    1| 1107.788   pc  | -17.0580    +17.0580  |paral   |2020yCat.1350....0G
931 |TYC 3677-1571-1                                                                                                                             |Spectroscopic Binary                  |01 18 35.2936606008 +57 13 42.799224684|126.6165580558036 -05.4488260590988|  20.210 -3.802   |10.22    |~                   |    ~     ~    |    1|  378.143   pc  |  -2.0877     +2.0877  |paral   |2020yCat.1350....0G
932 |TYC 3677-1710-1                                                                                                                             |Star                                  |01 19 44.7210797424 +56 37 00.145971624|126.8406977023518 -06.0400517472875| 24.836 -13.239   |10.79    |~                   |    ~     ~    |    1|  310.742   pc  |  -1.9602     +1.9602  |paral   |2020yCat.1350....0G
933 |TYC 3677-1791-1                                                                                                                             |Star                                  |01 15 15.4776466608 +57 13 58.543577400|126.1656651269468 -05.4891832226239|  -2.103 -5.683   |10.80    |~                   |    ~     ~    |    1|  959.049   pc  | -15.6362    +15.6362  |paral   |2020yCat.1350....0G
934 |TYC 3677-1922-1                                                                                                                             |Star                                  |01 15 14.1577928544 +56 55 04.882783404|126.1920216861871 -05.8030090339674|   22.295 7.924   |10.31    |~                   |    ~     ~    |    1|  156.204   pc  |  -0.3806     +0.3806  |paral   |2020yCat.1350....0G
935 |TYC 3677-2048-2                                                                                                                             |Star                                  |01 17 03.3215796552 +56 30 19.213019136|126.4818293746903 -06.1897369037685|  -5.494 -5.029   |10.05    |~                   |    ~     ~    |    1|  290.149   pc  |  -1.5995     +1.5995  |paral   |2020yCat.1350....0G
936 |TYC 3677-2087-1                                                                                                                             |Star                                  |01 15 02.6033363856 +56 59 27.050210088|126.1589887086424 -05.7329202489878|  -0.270 -1.405   |9.82     |~                   |    ~     ~    |    1| 1437.195   pc  | -34.9074    +34.9074  |paral   |2020yCat.1350....0G
937 |GSC 03677-02110                                                                                                                             |Double or Multiple Star               |01 16 45.9468117120 +56 28 18.836934492|126.4451627429351 -06.2269782833926| -14.039 -1.277   |10.759   |~                   |    ~     ~    |    1|  504.058   pc  |  -3.9127     +3.9127  |paral   |2020yCat.1350....0G
938 |TYC 3677-2138-1                                                                                                                             |Star                                  |01 16 46.7547539832 +56 36 21.906865080|126.4336924387269 -06.0932647849346|  14.579 -2.834   |10.41    |~                   |    ~     ~    |    1|  692.425   pc  |  -6.6644     +6.6644  |paral   |2020yCat.1350....0G
939 |GSC 03677-02193                                                                                                                             |Double or Multiple Star               |01 19 48.9001480152 +56 51 38.412148176|126.8231699985467 -05.7965253376857|      -0.1 -3.4   |10.494   |~                   |    ~     ~    |    0|                |                       |        |                   
940 |TYC 3678-763-1                                                                                                                              |Star                                  |01 23 11.8548663600 +57 14 02.035866156|127.2383041202881 -05.3720561340414|   1.542 -3.104   |10.79    |~                   |    ~     ~    |    1|  828.569   pc  | -18.6735    +18.6735  |paral   |2020yCat.1350....0G
941 |TYC 3678-835-1                                                                                                                              |Star                                  |01 24 39.2812757256 +57 03 57.476426724|127.4565157856102 -05.5136851208741|    1.186 2.061   |10.57    |~                   |    ~     ~    |    1| 1335.827   pc  | -26.2312    +26.2312  |paral   |2020yCat.1350....0G
942 |TYC 3678-864-1                                                                                                                              |Star                                  |01 23 14.8544163168 +56 38 53.801970180|127.3178630609926 -05.9523404824322|  22.721 -3.978   |9.95     |~                   |    ~     ~    |    1|  462.792   pc  |  -3.0413     +3.0413  |paral   |2020yCat.1350....0G
943 |TYC 3678-953-1                                                                                                                              |Star                                  |01 24 37.3843832592 +57 02 45.118915044|127.4548401461630 -05.5341710918929|   -6.423 5.066   |10.84    |~                   |    ~     ~    |    1|  510.621   pc  |  -4.3021     +4.3021  |paral   |2020yCat.1350....0G
944 |TYC 3678-987-1                                                                                                                              |Star                                  |01 27 16.4700453168 +57 01 31.173330288|127.8166850130533 -05.5061480627452|   0.312 -8.010   |10.78    |~                   |    ~     ~    |    0|                |                       |        |                   
945 |TYC 3678-1027-1                                                                                                                             |Star                                  |01 26 25.9322404872 +57 03 15.455555496|127.6986813145559 -05.4932222499851|  -5.088 -6.498   |10.17    |~                   |    ~     ~    |    1|  490.148   pc  |  -6.3905     +6.3905  |paral   |2020yCat.1350....0G
946 |TYC 3678-1034-1                                                                                                                             |Star                                  |01 20 31.4671724544 +56 30 31.826136852|126.9600811952275 -06.1352455503291|   1.877 -1.591   |10.93    |~                   |    ~     ~    |    1|  741.015   pc  | -10.9272    +10.9272  |paral   |2020yCat.1350....0G
947 |TYC 3678-1038-1                                                                                                                             |Star                                  |01 22 01.9530148464 +56 19 17.242882392|127.1903610884774 -06.2971166944971|  -2.165 -1.423   |10.73    |~                   |    ~     ~    |    1|  820.816   pc  | -18.3931    +18.3931  |paral   |2020yCat.1350....0G
948 |TYC 3678-1104-1                                                                                                                             |Star                                  |01 26 55.3815079056 +56 19 13.423008792|127.8668748051497 -06.2109635661834|   2.551 -4.363   |10.00    |~                   |    ~     ~    |    1|  699.496   pc  | -13.1620    +13.1620  |paral   |2020yCat.1350....0G
949 |TYC 3678-1124-1                                                                                                                             |Star                                  |01 24 14.0739314136 +56 37 32.886008796|127.4560545526711 -05.9575808521176|    2.898 1.530   |10.69    |~                   |    ~     ~    |    1| 1253.447   pc  | -23.8812    +23.8812  |paral   |2020yCat.1350....0G
950 |TYC 3678-1127-1                                                                                                                             |Star                                  |01 21 23.1436007856 +56 59 13.201785744|127.0227467535509 -05.6466866427368|   -6.247 0.325   |10.26    |~                   |    ~     ~    |    1|  601.757   pc  |  -4.8523     +4.8523  |paral   |2020yCat.1350....0G
951 |TYC 3678-1130-1                                                                                                                             |Star                                  |01 25 02.8804606272 +56 17 12.999468048|127.6121616460383 -06.2790754879608|  -0.390 -0.021   |10.78    |~                   |    ~     ~    |    1|  810.701   pc  | -14.9193    +14.9193  |paral   |2020yCat.1350....0G
952 |TYC 3678-1218-1                                                                                                                             |Star                                  |01 20 56.2244343144 +56 27 46.399375512|127.0222672581287 -06.1743985048062|   1.738 -3.938   |10.50    |~                   |    ~     ~    |    1|  905.797   pc  | -15.3428    +15.3428  |paral   |2020yCat.1350....0G
953 |TYC 3678-1223-1                                                                                                                             |Star                                  |01 21 21.7312564176 +56 57 04.367952288|127.0237345063122 -05.6826038443968| 20.372 -12.075   |10.88    |~                   |    ~     ~    |    1|  472.500   pc  |  -4.0186     +4.0186  |paral   |2020yCat.1350....0G
954 |TYC 3678-1251-1                                                                                                                             |Star                                  |01 20 05.9225766048 +57 24 08.827295832|126.8011968630642 -05.2538182468049|   3.444 -0.043   |10.71    |~                   |    ~     ~    |    1|  897.827   pc  | -11.0435    +11.0435  |paral   |2020yCat.1350....0G
955 |TYC 3678-1312-1                                                                                                                             |Star                                  |01 25 08.3741474136 +56 26 26.602302264|127.6045431665642 -06.1249610861482| -12.006 -5.296   |10.27    |~                   |    ~     ~    |    1|  430.849   pc  |  -3.0443     +3.0443  |paral   |2020yCat.1350....0G
956 |TYC 3678-1382-1                                                                                                                             |Star                                  |01 20 14.9687369928 +56 38 46.968121896|126.9066510381264 -06.0028524436398|  10.519 -6.178   |10.99    |~                   |    ~     ~    |    1|  490.364   pc  |  -6.3000     +6.3000  |paral   |2020yCat.1350....0G
957 |TYC 3678-1463-1                                                                                                                             |Star                                  |01 20 59.0912491176 +57 23 25.953913068|126.9216521773413 -05.2521395105973|  -2.462 -4.432   |10.85    |~                   |    ~     ~    |    1| 1185.536   pc  | -24.4556    +24.4556  |paral   |2020yCat.1350....0G
958 |TYC 3678-1470-1                                                                                                                             |Star                                  |01 26 48.4461713088 +56 17 11.246541036|127.8556073474309 -06.2467873927464| -5.360 -13.841   |10.31    |~                   |    ~     ~    |    1|  274.281   pc  |  -2.6180     +2.6180  |paral   |2020yCat.1350....0G
959 |TYC 3678-1518-1                                                                                                                             |Star                                  |01 24 48.0014266656 +56 35 13.248207168|127.5386533381956 -05.9860321400091|  -1.410 -4.627   |9.54     |~                   |    ~     ~    |    1|  547.735   pc  |  -8.4604     +8.4604  |paral   |2020yCat.1350....0G
960 |TYC 3678-1781-1                                                                                                                             |Star                                  |01 29 05.0247621048 +56 53 37.311983700|128.0808016862410 -05.6012267098222|   2.049 -0.577   |10.81    |~                   |    ~     ~    |    1|  818.264   pc  |  -9.0390     +9.0390  |paral   |2020yCat.1350....0G
961 |TYC 3678-1791-1                                                                                                                             |Star                                  |01 21 03.5270063160 +56 46 01.057667268|127.0037959824895 -05.8704206742733| -10.696 -7.455   |10.72    |~                   |    ~     ~    |    1|  879.817   pc  | -11.3015    +11.3015  |paral   |2020yCat.1350....0G
962 |TYC 3678-1824-1                                                                                                                             |Spectroscopic Binary                  |01 21 01.3944733320 +56 55 08.961786156|126.9813165445591 -05.7197988235033|  1.072 -12.978   |9.56     |~                   |    ~     ~    |    1|  278.412   pc  |  -8.0381     +8.0381  |paral   |2020yCat.1350....0G
963 |TYC 3678-1910-1                                                                                                                             |Star                                  |01 22 32.5435152192 +56 44 19.657645260|127.2101297878025 -05.8743576241313|   9.484 -0.500   |9.26     |~                   |    ~     ~    |    1|  743.218   pc  |  -9.3903     +9.3903  |paral   |2020yCat.1350....0G
964 |TYC 3678-1983-1                                                                                                                             |Star                                  |01 22 12.0886606512 +57 04 46.662459816|127.1224788926013 -05.5416012750358| 13.512 -10.457   |10.73    |~                   |    ~     ~    |    1|  402.771   pc  |  -3.1472     +3.1472  |paral   |2020yCat.1350....0G
965 |TYC 3678-1990-1                                                                                                                             |Star                                  |01 24 39.9477036528 +56 42 31.596584760|127.5044041755126 -05.8676843156780|   0.197 -2.074   |9.71     |~                   |    ~     ~    |    1| 2383.790   pc  |-106.2619   +106.2619  |paral   |2020yCat.1350....0G
966 |TYC 3678-2029-1                                                                                                                             |Star                                  |01 26 52.0717509048 +56 41 49.210117980|127.8070708755480 -05.8390038302803|  -3.089 -4.866   |10.37    |~                   |    ~     ~    |    1|  769.172   pc  | -15.0273    +15.0273  |paral   |2020yCat.1350....0G
967 |TYC 3678-2032-1                                                                                                                             |Star                                  |01 27 01.6539652536 +56 41 36.824087868|127.8293746427855 -05.8393847455760|  -1.988 -1.630   |10.92    |~                   |    ~     ~    |    1| 1301.744   pc  | -21.3512    +21.3512  |paral   |2020yCat.1350....0G
968 |V* V555 Cas                                                                                                                                 |Long-Period Variable                  |01 16 08.2180517640 +55 30 10.172918340|126.4522897215522 -07.2000067054771|   1.319 -3.126   |9.60     |M1                  |    ~     ~    |    1| 1098.418   pc  | -22.6826    +22.6826  |paral   |2020yCat.1350....0G
969 |HD 8493                                                                                                                                     |Star                                  |01 25 05.9736972672 +54 23 26.582994672|127.8702632285489 -08.1579504956310|   0.133 -1.768   |9.30     |A                   |    ~     ~    |    1|  978.378   pc  | -35.2258    +35.2258  |paral   |2020yCat.1350....0G
970 |HD 8946                                                                                                                                     |Star                                  |01 29 19.1612237712 +54 21 31.369469940|128.4894116415473 -08.1037635569779|  -0.710 -2.202   |8.69     |A0                  |    ~     ~    |    1|  874.814   pc  | -21.2753    +21.2753  |paral   |2020yCat.1350....0G
971 |HD 232447                                                                                                                                   |Star                                  |01 29 26.5849483608 +54 18 43.199525556|128.5144195176580 -08.1472898287247|  31.039 10.123   |9.38     |K2                  |    ~     ~    |    1|  434.141   pc  |  -2.9214     +2.9214  |paral   |2020yCat.1350....0G
972 |HD 232446                                                                                                                                   |Star                                  |01 29 23.9158448472 +54 13 24.388149000|128.5212024402039 -08.2358322171194| -14.038 -5.042   |9.15     |K5                  |    ~     ~    |    1|  315.657   pc  |  -1.8035     +1.8035  |paral   |2020yCat.1350....0G
973 |HD 232438                                                                                                                                   |Star                                  |01 27 28.8664712832 +54 57 47.069565804|128.1358996173590 -07.5440740014610|   4.608 -4.448   |9.84     |A0                  |    ~     ~    |    1|  698.568   pc  | -13.2735    +13.2735  |paral   |2020yCat.1350....0G
974 |HD 232439                                                                                                                                   |Spectroscopic Binary                  |01 27 47.7335208456 +55 08 18.570503328|128.1558841887546 -07.3640561578428|   -3.022 1.280   |10.78    |G                   |    ~     ~    |    0|                |                       |        |                   
975 |HD 232441                                                                                                                                   |Double or Multiple Star               |01 28 37.8465562920 +55 10 40.523536704|128.2692186230685 -07.3079290940852|     49.8 -32.3   |9.47     |G0                  |    ~     ~    |    0|                |                       |        |                   
976 |HD 8891                                                                                                                                     |Star                                  |01 28 53.4561145968 +55 16 44.324748552|128.2913945300318 -07.2025525159228|  -0.938 -2.670   |8.12     |A0                  |    ~     ~    |    1|  641.437   pc  | -11.9729    +11.9729  |paral   |2020yCat.1350....0G
977 |HD 232445                                                                                                                                   |Star                                  |01 29 10.3960659360 +55 38 02.918631840|128.2788833838767 -06.8453554351123|   -8.836 0.826   |9.35     |K7                  |    ~     ~    |    1|  376.591   pc  |  -1.9997     +1.9997  |paral   |2020yCat.1350....0G
978 |HD 232444                                                                                                                                   |Star                                  |01 29 03.9441986808 +55 38 03.434198280|128.2637439948749 -06.8474401478147|   1.947 -5.542   |10.28    |B9                  |    ~     ~    |    1|  863.334   pc  | -14.5342    +14.5342  |paral   |2020yCat.1350....0G
979 |HD 9006                                                                                                                                     |Pulsating Variable                    |01 29 50.5019129544 +54 51 01.082151576|128.4910578616574 -07.6063946772941|   4.550 -1.510   |8.67     |A2                  |    ~     ~    |    1|  603.610   pc  |  -8.4528     +8.4528  |paral   |2020yCat.1350....0G
980 |HD 232449                                                                                                                                   |Star                                  |01 29 58.4755346232 +55 00 26.208396180|128.4863469498604 -07.4483276621399|  22.946 -6.190   |8.86     |K7                  |    ~     ~    |    1|  474.924   pc  |  -7.5560     +7.5560  |paral   |2020yCat.1350....0G
981 |HD 232448                                                                                                                                   |High Proper Motion Star               |01 29 50.3299959216 +54 36 44.857834092|128.5265975501312 -07.8416133558461| 10.883 -57.712   |9.14     |G0                  |    ~     ~    |    1|  105.265   pc  |  -0.6338     +0.6338  |paral   |2020yCat.1350....0G
982 |HD 232425                                                                                                                                   |Star                                  |01 23 12.3795178416 +54 33 36.863213436|127.5728650793283 -08.0249916363321| 24.387 -13.358   |9.33     |K2                  |    ~     ~    |    1|  311.575   pc  |  -1.8542     +1.8542  |paral   |2020yCat.1350....0G
983 |HD 236757                                                                                                                                   |Star                                  |01 29 15.0217584960 +56 34 52.185055332|128.1495628360583 -05.9070365765912|  -0.235 -3.910   |9.23     |A0                  |    ~     ~    |    1|  513.163   pc  | -13.8251    +13.8251  |paral   |2020yCat.1350....0G
