C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:22:25

dec >=0&rah >=1.25&rah< 1.5&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4907

 #  |                                                                 identifier                                                                 |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|--------------------|---------------|-----|----------------|-----------------------|--------|-------------------
22  |HD 8088                                                                                                                                     |Star                                  |01 21 04.0519450800 +44 51 15.721156296|128.4371185022883 -17.7004289333747|  5.366 -22.507   |9.49     |G5                  |    ~     ~    |    1|  288.218   pc  |  -3.5138     +3.5138  |paral   |2020yCat.1350....0G
23  |HD 8150                                                                                                                                     |Star                                  |01 21 38.8576033392 +45 12 57.483482508|128.4977226714516 -17.3290562070930|   3.040 -6.797   |9.44     |G5                  |    ~     ~    |    1|  540.599   pc  |  -6.5171     +6.5171  |paral   |2020yCat.1350....0G
24  |HD 8198                                                                                                                                     |Star                                  |01 22 18.0585400536 +45 07 41.617248636|128.6288300993871 -17.4018564609516| 26.880 -10.425   |10.22    |F                   |    ~     ~    |    1|  280.529   pc  |  -1.8021     +1.8021  |paral   |2020yCat.1350....0G
25  |NAME Adhil                         * ksi And                                                                                                |Star                                  |01 22 20.4200755704 +45 31 43.596248844|128.5835324567643 -17.0035907890393|   31.681 9.024   |4.868    |K0-IIIb             |    ~     ~    |    1|   68.473   pc  |  -0.4820     +0.4820  |paral   |2020yCat.1350....0G
26  |HD 8244                                                                                                                                     |Star                                  |01 22 38.6597050776 +45 17 31.750666080|128.6700611153569 -17.2316231082922|  -4.856 -3.260   |9.83     |K0                  |    ~     ~    |    1|  646.538   pc  |  -5.9358     +5.9358  |paral   |2020yCat.1350....0G
27  |HD 8263                                                                                                                                     |Star                                  |01 22 46.7874806448 +45 05 05.418768984|128.7224069149154 -17.4342361913652| -11.068 -2.996   |10.27    |A0                  |    ~     ~    |    1|  499.376   pc  |  -6.7332     +6.7332  |paral   |2020yCat.1350....0G
28  |HD 8317                                                                                                                                     |Star                                  |01 23 18.0964508088 +45 19 58.409662260|128.7845879436370 -17.1764514137173| -9.703 -18.362   |7.26     |B9                  |    ~     ~    |    1|  241.499   pc  |  -2.1871     +2.1871  |paral   |2020yCat.1350....0G
29  |HD 8366                                                                                                                                     |Star                                  |01 23 48.4125861576 +45 10 23.437379028|128.8986766847147 -17.3232322636307| -10.731 14.235   |10.50    |G5                  |    ~     ~    |    1|  319.387   pc  |  -1.5505     +1.5505  |paral   |2020yCat.1350....0G
30  |HD 8355                                                                                                                                     |Star                                  |01 23 41.5880532240 +45 39 19.467211644|128.8119664597159 -16.8477587336043|  10.078 -2.702   |9.66     |G5                  |    ~     ~    |    1|  386.638   pc  |  -1.9882     +1.9882  |paral   |2020yCat.1350....0G
31  |HD 8385                                                                                                                                     |Star                                  |01 23 58.4090930016 +45 22 36.193155924|128.9010754027681 -17.1176021732717|   6.198 -5.907   |9.94     |G5                  |    ~     ~    |    1|  725.742   pc  |  -7.4792     +7.4792  |paral   |2020yCat.1350....0G
32  |HD 8419                                                                                                                                     |Star                                  |01 24 15.7749973224 +45 16 48.360684792|128.9672340357917 -17.2066381889801| 37.732 -10.421   |9.45     |F8                  |    ~     ~    |    1|  230.494   pc  |  -9.1964     +9.1964  |paral   |2020yCat.1350....0G
33  |HD 8528                                                                                                                                     |Double or Multiple Star               |01 25 06.7424451 +45 36 30.812541      |129.0754197279 -16.8611171410      |   -9.70 -21.88   |8.18     |F0                  |0.0033  0.0    |    0|                |                       |        |                   
34  |HD 8547                                                                                                                                     |Star                                  |01 25 23.9421055368 +45 36 09.900059868|129.1281461583546 -16.8600166389458|  -0.366 -1.645   |8.50     |G5                  |    ~     ~    |    1|  587.027   pc  | -20.2625    +20.2625  |paral   |2020yCat.1350....0G
35  |HD 7539                                                                                                                                     |Star                                  |01 16 10.9438835736 +44 31 01.231431852|127.5694213477283 -18.1318135876645|   10.698 9.443   |9.21     |G5                  |    ~     ~    |    1|   76.267   pc  |  -0.1611     +0.1611  |paral   |2020yCat.1350....0G
36  |HD 7577                                                                                                                                     |Star                                  |01 16 32.8541935344 +44 26 41.248161384|127.6453462887367 -18.1970341320715|   4.120 -4.306   |8.49     |B9                  |    ~     ~    |    1|  467.508   pc  | -11.1686    +11.1686  |paral   |2020yCat.1350....0G
37  |HD 7558                                                                                                                                     |Star                                  |01 16 31.5393092568 +44 27 24.638305284|127.6399522050751 -18.1854450969561|   4.041 -4.305   |9.52     |A0                  |    ~     ~    |    1|  522.002   pc  | -10.3817    +10.3817  |paral   |2020yCat.1350....0G
38  |HD 7698                                                                                                                                     |Star                                  |01 17 33.7531173696 +44 24 19.360857996|127.8394052495117 -18.2172934675407|    3.057 3.146   |10.25    |G                   |    ~     ~    |    1|  146.310   pc  |  -0.6229     +0.6229  |paral   |2020yCat.1350....0G
39  |HD 7722                                                                                                                                     |Star                                  |01 17 41.7778562376 +44 37 54.882009012|127.8388967910326 -17.9895092529654|   5.430 -1.263   |6.760    |K5                  |    ~     ~    |    1|  391.803   pc  | -11.3137    +11.3137  |paral   |2020yCat.1350....0G
40  |GSC 02812-02343                                                                                                                             |Star                                  |01 17 38.2603489440 +44 38 10.936355712|127.8274930654321 -17.9861897044158| -22.069 -4.592   |9.4      |~                   |    ~     ~    |    1|  102.488   pc  |  -0.1576     +0.1576  |paral   |2020yCat.1350....0G
