C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:07:16

dec< 0&rah >=12.5&rah< 12.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5075

 #  |                                                                                  identifier                                                                                   |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
753 |BD-07 3459                                                                                                                                                                     |Star                                  |12 40 48.6224569512 -07 48 18.931938156|298.3426688914439 +54.9717619810928| -33.870 14.590   |10.12    |~              |    ~     ~    |    1|  368.895   pc  |  -2.5175     +2.5175    |paral   |2020yCat.1350....0G
754 |BD-06 3623                                                                                                                                                                     |Red Giant Branch star                 |12 41 01.2937433880 -07 46 01.606905624|298.4288867271010 +55.0135354454555| -30.278 -9.856   |10.45    |~              |    ~     ~    |    1|  614.439   pc  |  -6.7956     +6.7956    |paral   |2020yCat.1350....0G
755 |BD-05 3548                                                                                                                                                                     |Star                                  |12 41 20.0018037864 -06 08 08.217392856|298.3602638018485 +56.6464116878870| -10.305 15.945   |10.16    |~              |    ~     ~    |    1|  508.156   pc  |  -5.7325     +5.7325    |paral   |2020yCat.1350....0G
756 |BD-05 3549                                                                                                                                                                     |Horizontal Branch Star                |12 41 30.5715214896 -06 41 36.467777760|298.5098186253399 +56.0930141021490| -11.029 -7.531   |10.68    |~              |    ~     ~    |    1|  803.536   pc  | -11.7512    +11.7512    |paral   |2020yCat.1350....0G
757 |BD-05 3552                                                                                                                                                                     |High Proper Motion Star               |12 42 27.8234851104 -06 08 19.155617232|298.8706215553247 +56.6623097511060|-44.367 -32.709   |10.10    |~              |    ~     ~    |    1|  350.787   pc  |  -7.4080     +7.4080    |ST-L    |2020AJ....160...83S
758 |BD-05 3553                                                                                                                                                                     |Star                                  |12 42 32.6658970176 -06 15 54.006912684|298.9214489749499 +56.5374770437230| 26.802 -18.896   |10.248   |~              |    ~     ~    |    1|  161.377   pc  |  -1.7060     +1.7060    |ST-L    |2020AJ....160...83S
759 |BD-06 3628                                                                                                                                                                     |Star                                  |12 42 38.6119331544 -07 12 57.354548040|299.0702229603933 +55.5898611555007| 24.171 -12.287   |10.15    |F8V            |    ~     ~    |    1|  209.820   pc  |  -0.7924     +0.7924    |paral   |2020yCat.1350....0G
760 |BD-06 3630                                                                                                                                                                     |Star                                  |12 42 50.6105167944 -07 01 00.139443456|299.1369112980918 +55.7917008339761|   6.938 -3.982   |10.06    |~              |    ~     ~    |    1|  206.842   pc  |  -0.8343     +0.8343    |paral   |2020yCat.1350....0G
761 |BD-05 3557                                                                                                                                                                     |Star                                  |12 44 00.4588256016 -06 25 42.947058000|299.5954737503030 +56.3950087585648| 14.171 -23.828   |10.88    |~              |    ~     ~    |    1|  245.140   pc  | -19.4523    +19.4523    |paral   |2020yCat.1350....0G
762 |BD-05 3558                                                                                                                                                                     |High Proper Motion Star               |12 44 25.4277721128 -06 27 40.085921556|299.7849306861573 +56.3677478557243|-109.005 -21.877  |10.977   |G3V            |    ~     ~    |    1|  145.021   pc  |  -1.6220     +1.6220    |ST-L    |2020AJ....160...83S
763 |BD-05 3560                                                                                                                                                                     |Star                                  |12 44 43.7139385176 -06 36 03.714766596|299.9333104172296 +56.2316472073436|  -43.009 9.971   |10.358   |~              |    ~     ~    |    1|  622.793   pc  | -31.2100    +31.2100    |ST-L    |2020AJ....160...83S
764 |BD-05 3546                                                                                                                                                                     |Star                                  |12 40 28.7651519472 -06 34 56.524346292|298.0374267445421 +56.1852019324994| -13.319 -6.809   |10.81    |~              |    ~     ~    |    1| 1257.071   pc  | -27.9700    +27.9700    |paral   |2020yCat.1350....0G
765 |BD-05 3551                                                                                                                                                                     |Star                                  |12 42 18.5947621320 -06 35 40.941366144|298.8540632120902 +56.2047513515639|-15.750 -11.074   |10.70    |~              |    ~     ~    |    1|  731.743   pc  | -12.5295    +12.5295    |paral   |2020yCat.1350....0G
766 |NGC 4628                           NGC 4628                                                                                                                                    |Seyfert 2 Galaxy                      |12 42 25.2474767568 -06 58 15.805836228|298.9456458163000 +55.8308827922797|            ~ ~   |     ~   |~              |1.137 0.341    |    1|   46.13    Mpc |  -3.11       +3.11      |T-F     |2020ApJ...902..145K
767 |TYC 4954-615-1                                                                                                                                                                 |Star                                  |12 37 46.5202255584 -06 25 19.858915416|296.8085634562658 +56.2870394962278|  6.029 -15.011   |10.641   |~              |    ~     ~    |    1|  345.746   pc  |  -7.4530     +7.4530    |ST-L    |2020AJ....160...83S
768 |TYC 4954-664-1                                                                                                                                                                 |High Proper Motion Star               |12 34 56.1699589056 -07 02 13.946929404|295.6713728832845 +55.6017376123926|  -95.945 6.381   |10.921   |~              |    ~     ~    |    1|  142.209   pc  |  -1.2730     +1.2730    |ST-L    |2020AJ....160...83S
769 |TYC 4954-699-1                                                                                                                                                                 |Star                                  |12 38 01.0045136088 -07 01 04.317905640|297.0153534669388 +55.6996253546424|  -16.659 3.498   |10.892   |~              |    ~     ~    |    1|  702.689   pc  | -29.4300    +29.4300    |ST-L    |2020AJ....160...83S
770 |TYC 4955-800-1                                                                                                                                                                 |Star                                  |12 43 16.4515797264 -06 08 57.859283328|299.2377045912513 +56.6637735991112| -14.755 -2.254   |10.681   |~              |    ~     ~    |    1|  421.592   pc  | -11.0900    +11.0900    |ST-L    |2020AJ....160...83S
771 |TYC 4955-1105-1                                                                                                                                                                |Star                                  |12 42 50.6410510896 -05 31 56.811104184|298.9742227010110 +57.2732459216445|-30.363 -31.114   |10.783   |~              |    ~     ~    |    1| 1076.520   pc  | -68.3500    +68.3500    |ST-L    |2020AJ....160...83S
772 |TYC 5528-183-1                                                                                                                                                                 |Star                                  |12 42 19.4325282552 -07 35 36.458861532|298.9716261579081 +55.2081890036012| 15.415 -10.673   |10.95    |~              |    ~     ~    |    1|  262.129   pc  |  -6.1730     +6.1730    |ST-L    |2020AJ....160...83S
773 |HD 109418                                                                                                                                                                      |Star                                  |12 34 31.7927629176 -08 23 35.432262312|295.7634842239974 +54.2430695900038|   0.397 -5.677   |9.96     |F5V            |    ~     ~    |    1|  317.814   pc  |  -8.3630     +8.3630    |ST-L    |2020AJ....160...83S
774 |BD-07 3430                                                                                                                                                                     |High Proper Motion Star               |12 33 49.7453497464 -08 27 16.663360788|295.4811657619301 +54.1621819548761| -84.493 11.984   |10.36    |~              |    ~     ~    |    1|  278.699   pc  |  -7.9149     +7.9149    |paral   |2020yCat.1350....0G
775 |BD-07 3431                                                                                                                                                                     |Star                                  |12 33 58.4838328704 -08 28 41.237057820|295.5469051274924 +54.1430319398686|-44.067 -20.584   |10.16    |~              |    ~     ~    |    1|  253.402   pc  |  -1.7273     +1.7273    |paral   |2020yCat.1350....0G
776 |TYC 5527-1059-1                                                                                                                                                                |Star                                  |12 34 19.6645971720 -08 36 45.107272944|295.7208924291936 +54.0194822031939|  -6.937 -5.213   |10.653   |~              |    ~     ~    |    1| 2551.880   pc  |-358.1000   +358.1000    |ST-L    |2020AJ....160...83S
777 |HD 109555                                                                                                                                                                      |Star                                  |12 35 38.8159929576 -08 37 52.404837024|296.2761814931618 +54.0363310994149|-32.037 -28.054   |8.97     |K0/1III        |    ~     ~    |    1|  258.967   pc  |  -1.1736     +1.1736    |paral   |2020yCat.1350....0G
778 |* q Vir                                                                                                                                                                        |High Proper Motion Star               |12 33 46.7478862 -09 27 07.477523      |295.6548890696 +53.1699809884      |    -83.46 0.22   |5.48     |B9V            |    ~     ~    |    1|   87.9802  pc  |  -3.7534     +3.7534    |paral   |2018yCat.1345....0G
779 |HD 109363                                                                                                                                                                      |Star                                  |12 34 08.0266094448 -08 50 58.465835340|295.6856520328117 +53.7785340954400|  -13.628 2.461   |8.96     |F7V            |    ~     ~    |    1|  112.681   pc  |  -0.2603     +0.2603    |paral   |2020yCat.1350....0G
780 |HD 109392                                                                                                                                                                      |Spectroscopic Binary                  |12 34 24.6646661232 -09 36 03.991527144|295.9406017925687 +53.0393503061393|  7.172 -11.678   |9.00     |F0V            |    ~     ~    |    1|  249.391   pc  |  -3.6880     +3.6880    |ST-L    |2020AJ....160...83S
781 |HD 109419                                                                                                                                                                      |Star                                  |12 34 33.2943408216 -08 55 52.984334028|295.8759391421900 +53.7089037600637| -19.489 -6.237   |9.628    |F5/6V          |    ~     ~    |    1|  254.709   pc  |  -4.7530     +4.7530    |ST-L    |2020AJ....160...83S
782 |HD 109532                                                                                                                                                                      |Star                                  |12 35 26.8204884816 -09 26 03.195041856|296.3342227927296 +53.2325544551571| -18.971 -0.045   |9.38     |A2/3mA5-F0     |    ~     ~    |    1|  331.697   pc  |  -2.7286     +2.7286    |paral   |2020yCat.1350....0G
783 |HD 109583                                                                                                                                                                      |High Proper Motion Star               |12 35 52.3744338984 -09 03 18.645373584|296.4443029321453 +53.6203876609655| -70.468 43.657   |8.93     |F6V            |    ~     ~    |    1|  129.400   pc  |  -0.3717     +0.3717    |paral   |2020yCat.1350....0G
784 |BD-08 3383                                                                                                                                                                     |High Proper Motion Star               |12 36 18.1699156704 -09 36 52.223285484|296.7145808898116 +53.0744352861852| 76.005 -13.911   |10.618   |~              |    ~     ~    |    1|  203.025   pc  |  -3.1490     +3.1490    |ST-L    |2020AJ....160...83S
785 |HD 109420                                                                                                                                                                      |Star                                  |12 34 38.1167872056 -10 03 06.925887216|296.1124548108084 +52.5971985944578|  15.192 -6.475   |10.110   |K1III          |    ~     ~    |    1|  450.210   pc  | -13.0900    +13.0900    |ST-L    |2020AJ....160...83S
786 |BD-09 3516                                                                                                                                                                     |Star                                  |12 34 31.3085733600 -10 22 42.238756308|296.1243789997952 +52.2696119633418| 13.619 -12.890   |10.13    |~              |    ~     ~    |    1| 1208.440   pc  | -83.7000    +83.7000    |ST-L    |2020AJ....160...83S
787 |HD 109523                                                                                                                                                                      |Star                                  |12 35 21.4965114192 -10 36 46.714245912|296.4976634994769 +52.0577739537401| 30.953 -18.462   |9.71     |F6V            |    ~     ~    |    1|  263.255   pc  |  -1.0742     +1.0742    |paral   |2020yCat.1350....0G
788 |HD 109618                                                                                                                                                                      |Star                                  |12 36 08.4871031208 -10 23 03.163125516|296.7730463190719 +52.3045200529024|   7.680 15.797   |8.94     |A1V            |    ~     ~    |    1|  251.054   pc  |  -1.6576     +1.6576    |paral   |2020yCat.1350....0G
789 |HD 109377                                                                                                                                                                      |Star                                  |12 34 18.8548908552 -10 52 58.480595904|296.1299451554098 +51.7625407680676| -42.869 17.136   |9.00     |K0III          |    ~     ~    |    1|  407.930   pc  |  -3.2949     +3.2949    |paral   |2020yCat.1350....0G
790 |HD 109512                                                                                                                                                                      |Star                                  |12 35 19.7656523352 -10 52 27.978816864|296.5291693863689 +51.7969381414893| 11.328 -36.517   |9.961    |G3/5V          |    ~     ~    |    1|  239.754   pc  |  -3.7680     +3.7680    |ST-L    |2020AJ....160...83S
791 |IRAS 12330-0906                                                                                                                                                                |Long-Period Variable                  |12 35 40.2809691360 -09 23 18.633268716|296.4183538747413 +53.2837216982609| -14.231 -1.903   |10.91    |~              |    ~     ~    |    0|                |                         |        |                   
792 |BD-08 3382                                                                                                                                                                     |Star                                  |12 36 06.7081608792 -08 50 14.091198324|296.5061967671926 +53.8431752619627| -10.938 11.162   |9.98     |~              |    ~     ~    |    1|  657.335   pc  | -27.7800    +27.7800    |ST-L    |2020AJ....160...83S
793 |BD-07 3438                                                                                                                                                                     |Spectroscopic Binary                  |12 35 31.7492716392 -08 46 25.591073664|296.2523094997055 +53.8915177360394|  -7.720 10.639   |10.37    |~              |    ~     ~    |    1|  583.805   pc  | -14.1444    +14.1444    |paral   |2020yCat.1350....0G
794 |BD-08 3381                                                                                                                                                                     |High Proper Motion Star               |12 35 58.6740344088 -09 22 57.897929640|296.5432180535897 +53.2971152847353| 49.503 -31.440   |10.580   |~              |    ~     ~    |    1|  164.100   pc  |  -2.4590     +2.4590    |ST-L    |2020AJ....160...83S
795 |HD 110223                                                                                                                                                                      |High Proper Motion Star               |12 40 40.6957510344 -08 26 54.439317564|298.3660665340747 +54.3278772704438|-59.257 -148.775  |7.25     |F5V            |    ~     ~    |    1|   58.434   pc  |  -0.0738     +0.0738    |paral   |2020yCat.1350....0G
796 |HD 110836                                                                                                                                                                      |Star                                  |12 44 59.6643246648 -08 31 55.227838296|300.2009130214427 +54.3055685179097|   7.397 -0.105   |7.58     |K1III          |    ~     ~    |    1|  314.782   pc  |  -2.3087     +2.3087    |paral   |2020yCat.1350....0G
797 |BD-07 3444                                                                                                                                                                     |Star                                  |12 37 22.7808967992 -08 35 54.727666332|296.9970817285791 +54.1111352229561|  6.066 -18.083   |10.606   |~              |    ~     ~    |    1|  506.265   pc  | -16.9600    +16.9600    |ST-L    |2020AJ....160...83S
798 |BD-07 3471                                                                                                                                                                     |Red Giant Branch star                 |12 43 43.4882473944 -08 29 06.267249420|299.6595004731961 +54.3376577309940|  -53.971 8.682   |10.075   |~              |    ~     ~    |    1|  385.049   pc  | -11.5600    +11.5600    |ST-L    |2020AJ....160...83S
799 |HD 109945                                                                                                                                                                      |Star                                  |12 38 49.8871485552 -08 46 25.761119232|297.6319871195897 +53.9681466046845| 19.642 -10.173   |9.68     |F3V            |    ~     ~    |    1|  322.932   pc  |  -7.9800     +7.9800    |ST-L    |2020AJ....160...83S
800 |HD 110263                                                                                                                                                                      |Star                                  |12 41 00.4664552952 -08 45 22.362784704|298.5418422399947 +54.0266055483686|  -1.491 -1.982   |9.79     |F0V            |    ~     ~    |    1|  367.067   pc  |  -3.6649     +3.6649    |paral   |2020yCat.1350....0G
801 |HD 110316                                                                                                                                                                      |Star                                  |12 41 17.8225213920 -08 46 34.588657884|298.6655330740150 +54.0114465362844|  -38.441 4.155   |8.62     |A1III          |    ~     ~    |    1|  207.074   pc  |  -1.0849     +1.0849    |paral   |2020yCat.1350....0G
802 |HD 110558                                                                                                                                                                      |High Proper Motion Star               |12 43 04.9918977240 -08 36 36.499705524|299.3996957760231 +54.2042993103773|-53.975 -23.880   |8.92     |F5V            |    ~     ~    |    1|  193.682   pc  |  -0.8365     +0.8365    |paral   |2020yCat.1350....0G
803 |HD 109783                                                                                                                                                                      |High Proper Motion Star               |12 37 31.1725963776 -09 39 33.263919504|297.2184326288730 +53.0580338030274| 25.750 -44.286   |8.771    |K2III          |    ~     ~    |    1|  295.674   pc  |  -5.8690     +5.8690    |ST-L    |2020AJ....160...83S
804 |BD-08 3399                                                                                                                                                                     |Star                                  |12 40 51.9873960144 -09 46 15.655963908|298.6003671516614 +53.0117993156912|  -5.426 15.701   |9.91     |K0             |    ~     ~    |    1|  651.636   pc  |  -7.3036     +7.3036    |paral   |2020yCat.1350....0G
805 |V* KS Vir                                                                                                                                                                      |Long-Period Variable                  |12 41 08.9024554104 -09 14 43.943847036|298.6568432036393 +53.5407756659742|  -15.915 2.670   |7.73     |M2/3III        |    ~     ~    |    1|  660.546   pc  | -11.6498    +11.6498    |paral   |2020yCat.1350....0G
806 |BD-08 3403                                                                                                                                                                     |Star                                  |12 41 36.3046597272 -09 47 28.009132296|298.9043350012750 +53.0037223760356|  -13.107 8.132   |9.76     |G5             |    ~     ~    |    1|  734.727   pc  | -42.6800    +42.6800    |ST-L    |2020AJ....160...83S
807 |HD 110384                                                                                                                                                                      |Spectroscopic Binary                  |12 41 48.1510879968 -08 54 07.653938220|298.8912306422940 +53.8940088921098|-30.351 -24.031   |9.55     |G0V            |    ~     ~    |    1|  132.350   pc  |  -1.9600     +1.9600    |ST-L    |2020AJ....160...83S
808 |BD-08 3407                                                                                                                                                                     |Star                                  |12 42 06.0251322240 -09 45 15.231136608|299.1030579800519 +53.0480848210050|   -9.532 4.482   |10.198   |~              |    ~     ~    |    1|  796.273   pc  | -33.1200    +33.1200    |ST-L    |2020AJ....160...83S
809 |HD 110526                                                                                                                                                                      |Star                                  |12 42 54.4658905896 -09 28 49.942296588|299.4081950709566 +53.3328360847920|  -41.494 1.076   |9.20     |G8IV           |    ~     ~    |    1|  563.253   pc  |  -5.5520     +5.5520    |paral   |2020yCat.1350....0G
810 |HD 110647                                                                                                                                                                      |Star                                  |12 43 38.0469409848 -08 50 03.173942112|299.6519493787874 +53.9878262190687|  -11.856 8.224   |9.52     |F0V            |    ~     ~    |    1|  272.061   pc  |  -4.8170     +4.8170    |ST-L    |2020AJ....160...83S
811 |HD 110661                                                                                                                                                                      |High Proper Motion Star               |12 43 48.5923826928 -09 46 07.116728160|299.8040164901181 +53.0567704013478|-49.587 -16.597   |7.73     |F0IV/V         |    ~     ~    |    1|  109.364   pc  |  -0.7033     +0.7033    |paral   |2020yCat.1350....0G
812 |BD-08 3415                                                                                                                                                                     |Star                                  |12 43 58.6314468504 -09 45 41.478494004|299.8719532563827 +53.0658929677599|-34.839 -17.787   |10.26    |~              |    ~     ~    |    1|  219.810   pc  |  -5.9180     +5.9180    |ST-L    |2020AJ....160...83S
813 |BD-09 3521                                                                                                                                                                     |Star                                  |12 37 04.6467097944 -10 05 50.522232552|297.1048085706509 +52.6118274919163|   5.569 17.792   |10.42    |~              |    ~     ~    |    1|  302.783   pc  |  -6.5640     +6.5640    |ST-L    |2020AJ....160...83S
814 |BD-09 3522                                                                                                                                                                     |Star                                  |12 37 35.0116432680 -09 58 08.730683688|297.2903642326953 +52.7508296840157| -4.738 -32.661   |10.64    |~              |    ~     ~    |    1|  949.359   pc  | -60.0900    +60.0900    |ST-L    |2020AJ....160...83S
815 |BD-09 3524                                                                                                                                                                     |Star                                  |12 37 47.7340363464 -09 51 58.587393960|297.3613924785414 +52.8578547771379|  -0.011 -8.544   |10.05    |~              |    ~     ~    |    1|  207.390   pc  |  -2.8910     +2.8910    |ST-L    |2020AJ....160...83S
816 |BD-09 3527                                                                                                                                                                     |Star                                  |12 38 57.4857357048 -09 47 55.105704420|297.8250626157073 +52.9493163314434| -11.708 -2.570   |10.996   |~              |    ~     ~    |    1| 1591.790   pc  |-134.7000   +134.7000    |ST-L    |2020AJ....160...83S
817 |BD-09 3529                                                                                                                                                                     |Star                                  |12 39 17.5993744008 -09 54 04.371293952|297.9749972172298 +52.8536069899669|   6.949 -3.809   |10.23    |~              |    ~     ~    |    1|  756.258   pc  |  -9.3796     +9.3796    |paral   |2020yCat.1350....0G
818 |BD-09 3530                                                                                                                                                                     |High Proper Motion Star               |12 39 32.7629394288 -10 10 09.385147668|298.1115001550807 +52.5911357484006| -50.351 -0.582   |10.8     |~              |    ~     ~    |    1|  310.097   pc  |  -1.5193     +1.5193    |paral   |2020yCat.1350....0G
819 |HD 110300                                                                                                                                                                      |Star                                  |12 41 09.6050923488 -09 49 23.127958632|298.7260754595707 +52.9647044248026| -7.473 -15.653   |8.75     |K1III          |    ~     ~    |    1|  402.966   pc  |  -4.2057     +4.2057    |paral   |2020yCat.1350....0G
820 |BD-09 3539                                                                                                                                                                     |Star                                  |12 42 38.2341792024 -10 05 55.758494580|299.3550550906486 +52.7117940872901|  -4.099 16.549   |10.494   |~              |    ~     ~    |    1|  324.855   pc  |  -9.5030     +9.5030    |ST-L    |2020AJ....160...83S
821 |BD-09 3542                                                                                                                                                                     |High Proper Motion Star               |12 43 49.8661464264 -10 03 01.762932960|299.8356031115539 +52.7755199030237|  -49.629 8.667   |10.179   |F2             |    ~     ~    |    1|  204.881   pc  |  -2.8340     +2.8340    |ST-L    |2020AJ....160...83S
822 |HD 110764                                                                                                                                                                      |Star                                  |12 44 27.8209883376 -10 04 52.747920768|300.0950346116665 +52.7520086652107| -10.055 -5.137   |8.41     |K3III          |    ~     ~    |    1|  457.519   pc  |  -5.6936     +5.6936    |paral   |2020yCat.1350....0G
823 |HD 109897                                                                                                                                                                      |Star                                  |12 38 29.0956611600 -10 32 42.701385408|297.7338676791096 +52.1957725794997|  9.171 -13.006   |10.150   |G0/2V          |    ~     ~    |    1|  261.357   pc  |  -4.0810     +4.0810    |ST-L    |2020AJ....160...83S
824 |BD-09 3532                                                                                                                                                                     |Star                                  |12 40 55.5288625584 -10 23 16.210827132|298.6930478592163 +52.3973682919589|   7.778 19.672   |10.34    |~              |    ~     ~    |    1|  308.233   pc  |  -2.0902     +2.0902    |paral   |2020yCat.1350....0G
825 |HD 110364                                                                                                                                                                      |High Proper Motion Star               |12 41 42.8231532216 -10 46 25.900718412|299.0489166500735 +52.0245561505491|-41.622 -30.647   |10.005   |G2V            |    ~     ~    |    1|  235.962   pc  |  -3.5650     +3.5650    |ST-L    |2020AJ....160...83S
826 |BD-09 3537                                                                                                                                                                     |Star                                  |12 41 58.0215258216 -10 17 53.538664596|299.1031417551266 +52.5031201921850|  11.333 21.078   |10.818   |~              |    ~     ~    |    1|  206.485   pc  | -20.6600    +20.6600    |ST-L    |2020AJ....160...83S
827 |BD-09 3541                                                                                                                                                                     |Star                                  |12 43 18.1381147824 -10 16 59.296742760|299.6406811039751 +52.5366116998081| -7.467 -39.658   |10.494   |~              |    ~     ~    |    1|  428.848   pc  | -10.5300    +10.5300    |ST-L    |2020AJ....160...83S
828 |HD 110070                                                                                                                                                                      |Star                                  |12 39 40.1771613024 -10 49 38.483272560|298.2416757268305 +51.9371871986857| 23.528 -33.260   |9.78     |F6V            |    ~     ~    |    1|  214.151   pc  |  -0.7980     +0.7980    |paral   |2020yCat.1350....0G
829 |BD-10 3529                                                                                                                                                                     |Star                                  |12 40 51.5470766520 -10 54 10.039022784|298.7225071240983 +51.8824752682063|  -0.905 -2.665   |10.979   |B5:            |    ~     ~    |    1| 2099.517   pc  |-192.6284   +192.6284    |paral   |2020yCat.1350....0G
830 |NGC 4663                           NGC 4663                                                                                                                                    |Galaxy towards a Group of Galaxies    |12 44 47.0589009240 -10 11 52.375287768|300.2335039519356 +52.6390012677136|            ~ ~   |     ~   |~              |0.783 0.595    |    1|   36.19    Mpc |                         |redshift|2007ApJ...655..790C
831 |BD-07 3445                                                                                                                                                                     |Star                                  |12 37 58.7852891304 -08 37 24.308025780|297.2528867815724 +54.0998637449140|  -32.920 4.501   |10.163   |~              |    ~     ~    |    1|  473.651   pc  | -17.4400    +17.4400    |ST-L    |2020AJ....160...83S
832 |BD-08 3390                                                                                                                                                                     |High Proper Motion Star               |12 38 22.1245009512 -09 13 56.117880012|297.5048020213044 +53.5017196454390|-133.508 -11.843  |10.602   |~              |    ~     ~    |    1|  118.447   pc  |  -0.8529     +0.8529    |ST-L    |2020AJ....160...83S
833 |BD-07 3456                                                                                                                                                                     |Star                                  |12 40 14.1683238024 -08 36 32.836504932|298.1995567995194 +54.1596659252499|   -1.975 0.103   |10.905   |~              |    ~     ~    |    1| 1147.650   pc  | -60.9300    +60.9300    |ST-L    |2020AJ....160...83S
834 |BD-08 3402                                                                                                                                                                     |Star                                  |12 41 21.1400949720 -08 58 12.120006576|298.7105990679712 +53.8190291677733|    2.763 0.585   |10.522   |~              |    ~     ~    |    1|  469.862   pc  | -14.8300    +14.8300    |ST-L    |2020AJ....160...83S
835 |BD-08 3404                                                                                                                                                                     |Star                                  |12 41 38.7320059968 -09 19 26.141455848|298.8712811084525 +53.4705953582567|  7.397 -15.364   |10.435   |~              |    ~     ~    |    1|  143.834   pc  |  -4.1240     +4.1240    |ST-L    |2020AJ....160...83S
836 |BD-08 3410                                                                                                                                                                     |Star                                  |12 43 20.4436673520 -09 06 30.691380240|299.5536344455862 +53.7101006896161|    5.403 1.362   |10.772   |~              |    ~     ~    |    1|  466.938   pc  | -16.6800    +16.6800    |ST-L    |2020AJ....160...83S
837 |BD-07 3469                                                                                                                                                                     |Star                                  |12 43 20.8645480944 -08 38 23.444262924|299.5140586431979 +54.1782044798222| -0.730 -19.736   |10.64    |~              |    ~     ~    |    1|  197.343   pc  |  -2.6280     +2.6280    |ST-L    |2020AJ....160...83S
838 |BD-08 3412                                                                                                                                                                     |Star                                  |12 43 48.4584018216 -09 03 57.861834084|299.7445260170107 +53.7584458885952|  -8.382 -9.026   |10.737   |~              |    ~     ~    |    1|  790.509   pc  | -36.1300    +36.1300    |ST-L    |2020AJ....160...83S
839 |BD-08 3416                                                                                                                                                                     |High Proper Motion Star               |12 44 33.0838853328 -09 15 00.495215460|300.0688192756290 +53.5833225181466| -4.561 -52.875   |10.99    |G9V            |    ~     ~    |    1|  259.329   pc  |  -1.2980     +1.2980    |paral   |2020yCat.1350....0G
840 |BD-10 3536                                                                                                                                                                     |Star                                  |12 42 16.6862691960 -11 01 56.499754368|299.2979479879946 +51.7747440706174| -10.547 -9.188   |10.789   |~              |    ~     ~    |    1| 1571.270   pc  |-152.0000   +152.0000    |ST-L    |2020AJ....160...83S
841 |BD-09 3540                                                                                                                                                                     |Star                                  |12 42 50.6074104312 -10 26 38.776562052|299.4698570449659 +52.3698604841958|  -6.705 -7.351   |10.28    |~              |    ~     ~    |    1| 1173.296   pc  | -25.3299    +25.3299    |paral   |2020yCat.1350....0G
842 |BD-09 3546                                                                                                                                                                     |Spectroscopic Binary                  |12 44 23.1960279600 -10 40 47.533782288|300.1078454571613 +52.1532078623409|  -23.020 5.211   |10.14    |~              |    ~     ~    |    1|  236.429   pc  |  -3.9020     +3.9020    |ST-L    |2020AJ....160...83S
843 |BD-09 3548                                                                                                                                                                     |Star                                  |12 44 40.9685615520 -10 22 39.175011876|300.2051291012421 +52.4584305208687|   0.286 18.016   |10.650   |~              |    ~     ~    |    1|  143.220   pc  |  -2.5290     +2.5290    |ST-L    |2020AJ....160...83S
844 |BD-10 3545                                                                                                                                                                     |High Proper Motion Star               |12 44 53.2566709104 -10 47 46.050236916|300.3161146548932 +52.0423504764082|-37.822 -32.935   |9.94     |~              |    ~     ~    |    1|  121.804   pc  |  -1.2250     +1.2250    |ST-L    |2020AJ....160...83S
845 |BD-07 3477                                                                                                                                                                     |Hot Subdwarf                          |12 44 20.2386233232 -08 40 16.846099536|299.9340286152722 +54.1590646428120|  9.009 -15.829   |10.594   |sdB2VIIHe3     |    ~     ~    |    1|  173.226   pc  |  -1.7704     +1.7704    |paral   |2020yCat.1350....0G
846 |BD-08 3384                                                                                                                                                                     |Star                                  |12 36 38.8519296504 -09 42 04.141949076|296.8691126062361 +52.9963992799313| -20.092 -4.213   |10.41    |~              |    ~     ~    |    1| 2149.613   pc  | -94.2651    +94.2651    |paral   |2020yCat.1350....0G
847 |BD-09 3545                                                                                                                                                                     |Star                                  |12 44 16.6528754736 -10 27 56.394682056|300.0483298711282 +52.3659874063171|    0.711 2.601   |10.017   |~              |    ~     ~    |    1|  609.678   pc  | -16.4500    +16.4500    |ST-L    |2020AJ....160...83S
848 |NGC 4658                           NGC 4658                                                                                                                                    |Galaxy towards a Group of Galaxies    |12 44 37.786 -10 04 59.23              |300.162640 +52.752017              |            ~ ~   |     ~   |~              |0.133 0.133    |    1|   25.94    Mpc |  -2.68       +2.68      |T-F     |2020ApJ...902..145K
849 |TYC 5528-1048-1                                                                                                                                                                |High Proper Motion Star               |12 40 59.6402554704 -08 46 35.825459376|298.5384603877936 +54.0060132126845| 69.098 -82.137   |10.26    |~              |    ~     ~    |    1|  105.904   pc  |  -0.2097     +0.2097    |paral   |2020yCat.1350....0G
850 |TYC 5527-524-1                                                                                                                                                                 |High Proper Motion Star               |12 35 16.0528754760 -08 22 01.728493248|296.0690949818903 +54.2889876950695|-53.267 -36.085   |10.98    |~              |    ~     ~    |    1|  208.668   pc  |  -0.8839     +0.8839    |paral   |2020yCat.1350....0G
