C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:07:16

dec< 0&rah >=12.5&rah< 12.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5075

 #  |                                                                                  identifier                                                                                   |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
21  |TYC 4948-963-1                                                                                                                                                                 |Star                                  |12 31 55.4231869608 -02 24 33.955309404|293.1207610890994 +60.0900582514573|  -8.058 36.237   |10.71    |~              |    ~     ~    |    1|  173.283   pc  |  -0.4444     +0.4444    |paral   |2020yCat.1350....0G
22  |TYC 4948-976-1                                                                                                                                                                 |Star                                  |12 30 22.3499166000 -02 28 36.386050836|292.3761421667704 +59.9625333748554|-32.647 -27.614   |10.489   |~              |    ~     ~    |    1|  338.667   pc  | -10.2100    +10.2100    |ST-L    |2020AJ....160...83S
23  |TYC 4951-120-1                                                                                                                                                                 |High Proper Motion Star               |12 31 41.3706977976 -02 40 47.742828996|293.0874450095262 +59.8138126007056|-49.972 -14.475   |10.57    |~              |    ~     ~    |    1|  129.291   pc  |  -2.7850     +2.7850    |ST-L    |2020AJ....160...83S
24  |TYC 4951-161-1                                                                                                                                                                 |Star                                  |12 31 03.1776359808 -02 31 38.810813988|292.7273908265850 +59.9397959212578|-22.827 -14.880   |10.52    |~              |    ~     ~    |    1|  295.480   pc  |  -6.7260     +6.7260    |ST-L    |2020AJ....160...83S
25  |HD 108817                                                                                                                                                                      |Star                                  |12 30 12.3658358328 -03 46 51.678438240|292.7066728407784 +58.6685670272023|   -1.847 4.165   |10.152   |F0/2           |    ~     ~    |    1|  267.866   pc  |  -4.4630     +4.4630    |ST-L    |2020AJ....160...83S
26  |HD 109013                                                                                                                                                                      |Double or Multiple Star               |12 31 41.6417840232 -03 42 47.121332580|293.3933273283398 +58.7925167671006| -18.917 -3.082   |9.25     |F5V            |0.0117  0.0    |    1|  291.435   pc  |  -6.7947     +6.7947    |paral   |2020yCat.1350....0G
27  |BD-02 3532                                                                                                                                                                     |Star                                  |12 32 40.8074003352 -03 08 37.894692480|293.7062450937547 +59.3914702114636|-43.940 -18.335   |9.93     |G5             |    ~     ~    |    1|  118.831   pc  |  -0.2372     +0.2372    |paral   |2020yCat.1350....0G
28  |HD 108910                                                                                                                                                                      |High Proper Motion Star               |12 30 50.3078778528 -04 03 38.894023908|293.0885589203535 +58.4166994148179|  -63.611 5.110   |6.86     |K4III          |    ~     ~    |    1|  353.382   pc  |  -3.4342     +3.4342    |paral   |2020yCat.1350....0G
29  |HD 109104                                                                                                                                                                      |High Proper Motion Star               |12 32 12.8649864408 -04 09 22.767585408|293.7629720832442 +58.3727821379049| -150.627 0.207   |8.95     |F8V            |    ~     ~    |    1|   88.520   pc  |  -0.1646     +0.1646    |paral   |2020yCat.1350....0G
30  |HD 108836                                                                                                                                                                      |Star                                  |12 30 22.836504 -04 29 26.37528        |292.999532837 +57.974428047        |       -3.9 4.6   |10.291   |F2/3           |    ~     ~    |    1|  232.291   pc  | +29.992      +9         |ST-L    |2017AJ....153...75K
31  |HD 108864                                                                                                                                                                      |High Proper Motion Star               |12 30 28.7385374664 -04 25 39.634079772|293.0269786433049 +58.0404326059931| -165.697 7.361   |9.89     |G5/6V          |    ~     ~    |    1|   84.504   pc  |  -0.1171     +0.1171    |paral   |2020yCat.1350....0G
32  |HD 108895                                                                                                                                                                      |High Proper Motion Star               |12 30 46.2363360984 -04 26 43.931212332|293.1678298936367 +58.0338639786140|-103.779 -24.710  |9.42     |F0V            |    ~     ~    |    1|  126.005   pc  |  -0.2588     +0.2588    |paral   |2020yCat.1350....0G
33  |BD-04 3292                                                                                                                                                                     |Spectroscopic Binary                  |12 30 12.5356013592 -04 50 09.026388528|293.0198796821492 +57.6267755477109| 14.737 -12.804   |10.602   |F5             |    ~     ~    |    1|  263.543   pc  |  -6.2540     +6.2540    |ST-L    |2020AJ....160...83S
34  |HD 108947                                                                                                                                                                      |Double or Multiple Star               |12 31 08.4305232692 -05 19 18.234031560|293.5804986285837 +57.1810205616486| 50.799 -36.332   |9.44     |G1V            |    ~     ~    |    1|  200.072   pc  | -17.5000    +17.5000    |ST-L    |2020AJ....160...83S
35  |HD 109014                                                                                                                                                                      |Star                                  |12 31 38.7212783760 -05 03 09.335425788|293.7391060993187 +57.4654531950334| -33.063 29.716   |6.172    |G8III          |    ~     ~    |    1|  129.094   pc  |  -0.6649     +0.6649    |paral   |2020yCat.1350....0G
36  |BD-04 3293                                                                                                                                                                     |Star                                  |12 30 21.1886600506 -05 21 04.850285707|293.2312253085750 +57.1227379113343| 11.946 -24.228   |10.365   |~              |    ~     ~    |    1|  242.73    pc  |  -2.2329     +2.2329    |paral   |2020yCat.1350....0G
37  |BD-04 3298                                                                                                                                                                     |Star                                  |12 32 39.2995212120 -05 11 33.725259888|294.2375119873823 +57.3616258129176|  -12.583 2.166   |10.23    |~              |    ~     ~    |    1|  722.491   pc  | -11.5883    +11.5883    |paral   |2020yCat.1350....0G
38  |BD-04 3300                                                                                                                                                                     |Star                                  |12 33 32.2281864552 -04 56 11.315336460|294.5796412777102 +57.6446855589097|  -21.998 3.088   |10.45    |~              |    ~     ~    |    1|  794.597   pc  | -15.9740    +15.9740    |paral   |2020yCat.1350....0G
