C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:34:56

dec< 0&rah >=16.0&rah< 16.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6325

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
1078|HD 145505                                                             |Star                              |16 12 09.8883693120 -23 55 17.555157300|351.1303466672359 +19.6369552436501| -8.982 -19.624    |8.45     |A2IV             |    ~     ~    |    1|  147.756   pc  |  -0.7488     +0.7488  |paral   |2020yCat.1350....0G
1079|HD 145655                                                             |Rotating Variable                 |16 12 55.3357873368 -23 19 45.705012492|351.7146281958971 +19.9170941355977| -9.552 -23.710    |9.36     |G2V              |    ~     ~    |    1|  153.355   pc  |  -0.4092     +0.4092  |paral   |2020yCat.1350....0G
1080|CD-23 12784                                                           |Star                              |16 13 40.9674841992 -23 42 55.385324244|351.5423464064609 +19.5258091536681|  -7.507 -7.876    |10.04    |~                |    ~     ~    |    1|  507.305   pc  |  -4.3751     +4.3751  |paral   |2020yCat.1350....0G
1081|HD 145836                                                             |Star                              |16 14 02.0650644888 -23 46 26.671789380|351.5553071432987 +19.4269661920843|  26.098 -7.578    |7.89     |K0III            |    ~     ~    |    1|  239.286   pc  |  -1.6089     +1.6089  |paral   |2020yCat.1350....0G
1082|HD 146000                                                             |Star                              |16 14 48.7104909312 -23 19 48.750778380|352.0285728495165 +19.5995074884964|  -9.650 -8.099    |10.60    |A0IV             |    ~     ~    |    1|  831.463   pc  | -16.3845    +16.3845  |paral   |2020yCat.1350....0G
1083|HD 145810                                                             |Star                              |16 13 48.1483007064 -24 15 19.826581824|351.1451634392290 +19.1359216613793|  -3.194 -7.941    |8.34     |A1/2IV           |    ~     ~    |    1|  173.313   pc  |  -1.1264     +1.1264  |paral   |2020yCat.1350....0G
1084|HD 145857                                                             |Star                              |16 14 04.0135094448 -24 09 54.874878264|351.2584836746475 +19.1538757189857| -19.376 -8.945    |9.12     |A0mA7-A8         |    ~     ~    |    1|  182.279   pc  |  -0.4851     +0.4851  |paral   |2020yCat.1350....0G
1085|HD 145966                                                             |Star                              |16 14 35.2541297256 -24 08 46.586379048|351.3591491827496 +19.0802567669918| -3.965 -10.530    |10.40    |A3/5Ib/II        |    ~     ~    |    1|  549.209   pc  |  -4.9166     +4.9166  |paral   |2020yCat.1350....0G
1086|HD 145209                                                             |Star                              |16 10 39.2923974984 -24 58 26.627446992|350.0720866664595 +19.1578869808020|  -25.334 5.804    |8.46     |F0V              |    ~     ~    |    1|  138.209   pc  |  -0.4508     +0.4508  |paral   |2020yCat.1350....0G
1087|HD 145262                                                             |Star                              |16 10 59.3754822024 -24 41 43.020827160|350.3405683792035 +19.2965230474052|   6.260 -0.395    |9.78     |K1(III)          |    ~     ~    |    1| 1312.508   pc  | -34.1090    +34.1090  |paral   |2020yCat.1350....0G
1088|HD 145277                                                             |Star                              |16 11 01.8230541816 -25 07 03.944338680|350.0251084799980 +18.9969155399968|  -4.794 13.506    |8.10     |K3III            |    ~     ~    |    1|  411.726   pc  |  -4.4075     +4.4075  |paral   |2020yCat.1350....0G
1089|HD 145506                                                             |Star                              |16 12 14.8380403824 -25 05 33.943117524|350.2458939849871 +18.8155579891196|  -0.329 -6.091    |9.99     |A2/3III/IV       |    ~     ~    |    1|  594.036   pc  | -14.7150    +14.7150  |paral   |2020yCat.1350....0G
1090|HD 145534                                                             |Star                              |16 12 25.7542292736 -25 06 01.531508580|350.2701245665977 +18.7804980585988|   -3.428 5.044    |9.10     |K1/2III          |    ~     ~    |    1|  729.022   pc  | -11.4798    +11.4798  |paral   |2020yCat.1350....0G
1091|HD 145751                                                             |Star                              |16 13 33.8375643600 -24 51 19.539606096|350.6448098163984 +18.7632369350803|-24.750 -34.104    |10.17    |G0/1V            |    ~     ~    |    1|  141.483   pc  |  -0.3563     +0.3563  |paral   |2020yCat.1350....0G
1092|CD-24 12622                                                           |Star                              |16 13 41.6421974856 -24 30 26.822273688|350.9333522215243 +18.9809873054965|  -35.135 5.902    |9.63     |~                |    ~     ~    |    1| 1027.432   pc  | -17.1010    +17.1010  |paral   |2020yCat.1350....0G
1093|HD 145792                                                             |alpha2 CVn Variable               |16 13 45.4979280816 -24 25 19.529982106|351.0096115165157 +19.0289584430534| -9.481 -19.356    |6.43     |B6IV             |    ~     ~    |    1|  160.924   pc  |  -1.2016     +1.2016  |paral   |2020yCat.1350....0G
1094|HD 145441                                                             |Star                              |16 11 58.0038151896 -25 25 30.225899676|349.9463273879380 +18.6312896342860| -4.468 -19.953    |9.62     |F8/G0V           |    ~     ~    |    1|  167.929   pc  |  -9.7572     +9.7572  |paral   |2020yCat.1350....0G
1095|HD 145967                                                             |Star                              |16 14 40.7414458200 -25 26 14.212996368|350.3825640562579 +18.1798305919854| -0.315 -13.920    |9.38     |K1/2III          |    ~     ~    |    1|  288.160   pc  |  -1.5528     +1.5528  |paral   |2020yCat.1350....0G
1096|HD 146001                                                             |Star                              |16 14 53.4294665736 -25 28 37.100440632|350.3867677167516 +18.1178795754272|-10.451 -20.892    |6.05     |B8V              |    ~     ~    |    1|  147.447   pc  |  -1.0022     +1.0022  |paral   |2020yCat.1350....0G
1097|CD-24 12587                                                           |Star                              |16 10 44.8699685112 -25 05 01.551787188|350.0040166087151 +19.0665580528493|   8.894 -8.664    |9.99     |~                |    ~     ~    |    1| 1071.811   pc  | -19.1846    +19.1846  |paral   |2020yCat.1350....0G
1098|CD-24 12603                                                           |Star                              |16 12 25.0974459912 -24 44 21.263573148|350.5444351761444 +19.0317249508148|-13.555 -12.160    |9.80     |~                |    ~     ~    |    1|  583.328   pc  |  -6.7714     +6.7714  |paral   |2020yCat.1350....0G
1099|CD-23 12780                                                           |Star                              |16 13 24.5763891360 -23 36 56.843132184|351.5739935480427 +19.6395764253900|    4.311 0.293    |10.56    |~                |    ~     ~    |    1| 1156.069   pc  | -47.7129    +47.7129  |paral   |2020yCat.1350....0G
1100|CD-24 12619                                                           |Star                              |16 13 34.7658688560 -24 40 40.552687704|350.7834843694197 +18.8827718133555| -10.584 -4.587    |10.82    |~                |    ~     ~    |    1| 1860.119   pc  | -65.3948    +65.3948  |paral   |2020yCat.1350....0G
1101|CD-24 12627                                                           |Star                              |16 13 57.7493149992 -25 07 35.498961696|350.5027964139679 +18.5111618326640|   -9.306 4.119    |10.68    |~                |    ~     ~    |    1|  805.607   pc  | -11.2926    +11.2926  |paral   |2020yCat.1350....0G
1102|CD-22 11432                                                           |T Tauri Star                      |16 14 11.0697507472 -23 05 36.071480044|352.1085845916276 +19.8663502028112| -5.702 -32.625    |10.70    |K2IV             |    ~     ~    |    1|   49       pc  |                       |ST-L    |2006AJ....132..866R
1103|HD 145297                                                             |Rotating Variable                 |16 11 08.6143071864 -25 24 59.870147580|349.8165790348244 +18.7709782478038|-10.763 -16.782    |9.50     |A9V(+F)          |    ~     ~    |    1|  258.118   pc  |  -6.1561     +6.1561  |paral   |2018yCat.1345....0G
1104|CD-25 11438                                                           |Star                              |16 13 05.4057434304 -25 30 12.021310728|350.0717958481964 +18.3940893174696|   0.133 -1.612    |10.56    |~                |    ~     ~    |    1|  289.369   pc  |  -1.2393     +1.2393  |paral   |2020yCat.1350....0G
1105|CD-24 12597                                                           |Star                              |16 11 29.5601720952 -24 28 16.569454368|350.5958309289044 +19.3689453373429|   3.873 -2.661    |10.53    |~                |    ~     ~    |    1| 1445.713   pc  | -47.8630    +47.8630  |paral   |2020yCat.1350....0G
1106|TYC 6780-1207-1                                                       |Star                              |16 08 42.6954989280 -23 16 55.610524308|351.0414630981612 +20.6507179993817|  10.215 -1.066    |10.63    |~                |    ~     ~    |    1|  694.637   pc  | -10.0364    +10.0364  |paral   |2020yCat.1350....0G
1107|TYC 6780-1323-1                                                       |Star                              |16 07 45.4730366640 -24 00 50.872765500|350.3175409423712 +20.2991328412086| -7.697 -17.095    |10.96    |~                |    ~     ~    |    1|  283.607   pc  |  -1.5041     +1.5041  |paral   |2020yCat.1350....0G
1108|ASAS J160851-2351.0                                                   |Spectroscopic Binary              |16 08 51.0223574136 -23 51 01.401712776|350.6280582448931 +20.2337129855067|   -2.876 0.515    |10.79    |~                |    ~     ~    |    1|  652.529   pc  |  -7.3236     +7.3236  |paral   |2020yCat.1350....0G
1109|TYC 6784-823-1                                                        |Star                              |16 07 59.7233618280 -24 22 57.815414688|350.0763891126531 +20.0032557433867|-20.467 -10.281    |10.2     |~                |    ~     ~    |    1| 1053.852   pc  | -26.8766    +26.8766  |paral   |2020yCat.1350....0G
1110|TYC 6784-829-1                                                        |Star                              |16 10 13.5056554560 -25 18 47.399783868|349.7426451717390 +18.9920222436313|-20.793 -22.996    |10.49    |~                |    ~     ~    |    1|  145.669   pc  |  -0.4498     +0.4498  |paral   |2020yCat.1350....0G
1111|TYC 6784-1091-1                                                       |Star                              |16 09 30.5786179536 -25 15 38.425280796|349.6632324234324 +19.1445898256282|  -8.418 -8.980    |10.36    |~                |    ~     ~    |    1|  967.212   pc  | -14.8744    +14.8744  |paral   |2020yCat.1350....0G
1112|TYC 6784-1156-1                                                       |Star                              |16 10 05.0141 -25 18 18.083            |349.7252686 +19.0206485            |      2.8 -28.8    |10.61    |~                |    ~     ~    |    0|                |                       |        |                   
1113|TYC 6784-1193-1                                                       |Star                              |16 10 40.7398522008 -24 42 14.925160944|350.2819877756055 +19.3412326807173|  -9.884 -5.824    |10.57    |~                |    ~     ~    |    1|  300.472   pc  |  -1.3272     +1.3272  |paral   |2020yCat.1350....0G
1114|TYC 6793-663-1                                                        |Star                              |16 11 25.5749390448 -23 16 19.417423044|351.5082237326808 +20.2063801286691|  -7.127 -5.995    |10.92    |~                |    ~     ~    |    1|  570.125   pc  |  -7.5085     +7.5085  |paral   |2020yCat.1350....0G
1115|GSC 06793-01466                                                       |Double or Multiple Star           |16 13 46.1823526296 -23 45 10.103099760|351.5278306957657 +19.4856991867885| -4.319 -16.487    |10.83    |~                |    ~     ~    |    1|  271.717   pc  |  -1.4766     +1.4766  |paral   |2020yCat.1350....0G
1116|GSC 06797-00023                                                       |Double or Multiple Star           |16 13 41.7932772768 -24 48 39.718621872|350.7006977308284 +18.7719414844487| -24.000 -1.554    |10.91    |~                |    ~     ~    |    1|  274.997   pc  |  -1.0739     +1.0739  |paral   |2020yCat.1350....0G
1117|UCAC2 21568424                                                        |Young Stellar Object              |16 14 55.4654341416 -25 27 59.867009892|350.4002106487764 +18.1194251195599|-11.618 -22.067    |9.87     |G2-G4            |    ~     ~    |    1|  146.962   pc  |  -0.3715     +0.3715  |paral   |2020yCat.1350....0G
1118|HD 143243                                                             |Spectroscopic Binary              |16 00 01.7261335680 -20 07 07.996684440|351.9827508809322 +24.2998288205203|   5.058 -2.506    |9.93     |K1(III)          |    ~     ~    |    1|  306.072   pc  |  -4.1407     +4.1407  |paral   |2020yCat.1350....0G
1119|HD 143334                                                             |Star                              |16 00 33.5198258640 -19 53 08.534342904|352.2614690958299 +24.3731727410851|  -0.436 -2.797    |9.88     |K1(III)          |    ~     ~    |    1|  482.137   pc  |  -3.4171     +3.4171  |paral   |2020yCat.1350....0G
1120|HD 143426                                                             |Star                              |16 00 57.0644678208 -19 53 11.172593076|352.3313456264062 +24.3064058986264|  2.860 -38.929    |10.75    |G6/8             |    ~     ~    |    1|  187.108   pc  |  -0.7002     +0.7002  |paral   |2020yCat.1350....0G
1121|HD 143485                                                             |Star                              |16 01 19.6913546544 -19 52 10.816669200|352.4121714010049 +24.2543123456679|   0.148 -6.330    |9.69     |K4III            |    ~     ~    |    1|  918.949   pc  | -17.4805    +17.4805  |paral   |2020yCat.1350....0G
1122|HD 143765                                                             |Star                              |16 03 01.6017545496 -19 59 53.732998536|352.6137230515589 +23.8774619718598|-10.975 -39.958    |9.15     |G5V              |    ~     ~    |    1|   70.451   pc  |  -0.0978     +0.0978  |paral   |2020yCat.1350....0G
1123|HD 144094                                                             |High Proper Motion Star           |16 04 51.6939220536 -20 18 26.310458916|352.6943266126522 +23.3525795389630|-37.902 -72.800    |9.02     |G5V              |    ~     ~    |    1|   58.773   pc  |  -0.0670     +0.0670  |paral   |2020yCat.1350....0G
1124|HD 144413                                                             |Star                              |16 06 35.3585082096 -20 14 00.376048320|353.0558493572312 +23.1091301861881|-15.307 -11.425    |10.12    |ApSrEu(Cr)       |    ~     ~    |    1|  638.774   pc  |  -9.1399     +9.1399  |paral   |2020yCat.1350....0G
1125|HD 143245                                                             |Spectroscopic Binary              |16 00 01.4772776976 -20 42 15.330259332|351.5236856740693 +23.8911172068054|-11.913 -10.127    |10.06    |F2III/IV         |    ~     ~    |    1|  416.233   pc  |  -3.6729     +3.6729  |paral   |2020yCat.1350....0G
1126|HD 143438                                                             |Spectroscopic Binary              |16 01 05.8408628496 -21 09 20.392149096|351.3634639082217 +23.3961742894953|-27.056 -16.000    |7.13     |G8III            |    ~     ~    |    1|  156.974   pc  |  -4.0140     +4.0140  |paral   |2020yCat.1350....0G
1127|BD-20 4385                                                            |Star                              |16 02 29.0287607880 -20 30 00.896389920|352.1220499100662 +23.6211901754854|-21.575 -24.014    |9.91     |K5               |    ~     ~    |    1|  544.514   pc  |  -4.5957     +4.5957  |paral   |2020yCat.1350....0G
1128|BD-20 4388                                                            |Star                              |16 03 03.1379140560 -20 28 16.745331108|352.2456178903255 +23.5454501499154|   4.015 -5.737    |10.10    |G5               |    ~     ~    |    0|                |                       |        |                   
1129|HD 144034                                                             |Star                              |16 04 35.5804753632 -21 21 07.011238572|351.8274610102693 +22.6753624642138|   -3.136 7.996    |9.42     |G8/K0IV          |    ~     ~    |    1|  436.929   pc  |  -3.4936     +3.4936  |paral   |2020yCat.1350....0G
1130|HD 144113                                                             |Star                              |16 04 55.4579540808 -20 54 00.019923336|352.2390880058101 +22.9327267198475|-11.023 -23.387    |8.12     |A3IV/V           |    ~     ~    |    1|  140.556   pc  |  -0.5433     +0.5433  |paral   |2020yCat.1350....0G
1131|HD 144219                                                             |Double or Multiple Star           |16 05 26.4753 -20 29 35.984            |352.6495065 +23.1259565            | 33.734 -24.863    |9.70     |K1/2(III)        |    ~     ~    |    0|                |                       |        |                   
1132|HD 144220                                                             |Star                              |16 05 27.0420046152 -20 34 19.442567604|352.5891302409510 +23.0700960554446|  5.548 -16.824    |9.44     |F6/8             |    ~     ~    |    1|  235.516   pc  |  -0.9263     +0.9263  |paral   |2020yCat.1350....0G
1133|HD 144290                                                             |Star                              |16 05 54.7581036912 -21 09 11.565664920|352.2134513835028 +22.5910458605766|   7.063 -3.158    |8.61     |K0III            |    ~     ~    |    1|  268.132   pc  |  -1.9843     +1.9843  |paral   |2020yCat.1350....0G
1134|HD 144289                                                             |Star                              |16 05 52.3688252688 -20 28 57.722831364|352.7335303399325 +23.0599774215591|   1.905 -8.480    |9.34     |A1IV/V           |    ~     ~    |    1|  455.187   pc  |  -4.9105     +4.9105  |paral   |2020yCat.1350....0G
1135|HD 144394                                                             |Star                              |16 06 28.8713217480 -21 14 37.453005708|352.2415447242889 +22.4326705141539|  -10.943 1.158    |9.95     |A1/2V            |    ~     ~    |    1|  367.188   pc  |  -3.5460     +3.5460  |paral   |2020yCat.1350....0G
1136|HD 144496                                                             |Star                              |16 06 58.9598356416 -21 17 45.845475144|352.2876442295161 +22.3119631289684|-22.236 -21.593    |9.72     |K2(III)          |    ~     ~    |    1|  311.129   pc  |  -3.3106     +3.3106  |paral   |2020yCat.1350....0G
1137|* ome02 Sco                                                           |High Proper Motion Star           |16 07 24.3281783 -20 52 07.551833      |352.6965955286 +22.5342426462      |   44.81 -45.42    |4.33     |G4II-III         |    ~     ~    |    1|   92.0149  pc  |  -2.8965     +2.8965  |paral   |2018yCat.1345....0G
1138|HD 144609                                                             |Star                              |16 07 26.0876699136 -20 56 33.905640264|352.6434618618446 +22.4784619547727| -3.952 -45.033    |7.85     |K0(IV)           |    ~     ~    |    1|  182.249   pc  |  -0.9001     +0.9001  |paral   |2020yCat.1350....0G
1139|HD 143228                                                             |Spectroscopic Binary              |16 00 01.7487225384 -21 26 28.732226532|350.9515220921157 +23.3729568285611|-11.752 -10.619    |9.88     |K0               |    ~     ~    |    1|  568.376   pc  | -17.7678    +17.7678  |paral   |2020yCat.1350....0G
1140|HD 143301                                                             |Star                              |16 00 21.2321188656 -21 29 28.990527000|350.9706051709174 +23.2840307185757|   2.372 -3.623    |9.60     |~                |    ~     ~    |    1|  807.298   pc  | -25.2220    +25.2220  |paral   |2020yCat.1350....0G
1141|HD 143567                                                             |Star                              |16 01 55.4547295632 -21 58 49.398900888|350.8706672258554 +22.6809971804678|-12.115 -24.040    |7.19     |B9V              |    ~     ~    |    1|  134.702   pc  |  -0.5425     +0.5425  |paral   |2020yCat.1350....0G
1142|HD 143937                                                             |Eclipsing Binary                  |16 04 02.8340440203 -21 55 40.148817418|351.2840592776522 +22.3659315428231|-293.624 -140.431  |8.73     |K0IV(e)          |    ~     ~    |    1|   42.9137  pc  |  -0.0482     +0.0482  |paral   |2020yCat.1350....0G
1143|HD 144154                                                             |Spectroscopic Binary              |16 05 11.4909170184 -22 01 43.160181744|351.4053911241496 +22.1053008174559|   3.535 -3.079    |10.07    |F8/G0V           |    ~     ~    |    1|  176.053   pc  |  -0.6230     +0.6230  |paral   |2020yCat.1350....0G
1144|HD 144254                                                             |Double or Multiple Star           |16 05 43.3887407808 -21 50 19.547779272|351.6453176425002 +22.1484392904524|-10.597 -30.431    |7.78     |A0V              |    ~     ~    |    1|  138.322   pc  |  -0.7117     +0.7117  |paral   |2020yCat.1350....0G
1145|HD 144333                                                             |Star                              |16 06 09.2151906264 -21 34 35.224445316|351.9244764833817 +22.2579944267396|-34.651 -22.258    |9.54     |F7V              |    ~     ~    |    1|  120.635   pc  |  -0.3071     +0.3071  |paral   |2020yCat.1350....0G
1146|HD 144452                                                             |Spectroscopic Binary              |16 06 49.7512426176 -21 55 12.951128136|351.7735920726868 +21.9068968942867|  37.037 -4.126    |9.27     |F2V              |    ~     ~    |    1|  100.254   pc  |  -0.4573     +0.4573  |paral   |2020yCat.1350....0G
1147|HD 144451                                                             |gamma Dor Variable                |16 06 51.4327639224 -21 51 49.806145332|351.8223807753252 +21.9412192128654|  38.502 -3.292    |7.85     |F0V              |    ~     ~    |    1|   99.647   pc  |  -0.3575     +0.3575  |paral   |2020yCat.1350....0G
1148|HD 144548                                                             |Eclipsing Binary                  |16 07 17.7847898136 -22 03 36.556794720|351.7453856873273 +21.7319272386506|-10.623 -24.333    |8.752    |F7V              |    ~     ~    |    1|  150.918   pc  |  -1.3210     +1.3210  |paral   |2020yCat.1350....0G
1149|V* Z Sco                                                              |Mira Variable                     |16 06 00.7040790072 -21 43 59.586202020|351.7776078201727 +22.1732860894270|  -5.078 -6.119    |8.70     |M5.5e:           |    ~     ~    |    1|  976.276   pc  | -90.7366    +90.7366  |paral   |2020yCat.1350....0G
1150|HD 143357                                                             |Star                              |16 00 42.5754321912 -22 15 03.468555108|350.4477430753191 +22.6906660097983| -11.673 -9.518    |9.66     |G8III            |    ~     ~    |    1|  410.475   pc  |  -3.0328     +3.0328  |paral   |2020yCat.1350....0G
1151|HD 143439                                                             |delta Sct Variable                |16 01 08.1215911680 -22 10 05.540833704|350.5866469116732 +22.6790284392724|   1.523 -1.906    |9.00     |Fm_dD            |    ~     ~    |    1|  267.222   pc  |  -1.2782     +1.2782  |paral   |2020yCat.1350....0G
1152|HD 143820                                                             |Double or Multiple Star           |16 03 27.9473125080 -22 12 41.437369368|350.9628659309861 +22.2642653746409|  -9.052 -3.265    |9.3      |G3V              |    ~     ~    |    1|  363.465   pc  |  -8.6662     +8.6662  |paral   |2020yCat.1350....0G
1153|HD 144395                                                             |Star                              |16 06 36.1330070472 -22 09 14.144547276|351.5526934947992 +21.7830999427866| -15.941 -8.477    |9.91     |F0V              |    ~     ~    |    1|  287.613   pc  |  -2.2335     +2.2335  |paral   |2020yCat.1350....0G
1154|BD-20 4394                                                            |Star                              |16 05 22.3372552176 -20 28 59.381309172|352.6454186472545 +23.1446675334334| -9.671 -15.713    |10.67    |~                |    ~     ~    |    1| 1699.524   pc  |-101.0934   +101.0934  |paral   |2020yCat.1350....0G
1155|BD-21 4256                                                            |Star                              |16 02 06.9855255672 -21 42 01.614803796|351.1210978426651 +22.8454020267447|  27.134 -4.161    |10.53    |~                |    ~     ~    |    0|                |                       |        |                   
1156|BD-20 4387                                                            |Rotating Variable                 |16 03 01.2931572384 -20 58 32.525131692|351.8448980977569 +23.2002686587239| -9.630 -15.301    |10.21    |~                |    ~     ~    |    1|  227.531   pc  |  -1.0354     +1.0354  |paral   |2020yCat.1350....0G
1157|BD-20 4398                                                            |Star                              |16 05 38.3439407640 -20 32 48.013615212|352.6421542859995 +23.0556381708254| -10.914 -5.201    |10.21    |~                |    ~     ~    |    1|  562.050   pc  |  -6.3812     +6.3812  |paral   |2020yCat.1350....0G
1158|BD-20 4406                                                            |Star                              |16 06 50.3358745536 -21 09 09.504522720|352.3751284626950 +22.4350443694602|  -6.905 -5.421    |10.64    |~                |    ~     ~    |    1|  372.523   pc  |  -3.8718     +3.8718  |paral   |2020yCat.1350....0G
1159|* ome Sco                                                             |beta Cep Variable                 |16 06 48.4269211 -20 40 09.090235      |352.7497163088 +22.7729664780      |   -8.98 -23.48    |3.97     |B1V              |    ~     ~    |    1|  140.932   pc  |  -5.4223     +5.4223  |paral   |2020yCat.1350....0G
1160|BD-20 4381                                                            |High Proper Motion Star           |16 01 07.2245235552 -20 48 35.156968812|351.6371565027047 +23.6342757836837|-21.557 -47.847    |10.92    |~                |    ~     ~    |    1|  101.033   pc  |  -0.1786     +0.1786  |paral   |2020yCat.1350....0G
1161|BD-21 4251                                                            |Star                              |16 01 20.6034281832 -21 49 35.362460280|350.8869843907390 +22.8849851637386|   -9.774 4.394    |10.05    |~                |    ~     ~    |    1|  728.438   pc  |  -9.0736     +9.0736  |paral   |2020yCat.1350....0G
1162|BD-19 4287                                                            |Star                              |16 01 38.9647947432 -20 10 11.123674788|352.2331816399522 +23.9915227090782|   2.781 -4.068    |10.25    |~                |    ~     ~    |    1| 1048.548   pc  | -15.9421    +15.9421  |paral   |2020yCat.1350....0G
1163|BD-20 4382                                                            |Star                              |16 01 42.2509749240 -20 55 45.379544340|351.6477551309497 +23.4532128711753| 32.678 -25.203    |10.67    |~                |    ~     ~    |    1|  141.951   pc  |  -0.3164     +0.3164  |paral   |2020yCat.1350....0G
1164|BD-19 4288                                                            |T Tauri Star                      |16 01 58.2155255520 -20 08 11.954643036|352.3164967615874 +23.9603665843068|-10.696 -25.294    |10.501   |G9IV(e)          |    ~     ~    |    1|  157.023   pc  |  -2.6974     +2.6974  |paral   |2020yCat.1350....0G
1165|BD-21 4257                                                            |Spectroscopic Binary              |16 02 20.3975075496 -22 10 27.491143548|350.7941869936100 +22.4763239971265|   1.075 -4.864    |10.59    |~                |    ~     ~    |    1|  686.483   pc  | -17.9078    +17.9078  |paral   |2020yCat.1350....0G
1166|BD-21 4258                                                            |Star                              |16 02 37.0603181784 -22 04 49.698018660|350.9154031051113 +22.4962412819611|  8.362 -12.477    |10.45    |~                |    ~     ~    |    1|  238.869   pc  |  -1.2210     +1.2210  |paral   |2020yCat.1350....0G
1167|BD-21 4260                                                            |Star                              |16 03 17.3164250352 -21 30 44.695242108|351.4735530674402 +22.7818489218461|   1.617 -5.845    |10.66    |~                |    ~     ~    |    1| 1266.624   pc  | -62.0879    +62.0879  |paral   |2020yCat.1350....0G
1168|BD-21 4262                                                            |Star                              |16 03 46.0594026744 -22 19 15.693305736|350.9310578212973 +22.1377587270002|   2.701 -5.238    |9.98     |~                |    ~     ~    |    1|  625.000   pc  |  -7.4219     +7.4219  |paral   |2020yCat.1350....0G
1169|CPD-21 6084                                                           |Star                              |16 03 59.1926764656 -21 57 17.289523368|351.2525338116280 +22.3572040623225|   -2.352 1.779    |10.25    |~                |    ~     ~    |    1|  616.143   pc  |  -6.7954     +6.7954  |paral   |2020yCat.1350....0G
1170|TYC 6212-308-1                                                        |Star                              |16 04 51.4390958880 -21 09 07.412128740|352.0299215369936 +22.7695625882075|  -1.811 -9.735    |10.80    |~                |    ~     ~    |    1| 2327.205   pc  |-114.8167   +114.8167  |paral   |2020yCat.1350....0G
1171|BD-21 4266                                                            |Star                              |16 05 08.2991365944 -21 44 59.359488072|351.6127350360559 +22.3079089982672|-17.714 -17.482    |9.99     |~                |    ~     ~    |    1| 1151.145   pc  | -32.4658    +32.4658  |paral   |2020yCat.1350....0G
1172|BD-21 4268                                                            |Star                              |16 05 40.3330707024 -22 17 11.039253360|351.2890613925390 +21.8461052254558|  -15.673 7.106    |10.31    |~                |    ~     ~    |    1|  652.103   pc  |  -7.9520     +7.9520  |paral   |2020yCat.1350....0G
1173|BD-20 4400                                                            |Star                              |16 05 45.5308037616 -21 05 19.885449624|352.2370451207364 +22.6614277934437|   -4.578 1.476    |10.54    |~                |    ~     ~    |    1| 1213.887   pc  | -29.3231    +29.3231  |paral   |2020yCat.1350....0G
1174|BD-22 4088                                                            |Star                              |16 07 21.6680517312 -22 27 58.456289160|351.4412006700059 +21.4401684645732|-24.144 -16.214    |10.54    |~                |    ~     ~    |    1|  613.610   pc  |  -6.5137     +6.5137  |paral   |2020yCat.1350....0G
1175|TYC 6208-837-1                                                        |Star                              |16 00 30.0946956336 -20 36 13.312789128|351.6876446525450 +23.8818049949421|  -11.563 5.568    |10.582   |~                |    ~     ~    |    1|  268.168   pc  |  -2.0424     +2.0424  |paral   |2020yCat.1350....0G
1176|TYC 6212-243-1                                                        |Star                              |16 05 35.4426063504 -20 59 20.318325648|352.2859833944474 +22.7587783393870| -19.394 -6.668    |10.81    |~                |    ~     ~    |    1|  250.363   pc  |  -1.2411     +1.2411  |paral   |2020yCat.1350....0G
1177|TYC 6212-1115-1                                                       |Spectroscopic Binary              |16 06 35.4734450736 -21 46 37.626449232|351.8439102055364 +22.0457763787435|   1.723 -7.889    |10.95    |~                |    ~     ~    |    1|  411.692   pc  |  -3.5254     +3.5254  |paral   |2020yCat.1350....0G
1178|TYC 6212-1270-1                                                       |High Proper Motion Star           |16 04 01.8029786016 -22 26 24.185706108|350.8849841775541 +22.0111750888152| 42.505 -73.292    |10.48    |~                |    ~     ~    |    1|  135.971   pc  |  -0.4345     +0.4345  |paral   |2020yCat.1350....0G
1179|TYC 6212-1405-1                                                       |Pulsating Variable                |16 03 14.7600319320 -22 05 32.427477708|351.0164669370291 +22.3839847604247|  -3.803 -1.541    |10.95    |~                |    ~     ~    |    1|  584.488   pc  |  -6.5251     +6.5251  |paral   |2020yCat.1350....0G
1180|BD-20 4412                                                            |Star                              |16 08 06.4063837104 -20 46 06.771375300|352.8971901166675 +22.4836592865170| -1.554 -23.083    |9.93     |K5               |    ~     ~    |    1|  473.619   pc  |  -3.9479     +3.9479  |paral   |2020yCat.1350....0G
1181|HD 144747                                                             |High Proper Motion Star           |16 08 11.4278687832 -20 49 17.410249308|352.8699244434920 +22.4331427672742|-50.508 -18.651    |9.26     |G6V              |    ~     ~    |    1|  213.029   pc  |  -1.0665     +1.0665  |paral   |2020yCat.1350....0G
1182|HD 144822                                                             |Rotating Variable                 |16 08 35.1408843816 -20 45 29.633527260|352.9882124936326 +22.4090788607950| -9.639 -23.420    |8.35     |F4V              |    ~     ~    |    1|  151.019   pc  |  -4.0231     +4.0231  |paral   |2020yCat.1350....0G
