C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:34:56

dec< 0&rah >=16.0&rah< 16.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6325

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
23  |HD 143541                                                             |Star                              |16 02 29.2956417768 -39 38 10.941645336|338.2817989791996 +09.7786451393780| -0.003 -10.992    |9.63     |ApSi             |    ~     ~    |    0|                |                       |        |                   
24  |HD 144138                                                             |Pulsating Variable                |16 05 55.2676955664 -39 44 27.206840508|338.7060303379325 +09.2570845422958|  -5.532 -7.032    |10.34    |B5/7IV/V         |    ~     ~    |    1|  417.798   pc  |  -3.8577     +3.8577  |paral   |2020yCat.1350....0G
25  |HD 143579                                                             |Star                              |16 02 49.0525160592 -40 20 57.458621112|337.8461457888978 +09.2062779157731|  -6.061 -9.324    |10.24    |B9IV             |    ~     ~    |    1|  621.852   pc  | -12.7998    +12.7998  |paral   |2020yCat.1350....0G
26  |HD 144007                                                             |T Tauri Star                      |16 05 15.2633667864 -40 19 10.356830220|338.2149108442221 +08.9165749060091|   7.153 -0.745    |9.14     |K2(III)          |    ~     ~    |    1|  699.252   pc  | -12.4683    +12.4683  |paral   |2020yCat.1350....0G
27  |HD 144258                                                             |Star                              |16 06 33.5456179680 -40 13 38.867724840|338.4635359341916 +08.8162510363670| -8.124 -26.846    |10.18    |F5/6             |    ~     ~    |    1|  159.637   pc  |  -0.4918     +0.4918  |paral   |2020yCat.1350....0G
28  |HD 143248                                                             |Star                              |16 00 53.7115120680 -40 26 07.715919516|337.5113152850709 +09.3857687879074|   8.234 34.954    |6.221    |A0V              |    ~     ~    |    1|  130.066   pc  |  -2.5985     +2.5985  |paral   |2020yCat.1350....0G
29  |HD 143406                                                             |Star                              |16 01 42.3986925696 -40 32 10.418029152|337.5603009157771 +09.2079503840608|-37.621 -17.559    |9.51     |F7V              |    ~     ~    |    1|  103.190   pc  |  -0.1746     +0.1746  |paral   |2020yCat.1350....0G
30  |HD 143490                                                             |Star                              |16 02 16.9590333624 -40 43 22.107993060|337.5170129576152 +08.9959854206176|  -7.931 -6.403    |9.83     |B9V              |    ~     ~    |    1|  469.153   pc  |  -6.8893     +6.8893  |paral   |2020yCat.1350....0G
31  |HD 143602                                                             |Star                              |16 03 05.4644059560 -41 00 11.941114464|337.4427596360675 +08.6850765632477|  -3.756 -0.174    |9.08     |K1/2(III)        |    ~     ~    |    1|  606.134   pc  |  -8.5236     +8.5236  |paral   |2020yCat.1350....0G
32  |HD 143622                                                             |Star                              |16 03 11.7010778112 -40 50 26.429852040|337.5675201610522 +08.7929287110257|  15.112 -4.083    |10.38    |A2/5II/III       |    ~     ~    |    1|  329.979   pc  |  -1.8619     +1.8619  |paral   |2020yCat.1350....0G
33  |HD 143676                                                             |Star                              |16 03 29.0348200944 -40 45 31.725588384|337.6640610431559 +08.8171949980434|-15.260 -16.359    |10.63    |A1/2(V)          |    ~     ~    |    1|  595.344   pc  |  -6.0608     +6.0608  |paral   |2020yCat.1350....0G
