C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:32:14

dec >=0&rah >=20.75&rah< 21.0&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 7691

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
1865|TYC 3951-1220-1                                                       |Star                              |20 51 35.2364390040 +53 33 11.890959480|091.8010996756326 +05.8624052989227|    4.078 1.943   |10.80    |~                 |    ~     ~    |    1|  633.633   pc  |  -6.2633     +6.2633  |paral   |2020yCat.1350....0G
1866|TYC 3951-1315-1                                                       |Star                              |20 45 49.6075611600 +53 52 10.022961252|091.5135571825960 +06.7253711690436| -8.954 -15.993   |10.96    |~                 |    ~     ~    |    1|  497.785   pc  |  -2.4036     +2.4036  |paral   |2020yCat.1350....0G
1867|TYC 3951-1394-1                                                       |Star                              |20 47 38.2728718536 +53 09 41.616806976|091.1226033112535 +06.0752644545250|  -5.071 -6.432   |10.89    |~                 |    ~     ~    |    1|  499.575   pc  |  -3.0947     +3.0947  |paral   |2020yCat.1350....0G
1868|TYC 3951-1460-1                                                       |Star                              |20 50 33.2185004568 +53 59 16.351111356|092.0432279035070 +06.2550938220892|  0.594 -11.049   |10.00    |~                 |    ~     ~    |    1|  431.816   pc  |  -4.0836     +4.0836  |paral   |2020yCat.1350....0G
1869|TYC 3951-1560-1                                                       |Star                              |20 49 13.8985596504 +53 36 09.613924452|091.6183554081904 +06.1651650687423| -3.788 -14.667   |9.89     |~                 |    ~     ~    |    1|  520.183   pc  |  -2.8141     +2.8141  |paral   |2020yCat.1350....0G
1870|TYC 3951-1608-1                                                       |Star                              |20 47 45.7541330304 +53 54 43.662299220|091.7252005596669 +06.5279775485111| -8.673 -10.751   |10.94    |~                 |    ~     ~    |    1|  395.054   pc  |  -7.0230     +7.0230  |paral   |2020yCat.1350....0G
1871|TYC 3951-1830-1                                                       |Star                              |20 50 17.3170555320 +53 06 43.975097604|091.3342053504900 +05.7344177437577| -1.911 -12.297   |10.11    |~                 |    ~     ~    |    1|  196.626   pc  |  -0.5838     +0.5838  |paral   |2020yCat.1350....0G
1872|TYC 3951-1879-1                                                       |Star                              |20 46 28.6628116080 +53 11 43.638925704|091.0407054200717 +06.2325386920534|  18.997 16.941   |10.70    |~                 |    ~     ~    |    1|  706.364   pc  |  -6.9354     +6.9354  |paral   |2020yCat.1350....0G
1873|TYC 3951-1989-1                                                       |Star                              |20 49 53.9164895304 +53 31 11.891306892|091.6160644417447 +06.0361583127494|    3.522 5.044   |10.98    |~                 |    ~     ~    |    1|  635.445   pc  |  -4.6840     +4.6840  |paral   |2020yCat.1350....0G
1874|TYC 3951-2003-1                                                       |Star                              |20 45 33.2671650336 +53 15 52.906133484|091.0094775137198 +06.3839351979129|    2.248 6.065   |10.69    |~                 |    ~     ~    |    1|  609.533   pc  |  -5.0900     +5.0900  |paral   |2020yCat.1350....0G
1875|TYC 3951-2034-1                                                       |Star                              |20 49 17.5524864768 +52 55 08.504419800|091.0885601447460 +05.7295270837965|   14.987 7.555   |9.94     |~                 |    ~     ~    |    1|  296.296   pc  |  -0.9306     +0.9306  |paral   |2020yCat.1350....0G
1876|TYC 3951-2088-1                                                       |Star                              |20 46 16.7056355088 +53 38 51.191149740|091.3794372773927 +06.5357771691959|   19.036 2.871   |10.55    |~                 |    ~     ~    |    1|  407.116   pc  |  -5.1215     +5.1215  |paral   |2020yCat.1350....0G
1877|TYC 3951-2110-1                                                       |Star                              |20 50 46.5254989272 +53 29 17.355452964|091.6737083255895 +05.9148195768848|   37.963 7.331   |10.16    |~                 |    ~     ~    |    1|  164.954   pc  |  -0.3456     +0.3456  |paral   |2020yCat.1350....0G
1878|TYC 3951-2128-1                                                       |Star                              |20 46 49.2463381488 +52 57 23.270503176|090.8843082640088 +06.0438827043961| -9.930 -12.810   |10.82    |~                 |    ~     ~    |    1|  429.590   pc  |  -2.2330     +2.2330  |paral   |2020yCat.1350....0G
1879|TYC 3951-2193-1                                                       |Star                              |20 47 00.8751616032 +53 37 11.941677876|091.4257093601921 +06.4330416226023|  -7.383 -6.432   |9.83     |~                 |    ~     ~    |    1|  937.471   pc  |  -9.1401     +9.1401  |paral   |2020yCat.1350....0G
1880|TYC 3951-2320-1                                                       |Star                              |20 51 04.8399365400 +52 49 31.067198544|091.1861050289499 +05.4608880443863|  13.047 -8.010   |10.75    |~                 |    ~     ~    |    1|  338.799   pc  |  -1.2397     +1.2397  |paral   |2020yCat.1350....0G
1881|TYC 3951-2322-1                                                       |Star                              |20 52 28.3495011240 +53 22 31.011394476|091.7466264988220 +05.6476688326808|   18.054 2.624   |10.48    |~                 |    ~     ~    |    1|  270.161   pc  |  -0.8248     +0.8248  |paral   |2020yCat.1350....0G
1882|TYC 3951-2342-1                                                       |Star                              |20 45 47.6917053816 +52 53 25.035440928|090.7357251633453 +06.1242537454284|   2.358 -1.400   |10.97    |~                 |    ~     ~    |    1|  361.677   pc  |  -1.6090     +1.6090  |paral   |2020yCat.1350....0G
1883|TYC 3951-2345-1                                                       |Star                              |20 51 21.3709152192 +52 56 24.570588588|091.3019021295765 +05.5013145700345|  24.075 12.419   |10.05    |~                 |    ~     ~    |    1|  244.894   pc  |  -0.7677     +0.7677  |paral   |2020yCat.1350....0G
1884|TYC 3951-2398-1                                                       |Star                              |20 46 40.6864883472 +53 01 37.681480668|090.9266335755154 +06.1045764382550|   3.976 -2.681   |10.57    |~                 |    ~     ~    |    1|  863.782   pc  |  -8.6550     +8.6550  |paral   |2020yCat.1350....0G
1885|TYC 3951-2429-1                                                       |High Proper Motion Star           |20 50 14.8352279856 +53 02 56.317207092|091.2809005649859 +05.6994254143249|  -2.553 54.926   |10.02    |~                 |    ~     ~    |    1|  211.158   pc  |  -0.5172     +0.5172  |paral   |2020yCat.1350....0G
1886|TYC 3951-2506-1                                                       |Star                              |20 50 06.1628595624 +52 48 20.245197168|091.0771315805312 +05.5631412609000| -6.365 -25.353   |10.33    |~                 |    ~     ~    |    1|  252.736   pc  |  -1.0987     +1.0987  |paral   |2020yCat.1350....0G
1887|TYC 3951-2583-1                                                       |High Proper Motion Star           |20 48 57.5435317608 +53 12 25.949230848|091.2827315738654 +05.9491744630584|-46.379 -65.910   |10.19    |~                 |    ~     ~    |    1|  177.658   pc  |  -0.4419     +0.4419  |paral   |2020yCat.1350....0G
1888|TYC 3951-2629-1                                                       |Star                              |20 52 13.1425167384 +52 42 26.121643380|091.2039454786793 +05.2528728173527|  -4.204 -4.947   |10.91    |~                 |    ~     ~    |    1| 1033.592   pc  | -10.8968    +10.8968  |paral   |2020yCat.1350....0G
1889|TYC 3951-2690-1                                                       |Star                              |20 49 56.9440529160 +53 00 39.005831520|091.2227576195465 +05.7102669979323|   2.879 -9.905   |10.87    |~                 |    ~     ~    |    1|  424.196   pc  |  -2.5552     +2.5552  |paral   |2020yCat.1350....0G
1890|TYC 3951-2700-1                                                       |Star                              |20 49 40.0131316968 +52 43 18.679273968|090.9700351846684 +05.5617065161337|   0.781 -0.930   |10.37    |~                 |    ~     ~    |    1|  734.160   pc  | -14.2294    +14.2294  |paral   |2020yCat.1350....0G
1891|TYC 3951-2719-1                                                       |Star                              |20 50 32.4791009448 +52 40 44.673165516|091.0204392256107 +05.4318534988253|  -2.873 -4.779   |10.65    |~                 |    ~     ~    |    1| 1276.976   pc  | -25.1123    +25.1123  |paral   |2020yCat.1350....0G
1892|TYC 3951-2767-1                                                       |Star                              |20 45 29.2444522968 +52 38 51.309176856|090.5149441762457 +06.0108201209311|-12.602 -20.662   |10.27    |~                 |    ~     ~    |    1|  385.966   pc  |  -1.6983     +1.6983  |paral   |2020yCat.1350....0G
1893|TYC 3951-2782-1                                                       |Star                              |20 46 22.2195904968 +52 39 56.776727808|090.6126219054269 +05.9169056494813|   0.512 -4.271   |10.78    |~                 |    ~     ~    |    1|  803.859   pc  |  -7.1727     +7.1727  |paral   |2020yCat.1350....0G
1894|TYC 3951-2792-1                                                       |Star                              |20 52 04.4397320856 +53 04 04.065847644|091.4698439539220 +05.4986095010153|  15.024 39.793   |10.83    |~                 |    ~     ~    |    1|  330.229   pc  |  -1.2323     +1.2323  |paral   |2020yCat.1350....0G
1895|TYC 3951-2810-1                                                       |Double or Multiple Star           |20 50 27.386904 +52 58 25.41900        |091.242090682 +05.627584984        |    -14.2 -18.2   |10.687   |~                 |    ~     ~    |    0|                |                       |        |                   
1896|TYC 3952-191-1                                                        |Star                              |20 55 16.6779291432 +53 25 16.871740572|092.0505444041493 +05.3552871893200|  26.747 24.541   |10.51    |~                 |    ~     ~    |    1|  268.861   pc  |  -1.0554     +1.0554  |paral   |2020yCat.1350....0G
1897|TYC 3952-350-1                                                        |Spectroscopic Binary              |20 57 06.3088269576 +53 11 24.680374368|092.0497835309755 +04.9975999434566|-14.494 -39.682   |10.38    |~                 |    ~     ~    |    1|  298.009   pc  |  -6.0213     +6.0213  |paral   |2020yCat.1350....0G
1898|TYC 3952-740-1                                                        |Star                              |20 53 32.1018079584 +53 09 01.015113780|091.6738908898548 +05.3819092166537|  -4.316 -4.147   |10.38    |~                 |    ~     ~    |    0|                |                       |        |                   
1899|TYC 3952-858-1                                                        |Star                              |20 54 30.5782890744 +52 38 17.474361864|091.3729680231470 +04.9414258416952|   2.787 -7.694   |10.94    |~                 |    ~     ~    |    1|  574.779   pc  |  -6.8387     +6.8387  |paral   |2020yCat.1350....0G
1900|TYC 3952-963-1                                                        |Star                              |20 56 41.7101840952 +52 52 54.359878836|091.7736621501966 +04.8451504235359|   8.508 18.132   |10.93    |~                 |    ~     ~    |    1|  315.806   pc  |  -1.1569     +1.1569  |paral   |2020yCat.1350....0G
1901|TYC 3952-1089-1                                                       |Star                              |20 53 44.3004440592 +52 47 25.184229036|091.4152958332329 +05.1285461783733|   -1.886 1.323   |10.87    |~                 |    ~     ~    |    1|  489.884   pc  |  -3.5038     +3.5038  |paral   |2020yCat.1350....0G
1902|HD 239527                                                             |Star                              |20 55 28.4049785184 +55 36 35.173011852|093.7574008080258 +06.7369826368407|-24.914 -13.337   |9.45     |G5                |    ~     ~    |    1|  107.761   pc  |  -0.1254     +0.1254  |paral   |2020yCat.1350....0G
1903|HD 239529                                                             |Spectroscopic Binary              |20 57 05.5768696032 +55 43 39.326322864|093.9960036419711 +06.6376676672557|  28.505 19.295   |10.04    |G0                |    ~     ~    |    1|  287.431   pc  |  -1.2971     +1.2971  |paral   |2020yCat.1350....0G
1904|HD 239534                                                             |Spectroscopic Binary              |20 57 26.1379718352 +55 42 52.164951948|094.0172497100364 +06.5923414133275|    2.989 0.193   |9.52     |F5                |    ~     ~    |    1|  214.920   pc  |  -6.2450     +6.2450  |paral   |2020yCat.1350....0G
1905|HD 200017                                                             |Star                              |20 58 27.2010883464 +55 39 00.451490436|094.0612056049978 +06.4413071400717|    6.171 3.546   |8.20     |A0                |    ~     ~    |    1|  283.543   pc  |  -2.2029     +2.2029  |paral   |2020yCat.1350....0G
1906|HD 200167                                                             |Star                              |20 59 29.1065582832 +55 56 24.236423340|094.3778921291996 +06.5192662978342| -9.816 -13.472   |6.64     |K2                |    ~     ~    |    1|  310.183   pc  |  -1.4047     +1.4047  |paral   |2020yCat.1350....0G
1907|HD 235377                                                             |Star                              |20 50 07.3401900504 +54 51 45.377718768|092.6885474813698 +06.8534906059511| -7.674 -12.432   |9.22     |K5                |    ~     ~    |    1|  390.854   pc  |  -1.7721     +1.7721  |paral   |2020yCat.1350....0G
1908|HD 198819                                                             |Star                              |20 50 44.2264152792 +55 01 25.546345752|092.8707138073658 +06.8859756773478|  46.956 11.963   |7.64     |A2                |    ~     ~    |    1|  125.247   pc  |  -0.3200     +0.3200  |paral   |2020yCat.1350....0G
1909|HD 235382                                                             |Star                              |20 51 09.4264741272 +55 00 41.318712900|092.8992445964668 +06.8314552237158|  -5.640 -8.163   |9.85     |M                 |    ~     ~    |    1|  725.900   pc  |  -6.8501     +6.8501  |paral   |2020yCat.1350....0G
1910|HD 235385                                                             |High Proper Motion Star           |20 51 27.8630429472 +55 10 15.914989272|093.0519844794869 +06.8978764585057| 53.051 -55.587   |9.55     |G0                |    ~     ~    |    1|   77.695   pc  |  -0.0785     +0.0785  |paral   |2020yCat.1350....0G
1911|HD 235390                                                             |High Proper Motion Star           |20 52 13.8328813872 +54 50 01.024815516|092.8583738309932 +06.5995702049545|  73.188 52.191   |9.07     |G5                |    ~     ~    |    1|   76.040   pc  |  -0.0624     +0.0624  |paral   |2020yCat.1350....0G
1912|HD 199068                                                             |Star                              |20 52 24.4922020848 +54 38 28.353157224|092.7248065002127 +06.4579050096955|-23.481 -21.846   |8.77     |K5III             |    ~     ~    |    1|  469.638   pc  |  -3.8157     +3.8157  |paral   |2020yCat.1350....0G
1913|HD 199067                                                             |Star                              |20 52 20.9923623768 +55 03 04.471597224|093.0389467183457 +06.7240134479633|  28.167 11.912   |6.761    |A2                |    ~     ~    |    1|  191.928   pc  |  -0.7883     +0.7883  |paral   |2020yCat.1350....0G
1914|HD 235394                                                             |Star                              |20 53 42.7331177304 +54 50 32.879635944|093.0015322488913 +06.4403426872460|-11.853 -10.591   |9.24     |B9                |    ~     ~    |    1|  403.275   pc  |  -5.0253     +5.0253  |paral   |2020yCat.1350....0G
1915|HD 235396                                                             |Star                              |20 53 55.0067341368 +54 33 17.972158788|092.7975252348721 +06.2344225566134|-27.790 -30.089   |9.76     |F5                |    ~     ~    |    1|  206.800   pc  |  -0.4490     +0.4490  |paral   |2020yCat.1350....0G
1916|HD 199393                                                             |Star                              |20 54 40.9862831304 +54 35 40.101847872|092.8994093620467 +06.1741622165593|   13.473 6.176   |8.64     |A0                |    ~     ~    |    1|  488.448   pc  | -35.0715    +35.0715  |paral   |2020yCat.1350....0G
1917|HD 235402                                                             |Star                              |20 55 31.2443823336 +54 55 50.376620028|093.2369943069803 +06.2966385506917|  11.646 26.650   |8.82     |A7                |    ~     ~    |    1|  222.717   pc  |  -0.7242     +0.7242  |paral   |2020yCat.1350....0G
1918|HD 235411                                                             |High Proper Motion Star           |20 57 31.1107969032 +55 31 38.702522712|093.8810500827726 +06.4626396239925|  86.495 45.403   |9.76     |K0                |    ~     ~    |    1|   94.600   pc  |  -0.0984     +0.0984  |paral   |2020yCat.1350....0G
1919|HD 235414                                                             |Star                              |20 58 02.4865954368 +55 13 06.048976224|093.6921731768268 +06.2061191383004|   -0.236 1.083   |9.73     |A5                |    ~     ~    |    1|  389.196   pc  |  -2.4236     +2.4236  |paral   |2020yCat.1350....0G
1920|HD 235419                                                             |Star                              |20 59 44.0545499016 +55 31 36.065091540|094.0851196850670 +06.2235407232420|   3.717 -2.605   |10.28    |A0                |    ~     ~    |    1|  413.035   pc  |  -2.3543     +2.3543  |paral   |2020yCat.1350....0G
1921|HD 200206                                                             |Star                              |20 59 49.6331996832 +55 13 04.910744100|093.8583650042562 +06.0123343444729|   2.728 -0.880   |6.78     |K1III             |    ~     ~    |    1|  386.145   pc  |  -2.4305     +2.4305  |paral   |2020yCat.1350....0G
1922|HD 235420                                                             |Star                              |20 59 49.8986663376 +55 32 14.698374468|094.1023416244797 +06.2200809611589|   1.060 -2.897   |9.53     |B9                |    ~     ~    |    1|  565.323   pc  |  -3.4196     +3.4196  |paral   |2020yCat.1350....0G
1923|HD 235374                                                             |Star                              |20 49 16.3301609472 +54 31 38.199807012|092.3478063502202 +06.7392374623476|   11.766 6.858   |8.81     |K2                |    ~     ~    |    1|  397.078   pc  |  -2.3493     +2.3493  |paral   |2020yCat.1350....0G
1924|HD 235400                                                             |Star                              |20 55 00.5585469144 +54 29 58.804812168|092.8565833479248 +06.0771453714786|  15.931 -3.907   |9.84     |F5                |    ~     ~    |    1|  201.045   pc  |  -5.0039     +5.0039  |paral   |2020yCat.1350....0G
1925|V* DQ Cep                                                             |delta Sct Variable                |20 57 48.6082405488 +55 29 15.602746272|093.8773687060750 +06.4054447761228|  25.671 20.121   |7.26     |F1IV              |    ~     ~    |    1|  183.736   pc  |  -0.5536     +0.5536  |paral   |2020yCat.1350....0G
1926|HD 235401                                                             |Spectroscopic Binary              |20 55 13.2562954080 +54 05 26.961946656|092.5609466688540 +05.7914161766332| -7.275 144.185   |9.70     |G5                |    ~     ~    |    1|   80.658   pc  |  -2.3602     +2.3602  |paral   |2020yCat.1350....0G
1927|HD 199546                                                             |Star                              |20 55 42.2531644248 +53 48 21.162094488|092.3873254647285 +05.5539307446352| -0.811 -23.814   |8.140    |G8III             |    ~     ~    |    1|  358.449   pc  |  -2.6982     +2.6982  |paral   |2020yCat.1350....0G
1928|HD 235404                                                             |Star                              |20 56 26.9882088648 +53 56 24.360573228|092.5615997484098 +05.5562553513795|  -2.655 -3.961   |9.65     |F5                |    ~     ~    |    1| 2273.244   pc  | -73.3805    +73.3805  |paral   |2020yCat.1350....0G
1929|HD 235407                                                             |Star                              |20 56 44.9447713080 +53 48 41.394245220|092.4914758140666 +05.4395859415157|    7.226 2.404   |9.66     |M1                |    ~     ~    |    1|  643.459   pc  |  -8.1152     +8.1152  |paral   |2020yCat.1350....0G
1930|HD 235415                                                             |Star                              |20 58 12.1038549576 +53 59 19.470838956|092.7663135483856 +05.3912471953263|  37.249 29.444   |9.16     |G5                |    ~     ~    |    1|  236.877   pc  |  -2.6653     +2.6653  |paral   |2020yCat.1350....0G
1931|IRAS 20507+5406                                                       |Star                              |20 52 11.4445360128 +54 17 52.563117156|092.4373862953707 +06.2649289824107|  -6.474 -6.008   |9.77     |~                 |    ~     ~    |    1|  973.236   pc  | -14.5867    +14.5867  |paral   |2020yCat.1350....0G
1932|ADS 14362 A                                                           |Star                              |20 50 32.5332214872 +54 51 57.416220504|092.7293640875279 +06.8085638599050|  15.773 18.779   |10.8     |~                 |    ~     ~    |    1|  694.348   pc  |  -4.8694     +4.8694  |paral   |2020yCat.1350....0G
1933|HD 198596                                                             |High Proper Motion Star           |20 49 08.2563006744 +54 14 01.616618040|092.1048992588131 +06.5709756256491|  -3.585 89.842   |7.17     |K0V               |    ~     ~    |    1|  127.007   pc  |  -0.2952     +0.2952  |paral   |2020yCat.1350....0G
1934|HD 235372                                                             |Star                              |20 49 09.9127908456 +54 21 56.511347724|092.2110627458013 +06.6503262986500|  -2.750 -5.814   |9.13     |B8                |    ~     ~    |    1|  857.339   pc  | -10.3639    +10.3639  |paral   |2020yCat.1350....0G
1935|HD 198930                                                             |Star                              |20 51 27.0369416544 +54 04 56.572571604|092.2005468794944 +06.2124597165992|   3.585 -0.407   |8.38     |A0                |    ~     ~    |    1|  392.141   pc  |  -3.2754     +3.2754  |paral   |2020yCat.1350....0G
1936|BD+53 2506                                                            |Star                              |20 51 29.6899098120 +54 02 50.438254632|092.1773476792547 +06.1852977918617|   5.891 -2.228   |9.36     |K:                |    ~     ~    |    1|  889.126   pc  | -11.0676    +11.0676  |paral   |2020yCat.1350....0G
1937|HD 235384                                                             |Star                              |20 51 29.4240101640 +54 02 39.849489204|092.1746409727297 +06.1839437963201|-11.938 -13.924   |9.48     |F0                |    ~     ~    |    1|  362.713   pc  |  -1.5656     +1.5656  |paral   |2020yCat.1350....0G
1938|HD 199332                                                             |Star                              |20 54 21.8280945336 +53 46 00.751846908|092.2296920970290 +05.6808424926676|  -2.776 -6.661   |7.89     |K5                |    ~     ~    |    1|  502.614   pc  |  -3.8146     +3.8146  |paral   |2020yCat.1350....0G
1939|HD 235398                                                             |Star                              |20 54 40.9015235472 +53 36 04.903634808|092.1321716873568 +05.5387489044810| -1.645 -15.172   |9.86     |G5                |    ~     ~    |    1|  256.108   pc  |  -0.7346     +0.7346  |paral   |2020yCat.1350....0G
1940|HD 235399                                                             |Star                              |20 55 01.8081533232 +53 44 00.542999940|092.2673064893771 +05.5838042696665|  -0.969 -6.239   |9.11     |B5                |    ~     ~    |    1|  658.935   pc  | -15.3271    +15.3271  |paral   |2020yCat.1350....0G
1941|HD 235408                                                             |Star                              |20 57 05.6971779528 +53 36 34.708080240|092.3699528850356 +05.2700976334986|   10.803 7.805   |9.27     |A0                |    ~     ~    |    1|  521.295   pc  |  -3.1251     +3.1251  |paral   |2020yCat.1350....0G
1942|BD+54 2454                                                            |Star                              |20 59 07.6161008400 +55 18 50.796044460|093.8663761025516 +06.1506012748810|-13.923 -17.696   |10.58    |~                 |    ~     ~    |    1|  432.788   pc  |  -2.3413     +2.3413  |paral   |2020yCat.1350....0G
1943|BD+53 2529                                                            |Star                              |20 58 32.1992570232 +54 09 03.277346076|092.9222293876461 +05.4592194822004|  17.953 28.613   |10.38    |~                 |    ~     ~    |    1|  217.656   pc  |  -3.9463     +3.9463  |paral   |2020yCat.1350....0G
1944|TYC 3951-282-1                                                        |Star                              |20 50 40.3531126536 +54 06 53.018586792|092.1534435579969 +06.3213830319453|    2.129 0.407   |9.84     |~                 |    ~     ~    |    1|  718.494   pc  |  -9.5503     +9.5503  |paral   |2020yCat.1350....0G
1945|TYC 3951-600-1                                                        |Star                              |20 47 38.9640338904 +54 20 19.855805964|092.0513019652491 +06.8062880064153|  -2.020 -3.759   |10.77    |~                 |    ~     ~    |    1| 1283.532   pc  | -48.4352    +48.4352  |paral   |2020yCat.1350....0G
1946|TYC 3951-995-1                                                        |Star                              |20 48 11.7711264888 +54 16 10.973466948|092.0467644790559 +06.7008328637665|   9.708 15.830   |9.90     |~                 |    ~     ~    |    1|  138.762   pc  |  -0.2080     +0.2080  |paral   |2020yCat.1350....0G
1947|TYC 3951-2001-1                                                       |Star                              |20 52 26.2075417872 +53 54 09.616151448|092.1529021452340 +05.9864970944606|   0.952 -6.767   |10.09    |~                 |    ~     ~    |    1|  320.246   pc  |  -1.7640     +1.7640  |paral   |2020yCat.1350....0G
1948|TYC 3952-20-1                                                         |Star                              |20 55 31.3482963408 +54 12 02.702464128|092.6741707573996 +05.8280955315177|  -5.035 -8.794   |10.34    |~                 |    ~     ~    |    1|  764.409   pc  |  -8.9401     +8.9401  |paral   |2020yCat.1350....0G
1949|TYC 3952-192-1                                                        |Star                              |20 54 13.0523545944 +53 47 04.723934676|092.2295411655877 +05.7088187459704|  1.273 -10.579   |10.47    |~                 |    ~     ~    |    1|  382.892   pc  |  -4.4129     +4.4129  |paral   |2020yCat.1350....0G
1950|TYC 3952-335-1                                                        |Star                              |20 57 00.6638228424 +54 02 13.560361044|092.6895376622667 +05.5558406660103|-17.663 -26.210   |9.84     |~                 |    ~     ~    |    1|  334.930   pc  |  -1.4022     +1.4022  |paral   |2020yCat.1350....0G
1951|TYC 3952-503-1                                                        |Star                              |20 56 48.8832480960 +54 12 58.216943052|092.8082711668775 +05.6934330747595|    5.405 3.301   |10.96    |~                 |    ~     ~    |    1|  430.552   pc  |  -2.3543     +2.3543  |paral   |2020yCat.1350....0G
1952|TYC 3952-688-1                                                        |Spectroscopic Binary              |20 59 45.5267483280 +54 20 25.425751272|093.1834710646782 +05.4471777367223|  27.584 20.169   |10.64    |~                 |    ~     ~    |    1|  328.213   pc  |  -1.4543     +1.4543  |paral   |2020yCat.1350....0G
1953|TYC 3952-747-1                                                        |Star                              |20 59 20.3658598488 +53 16 29.352461052|092.3324263737175 +04.7984950894505| -6.594 -12.850   |10.81    |~                 |    ~     ~    |    1|  512.085   pc  |  -4.0121     +4.0121  |paral   |2020yCat.1350....0G
1954|TYC 3952-749-1                                                        |Star                              |20 58 02.8361605776 +53 55 16.373149428|092.6999005523690 +05.3647091620528|  -4.800 -1.203   |10.75    |~                 |    ~     ~    |    1|  649.646   pc  |  -4.9379     +4.9379  |paral   |2020yCat.1350....0G
1955|TYC 3952-757-1                                                        |Star                              |20 58 12.4963965096 +54 04 53.138374392|092.8377606803611 +05.4506810114800|    5.153 4.401   |10.73    |~                 |    ~     ~    |    1|  334.169   pc  |  -1.4070     +1.4070  |paral   |2020yCat.1350....0G
1956|BD+53 2513                                                            |Star                              |20 53 59.5812551568 +53 42 49.293133308|092.1533747644476 +05.6890240767583|  -4.208 -4.668   |10.10    |~                 |    ~     ~    |    1| 1011.225   pc  | -12.8844    +12.8844  |paral   |2020yCat.1350....0G
1957|TYC 3955-724-1                                                        |Pulsating Variable                |20 48 40.5986250816 +54 25 07.885458048|092.2081349329944 +06.7390666518180|  -2.433 -5.936   |10.80    |~                 |    ~     ~    |    1|  888.336   pc  | -11.9160    +11.9160  |paral   |2020yCat.1350....0G
1958|TYC 3955-908-1                                                        |Star                              |20 50 45.6696531288 +54 26 52.017847584|092.4220613606818 +06.5209829924272|   1.503 -4.714   |10.85    |~                 |    ~     ~    |    1|  432.526   pc  |  -2.3011     +2.3011  |paral   |2020yCat.1350....0G
1959|TYC 3955-912-1                                                        |Star                              |20 47 40.4901704328 +54 26 19.409259984|092.1324370094610 +06.8654427410116|  -2.767 -7.216   |10.50    |~                 |    ~     ~    |    1| 1311.819   pc  | -23.5759    +23.5759  |paral   |2020yCat.1350....0G
1960|TYC 3955-2051-1                                                       |Star                              |20 49 35.0123881896 +54 45 42.080830524|092.5603461440372 +06.8507579868894| -6.210 -17.957   |10.88    |~                 |    ~     ~    |    1|  333.879   pc  |  -1.2374     +1.2374  |paral   |2020yCat.1350....0G
1961|TYC 3955-2173-1                                                       |Star                              |20 52 34.4235339048 +54 52 50.712290760|092.9265777149632 +06.5911924200920|-10.330 -24.250   |9.95     |~                 |    ~     ~    |    1|  394.337   pc  | -16.5765    +16.5765  |paral   |2020yCat.1350....0G
1962|TYC 3955-2187-1                                                       |Star                              |20 53 13.3311143640 +55 08 16.018994508|093.1859884293630 +06.6823591720293| -0.304 -11.910   |10.24    |~                 |    ~     ~    |    1|  357.245   pc  |  -2.5525     +2.5525  |paral   |2020yCat.1350....0G
1963|TYC 3955-2223-1                                                       |Star                              |20 48 13.2798879696 +54 45 06.212557332|092.4289535638980 +06.9980822473407|  -0.883 -5.353   |10.72    |~                 |    ~     ~    |    1| 1419.446   pc  | -23.7750    +23.7750  |paral   |2020yCat.1350....0G
1964|TYC 3955-2313-1                                                       |Star                              |20 52 53.3974962576 +54 49 14.559167532|092.9088912874317 +06.5179262105496| -8.008 -35.660   |10.40    |~                 |    ~     ~    |    1|  232.412   pc  |  -1.6151     +1.6151  |paral   |2020yCat.1350....0G
1965|TYC 3956-13-1                                                         |Star                              |20 56 39.6938409168 +55 43 29.866219680|093.9546096659562 +06.6824449528301|    6.683 8.533   |10.84    |~                 |    ~     ~    |    1|  566.380   pc  |  -7.3139     +7.3139  |paral   |2020yCat.1350....0G
1966|TYC 3956-58-1                                                         |Star                              |20 56 06.0060860688 +55 31 06.708963864|093.7441033909491 +06.6104940586525|-37.150 -19.422   |10.71    |~                 |    ~     ~    |    1|  104.868   pc  |  -0.1804     +0.1804  |paral   |2020yCat.1350....0G
1967|TYC 3956-177-1                                                        |Star                              |20 59 29.8304851992 +55 14 45.233635956|093.8487864978465 +06.0661841591576|  -3.638 -5.558   |10.87    |~                 |    ~     ~    |    1|  437.025   pc  |  -2.0054     +2.0054  |paral   |2020yCat.1350....0G
1968|TYC 3956-302-1                                                        |Star                              |20 56 53.5410665040 +55 36 53.430758892|093.8908510065687 +06.5866614092905|   20.514 4.043   |10.09    |~                 |    ~     ~    |    1|  377.117   pc  |  -1.3084     +1.3084  |paral   |2020yCat.1350....0G
1969|TYC 3956-333-1                                                        |Star                              |20 57 29.8593441672 +55 10 46.246329228|093.6118985535106 +06.2401751595710|  -2.722 -1.612   |10.82    |~                 |    ~     ~    |    1|  449.519   pc  |  -3.0108     +3.0108  |paral   |2020yCat.1350....0G
