C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:32:14

dec >=0&rah >=20.75&rah< 21.0&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 7691

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
23  |BD+35 4333                                                            |Star                              |20 56 38.5273972584 +36 19 49.735457940|079.1440809422048 -05.8748190861311|  -2.941 -4.283   |9.45     |A2                |    ~     ~    |    1| 2059.732   pc  | -76.3649    +76.3649  |paral   |2020yCat.1350....0G
24  |BD+35 4336                                                            |Star                              |20 57 18.0576067392 +36 32 25.955041920|079.3913458118732 -05.8404372938837|  -1.785 -9.474   |10.47    |A5                |    ~     ~    |    1|  833.611   pc  | -13.0643    +13.0643  |paral   |2020yCat.1350....0G
25  |BD+35 4342                                                            |Star                              |20 58 34.1294991816 +36 16 00.527559564|079.3477037390539 -06.2120906078918|    1.202 3.758   |9.42     |A2                |    ~     ~    |    1|  438.770   pc  |  -2.7145     +2.7145  |paral   |2020yCat.1350....0G
26  |HD 199987                                                             |Double or Multiple Star           |20 59 23.1498849949 +36 25 43.852641579|079.5791274529722 -06.2318715282574|   12.402 4.532   |8.02     |B9                |0.0067  0.0    |    0|                |                       |        |                   
27  |IRAS 20522+3628                                                       |Star                              |20 54 09.8735861400 +36 39 52.940817252|079.0802375420983 -05.2785081402406|  -3.383 -6.593   |10.43    |~                 |    ~     ~    |    1| 2256.318   pc  | -88.5829    +88.5829  |paral   |2020yCat.1350....0G
28  |IRAS 20534+3629                                                       |Star                              |20 55 21.8724386280 +36 40 55.320656196|079.2484976672652 -05.4520895379792|   -1.110 2.536   |10.85    |~                 |    ~     ~    |    1| 1487.210   pc  | -40.2546    +40.2546  |paral   |2020yCat.1350....0G
29  |IDS 20510+3647 AB                                                     |Double or Multiple Star           |20 54 54.452 +37 09 14.59              |079.553042 -05.079021              |       1.8 -5.8   |10.27    |~                 |    ~     ~    |    0|                |                       |        |                   
30  |TYC 2700-184-1                                                        |Star                              |20 56 06.6047788368 +36 48 38.252948832|079.4439079816413 -05.4837516749860|  -9.487 -6.369   |10.93    |~                 |    ~     ~    |    1| 1367.615   pc  | -31.2352    +31.2352  |paral   |2020yCat.1350....0G
31  |TYC 2700-2761-1                                                       |Star                              |20 56 17.7323722368 +36 34 07.342700268|079.2820311925428 -05.6680087312085| 16.911 -26.541   |10.99    |~                 |    ~     ~    |    1|  289.394   pc  |  -1.1055     +1.1055  |paral   |2020yCat.1350....0G
32  |BD+35 4343                                                            |Star                              |20 59 19.1640077928 +35 54 14.739030324|079.1692208032935 -06.5629446007661|  -2.384 -4.935   |10.17    |~                 |    ~     ~    |    1|  897.908   pc  |  -9.6749     +9.6749  |paral   |2020yCat.1350....0G
33  |BD+36 4356                                                            |Star                              |20 59 25.0034068344 +36 37 28.466194224|079.7326564665155 -06.1091997623504|  -3.609 -3.745   |9.84     |~                 |    ~     ~    |    0|                |                       |        |                   
34  |BD+37 4115                                                            |Pulsating Variable                |20 56 58.1951923608 +37 33 47.057882112|080.1321830159489 -05.1290242996855|    7.733 6.964   |9.13     |F4II              |    ~     ~    |    1|  505.919   pc  |  -2.9435     +2.9435  |paral   |2020yCat.1350....0G
35  |HD 199495                                                             |Spectroscopic Binary              |20 56 20.6325367560 +37 28 06.514428288|079.9791764737776 -05.0953422906828|  6.711 -12.964   |8.80     |F0                |    ~     ~    |    1|  315.199   pc  |  -3.9641     +3.9641  |paral   |2020yCat.1350....0G
36  |BD+36 4260                                                            |Spectroscopic Binary              |20 49 17.0795763264 +36 34 00.619281912|078.3808348728045 -04.5836076463966|-14.867 -20.894   |9.36     |K5                |    ~     ~    |    1|  396.212   pc  |  -5.5729     +5.5729  |paral   |2020yCat.1350....0G
37  |HD 198663                                                             |Star                              |20 50 39.5568485592 +36 32 41.196442272|078.5382891543161 -04.8117851144973|  -1.155 -1.200   |8.84     |A0                |    ~     ~    |    1|  387.883   pc  |  -4.1375     +4.1375  |paral   |2020yCat.1350....0G
38  |BD+36 4270                                                            |Star                              |20 50 27.3480776760 +36 35 06.719911872|078.5438299864486 -04.7545758283787|  -1.511 -6.572   |10.38    |~                 |    ~     ~    |    1| 1080.030   pc  | -13.7643    +13.7643  |paral   |2020yCat.1350....0G
