C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:16:06

dec >=0&rah >=19.5&rah< 19.75&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 9885

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------------|-----|----------------|-----------------------|--------|-------------------
22  |BD+44 3211                                                                                               |Horizontal Branch Star                |19 40 54.9003473352 +44 20 18.967853688|077.6538409353561 +10.5056133713789|  -5.789 -5.866   |10.75    |K3III            |    ~     ~          |    1|    0.674   kpc |                       |        |2021A&A...645A..85M
23  |BD+44 3214                                                                                               |Star                                  |19 41 09.5436983 +44 53 47.953100      |078.1765847583 +10.7276995571      |      14.7 10.3   |9.57     |G0V              |    ~     ~          |    0|                |                       |        |                   
24  |BD+44 3216                                                                                               |Star                                  |19 41 48.4267110264 +44 39 58.394229696|078.0240242225020 +10.5183201690840| -3.467 -30.449   |10.36    |K0               |    ~     ~          |    1|  498.405   pc  |  -3.0306     +3.0306  |paral   |2020yCat.1350....0G
25  |BD+44 3217                                                                                               |Horizontal Branch Star                |19 41 59.7038407920 +44 38 54.794991012|078.0240906511152 +10.4805148856954|   2.631 -2.948   |9.21     |G8III:           |    ~     ~          |    1|  835.073   pc  |  -8.7168     +8.7168  |paral   |2020yCat.1350....0G
26  |BD+44 3226                                                                                               |High Proper Motion Star               |19 43 54.9106163208 +44 24 26.507312640|077.9720300738336 +10.0649912618660|  53.602 42.104   |9.41     |G0V              |    ~     ~          |    1|   90.093   pc  |  -0.0885     +0.0885  |paral   |2020yCat.1350....0G
27  |BD+43 3314                                                                                               |Horizontal Branch Star                |19 38 33.1104081432 +44 16 34.426947432|077.3978420802671 +10.8510700539577|    0.339 0.975   |9.80     |G5               |    ~     ~          |    1|  551.420   pc  |  -3.0406     +3.0406  |paral   |2020yCat.1350....0G
28  |HD 186787                                                                                                |Horizontal Branch Star                |19 44 40.2987264816 +44 17 54.608382780|077.9400736385359 +09.8942674303287| -4.589 -27.386   |8.58     |G8III            |    ~     ~          |    1|  370.096   pc  |  -2.1504     +2.1504  |paral   |2020yCat.1350....0G
29  |BD+43 3288                                                                                               |Long-Period Variable                  |19 34 40.7134903056 +43 22 40.373782788|076.2585527004741 +11.0606025966800|  -1.216 -3.066   |10.12    |M2               |    ~     ~          |    1| 1464.772   pc  | -41.8384    +41.8384  |paral   |2020yCat.1350....0G
30  |BD+43 3291                                                                                               |Star                                  |19 34 52.2300101304 +43 40 35.501986020|076.5457888925024 +11.1652963508457| -8.523 -26.065   |9.69     |F5               |    ~     ~          |    1|  193.308   pc  |  -0.5568     +0.5568  |paral   |2020yCat.1350....0G
31  |BD+43 3296                                                                                               |Double or Multiple Star               |19 35 47.6543292792 +43 21 03.183232212|076.3282412118884 +10.8678180425283|   7.398 -1.822   |10.23    |F2               |    ~     ~          |    1|  346.669   pc  |  -1.4902     +1.4902  |paral   |2020yCat.1350....0G
