C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:16:06

dec >=0&rah >=19.5&rah< 19.75&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 9885

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------------|-----|----------------|-----------------------|--------|-------------------
2881|BD+06 4222                                                                                               |Star                                  |19 37 16.5649853352 +06 45 05.677734384|044.2385884278919 -07.0066999730466|    9.348 6.791   |10.34    |F8V              |    ~     ~          |    1|  244.642   pc  |  -0.9875     +0.9875  |paral   |2020yCat.1350....0G
2882|HD 185155                                                                                                |Star                                  |19 37 29.7479235384 +06 38 49.097151348|044.1721872598443 -07.1045564470685|   0.366 -2.300   |9.26     |B8               |    ~     ~          |    1|  823.113   pc  | -18.0897    +18.0897  |paral   |2020yCat.1350....0G
2883|HD 185209                                                                                                |Star                                  |19 37 50.0423998992 +06 20 38.182555356|043.9441229089264 -07.3229462114825|    2.003 2.982   |8.57     |K3III            |    ~     ~          |    1|  634.880   pc  |  -6.8925     +6.8925  |paral   |2020yCat.1350....0G
2884|HD 185272                                                                                                |Star                                  |19 38 03.7307897472 +06 42 33.280044084|044.2949989189780 -07.1984024399758|   0.681 -4.547   |9.31     |G8IV             |    ~     ~          |    1|  462.942   pc  |  -5.2721     +5.2721  |paral   |2020yCat.1350....0G
2885|HD 185294                                                                                                |Star                                  |19 38 09.8372919624 +06 35 25.766202120|044.2019904849001 -07.2773196341143|  -1.368 -8.182   |9.42     |G5III            |    ~     ~          |    1|  461.021   pc  |  -3.1031     +3.1031  |paral   |2020yCat.1350....0G
2886|BD+06 4230                                                                                               |Star                                  |19 38 18.6511725672 +06 31 57.966717828|044.1684223686041 -07.3369378032027|   0.612 -6.129   |10.25    |G8III            |    ~     ~          |    1| 1314.924   pc  | -31.2954    +31.2954  |paral   |2020yCat.1350....0G
2887|BD+06 4231                                                                                               |Star                                  |19 38 18.1038744072 +07 09 48.625948224|044.7257211365205 -07.0334347986733|    5.394 6.317   |9.73     |G8III            |    ~     ~          |    1|  422.155   pc  |  -2.7623     +2.7623  |paral   |2020yCat.1350....0G
2888|BD+06 4232                                                                                               |Star                                  |19 38 29.7518384328 +06 31 38.642611044|044.1857942070158 -07.3798753554924| -1.544 -17.974   |9.99     |G8V              |    ~     ~          |    1|  490.509   pc  |  -3.3684     +3.3684  |paral   |2020yCat.1350....0G
2889|HD 185377                                                                                                |Star                                  |19 38 36.7692226296 +06 45 37.604564784|044.4061928122034 -07.2940260731723| 11.017 -10.625   |10.00    |A3               |    ~     ~          |    1|  294.994   pc  |  -1.1922     +1.1922  |paral   |2020yCat.1350....0G
2890|HD 185399                                                                                                |Star                                  |19 38 40.7216281656 +06 25 48.429844428|044.1214753105875 -07.4662371478917|    7.714 2.726   |8.29     |B9               |    ~     ~          |    1|  460.596   pc  |  -6.3432     +6.3432  |paral   |2020yCat.1350....0G
2891|BD+06 4237                                                                                               |Star                                  |19 38 44.2362004608 +06 49 12.872564220|044.4740317640916 -07.2925649171429| -1.474 -10.180   |10.23    |F0V              |    ~     ~          |    1|  558.067   pc  |  -6.2599     +6.2599  |paral   |2020yCat.1350....0G
2892|BD+06 4238                                                                                               |Star                                  |19 39 04.1234967408 +06 35 16.646065944|044.3080036827046 -07.4759203722828|   1.822 -3.190   |10.76    |K0               |    ~     ~          |    1| 1019.784   pc  | -14.4554    +14.4554  |paral   |2020yCat.1350....0G
2893|BD+06 4242                                                                                               |Star                                  |19 39 45.7582496352 +06 49 20.519340528|044.5987637102660 -07.5150261064800|  -1.069 -2.569   |10.60    |A2               |    ~     ~          |    1|  535.820   pc  |  -4.1343     +4.1343  |paral   |2020yCat.1350....0G
2894|HD 185624                                                                                                |Star                                  |19 39 51.2365264944 +06 27 01.326710844|044.2802012161221 -07.7130064330566|   8.063 -5.523   |10.06    |F8               |    ~     ~          |    1|  261.814   pc  |  -2.6253     +2.6253  |paral   |2020yCat.1350....0G
2895|BD+06 4244                                                                                               |Star                                  |19 40 06.3163569720 +07 12 07.454420856|044.9759356177002 -07.4075850129936|  -4.412 -6.464   |9.54     |K0               |    ~     ~          |    1| 1005.328   pc  | -15.1603    +15.1603  |paral   |2020yCat.1350....0G
2896|BD+06 4245                                                                                               |Star                                  |19 40 14.1313882128 +06 51 26.210196324|044.6864174033937 -07.6013210845183| -6.985 -14.637   |10.53    |F5               |    ~     ~          |    1|  273.508   pc  |  -6.3137     +6.3137  |paral   |2020yCat.1350....0G
2897|BD+06 4247                                                                                               |Star                                  |19 40 25.6536073224 +06 51 54.048498768|044.7163214028977 -07.6394428223320|   3.255 -2.689   |10.58    |A2               |    ~     ~          |    1|  551.207   pc  |  -4.3144     +4.3144  |paral   |2020yCat.1350....0G
2898|BD+06 4248                                                                                               |Star                                  |19 40 23.5606499184 +07 10 09.114258108|044.9813596279524 -07.4859015715265|  9.860 -10.138   |10.16    |F0               |    ~     ~          |    1|  362.319   pc  |  -1.6016     +1.6016  |paral   |2020yCat.1350....0G
2899|HD 184132                                                                                                |Star                                  |19 32 48.8979694176 +06 16 42.540110760|043.2892953664263 -06.2566870125709| -2.990 -12.858   |9.01     |G8III            |    ~     ~          |    1|  380.590   pc  |  -2.5059     +2.5059  |paral   |2020yCat.1350....0G
2900|BD+05 4188                                                                                               |Star                                  |19 33 24.0543326736 +06 11 49.320715956|043.2865193477202 -06.4235130980268| -9.742 -20.574   |9.63     |G8V:             |    ~     ~          |    1|  473.754   pc  |  -3.2993     +3.2993  |paral   |2020yCat.1350....0G
2901|HD 184363                                                                                                |Star                                  |19 33 52.0725681408 +06 08 33.872998488|043.2937604789395 -06.5514473224827|  -2.762 -6.117   |7.99     |G5III            |    ~     ~          |    1| 1086.012   pc  | -26.8908    +26.8908  |paral   |2020yCat.1350....0G
2902|TYC 490-5436-1                                                                                           |Star                                  |19 34 30.0067961616 +06 18 14.795125668|043.5117861957681 -06.6132367774053|   4.817 -5.361   |10.13    |G5III            |    ~     ~          |    1|  638.529   pc  |  -7.5836     +7.5836  |paral   |2020yCat.1350....0G
2903|HD 184527                                                                                                |Variable Star                         |19 34 45.6974461944 +06 13 15.403476792|043.4691461621988 -06.7099114227087|    8.960 9.073   |7.74     |A0               |    ~     ~          |    1|  228.959   pc  |  -1.8033     +1.8033  |paral   |2020yCat.1350....0G
2904|HD 184593                                                                                                |Star                                  |19 35 00.3641777520 +06 14 35.379604356|043.5178764969373 -06.7528311635600|  -1.073 -5.939   |10.36    |A0               |    ~     ~          |    1|  980.200   pc  | -26.2296    +26.2296  |paral   |2020yCat.1350....0G
2905|V* V1458 Aql                                                                                             |Mira Variable                         |19 34 55.7860040928 +06 14 02.105810988|043.5006185841403 -06.7405311986642|   8.098 -1.291   |8.36     |M0III            |    ~     ~          |    1|  835.631   pc  | -26.5346    +26.5346  |paral   |2020yCat.1350....0G
2906|HD 184745                                                                                                |Star                                  |19 35 44.7990809688 +06 06 52.827285132|043.4920560468989 -06.9758409633292|  -2.156 -5.832   |10.15    |B9               |    ~     ~          |    1|  994.530   pc  | -35.0138    +35.0138  |paral   |2020yCat.1350....0G
2907|BD+05 4207                                                                                               |High Proper Motion Star               |19 35 44.9490562392 +06 11 05.340922008|043.5545293326453 -06.9430572777517| 29.724 -66.031   |10.18    |G0V              |    ~     ~          |    1|  177.692   pc  |  -0.4831     +0.4831  |paral   |2020yCat.1350....0G
2908|BD+05 4208                                                                                               |Star                                  |19 35 50.3757672240 +06 10 14.445267204|043.5527610337809 -06.9695552569291|    5.007 2.581   |9.70     |K0III            |    ~     ~          |    1|  487.852   pc  |  -3.9508     +3.9508  |paral   |2020yCat.1350....0G
2909|BD+05 4211                                                                                               |Star                                  |19 36 20.4128230584 +06 18 43.427678724|043.7376739174488 -07.0117646457349|   2.670 15.781   |10.70    |G5V              |    ~     ~          |    1|  588.547   pc  |  -5.2997     +5.2997  |paral   |2020yCat.1350....0G
2910|BD+05 4219                                                                                               |Star                                  |19 37 39.1355013888 +06 14 05.567156520|043.8257515544694 -07.3352258982639|    6.941 3.019   |10.58    |G5III            |    ~     ~          |    1|  534.445   pc  |  -5.9983     +5.9983  |paral   |2020yCat.1350....0G
2911|HD 185459                                                                                                |Double or Multiple Star               |19 38 59.793600 +06 15 02.59632        |044.000518386 -07.621295910        |        7.1 8.5   |10.691   |A3               |    ~     ~          |    0|                |                       |        |                   
2912|HD 185900                                                                                                |Double or Multiple Star               |19 41 13.5860057544 +06 15 08.456110596|044.2694741362088 -08.1072033575378|   0.482 -3.468   |9.523    |K2               |    ~     ~          |    1|  831.670   pc  | -11.0668    +11.0668  |paral   |2020yCat.1350....0G
2913|LEE 133                                                                                                  |Carbon Star                           |19 37 52.5731999784 +06 43 43.983314040|044.2901658155872 -07.1484579083207|   2.232 -4.717   |10.19    |C4,4             |    ~     ~          |    1| 1874.41    pc  |-117.349    +117.349   |paral   |2020yCat.1350....0G
2914|V* V1261 Aql                                                                                             |Long-Period Variable                  |19 34 43.5969866424 +07 08 45.824857512|044.2841328292378 -06.2624818375435| -12.312 -9.237   |8.69     |M5III            |    ~     ~          |    1|  779.727   pc  | -15.017     +15.017   |paral   |2020yCat.1350....0G
2915|BD+05 4180                                                                                               |Star                                  |19 32 30.0841139904 +05 40 10.952575140|042.7124908098140 -06.4759411527611|  -1.281 -1.143   |10.14    |F8III:           |    ~     ~          |    1|  740.357   pc  |  -8.6604     +8.6604  |paral   |2020yCat.1350....0G
2916|HD 184133                                                                                                |Star                                  |19 32 50.1893463864 +06 01 19.678491120|043.0646515580477 -06.3827458343591|  5.863 -29.018   |8.41     |K0III            |    ~     ~          |    1|  189.696   pc  |  -0.9104     +0.9104  |paral   |2020yCat.1350....0G
2917|BD+05 4183                                                                                               |Star                                  |19 32 57.8322542328 +05 33 00.412912080|042.6611166263175 -06.6338572768904|   1.523 -0.594   |9.75     |K5III            |    ~     ~          |    1| 1413.028   pc  | -45.3239    +45.3239  |paral   |2020yCat.1350....0G
2918|HD 184153                                                                                                |Double or Multiple Star               |19 32 58.5909 +05 45 41.147            |042.8500671 -06.5367427            |   10.90 -16.90   |8.48     |F5V              |    ~     ~          |    0|                |                       |        |                   
2919|HD 184176                                                                                                |Star                                  |19 32 59.2949060808 +06 04 22.933364664|043.1277412668987 -06.3918910325316|  -1.100 -5.343   |7.97     |K3III            |    ~     ~          |    1| 1329.257   pc  | -39.9325    +39.9325  |paral   |2020yCat.1350....0G
2920|HD 184200                                                                                                |Star                                  |19 33 10.3367349480 +05 44 34.885227840|042.8569219147995 -06.5883524671578|   -0.169 2.386   |7.59     |K0III            |    ~     ~          |    1|  513.584   pc  |  -5.2490     +5.2490  |paral   |2020yCat.1350....0G
2921|HD 184364                                                                                                |Star                                  |19 33 52.1777772840 +05 45 55.536054696|042.9594259357421 -06.7305643807654|    3.706 6.456   |9.52     |A5               |    ~     ~          |    1|  339.432   pc  |  -2.9495     +2.9495  |paral   |2020yCat.1350....0G
2922|BD+05 4193                                                                                               |Star                                  |19 33 54.3729990984 +05 58 35.083572024|043.1508622604265 -06.6386603408950| -4.749 -15.802   |10.28    |G8III            |    ~     ~          |    1|  822.301   pc  | -27.3852    +27.3852  |paral   |2020yCat.1350....0G
2923|BD+05 4197                                                                                               |Star                                  |19 34 43.0940651280 +06 04 50.069380044|043.3395746841640 -06.7670305894946|    7.309 6.005   |9.48     |K0III            |    ~     ~          |    1|  742.446   pc  |  -7.8825     +7.8825  |paral   |2020yCat.1350....0G
2924|BD+05 4200                                                                                               |Star                                  |19 35 03.6651081456 +05 43 08.121325080|043.0595862730901 -07.0135995637807|  -2.573 -4.169   |9.29     |G8III            |    ~     ~          |    1|  650.830   pc  |  -6.3537     +6.3537  |paral   |2020yCat.1350....0G
2925|HD 184634                                                                                                |Star                                  |19 35 11.1831605616 +05 46 37.380440280|043.1260397396256 -07.0134815692157|  -1.629 -7.117   |8.70     |A0               |    ~     ~          |    1|  541.536   pc  |  -6.5104     +6.5104  |paral   |2020yCat.1350....0G
2926|HD 184680                                                                                                |Star                                  |19 35 30.2674510392 +05 19 03.749451132|042.7561846650887 -07.3008662598322|    6.191 0.273   |9.08     |G5III            |    ~     ~          |    1|  510.230   pc  |  -3.9571     +3.9571  |paral   |2020yCat.1350....0G
2927|BD+05 4206                                                                                               |Star                                  |19 35 46.3298199048 +05 39 05.612921280|043.0843522121354 -07.2012848912909|  -0.481 -7.556   |9.95     |G5III            |    ~     ~          |    1|  657.549   pc  |  -5.2749     +5.2749  |paral   |2020yCat.1350....0G
2928|HD 184853                                                                                                |Star                                  |19 36 12.6159583704 +06 00 26.710514640|043.4521487850988 -07.1282183286294|  3.895 -12.248   |6.64     |G8III            |    ~     ~          |    1|  264.943   pc  |  -1.3899     +1.3899  |paral   |2020yCat.1350....0G
2929|HD 184854                                                                                                |High Proper Motion Star               |19 36 14.9224526208 +05 28 36.269041908|042.9859030638667 -07.3885953807850|  52.842 65.518   |9.80     |F8III            |    ~     ~          |    1|  154.131   pc  |  -0.3065     +0.3065  |paral   |2020yCat.1350....0G
2930|HD 184913                                                                                                |Star                                  |19 36 25.5904192560 +05 36 22.448215440|043.1220103688965 -07.3660931204339|  19.238 -1.595   |9.53     |G8III            |    ~     ~          |    1|  343.065   pc  |  -1.7066     +1.7066  |paral   |2020yCat.1350....0G
2931|HD 185022                                                                                                |Star                                  |19 36 59.8329566544 +05 49 56.805001212|043.3907303866033 -07.3835566366602| 13.938 -22.316   |10.05    |F5III            |    ~     ~          |    1|  211.247   pc  |  -0.8434     +0.8434  |paral   |2020yCat.1350....0G
2932|HD 185121                                                                                                |Star                                  |19 37 25.0021530384 +05 27 16.977058236|043.1055212770307 -07.6548875582875|  -0.794 -5.340   |8.62     |B8               |    ~     ~          |    1| 1228.049   pc  | -35.5912    +35.5912  |paral   |2020yCat.1350....0G
2933|HD 185156                                                                                                |Star                                  |19 37 34.7606964768 +05 19 25.962755592|043.0087346079711 -07.7526514457609|    7.046 0.396   |9.97     |B9               |    ~     ~          |    1|  588.408   pc  |  -7.1322     +7.1322  |paral   |2020yCat.1350....0G
2934|BD+05 4218a                                                                                              |Star                                  |19 37 41.3345508624 +05 47 21.362986536|043.4349438642652 -07.5554243999496|    4.693 4.359   |10.74    |~                |    ~     ~          |    1|  569.087   pc  | -11.6590    +11.6590  |paral   |2020yCat.1350....0G
2935|BD+05 4221                                                                                               |Star                                  |19 38 24.8521620096 +05 21 10.393738524|043.1341717109593 -07.9217202233260|  3.297 -24.694   |10.4     |G                |    ~     ~          |    1|  368.433   pc  |  -5.4161     +5.4161  |paral   |2020yCat.1350....0G
2936|HD 185356                                                                                                |Star                                  |19 38 34.2952453056 +05 30 16.084825272|043.2875969030168 -07.8840806444960|  -0.224 -2.835   |9.48     |A0               |    ~     ~          |    1|  678.472   pc  | -16.1114    +16.1114  |paral   |2020yCat.1350....0G
2937|HD 185400                                                                                                |Star                                  |19 38 42.9270803472 +05 47 13.445359404|043.5556517353445 -07.7810032598747|  -0.479 -3.402   |9.65     |A0               |    ~     ~          |    1|  697.885   pc  |  -9.4000     +9.4000  |paral   |2020yCat.1350....0G
2938|TYC 487-1192-1                                                                                           |Star                                  |19 39 11.0706194112 +05 21 45.283025268|043.2348817223478 -08.0857646818470|    4.424 6.165   |10.38    |~                |    ~     ~          |    1|  250.088   pc  |  -0.9694     +0.9694  |paral   |2020yCat.1350....0G
2939|HD 185506                                                                                                |Star                                  |19 39 13.7561096568 +06 00 00.764413632|043.8062414824159 -07.7916953204974|  -0.668 -3.501   |10.07    |A0               |    ~     ~          |    1|  784.560   pc  | -10.5872    +10.5872  |paral   |2020yCat.1350....0G
2940|HD 185566                                                                                                |Star                                  |19 39 30.6482790504 +05 42 00.561512916|043.5737067940581 -07.9963508357880|    4.198 3.325   |8.74     |K2               |    ~     ~          |    1|  636.456   pc  |  -9.0332     +9.0332  |paral   |2020yCat.1350....0G
2941|AG+05 2777                                                                                               |Long-Period Variable Candidate        |19 39 40.4556882552 +05 45 43.933549212|043.6483611902982 -08.0025001420718|  3.950 -13.085   |8.93     |M4               |    ~     ~          |    1|  720.669   pc  | -13.3996    +13.3996  |paral   |2020yCat.1350....0G
2942|HD 185625                                                                                                |Star                                  |19 39 47.8083854736 +06 02 23.394228180|043.9093783854106 -07.8967686278764|  -0.192 -2.446   |10.00    |A0               |    ~     ~          |    1|  796.940   pc  | -17.3386    +17.3386  |paral   |2020yCat.1350....0G
2943|HD 185668                                                                                                |Star                                  |19 40 02.9171653296 +05 37 17.967858348|043.5684606266436 -08.1513891839674|  21.195 27.729   |9.99     |G0               |    ~     ~          |    1|  172.304   pc  |  -1.8437     +1.8437  |paral   |2020yCat.1350....0G
2944|TYC 491-2551-1                                                                                           |Star                                  |19 40 17.6329624848 +05 57 58.515616116|043.9037202540492 -08.0404910392262|  0.553 -10.494   |10.19    |M                |    ~     ~          |    1|  765.287   pc  |  -9.7806     +9.7806  |paral   |2020yCat.1350....0G
2945|BD+05 4234                                                                                               |Star                                  |19 40 30.1894529640 +06 02 30.729178284|043.9959150442367 -08.0500577207567|   -2.890 0.818   |9.99     |K5               |    ~     ~          |    1| 1205.546   pc  | -24.2708    +24.2708  |paral   |2020yCat.1350....0G
2946|HD 185760                                                                                                |Star                                  |19 40 34.2735027480 +05 27 02.510524332|043.4793020627015 -08.3472277892277|   13.650 0.574   |8.14     |F5               |    ~     ~          |    1|  115.884   pc  |  -0.3451     +0.3451  |paral   |2020yCat.1350....0G
2947|HD 185822                                                                                                |Star                                  |19 40 49.4690213808 +06 06 34.238699244|044.0944975265390 -08.0878626330667|  26.736 -3.673   |9.03     |K5               |    ~     ~          |    1|  308.480   pc  |  -1.6843     +1.6843  |paral   |2020yCat.1350....0G
2948|HD 185901                                                                                                |Star                                  |19 41 11.5057635840 +05 50 46.785014304|043.9051127868068 -08.2939340801158|  -8.179 10.394   |8.96     |F8               |    ~     ~          |    1|  204.486   pc  |  -2.7849     +2.7849  |paral   |2020yCat.1350....0G
2949|HD 185177                                                                                                |Long-Period Variable                  |19 37 40.8455776272 +05 17 56.728116924|042.9988175900805 -07.7866391737025|    4.308 1.267   |9.80     |M8               |    ~     ~          |    1| 1127.269   pc  | -45.3652    +45.3652  |paral   |2020yCat.1350....0G
2950|HD 185421                                                                                                |Star                                  |19 38 54.1092785088 +05 17 11.543489016|043.1335173809097 -08.0600479020127|    9.399 3.141   |10.09    |A0               |    ~     ~          |    1|  413.907   pc  | -11.2557    +11.2557  |paral   |2020yCat.1350....0G
2951|V* V450 Aql                                                                                              |Long-Period Variable                  |19 33 46.0320196104 +05 27 56.529751716|042.6813629450669 -06.8499201459823| -3.860 -26.170   |6.48     |M5-M5.5III       |    ~     ~          |    1|  216.478   pc  |  -5.2814     +5.2814  |paral   |2020yCat.1350....0G
2952|V* V417 Aql                                                                                              |Eclipsing Binary                      |19 35 24.1195136928 +05 50 17.661574140|043.2059427615271 -07.0316661315372| -6.037 -23.950   |10.63    |G0V+F9V          |    ~     ~          |    1|  211.095   pc  |  -0.6862     +0.6862  |paral   |2020yCat.1350....0G
2953|NGC 6807                           NGC 6807                                                              |Planetary Nebula                      |19 34 33.53 +05 41 02.5                |042.96898 -06.92011                |            ~ ~   |12       |~                |0.01550335 0.01549922|    1|   12.700   kpc |  -2.540      +2.540   |        |2010ApJ...714.1096S
2954|IRAS 19339+0522                                                                                          |Long-Period Variable Candidate        |19 36 23.4900931464 +05 28 56.559007308|043.0079056762575 -07.4172039503033|  -3.307 -4.635   |10.81    |~                |    ~     ~          |    1| 3062.79    pc  |-214.817    +214.817   |paral   |2020yCat.1350....0G
2955|IRAS 19372+0554                                                                                          |Star                                  |19 39 41.1611231736 +06 01 25.183940808|043.8817570684761 -07.8802902519657|  -6.689 -7.943   |9.96     |~                |    ~     ~          |    1| 1437.401   pc  | -39.0497    +39.0497  |paral   |2020yCat.1350....0G
2956|BD+05 4196                                                                                               |Star                                  |19 34 36.3771036960 +05 42 20.518105320|042.9938428349236 -06.9202407713760|    3.262 6.481   |10.08    |G5V:             |    ~     ~          |    1|  747.440   pc  |  -7.0951     +7.0951  |paral   |2020yCat.1350....0G
2957|BD+05 4195                                                                                               |Long-Period Variable Candidate        |19 34 30.8936900136 +06 16 38.320359708|043.4897950764220 -06.6291890311465|  -3.507 -4.463   |10.49    |M5:              |    ~     ~          |    0|                |                       |        |                   
2958|IRAS 19330+0638                                                                                          |Star                                  |19 35 28.0670394648 +06 44 59.731718748|044.0216557460844 -06.6128061671014|  -6.299 -3.493   |10.74    |M2               |    ~     ~          |    1| 1631.854   pc  | -73.7636    +73.7636  |paral   |2020yCat.1350....0G
2959|TYC 490-4174-1                                                                                           |Star                                  |19 33 06.4736985168 +05 48 55.793082996|042.9135739562124 -06.5399636175029|  -0.730 -3.310   |10.73    |B8               |    ~     ~          |    1|  919.540   pc  | -33.2303    +33.2303  |paral   |2020yCat.1350....0G
2960|BD+05 4187                                                                                               |Star                                  |19 33 20.4312485904 +05 18 30.892057884|042.4913532699514 -06.8305858629023|  -0.232 -1.008   |10.83    |G5III            |    ~     ~          |    1| 1093.733   pc  | -19.2597    +19.2597  |paral   |2020yCat.1350....0G
2961|TYC 490-4054-1                                                                                           |Star                                  |19 33 36.6816425640 +05 52 37.021809000|043.0277148323921 -06.6211877155385|   -4.359 1.790   |10.54    |G5III            |    ~     ~          |    1|  693.049   pc  |  -7.2047     +7.2047  |paral   |2020yCat.1350....0G
2962|BD+05 4189                                                                                               |Star                                  |19 33 44.1619573200 +05 37 57.238241124|042.8257313875747 -06.7641639728691|    1.570 2.905   |10.70    |F8               |    ~     ~          |    1|  392.265   pc  |  -2.2157     +2.2157  |paral   |2020yCat.1350....0G
2963|TYC 490-4225-1                                                                                           |Star                                  |19 34 10.3622889736 +05 53 08.666313526|043.1020743453786 -06.7399739854925|-26.607 -38.456   |10.41    |F8III            |    ~     ~          |    1|  184.7951  pc  |  -1.7211     +1.7211  |paral   |2018yCat.1345....0G
2964|TYC 490-4087-1                                                                                           |Star                                  |19 34 39.8087103576 +06 02 02.442581664|043.2917932945763 -06.7771350243216|    1.373 0.303   |10.95    |A0               |    ~     ~          |    1| 1566.907   pc  | -75.8656    +75.8656  |paral   |2020yCat.1350....0G
2965|TYC 486-2450-1                                                                                           |Star                                  |19 34 45.2176874544 +05 32 20.907253212|042.8635513703286 -07.0314169557613|  -3.507 -1.949   |10.83    |G5III            |    ~     ~          |    1|  863.409   pc  |  -9.6166     +9.6166  |paral   |2020yCat.1350....0G
2966|TYC 490-2956-1                                                                                           |Star                                  |19 34 47.4267965280 +05 47 36.901108896|043.0936676746070 -06.9189338780460|  -0.904 -5.065   |10.46    |B8               |    ~     ~          |    1| 1490.313   pc  | -39.5344    +39.5344  |paral   |2020yCat.1350....0G
2967|TYC 490-4696-1                                                                                           |High Proper Motion Star               |19 34 51.7206188232 +05 41 34.863381960|043.0129569201699 -06.9822708984743|-15.869 -55.541   |10.76    |G0               |    ~     ~          |    1|  181.541   pc  |  -0.4878     +0.4878  |paral   |2020yCat.1350....0G
2968|TYC 486-3242-1                                                                                           |Star                                  |19 34 51.8893686408 +05 26 54.992962752|042.7964049444482 -07.0986571581691|  -0.476 -2.108   |10.76    |A2               |    ~     ~          |    1| 1053.630   pc  | -26.3102    +26.3102  |paral   |2020yCat.1350....0G
2969|TYC 486-3062-1                                                                                           |Star                                  |19 34 58.1350420248 +05 26 47.353561080|042.8068829477275 -07.1224799002356|  -3.158 -6.109   |10.89    |K0III            |    ~     ~          |    1| 1452.855   pc  | -37.7831    +37.7831  |paral   |2020yCat.1350....0G
2970|TYC 490-3817-1                                                                                           |Star                                  |19 34 54.3914502624 +05 53 15.883924992|043.1909675088187 -06.8997084801625|   1.954 -1.075   |10.92    |G8III            |    ~     ~          |    1|  981.932   pc  | -15.6199    +15.6199  |paral   |2020yCat.1350....0G
2971|TYC 486-2537-1                                                                                           |Star                                  |19 35 11.6690650848 +05 33 55.364941728|042.9391991584379 -07.1155957290233| -6.865 -13.183   |10.11    |K0III            |    ~     ~          |    1|  909.008   pc  | -10.8245    +10.8245  |paral   |2020yCat.1350....0G
2972|TYC 486-2644-1                                                                                           |Star                                  |19 35 16.2536866320 +05 24 43.826410008|042.8122968925120 -07.2049232541362| -9.638 -14.661   |10.70    |G5V              |    ~     ~          |    1|  811.688   pc  | -10.0143    +10.0143  |paral   |2020yCat.1350....0G
2973|TYC 490-2752-1                                                                                           |Star                                  |19 35 20.0261762712 +06 07 16.917618180|043.4488792820349 -06.8823470166468|   -1.313 2.698   |10.89    |F2               |    ~     ~          |    1|  726.427   pc  | -12.2426    +12.2426  |paral   |2020yCat.1350....0G
2974|TYC 486-2906-1                                                                                           |Star                                  |19 35 24.4402349184 +05 28 00.850516500|042.8770934149642 -07.2089010547907| -8.457 -24.052   |10.97    |F2               |    ~     ~          |    1|  414.439   pc  |  -3.1089     +3.1089  |paral   |2020yCat.1350....0G
2975|TYC 490-2605-1                                                                                           |Star                                  |19 35 31.6833384408 +05 40 31.425773052|043.0764716135061 -07.1365154038751|   4.050 12.598   |10.26    |G8III            |    ~     ~          |    1|  647.585   pc  |  -5.6614     +5.6614  |paral   |2020yCat.1350....0G
2976|TYC 490-4246-1                                                                                           |Star                                  |19 35 48.0005116104 +05 41 53.331691920|043.1290020724593 -07.1852809605465|    1.582 0.318   |10.71    |F0               |    ~     ~          |    1|  677.690   pc  |  -9.8283     +9.8283  |paral   |2020yCat.1350....0G
2977|TYC 486-2576-1                                                                                           |Star                                  |19 35 56.1443800656 +05 30 20.282301612|042.9743063165741 -07.3063260465379|  4.500 -21.970   |10.44    |F0III            |    ~     ~          |    1|  252.857   pc  |  -1.1892     +1.1892  |paral   |2020yCat.1350....0G
2978|GSC 00490-04528                                                                                          |Star                                  |19 36 31.4359832448 +05 59 04.664442696|043.4692998802441 -07.2076659305182|   -1.703 1.749   |10.60    |K0III            |    ~     ~          |    1|  953.743   pc  | -11.9161    +11.9161  |paral   |2020yCat.1350....0G
2979|TYC 490-5374-1                                                                                           |Star                                  |19 32 35.4810529032 +06 29 36.614499180|043.4533085191705 -06.1059155402115|   10.642 9.482   |10.78    |A3               |    ~     ~          |    1|  399.616   pc  | -12.0888    +12.0888  |paral   |2020yCat.1350....0G
2980|BD+06 4182                                                                                               |Star                                  |19 32 44.0693913864 +06 51 27.303934680|043.7926133724170 -05.9646259706089|  27.894 -7.489   |10.42    |B8               |    ~     ~          |    1|  426.439   pc  |  -4.5644     +4.5644  |paral   |2020yCat.1350....0G
2981|BD+06 4183                                                                                               |Star                                  |19 32 50.1035679096 +06 57 00.523589148|043.8864420705274 -05.9426842079465|-10.210 -11.763   |10.78    |F0               |    ~     ~          |    1|  418.831   pc  |  -2.8769     +2.8769  |paral   |2020yCat.1350....0G
2982|TYC 490-4655-1                                                                                           |Star                                  |19 33 08.0151264696 +07 03 39.527182692|044.0198743992796 -05.9552665417003|  -6.149 -6.815   |10.67    |K0III            |    ~     ~          |    1| 1300.559   pc  | -25.7101    +25.7101  |paral   |2020yCat.1350....0G
2983|TYC 490-4500-1                                                                                           |Star                                  |19 33 26.6557287504 +06 55 23.526105420|043.9347633517185 -06.0885397203966| -4.808 -38.723   |10.75    |G0               |    ~     ~          |    1|  244.212   pc  |  -0.8946     +0.8946  |paral   |2020yCat.1350....0G
