C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:56:44

dec >=0&rah >=11.25&rah< 11.5&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2263

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|--------------------|---------------|-----|----------------|-----------------------|--------|-------------------
22  |BD+83 324                                                                                                                                   |Star                                |11 18 22.8212224560 +82 36 48.156414552|126.4382128205771 +33.8704450622386| -24.652 -8.373   |9.80     |F0                  |    ~     ~    |    1|  237.880   pc  |  -0.6677     +0.6677  |paral   |2020yCat.1350....0G
23  |BD+83 325                                                                                                                                   |Star                                |11 20 57.7625177232 +82 18 47.914991460|126.4969647855606 +34.1784000414083| 14.333 -18.691   |9.66     |F5                  |    ~     ~    |    1|  154.861   pc  |  -0.2566     +0.2566  |paral   |2020yCat.1350....0G
24  |BD+83 327                                                                                                                                   |Star                                |11 23 05.7444626856 +82 49 16.471889580|126.1711269727083 +33.7428422318723|    6.687 0.368   |10.41    |K0                  |    ~     ~    |    1|  720.202   pc  |  -6.1205     +6.1205  |paral   |2020yCat.1350....0G
25  |BD+83 328                                                                                                                                   |High Proper Motion Star             |11 23 26.8775070024 +82 17 05.665735140|126.4191038808333 +34.2383345166760|-123.930 -45.531  |10.27    |K0                  |    ~     ~    |    1|   96.957   pc  |  -0.1119     +0.1119  |paral   |2020yCat.1350....0G
26  |BD+83 329                                                                                                                                   |Star                                |11 24 44.2149852504 +82 51 42.460808040|126.0952998604862 +33.7260461683062|  -13.978 0.682   |10.74    |G5                  |    ~     ~    |    1|  235.062   pc  |  -1.1493     +1.1493  |paral   |2020yCat.1350....0G
27  |BD+82 329                                                                                                                                   |Star                                |11 23 01.4476388496 +81 53 56.472475128|126.6246978168296 +34.5852528837348|  14.417 -8.175   |10.79    |K0                  |    ~     ~    |    1|  800.192   pc  | -17.9926    +17.9926  |paral   |2020yCat.1350....0G
28  |BD+82 328                                                                                                                                   |Star                                |11 20 04.6647710688 +81 41 57.659510112|126.8413725273481 +34.7235937737482|   -7.633 8.711   |10.80    |G5                  |    ~     ~    |    1| 1320.481   pc  | -23.3652    +23.3652  |paral   |2020yCat.1350....0G
29  |BD+82 330                                                                                                                                   |Star                                |11 25 28.7954230272 +81 33 15.440424012|126.6950289345696 +34.9363973350970|   1.601 -1.285   |10.66    |~                   |    ~     ~    |    1|  935.016   pc  |  -8.5677     +8.5677  |paral   |2020yCat.1350....0G
30  |TYC 4632-1524-1                                                                                                                             |Star                                |11 21 17.9159654856 +82 35 33.745734060|126.3457624243969 +33.9284178151586|  1.250 -18.293   |10.79    |~                   |    ~     ~    |    1|  238.141   pc  |  -0.8166     +0.8166  |paral   |2020yCat.1350....0G
31  |BD+82 331                                                                                                                                   |Star                                |11 26 47.2207902072 +81 20 17.650008132|126.7448280326792 +35.1540633854290| -12.780 -6.331   |10.31    |K2                  |    ~     ~    |    1| 1433.486   pc  | -22.1927    +22.1927  |paral   |2020yCat.1350....0G
32  |BD+81 365                                                                                                                                   |Star                                |11 15 42.9632188248 +81 08 27.053327796|127.3140510454401 +35.1574412520611|   -9.609 7.185   |10.08    |G5                  |    ~     ~    |    1|  919.456   pc  |  -9.4685     +9.4685  |paral   |2020yCat.1350....0G
