C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:32:59

dec >=0&rah >=2.75&rah< 3.0&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4298

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |     spec. type      |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|---------------------|---------------|-----|----------------|-----------------------|--------|-------------------
23  |CCDM J02506+3818C                                                                                        |Star                                |02 50 45.8 +38 15 44                   |147.3150 -18.8950                  |            ~ ~  |9.0      |~                    |    ~     ~    |    0|                |                       |        |                   
24  |BD+37 652                                                                                                |Star                                |02 52 40.3120270872 +38 32 27.811682232|147.5246991280086 -18.4730194684925|   -0.160 1.220  |8.78     |K5                   |    ~     ~    |    1| 1057.641   pc  | -31.5447    +31.5447  |paral   |2020yCat.1350....0G
25  |BD+37 654                                                                                                |Star                                |02 53 07.1645025528 +38 31 02.856479484|147.6177359224481 -18.4522809711970| 12.300 -16.096  |9.88     |F8                   |    ~     ~    |    1|  230.367   pc  |  -1.1091     +1.1091  |paral   |2020yCat.1350....0G
26  |* 20 Per                                                                                                 |Double or Multiple Star             |02 53 42.61284 +38 20 14.9532          |147.81541085 -18.55542748          |   46.79 -78.90  |5.343    |F6V                  |0.0033  0.0    |    0|                |                       |        |                   
27  |HD 17044                                                                                                 |Star                                |02 45 19.6002409080 +38 04 07.304532708|146.4037139265698 -19.5575982124433|  8.599 -15.126  |8.27     |A0                   |    ~     ~    |    1|  224.628   pc  |  -1.3977     +1.3977  |paral   |2020yCat.1350....0G
28  |HIP 12967                                                                                                |High Proper Motion Star             |02 46 47.8087852440 +37 44 25.250279856|146.8361746981875 -19.7188843857993| 69.343 -91.187  |9.72     |F8                   |    ~     ~    |    1|  123.999   pc  |  -0.2968     +0.2968  |paral   |2020yCat.1350....0G
29  |TYC 2845-2007-1                                                                                          |Star                                |02 46 40.6828696800 +37 45 19.503583488|146.8066794713314 -19.7161720805964|   0.232 -8.681  |10.68    |F0                   |    ~     ~    |    1|  483.372   pc  |  -5.3506     +5.3506  |paral   |2020yCat.1350....0G
30  |AG+37 326                                                                                                |Long-Period Variable Candidate      |02 47 07.8715179840 +37 41 45.321889164|146.9202207354509 -19.7282096438817|  1.041 -11.310  |9.50     |M                    |    ~     ~    |    1|  676.636   pc  | -23.7617    +23.7617  |paral   |2020yCat.1350....0G
31  |HD 17239                                                                                                 |Star                                |02 47 08.5660160088 +37 43 44.689570032|146.9062781602387 -19.6976744987564|  -3.003 -1.964  |8.54     |B9                   |    ~     ~    |    1|  604.412   pc  | -19.1790    +19.1790  |paral   |2020yCat.1350....0G
32  |HD 17269                                                                                                 |Star                                |02 47 27.7112871864 +37 47 27.741554088|146.9357087494252 -19.6137215440635|  4.498 -23.766  |6.88     |K0                   |    ~     ~    |    1|  375.545   pc  |  -5.7260     +5.7260  |paral   |2020yCat.1350....0G
33  |BD+37 638                                                                                                |Star                                |02 48 22.0989537240 +37 52 55.812899568|147.0599350531013 -19.4505382411407|  3.705 -10.914  |9.84     |F2                   |    ~     ~    |    1|  566.990   pc  | -11.9268    +11.9268  |paral   |2020yCat.1350....0G
34  |BD+37 639                                                                                                |Star                                |02 48 44.2060697544 +37 44 51.783349848|147.1942620884129 -19.5362021676064| 19.265 -12.454  |9.75     |F0                   |    ~     ~    |    1|  226.752   pc  |  -1.2803     +1.2803  |paral   |2020yCat.1350....0G
35  |HD 17432                                                                                                 |High Proper Motion Star             |02 48 57.1391283504 +37 39 34.034702508|147.2777364571586 -19.5946972358329| 12.386 -90.859  |8.49     |G5                   |    ~     ~    |    1|  317.148   pc  |  -2.9571     +2.9571  |paral   |2020yCat.1350....0G
36  |BD+37 644                                                                                                |High Proper Motion Star             |02 50 18.3718232496 +38 10 35.677849836|147.2733941123304 -19.0127218365663| 62.403 -76.369  |8.98     |K0                   |    ~     ~    |    1|  103.609   pc  |  -0.2630     +0.2630  |paral   |2020yCat.1350....0G
37  |BD+37 651                                                                                                |Star                                |02 52 21.3450898416 +38 06 03.953496528|147.6869878669510 -18.8898817658711|   0.373 -7.699  |9.82     |K0                   |    ~     ~    |    1|  806.257   pc  | -15.0812    +15.0812  |paral   |2020yCat.1350....0G
38  |TYC 2846-1070-1                                                                                          |High Proper Motion Star             |02 52 29.2347698760 +37 46 34.101884748|147.8741361870457 -19.1636854733988| 34.001 -62.510  |9.75     |K0                   |    ~     ~    |    1|  385.550   pc  |  -3.2554     +3.2554  |paral   |2020yCat.1350....0G
39  |BD+37 653                                                                                                |Star                                |02 52 42.5434313640 +37 47 47.923598832|147.9046401515787 -19.1248183587181| 36.349 -25.464  |9.37     |F8                   |    ~     ~    |    1|  133.392   pc  |  -0.4431     +0.4431  |paral   |2020yCat.1350....0G
40  |HD 17985                                                                                                 |Star                                |02 54 36.8900282136 +37 44 31.590268620|148.2821035976052 -18.9924157555307|  -4.702 -4.985  |8.19     |G5                   |    ~     ~    |    1|  382.717   pc  |  -4.4088     +4.4088  |paral   |2020yCat.1350....0G
41  |HD 18065                                                                                                 |Star                                |02 55 24.9156097104 +37 59 57.746640840|148.2970137630544 -18.6908549998217|  -1.481 -5.930  |8.460    |G5                   |    ~     ~    |    1|  405.433   pc  |  -4.9313     +4.9313  |paral   |2020yCat.1350....0G
42  |BD+37 661                                                                                                |Star                                |02 55 32.5813206216 +37 40 42.390162660|148.4845836609776 -18.9593969288494|   0.116 -5.509  |9.70     |A5                   |    ~     ~    |    1|  543.006   pc  | -19.4015    +19.4015  |paral   |2020yCat.1350....0G
43  |BD+37 667                                                                                                |Star                                |02 57 14.4957808560 +37 45 23.183653536|148.7542526539559 -18.7274848338454|-17.986 -16.961  |9.36     |K5                   |    ~     ~    |    1|  490.436   pc  |  -5.8448     +5.8448  |paral   |2020yCat.1350....0G
44  |BD+36 550                                                                                                |Star                                |02 45 23.1178641168 +37 31 03.710081496|146.6788507488366 -20.0441376089903|  11.427 -9.477  |10.79    |F0                   |    ~     ~    |    1|  410.998   pc  |  -4.4595     +4.4595  |paral   |2020yCat.1350....0G
45  |BD+36 556                                                                                                |Star                                |02 47 38.1397380432 +37 28 45.835594572|147.1201134041583 -19.8748339354006| 37.281 -12.849  |10.24    |B9                   |    ~     ~    |    1|  263.637   pc  |  -4.8166     +4.8166  |paral   |2020yCat.1350....0G
46  |HD 17281                                                                                                 |Star                                |02 47 36.1983232776 +37 26 03.224024448|147.1361222398087 -19.9179030752892|  -2.980 -2.034  |9.02     |B9                   |    ~     ~    |    1|  664.055   pc  | -16.5363    +16.5363  |paral   |2020yCat.1350....0G
47  |BD+36 559                                                                                                |High Proper Motion Star             |02 48 02.9913554136 +37 33 22.217177844|147.1600783193979 -19.7688811841923| 64.981 -33.014  |10.15    |G5                   |    ~     ~    |    1|  129.256   pc  |  -0.5664     +0.5664  |paral   |2020yCat.1350....0G
48  |** AG 51B                                                                                                |Star                                |02 48 02.2 +37 33 24                   |147.1574 -19.7696                  |            ~ ~  |10.7     |~                    |    ~     ~    |    0|                |                       |        |                   
49  |BD+36 563                                                                                                |Spectroscopic Binary                |02 49 09.0997211568 +37 30 47.226684528|147.3869770155650 -19.7060061588677|  -1.334 -4.060  |10.33    |G5                   |    ~     ~    |    1|  887.784   pc  | -47.6049    +47.6049  |paral   |2020yCat.1350....0G
50  |HD 17484                                                                                                 |Spectroscopic Binary                |02 49 26.9113845024 +37 19 35.078867148|147.5347254114556 -19.8438578326696| -18.695 -2.990  |6.448    |F6III-IV             |    ~     ~    |    1|  116.383   pc  |  -3.2644     +3.2644  |paral   |2020yCat.1350....0G
51  |BD+36 568                                                                                                |Star                                |02 49 40.7579428512 +37 20 53.224844388|147.5671003531759 -19.8032649334888|   5.204 -0.669  |9.16     |K2                   |    ~     ~    |    1|  561.041   pc  |  -7.6174     +7.6174  |paral   |2020yCat.1350....0G
52  |HD 17605                                                                                                 |High Proper Motion Star             |02 50 35.2911753648 +36 56 53.978327160|147.9366145533739 -20.0715376250429|-9.852 -129.245  |6.440    |G0                   |    ~     ~    |    1|   61.368   pc  |  -0.1047     +0.1047  |paral   |2020yCat.1350....0G
53  |BD+36 570                                                                                                |Star                                |02 50 38.2216924128 +37 03 39.283807608|147.8893751481888 -19.9676126182337|  33.748 -4.432  |9.91     |F5                   |    ~     ~    |    1|  302.535   pc  |  -1.8672     +1.8672  |paral   |2020yCat.1350....0G
54  |HD 17658                                                                                                 |Star                                |02 51 12.7914026304 +37 06 46.260978336|147.9711089444906 -19.8676354562872| -4.047 -13.499  |9.03     |F0                   |    ~     ~    |    1|  358.051   pc  |  -3.3973     +3.3973  |paral   |2020yCat.1350....0G
55  |HD 17724                                                                                                 |Star                                |02 51 53.3977645968 +37 25 15.178408932|147.9423338905725 -19.5325531823991|-12.602 -12.934  |9.05     |F5                   |    ~     ~    |    1|  176.875   pc  |  -0.5882     +0.5882  |paral   |2020yCat.1350....0G
56  |AG+37 340                                                                                                |Long-Period Variable Candidate      |02 52 01.5009232008 +37 32 30.173987220|147.9066298773306 -19.4134517842696|   3.117 -2.558  |9.76     |M2                   |    ~     ~    |    1| 2017.35    pc  |-134.707    +134.707   |paral   |2020yCat.1350....0G
57  |BD+36 580                                                                                                |Star                                |02 52 06.8204093664 +37 01 11.191200564|148.1861974932217 -19.8644540544883| 36.751 -31.578  |9.48     |K0                   |    ~     ~    |    1|  251.256   pc  |  -1.6793     +1.6793  |paral   |2020yCat.1350....0G
58  |BD+36 581B                                                                                               |Star                                |02 52 05.9773432488 +37 17 35.676743460|148.0455165249002 -19.6251626774654|-38.837 -10.572  |9.68     |F8                   |    ~     ~    |    1|  167.302   pc  |  -1.5982     +1.5982  |paral   |2020yCat.1350....0G
59  |HD 17757                                                                                                 |Star                                |02 52 05.1285127320 +37 17 45.784392360|148.0414723052611 -19.6240274426853| -39.170 -8.662  |9.39     |F8                   |    ~     ~    |    1|  165.262   pc  |  -1.3628     +1.3628  |paral   |2020yCat.1350....0G
60  |HD 17758                                                                                                 |Star                                |02 52 11.3044511712 +37 05 38.740543152|148.1625673458179 -19.7919866334011| 10.745 -13.434  |6.89     |K0                   |    ~     ~    |    1|  396.040   pc  |  -4.7995     +4.7995  |paral   |2020yCat.1350....0G
61  |BD+36 584                                                                                                |Star                                |02 52 36.8489438160 +37 31 43.559931216|148.0221124704928 -19.3693825916753|   7.717 -2.185  |9.43     |K0                   |    ~     ~    |    1|  484.520   pc  |  -4.0144     +4.0144  |paral   |2020yCat.1350....0G
62  |HD 17819                                                                                                 |Star                                |02 52 48.6452099544 +37 26 22.976343204|148.1034398663245 -19.4291054054017| 18.029 -26.353  |9.11     |A5                   |    ~     ~    |    1|  185.271   pc  |  -0.6350     +0.6350  |paral   |2020yCat.1350....0G
63  |BD+36 587                                                                                                |Variable Star                       |02 53 01.3443385392 +37 30 21.260666160|148.1090954559951 -19.3508994946099| -10.804 -9.208  |9.80     |F0                   |    ~     ~    |    1|  284.196   pc  |  -2.6249     +2.6249  |paral   |2020yCat.1350....0G
64  |BD+36 590                                                                                                |Variable Star                       |02 54 14.1569548608 +37 22 38.741928852|148.3984256933448 -19.3481654825185|  14.719 16.954  |9.13     |K2                   |    ~     ~    |    1| 1071.696   pc  | -19.9845    +19.9845  |paral   |2020yCat.1350....0G
65  |2MASS J02522473+3728518                                                                                  |T Tauri Star                        |02 52 24.7307174688 +37 28 51.751211196|148.0088206559914 -19.4304148159137| 24.730 -23.202  |10.73    |G5IV                 |    ~     ~    |    1|  174.654   pc  |  -0.8846     +0.8846  |paral   |2020yCat.1350....0G
