C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:32:59

dec >=0&rah >=2.75&rah< 3.0&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4298

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |     spec. type      |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|---------------------|---------------|-----|----------------|-----------------------|--------|-------------------
947 |TYC 3305-1529-1                                                                                          |Star                                |02 49 29.2173483360 +49 44 15.783338796|141.7243453114170 -08.7775867948040|   1.500 -4.080  |10.32    |~                    |    ~     ~    |    1|  920.132   pc  | -42.5862    +42.5862  |paral   |2020yCat.1350....0G
948 |TYC 3305-1813-1                                                                                          |Star                                |02 52 55.8472698000 +50 21 35.102369664|141.9413503334416 -07.9735594474938|  -19.157 4.996  |10.99    |~                    |    ~     ~    |    1|  199.696   pc  |  -2.9869     +2.9869  |paral   |2020yCat.1350....0G
949 |TYC 3305-1881-1                                                                                          |Star                                |02 56 41.6300624040 +49 58 42.973453596|142.6587538743963 -08.0341692723849|   5.339 -4.290  |10.96    |~                    |    ~     ~    |    1|  695.894   pc  | -13.7048    +13.7048  |paral   |2020yCat.1350....0G
950 |TYC 3308-62-1                                                                                            |Star                                |02 48 17.5041072192 +50 37 58.117422432|141.1515963245249 -08.0587078934754|  -2.317 -1.631  |10.41    |~                    |    ~     ~    |    1| 1184.834   pc  | -23.3036    +23.3036  |paral   |2020yCat.1350....0G
951 |TYC 3308-910-1                                                                                           |High Proper Motion Star             |02 48 43.9185336096 +50 45 06.780830292|141.1620093787577 -07.9211101529871|143.359 -47.087  |10.78    |~                    |    ~     ~    |    1|  146.130   pc  |  -2.2251     +2.2251  |paral   |2020yCat.1350....0G
952 |BD+47 707                                                                                                |Long-Period Variable                |02 49 52.6554019680 +48 07 42.378612744|142.5089475454533 -10.1900453301620|  -0.102 -3.182  |9.55     |M5                   |    ~     ~    |    1| 1271.294   pc  | -38.4653    +38.4653  |paral   |2020yCat.1350....0G
953 |HD 17496                                                                                                 |Star                                |02 50 07.2628311720 +48 08 44.096469144|142.5380695180530 -10.1565476869380| 28.184 -36.369  |8.10     |F5III-IVpSr          |    ~     ~    |    1|  188.501   pc  |  -0.8386     +0.8386  |paral   |2020yCat.1350....0G
954 |** ES 557AB                                                                                              |Long-Period Variable Candidate      |02 51 07.3411516056 +48 06 57.569629752|142.7032050133365 -10.1079249426420|  -1.732 -8.537  |9.41     |M5                   |    ~     ~    |    1|  933.184   pc  | -28.5633    +28.5633  |paral   |2020yCat.1350....0G
955 |BD+47 713                                                                                                |Star                                |02 51 18.2267632440 +47 47 09.987853632|142.8820886183853 -10.3885666666078|  -3.934 -4.190  |10.45    |A2                   |    ~     ~    |    1|  546.269   pc  |  -6.7739     +6.7739  |paral   |2020yCat.1350....0G
956 |BD+47 719                                                                                                |Star                                |02 52 09.3617759832 +47 49 32.464607124|142.9935087021789 -10.2884169302524|  18.891 -3.663  |9.63     |M0                   |    ~     ~    |    1|  887.233   pc  | -14.4841    +14.4841  |paral   |2020yCat.1350....0G
957 |AG+47 305                                                                                                |Long-Period Variable Candidate      |02 52 23.3291523048 +47 54 47.036459952|142.9884293303061 -10.1928418306396|  -1.653 -0.575  |9.17     |M0                   |    ~     ~    |    1| 1271.29    pc  | -38.3037    +38.3037  |paral   |2020yCat.1350....0G
958 |BD+47 725                                                                                                |Star                                |02 53 34.9112006544 +47 48 28.589746788|143.2180908264512 -10.1947906936851|   0.814 -6.151  |10.26    |A0                   |    ~     ~    |    1|  482.346   pc  |  -5.7234     +5.7234  |paral   |2020yCat.1350....0G
959 |BD+47 726                                                                                                |Star                                |02 53 38.3170217184 +47 45 18.984322692|143.2512907266154 -10.2371853289603|   7.282 -5.198  |10.25    |~                    |    ~     ~    |    1|  711.238   pc  |  -9.0043     +9.0043  |paral   |2020yCat.1350....0G
960 |HD 17960                                                                                                 |High Proper Motion Star             |02 54 55.5081724464 +47 40 08.281053156|143.4868392294258 -10.2137836918559| 76.536 -25.000  |8.56     |F8                   |    ~     ~    |    1|  111.520   pc  |  -0.2450     +0.2450  |paral   |2020yCat.1350....0G
961 |BD+46 653                                                                                                |Spectroscopic Binary                |02 54 50.0697300576 +47 19 25.706167824|143.6359016637927 -10.5266255567228|  -0.623 -4.306  |9.42     |K2                   |    ~     ~    |    1|  887.626   pc  | -19.3819    +19.3819  |paral   |2020yCat.1350....0G
962 |HD 18027                                                                                                 |Spectroscopic Binary                |02 55 31.3658955288 +47 22 35.812597728|143.7158562358754 -10.4256418119140|  -0.658 -5.054  |8.74     |A0                   |    ~     ~    |    1|  515.119   pc  | -45.3479    +45.3479  |paral   |2020yCat.1350....0G
963 |HD 18041                                                                                                 |Star                                |02 55 33.8999608152 +47 18 16.009446096|143.7565247691742 -10.4861388278882|  -0.636 -3.802  |7.01     |K0                   |    ~     ~    |    1|  309.799   pc  |  -1.9963     +1.9963  |paral   |2020yCat.1350....0G
964 |HD 18155                                                                                                 |Star                                |02 56 33.3013385856 +47 09 50.417886672|143.9744389951381 -10.5315274640104|   -3.839 0.875  |6.03     |K3III:               |    ~     ~    |    1|  604.485   pc  | -38.4038    +38.4038  |paral   |2020yCat.1350....0G
965 |BD+46 667                                                                                                |Star                                |02 59 33.1179346296 +46 49 26.333261760|144.5961858126078 -10.5879290278550|  -4.978 -6.854  |9.18     |K5                   |    ~     ~    |    1|  611.434   pc  |  -7.1406     +7.1406  |paral   |2020yCat.1350....0G
966 |HD 18440                                                                                                 |Star                                |02 59 35.1752661480 +47 17 14.655997428|144.3752884511317 -10.1785580551242| -14.488 -0.283  |8.11     |A2                   |    ~     ~    |    1|  188.398   pc  |  -0.9974     +0.9974  |paral   |2020yCat.1350....0G
967 |HD 18474                                                                                                 |Star                                |02 59 49.7897133000 +47 13 14.567181096|144.4446591527684 -10.2172177445517|  11.942 19.877  |5.485    |G5:III:CN-3CH-2Hdel-1|    ~     ~    |    1|  153.078   pc  |  -1.8278     +1.8278  |paral   |2020yCat.1350....0G
968 |HD 17983                                                                                                 |Star                                |02 55 13.6555978200 +48 42 38.176953696|143.0418964156908 -09.2676084018212| 46.577 -15.004  |8.83     |K2                   |    ~     ~    |    1|  237.614   pc  |  -1.0558     +1.0558  |paral   |2020yCat.1350....0G
969 |TYC 3301-2310-1                                                                                          |Star                                |02 56 36.4932807648 +48 22 46.686478044|143.4031538788040 -09.4538878519576|    1.327 2.110  |10.62    |~                    |    ~     ~    |    1|  992.359   pc  | -17.6275    +17.6275  |paral   |2020yCat.1350....0G
970 |HD 18160                                                                                                 |Star                                |02 56 46.4810602608 +48 35 08.190819780|143.3299903220527 -09.2590172363947| 18.573 -21.557  |9.26     |A0                   |    ~     ~    |    1|  274.771   pc  |  -1.6534     +1.6534  |paral   |2020yCat.1350....0G
971 |BD+48 802                                                                                                |Star                                |02 56 50.6343575832 +48 45 09.137257704|143.2609185522727 -09.1062210194445|   2.409 -2.814  |9.72     |A2                   |    ~     ~    |    1|  683.387   pc  | -10.9749    +10.9749  |paral   |2020yCat.1350....0G
972 |HD 18180                                                                                                 |High Proper Motion Star             |02 56 55.2557385792 +48 42 14.412506040|143.2953397242660 -09.1431252870869|  65.993 -2.367  |7.68     |F5                   |    ~     ~    |    1|   98.429   pc  |  -0.3691     +0.3691  |paral   |2020yCat.1350....0G
973 |BD+48 804                                                                                                |Star                                |02 57 20.3786746680 +49 00 27.312474348|143.2125072134894 -08.8427707202025|   1.296 -4.943  |9.26     |K5                   |    ~     ~    |    1|  624.181   pc  |  -8.2206     +8.2206  |paral   |2020yCat.1350....0G
974 |HD 18280                                                                                                 |Star                                |02 57 54.1072428072 +48 52 43.411019268|143.3563710857652 -08.9129247966656| 24.599 -22.404  |8.70     |A2                   |    ~     ~    |    1|  182.585   pc  |  -1.8835     +1.8835  |paral   |2018yCat.1345....0G
975 |BD+47 716                                                                                                |Star                                |02 51 55.0508412384 +48 18 51.611941152|142.7321159974808 -09.8711214209330| -10.901 -0.136  |10.09    |F2                   |    ~     ~    |    1|  290.411   pc  |  -1.3325     +1.3325  |paral   |2020yCat.1350....0G
976 |HD 17745                                                                                                 |Star                                |02 52 38.7768252696 +48 25 12.297591516|142.7927618871703 -09.7219189861467| -4.081 -10.269  |8.38     |A0                   |    ~     ~    |    1|  208.190   pc  |  -1.4997     +1.4997  |paral   |2020yCat.1350....0G
977 |HD 17818                                                                                                 |Star                                |02 53 21.0706663824 +48 34 11.848899324|142.8287185483589 -09.5352542311115|   4.063 -8.639  |6.210    |G8II                 |    ~     ~    |    1|  543.774   pc  | -26.9078    +26.9078  |paral   |2020yCat.1350....0G
978 |HD 17818B                                                                                                |Star                                |02 53 20.6157053832 +48 34 16.755469608|142.8269550947702 -09.5346166015110|   3.820 -9.546  |10.48    |~                    |    ~     ~    |    1|  513.822   pc  |  -6.3891     +6.3891  |paral   |2020yCat.1350....0G
979 |HD 17890                                                                                                 |Star                                |02 54 07.8914762664 +48 13 05.810866356|143.1092703889937 -09.7881663987501|  5.637 -13.311  |8.37     |A2                   |    ~     ~    |    1|  237.209   pc  |  -1.8062     +1.8062  |paral   |2020yCat.1350....0G
980 |HD 18017                                                                                                 |Star                                |02 55 28.8971973264 +48 20 27.301582212|143.2536730539945 -09.5754890158280|   -7.568 1.295  |8.26     |A2                   |    ~     ~    |    1|  188.147   pc  |  -0.9806     +0.9806  |paral   |2020yCat.1350....0G
981 |HD 18040                                                                                                 |Star                                |02 55 38.0009753304 +48 20 24.360971532|143.2766921300508 -09.5644813491838|   -7.782 1.010  |7.15     |A2                   |    ~     ~    |    1|  187.864   pc  |  -0.9706     +0.9706  |paral   |2020yCat.1350....0G
982 |BD+47 743                                                                                                |Star                                |02 56 53.7628794120 +48 32 56.519074248|143.3653424688411 -09.2818982934789|   5.216 -9.017  |9.06     |K5                   |    ~     ~    |    1|  794.786   pc  | -16.8660    +16.8660  |paral   |2020yCat.1350....0G
983 |BD+47 730                                                                                                |Star                                |02 54 18.4058862528 +47 57 49.319782596|143.2548065093149 -10.0005631420475|   -1.771 0.560  |8.69     |K2                   |    ~     ~    |    1|  796.369   pc  | -16.9332    +16.9332  |paral   |2020yCat.1350....0G
984 |HD 17921                                                                                                 |Star                                |02 54 32.3166272208 +48 08 42.294901740|143.2046423094060 -09.8217936500091|   1.658 -7.200  |7.74     |A0                   |    ~     ~    |    1|  506.098   pc  | -14.3180    +14.3180  |paral   |2020yCat.1350....0G
985 |HD 18057                                                                                                 |Star                                |02 55 52.5131391624 +48 03 13.739727384|143.4482238149376 -09.7989850486701|    6.435 1.552  |8.33     |G5                   |    ~     ~    |    1|  252.627   pc  |  -3.0825     +3.0825  |paral   |2020yCat.1350....0G
986 |BD+47 746                                                                                                |Star                                |02 58 02.4483567168 +48 07 06.585562776|143.7411921364512 -09.5718735599603|   8.256 -2.520  |9.77     |K5                   |    ~     ~    |    1|  985.804   pc  | -43.5371    +43.5371  |paral   |2020yCat.1350....0G
987 |HD 18342                                                                                                 |Star                                |02 58 34.8600443664 +47 41 03.088170168|144.0312455572997 -09.9111308949941|  -7.678 -6.387  |7.62     |K2                   |    ~     ~    |    1|  610.016   pc  |  -7.4052     +7.4052  |paral   |2020yCat.1350....0G
988 |BD+47 749                                                                                                |Star                                |02 59 49.8654192984 +47 57 50.334388884|144.0826549375458 -09.5650907107653|  11.415 -4.037  |9.98     |~                    |    ~     ~    |    1|  584.522   pc  |  -5.0567     +5.0567  |paral   |2020yCat.1350....0G
989 |RX J0255.7+4746                                                                                          |Double or Multiple Star             |02 55 43.601376 +47 46 47.66304        |143.555618051 -10.052865562        |     79.6 -76.7  |10.04    |K5Ve                 |    ~     ~    |    0|                |                       |        |                   
990 |HD 17328                                                                                                 |Star                                |02 48 42.9528121488 +48 14 41.328513060|142.2801615414209 -10.1719374098579|   -3.965 0.854  |8.90     |A0                   |    ~     ~    |    1|  580.349   pc  |  -6.7361     +6.7361  |paral   |2020yCat.1350....0G
991 |BD+47 703                                                                                                |Star                                |02 49 20.7884028984 +48 14 28.199509800|142.3773844272344 -10.1286088556823|  1.210 -16.499  |8.99     |K0                   |    ~     ~    |    1|  601.468   pc  |  -5.6073     +5.6073  |paral   |2020yCat.1350....0G
992 |HD 17553                                                                                                 |Star                                |02 50 39.7771913016 +48 17 26.756486052|142.5539008637275 -09.9863024986249|   1.722 -7.022  |7.89     |A0                   |    ~     ~    |    1|  506.765   pc  | -10.4265    +10.4265  |paral   |2020yCat.1350....0G
993 |AG+48 327                                                                                                |Eclipsing Binary                    |02 50 33.9716621112 +48 18 58.347225324|142.5277034267065 -09.9707944923389|   1.101 -5.103  |9.56     |A0                   |    ~     ~    |    1|  422.101   pc  |  -8.6234     +8.6234  |paral   |2020yCat.1350....0G
994 |HD 17308                                                                                                 |Star                                |02 48 24.8706846984 +48 02 38.938582284|142.3245596198782 -10.3741373077145|  -4.071 -5.479  |8.86     |A0                   |    ~     ~    |    1|  453.248   pc  |  -7.3751     +7.3751  |paral   |2020yCat.1350....0G
995 |HD 17718                                                                                                 |Star                                |02 52 19.3964296608 +48 37 52.522094820|142.6470078625505 -09.5581938965588|  -0.008 -2.954  |8.62     |G7III+B9.5/A0:       |    ~     ~    |    1|  694.830   pc  | -22.4980    +22.4980  |paral   |2020yCat.1350....0G
996 |HD 17994                                                                                                 |Star                                |02 55 21.6924401376 +48 55 06.773613096|142.9639858907651 -09.0731582003191| 14.164 -19.824  |9.20     |A3                   |    ~     ~    |    1|  297.486   pc  |  -1.4337     +1.4337  |paral   |2020yCat.1350....0G
997 |BD+48 809                                                                                                |Star                                |02 58 00.8047248744 +49 23 57.143339088|143.1240614305554 -08.4454898307727|   7.782 -5.503  |10.50    |A2                   |    ~     ~    |    1|  784.375   pc  | -11.3820    +11.3820  |paral   |2020yCat.1350....0G
998 |HD 18379                                                                                                 |Star                                |02 58 56.5513142880 +49 30 27.633472164|143.2065762958616 -08.2784552529307|   2.407 -2.187  |8.53     |K2                   |    ~     ~    |    1|  675.083   pc  | -12.7606    +12.7606  |paral   |2020yCat.1350....0G
999 |HD 17623                                                                                                 |Spectroscopic Binary                |02 51 27.7751673528 +48 30 19.732861440|142.5760782245612 -09.7347929971520| 18.561 -17.647  |8.82     |K0                   |    ~     ~    |    1|  354.988   pc  | -15.6764    +15.6764  |paral   |2020yCat.1350....0G
1000|BD+47 715                                                                                                |Star                                |02 51 46.7194727496 +48 33 10.870686612|142.6015789908883 -09.6687583007030|   1.142 -6.061  |10.15    |K0                   |    ~     ~    |    1|  521.213   pc  |  -4.7541     +4.7541  |paral   |2020yCat.1350....0G
1001|HD 17670                                                                                                 |Double or Multiple Star             |02 51 57.7427 +48 30 40.939            |142.6482220 -09.6921150            |     24.7 -18.9  |8.52     |A5                   |    ~     ~    |    0|                |                       |        |                   
1002|TYC 3300-1015-1                                                                                          |Star                                |02 48 22.3568267472 +48 03 07.348519944|142.3146284112233 -10.3701526864594|  -0.029 -1.901  |10.41    |~                    |    ~     ~    |    1|  772.201   pc  | -10.2563    +10.2563  |paral   |2020yCat.1350....0G
1003|TYC 3301-64-1                                                                                            |Star                                |02 57 16.3198732416 +48 06 10.072835712|143.6339911457355 -09.6463297880420|   3.879 -0.167  |9.44     |~                    |    ~     ~    |    1|  401.929   pc  |  -2.8594     +2.8594  |paral   |2020yCat.1350....0G
1004|TYC 3301-94-1                                                                                            |Star                                |02 54 22.2415258416 +47 52 06.872189484|143.3090653647566 -10.0799912846503|   0.631 -3.582  |10.70    |~                    |    ~     ~    |    1| 1004.924   pc  | -16.5619    +16.5619  |paral   |2020yCat.1350....0G
1005|TYC 3301-160-1                                                                                           |Star                                |02 57 50.0071040064 +48 25 01.696151388|143.5671464167840 -09.3250900885085|  5.216 -10.180  |10.54    |~                    |    ~     ~    |    1|  398.486   pc  |  -2.7630     +2.7630  |paral   |2020yCat.1350....0G
1006|TYC 3301-200-1                                                                                           |Star                                |02 57 50.0404462800 +47 48 06.154336764|143.8624262351406 -09.8672943961974|  -12.384 6.697  |10.01    |~                    |    ~     ~    |    1|  143.620   pc  |  -0.3383     +0.3383  |paral   |2020yCat.1350....0G
1007|TYC 3301-205-1                                                                                           |Star                                |02 58 59.6225214720 +47 04 47.432935200|144.3864697295301 -10.4089871451943|    0.768 0.058  |10.32    |~                    |    ~     ~    |    0|                |                       |        |                   
1008|TYC 3301-290-1                                                                                           |Star                                |02 57 35.5529838024 +48 10 46.757564400|143.6450557254028 -09.5533372196966|   -3.622 0.131  |9.72     |~                    |    ~     ~    |    1|  634.639   pc  |  -9.5053     +9.5053  |paral   |2020yCat.1350....0G
1009|TYC 3301-340-1                                                                                           |Star                                |02 52 46.2157334088 +48 17 38.945583960|142.8696175698524 -09.8246139271264|   0.700 -7.953  |10.17    |~                    |    ~     ~    |    1|  725.742   pc  |  -9.1119     +9.1119  |paral   |2020yCat.1350....0G
1010|TYC 3301-483-1                                                                                           |Star                                |02 58 24.3565605480 +47 23 42.090591048|144.1445828843608 -10.1795248932724| 19.103 -13.563  |10.85    |~                    |    ~     ~    |    1|  160.375   pc  |  -0.5427     +0.5427  |paral   |2020yCat.1350....0G
1011|TYC 3301-496-1                                                                                           |Star                                |02 55 22.5523492584 +47 47 55.946756616|143.4936905563052 -10.0635363851609|   3.342 -4.615  |10.06    |~                    |    ~     ~    |    1|  590.354   pc  |  -7.9113     +7.9113  |paral   |2020yCat.1350....0G
1012|TYC 3301-550-1                                                                                           |Star                                |02 58 28.9466422392 +48 00 01.586437128|143.8638782871056 -09.6407920620324|   8.402 -2.103  |10.09    |~                    |    ~     ~    |    1|  943.841   pc  | -13.1844    +13.1844  |paral   |2020yCat.1350....0G
1013|TYC 3301-566-1                                                                                           |Star                                |02 55 59.3383583112 +47 47 14.903742192|143.5915971009341 -10.0256019773161|  10.189 -1.632  |9.89     |~                    |    ~     ~    |    1|  279.673   pc  |  -1.5878     +1.5878  |paral   |2020yCat.1350....0G
1014|TYC 3301-573-1                                                                                           |Star                                |02 59 37.5215338872 +47 18 36.490483584|144.3701199656615 -10.1554321006792|   1.835 -4.702  |10.32    |~                    |    ~     ~    |    1|  731.797   pc  |  -8.9968     +8.9968  |paral   |2020yCat.1350....0G
1015|TYC 3301-578-1                                                                                           |Star                                |02 56 16.5410844168 +47 54 34.249651884|143.5768076718964 -09.8952349256327|    5.908 0.182  |10.30    |~                    |    ~     ~    |    1|  691.994   pc  | -19.6809    +19.6809  |paral   |2020yCat.1350....0G
1016|TYC 3301-628-1                                                                                           |Star                                |02 51 52.7255061456 +48 09 33.489532584|142.7976321767951 -10.0122340010682|    1.413 0.634  |10.90    |~                    |    ~     ~    |    1|  911.079   pc  | -12.1189    +12.1189  |paral   |2020yCat.1350....0G
1017|TYC 3301-736-1                                                                                           |Star                                |02 56 17.5574249112 +48 37 50.086930332|143.2373161996877 -09.2565798404341|  7.451 -13.670  |10.6     |~                    |    ~     ~    |    1|  129.749   pc  |  -0.3013     +0.3013  |paral   |2020yCat.1350....0G
1018|TYC 3301-739-1                                                                                           |Star                                |02 59 29.5683862464 +46 54 53.641508508|144.5427701028288 -10.5130229907745|   4.372 -3.915  |10.83    |~                    |    ~     ~    |    1|  590.737   pc  | -11.7952    +11.7952  |paral   |2020yCat.1350....0G
1019|TYC 3301-758-1                                                                                           |High Proper Motion Star             |02 54 27.4901504976 +48 09 10.553287176|143.1888851400339 -09.8210312455045| 10.943 -96.722  |10.50    |~                    |    ~     ~    |    1|  144.647   pc  |  -2.6216     +2.6216  |paral   |2020yCat.1350....0G
1020|TYC 3301-761-1                                                                                           |Star                                |02 57 27.1295199816 +47 09 59.215872780|144.1100314963266 -10.4574796481885|  -1.500 -5.456  |10.88    |~                    |    ~     ~    |    1| 1212.121   pc  | -21.4509    +21.4509  |paral   |2020yCat.1350....0G
1021|TYC 3301-763-1                                                                                           |Star                                |02 58 49.3836218592 +47 29 32.104920624|144.1605318761612 -10.0604438571284| 15.470 -41.588  |10.99    |~                    |    ~     ~    |    1|  290.799   pc  |  -5.0823     +5.0823  |paral   |2020yCat.1350....0G
1022|TYC 3301-833-1                                                                                           |Spectroscopic Binary                |02 59 07.4379816624 +47 13 20.419849812|144.3369832042593 -10.2732460123256|   2.186 -8.170  |10.48    |~                    |    ~     ~    |    1|  779.302   pc  | -20.6486    +20.6486  |paral   |2020yCat.1350....0G
1023|TYC 3301-906-1                                                                                           |Star                                |02 55 58.3340561736 +48 14 19.318244352|143.3752075906612 -09.6279178634411|  -0.009 -3.129  |10.93    |~                    |    ~     ~    |    1| 1211.094   pc  | -33.2952    +33.2952  |paral   |2020yCat.1350....0G
1024|IRAS 02536+4658                                                                                          |Star                                |02 57 01.4414329872 +47 11 02.779723032|144.0363333297413 -10.4762724286149|   6.595 -6.660  |9.48     |~                    |    ~     ~    |    1| 1007.658   pc  | -27.2121    +27.2121  |paral   |2020yCat.1350....0G
1025|TYC 3301-971-1                                                                                           |Star                                |02 59 28.0623092280 +47 28 03.327476520|144.2696644420931 -10.0300423183752|    0.696 0.167  |10.44    |~                    |    ~     ~    |    1|  708.516   pc  |  -8.9857     +8.9857  |paral   |2020yCat.1350....0G
1026|TYC 3301-982-1                                                                                           |Star                                |02 55 41.9835197016 +48 28 47.632199592|143.2205923976182 -09.4356277807551|  9.340 -12.747  |10.96    |~                    |    ~     ~    |    1|  441.696   pc  |  -3.8629     +3.8629  |paral   |2020yCat.1350....0G
1027|TYC 3301-990-1                                                                                           |High Proper Motion Star             |02 58 37.9367996496 +47 51 50.866423704|143.9520333125124 -09.7487721351063| 16.594 -74.939  |10.99    |~                    |    ~     ~    |    1|  263.137   pc  |  -1.1702     +1.1702  |paral   |2020yCat.1350....0G
1028|TYC 3301-1012-1                                                                                          |Star                                |02 52 47.4260683320 +47 52 26.551296372|143.0673860133926 -10.1968679302014|  -2.352 -6.233  |10.49    |~                    |    ~     ~    |    1|  740.741   pc  |  -7.5171     +7.5171  |paral   |2020yCat.1350....0G
1029|TYC 3301-1121-1                                                                                          |Star                                |02 56 41.8519401528 +47 21 54.568707912|143.8999830481846 -10.3426218838323|  18.751 -9.054  |9.34     |~                    |    ~     ~    |    1|  446.010   pc  |  -3.6204     +3.6204  |paral   |2020yCat.1350....0G
1030|TYC 3301-1150-1                                                                                          |Star                                |02 56 24.4513222752 +48 36 09.484779924|143.2675619200635 -09.2724051060737|  8.220 -12.281  |9.84     |~                    |    ~     ~    |    1|  205.394   pc  |  -0.7045     +0.7045  |paral   |2020yCat.1350....0G
1031|TYC 3301-1260-1                                                                                          |Star                                |02 50 36.9137188152 +48 10 31.285957548|142.5993356537350 -10.0929828362717|  17.159 -7.862  |10.64    |~                    |    ~     ~    |    1|  313.913   pc  |  -1.7245     +1.7245  |paral   |2020yCat.1350....0G
1032|TYC 3301-1315-1                                                                                          |Star                                |02 58 23.9188728648 +47 36 17.294971464|144.0421534385372 -09.9955715427590|   -4.560 1.151  |10.89    |~                    |    ~     ~    |    1|  824.131   pc  | -30.2240    +30.2240  |paral   |2020yCat.1350....0G
1033|TYC 3301-1336-1                                                                                          |Star                                |02 55 42.7417854432 +48 23 40.798380624|143.2627071930823 -09.5100805091433|  9.580 -12.414  |10.7     |~                    |    ~     ~    |    1|  803.600   pc  |  -9.2346     +9.2346  |paral   |2020yCat.1350....0G
1034|TYC 3301-1389-1                                                                                          |Star                                |02 57 07.3573405488 +47 33 16.391295324|143.8737955495774 -10.1417013844769|   4.848 -4.083  |10.57    |~                    |    ~     ~    |    1| 1272.912   pc  |-112.4492   +112.4492  |paral   |2020yCat.1350....0G
1035|TYC 3301-1515-1                                                                                          |High Proper Motion Star             |02 56 05.0849887082 +47 06 14.183869498|143.9312668403361 -10.6221009834166| 71.466 -44.484  |10.58    |~                    |    ~     ~    |    1|  285.9103  pc  | -13.9211    +13.9211  |paral   |2018yCat.1345....0G
1036|TYC 3301-1521-1                                                                                          |Star                                |02 57 25.2866760624 +47 28 45.413693040|143.9550730416764 -10.1842579672744|  -1.476 -1.860  |10.77    |~                    |    ~     ~    |    1| 1237.471   pc  | -40.8866    +40.8866  |paral   |2020yCat.1350....0G
1037|TYC 3301-1584-1                                                                                          |Star                                |02 56 18.2147254680 +47 53 06.209067228|143.5926246901787 -09.9146557021334|   1.216 -5.485  |10.47    |~                    |    ~     ~    |    1| 1078.051   pc  | -23.2439    +23.2439  |paral   |2020yCat.1350....0G
1038|TYC 3301-1589-1                                                                                          |Star                                |02 58 08.9474762400 +47 37 56.158773456|143.9913357349132 -09.9913777079730|   0.730 -4.362  |10.36    |~                    |    ~     ~    |    1| 1071.123   pc  | -19.5042    +19.5042  |paral   |2020yCat.1350....0G
1039|TYC 3301-1594-1                                                                                          |Star                                |02 58 53.9266883616 +48 35 16.861832664|143.6424517609247 -09.0909645263285| -2.013 -28.453  |10.77    |~                    |    ~     ~    |    1|  134.279   pc  |  -0.3282     +0.3282  |paral   |2020yCat.1350....0G
1040|TYC 3301-1620-1                                                                                          |Star                                |02 52 13.7939242416 +48 09 26.292588840|142.8515361006312 -09.9874316355817|  -1.048 -0.367  |10.36    |~                    |    ~     ~    |    1|  806.387   pc  | -15.2161    +15.2161  |paral   |2020yCat.1350....0G
1041|TYC 3301-1651-1                                                                                          |Star                                |02 52 10.0157733984 +47 37 33.491989020|143.0875220708444 -10.4654410573944|  6.966 -18.514  |10.52    |~                    |    ~     ~    |    1|  291.129   pc  |  -1.3815     +1.3815  |paral   |2020yCat.1350....0G
1042|TYC 3301-1671-1                                                                                          |Star                                |02 57 44.6548681440 +47 32 03.631145028|143.9774177979680 -10.1099640391438|  -9.240 -2.986  |10.33    |~                    |    ~     ~    |    1|  710.833   pc  |  -7.6298     +7.6298  |paral   |2020yCat.1350....0G
1043|TYC 3301-1712-1                                                                                          |Star                                |02 53 18.1652158344 +47 54 54.959910228|143.1257984530823 -10.1209176095159|   0.682 -8.010  |10.75    |~                    |    ~     ~    |    1|  443.616   pc  |  -3.3849     +3.3849  |paral   |2020yCat.1350....0G
1044|TYC 3301-1722-1                                                                                          |Star                                |02 53 51.7687548360 +48 14 40.204114944|143.0567099230388 -09.7854851708941| -2.528 -10.441  |10.58    |~                    |    ~     ~    |    1|  874.585   pc  | -14.9920    +14.9920  |paral   |2020yCat.1350....0G
1045|TYC 3301-1759-1                                                                                          |Star                                |02 54 24.6434588736 +47 23 50.472570804|143.5365587357712 -10.4947120583334|    4.859 4.687  |10.79    |~                    |    ~     ~    |    1| 1015.435   pc  | -18.9724    +18.9724  |paral   |2020yCat.1350....0G
1046|TYC 3301-1880-1                                                                                          |Star                                |02 53 02.1811013256 +48 00 36.607719456|143.0413920876978 -10.0569686419128|  -1.296 -2.450  |10.19    |~                    |    ~     ~    |    1| 1571.586   pc  | -33.3434    +33.3434  |paral   |2020yCat.1350....0G
1047|TYC 3301-1913-1                                                                                          |Star                                |02 55 35.5806580560 +47 39 40.705942248|143.5915982124128 -10.1682630261505|  24.732 -6.721  |10.44    |~                    |    ~     ~    |    1|  295.316   pc  |  -1.5611     +1.5611  |paral   |2020yCat.1350....0G
1048|TYC 3301-2039-1                                                                                          |Star                                |02 57 55.6763692608 +47 12 29.520997452|144.1623099107833 -10.3824200760681|   0.768 -3.714  |9.99     |~                    |    ~     ~    |    1| 1420.858   pc  | -33.5127    +33.5127  |paral   |2020yCat.1350....0G
