C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:16:52

dec< 0&rah >=13.75&rah< 14.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5890

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |   spec. type   |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|----------------|---------------------|-----|----------------|-----------------------|--------|-------------------
23  |HD 119946                                                                                                |High Proper Motion Star             |13 46 25.3143992592 -02 03 58.967501256|329.5066646026303 +57.9401303550037|  -8.244 59.267    |9.98     |G3/5(V)         |    ~     ~          |    1|  187.667   pc  |  -0.7220     +0.7220  |paral   |2020yCat.1350....0G
24  |HD 120167                                                                                                |High Proper Motion Star             |13 47 53.9909669064 -02 12 50.498293212|330.0296662727768 +57.6564889643095| -81.827 27.559    |10.249   |G3/5            |    ~     ~          |    1|  173.308   pc  |  -2.4060     +2.4060  |ST-L    |2020AJ....160...83S
25  |HD 120512                                                                                                |Star                                |13 49 56.1607276536 -01 21 43.268237892|331.5692325838596 +58.2194695812370|-17.929 -18.423    |10.22    |F5V             |    ~     ~          |    1|  184.686   pc  |  -0.8527     +0.8527  |paral   |2020yCat.1350....0G
26  |BD-01 2863                                                                                               |Star                                |13 51 04.4036479320 -02 13 40.253287044|331.3610233120272 +57.3149798674027| -4.202 -30.249    |10.32    |K0              |    ~     ~          |    1|  491.690   pc  |  -4.3517     +4.3517  |paral   |2020yCat.1350....0G
27  |HD 120805                                                                                                |Star                                |13 51 44.7942225696 -01 53 31.302145212|331.9102566933847 +57.5465968984858|  -32.235 1.712    |10.03    |G5/6            |    ~     ~          |    1|  399.728   pc  |  -4.6017     +4.6017  |paral   |2020yCat.1350....0G
28  |HD 120879                                                                                                |Spectroscopic Binary                |13 52 15.5189707248 -01 43 54.129340416|332.2551207369469 +57.6355576552643|109.513 -105.277   |9.623    |F5V             |    ~     ~          |    1|  121.956   pc  |  -2.7390     +2.7390  |ST-L    |2020AJ....160...83S
29  |V* CE Vir                                                                                                |Post-AGB Star                       |13 49 17.1210530808 -01 55 44.880603600|330.8397489176768 +57.7738212081010|  -32.746 3.000    |8.73     |G8III           |    ~     ~          |    1| 1449.49    pc  | -59.0383    +59.0383  |paral   |2020yCat.1350....0G
30  |V* BF Vir                                                                                                |Spectroscopic Binary                |13 47 52.5954181752 -00 35 40.700631948|331.2997958575269 +59.1328424873038|   -3.774 6.143    |10.2     |A1IV            |    ~     ~          |    1|  404.776   pc  |  -5.8001     +5.8001  |paral   |2020yCat.1350....0G
31  |HD 120897                                                                                                |Star                                |13 52 25.2937134960 -02 21 19.979681940|331.8222426269632 +57.0556507002475|  8.867 -47.321    |9.592    |F6V             |    ~     ~          |    1|  186.551   pc  |  -2.4380     +2.4380  |ST-L    |2020AJ....160...83S
32  |NGC 5327                           NGC 5327                                                              |LINER-type Active Galaxy Nucleus    |13 52 04.1769639024 -02 12 23.789664684|331.7940367281660 +57.2279259900545|            ~ ~    |     ~   |~               |0.860 0.774          |    0|                |                       |        |                   
33  |HD 120086                                                                                                |Variable Star                       |13 47 19.1951783352 -02 26 36.605621724|329.6099255932760 +57.5048102520474|  -2.509 -0.751    |7.82     |B2IV            |    ~     ~          |    1|  989.022   pc  | -62.0156    +62.0156  |paral   |2020yCat.1350....0G
34  |BD-01 2862                                                                                               |Star                                |13 50 44.4950398872 -02 20 10.797866016|331.1372235015432 +57.2516734130086|   -3.740 9.747    |10.35    |~               |    ~     ~          |    1|  799.424   pc  | -11.1839    +11.1839  |paral   |2020yCat.1350....0G
35  |BD-01 2865                                                                                               |Star                                |13 51 11.9953123824 -01 43 18.691863348|331.8168643816954 +57.7590085331365| -14.631 -8.880    |10.12    |~               |    ~     ~          |    1|  778.756   pc  | -12.0686    +12.0686  |paral   |2020yCat.1350....0G
36  |TYC 4967-86-1                                                                                            |Star                                |13 45 38.3492798400 -02 20 25.889355852|328.9656561101330 +57.7654159781015|    1.529 3.619    |10.78    |~               |    ~     ~          |    1|  344.721   pc  | -17.8400    +17.8400  |ST-L    |2020AJ....160...83S
37  |TYC 4967-428-1                                                                                           |Star                                |13 46 36.4354333512 -02 06 37.693900332|329.5535090482260 +57.8812320009871|  42.316 12.902    |10.94    |~               |    ~     ~          |    1|  216.399   pc  |  -1.0724     +1.0724  |paral   |2020yCat.1350....0G
38  |TYC 4967-483-1                                                                                           |Star                                |13 46 45.8312872656 -02 23 35.253688164|329.4099043140292 +57.6063676194584| -1.927 -18.986    |10.67    |~               |    ~     ~          |    1|  717.394   pc  | -44.1900    +44.1900  |ST-L    |2020AJ....160...83S
39  |TYC 4967-773-1                                                                                           |High Proper Motion Star             |13 45 55.6530475776 -00 30 30.542071176|330.5036196110470 +59.4145241444707| 19.056 -58.356    |10.876   |~               |    ~     ~          |    1|  139.955   pc  |  -1.2880     +1.2880  |ST-L    |2020AJ....160...83S
40  |TYC 4967-962-1                                                                                           |Star                                |13 47 21.5961364560 -00 50 07.364536116|330.8752806542852 +58.9686062782945|  10.077 -0.824    |10.9     |~               |    ~     ~          |    1|  319.795   pc  |  -1.9942     +1.9942  |paral   |2020yCat.1350....0G
41  |TYC 4967-973-1                                                                                           |Star                                |13 49 32.1837986880 -01 16 11.642500092|331.4719953923397 +58.3453582892666| -29.084 -3.825    |10.858   |~               |    ~     ~          |    1|  181.629   pc  |  -4.8660     +4.8660  |ST-L    |2020AJ....160...83S
42  |TYC 4967-1015-1                                                                                          |Star                                |13 48 28.2818704728 -01 30 17.223596280|330.8244456077694 +58.2443315562769|  -0.120 42.883    |10.65    |~               |    ~     ~          |    1|   62.538   pc  |  -1.2970     +1.2970  |ST-L    |2020AJ....160...83S
43  |TYC 4967-1027-1                                                                                          |Star                                |13 49 40.2535200768 -01 00 00.956577456|331.7503056173083 +58.5747908493472|  3.455 -22.281    |10.640   |~               |    ~     ~          |    1|  422.545   pc  | -18.0700    +18.0700  |ST-L    |2020AJ....160...83S
44  |TYC 4967-1054-1                                                                                          |High Proper Motion Star             |13 45 58.2618397272 -01 34 42.721397904|329.6805135084094 +58.4323578855727|-107.702 -19.904   |10.30    |~               |    ~     ~          |    1|  169.511   pc  |  -2.1330     +2.1330  |ST-L    |2020AJ....160...83S
45  |TYC 4967-1090-1                                                                                          |Spectroscopic Binary                |13 45 11.9549333952 -01 16 44.351797404|329.5711022912621 +58.7840471140112|  -39.843 9.283    |10.89    |~               |    ~     ~          |    1|  225.586   pc  |  -4.9515     +4.9515  |paral   |2020yCat.1350....0G
46  |TYC 4967-1312-1                                                                                          |High Proper Motion Star             |13 49 12.5232441288 -01 22 51.957446988|331.2410725291311 +58.2793406144904|  -92.737 0.328    |10.9     |~               |    ~     ~          |    1|  214.454   pc  |  -0.7864     +0.7864  |paral   |2020yCat.1350....0G
47  |TYC 4967-1323-1                                                                                          |Star                                |13 47 56.2785003552 -01 33 26.336838276|330.5525507226012 +58.2517984945502|-42.066 -21.716    |10.48    |~               |    ~     ~          |    1|   64.975   pc  |  -0.1026     +0.1026  |paral   |2020yCat.1350....0G
48  |TYC 4967-1399-1                                                                                          |Star                                |13 49 35.3891339520 -01 35 47.144379444|331.2324291218363 +58.0439320512696|   4.897 -2.260    |10.542   |~               |    ~     ~          |    1|  913.869   pc  | -34.8400    +34.8400  |ST-L    |2020AJ....160...83S
49  |TYC 4968-289-1                                                                                           |Star                                |13 51 04.0083312984 -00 50 48.133647708|332.4809254486078 +58.5616895951465| -21.376 -9.765    |10.993   |~               |    ~     ~          |    1| 1057.610   pc  | -67.1800    +67.1800  |ST-L    |2020AJ....160...83S
50  |TYC 4968-535-1                                                                                           |Star                                |13 51 09.2218866216 -01 49 23.811257532|331.7157922369342 +57.6723742545997|-10.461 -12.632    |10.77    |~               |    ~     ~          |    1|  287.911   pc  |  -2.1718     +2.1718  |paral   |2020yCat.1350....0G
51  |TYC 4968-753-1                                                                                           |Star                                |13 50 33.0214628688 -02 26 36.978138456|330.9739924047160 +57.1743712173540|  -3.224 -2.816    |10.42    |~               |    ~     ~          |    1|  192.130   pc  |  -0.7309     +0.7309  |paral   |2020yCat.1350....0G
52  |HD 120686                                                                                                |Star                                |13 51 06.1676559096 -02 41 03.486171804|331.0188082494973 +56.8980087379697|  0.402 -16.824    |9.85     |G8/K0           |    ~     ~          |    1|  308.404   pc  |  -2.0544     +2.0544  |paral   |2020yCat.1350....0G
53  |HD 120501                                                                                                |Star                                |13 49 51.7724787216 -02 43 24.995747028|330.4725604120866 +56.9909836397236|  -13.095 5.501    |9.91     |A9/F0V          |    ~     ~          |    1|  757.050   pc  |-174.4000   +174.4000  |ST-L    |2020AJ....160...83S
54  |HD 119750                                                                                                |Star                                |13 45 10.4335750704 -03 18 54.833731920|328.0719160156303 +56.9104655826548|-30.934 -24.419    |8.58     |A9V             |    ~     ~          |    1|  128.166   pc  |  -0.4517     +0.4517  |paral   |2020yCat.1350....0G
55  |HD 119867                                                                                                |High Proper Motion Star             |13 45 53.6684922864 -03 31 06.409833492|328.2346292422253 +56.6541684422894| -63.452 -4.610    |10.00    |G2/3V           |    ~     ~          |    1|  120.740   pc  |  -1.0790     +1.0790  |ST-L    |2020AJ....160...83S
