C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:16:52

dec< 0&rah >=13.75&rah< 14.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5890

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |   spec. type   |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|----------------|---------------------|-----|----------------|-----------------------|--------|-------------------
916 |HD 119968                                                                                                |Star                                |13 47 19.3248743736 -41 35 02.808326544|314.0175572481613 +20.0815611714361| -39.574 -3.663    |9.34     |F2/3V           |    ~     ~          |    1|  252.181   pc  |  -1.2465     +1.2465  |paral   |2020yCat.1350....0G
917 |CD-40 8160                                                                                               |Star                                |13 47 28.6618941912 -41 14 46.224601764|314.1304264179702 +20.4038037658792| -14.467 -8.308    |9.75     |F0              |    ~     ~          |    1|  318.806   pc  |  -1.9311     +1.9311  |paral   |2020yCat.1350....0G
918 |HD 120015                                                                                                |High Proper Motion Star             |13 47 38.3723516856 -41 16 38.307708444|314.1543561687512 +20.3665049031811|-15.542 -47.872    |9.16     |A2/3V           |    ~     ~          |    1|  337.598   pc  |  -2.8721     +2.8721  |paral   |2020yCat.1350....0G
919 |HD 120094                                                                                                |Star                                |13 48 12.0674288232 -40 59 54.264586020|314.3331725316667 +20.6133013735231| -14.302 -3.870    |9.40     |A1V             |    ~     ~          |    1|  424.953   pc  |  -5.5259     +5.5259  |paral   |2020yCat.1350....0G
920 |HD 120153                                                                                                |Star                                |13 48 35.0127115536 -41 03 02.245138020|314.3950390029679 +20.5456669951200| -26.374 -5.837    |9.78     |F3V             |    ~     ~          |    0|                |                       |        |                   
921 |CD-40 8173                                                                                               |Star                                |13 48 37.4911743168 -40 40 43.803567840|314.4965321368623 +20.9052188584320|    3.094 3.678    |9.57     |G5              |    ~     ~          |    1|  570.744   pc  |  -5.3423     +5.3423  |paral   |2020yCat.1350....0G
922 |CD-40 8180                                                                                               |High Proper Motion Star             |13 49 08.1592657776 -40 50 16.613882592|314.5569555990405 +20.7277475184562|-74.722 -23.855    |9.66     |F5              |    ~     ~          |    1|  142.339   pc  |  -0.3606     +0.3606  |paral   |2020yCat.1350....0G
923 |HD 120253                                                                                                |High Proper Motion Star             |13 49 07.9817232816 -40 52 43.585760028|314.5460303054532 +20.6882177974741|-248.018 50.386    |8.78     |G8(III/IV)      |    ~     ~          |    1|  163.934   pc  |  -0.5375     +0.5375  |paral   |2020yCat.1350....0G
924 |HD 120411                                                                                                |Star                                |13 50 06.2797027704 -40 50 08.881076364|314.7477013911153 +20.6860519404925|-28.907 -22.248    |9.80     |G0V             |    ~     ~          |    1|  124.735   pc  |  -0.2832     +0.2832  |paral   |2020yCat.1350....0G
925 |HD 120487                                                                                                |Double or Multiple Star             |13 50 35.52877 -41 00 30.0791          |314.79860295 +20.49635601          |    -23.47 5.21    |9.11     |A8V             |    ~     ~          |    0|                |                       |        |                   
926 |HD 120694                                                                                                |Star                                |13 51 54.1139933136 -40 41 21.854025996|315.1387670203905 +20.7447878719075|  -3.551 -6.456    |8.67     |G6III           |    ~     ~          |    1|  418.603   pc  | -12.2485    +12.2485  |paral   |2020yCat.1350....0G
927 |CD-41 8137                                                                                               |High Proper Motion Star             |13 46 35.6425337232 -41 44 46.181736168|313.8374412884235 +19.9546479426182|-73.137 -70.505    |10.86    |F               |    ~     ~          |    1|  249.551   pc  |  -1.2331     +1.2331  |paral   |2020yCat.1350....0G
928 |HD 120016                                                                                                |alpha2 CVn Variable                 |13 47 38.5549997640 -41 41 30.068530872|314.0533360205206 +19.9631227773240|  -8.502 -2.356    |8.94     |ApSi            |    ~     ~          |    1|  663.438   pc  | -21.4353    +21.4353  |paral   |2020yCat.1350....0G
929 |HD 120074                                                                                                |Star                                |13 48 03.7244915856 -41 39 17.561426076|314.1434706110519 +19.9808616174858| -11.833 -2.826    |9.66     |K2III           |    ~     ~          |    1|  926.012   pc  | -14.4917    +14.4917  |paral   |2020yCat.1350....0G
930 |CD-39 8488                                                                                               |Star                                |13 49 00.1487963688 -39 54 39.916143468|314.7665432820456 +21.6341280203815| -14.105 -0.485    |9.65     |~               |    ~     ~          |    1|  592.979   pc  |  -9.3180     +9.3180  |paral   |2020yCat.1350....0G
931 |CD-38 8861                                                                                               |Star                                |13 51 35.8154562480 -39 35 09.910374864|315.3723903001409 +21.8279879612917|    1.770 1.840    |10.29    |~               |    ~     ~          |    1|  329.121   pc  |  -2.0798     +2.0798  |paral   |2020yCat.1350....0G
932 |CD-40 8124                                                                                               |Star                                |13 45 08.2210161528 -41 04 23.868031332|313.7136712301498 +20.6715198609345| -47.641 -5.261    |10.42    |~               |    ~     ~          |    1|  306.335   pc  |  -1.9894     +1.9894  |paral   |2020yCat.1350....0G
933 |CD-39 8463                                                                                               |Star                                |13 46 55.3518884448 -40 13 58.062002556|314.2698569880944 +21.4142638737634| 20.797 -23.330    |10.63    |~               |    ~     ~          |    1|  321.275   pc  |  -3.9636     +3.9636  |paral   |2020yCat.1350....0G
934 |CD-40 8159                                                                                               |Star                                |13 47 20.0260174152 -41 03 29.383842096|314.1483868522054 +20.5930108170691|-23.061 -11.509    |10.37    |~               |    ~     ~          |    1|  306.147   pc  |  -3.0086     +3.0086  |paral   |2020yCat.1350....0G
935 |CD-40 8177                                                                                               |High Proper Motion Star             |13 48 53.2284577128 -41 26 49.558875792|314.3548924161436 +20.1468779451956|-56.278 -12.151    |10.53    |~               |    ~     ~          |    1|  321.316   pc  |  -1.8790     +1.8790  |paral   |2020yCat.1350....0G
936 |CPD-39 6082                                                                                              |High Proper Motion Star             |13 48 59.3097139464 -40 13 35.760836460|314.6831608008238 +21.3282931450859|-49.736 -14.790    |10.36    |~               |    ~     ~          |    1|  159.635   pc  |  -0.8945     +0.8945  |paral   |2020yCat.1350....0G
937 |CD-39 8502                                                                                               |Double or Multiple Star             |13 50 20.077992 -40 10 40.63332        |314.963547149 +21.313799875        |      -0.3 23.8    |10.62    |~               |    ~     ~          |    0|                |                       |        |                   
938 |CD-40 8194                                                                                               |Star                                |13 50 35.2087793472 -41 10 25.828492656|314.7547623431901 +20.3360485285289|  -4.930 -0.602    |10.22    |~               |    ~     ~          |    1|  711.086   pc  |  -8.1409     +8.1409  |paral   |2020yCat.1350....0G
939 |CD-40 8199                                                                                               |Star                                |13 50 52.4766740904 -41 27 17.651863404|314.7379701614099 +20.0502725159116|    2.217 1.185    |10.70    |~               |    ~     ~          |    1|  389.575   pc  |  -5.4637     +5.4637  |paral   |2020yCat.1350....0G
940 |CPD-39 6094                                                                                              |Star                                |13 51 10.7939550888 -40 11 22.073050284|315.1285336747138 +21.2631699849309|-10.979 -10.121    |10.03    |~               |    ~     ~          |    1|  505.025   pc  |  -4.9480     +4.9480  |paral   |2020yCat.1350....0G
941 |CD-39 8465                                                                                               |Star                                |13 47 01.6537937496 -39 57 04.354992324|314.3603915494231 +21.6837134187517|   4.635 -4.979    |10.30    |~               |    ~     ~          |    1| 1262.786   pc  | -26.1519    +26.1519  |paral   |2020yCat.1350....0G
942 |CD-39 8468                                                                                               |Star                                |13 47 05.5992734928 -39 46 34.430193768|314.4170065412876 +21.8510826324352|-29.066 -12.964    |10.54    |~               |    ~     ~          |    1|  784.068   pc  | -14.0781    +14.0781  |paral   |2020yCat.1350....0G
943 |CD-38 8860                                                                                               |Star                                |13 51 34.4174304840 -39 13 55.554484296|315.4627669642903 +22.1719441736130|  -13.415 6.249    |10.40    |~               |    ~     ~          |    1| 1921.230   pc  | -70.8696    +70.8696  |paral   |2020yCat.1350....0G
944 |CD-40 8132                                                                                               |Star                                |13 45 36.3173464752 -40 39 41.221382220|313.9039239933703 +21.0534222834393|    6.574 0.410    |10.43    |~               |    ~     ~          |    1|  787.650   pc  | -11.3532    +11.3532  |paral   |2020yCat.1350....0G
945 |CD-40 8164                                                                                               |Star                                |13 47 54.1859574960 -41 35 30.971026824|314.1282052565276 +20.0489688583500|  -10.216 2.900    |10.259   |~               |    ~     ~          |    1|  760.235   pc  | -29.0100    +29.0100  |ST-L    |2020AJ....160...83S
946 |CD-40 8182                                                                                               |High Proper Motion Star             |13 49 12.1374922080 -41 11 10.095362628|314.4818337117183 +20.3865074671103| 35.557 -35.641    |10.41    |~               |    ~     ~          |    1|  129.584   pc  |  -0.3291     +0.3291  |paral   |2020yCat.1350....0G
947 |CD-40 8192                                                                                               |Star                                |13 50 22.2282259704 -41 26 55.482141624|314.6419762540286 +20.0791056635384| -14.945 -4.574    |10.9     |~               |    ~     ~          |    1| 1340.123   pc  | -29.8124    +29.8124  |paral   |2020yCat.1350....0G
948 |CD-40 8210                                                                                               |Star                                |13 51 39.7687879056 -40 56 50.784934128|315.0237000508063 +20.5059753036817|  -3.371 -7.407    |10.73    |~               |    ~     ~          |    1|  759.590   pc  | -12.2896    +12.2896  |paral   |2020yCat.1350....0G
949 |CD-40 8214                                                                                               |Star                                |13 52 03.8421811008 -41 06 32.223473280|315.0592782467648 +20.3307617081503| -24.067 -6.323    |10.38    |~               |    ~     ~          |    1|  851.354   pc  | -18.6999    +18.6999  |paral   |2020yCat.1350....0G
950 |CD-39 8525                                                                                               |Star                                |13 52 12.9776259864 -40 18 00.642405420|315.3045472756675 +21.1068539740688|  -9.433 -7.376    |10.00    |~               |    ~     ~          |    1|  720.409   pc  |  -7.7848     +7.7848  |paral   |2020yCat.1350....0G
951 |AKARI-IRC-V1 J1349059-385514                                                                             |Long-Period Variable Candidate      |13 49 05.9691148968 -38 55 15.067894224|315.0415999881744 +22.5911985833957|  3.128 -10.542    |10.31    |~               |    ~     ~          |    1|  912.492   pc  | -34.2216    +34.2216  |paral   |2020yCat.1350....0G
952 |CD-38 8862                                                                                               |Star                                |13 51 43.1618291904 -39 29 52.527048720|315.4206872073403 +21.9074911282502|   -8.416 0.349    |10.22    |~               |    ~     ~          |    1| 1037.237   pc  | -17.3213    +17.3213  |paral   |2020yCat.1350....0G
953 |CD-38 8865                                                                                               |Star                                |13 52 16.5866685552 -38 50 37.648573404|315.7109797620828 +22.5135604853668|   -1.082 0.429    |9.68     |~               |    ~     ~          |    1| 1018.434   pc  | -48.1264    +48.1264  |paral   |2020yCat.1350....0G
954 |TYC 7790-1197-1                                                                                          |Star                                |13 50 41.1267134256 -39 22 09.009656544|315.2464386000911 +22.0816462932853|  -8.208 -4.253    |10.54    |~               |    ~     ~          |    1|  280.915   pc  |  -1.1600     +1.1600  |paral   |2020yCat.1350....0G
955 |TYC 7790-1349-1                                                                                          |Star                                |13 50 13.9283157360 -39 16 51.597696972|315.1779678823215 +22.1885878991193|   -6.453 0.804    |10.93    |~               |    ~     ~          |    1|  587.889   pc  |  -6.5667     +6.5667  |paral   |2020yCat.1350....0G
956 |TYC 7790-1395-1                                                                                          |Star                                |13 51 24.6585981120 -39 20 38.302666584|315.3998092265206 +22.0714218332424|  10.774 -7.458    |10.80    |~               |    ~     ~          |    1|  448.209   pc  |  -3.2143     +3.2143  |paral   |2020yCat.1350....0G
957 |TYC 7790-1814-1                                                                                          |Star                                |13 51 21.3176740008 -39 03 50.952257892|315.4636552020962 +22.3451395823892| -12.363 -5.786    |10.77    |~               |    ~     ~          |    1|  175.673   pc  |  -0.4907     +0.4907  |paral   |2020yCat.1350....0G
958 |TYC 7790-2017-1                                                                                          |Star                                |13 50 57.3046520928 -39 06 14.759965620|315.3716068848175 +22.3256913470415|  -5.791 -6.758    |10.48    |~               |    ~     ~          |    1|  825.423   pc  | -47.1476    +47.1476  |paral   |2020yCat.1350....0G
959 |TYC 7790-2149-1                                                                                          |Star                                |13 49 59.9574886224 -39 06 23.849263044|315.1765794290104 +22.3686994895241|  -20.273 1.494    |10.72    |~               |    ~     ~          |    1|  254.194   pc  |  -1.1114     +1.1114  |paral   |2020yCat.1350....0G
960 |TYC 7790-2271-1                                                                                          |Star                                |13 51 03.8845967304 -39 11 06.063258984|315.3722553916418 +22.2420288781322| -13.003 -0.811    |10.51    |~               |    ~     ~          |    1|  443.479   pc  |  -5.1528     +5.1528  |paral   |2020yCat.1350....0G
961 |TYC 7793-1141-1                                                                                          |High Proper Motion Star             |13 48 27.4904484504 -40 01 24.499762716|314.6289522353491 +21.5496347981412|-83.795 -25.000    |10.78    |~               |    ~     ~          |    1|   72.806   pc  |  -0.0901     +0.0901  |paral   |2020yCat.1350....0G
962 |TYC 7793-1194-1                                                                                          |Star                                |13 47 52.8283666368 -39 32 40.622181612|314.6338827572406 +22.0411615679278| -18.741 -3.964    |9.86     |~               |    ~     ~          |    1|  726.586   pc  |  -9.6083     +9.6083  |paral   |2020yCat.1350....0G
963 |TYC 7793-1312-1                                                                                          |Star                                |13 46 24.7501779288 -39 28 28.660179360|314.3540190447265 +22.1747188737357| -15.963 -1.147    |10.66    |~               |    ~     ~          |    1|  793.210   pc  | -10.5073    +10.5073  |paral   |2020yCat.1350....0G
964 |TYC 7793-1460-1                                                                                          |Star                                |13 46 33.5141695008 -40 22 17.210309124|314.1633205054633 +21.2951216325232| -11.696 -5.611    |10.88    |~               |    ~     ~          |    1|  416.354   pc  |  -4.0911     +4.0911  |paral   |2020yCat.1350....0G
965 |TYC 7793-1555-1                                                                                          |Star                                |13 49 46.0057391832 -40 16 35.782058172|314.8250929827516 +21.2442585665364|-33.174 -11.087    |10.52    |~               |    ~     ~          |    1|  304.423   pc  | -11.3896    +11.3896  |paral   |2020yCat.1350....0G
966 |TYC 7793-2037-1                                                                                          |Star                                |13 46 47.0462910336 -41 14 30.261451560|313.9960656495865 +20.4379139147474| -19.329 -4.626    |10.60    |~               |    ~     ~          |    1| 1070.320   pc  | -23.3699    +23.3699  |paral   |2020yCat.1350....0G
967 |TYC 7793-2067-1                                                                                          |Star                                |13 45 48.3583301496 -41 14 52.698355764|313.8033701340944 +20.4732475482109|  -8.833 -7.182    |10.37    |~               |    ~     ~          |    1|  562.715   pc  |  -6.3646     +6.3646  |paral   |2020yCat.1350....0G
968 |TYC 7793-2095-1                                                                                          |Star                                |13 47 14.0628995184 -40 43 30.949571352|314.2105884418385 +20.9213263314381|   -9.822 2.496    |10.58    |~               |    ~     ~          |    1| 1539.883   pc  | -46.9505    +46.9505  |paral   |2020yCat.1350....0G
969 |TYC 7793-2158-1                                                                                          |Star                                |13 45 09.3849121008 -41 14 43.986088572|313.6768536738693 +20.5027087410906|   -7.563 1.646    |10.788   |~               |    ~     ~          |    1| 1124.370   pc  | -66.9200    +66.9200  |ST-L    |2020AJ....160...83S
970 |TYC 7794-1235-1                                                                                          |Star                                |13 50 47.3892473688 -41 00 09.476499384|314.8387081892190 +20.4928482330115|-45.862 -11.952    |10.48    |~               |    ~     ~          |    1|  230.409   pc  |  -1.2582     +1.2582  |paral   |2020yCat.1350....0G
971 |TYC 7794-1883-1                                                                                          |Star                                |13 50 31.2020077968 -40 33 00.433905732|314.9033672608277 +20.9441996161180|  -1.978 -4.963    |9.93     |~               |    ~     ~          |    1|  549.269   pc  |  -5.7322     +5.7322  |paral   |2020yCat.1350....0G
972 |TYC 7798-1501-1                                                                                          |Star                                |13 52 12.3614274792 -41 24 24.330711924|315.0080671552275 +20.0356497938605|  -14.924 7.826    |10.86    |~               |    ~     ~          |    1|  178.843   pc  |  -0.6717     +0.6717  |paral   |2020yCat.1350....0G
973 |TYC 7798-2463-1                                                                                          |High Proper Motion Star             |13 51 23.5200158472 -41 16 31.769117940|314.8848759141919 +20.2005595132660|-75.885 -25.842    |10.88    |~               |    ~     ~          |    1|  109.843   pc  |  -0.2666     +0.2666  |paral   |2020yCat.1350....0G
974 |BD-00 2753                                                                                               |Star                                |13 53 38.8163453112 -01 28 23.427243048|333.0507259684227 +57.7143979597903| -8.319 -18.597    |9.89     |K2              |    ~     ~          |    1|  624.220   pc  |  -7.7151     +7.7151  |paral   |2020yCat.1350....0G
975 |HD 121217                                                                                                |Star                                |13 54 06.5710032576 -00 57 23.107069476|333.6837724680165 +58.1234984214986|   5.151 25.939    |8.66     |K0III           |    ~     ~          |    1|  387.477   pc  |  -3.5282     +3.5282  |paral   |2020yCat.1350....0G
976 |HD 121283                                                                                                |High Proper Motion Star             |13 54 41.7129384528 -00 55 55.166823300|333.9513415345962 +58.0783324243436|-65.065 -142.506   |10.17    |G5              |    ~     ~          |    1|   84.312   pc  |  -0.4480     +0.4480  |ST-L    |2020AJ....160...83S
977 |* p Vir                                                                                                  |High Proper Motion Star             |13 54 42.1451337000 -01 30 11.241795960|333.4658220930502 +57.5690683015092|-86.260 -21.309    |5.159    |K1/2II/III      |    ~     ~          |    1|   76.917   pc  |  -0.5638     +0.5638  |paral   |2020yCat.1350....0G
978 |HD 121347                                                                                                |Star                                |13 54 52.2720721320 -01 06 27.528220368|333.8732689768849 +57.9020443167305| -7.595 -18.119    |8.44     |K4III           |    ~     ~          |    1|  505.868   pc  |  -6.6535     +6.6535  |paral   |2020yCat.1350....0G
979 |BD-01 2870                                                                                               |Star                                |13 52 35.5763635968 -02 07 56.796951180|332.0710860186939 +57.2383691850658|  4.027 -13.288    |10.978   |K               |    ~     ~          |    1| 1224.090   pc  | -95.3800    +95.3800  |ST-L    |2020AJ....160...83S
980 |AG-01 1791                                                                                               |Long-Period Variable Candidate      |13 53 09.6711833424 -02 12 18.844867116|332.2485106453849 +57.1110861293511| -12.050 -8.523    |10.07    |M0/2            |    ~     ~          |    1| 1365       pc  | -45.8354    +45.8354  |paral   |2020yCat.1350....0G
981 |HD 121218                                                                                                |High Proper Motion Star             |13 54 07.3172363640 -01 57 56.028790512|332.8405574241795 +57.2206741757496|-62.286 -43.352    |8.33     |F7V             |    ~     ~          |    1|   68.758   pc  |  -0.1489     +0.1489  |paral   |2020yCat.1350....0G
982 |HD 121152                                                                                                |Star                                |13 53 46.8395761656 -02 27 24.478267788|332.3024642022355 +56.8172082601431|-17.618 -26.684    |10.45    |F7/G0           |    ~     ~          |    1|  242.154   pc  |  -1.3018     +1.3018  |paral   |2020yCat.1350....0G
983 |HD 121322                                                                                                |Spectroscopic Binary                |13 54 51.8358962448 -02 22 49.237548744|332.8075054682961 +56.7667170867962|-33.852 -17.096    |8.91     |F7/8V           |    ~     ~          |    1|  117.629   pc  |  -1.6701     +1.6701  |paral   |2020yCat.1350....0G
984 |HD 121017                                                                                                |Star                                |13 53 04.4580047688 -02 20 57.070294800|332.0974252586159 +56.9909173058545|  10.801 39.406    |10.63    |G3V             |    ~     ~          |    1|  187.947   pc  |  -2.1780     +2.1780  |ST-L    |2020AJ....160...83S
985 |NGC 5345                           NGC 5345                                                              |LINER-type Active Galaxy Nucleus    |13 54 14.2530182016 -01 26 11.291476596|333.3284001184877 +57.6809861278599|            ~ ~    |     ~   |~               |0.857 0.720          |    1|  105.16    Mpc |                       |redshift|2007ApJ...655..790C
986 |NGC 5334                           NGC 5334                                                              |Low Surface Brightness Galaxy       |13 52 54.4632396696 -01 06 52.604999568|333.0410179518693 +58.1177280299193|  -2.234 -0.658    |     ~   |~               |0.913 0.475          |    1|   32.6200  Mpc |                       |redshift|2019A&A...631A..38L
987 |BD-00 2761                                                                                               |Star                                |13 54 54.5325679968 -01 30 29.532000672|333.5472810397811 +57.5411726355269|-14.628 -18.338    |10.073   |~               |    ~     ~          |    1|  725.374   pc  | -33.0200    +33.0200  |ST-L    |2020AJ....160...83S
988 |HD 121589                                                                                                |Star                                |13 56 28.9379216664 -00 12 20.637394344|335.3492508835366 +58.5111528822586|  7.299 -12.506    |9.592    |F3/5IV/V        |    ~     ~          |    1|  205.984   pc  |  -2.8280     +2.8280  |ST-L    |2020AJ....160...83S
989 |HD 122105                                                                                                |Star                                |13 59 42.1990603128 -00 10 03.126422424|336.7250666937844 +58.1530896260927|   1.196 -7.591    |9.852    |F6V             |    ~     ~          |    1|  250.469   pc  |  -3.6550     +3.6550  |ST-L    |2020AJ....160...83S
990 |HD 121547                                                                                                |Star                                |13 56 09.4451591472 -00 23 32.666207676|335.0431800601007 +58.3854794514176|  -12.448 8.873    |9.16     |G8/K0IV         |    ~     ~          |    1|  503.651   pc  |  -7.0011     +7.0011  |paral   |2020yCat.1350....0G
991 |HD 121667                                                                                                |Star                                |13 56 54.2429142792 -00 24 47.784490920|335.3371565119546 +58.2784518733857|-14.826 -38.051    |9.67     |K0(III)         |    ~     ~          |    1|  335.525   pc  |  -2.2178     +2.2178  |paral   |2020yCat.1350....0G
992 |HD 121755                                                                                                |Star                                |13 57 22.8441785928 -00 20 21.438655260|335.6035367724305 +58.2863621277442|  -25.083 9.883    |9.606    |F6V             |    ~     ~          |    1|  174.666   pc  |  -2.5610     +2.5610  |ST-L    |2020AJ....160...83S
993 |HD 121392                                                                                                |Star                                |13 55 10.7781807240 -00 59 35.553149412|334.1012606940604 +57.9683017870812|   3.354 -4.265    |10.17    |K0/1            |    ~     ~          |    1|  743.937   pc  | -17.3227    +17.3227  |paral   |2020yCat.1350....0G
994 |HD 121442                                                                                                |Star                                |13 55 27.9556231392 -01 27 00.207895752|333.8275151974173 +57.5295618192788|-19.342 -29.167    |8.46     |K4III           |    ~     ~          |    1|  340.762   pc  |  -3.1468     +3.1468  |paral   |2020yCat.1350....0G
995 |HD 121479                                                                                                |Star                                |13 55 36.7601706936 -01 18 10.716409836|334.0140956351129 +57.6434719977072|  -39.817 4.112    |9.43     |A3II            |    ~     ~          |    1|  219.858   pc  |  -0.9764     +0.9764  |paral   |2020yCat.1350....0G
996 |HD 121649                                                                                                |High Proper Motion Star             |13 56 43.8649703088 -00 53 08.988941868|334.8417338884216 +57.8827648336011|-65.373 -13.164    |9.48     |G0/2V           |    ~     ~          |    1|  106.031   pc  |  -0.4868     +0.4868  |paral   |2020yCat.1350....0G
997 |HD 121935                                                                                                |Star                                |13 58 37.0805983272 -01 36 22.104852840|334.9835517092107 +57.0251814803044|-23.047 -40.369    |10.350   |G3/5            |    ~     ~          |    1|  155.197   pc  |  -2.2350     +2.2350  |ST-L    |2020AJ....160...83S
998 |HD 122121                                                                                                |Star                                |13 59 48.9395959392 -01 08 37.741328124|335.8759719901333 +57.2880308374350|  -32.176 4.762    |9.760    |G8III           |    ~     ~          |    1|  213.310   pc  |  -3.8740     +3.8740  |ST-L    |2020AJ....160...83S
999 |HD 122134                                                                                                |Star                                |13 59 59.9537986344 -01 36 20.048782752|335.5405080603467 +56.8613302871350|  -1.867 -7.062    |9.41     |K2III           |    ~     ~          |    1|  475.014   pc  |  -4.6933     +4.6933  |paral   |2020yCat.1350....0G
1000|HD 121535                                                                                                |Star                                |13 56 07.3963210488 -01 49 44.292197496|333.7775460940333 +57.1174563231324|  3.408 -36.726    |9.78     |F6V             |    ~     ~          |    1|  200.292   pc  |  -0.7221     +0.7221  |paral   |2020yCat.1350....0G
1001|HD 122053                                                                                                |Star                                |13 59 26.7997711848 -02 10 55.076592540|334.8215157044737 +56.4197558134229|  -11.994 6.640    |9.74     |F3V             |    ~     ~          |    1|  263.734   pc  |  -1.8502     +1.8502  |paral   |2020yCat.1350....0G
1002|V* BH Vir                                                                                                |RS CVn Variable                     |13 58 24.8603543280 -01 39 38.954265912|334.8537505180402 +57.0009697243163|   2.672 -5.742    |9.68     |F6/8V           |    ~     ~          |    1|  148.696   pc  |  -1.2030     +1.2030  |ST-L    |2020AJ....160...83S
1003|HD 121782                                                                                                |Star                                |13 57 40.2188845944 -02 17 55.155065172|334.0120766218276 +56.5228813988782|  -5.904 -2.825    |9.61     |K0/1            |    ~     ~          |    1|  721.697   pc  | -32.6500    +32.6500  |ST-L    |2020AJ....160...83S
1004|HD 121814                                                                                                |High Proper Motion Star             |13 57 53.1126228192 -02 19 06.922013088|334.0817979625015 +56.4804753431517|-81.993 -42.967    |8.63     |K1III           |    ~     ~          |    1|  216.535   pc  |  -1.1722     +1.1722  |paral   |2020yCat.1350....0G
1005|HD 121863                                                                                                |Star                                |13 58 09.1854085128 -02 17 04.919679132|334.2176183271826 +56.4796460328781|  -0.914 -7.587    |10.284   |K0              |    ~     ~          |    1|  364.233   pc  |  -8.6180     +8.6180  |ST-L    |2020AJ....160...83S
1006|NGC 5366                           NGC 5366                                                              |Galaxy towards a Group of Galaxies  |13 56 24.8697914832 -00 14 51.079010100|335.2826143495900 +58.4824964983345|            ~ ~    |     ~   |~               |0.400 0.360          |    1|  127.80    Mpc |                       |redshift|2007ApJ...655..790C
1007|BD-01 2877                                                                                               |Star                                |13 55 38.9841456696 -01 50 45.621137004|333.5691002736622 +57.1561439912448|  -7.659 -0.970    |10.33    |~               |    ~     ~          |    1|  619.732   pc  | -29.5732    +29.5732  |paral   |2020yCat.1350....0G
1008|HD 121936                                                                                                |Spectroscopic Binary                |13 58 34.5918008520 -02 14 01.095308700|334.4301894961477 +56.4758050719785|-66.331 -10.361    |10.235   |G0              |    ~     ~          |    1|  270.145   pc  |  -6.0120     +6.0120  |ST-L    |2020AJ....160...83S
1009|TYC 4968-19-1                                                                                            |Star                                |13 56 45.4283009400 -00 18 43.739786520|335.3675862047105 +58.3848455137488|  -20.640 4.354    |10.8     |~               |    ~     ~          |    1|  306.110   pc  |  -2.2489     +2.2489  |paral   |2020yCat.1350....0G
1010|TYC 4968-56-1                                                                                            |Star                                |13 59 30.2160749928 -00 12 41.493963888|336.6016259436120 +58.1395219826923| 16.049 -18.258    |10.9     |~               |    ~     ~          |    1|  307.154   pc  |  -1.4812     +1.4812  |paral   |2020yCat.1350....0G
1011|TYC 4968-91-1                                                                                            |Star                                |13 59 20.9313974448 -00 07 08.631977664|336.6243724009175 +58.2390308031134|-28.077 -32.614    |10.740   |~               |    ~     ~          |    1|  241.437   pc  |  -4.0210     +4.0210  |ST-L    |2020AJ....160...83S
1012|TYC 4968-135-1                                                                                           |Star                                |13 53 52.1055751272 -00 48 32.527357848|333.7092906509946 +58.2821582990092|-24.364 -13.564    |10.49    |~               |    ~     ~          |    1|   73.160   pc  |  -0.1065     +0.1065  |paral   |2020yCat.1350....0G
1013|TYC 4968-254-1                                                                                           |Star                                |13 54 52.0649622216 -00 43 42.543639948|334.2014917227226 +58.2391388344073|  -15.873 5.016    |10.9     |~               |    ~     ~          |    1|  331.192   pc  |  -1.7111     +1.7111  |paral   |2020yCat.1350....0G
1014|TYC 4968-259-1                                                                                           |Star                                |13 55 15.6642239112 -01 20 15.125913096|333.8385427336687 +57.6530437256225| 28.194 -16.917    |10.54    |~               |    ~     ~          |    1|  147.464   pc  |  -0.5480     +0.5480  |paral   |2020yCat.1350....0G
1015|TYC 4968-356-1                                                                                           |Star                                |13 57 14.5606535616 -01 54 25.761039300|334.1680432513363 +56.9195692516940|   -8.632 1.924    |10.708   |~               |    ~     ~          |    1|  150.900   pc  |  -1.5070     +1.5070  |ST-L    |2020AJ....160...83S
1016|TYC 4968-583-1                                                                                           |Star                                |13 57 01.8718133280 -01 47 36.854279484|334.1782962655748 +57.0447200667864|  6.970 -23.085    |10.802   |~               |    ~     ~          |    1|  777.462   pc  | -39.1900    +39.1900  |ST-L    |2020AJ....160...83S
1017|TYC 4968-584-1                                                                                           |Star                                |13 54 50.5083916752 -01 40 25.818833100|333.3801587291050 +57.4010293928333| -14.120 12.393    |10.580   |~               |    ~     ~          |    1|  251.626   pc  |  -8.8560     +8.8560  |ST-L    |2020AJ....160...83S
1018|TYC 4968-597-1                                                                                           |Star                                |13 57 25.7918450904 -01 41 18.617971704|334.4302526992904 +57.0916381342347| -7.174 -18.648    |10.406   |~               |    ~     ~          |    1|  885.363   pc  | -49.3000    +49.3000  |ST-L    |2020AJ....160...83S
