C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:35:09

Vmag< 11&dec< 0&rah >=18.75&rah< 19.0
-------------------------------------

Number of objects : 7297

 #  |                                                                                                                                       identifier                                                                                                                                       |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   
----|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------
1903|HD 174904                                                                                                                                                                                                                                                                               |Star                              |18 53 37.8673157712 -19 27 06.135696468|015.7101652563623 -09.1998625573274|  1.827 -11.419   |9.05     |A1V               |    ~     ~    
1904|HD 174919                                                                                                                                                                                                                                                                               |Star                              |18 53 48.6061243536 -19 47 49.670940336|015.4129803339604 -09.3871597875743|  0.544 -17.492   |6.95     |K2III             |    ~     ~    
1905|HD 174944                                                                                                                                                                                                                                                                               |Star                              |18 53 50.9216877312 -19 43 45.703600536|015.4789082809739 -09.3660903515816|   0.490 -8.380   |9.83     |F8                |    ~     ~    
1906|HD 174992                                                                                                                                                                                                                                                                               |Star                              |18 54 04.2091765752 -19 32 22.822716444|015.6751199535333 -09.3311909274681|   9.556 -6.715   |9.61     |F2/3V             |    ~     ~    
1907|HD 175024                                                                                                                                                                                                                                                                               |High Proper Motion Star           |18 54 11.6960118504 -19 19 03.416964456|015.8909141507993 -09.2617435607632| 23.193 -75.882   |10.29    |G6V               |    ~     ~    
1908|HD 175065                                                                                                                                                                                                                                                                               |Star                              |18 54 20.2868017728 -19 24 50.754600108|015.8175411365182 -09.3338977843772|  -1.563 -6.025   |10.50    |B9IV/V            |    ~     ~    
1909|HD 175066                                                                                                                                                                                                                                                                               |Star                              |18 54 24.3218175216 -19 36 30.264924960|015.6468365569168 -09.4320883419006|  -1.532 -6.107   |9.97     |B9IV/V            |    ~     ~    
1910|HD 175140                                                                                                                                                                                                                                                                               |Star                              |18 54 44.2160594064 -19 39 00.984666816|015.6426796519228 -09.5205856290343|  1.512 -12.514   |9.41     |A3V               |    ~     ~    
1911|HD 175213                                                                                                                                                                                                                                                                               |Star                              |18 55 01.4481600456 -19 38 17.707475400|015.6832289728287 -09.5764262844507|  5.029 -18.468   |7.72     |K3III             |    ~     ~    
1912|HD 175255                                                                                                                                                                                                                                                                               |Star                              |18 55 18.0851633184 -19 46 56.149900968|015.5798761042244 -09.6973217283880|  -1.508 -6.299   |9.78     |B9III/IV          |    ~     ~    
1913|HD 175254                                                                                                                                                                                                                                                                               |Star                              |18 55 16.5867851544 -19 26 41.477769996|015.8861851249892 -09.5467377244835|  -0.600 -5.077   |9.85     |B9III             |    ~     ~    
1914|HD 175279                                                                                                                                                                                                                                                                               |Star                              |18 55 16.3889871360 -19 17 45.967225884|016.0219332319108 -09.4818996794142|  -0.285 -6.081   |9.75     |A3/5III           |    ~     ~    
1915|HD 175299                                                                                                                                                                                                                                                                               |Star                              |18 55 25.4475708480 -19 31 27.023294352|015.8287994039697 -09.6123188719646|   4.323 -3.247   |9.29     |A3III             |    ~     ~    
1916|HD 175318                                                                                                                                                                                                                                                                               |Star                              |18 55 31.0240415928 -19 37 21.556830828|015.7481946302718 -09.6744726241761| -1.821 -11.915   |9.55     |K0III/IV          |    ~     ~    
1917|HD 175342                                                                                                                                                                                                                                                                               |Star                              |18 55 41.3080410648 -19 12 16.984984176|016.1483914243002 -09.5309328563370|  -16.701 9.774   |9.83     |K1(III)           |    ~     ~    
1918|HD 174740                                                                                                                                                                                                                                                                               |Star                              |18 52 46.2289051128 -19 55 06.068531208|015.1951653347114 -09.2190903171264|  -0.562 -1.073   |9.70     |A2IV              |    ~     ~    
1919|NGC 6716 46                        HD 175043                                                                                                                                                                                                                                            |Star                              |18 54 18.0055296024 -19 55 58.762507476|015.3390850313077 -09.5496953924179|  -1.649 -5.895   |8.32     |B7III             |    ~     ~    
1920|NGC 6716 3                         HD 175091                                                                                                                                                                                                                                            |Star                              |18 54 30.2444188008 -19 55 48.269478324|015.3626942346422 -09.5917052526909|  -1.499 -5.721   |9.16     |B8V               |    ~     ~    
1921|NGC 6716 55                        HD 175141                                                                                                                                                                                                                                            |Star                              |18 54 47.3165249736 -19 51 48.876610428|015.4527755509209 -09.6234436760603|  -2.017 -6.642   |9.26     |B5/7(V)           |    ~     ~    
1922|HD 173929                                                                                                                                                                                                                                                                               |Star                              |18 48 50.5807150632 -20 09 12.736461420|014.5752203717466 -08.4904003822330|  -2.143 -4.600   |8.21     |B8II/III          |    ~     ~    
1923|* 29 Sgr                                                                                                                                                                                                                                                                                |Variable Star                     |18 49 40.1079977424 -20 19 28.756704684|014.5047591950829 -08.7392318064699|  -0.575 33.156   |5.210    |K2III             |    ~     ~    
1924|HD 174134                                                                                                                                                                                                                                                                               |Star                              |18 49 46.7312026536 -20 00 38.407337820|014.8021190370599 -08.6258720579594|  -13.074 3.766   |8.49     |G8III             |    ~     ~    
1925|HD 174135                                                                                                                                                                                                                                                                               |Star                              |18 49 49.5074225880 -20 35 36.218641668|014.2759796547987 -08.8890856947693|  -1.243 -5.567   |10.33    |B9IV/V            |    ~     ~    
1926|HD 174286                                                                                                                                                                                                                                                                               |Star                              |18 50 36.5726789736 -20 50 24.984003624|014.1312391982150 -09.1614087327413|   -2.058 5.542   |10.22    |A6/7II/III        |    ~     ~    
1927|HD 174308                                                                                                                                                                                                                                                                               |Star                              |18 50 43.8650833080 -20 37 52.450163292|014.3345446166383 -09.0965133819930|  4.763 -13.179   |9.33     |K2/3(V)           |    ~     ~    
1928|HD 174307                                                                                                                                                                                                                                                                               |Star                              |18 50 42.9952268496 -20 16 23.329301160|014.6597736070171 -08.9381974984115|  -1.570 -5.647   |10.19    |B8/9II            |    ~     ~    
1929|HD 174402                                                                                                                                                                                                                                                                               |High Proper Motion Star           |18 51 03.3053279544 -20 09 10.822726476|014.8042318400117 -08.9576133815444|-25.347 -44.239   |9.28     |K0/1(III)         |    ~     ~    
1930|V* V4088 Sgr                                                                                                                                                                                                                                                                            |Eclipsing Binary                  |18 51 06.3742351416 -20 18 00.370315404|014.6753058045785 -09.0322173560432|  -1.586 -5.925   |7.53     |B8II/III          |    ~     ~    
1931|HD 174491                                                                                                                                                                                                                                                                               |Star                              |18 51 31.2062032560 -20 04 40.803581172|014.9205890696663 -09.0234452506841|  -1.576 -6.027   |10.4     |B8/9III           |    ~     ~    
1932|HD 174492                                                                                                                                                                                                                                                                               |Star                              |18 51 28.4139147336 -20 26 12.871243032|014.5881891467153 -09.1690672044959|   0.211 -3.721   |9.95     |B5/7III           |    ~     ~    
1933|HD 174538                                                                                                                                                                                                                                                                               |Star                              |18 51 40.5403890816 -20 11 57.984280692|014.8257799236861 -09.1089741232017|  -1.464 -5.967   |10.5     |B9III             |    ~     ~    
1934|HD 174594                                                                                                                                                                                                                                                                               |Star                              |18 52 01.2036937152 -20 22 31.720439352|014.7004097188377 -09.2579489994088|  -1.551 -5.934   |8.22     |B5III             |    ~     ~    
1935|HD 174595                                                                                                                                                                                                                                                                               |Star                              |18 52 04.5005284272 -20 36 17.095700520|014.4965074220391 -09.3685991813514|  -1.514 -5.751   |9.07     |B9II              |    ~     ~    
1936|HD 174610                                                                                                                                                                                                                                                                               |Star                              |18 52 03.8141631576 -20 04 25.626106668|014.9804242229025 -09.1366321960918|  -1.518 -6.115   |9.18     |B8V               |    ~     ~    
1937|HD 174652                                                                                                                                                                                                                                                                               |Emission-line Star                |18 52 16.4821399464 -20 18 52.890114564|014.7820908084082 -09.2855008460073|  -1.519 -5.771   |9.129    |B9e               |    ~     ~    
1938|HD 174651                                                                                                                                                                                                                                                                               |Star                              |18 52 16.2573474912 -20 12 11.827715472|014.8834916782777 -09.2365490077319|  -1.133 -7.314   |8.48     |B8IV              |    ~     ~    
1939|HD 174685                                                                                                                                                                                                                                                                               |Star                              |18 52 26.4567070296 -20 17 59.356754016|014.8127458116047 -09.3142268752633|  -1.626 -5.937   |9.57     |B7III             |    ~     ~    
1940|HD 174684                                                                                                                                                                                                                                                                               |Star                              |18 52 29.7033656016 -19 58 59.007833472|015.1077020115665 -09.1887280100145|  -1.484 -5.849   |8.32     |B3/5III           |    ~     ~    
1941|HD 174707                                                                                                                                                                                                                                                                               |Star                              |18 52 36.0591974256 -20 31 58.889372376|014.6159392078016 -09.4487120327385|   8.384 -0.453   |8.88     |K5II/III          |    ~     ~    
1942|HD 174706                                                                                                                                                                                                                                                                               |Star                              |18 52 32.7646160976 -20 10 38.547088572|014.9354401041236 -09.2835578411388|  -1.737 -5.987   |10.5     |B7/8II            |    ~     ~    
1943|HD 174723                                                                                                                                                                                                                                                                               |Star                              |18 52 42.4277250624 -20 14 20.497377660|014.8956362464778 -09.3442694245144|  -1.544 -5.815   |8.80     |B8                |    ~     ~    
1944|HD 174756                                                                                                                                                                                                                                                                               |Star                              |18 52 53.1802251936 -20 30 58.943029428|014.6603743654384 -09.5018135797826|  -1.750 -5.923   |9.28     |B5/7III           |    ~     ~    
1945|HD 174869                                                                                                                                                                                                                                                                               |Star                              |18 53 29.8556862408 -20 27 04.085577648|014.7826066630007 -09.6029040694695|  -1.511 -5.776   |10.2     |B8III/IV          |    ~     ~    
1946|HD 174921                                                                                                                                                                                                                                                                               |Star                              |18 53 49.5111781512 -20 49 10.727775588|014.4784593650062 -09.8305105645879|   3.835 -3.075   |10.10    |B9.5V             |    ~     ~    
1947|HD 174920                                                                                                                                                                                                                                                                               |Star                              |18 53 47.8426591584 -20 24 40.378517172|014.8498105142951 -09.6491190310032|   7.009 -5.505   |9.24     |K2/3III           |    ~     ~    
1948|HD 174945                                                                                                                                                                                                                                                                               |Star                              |18 53 51.3229079088 -19 57 27.929021904|015.2707476634586 -09.4660710580087|  -1.566 -6.079   |10.0     |A0                |    ~     ~    
1949|HD 174946                                                                                                                                                                                                                                                                               |Star                              |18 53 54.8208671976 -20 07 42.657401856|015.1205039922266 -09.5520282715447|  -4.777 -6.080   |10.1     |B9/A0V            |    ~     ~    
1950|HD 175189                                                                                                                                                                                                                                                                               |Star                              |18 54 58.1876646312 -20 17 53.374709796|015.0732145645032 -09.8486675328614|   18.644 6.604   |8.60     |K2/3III           |    ~     ~    
1951|HD 175235                                                                                                                                                                                                                                                                               |Star                              |18 55 11.7286165272 -20 15 24.883930404|015.1340831347477 -09.8787679996047|  -1.476 -6.202   |8.08     |B5III             |    ~     ~    
1952|HD 175256                                                                                                                                                                                                                                                                               |High Proper Motion Star           |18 55 19.3765429056 -20 02 00.033729648|015.3520554409655 -09.8098096892343| 83.932 -33.040   |9.90     |G3V               |    ~     ~    
1953|HD 175343                                                                                                                                                                                                                                                                               |Star                              |18 55 42.7695175368 -20 00 59.296398372|015.4074247988309 -09.8852755093598|  17.815 -3.604   |7.78     |A7IV/V            |    ~     ~    
1954|HD 173899                                                                                                                                                                                                                                                                               |Star                              |18 48 42.9239989416 -21 34 51.745408500|013.2613576885099 -09.0843040007255|    2.104 0.150   |10.52    |B9IV              |    ~     ~    
1955|HD 174090                                                                                                                                                                                                                                                                               |Star                              |18 49 36.4634508744 -20 53 26.616996852|013.9824971040563 -08.9723562220375|  0.556 -19.124   |10.38    |A1IV              |    ~     ~    
1956|HD 174471                                                                                                                                                                                                                                                                               |Star                              |18 51 27.4733831736 -21 43 05.442908916|013.4147150214868 -09.7183478040114|  -1.305 -4.890   |10.21    |B9IV/V            |    ~     ~    
1957|HD 174470                                                                                                                                                                                                                                                                               |Star                              |18 51 30.9451749336 -21 27 21.539112084|013.6607061789962 -09.6177374929431|    1.838 5.568   |9.46     |K0III             |    ~     ~    
1958|HD 174518                                                                                                                                                                                                                                                                               |Star                              |18 51 37.1772546456 -20 54 08.614730808|014.1777996004023 -09.4010324190302|  -1.486 -5.908   |9.51     |B5III             |    ~     ~    
1959|HD 174539                                                                                                                                                                                                                                                                               |Star                              |18 51 42.1515222720 -21 40 57.780271200|013.4719764543402 -09.7544237942868|  -1.266 -7.493   |9.68     |F2/3V             |    ~     ~    
1960|HD 174560                                                                                                                                                                                                                                                                               |Star                              |18 51 51.4702759128 -21 31 29.998910712|013.6322129867045 -09.7192590061493|   19.220 5.843   |9.25     |K2III             |    ~     ~    
1961|HD 174559                                                                                                                                                                                                                                                                               |Star                              |18 51 49.6805966568 -20 51 38.762915616|014.2371518564681 -09.4269850653115| -1.142 -29.382   |8.81     |F6V               |    ~     ~    
1962|HD 174577                                                                                                                                                                                                                                                                               |Star                              |18 51 58.0588205616 -21 42 18.994139676|013.4781348494151 -09.8197301059710|  1.683 -16.069   |9.77     |F0V               |    ~     ~    
1963|BD-21 5166                                                                                                                                                                                                                                                                              |Star                              |18 52 19.7026047936 -20 53 45.286858680|014.2560786699203 -09.5475968531470|  -2.137 -6.752   |9.64     |K0                |    ~     ~    
1964|HD 174669                                                                                                                                                                                                                                                                               |Star                              |18 52 32.3133748032 -21 25 38.577307008|013.7906802001228 -09.8203504337473|   34.840 3.348   |9.76     |G8V               |    ~     ~    
1965|HD 174724                                                                                                                                                                                                                                                                               |Star                              |18 52 47.8691449968 -21 24 57.765807252|013.8273487049097 -09.8699884389155|-12.468 -10.031   |10.00    |F3V               |    ~     ~    
1966|HD 174819                                                                                                                                                                                                                                                                               |Star                              |18 53 19.6729391736 -21 43 30.976746420|013.5971910711021 -10.1137698677292| -1.012 -15.182   |8.95     |A3IV/V            |    ~     ~    
1967|HD 174841                                                                                                                                                                                                                                                                               |Star                              |18 53 22.4715708960 -21 18 59.666778828|013.9770102816095 -09.9486470478336|    1.798 0.916   |9.55     |A0III             |    ~     ~    
1968|HD 174890                                                                                                                                                                                                                                                                               |Star                              |18 53 38.3919348480 -21 03 05.508061632|014.2470177907918 -09.8909100423157|  -1.513 -6.121   |8.10     |F3V               |    ~     ~    
1969|* 33 Sgr                                                                                                                                                                                                                                                                                |Star                              |18 54 00.0880492848 -21 21 35.452437192|014.0007604322185 -10.0991096298419|  4.943 -18.506   |5.678    |G8/K0II           |    ~     ~    
1970|HD 174993                                                                                                                                                                                                                                                                               |Star                              |18 54 09.7236965184 -20 55 55.665745932|014.4095726845525 -09.9498384637442|    5.768 0.363   |8.92     |B9/9.5V           |    ~     ~    
1971|HD 175067                                                                                                                                                                                                                                                                               |Star                              |18 54 23.7811848552 -21 18 18.723539448|014.0908787840543 -10.1588785801485|  -6.126 -0.348   |9.01     |K0III             |    ~     ~    
1972|HD 175069                                                                                                                                                                                                                                                                               |Star                              |18 54 26.8927382880 -21 29 35.893023756|013.9232977519009 -10.2501274272270|   4.702 -4.893   |10.39    |A                 |    ~     ~    
1973|HD 175068                                                                                                                                                                                                                                                                               |Star                              |18 54 28.7156636376 -21 21 37.095091920|014.0485737881703 -10.1997360581288|  -0.301 -5.741   |10.57    |B9IV/V            |    ~     ~    
1974|HD 175257                                                                                                                                                                                                                                                                               |Star                              |18 55 17.5131410304 -20 50 34.464607656|014.6061805692808 -10.1501457099696|  13.909 -2.004   |9.05     |A2V               |    ~     ~    
1975|HD 175280                                                                                                                                                                                                                                                                               |Star                              |18 55 23.9920353192 -20 54 29.930157108|014.5570542767633 -10.2009023253548|    2.211 0.009   |9.80     |B9V               |    ~     ~    
1976|HD 175319                                                                                                                                                                                                                                                                               |Star                              |18 55 39.4303669680 -20 53 03.762273192|014.6051271956234 -10.2450176480456|   4.090 -0.304   |10.13    |B9.5IV/V          |    ~     ~    
1977|HD 174519                                                                                                                                                                                                                                                                               |Star                              |18 51 42.4646882688 -21 51 30.213805248|013.3114972680968 -09.8309415377618|  -1.214 -5.622   |9.28     |B9IV/V            |    ~     ~    
1978|HD 174166                                                                                                                                                                                                                                                                               |Star                              |18 50 06.4943657544 -21 51 02.005309476|013.1567571113429 -09.4925115418210|  -9.298 -7.450   |10.09    |F0V               |    ~     ~    
1979|HD 174493                                                                                                                                                                                                                                                                               |High Proper Motion Star           |18 51 34.0561587552 -21 50 20.918314536|013.3149758438452 -09.7933085061682| 46.078 -70.593   |9.716    |K1V               |    ~     ~    
1980|* 31 Sgr                                                                                                                                                                                                                                                                                |High Proper Motion Star           |18 52 08.3747305800 -21 55 17.501880432|013.2972000653905 -09.9485116201799| 43.681 -48.337   |6.58     |A3V               |    ~     ~    
1981|HD 174948                                                                                                                                                                                                                                                                               |High Proper Motion Star           |18 54 01.1473543632 -21 50 09.789330552|013.5650235263178 -10.3061807102226|-38.573 -47.577   |9.12     |A1IV              |    ~     ~    
1982|V* BB Sgr                                                                                                                                                                                                                                                                               |Classical Cepheid Variable        |18 50 59.8729954248 -20 17 42.829838520|014.6685985644511 -09.0072104986100|   0.353 -5.057   |6.69     |G0Ib              |    ~     ~    
1983|NGC 6716                           NGC 6716                                                                                                                                                                                                                                             |Open Cluster                      |18 54 27.8 -19 53 17                   |015.3971 -09.5651                  |  -1.476 -6.013   |7.5      |~                 |11.9  11.9     
1984|Cl Collinder 394                                                                                                                                                                                                                                                                        |Open Cluster                      |18 52 22.1 -20 13 44                   |014.8700 -09.2682                  |  -1.459 -5.882   |6.3      |~                 |23.5  23.5     
1985|TYC 6289-1895-1                                                                                                                                                                                                                                                                         |Star                              |18 50 43.3485573144 -19 54 23.685887196|014.9945466865722 -08.7802134564471| -1.635 -11.877   |9.90     |~                 |    ~     ~    
1986|BD-19 5174                                                                                                                                                                                                                                                                              |Star                              |18 48 52.6860680280 -19 28 40.912193316|015.1929617829252 -08.2026247474607|  12.443 -5.449   |9.85     |~                 |    ~     ~    
1987|BD-19 5185                                                                                                                                                                                                                                                                              |Star                              |18 50 01.9794980664 -19 26 19.990805064|015.3488006870614 -08.4303631163847|   2.548 -2.310   |9.67     |~                 |    ~     ~    
1988|CPD-19 7118                                                                                                                                                                                                                                                                             |Star                              |18 50 23.6744146944 -19 26 12.580274436|015.3882777142823 -08.5061655126129|   4.432 -9.526   |10.61    |~                 |    ~     ~    
1989|BD-19 5190                                                                                                                                                                                                                                                                              |Star                              |18 50 38.4858104640 -19 21 36.959434632|015.4836116730209 -08.5251616111162|  -5.146 -3.597   |9.34     |~                 |    ~     ~    
1990|BD-19 5191                                                                                                                                                                                                                                                                              |Star                              |18 50 40.5147500568 -19 33 59.932584972|015.2992735820678 -08.6222777085576|   9.049 -7.536   |9.80     |~                 |    ~     ~    
1991|BD-19 5203                                                                                                                                                                                                                                                                              |Star                              |18 53 02.4699401304 -19 48 32.459374620|015.3229248430947 -09.2291853831718|   6.829 -7.824   |10.22    |~                 |    ~     ~    
1992|BD-19 5210                                                                                                                                                                                                                                                                              |Star                              |18 53 46.6262034936 -19 31 42.139203204|015.6552086163784 -09.2640425940348|   -2.161 4.829   |9.82     |~                 |    ~     ~    
1993|BD-19 5215                                                                                                                                                                                                                                                                              |Star                              |18 54 04.3385239512 -19 15 53.958627468|015.9263076626421 -09.2128923477370|    0.382 1.208   |9.99     |~                 |    ~     ~    
1994|NGC 6716 87                        BD-19 5219                                                                                                                                                                                                                                           |Star                              |18 54 45.0527899080 -19 45 07.841673324|015.5508658590848 -09.5674612161336|   19.003 5.329   |10.11    |~                 |    ~     ~    
1995|NGC 6716 33                        BD-20 5327                                                                                                                                                                                                                                           |Star                              |18 54 47.1973634688 -19 53 21.865012368|015.4289240509863 -09.6341410949676|  -1.566 -6.051   |9.86     |~                 |    ~     ~    
1996|BD-21 5139                                                                                                                                                                                                                                                                              |Star                              |18 48 04.4941501656 -21 16 52.169925756|013.4693527481497 -08.8198580533778|  11.123 -0.377   |10.64    |~                 |    ~     ~    
1997|TYC 6289-186-1                                                                                                                                                                                                                                                                          |Star                              |18 48 25.2766543176 -20 35 58.891304112|014.1256341376637 -08.5960174894321|   1.408 -5.078   |10.95    |~                 |    ~     ~    
1998|BD-21 5141                                                                                                                                                                                                                                                                              |Star                              |18 48 28.8635731536 -21 20 52.793883564|013.4500159365587 -08.9340971482656|    5.822 6.297   |9.96     |~                 |    ~     ~    
1999|BD-21 5142                                                                                                                                                                                                                                                                              |Star                              |18 48 35.6488058256 -21 08 52.921660020|013.6439173372690 -08.8709877567845|  31.351 23.661   |10.34    |~                 |    ~     ~    
2000|CPD-20 7195                                                                                                                                                                                                                                                                             |Star                              |18 48 48.7621548216 -20 15 39.984491520|014.4742114451765 -08.5309255947278|  10.905 -6.204   |10.17    |~                 |    ~     ~    
