C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:35:09

Vmag< 11&dec< 0&rah >=18.75&rah< 19.0
-------------------------------------

Number of objects : 7297

 #  |                                                                                                                                       identifier                                                                                                                                       |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   
----|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------
29  |CD-42 13604                                                                                                                                                                                                                                                                             |Star                              |18 46 23.1229080744 -41 57 39.765423924|353.9070699293017 -16.8755369170979|   -2.156 4.198   |10.86    |~                 |    ~     ~    
30  |CD-43 12806                                                                                                                                                                                                                                                                             |Star                              |18 46 47.1633581856 -43 13 37.632652464|352.7014887142130 -17.4058337722986|   0.197 -4.205   |10.37    |~                 |    ~     ~    
31  |CD-44 12866                                                                                                                                                                                                                                                                             |Star                              |18 46 57.6540265704 -44 09 18.382819356|351.8046804446873 -17.7682198912287|  6.791 -14.466   |9.81     |~                 |    ~     ~    
32  |CD-43 12821                                                                                                                                                                                                                                                                             |Star                              |18 47 53.3841274224 -43 10 46.269027804|352.8239511576647 -17.5763482651629| -10.530 -7.091   |10.35    |~                 |    ~     ~    
33  |CD-44 12876                                                                                                                                                                                                                                                                             |Star                              |18 48 16.6189403400 -44 09 20.242496988|351.8921264104802 -17.9891202702104|  5.631 -26.498   |10.17    |~                 |    ~     ~    
34  |HD 175218                                                                                                                                                                                                                                                                               |Star                              |18 56 13.8894214968 -41 20 58.647056568|355.1966032921351 -18.3740789840802|  0.594 -15.367   |8.93     |G8IV              |    ~     ~    
35  |HD 173714                                                                                                                                                                                                                                                                               |Star                              |18 48 34.6413167616 -41 38 25.895820876|354.3753934467194 -17.1383077849232| 12.021 -17.555   |9.34     |F0V               |    ~     ~    
36  |HD 174407                                                                                                                                                                                                                                                                               |Star                              |18 52 11.9384169571 -41 42 33.101257282|354.5633771927509 -17.7939778405936| -8.115 -31.021   |6.45     |K3III             |    ~     ~    
37  |HD 174729                                                                                                                                                                                                                                                                               |Star                              |18 53 46.8816078216 -41 40 34.617255240|354.7055329967902 -18.0586493032687|   -2.476 6.724   |9.01     |K2/3III           |    ~     ~    
38  |HD 174923                                                                                                                                                                                                                                                                               |Star                              |18 54 56.4786328392 -41 26 00.622237560|355.0248764397862 -18.1765991868986|   -3.155 2.235   |9.67     |A8V               |    ~     ~    
39  |HD 174977                                                                                                                                                                                                                                                                               |Star                              |18 55 06.6675036840 -41 36 50.756618628|354.8584526942386 -18.2695276671815|  3.699 -11.799   |8.42     |K1III             |    ~     ~    
40  |HD 175094                                                                                                                                                                                                                                                                               |Star                              |18 55 36.5397340968 -41 52 05.181369672|354.6415670208243 -18.4449448647285|  6.548 -21.896   |8.52     |K0III             |    ~     ~    
41  |HD 173972                                                                                                                                                                                                                                                                               |Star                              |18 50 08.4341001336 -42 12 40.236911568|353.9278268780479 -17.6155230808675|  5.194 -26.135   |7.56     |K3III             |    ~     ~    
42  |CD-42 13666                                                                                                                                                                                                                                                                             |Star                              |18 50 46.7616714624 -42 23 58.780565088|353.7872062008301 -17.7930907017759|  0.424 -19.014   |9.62     |K0                |    ~     ~    
43  |HD 174362                                                                                                                                                                                                                                                                               |Star                              |18 52 01.9015468776 -42 12 48.126940560|354.0564537376565 -17.9435804046188| -1.204 -11.326   |9.65     |G6/8III           |    ~     ~    
44  |HD 174860                                                                                                                                                                                                                                                                               |Star                              |18 54 33.8807415048 -42 06 59.726129868|354.3249928101411 -18.3492364526713| 16.459 -11.004   |9.08     |F2IV/V            |    ~     ~    
45  |HD 174954                                                                                                                                                                                                                                                                               |Star                              |18 55 01.6135670712 -41 58 05.300592852|354.5030862803466 -18.3780981438279|   9.310 -6.952   |9.57     |A8V               |    ~     ~    
46  |CD-42 13747                                                                                                                                                                                                                                                                             |Star                              |18 55 34.9787394384 -42 24 18.466761132|354.1082247482735 -18.6258024605871|  7.648 -19.286   |10.10    |F5                |    ~     ~    
47  |* eta01 CrA                                                                                                                                                                                                                                                                             |Star                              |18 48 50.4897478488 -43 40 48.155963880|352.3975509244584 -17.9161384344884| 24.063 -16.779   |5.456    |A3V               |    ~     ~    
48  |HD 173773                                                                                                                                                                                                                                                                               |Star                              |18 49 01.9436808720 -42 55 40.496077488|353.1488530200780 -17.6812138253053|  5.986 -25.121   |9.45     |F6V               |    ~     ~    
49  |* eta02 CrA                                                                                                                                                                                                                                                                             |Star                              |18 49 34.9964863680 -43 26 02.752166760|352.6893050967855 -17.9548842207555| -2.963 -25.374   |5.587    |B9IV              |    ~     ~    
50  |HD 174013                                                                                                                                                                                                                                                                               |Star                              |18 50 28.4719692408 -43 35 06.794273436|352.6003096212331 -18.1593169542015|    3.998 0.236   |8.20     |F2IV              |    ~     ~    
51  |HD 174036                                                                                                                                                                                                                                                                               |High Proper Motion Star           |18 50 35.7533178408 -43 22 31.647287316|352.8151398740765 -18.1063701948604|-55.035 -14.483   |9.26     |G6/8wF6/8         |    ~     ~    
52  |CD-43 12877                                                                                                                                                                                                                                                                             |Star                              |18 50 58.7305493760 -43 19 36.366100140|352.8888102572126 -18.1544890321798| -0.111 -12.621   |10.01    |G0                |    ~     ~    
