C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST03:43:58

Vmag< 11&dec >=0&rah >=0.75&rah< 1.0
------------------------------------

Number of objects : 4837

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type     |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|--------------------|---------------
33  |TYC 3266-912-1                                                        |Star                           |00 48 10.5833084448 +47 04 56.601295320|122.3549440089875 -15.7857044279300|   8.156 -6.200   |10.48    |~                   |    ~     ~    
34  |BD+46 162                                                             |Double or Multiple Star        |00 46 14.7719652528 +47 13 12.494255808|122.0165287989987 -15.6423824253020|   29.867 7.043   |9.873    |~                   |    ~     ~    
35  |TYC 3266-1206-1                                                       |Star                           |00 45 26.6546964888 +47 05 38.842262124|121.8719956603236 -15.7652893025142|  12.934 -9.846   |10.44    |~                   |    ~     ~    
36  |BD+46 193                                                             |Star                           |00 53 49.4287124760 +46 50 47.135204196|123.3563746152052 -16.0233548298944|  42.385 23.344   |8.78     |K0                  |    ~     ~    
37  |HD 5279                                                               |Double or Multiple Star        |00 55 09.7386774312 +46 52 58.492835040|123.5939033920514 -15.9840457633182| 35.879 -23.499   |7.76     |K0                  |0.0067  0.0    
38  |HD 5344                                                               |Star                           |00 55 50.5389412656 +46 52 32.964990924|123.7148849539024 -15.9892281333110|  10.622 -4.449   |7.96     |A0                  |    ~     ~    
39  |HD 5091                                                               |Star                           |00 53 21.0017839728 +46 35 43.125689580|123.2741124514041 -16.2751644613416|   8.586 -5.166   |7.68     |A0                  |    ~     ~    
40  |BD+45 230                                                             |Star                           |00 54 54.4113837168 +46 19 30.340805808|123.5566560136032 -16.5424450081955| -30.910 -3.379   |8.72     |K0                  |    ~     ~    
41  |HD 5373                                                               |Spectroscopic Binary           |00 56 13.1665236720 +46 39 14.824884312|123.7863752996149 -16.2096966323553|  -2.922 -3.644   |7.68     |F2                  |0.0050  0.0    
42  |BD+45 239                                                             |Star                           |00 57 48.8979983184 +46 20 52.303186788|124.0796615718647 -16.5096737978197|    6.562 2.457   |9.83     |A0                  |    ~     ~    
43  |BD+45 247                                                             |High Proper Motion Star        |00 59 37.5939336048 +46 23 16.226139588|124.4041994269294 -16.4604972059217| 64.830 -51.019   |9.68     |G5                  |    ~     ~    
44  |BD+45 217                                                             |Star                           |00 51 20.1426853128 +45 59 20.835171312|122.9133736760939 -16.8826230225402|  -4.483 -3.037   |10.32    |M1e                 |    ~     ~    
45  |HD 4985                                                               |Star                           |00 52 24.3076704744 +45 48 19.651198284|123.1082498655984 -17.0659577810443|   8.492 -6.695   |8.38     |A0                  |    ~     ~    
46  |BD+45 224                                                             |High Proper Motion Star        |00 52 44.9381656344 +46 12 55.109126196|123.1686536307635 -16.6558368730257|121.873 -68.675   |9.48     |K0                  |    ~     ~    
47  |HD 5117                                                               |High Proper Motion Star        |00 53 38.3829794424 +45 49 04.502185752|123.3331948676615 -17.0521148200403| 58.569 -18.439   |8.25     |F0                  |    ~     ~    
48  |BD+45 232                                                             |Star                           |00 55 51.5360626128 +45 56 05.084423232|123.7354051387780 -16.9301046529209|  37.252 -4.680   |9.35     |F5                  |    ~     ~    
49  |HD 5526                                                               |Star                           |00 57 39.6449343696 +45 50 21.768358776|124.0653139498215 -17.0186727656888|  10.921 -6.173   |6.086    |K2III               |    ~     ~    
50  |HD 4617                                                               |Star                           |00 48 33.6288232104 +44 58 21.846302256|122.3971518401882 -17.8960247155830| -10.943 -5.579   |7.55     |K2                  |    ~     ~    
