C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:41:11

dec >=0&rah >=9.5&rah< 9.75&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 2905

 #  |                                                                 identifier                                                                 |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------|-----|----------------|-----------------------|--------|-------------------
22  |BD+84 211                                                                                                                                   |Star                              |09 38 06.8083964328 +83 24 11.283469668|128.7019940814621 +31.3952816924187| -17.660 -7.203   |10.32    |F8              |    ~     ~    |    1|  342.208   pc  |  -2.0025     +2.0025  |paral   |2020yCat.1350....0G
23  |BD+83 250                                                                                                                                   |Star                              |09 30 46.3720954800 +83 07 27.655832136|129.1145875847829 +31.3962060233052|    8.820 4.120   |9.51     |F0              |    ~     ~    |    1|  210.451   pc  |  -0.5713     +0.5713  |paral   |2020yCat.1350....0G
24  |BD+83 252                                                                                                                                   |Star                              |09 32 46.0088020536 +83 13 41.243839068|128.9757759846241 +31.3808670394971|  31.090 -5.682   |10.65    |G5              |    ~     ~    |    1|  267.530   pc  |  -0.9018     +0.9018  |paral   |2020yCat.1350....0G
25  |BD+83 253                                                                                                                                   |Star                              |09 33 10.0231011264 +83 13 44.435880624|128.9665521348568 +31.3896972695986|   2.301 -5.105   |9.66     |A5              |    ~     ~    |    1|  332.878   pc  |  -1.5402     +1.5402  |paral   |2020yCat.1350....0G
26  |BD+85 143                                                                                                                                   |Star                              |09 30 07.1803335864 +84 43 47.022731328|127.6345635945338 +30.4138504837168|  -1.286 -0.687   |10.76    |F8              |    ~     ~    |    1|  441.560   pc  |  -3.4316     +3.4316  |paral   |2020yCat.1350....0G
27  |TYC 4631-103-1                                                                                                                              |Star                              |09 31 54.8362578408 +84 22 16.780966176|127.9343207470947 +30.6660615815537|   -2.073 3.497   |10.89    |~               |    ~     ~    |    1|  319.519   pc  |  -1.5110     +1.5110  |paral   |2020yCat.1350....0G
28  |TYC 4631-847-1                                                                                                                              |Spectroscopic Binary              |09 31 30.8903659440 +83 03 59.520570192|129.1530888565359 +31.4487456564724| 46.721 -37.126   |10.58    |~               |    ~     ~    |    1|  199.537   pc  |  -2.3571     +2.3571  |paral   |2020yCat.1350....0G
29  |TYC 4631-1023-1                                                                                                                             |Star                              |09 30 01.7938786560 +83 21 23.763061260|128.9121244433368 +31.2396732769770| -6.555 -12.062   |10.78    |~               |    ~     ~    |    1|  977.231   pc  | -11.2688    +11.2688  |paral   |2020yCat.1350....0G
30  |TYC 4631-1721-1                                                                                                                             |High Proper Motion Star           |09 36 29.9562092376 +83 39 52.494292764|128.4964536564089 +31.1963540908128|-46.045 -50.945   |10.88    |~               |    ~     ~    |    1|  211.488   pc  |  -0.4696     +0.4696  |paral   |2020yCat.1350....0G
31  |TYC 4631-1844-1                                                                                                                             |Star                              |09 33 02.5212988128 +83 55 21.624514176|128.3269429555718 +30.9634115243761|   6.728 -6.470   |10.86    |~               |    ~     ~    |    1|  399.345   pc  |  -1.6426     +1.6426  |paral   |2020yCat.1350....0G
