C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:41:11

dec >=0&rah >=9.5&rah< 9.75&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 2905

 #  |                                                                 identifier                                                                 |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------|-----|----------------|-----------------------|--------|-------------------
578 |HD 233641                                                                                                                                   |Star                              |09 30 36.1153467264 +52 47 23.922430080|164.0496407424101 +45.0403856022460| -43.774 -5.454   |9.22     |G0              |    ~     ~    |    1|  171.383   pc  |  -0.4259     +0.4259  |paral   |2020yCat.1350....0G
579 |HD 233646                                                                                                                                   |Star                              |09 32 14.8140156336 +52 54 31.658798340|163.7966491282568 +45.2500457182104|  46.608 13.612   |9.53     |K5              |    ~     ~    |    1|   39.666   pc  |  -0.0214     +0.0214  |paral   |2020yCat.1350....0G
580 |HD 82211                                                                                                                                    |Star                              |09 32 31.1862075648 +53 06 10.852127532|163.5151693339449 +45.2386855570030|   -1.998 2.471   |9.33     |F8              |    ~     ~    |    1|  320.195   pc  |  -1.7122     +1.7122  |paral   |2020yCat.1350....0G
581 |HD 82791                                                                                                                                    |Star                              |09 36 04.9532561784 +53 17 53.892892176|163.0393069076789 +45.6984998741146|  -15.699 6.865   |8.74     |F5              |    ~     ~    |    1|  129.189   pc  |  -0.2821     +0.2821  |paral   |2020yCat.1350....0G
582 |AG+53 705                                                                                                                                   |Star                              |09 36 03.3835075130 +53 17 37.439408470|163.0471638940768 +45.6960390605232|  -16.763 7.352   |10.38    |~               |    ~     ~    |    1|  129.338   pc  |  -0.6206     +0.6206  |paral   |2018yCat.1345....0G
583 |HD 233666                                                                                                                                   |Double or Multiple Star           |09 42 19.4747365152 +53 28 26.149112004|162.3991956410305 +46.5352604571736| 13.800 -29.274   |9.30     |G2w             |    ~     ~    |    1|  710.278   pc  |  -7.1134     +7.1134  |paral   |2020yCat.1350....0G
584 |HD 233668                                                                                                                                   |Star                              |09 43 01.4311714944 +53 30 11.707616736|162.3113814671641 +46.6249017641186|  -2.282 -0.787   |10.38    |G5              |    ~     ~    |    1|  909.008   pc  | -11.3203    +11.3203  |paral   |2020yCat.1350....0G
585 |HD 233647                                                                                                                                   |Star                              |09 32 31.9916120088 +52 34 57.531188748|164.2288005399295 +45.3761099578653|  -0.247 -5.660   |10.13    |K               |    ~     ~    |    1|  980.392   pc  | -12.3030    +12.3030  |paral   |2020yCat.1350....0G
586 |HD 82442                                                                                                                                    |High Proper Motion Star           |09 33 48.9326689872 +52 26 38.160323484|164.3483309896453 +45.6003518223359|-43.139 -26.063   |7.740    |A3              |    ~     ~    |    1|  167.045   pc  |  -0.9515     +0.9515  |paral   |2020yCat.1350....0G
587 |HD 83553                                                                                                                                    |High Proper Motion Star           |09 41 02.4234472464 +52 37 07.559252724|163.6699988086784 +46.6086248264766|-48.581 -67.374   |8.32     |K0              |    ~     ~    |    1|  145.319   pc  |  -0.4667     +0.4667  |paral   |2020yCat.1350....0G
588 |HD 83644                                                                                                                                    |High Proper Motion Star           |09 41 44.8780263096 +53 11 00.271464648|162.8395762639889 +46.5425797779096|-88.292 -71.479   |8.72     |G0              |    ~     ~    |    1|  115.958   pc  |  -0.2151     +0.2151  |paral   |2020yCat.1350....0G
589 |HD 233665                                                                                                                                   |Star                              |09 42 04.0501258080 +53 13 49.937491848|162.7530972616319 +46.5737928061009|  -11.247 3.517   |9.16     |F5              |    ~     ~    |    1|  289.687   pc  | -10.8255    +10.8255  |paral   |2020yCat.1350....0G
590 |HD 83905                                                                                                                                    |Star                              |09 43 13.9000879776 +53 06 50.949110160|162.8364362204797 +46.7755591148197| -11.346 -4.793   |8.47     |A3              |    ~     ~    |    1|  207.211   pc  |  -1.5844     +1.5844  |paral   |2020yCat.1350....0G
591 |HD 83963                                                                                                                                    |High Proper Motion Star           |09 43 35.9316596088 +52 59 34.228289904|162.9802238882769 +46.8654478486686|-47.656 -25.186   |8.64     |F8              |    ~     ~    |    1|  140.111   pc  |  -0.3259     +0.3259  |paral   |2020yCat.1350....0G
592 |HD 84143                                                                                                                                    |Star                              |09 44 40.2339037752 +52 47 36.955265604|163.1848777042207 +47.0806795611788|  14.697 27.757   |8.28     |F5              |    ~     ~    |    1|   74.164   pc  |  -0.1155     +0.1155  |paral   |2020yCat.1350....0G
593 |* 26 UMa                                                                                                                                    |High Proper Motion Star           |09 34 49.4325910 +52 03 05.316490      |164.8345612693 +45.8506038829      |  -65.74 -37.32   |4.463    |A0Vn            |    ~     ~    |    1|   82.3228  pc  |  -1.7546     +1.7546  |paral   |2018yCat.1345....0G
594 |HD 83300                                                                                                                                    |High Proper Motion Star           |09 39 08.9333617896 +52 19 33.822384672|164.1969218039110 +46.4158848991861| -9.410 -54.627   |8.45     |G0              |    ~     ~    |    1|  130.605   pc  |  -0.3872     +0.3872  |paral   |2020yCat.1350....0G
595 |BD+52 1409                                                                                                                                  |Star                              |09 40 06.1284810648 +51 59 37.318098696|164.6020539662875 +46.6486064141218|  12.088 -6.681   |10.66    |F8              |    ~     ~    |    1|  442.321   pc  |  -3.9717     +3.9717  |paral   |2020yCat.1350....0G
596 |HD 83616                                                                                                                                    |High Proper Motion Star           |09 41 26.6009890848 +52 06 47.712206484|164.3502588641234 +46.8129821254288| 43.554 -38.341   |7.87     |G0              |    ~     ~    |    1|  114.795   pc  |  -0.4283     +0.4283  |paral   |2020yCat.1350....0G
597 |HD 84166                                                                                                                                    |Star                              |09 44 52.3768790784 +52 02 04.992063000|164.2357298008792 +47.3400536653465| -6.858 -10.670   |8.86     |K0              |    ~     ~    |    1|  279.220   pc  |  -1.0915     +1.0915  |paral   |2020yCat.1350....0G
598 |HD 233660                                                                                                                                   |Star                              |09 38 32.8152085608 +51 29 20.800619088|165.4036785277780 +46.5526211768452| 43.279 -12.771   |10.86    |G5              |    ~     ~    |    1|   99.327   pc  |  -0.1421     +0.1421  |paral   |2020yCat.1350....0G
599 |HD 233662                                                                                                                                   |Star                              |09 40 00.8022842832 +51 31 28.988041044|165.2655270722625 +46.7632067486519|-12.053 -12.265   |9.33     |K7              |    ~     ~    |    1|  448.893   pc  |  -3.3047     +3.3047  |paral   |2020yCat.1350....0G
600 |HD 233663                                                                                                                                   |Star                              |09 40 47.6439199224 +51 21 01.568839968|165.4632432817140 +46.9271857368060| 14.023 -12.711   |9.88     |G5              |    ~     ~    |    1|   52.261   pc  |  -0.0336     +0.0336  |paral   |2020yCat.1350....0G
601 |HD 233671                                                                                                                                   |Star                              |09 44 29.1648748800 +51 21 40.338909612|165.2138002585611 +47.4782099489733|  -5.835 -1.499   |8.93     |K0              |    ~     ~    |    1|  448.571   pc  |  -3.0987     +3.0987  |paral   |2020yCat.1350....0G
602 |HD 84156                                                                                                                                    |Star                              |09 44 37.9116306120 +51 22 33.366026136|165.1833362962917 +47.4958412330232| 24.907 -29.658   |8.44     |K0              |    ~     ~    |    1|  240.662   pc  |  -1.0541     +1.0541  |paral   |2020yCat.1350....0G
603 |BD+51 1531                                                                                                                                  |Star                              |09 39 18.2454440328 +51 03 06.941460168|165.9741163997733 +46.7804711853491|   9.434 24.443   |9.97     |G5              |    ~     ~    |    1|  178.355   pc  |  -0.5121     +0.5121  |paral   |2020yCat.1350....0G
604 |HD 83600                                                                                                                                    |Star                              |09 41 18.5473487760 +50 55 15.570909624|166.0390452190884 +47.1192146463222|  1.515 -11.828   |8.91     |F5              |    ~     ~    |    1|  301.605   pc  |  -2.1923     +2.1923  |paral   |2020yCat.1350....0G
605 |HD 83839                                                                                                                                    |Variable Star                     |09 42 43.8807347544 +51 16 06.764798100|165.4581854686956 +47.2408005485791|   6.232 -7.066   |7.12     |M2III           |    ~     ~    |    1|  568.861   pc  |  -7.2811     +7.2811  |paral   |2020yCat.1350....0G
606 |TYC 3432-348-1                                                                                                                              |Star                              |09 32 53.3825820600 +52 07 48.013649004|164.8334975631316 +45.5433084631237|   7.007 -7.083   |10.11    |~               |    ~     ~    |    1|  267.151   pc  |  -1.1562     +1.1562  |paral   |2020yCat.1350....0G
607 |TYC 3432-406-1                                                                                                                              |Star                              |09 41 11.3247764808 +51 21 19.843281216|165.4317669598012 +46.9851634215498| -15.433 -7.932   |10.84    |~               |    ~     ~    |    1|  354.308   pc  |  -1.6822     +1.6822  |paral   |2020yCat.1350....0G
608 |TYC 3432-429-1                                                                                                                              |Star                              |09 35 33.4830947328 +51 39 02.486602260|165.3505734444640 +46.0622500297413| -6.088 -27.029   |10.67    |~               |    ~     ~    |    1|  254.537   pc  |  -1.3411     +1.3411  |paral   |2020yCat.1350....0G
609 |TYC 3432-493-1                                                                                                                              |High Proper Motion Star           |09 36 00.1107547920 +51 36 27.274637952|165.3855875303664 +46.1397913820489| -16.924 48.187   |10.15    |~               |    ~     ~    |    1|   90.645   pc  |  -0.1159     +0.1159  |paral   |2020yCat.1350....0G
610 |TYC 3432-515-1                                                                                                                              |Star                              |09 41 32.3657494128 +51 42 17.518909284|164.9175505493091 +46.9419330023143| -13.626 -7.360   |10.26    |~               |    ~     ~    |    1|  237.096   pc  |  -0.7814     +0.7814  |paral   |2020yCat.1350....0G
611 |TYC 3432-523-1                                                                                                                              |Star                              |09 33 26.7419887728 +52 19 13.802639232|164.5395208220492 +45.5775536680580| 13.410 -11.166   |10.13    |~               |    ~     ~    |    1|  375.869   pc  |  -1.9779     +1.9779  |paral   |2020yCat.1350....0G
612 |TYC 3432-652-1                                                                                                                              |Spectroscopic Binary              |09 37 25.3945434096 +50 59 44.122215480|166.1625337510596 +46.5085940569121| -21.678 -3.364   |10.06    |~               |    ~     ~    |    1|  250.771   pc  |  -5.1944     +5.1944  |paral   |2020yCat.1350....0G
613 |TYC 3432-676-1                                                                                                                              |Star                              |09 38 46.8711589728 +52 08 52.317172752|164.4678816548001 +46.4110082546299|   -4.771 1.274   |10.64    |~               |    ~     ~    |    1|  435.294   pc  |  -3.5812     +3.5812  |paral   |2020yCat.1350....0G
614 |TYC 3432-684-1                                                                                                                              |Star                              |09 40 41.4976332696 +51 13 40.648147176|165.6423603163837 +46.9444791811588|   -5.412 6.642   |10.93    |~               |    ~     ~    |    1|  275.672   pc  |  -1.0411     +1.0411  |paral   |2020yCat.1350....0G
615 |TYC 3432-815-1                                                                                                                              |Star                              |09 33 41.4677657016 +52 21 53.310476448|164.4645925548800 +45.6024339265719|-15.737 -11.581   |10.30    |~               |    ~     ~    |    1|  405.252   pc  |  -7.1440     +7.1440  |paral   |2020yCat.1350....0G
616 |TYC 3432-992-1                                                                                                                              |High Proper Motion Star           |09 38 48.2227067376 +50 51 25.810657884|166.2783716271227 +46.7538561014398|27.071 -124.691   |10.91    |~               |    ~     ~    |    1|  199.497   pc  |  -0.7482     +0.7482  |paral   |2020yCat.1350....0G
617 |TYC 3432-1167-1                                                                                                                             |Star                              |09 38 52.5274532472 +50 47 21.044009796|166.3702844529040 +46.7819210845825|   -7.867 4.153   |10.07    |~               |    ~     ~    |    1|  299.850   pc  |  -1.3127     +1.3127  |paral   |2020yCat.1350....0G
618 |TYC 3432-1361-1                                                                                                                             |Star                              |09 43 05.9339556144 +51 08 17.078866332|165.6198365596160 +47.3319751715458|  -13.662 4.481   |10.20    |~               |    ~     ~    |    1|  821.693   pc  | -10.8029    +10.8029  |paral   |2020yCat.1350....0G
619 |TYC 3432-1413-1                                                                                                                             |High Proper Motion Star           |09 37 24.6418684392 +51 08 42.455734404|165.9529570208258 +46.4692884381429|-57.084 -40.767   |10.08    |~               |    ~     ~    |    1|   91.842   pc  |  -0.1097     +0.1097  |paral   |2020yCat.1350....0G
620 |TYC 3432-1426-1                                                                                                                             |Star                              |09 37 24.2664159480 +51 24 14.145527376|165.5900583011983 +46.4027188781558|  -0.247 -9.175   |10.54    |~               |    ~     ~    |    1|  309.770   pc  |  -2.0823     +2.0823  |paral   |2020yCat.1350....0G
621 |TYC 3807-246-1                                                                                                                              |Star                              |09 33 48.1248841680 +53 14 47.621805468|163.2452156964994 +45.3852643503461| -0.947 -34.314   |10.70    |~               |    ~     ~    |    1|  329.674   pc  |  -1.8368     +1.8368  |paral   |2020yCat.1350....0G
622 |TYC 3807-700-1                                                                                                                              |Star                              |09 35 39.5441677992 +53 03 06.383208780|163.4036371570689 +45.7064381689115| 16.338 -42.858   |10.83    |~               |    ~     ~    |    1|  148.203   pc  |  -0.3009     +0.3009  |paral   |2020yCat.1350....0G
623 |TYC 3807-721-1                                                                                                                              |Star                              |09 33 20.6841206712 +52 45 17.084032812|163.9466007214136 +45.4503469846693| -13.490 -5.212   |10.12    |~               |    ~     ~    |    1|  467.639   pc  |  -3.3459     +3.3459  |paral   |2020yCat.1350....0G
624 |TYC 3807-813-1                                                                                                                              |Star                              |09 33 59.3963276815 +53 16 49.106259999|163.1880709255407 +45.4030852214622| -3.799 -11.518   |10.30    |~               |    ~     ~    |    0|                |                       |        |                   
625 |TYC 3807-832-1                                                                                                                              |Star                              |09 32 09.1175327136 +52 30 10.956578436|164.3593595785984 +45.3403282515850| -9.475 -25.494   |10.47    |~               |    ~     ~    |    1|  258.685   pc  |  -1.0172     +1.0172  |paral   |2020yCat.1350....0G
626 |TYC 3807-971-1                                                                                                                              |Star                              |09 35 32.2136976384 +53 21 46.558446048|162.9834204779780 +45.6021280409889| -13.928 -9.716   |10.80    |~               |    ~     ~    |    1| 1077.238   pc  | -16.8264    +16.8264  |paral   |2020yCat.1350....0G
627 |TYC 3807-1192-1                                                                                                                             |Star                              |09 34 04.8105856728 +52 39 20.455378020|164.0412188520305 +45.5838718422292|   13.406 0.060   |10.72    |~               |    ~     ~    |    1|  361.533   pc  |  -2.2089     +2.2089  |paral   |2020yCat.1350....0G
628 |TYC 3807-1217-1                                                                                                                             |Star                              |09 30 02.9759119776 +52 35 05.011703988|164.3603793465618 +45.0104187440077|  -2.715 -1.662   |10.17    |~               |    ~     ~    |    1|  900.901   pc  | -13.8787    +13.8787  |paral   |2020yCat.1350....0G
629 |TYC 3807-1226-1                                                                                                                             |Star                              |09 35 04.4722725072 +52 55 03.053263764|163.6229704232182 +45.6586407294838| -8.768 -12.445   |10.75    |~               |    ~     ~    |    1|  499.725   pc  |  -3.6959     +3.6959  |paral   |2020yCat.1350....0G
630 |TYC 3807-1265-1                                                                                                                             |Star                              |09 38 07.1985202584 +52 34 27.884071020|163.9148431427143 +46.1961509094225|   -7.378 3.642   |10.03    |~               |    ~     ~    |    1|  355.720   pc  |  -6.6811     +6.6811  |paral   |2020yCat.1350....0G
631 |TYC 3807-1285-1                                                                                                                             |Star                              |09 41 29.9327937312 +53 25 04.532917692|162.5316719890343 +46.4356050338685|   -8.506 7.543   |9.63     |~               |    ~     ~    |    1|  378.515   pc  |  -1.6477     +1.6477  |paral   |2020yCat.1350....0G
632 |TYC 3807-1287-1                                                                                                                             |Star                              |09 43 34.8316025112 +53 27 51.532296660|162.3272174796029 +46.7157638304936|   6.410 21.909   |10.53    |~               |    ~     ~    |    1|  432.582   pc  | -40.2324    +40.2324  |paral   |2020yCat.1350....0G
633 |TYC 3807-1317-1                                                                                                                             |Star                              |09 36 25.4712412320 +53 29 01.878280440|162.7638594493082 +45.6945929721894|  8.208 -12.824   |10.39    |~               |    ~     ~    |    1|  848.969   pc  | -11.6761    +11.6761  |paral   |2020yCat.1350....0G
634 |TYC 3807-1321-1                                                                                                                             |Star                              |09 40 11.2568671560 +53 36 38.189056500|162.3522091225837 +46.1911518552199|  -1.365 -0.905   |10.23    |~               |    ~     ~    |    1|  271.599   pc  |  -1.4753     +1.4753  |paral   |2020yCat.1350....0G
635 |* tet UMa                                                                                                                                   |High Proper Motion Star           |09 32 51.4338939 +51 40 38.281102      |165.4623484045 +45.6498797847      |-947.46 -535.60   |3.18     |F7V             |    ~     ~    |    1|   13.5449  pc  |  -0.0375     +0.0375  |paral   |2020yCat.1350....0G
636 |BD+51 1520                                                                                                                                  |Spectroscopic Binary              |09 30 12.9524724888 +51 03 10.245816792|166.4657455327836 +45.3935849696177|   -7.968 5.197   |10.58    |F8              |    ~     ~    |    1|  509.061   pc  |  -4.0167     +4.0167  |paral   |2020yCat.1350....0G
637 |HD 233644                                                                                                                                   |Star                              |09 31 26.0246225544 +50 24 33.568301232|167.3025709439108 +45.7221326574775| -14.128 -8.876   |9.17     |K7              |    ~     ~    |    1|  385.386   pc  |  -3.6388     +3.6388  |paral   |2020yCat.1350....0G
638 |HD 233653                                                                                                                                   |Star                              |09 35 47.1931266192 +50 30 18.648718848|166.9438485462722 +46.3757222187284|  -0.765 -0.928   |9.74     |K0              |    ~     ~    |    1|  637.959   pc  |  -5.8200     +5.8200  |paral   |2020yCat.1350....0G
639 |HD 233655                                                                                                                                   |Star                              |09 36 40.6854610416 +50 37 40.521077724|166.7222086560870 +46.4842200045416|    4.185 0.961   |10.20    |G0              |    ~     ~    |    1|  210.296   pc  |  -2.0564     +2.0564  |paral   |2020yCat.1350....0G
640 |HD 233658                                                                                                                                   |Star                              |09 37 37.7479760928 +50 42 35.382634452|166.5536126694509 +46.6106000530059|  -30.427 4.613   |9.23     |K0              |    ~     ~    |    1|  285.608   pc  |  -1.1012     +1.1012  |paral   |2020yCat.1350....0G
641 |HD 233643                                                                                                                                   |Star                              |09 31 24.9073586256 +50 14 53.562802956|167.5289838787397 +45.7536740200549| 31.728 -28.264   |9.45     |K2              |    ~     ~    |    1|  223.774   pc  |  -0.7111     +0.7111  |paral   |2020yCat.1350....0G
642 |IRAS 09293+5056                                                                                                                             |Star                              |09 32 45.6434631000 +50 42 56.163235068|166.8075130803936 +45.8601824100159| -8.674 -12.734   |10.11    |~               |    ~     ~    |    1|  934.929   pc  | -21.5027    +21.5027  |paral   |2020yCat.1350....0G
643 |TYC 3432-116-1                                                                                                                              |Star                              |09 30 57.1723310784 +50 14 49.134731208|167.5530886903287 +45.6817064847096|   4.718 10.388   |10.10    |~               |    ~     ~    |    1|  772.439   pc  |  -7.8759     +7.8759  |paral   |2020yCat.1350....0G
644 |TYC 3432-376-1                                                                                                                              |Star                              |09 32 15.7756766928 +51 38 01.633945812|165.5544424833932 +45.5708908935276|   33.305 6.791   |9.77     |~               |    ~     ~    |    1|  176.199   pc  |  -0.5029     +0.5029  |paral   |2020yCat.1350....0G
645 |TYC 3432-1163-1                                                                                                                             |Star                              |09 36 03.9536726208 +50 46 59.942446284|166.5370598550524 +46.3528781409353|  24.895 -5.609   |10.23    |~               |    ~     ~    |    1|  216.235   pc  |  -0.7668     +0.7668  |paral   |2020yCat.1350....0G
646 |TYC 3432-1225-1                                                                                                                             |Star                              |09 36 52.7633050440 +50 35 05.824493448|166.7717078922767 +46.5255213976436|   -3.330 1.157   |10.67    |~               |    ~     ~    |    1|  264.943   pc  |  -1.3548     +1.3548  |paral   |2020yCat.1350....0G
647 |TYC 3432-1273-1                                                                                                                             |Star                              |09 30 57.3175634280 +51 50 24.259579620|165.3376490352158 +45.3251158268870|   5.400 -3.780   |9.64     |~               |    ~     ~    |    1|  217.633   pc  |  -0.7152     +0.7152  |paral   |2020yCat.1350....0G
648 |TYC 3432-1333-1                                                                                                                             |Star                              |09 30 06.5085758736 +50 34 49.912088592|167.1280357105567 +45.4796000812084| -12.108 -8.696   |10.22    |~               |    ~     ~    |    1|  405.482   pc  | -14.1726    +14.1726  |paral   |2020yCat.1350....0G
649 |IRAS 09372+5046                                                                                                                             |Long-Period Variable Candidate    |09 40 33.3536869104 +50 32 42.753458724|166.6176837619648 +47.1011271578763|  -9.029 -0.589   |10.35    |~               |    ~     ~    |    1| 1032.95    pc  | -43.9599    +43.9599  |paral   |2020yCat.1350....0G
650 |BD+50 1676                                                                                                                                  |Star                              |09 43 42.5405594616 +50 01 03.739761264|167.1815066068314 +47.7227467531949|   -6.313 5.960   |10.48    |F8              |    ~     ~    |    1|  259.121   pc  |  -1.1952     +1.1952  |paral   |2020yCat.1350....0G
651 |AG+51 766                                                                                                                                   |Long-Period Variable Candidate    |09 41 39.3459988752 +50 55 10.635815028|166.0198032182396 +47.1722728322383|  -1.976 -3.038   |8.80     |K5              |    ~     ~    |    1| 1219.21    pc  | -34.0405    +34.0405  |paral   |2020yCat.1350....0G
652 |HD 83887                                                                                                                                    |Double or Multiple Star           |09 42 54.00456 +50 35 18.2268          |166.41434583 +47.44954743          |    -30.35 1.87   |8.700    |G5              |    ~     ~    |    1|   48.6147  pc  |  -2.8188     +2.8188  |paral   |2018yCat.1345....0G
653 |HD 233669                                                                                                                                   |Star                              |09 43 20.3233205304 +50 38 35.082513816|166.3090558572123 +47.5021523734911|  -4.052 -0.814   |10.22    |K0              |    ~     ~    |    1|  706.814   pc  |  -7.3939     +7.3939  |paral   |2020yCat.1350....0G
654 |HD 233670                                                                                                                                   |Star                              |09 43 51.1935059616 +50 18 53.655154416|166.7461853801847 +47.6678836174616| -1.260 -22.424   |9.26     |M0              |    ~     ~    |    1|  776.880   pc  | -10.9241    +10.9241  |paral   |2020yCat.1350....0G
655 |TYC 3432-320-1                                                                                                                              |High Proper Motion Star           |09 40 55.4313825384 +50 29 18.850044120|166.6764074934728 +47.1720753220866|-96.557 -56.103   |10.93    |~               |    ~     ~    |    1|  157.265   pc  |  -2.3199     +2.3199  |paral   |2020yCat.1350....0G
656 |TYC 3432-330-1                                                                                                                              |Star                              |09 44 27.0909227304 +50 14 54.776812992|166.8039500914374 +47.7775570059834|  -2.029 -2.974   |9.95     |~               |    ~     ~    |    1| 2129.019   pc  | -62.0983    +62.0983  |paral   |2020yCat.1350....0G
657 |TYC 3432-547-1                                                                                                                              |High Proper Motion Star           |09 41 30.1595761248 +50 51 42.625306224|166.1111501254456 +47.1642147135879| 31.895 -55.254   |10.41    |~               |    ~     ~    |    1|  113.814   pc  |  -0.2150     +0.2150  |paral   |2020yCat.1350....0G
658 |TYC 3432-1056-1                                                                                                                             |Star                              |09 41 50.7447804696 +50 35 24.081817848|166.4766436084176 +47.2876036969054|   8.584 -4.450   |9.60     |~               |    ~     ~    |    1|  263.539   pc  |  -1.8474     +1.8474  |paral   |2020yCat.1350....0G
659 |TYC 3432-1130-1                                                                                                                             |Star                              |09 44 42.8668873008 +51 04 26.661215712|165.6069767669099 +47.5933756529038|-31.817 -26.595   |10.31    |~               |    ~     ~    |    1|  295.770   pc  |  -1.3559     +1.3559  |paral   |2020yCat.1350....0G
660 |TYC 3432-1433-1                                                                                                                             |Star                              |09 39 27.6015786672 +50 35 27.201673680|166.6170781169673 +46.9212186009710|   0.444 -6.927   |10.43    |~               |    ~     ~    |    1|  850.485   pc  | -11.4285    +11.4285  |paral   |2020yCat.1350....0G
661 |HD 82261                                                                                                                                    |High Proper Motion Star           |09 32 33.5839629816 +48 19 53.363500824|170.1822319570125 +46.3161087939367|-45.838 -31.052   |8.00     |K0              |    ~     ~    |    1|  265.943   pc  |  -1.6903     +1.6903  |paral   |2020yCat.1350....0G
662 |HD 233645                                                                                                                                   |Star                              |09 31 38.6122221120 +49 53 38.891719932|168.0146095813139 +45.8637888516192|  -0.106 -1.672   |9.71     |A2              |    ~     ~    |    1|  444.721   pc  |  -3.2633     +3.2633  |paral   |2020yCat.1350....0G
663 |HD 233648                                                                                                                                   |Star                              |09 32 43.3374259128 +50 08 40.801268508|167.6099400277088 +45.9801857267787|  12.482 -0.236   |9.60     |K5              |    ~     ~    |    1|  529.437   pc  |  -4.0924     +4.0924  |paral   |2020yCat.1350....0G
664 |HD 82686                                                                                                                                    |Star                              |09 35 09.5602865664 +50 16 20.664747696|167.3054164571085 +46.3321256058833| -14.084 -2.065   |9.19     |K2              |    ~     ~    |    1|  542.800   pc  |  -4.5373     +4.5373  |paral   |2020yCat.1350....0G
665 |HD 233650                                                                                                                                   |Star                              |09 35 17.5801623000 +50 00 08.695090728|167.6796775990690 +46.4138194173915|   -2.154 3.720   |9.62     |A5              |    ~     ~    |    1|  235.655   pc  |  -1.8437     +1.8437  |paral   |2020yCat.1350....0G
666 |HD 233652                                                                                                                                   |Double or Multiple Star           |09 35 39.572 +50 04 24.24              |167.560135 +46.455232              |      10.6 -4.1   |10.17    |F5              |    ~     ~    |    0|                |                       |        |                   
667 |HD 83272                                                                                                                                    |Star                              |09 38 42.8523254472 +50 14 56.939363088|167.1446590735963 +46.8899235608778|-35.832 -25.097   |8.24     |G5              |    ~     ~    |    1|  160.635   pc  |  -0.6012     +0.6012  |paral   |2020yCat.1350....0G
668 |HD 83206                                                                                                                                    |Star                              |09 38 23.4818896728 +49 52 04.197976608|167.7049132465023 +46.9299401413233|  -8.844 -2.292   |8.64     |B9              |    ~     ~    |    1| 1175.917   pc  | -61.8103    +61.8103  |paral   |2020yCat.1350....0G
669 |HD 233661                                                                                                                                   |High Proper Motion Star           |09 39 02.9457279912 +49 48 13.599235800|167.7598835372144 +47.0480284318366| 75.139 -80.294   |9.88     |F8              |    ~     ~    |    1|  143.201   pc  |  -0.2891     +0.2891  |paral   |2020yCat.1350....0G
670 |HD 82380                                                                                                                                    |Star                              |09 33 07.3836837864 +49 26 19.220025912|168.5854645031021 +46.1919174384265|  -4.550 12.499   |6.780    |A4V             |    ~     ~    |    1|  100.371   pc  |  -0.2841     +0.2841  |paral   |2020yCat.1350....0G
671 |HD 233649                                                                                                                                   |High Proper Motion Star           |09 33 46.2243113208 +49 36 44.057817036|168.3085121430776 +46.2586184656059| 42.438 -27.254   |9.41     |F0              |    ~     ~    |    1|  171.432   pc  |  -0.4555     +0.4555  |paral   |2020yCat.1350....0G
672 |HD 233657                                                                                                                                   |Star                              |09 37 17.0697711648 +49 35 42.999898632|168.1528354475048 +46.8180556279994|  -3.820 -2.498   |9.82     |B9              |    ~     ~    |    1|  489.500   pc  | -12.7233    +12.7233  |paral   |2020yCat.1350....0G
673 |BD+50 1664                                                                                                                                  |High Proper Motion Star           |09 38 22.5147114480 +49 37 14.530188288|168.0580943952348 +46.9844310704765|-29.637 -46.117   |10.55    |G0              |    ~     ~    |    1|  229.827   pc  |  -0.8082     +0.8082  |paral   |2020yCat.1350....0G
674 |HD 83629                                                                                                                                    |Star                              |09 41 26.7910208808 +49 21 40.121944992|168.2594053030976 +47.5298211279415|  -6.830 -4.560   |8.98     |K0              |    ~     ~    |    1|  466.897   pc  |  -4.4253     +4.4253  |paral   |2020yCat.1350....0G
675 |HD 233667                                                                                                                                   |Star                              |09 42 10.1929913424 +49 21 24.876552060|168.2240613139996 +47.6452464916544| -0.606 -15.005   |9.45     |K2              |    ~     ~    |    1|  165.393   pc  |  -0.8425     +0.8425  |paral   |2020yCat.1350....0G
676 |HD 84105                                                                                                                                    |Star                              |09 44 21.2023880448 +49 25 32.936962476|167.9956605273075 +47.9730535594911|    4.853 0.572   |9.01     |A3              |    ~     ~    |    1|  440.063   pc  |  -5.1125     +5.1125  |paral   |2020yCat.1350....0G
677 |BD+49 1846                                                                                                                                  |Star                              |09 33 10.3647760320 +48 58 12.068205240|169.2469159097885 +46.2940588517685|   1.861 -4.663   |10.16    |K2              |    ~     ~    |    1| 1355.197   pc  | -26.4465    +26.4465  |paral   |2020yCat.1350....0G
678 |HD 82581                                                                                                                                    |Star                              |09 34 31.8009999552 +48 45 16.802392032|169.4891579941871 +46.5554483274544|  17.640 -7.540   |7.54     |K0              |    ~     ~    |    1|  244.254   pc  |  -1.1574     +1.1574  |paral   |2020yCat.1350....0G
