C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:33:15

dec< 0&rah >=20.75&rah< 21.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 4200

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------|-----|----------------|-----------------------|--------|-------------------
886 |BD-19 5918                                                                                               |Star                              |20 46 07.8715893336 -19 04 49.576614492|027.1359389659473 -33.5474793040282|    8.686 0.017   |10.08    |~               |    ~     ~    |    1|  473.058   pc  | -33.0800    +33.0800  |ST-L    |2020AJ....160...83S
887 |TYC 6335-251-1                                                                                           |Star                              |20 45 16.9013681904 -17 27 18.577031688|028.8626964511183 -32.7775294291255|   -1.199 0.218   |10.73    |~               |    ~     ~    |    1| 1206.564   pc  | -27.9513    +27.9513  |paral   |2020yCat.1350....0G
888 |TYC 6335-1372-1                                                                                          |Star                              |20 46 33.8121170952 -17 56 39.027549768|028.4517457715803 -33.2396730019995|  -0.200 -1.526   |10.41    |~               |    ~     ~    |    1|  705.965   pc  | -10.0674    +10.0674  |paral   |2020yCat.1350....0G
889 |TYC 6339-442-1                                                                                           |Star                              |20 45 59.7014842512 -18 57 23.639069808|027.2615768614996 -33.4739509510723| 20.944 -17.932   |10.542   |~               |    ~     ~    |    1|  762.509   pc  | -28.5000    +28.5000  |ST-L    |2020AJ....160...83S
890 |TYC 6339-501-1                                                                                           |Star                              |20 47 43.2116875252 -18 58 12.522966439|027.4180443862665 -33.8607278483341|  4.699 -10.582   |10.67    |~               |    ~     ~    |    1|  196.702   pc  | -12.3700    +12.3700  |ST-L    |2020AJ....160...83S
891 |TYC 6339-1793-1                                                                                          |Star                              |20 46 40.0391539848 -19 14 20.718560112|027.0103591367746 -33.7214544388207|  -1.083 -8.264   |10.464   |~               |    ~     ~    |    1|  862.745   pc  | -32.3100    +32.3100  |ST-L    |2020AJ....160...83S
892 |TYC 6352-350-1                                                                                           |Star                              |20 48 26.8841111496 -18 59 06.511013700|027.4736622359379 -34.0271812743345|   -7.480 0.676   |10.627   |~               |    ~     ~    |    1|  799.155   pc  | -44.3800    +44.3800  |ST-L    |2020AJ....160...83S
893 |TYC 6352-637-1                                                                                           |Star                              |20 48 22.2465031920 -19 05 04.414271172|027.3535436514148 -34.0447651627555|  -2.813 -3.544   |10.798   |~               |    ~     ~    |    1|  740.905   pc  | -32.6900    +32.6900  |ST-L    |2020AJ....160...83S
894 |HD 198187                                                                                                |Star                              |20 49 11.9135039976 -17 04 31.045016136|029.6949192043829 -33.5076954643581|  8.624 -26.655   |9.87     |A5II/III        |    ~     ~    |    1|  277.648   pc  |  -5.0200     +5.0200  |ST-L    |2020AJ....160...83S
895 |HD 198446                                                                                                |Star                              |20 50 57.1467738672 -17 17 28.249647072|029.6385407049506 -33.9766178353341| -15.391 -0.241   |8.51     |K1III           |    ~     ~    |    1|  546.001   pc  |  -8.6156     +8.6156  |paral   |2020yCat.1350....0G
896 |HD 198541                                                                                                |High Proper Motion Star           |20 51 30.4076133216 -17 30 24.309149472|029.4544911846163 -34.1784122405904|  5.876 -63.128   |7.83     |K3III           |    ~     ~    |    1|  240.033   pc  |  -2.9096     +2.9096  |paral   |2020yCat.1350....0G
897 |HD 358544                                                                                                |Star                              |20 51 26.6964036816 -17 29 56.756272272|029.4566232019432 -34.1618909591972| 16.650 -21.179   |10.711   |G0              |    ~     ~    |    1|  308.120   pc  |  -6.2890     +6.2890  |ST-L    |2020AJ....160...83S
898 |HD 198220                                                                                                |High Proper Motion Star           |20 49 20.3611205376 -18 13 03.497677104|028.4296231489671 -33.9535547971225|  94.744 32.325   |8.44     |G1V             |    ~     ~    |    1|  141.880   pc  |  -1.3084     +1.3084  |paral   |2020yCat.1350....0G
899 |HD 198208                                                                                                |Star                              |20 49 20.5429305840 -18 02 09.082472208|028.6344768490512 -33.8891409846986|  1.313 -34.220   |6.193    |K3III           |    ~     ~    |    1|  250.113   pc  |  -2.3271     +2.3271  |paral   |2020yCat.1350....0G
900 |HD 198277                                                                                                |High Proper Motion Star           |20 49 45.9357271656 -18 06 25.456326372|028.5978095663466 -34.0085710543040|  73.637 -5.679   |9.876    |G3V             |    ~     ~    |    1|  130.755   pc  |  -1.1080     +1.1080  |ST-L    |2020AJ....160...83S
901 |HD 198337                                                                                                |Star                              |20 50 07.4322973968 -18 06 35.996400720|028.6312970399800 -34.0891084704701| -2.618 -20.146   |9.78     |K0III           |    ~     ~    |    1|  258.191   pc  |  -1.0599     +1.0599  |paral   |2020yCat.1350....0G
902 |HD 198432                                                                                                |Star                              |20 50 49.0849315080 -18 13 56.801876844|028.5642458475660 -34.2868654449106|  15.825 -2.420   |9.19     |F0V             |    ~     ~    |    1|  196.773   pc  |  -0.7279     +0.7279  |paral   |2020yCat.1350....0G
903 |HD 198463                                                                                                |High Proper Motion Star           |20 50 58.4987254272 -18 00 24.053871276|028.8354837934895 -34.2409449536164|-174.910 -192.867 |9.62     |G8/K0V          |    ~     ~    |    1|   69.087   pc  |  -0.0897     +0.0897  |paral   |2020yCat.1350....0G
904 |HD 198140                                                                                                |Carbon Star                       |20 48 56.8366627200 -19 01 09.057985860|027.4849123772542 -34.1496406118615|  -3.695 -7.869   |10.14    |R1              |    ~     ~    |    1| 1101.564   pc  | -20.7499    +20.7499  |paral   |2020yCat.1350....0G
905 |HD 198395                                                                                                |High Proper Motion Star           |20 50 35.3928502152 -18 58 52.145297472|027.6920824881295 -34.5002593661479|190.162 -120.221  |9.741    |G2V             |    ~     ~    |    1|   99.527   pc  |  -0.6226     +0.6226  |ST-L    |2020AJ....160...83S
906 |HD 198447                                                                                                |Star                              |20 51 00.3375918288 -18 35 36.427159428|028.1743907661941 -34.4564551570722|-12.528 -32.724   |9.69     |K2(III)         |    ~     ~    |    1| 1142.335   pc  | -22.4448    +22.4448  |paral   |2020yCat.1350....0G
907 |HD 358556                                                                                                |Star                              |20 51 03.7527956616 -18 46 20.863117776|027.9768199468720 -34.5320277947726| -6.512 -14.614   |10.60    |G5              |    ~     ~    |    1| 1338.509   pc  |-108.2130   +108.2130  |paral   |2020yCat.1350....0G
908 |HD 358555                                                                                                |Star                              |20 50 23.5744551768 -18 22 04.384226388|028.3676412406868 -34.2407459859092|  34.663 -6.809   |10.957   |G5              |    ~     ~    |    1|  187.876   pc  |  -2.0240     +2.0240  |ST-L    |2020AJ....160...83S
909 |BD-18 5781                                                                                               |High Proper Motion Star           |20 49 00.7996688232 -18 06 27.109416852|028.5201214094474 -33.8418455191689| 63.213 -35.376   |10.044   |~               |    ~     ~    |    1|  175.288   pc  |  -2.0470     +2.0470  |ST-L    |2020AJ....160...83S
910 |BD-18 5785                                                                                               |Star                              |20 49 45.1189582872 -17 45 50.936615604|028.9820846980606 -33.8821451972001|  6.370 -40.406   |9.97     |~               |    ~     ~    |    1|  292.122   pc  |  -6.2890     +6.2890  |ST-L    |2020AJ....160...83S
911 |BD-18 5786                                                                                               |Star                              |20 49 45.3089544864 -17 35 33.125105328|029.1750031926243 -33.8206398822286|  15.518 -0.012   |10.461   |~               |    ~     ~    |    1|  804.310   pc  | -41.3400    +41.3400  |ST-L    |2020AJ....160...83S
912 |BD-17 6096                                                                                               |Star                              |20 49 07.4216830824 -17 18 15.300194760|029.4315637334588 -33.5752282228585|   2.381 -1.211   |10.42    |~               |    ~     ~    |    1|  360.244   pc  |  -3.4390     +3.4390  |paral   |2020yCat.1350....0G
913 |BD-18 5789                                                                                               |Star                              |20 50 09.8267022888 -17 39 57.847141980|029.1350307477245 -33.9380486945045|  6.001 -11.515   |10.601   |~               |    ~     ~    |    1| 1820.260   pc  |-194.0000   +194.0000  |ST-L    |2020AJ....160...83S
914 |TYC 6348-293-1                                                                                           |Star                              |20 50 19.0921087248 -17 48 29.505138912|028.9912815698817 -34.0237431285305|  4.953 -12.157   |10.61    |~               |    ~     ~    |    1| 1401.149   pc  | -38.8717    +38.8717  |paral   |2020yCat.1350....0G
915 |HD 199589                                                                                                |Star                              |20 58 45.0917422440 -16 24 38.786427936|031.4726422968479 -35.3846934927850|   25.509 2.636   |9.910    |F3IV/V          |    ~     ~    |    1|  174.877   pc  |  -2.1120     +2.1120  |ST-L    |2020AJ....160...83S
916 |HD 198731                                                                                                |Star                              |20 52 56.4183290232 -17 00 19.852785756|030.1703437966056 -34.3133585353448|  45.910 -9.729   |8.97     |K1III           |    ~     ~    |    1|  254.790   pc  |  -1.5061     +1.5061  |paral   |2020yCat.1350....0G
917 |ADS 14391 AB                                                                                             |Double or Multiple Star           |20 53 17.0034 -17 18 55.938            |029.8572306 -34.5033524            |     7.10 10.10   |9.74     |F3/5V           |    ~     ~    |    0|                |                       |        |                   
918 |HD 198838                                                                                                |Star                              |20 53 41.5470970752 -16 53 00.684590532|030.3881522571125 -34.4354997364686|  19.807 -6.221   |8.89     |K0IIICNII       |    ~     ~    |    1|  431.258   pc  |  -7.1232     +7.1232  |paral   |2020yCat.1350....0G
919 |HD 358533                                                                                                |High Proper Motion Star           |20 53 45.1216541736 -17 14 17.605661820|029.9942506938646 -34.5792104607071|-27.920 -42.826   |9.45     |F6V             |    ~     ~    |    1|  185.264   pc  |  -0.6796     +0.6796  |paral   |2020yCat.1350....0G
920 |HD 198993                                                                                                |Star                              |20 54 41.1771744144 -16 41 08.893210848|030.7179905559473 -34.5831577916397|  4.689 -28.304   |10.307   |F7/8V           |    ~     ~    |    1|  296.658   pc  |  -9.0560     +9.0560  |ST-L    |2020AJ....160...83S
921 |HD 199088                                                                                                |Star                              |20 55 21.4014580584 -16 40 07.833997344|030.8096557286645 -34.7259118068405|  0.965 -33.890   |9.820    |F6V             |    ~     ~    |    1|  248.940   pc  |  -5.6360     +5.6360  |ST-L    |2020AJ....160...83S
922 |HD 199197                                                                                                |Spectroscopic Binary              |20 56 09.3407484624 -17 14 35.279292948|030.2444202890595 -35.1151663779026|   -5.864 1.326   |7.52     |K0III           |    ~     ~    |    1|  247.819   pc  |  -6.9767     +6.9767  |paral   |2020yCat.1350....0G
923 |HD 199296                                                                                                |Star                              |20 56 48.7226514264 -16 41 55.590445176|030.9335573629462 -35.0606290838768|   2.935 -0.414   |9.74     |K2III           |    ~     ~    |    1|  399.377   pc  |  -2.7434     +2.7434  |paral   |2020yCat.1350....0G
924 |HD 199527                                                                                                |Star                              |20 58 12.5324207184 -16 41 39.529773528|031.0905125518110 -35.3695898454796|-22.028 -27.697   |8.83     |K3III           |    ~     ~    |    1|  820.681   pc  | -32.1268    +32.1268  |paral   |2020yCat.1350....0G
925 |HD 199542                                                                                                |Star                              |20 58 21.3479121960 -17 01 01.923497040|030.7380950667257 -35.5214579790043| 13.737 -22.186   |8.42     |K0III           |    ~     ~    |    1|  324.781   pc  |  -2.1835     +2.1835  |paral   |2020yCat.1350....0G
926 |HD 199706                                                                                                |Spectroscopic Binary              |20 59 27.7057783296 -16 52 46.559356392|031.0152357901289 -35.7167264186092|  57.389 -6.194   |8.00     |F3/5V           |    ~     ~    |    1|   94.053   pc  |  -0.4830     +0.4830  |paral   |2020yCat.1350....0G
927 |HD 199791                                                                                                |Star                              |20 59 59.4682051368 -17 17 18.265353288|030.6031554283617 -35.9842405985889|   5.919 14.138   |8.71     |F0V             |    ~     ~    |    1|  238.191   pc  |  -4.8840     +4.8840  |ST-L    |2020AJ....160...83S
928 |HD 198747                                                                                                |Star                              |20 52 57.1391839824 -17 33 28.640585880|029.5483433723936 -34.5180632582622| 28.310 -23.055   |8.60     |K0III           |    ~     ~    |    1|  380.706   pc  |  -3.5220     +3.5220  |paral   |2020yCat.1350....0G
929 |HD 199028                                                                                                |Star                              |20 54 50.2551070368 -17 36 35.124757740|029.6876913281284 -34.9555968918445|  15.539 -3.642   |9.11     |M1/2III         |    ~     ~    |    1|  724.848   pc  | -13.4504    +13.4504  |paral   |2020yCat.1350....0G
930 |HD 199324                                                                                                |Star                              |20 56 56.6249644632 -17 31 02.354840508|030.0154524724473 -35.3900670848026|  -1.122 -6.411   |8.84     |K4III           |    ~     ~    |    1|  718.701   pc  | -11.3637    +11.3637  |paral   |2020yCat.1350....0G
931 |BD-18 5816                                                                                               |Long-Period Variable Candidate    |20 57 32.0145721056 -17 43 57.670731300|029.8311021391137 -35.5988841209165|   -0.078 6.350   |8.72     |M3/4III         |    ~     ~    |    1|  572.082   pc  | -13.4839    +13.4839  |paral   |2020yCat.1350....0G
932 |HD 199750                                                                                                |Star                              |20 59 38.6065230984 -17 27 59.743226772|030.3607681836309 -35.9716737179509|   15.256 1.561   |9.23     |G8III/IV        |    ~     ~    |    1|  445.997   pc  | -11.8800    +11.8800  |ST-L    |2020AJ....160...83S
933 |HD 358632                                                                                                |Star                              |20 54 48.9338192232 -17 29 53.536906140|029.8121892436862 -34.9102766150616|   5.377 -1.376   |10.745   |K5              |    ~     ~    |    1|  918.906   pc  | -55.5600    +55.5600  |ST-L    |2020AJ....160...83S
934 |HD 358619                                                                                                |Star                              |20 54 48.8249528088 -17 05 14.554762656|030.2779530444840 -34.7598498531145|  39.639 -9.695   |10.80    |G0              |    ~     ~    |    1|  145.670   pc  |  -1.2080     +1.2080  |ST-L    |2020AJ....160...83S
935 |HD 358614                                                                                                |High Proper Motion Star           |20 57 28.7191554072 -16 42 05.015123676|031.0029987856366 -35.2098316206098| 23.891 -50.135   |10.995   |G0              |    ~     ~    |    1|  159.695   pc  |  -1.6720     +1.6720  |ST-L    |2020AJ....160...83S
936 |HD 358537                                                                                                |High Proper Motion Star           |20 53 18.2784587448 -17 27 41.985271224|029.6943015710099 -34.5613393122247| 54.685 -24.754   |10.83    |F8              |    ~     ~    |    1|  226.349   pc  |  -3.4270     +3.4270  |ST-L    |2020AJ....160...83S
937 |HD 198851                                                                                                |Star                              |20 53 42.1416244632 -18 22 57.017020908|028.6892833907585 -34.9800983587196| -1.344 -11.603   |9.72     |G8III           |    ~     ~    |    1|  623.636   pc  | -10.6176    +10.6176  |paral   |2020yCat.1350....0G
938 |HD 199013                                                                                                |Star                              |20 54 41.3715718032 -18 09 02.149639740|029.0557330494780 -35.1168595191052| -0.545 -39.417   |9.42     |G0V             |    ~     ~    |    1|   98.590   pc  |  -0.1876     +0.1876  |paral   |2020yCat.1350....0G
939 |* 19 Cap                                                                                                 |High Proper Motion Star           |20 54 47.8164583128 -17 55 22.420497144|029.3267872896786 -35.0593502368082|-58.731 -17.624   |5.782    |K0III           |    ~     ~    |    1|  122.433   pc  |  -0.8379     +0.8379  |paral   |2020yCat.1350....0G
940 |HD 199385                                                                                                |Star                              |20 57 22.1317208352 -17 50 37.495052376|029.6863047354540 -35.6021915566141|   -5.060 3.143   |9.53     |K2(III)         |    ~     ~    |    1|  542.800   pc  |  -5.3034     +5.3034  |paral   |2020yCat.1350....0G
941 |HD 199635                                                                                                |Star                              |20 59 04.5952918656 -17 51 41.618958012|029.8453449158119 -35.9879586261317| -14.382 -4.252   |9.14     |K1III           |    ~     ~    |    1|  536.099   pc  | -19.0900    +19.0900  |ST-L    |2020AJ....160...83S
942 |HD 198657                                                                                                |Star                              |20 52 19.6773992544 -18 44 34.253319192|028.1382465495993 -34.8021755395720| -13.464 -3.793   |8.39     |F5V             |    ~     ~    |    1|  321.595   pc  | -16.5271    +16.5271  |paral   |2020yCat.1350....0G
943 |HD 198712                                                                                                |High Proper Motion Star           |20 52 45.2469016368 -18 37 43.313707776|028.3116225569066 -34.8565975774763|-60.581 -111.485  |9.79     |F5V             |    ~     ~    |    1|  168.410   pc  |  -0.5559     +0.5559  |paral   |2020yCat.1350....0G
944 |HD 198748                                                                                                |Star                              |20 52 57.2897883360 -18 36 40.965728159|028.3517687621089 -34.8950214590267|  15.012 -1.379   |10.06    |F6V             |    ~     ~    |    0|                |                       |        |                   
945 |HD 358564                                                                                                |High Proper Motion Star           |20 53 49.4914982664 -18 47 21.549032772|028.2364887897567 -35.1503570353452|101.165 -91.083   |9.68     |K0              |    ~     ~    |    1|   36.714   pc  |  -0.0239     +0.0239  |paral   |2020yCat.1350....0G
946 |HD 198984                                                                                                |Star                              |20 54 32.3727704712 -18 50 58.207861680|028.2397154598541 -35.3298470770188|    4.715 0.156   |8.88     |A2/3III         |    ~     ~    |    1|  396.715   pc  | -10.4030    +10.4030  |paral   |2020yCat.1350....0G
947 |HD 199014                                                                                                |High Proper Motion Star           |20 54 46.9450605432 -18 47 34.053227988|028.3294539751620 -35.3639234952421|  77.842 14.887   |6.64     |F0V             |    ~     ~    |    1|   92.772   pc  |  -0.2823     +0.2823  |paral   |2020yCat.1350....0G
948 |HD 199144                                                                                                |Star                              |20 55 44.3252430216 -18 34 52.788738576|028.6698744770626 -35.5020325310017| 11.384 -25.155   |8.10     |A1mA3-F0        |    ~     ~    |    1|  162.917   pc  |  -0.8255     +0.8255  |paral   |2020yCat.1350....0G
949 |HD 358689                                                                                                |Star                              |20 55 15.2757683568 -18 41 29.029061184|028.4939375917346 -35.4332071285614|  -18.411 0.956   |10.67    |K7              |    ~     ~    |    1|  486.476   pc  |  -5.1118     +5.1118  |paral   |2020yCat.1350....0G
950 |HD 358673                                                                                                |Star                              |20 55 01.1659462392 -18 19 10.951048848|028.8963464727811 -35.2501455938398| 13.668 -13.762   |10.634   |F5              |    ~     ~    |    1|  450.458   pc  | -11.4400    +11.4400  |ST-L    |2020AJ....160...83S
951 |HD 358671                                                                                                |Star                              |20 55 55.2458161728 -18 07 28.023823524|029.2131854342421 -35.3808951810027|   -2.361 0.454   |10.543   |K5              |    ~     ~    |    1| 1165.540   pc  | -78.8600    +78.8600  |ST-L    |2020AJ....160...83S
952 |HD 358553                                                                                                |Star                              |20 52 08.0887974480 -18 14 23.838483516|028.6907641958836 -34.5816828996620| -4.622 -17.650   |10.674   |K0              |    ~     ~    |    1|  846.664   pc  | -38.7000    +38.7000  |ST-L    |2020AJ....160...83S
953 |NGC 6986                           NGC 6986                                                              |Galaxy towards a Group of Galaxies|20 56 30.6562101432 -18 33 59.489937360|028.7659129659001 -35.6681788831456|  -0.626 -0.554   |     ~   |~               |0.707 0.481    |    1|  118.66    Mpc |                       |redshift|2007ApJ...655..790C
954 |HD 358615                                                                                                |Star                              |20 57 22.5061987248 -16 43 02.237850984|030.9736805636133 -35.1927003409501|   3.730 -6.706   |9.97     |M0              |    ~     ~    |    1| 1171.234   pc  | -38.1358    +38.1358  |paral   |2020yCat.1350....0G
955 |HD 358623                                                                                                |BY Dra Variable                   |20 56 02.738688 -17 10 53.80428        |030.302652524 -35.068209111        |     57.6 -59.9   |10.625   |K7              |    ~     ~    |    1|   45.832   pc  |  -0.2244     +0.2244  |ST-L    |2020AJ....160...83S
956 |BD-18 5801                                                                                               |Rotating Variable                 |20 53 29.6710815312 -17 34 25.319902080|029.5874510736318 -34.6442032177596|  8.932 -42.604   |10.26    |K2V             |    ~     ~    |    1|   76.566   pc  |  -0.3771     +0.3771  |ST-L    |2020AJ....160...83S
957 |BD-17 6107                                                                                               |High Proper Motion Star           |20 51 36.8491750152 -17 08 20.721540912|029.8791842935847 -34.0678330381058|  53.202 15.549   |10.24    |~               |    ~     ~    |    1|  361.422   pc  |  -9.5620     +9.5620  |ST-L    |2020AJ....160...83S
958 |HD 358546                                                                                                |Star                              |20 52 33.7826323368 -17 43 11.319231432|029.3245162509026 -34.4902119469405|   0.242 -7.172   |10.19    |K7              |    ~     ~    |    1| 1140.511   pc  | -26.0153    +26.0153  |paral   |2020yCat.1350....0G
959 |BD-18 5799                                                                                               |Star                              |20 52 35.9463479184 -18 14 56.181631236|028.7282332026071 -34.6879030017640|   4.361 23.777   |10.32    |~               |    ~     ~    |    1|  223.025   pc  |  -0.9351     +0.9351  |paral   |2020yCat.1350....0G
960 |HD 358620                                                                                                |Star                              |20 54 43.0592795520 -17 10 54.932447676|030.1606293944351 -34.7731781990566|  16.813 -2.998   |10.006   |G0              |    ~     ~    |    1|  233.970   pc  |  -3.1580     +3.1580  |ST-L    |2020AJ....160...83S
961 |HD 358605                                                                                                |High Proper Motion Star           |20 55 06.6370470288 -16 40 09.431215716|030.7825161762682 -34.6713641001128|-24.082 -65.341   |10.135   |G0              |    ~     ~    |    1|  156.738   pc  |  -1.4170     +1.4170  |ST-L    |2020AJ....160...83S
962 |HD 358669                                                                                                |Star                              |20 56 49.1109705792 -18 12 09.476589420|029.2165363442317 -35.6080126707725|   3.360 -3.614   |10.65    |G5              |    ~     ~    |    1|  614.439   pc  |  -6.9467     +6.9467  |paral   |2020yCat.1350....0G
963 |BD-18 5822                                                                                               |High Proper Motion Star           |20 59 49.8237184080 -17 58 43.351795416|029.7892293727971 -36.1972892099096|-61.445 -52.831   |10.398   |~               |    ~     ~    |    1|  158.318   pc  |  -1.8150     +1.8150  |ST-L    |2020AJ....160...83S
964 |HD 358642                                                                                                |Star                              |20 59 52.0122164520 -17 50 20.146794828|029.9548017063176 -36.1554440100380|  11.944 -4.808   |9.921    |F8              |    ~     ~    |    1|  239.177   pc  |  -3.5410     +3.5410  |paral   |2020yCat.1350....0G
965 |HD 199143                                                                                                |High Proper Motion Star           |20 55 47.6748292416 -17 06 51.061731768|030.3524258627907 -34.9876951471252| 55.730 -58.673   |7.32     |F8V             |    ~     ~    |    1|   45.911   pc  |  -0.0704     +0.0704  |paral   |2020yCat.1350....0G
966 |HD 358549                                                                                                |Star                              |20 53 30.6970117224 -17 53 23.992153368|029.2304264673393 -34.7621454616338| 10.471 -14.254   |10.10    |G0              |    ~     ~    |    1|  158.013   pc  |  -0.4919     +0.4919  |paral   |2020yCat.1350....0G
967 |HD 358545                                                                                                |Star                              |20 52 05.9412531840 -17 41 05.297193708|029.3156501349083 -34.3745182669671| 25.254 -18.037   |10.50    |G0              |    ~     ~    |    1|  126.496   pc  |  -0.2640     +0.2640  |paral   |2020yCat.1350....0G
968 |HD 358523                                                                                                |Star                              |20 52 23.2921715280 -17 03 43.013709792|030.0480451369460 -34.2114531381205|-14.605 -21.321   |10.360   |K2              |    ~     ~    |    1|  609.934   pc  | -26.7000    +26.7000  |ST-L    |2020AJ....160...83S
969 |HD 358621                                                                                                |High Proper Motion Star           |20 55 02.4553695240 -17 04 37.276665636|030.3139615634481 -34.8065377592077| 165.076 12.883   |10.742   |G5              |    ~     ~    |    1|  151.594   pc  |  -1.4610     +1.4610  |ST-L    |2020AJ....160...83S
970 |HD 358622                                                                                                |Star                              |20 55 22.6769071224 -17 16 13.936911240|030.1304157151506 -34.9523344840275|  -8.216 -2.671   |10.533   |K5              |    ~     ~    |    1| 1538.230   pc  |-133.6000   +133.6000  |ST-L    |2020AJ....160...83S
971 |HD 358625                                                                                                |Long-Period Variable Candidate    |20 58 01.2328829808 -17 00 18.267178212|030.7157737058604 -35.4424642672161|    8.187 2.714   |10.81    |M               |    ~     ~    |    1| 2256.32    pc  |-169.529    +169.529   |paral   |2020yCat.1350....0G
972 |HD 358626                                                                                                |Star                              |20 58 48.4592660208 -17 07 12.210311100|030.6691389784375 -35.6596489592960| -16.677 -6.755   |10.995   |G5              |    ~     ~    |    1|  838.548   pc  | -53.3800    +53.3800  |ST-L    |2020AJ....160...83S
973 |HD 358629                                                                                                |Star                              |20 59 13.1253023952 -17 20 41.312419944|030.4554629912505 -35.8330659941826|   9.542 -2.850   |10.947   |G0              |    ~     ~    |    1|  593.383   pc  | -20.1500    +20.1500  |ST-L    |2020AJ....160...83S
974 |HD 358643                                                                                                |High Proper Motion Star           |20 59 38.1987042504 -17 48 49.704736320|029.9595354276319 -36.0952875338972|  -3.153 61.471   |10.413   |K0              |    ~     ~    |    1|   78.231   pc  |  -0.3883     +0.3883  |ST-L    |2020AJ....160...83S
975 |HD 358627                                                                                                |Star                              |20 59 43.1957563224 -17 16 04.147615164|030.5977038072761 -35.9164470836248|   2.408 -3.603   |10.220   |G5              |    ~     ~    |    1|  782.666   pc  | -37.9400    +37.9400  |ST-L    |2020AJ....160...83S
976 |HD 358628                                                                                                |Star                              |20 59 47.7176180808 -17 23 49.551480852|030.4570305845553 -35.9802240546525|  6.850 -19.691   |10.43    |F5              |    ~     ~    |    1|  334.349   pc  |  -6.1960     +6.1960  |ST-L    |2020AJ....160...83S
977 |HD 358680                                                                                                |Star                              |20 59 52.1827372968 -18 24 25.129778652|029.2965171730073 -36.3577025006774| 15.283 -16.084   |9.78     |K0              |    ~     ~    |    1|  590.249   pc  |  -5.7485     +5.7485  |paral   |2020yCat.1350....0G
978 |HD 358679                                                                                                |Star                              |20 59 53.5556634816 -18 21 14.333589036|029.3604816298616 -36.3441250375441|  -29.592 1.474   |10.230   |G0              |    ~     ~    |    1|  259.482   pc  |  -4.1740     +4.1740  |ST-L    |2020AJ....160...83S
979 |BD-19 5933                                                                                               |Long-Period Variable Candidate    |20 50 35.5991277168 -18 31 27.155505900|028.2110912742385 -34.3405846279911|  -1.105 -0.972   |10.35    |~               |    ~     ~    |    1| 2082.9     pc  |-110.631    +110.631   |paral   |2020yCat.1350....0G
980 |HD 358561                                                                                                |Star                              |20 53 19.9288905000 -18 34 03.706523004|028.4400178866801 -34.9633384963840|-13.329 -20.563   |10.74    |K5              |    ~     ~    |    1| 1402.131   pc  | -43.0548    +43.0548  |paral   |2020yCat.1350....0G
981 |HD 358644                                                                                                |Star                              |20 58 49.1797890264 -17 46 07.368167964|029.9253146307268 -35.8975795832457|    5.259 2.423   |10.924   |G0              |    ~     ~    |    1|  546.241   pc  | -19.3000    +19.3000  |ST-L    |2020AJ....160...83S
982 |HD 358554                                                                                                |Star                              |20 51 26.5459266696 -17 57 56.230677288|028.9301510324481 -34.3299555400120|-10.826 -15.468   |10.51    |K5              |    ~     ~    |    1| 1438.021   pc  | -33.7069    +33.7069  |paral   |2020yCat.1350....0G
983 |HD 358542                                                                                                |High Proper Motion Star           |20 52 16.5540002016 -17 30 41.926215024|029.5296555259082 -34.3510072703954| 13.329 -80.406   |10.68    |G5              |    ~     ~    |    1|   81.508   pc  |  -0.1096     +0.1096  |paral   |2020yCat.1350....0G
984 |HD 358670                                                                                                |Star                              |20 55 52.8644328768 -18 04 16.034953224|029.2701710002082 -35.3530805878039|    0.652 3.951   |10.680   |A3              |    ~     ~    |    1|  795.102   pc  | -14.7300    +14.7300  |paral   |2020yCat.1350....0G
985 |HD 358624                                                                                                |Star                              |20 56 56.8829493696 -17 05 10.208726808|030.5078984060275 -35.2338154790200|    6.176 0.356   |10.517   |F5              |    ~     ~    |    1|  225.908   pc  | +28.397     +65       |ST-L    |2017AJ....153...75K
986 |HD 358528                                                                                                |Star                              |20 50 30.1423006656 -17 10 07.092896628|029.7284056361390 -33.8316917103012| -3.829 -10.668   |10.813   |K7              |    ~     ~    |    1| 1351.190   pc  |-106.3000   +106.3000  |ST-L    |2020AJ....160...83S
987 |HD 358535                                                                                                |High Proper Motion Star           |20 54 08.3871146640 -17 23 58.948387008|029.8525705999731 -34.7243236989412|-28.599 -47.200   |10.87    |G0              |    ~     ~    |    1|  288.247   pc  |  -5.3250     +5.3250  |ST-L    |2020AJ....160...83S
988 |HD 358557                                                                                                |Star                              |20 51 56.8022939496 -18 33 12.873908124|028.3151931222674 -34.6510791118820| -4.872 -13.885   |10.56    |F0              |    ~     ~    |    1|  389.120   pc  |  -2.2712     +2.2712  |paral   |2020yCat.1350....0G
989 |HD 358565                                                                                                |Star                              |20 53 46.2698537880 -18 48 54.905506560|028.2013423507402 -35.1475110251690| -6.478 -20.830   |10.90    |K0              |    ~     ~    |    1|  158.250   pc  |  -0.8565     +0.8565  |paral   |2020yCat.1350....0G
