C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:33:15

dec< 0&rah >=20.75&rah< 21.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 4200

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------|-----|----------------|-----------------------|--------|-------------------
22  |NAME Speedy Mic                    V* BO Mic                                                             |BY Dra Variable                   |20 47 45.0056152368 -36 35 40.769832192|006.2491409429665 -38.2508208840447| 18.735 -81.712   |9.337    |K3V(e)          |    ~     ~    |    1|   51.025   pc  |  -1.4957     +1.4957  |paral   |2020yCat.1350....0G
23  |CD-34 14615                                                                                              |Star                              |20 46 03.8031597816 -34 31 09.398232264|008.7822480645981 -37.5933377107606|  -16.407 8.965   |10.95    |~               |    ~     ~    |    1|  375.066   pc  |  -2.6306     +2.6306  |paral   |2020yCat.1350....0G
24  |CD-37 13917                                                                                              |Star                              |20 46 04.6072320000 -36 37 20.711524764|006.1547038160829 -37.9221734364585|  3.136 -26.708   |10.75    |~               |    ~     ~    |    1|  290.841   pc  |  -1.2350     +1.2350  |paral   |2020yCat.1350....0G
25  |CD-36 14400                                                                                              |Star                              |20 46 50.8007339376 -36 30 55.520399196|006.3167707518066 -38.0601242431806|  1.102 -34.061   |10.96    |~               |    ~     ~    |    1|  232.677   pc  |  -0.9745     +0.9745  |paral   |2020yCat.1350....0G
26  |CD-35 14348                                                                                              |Star                              |20 46 51.4864183872 -34 54 10.020342960|008.3383913625296 -37.8179170034128|  -2.996 -4.060   |10.28    |~               |    ~     ~    |    1| 1037.990   pc  | -19.5014    +19.5014  |paral   |2020yCat.1350....0G
27  |CD-36 14401                                                                                              |Spectroscopic Binary              |20 46 51.9557030400 -36 23 29.170350456|006.4733337956311 -38.0463884666671|  10.421 -2.761   |10.36    |~               |    ~     ~    |    1|  460.426   pc  |  -9.1793     +9.1793  |paral   |2020yCat.1350....0G
28  |CD-35 14352                                                                                              |Star                              |20 47 08.4581089152 -35 21 18.828832824|007.7840908923216 -37.9469625373937| -5.361 -12.439   |10.56    |~               |    ~     ~    |    1|  506.329   pc  |  -4.8197     +4.8197  |paral   |2020yCat.1350....0G
29  |CD-35 14358                                                                                              |Star                              |20 47 50.5375480104 -35 00 21.863221884|008.2502092614389 -38.0335502538553|   6.434 -9.933   |10.66    |~               |    ~     ~    |    1|  864.304   pc  | -11.5788    +11.5788  |paral   |2020yCat.1350....0G
30  |CD-35 14362                                                                                              |Star                              |20 48 01.1410318560 -35 24 54.580710204|007.7439977625908 -38.1330337834932|  -1.012 -0.458   |10.829   |~               |    ~     ~    |    1| 1810.930   pc  |-179.4000   +179.4000  |ST-L    |2020AJ....160...83S
31  |CD-34 14635                                                                                              |Star                              |20 48 02.2401007320 -34 31 46.387548408|008.8552972680774 -37.9959264956053|-12.703 -12.457   |10.48    |~               |    ~     ~    |    1|  197.426   pc  |  -0.9861     +0.9861  |paral   |2020yCat.1350....0G
32  |CD-35 14331                                                                                              |Star                              |20 45 23.1396109368 -35 23 46.000661748|007.6618226593877 -37.6000369404935|    1.618 1.436   |10.045   |~               |    ~     ~    |    1|  847.489   pc  | -48.2400    +48.2400  |ST-L    |2020AJ....160...83S
33  |TYC 7465-553-1                                                                                           |High Proper Motion Star           |20 48 42.6770454672 -33 59 40.431328476|009.5544189840852 -38.0434537346514| 77.301 -23.055   |10.67    |~               |    ~     ~    |    1|  113.594   pc  |  -0.2245     +0.2245  |paral   |2020yCat.1350....0G
34  |TYC 7465-803-1                                                                                           |Star                              |20 47 52.9292086560 -34 45 50.623490088|008.5550847268957 -38.0027755567714|  2.048 -23.200   |10.97    |~               |    ~     ~    |    1|  349.211   pc  |  -2.4024     +2.4024  |paral   |2020yCat.1350....0G
35  |TYC 7465-1163-1                                                                                          |Star                              |20 45 53.5616182824 -35 23 35.907515376|007.6859803307197 -37.7016210444421|   5.076 -7.733   |10.26    |~               |    ~     ~    |    1|  606.980   pc  |  -5.6001     +5.6001  |paral   |2020yCat.1350....0G
36  |TYC 7465-1300-1                                                                                          |Star                              |20 45 09.9486750312 -35 21 14.220172656|007.7053307402707 -37.5490771266076|  9.136 -31.331   |10.99    |~               |    ~     ~    |    1|  285.242   pc  |  -1.7005     +1.7005  |paral   |2020yCat.1350....0G
37  |TYC 7465-1314-1                                                                                          |Star                              |20 48 40.9017015432 -35 11 36.620787876|008.0491000876817 -38.2325095947774|  4.576 -21.996   |10.57    |~               |    ~     ~    |    1|  354.484   pc  |  -2.2116     +2.2116  |paral   |2020yCat.1350....0G
38  |* alf Mic                                                                                                |Star                              |20 49 58.0810451616 -33 46 46.934378400|009.8803092435839 -38.2637200325237| 15.057 -23.524   |4.890    |G8III           |    ~     ~    |    1|  121.200   pc  |  -2.2960     +2.2960  |paral   |2020yCat.1350....0G
39  |CD-34 14666                                                                                              |Star                              |20 50 38.1745431288 -33 44 19.147176348|009.9621003464142 -38.3935589430643| 13.729 -18.861   |10.499   |~               |    ~     ~    |    1|  294.036   pc  |  -6.0530     +6.0530  |ST-L    |2020AJ....160...83S
40  |CD-34 14655                                                                                              |Star                              |20 49 48.8059909008 -33 55 25.925467872|009.6924301871002 -38.2566427566271|    9.538 5.329   |8.82     |K2              |    ~     ~    |    1|  550.358   pc  |  -7.0271     +7.0271  |paral   |2020yCat.1350....0G
41  |HD 198489                                                                                                |Star                              |20 51 43.2830799576 -34 20 27.612769920|009.2499422790473 -38.7148130262017|  -5.214 -1.638   |9.13     |A7/8V           |    ~     ~    |    1|  316.317   pc  |  -7.0230     +7.0230  |ST-L    |2020AJ....160...83S
