C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:01:49

dec< 0&rah >=11.75&rah< 12.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5766

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type     |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|--------------------|---------------------|-----|----------------|-----------------------|--------|-------------------
22  |TYC 4931-222-1                                                                                           |Star                              |11 46 55.8123889488 -01 34 57.579898836|271.9510577088103 +57.3567932258898|-39.777 -15.601    |10.859   |~                   |    ~     ~          |    1|  199.490   pc  |  -2.4180     +2.4180  |ST-L    |2020AJ....160...83S
23  |TYC 4931-286-1                                                                                           |Star                              |11 48 09.0992194080 -01 33 47.156553432|272.4395103370703 +57.5131124283717|-12.758 -13.822    |10.93    |~                   |    ~     ~          |    1|  365.898   pc  |  -3.2533     +3.2533  |paral   |2020yCat.1350....0G
24  |TYC 4931-540-1                                                                                           |Spectroscopic Binary              |11 45 16.9235668368 -01 01 28.510819896|270.7884703347163 +57.6586497632792| 19.230 -22.953    |10.69    |~                   |    ~     ~          |    1|  313.420   pc  |  -7.4220     +7.4220  |ST-L    |2020AJ....160...83S
25  |TYC 4931-777-1                                                                                           |Star                              |11 48 19.6121426208 -01 20 46.907289456|272.3293044342419 +57.7262057010887|  31.615 -9.431    |10.468   |~                   |    ~     ~          |    1|  391.315   pc  |  -9.7870     +9.7870  |ST-L    |2020AJ....160...83S
26  |BD-02 3407                                                                                               |Star                              |11 45 04.8451171416 -02 54 48.666089556|272.3074446032777 +55.9617053418600| -18.182 -2.229    |9.828    |K0                  |    ~     ~          |    1|  330.605   pc  |  -6.4720     +6.4720  |ST-L    |2020AJ....160...83S
27  |HD 102274                                                                                                |High Proper Motion Star           |11 46 19.5496541520 -03 00 08.740144836|272.8752890634996 +56.0222508449439| -68.701 -0.526    |7.67     |K1/2III             |    ~     ~          |    1|  228.024   pc  |  -1.2427     +1.2427  |paral   |2020yCat.1350....0G
28  |BD-02 3416                                                                                               |Star                              |11 47 55.2105320880 -03 00 46.072913292|273.5237641966292 +56.1888823506939|  -29.522 2.678    |10.38    |~                   |    ~     ~          |    1|  182.512   pc  |  -0.5963     +0.5963  |paral   |2020yCat.1350....0G
29  |BD-01 2569                                                                                               |Star                              |11 47 01.2289184160 -02 48 59.463328608|273.0053658845217 +56.2659567899633|-12.565 -10.254    |10.454   |~                   |    ~     ~          |    1|  308.325   pc  |  -7.9260     +7.9260  |ST-L    |2020AJ....160...83S
30  |HD 102331                                                                                                |Star                              |11 46 40.6754295480 -03 44 32.680649184|273.5953450202886 +55.3971566738780| 17.969 -39.289    |7.57     |F3V                 |    ~     ~          |    1|   64.078   pc  |  -0.1055     +0.1055  |paral   |2020yCat.1350....0G
31  |HD 102432                                                                                                |Star                              |11 47 21.0309741288 -03 05 06.635146380|273.3514731197438 +56.0614414671570| -35.204 16.497    |9.14     |G6/8V               |    ~     ~          |    1|  384.349   pc  | -26.3836    +26.3836  |paral   |2020yCat.1350....0G
32  |HD 102497                                                                                                |Star                              |11 47 47.8526376672 -03 41 56.487314580|274.0060830375489 +55.5575123254883| -2.874 -25.919    |9.36     |K0III/IV            |    ~     ~          |    1|  413.462   pc  |  -3.5387     +3.5387  |paral   |2020yCat.1350....0G
33  |HD 102572                                                                                                |Star                              |11 48 26.1555764088 -03 14 20.041463076|273.9081229860651 +56.0413093526169| -22.065 -3.103    |7.85     |A9V                 |    ~     ~          |    1|  324.992   pc  |  -2.7039     +2.7039  |paral   |2020yCat.1350....0G
34  |HD 102332                                                                                                |Star                              |11 46 44.2238674512 -04 41 44.118774960|274.3362082899155 +54.5439572983434|-30.657 -26.327    |8.51     |F3V                 |    ~     ~          |    1|  135.170   pc  |  -0.4604     +0.4604  |paral   |2020yCat.1350....0G
35  |HD 102284                                                                                                |High Proper Motion Star           |11 46 21.0876572448 -05 20 56.041246140|274.6629402502034 +53.9118485385408|  -57.060 2.819    |8.54     |F0V                 |    ~     ~          |    1|  168.554   pc  |  -0.8495     +0.8495  |paral   |2020yCat.1350....0G
36  |HD 102391                                                                                                |Star                              |11 47 09.8085979848 -05 10 49.939052700|274.8540057642547 +54.1497887357263|  -0.288 -9.109    |8.43     |M0III               |    ~     ~          |    1|  574.911   pc  |  -8.1309     +8.1309  |paral   |2020yCat.1350....0G
