C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:01:49

dec< 0&rah >=11.75&rah< 12.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5766

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type     |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|--------------------|---------------------|-----|----------------|-----------------------|--------|-------------------
319 |CD-30 9443                                                                                               |Star                              |11 46 17.3396113368 -30 41 36.462354288|286.7423867953705 +30.1219397609993|-39.556 -25.671    |10.50    |~                   |    ~     ~          |    1|  227.490   pc  |  -0.8901     +0.8901  |paral   |2020yCat.1350....0G
320 |CD-29 9343                                                                                               |Star                              |11 47 35.9362066200 -30 19 48.157598784|286.9350139097019 +30.5509317607054| -19.835 -4.941    |10.538   |~                   |    ~     ~          |    1|  833.285   pc  | -32.5000    +32.5000  |ST-L    |2020AJ....160...83S
321 |TYC 7217-1080-1                                                                                          |Star                              |11 48 25.5475030368 -30 04 00.870036456|287.0477683771882 +30.8538515537566|  -10.380 0.841    |10.479   |~                   |    ~     ~          |    1|  673.898   pc  | -35.3400    +35.3400  |ST-L    |2020AJ....160...83S
322 |TYC 6677-407-1                                                                                           |Star                              |11 46 01.6704937752 -29 48 56.748713076|286.3838531416398 +30.9454509227596|  -5.408 -5.367    |10.86    |~                   |    ~     ~          |    1| 1306.165   pc  | -27.2971    +27.2971  |paral   |2020yCat.1350....0G
323 |TYC 6677-497-1                                                                                           |Star                              |11 48 09.9335040432 -29 52 22.474793496|286.9208869359805 +31.0240522879277| -20.118 -3.063    |10.87    |~                   |    ~     ~          |    1|  626.307   pc  | -21.3400    +21.3400  |ST-L    |2020AJ....160...83S
324 |TYC 6677-821-1                                                                                           |Star                              |11 47 15.2838440616 -29 20 58.577957844|286.5240767039156 +31.4689669882276| -3.038 -18.412    |10.676   |~                   |    ~     ~          |    1| 1033.030   pc  | -59.5800    +59.5800  |ST-L    |2020AJ....160...83S
325 |TYC 7217-288-1                                                                                           |Star                              |11 45 19.2967599408 -30 39 23.167133316|286.4998765456543 +30.0969187014342|  -11.431 2.232    |10.73    |~                   |    ~     ~          |    1|  654.799   pc  | -29.2400    +29.2400  |ST-L    |2020AJ....160...83S
326 |TYC 7217-930-1                                                                                           |High Proper Motion Star           |11 48 27.1020624672 -30 10 15.395897892|287.0880948151023 +30.7555920143204|-18.570 -69.733    |10.62    |~                   |    ~     ~          |    1|  129.082   pc  |  -0.9177     +0.9177  |ST-L    |2020AJ....160...83S
327 |TYC 7217-1077-1                                                                                          |Star                              |11 48 11.9888757168 -30 32 03.823978704|287.1461772701894 +30.3915183660993| -1.488 -10.519    |10.762   |~                   |    ~     ~          |    1|  940.786   pc  | -32.9000    +32.9000  |ST-L    |2020AJ....160...83S
328 |HD 102214                                                                                                |Star                              |11 45 39.5480279376 -30 57 18.309645180|286.6804039820885 +29.8323721147395|  -32.229 8.895    |8.03     |K1/2III             |    ~     ~          |    1|  393.437   pc  |  -3.4364     +3.4364  |paral   |2020yCat.1350....0G
329 |HD 102335                                                                                                |Star                              |11 46 33.6284016816 -30 55 43.039955172|286.8849923092800 +29.9134895672948| -34.015 -4.945    |7.87     |K2/3III/IV          |    ~     ~          |    1|  379.824   pc  |  -3.4768     +3.4768  |paral   |2020yCat.1350....0G
330 |HD 102347                                                                                                |Star                              |11 46 39.6768881352 -31 07 32.876107068|286.9739149354909 +29.7307509219558|    0.778 0.838    |10.034   |A3IV                |    ~     ~          |    1|  397.934   pc  | -12.4400    +12.4400  |ST-L    |2020AJ....160...83S
331 |CD-30 9471                                                                                               |Star                              |11 48 39.4364179056 -31 06 23.168489292|287.4399885089310 +29.8696912790567| -40.935 20.808    |10.552   |G2                  |    ~     ~          |    1|  195.751   pc  |  -3.0910     +3.0910  |ST-L    |2020AJ....160...83S
332 |CD-30 9439                                                                                               |Star                              |11 46 10.9820436936 -30 58 13.332265500|286.8094435647670 +29.8502373368074|  -11.481 6.685    |10.45    |~                   |    ~     ~          |    1|  560.538   pc  | -14.6104    +14.6104  |paral   |2020yCat.1350....0G
333 |CD-30 9460                                                                                               |Star                              |11 47 35.3960452944 -30 59 29.334547428|287.1497235160168 +29.9160359708123|-17.999 -15.978    |10.706   |~                   |    ~     ~          |    1|  486.844   pc  | -13.2500    +13.2500  |ST-L    |2020AJ....160...83S
334 |CD-30 9462                                                                                               |Star                              |11 47 37.8133446456 -31 00 03.576046320|287.1623766370065 +29.9093483374200|   -5.990 1.415    |10.898   |~                   |    ~     ~          |    1|  457.686   pc  | -14.0300    +14.0300  |ST-L    |2020AJ....160...83S
335 |HD 102215                                                                                                |Star                              |11 45 42.2429829888 -31 39 32.651421300|286.9250093330205 +29.1612836312484| -31.741 -3.450    |10.405   |K(1)                |    ~     ~          |    1|  638.588   pc  | -25.6100    +25.6100  |ST-L    |2020AJ....160...83S
336 |CD-30 9450                                                                                               |Star                              |11 47 01.9617217296 -31 28 57.438267276|287.1781172047540 +29.4112611548395|    1.592 3.607    |10.289   |K0                  |    ~     ~          |    1|  661.656   pc  | -38.7000    +38.7000  |ST-L    |2020AJ....160...83S
337 |HD 102454                                                                                                |alpha2 CVn Variable               |11 47 26.2093879056 -31 15 17.140881780|287.1991498393658 +29.6542159562956|-11.543 -10.106    |7.31     |ApSi                |    ~     ~          |    1|  282.821   pc  |  -8.0068     +8.0068  |paral   |2020yCat.1350....0G
338 |HD 102471                                                                                                |Star                              |11 47 28.2481188312 -31 11 02.437449540|287.1841795966235 +29.7241397786260| -16.099 -8.729    |9.16     |K4(III)             |    ~     ~          |    1|  807.754   pc  | -14.8763    +14.8763  |paral   |2020yCat.1350....0G
339 |HD 102621                                                                                                |Star                              |11 48 40.4392017840 -31 36 41.796646524|287.6048766917719 +29.3852631165070|  -14.778 5.901    |9.91     |M2/3                |    ~     ~          |    1| 1419.849   pc  | -39.7147    +39.7147  |paral   |2020yCat.1350....0G
340 |HD 102108                                                                                                |Star                              |11 45 03.6235587816 -31 46 35.974150572|286.8140346482038 +29.0091042067399| -12.896 -8.051    |8.01     |K0III               |    ~     ~          |    1|  281.905   pc  |  -1.8914     +1.8914  |paral   |2020yCat.1350....0G
341 |HD 102147                                                                                                |Star                              |11 45 25.2458031096 -31 42 40.842313632|286.8762443851250 +29.0938297528798|   -9.900 1.682    |9.42     |G8III               |    ~     ~          |    1|  607.460   pc  |  -7.2325     +7.2325  |paral   |2020yCat.1350....0G
342 |HD 102231                                                                                                |Star                              |11 45 43.0827755808 -32 15 47.849779368|287.1266236656322 +28.5834235797670|   0.405 -3.751    |8.60     |G6IV                |    ~     ~          |    1|  347.596   pc  |  -2.4044     +2.4044  |paral   |2020yCat.1350....0G
343 |HD 102216                                                                                                |Star                              |11 45 46.4022700224 -31 58 44.503098852|287.0464144340259 +28.8590951685369|  -24.929 2.130    |9.29     |K0/1III             |    ~     ~          |    1|  420.256   pc  |  -2.8788     +2.8788  |paral   |2020yCat.1350....0G
344 |HD 102314                                                                                                |Star                              |11 46 29.3710331808 -32 09 59.385034908|287.2733874458965 +28.7227394866669|  -41.509 1.073    |10.279   |F2/3(V)             |    ~     ~          |    1|  253.317   pc  |  -4.9360     +4.9360  |ST-L    |2020AJ....160...83S
345 |HD 102364                                                                                                |Star                              |11 46 46.6819898016 -32 02 40.020100548|287.3007890343542 +28.8570953339370|  -16.675 7.245    |10.20    |G8                  |    ~     ~          |    1|  701.320   pc  | -40.1200    +40.1200  |ST-L    |2020AJ....160...83S
346 |HD 102576                                                                                                |High Proper Motion Star           |11 48 20.0428743960 -31 51 15.279822144|287.6021925826107 +29.1321025026240|-77.151 -14.159    |10.392   |G5/6V               |    ~     ~          |    1|  113.756   pc  |  -0.9060     +0.9060  |ST-L    |2020AJ....160...83S
347 |HD 102594                                                                                                |delta Sct Variable                |11 48 27.1782678792 -31 58 07.383830484|287.6661764569593 +29.0290769371809| -11.381 -2.733    |10.409   |Fm_dD               |    ~     ~          |    1|  554.584   pc  | -19.0900    +19.0900  |ST-L    |2020AJ....160...83S
348 |CD-31 9226                                                                                               |Star                              |11 45 33.6078366576 -32 22 34.842485532|287.1271557172800 +28.4655509697081| -27.338 -3.234    |10.456   |F2                  |    ~     ~          |    1|  281.307   pc  |  -5.0550     +5.0550  |ST-L    |2020AJ....160...83S
349 |HD 102336                                                                                                |Star                              |11 46 33.1130776536 -32 19 45.157087668|287.3403480188931 +28.5704349781969| -37.930 15.692    |9.32     |F3/5V               |    ~     ~          |    1|  172.624   pc  |  -5.5510     +5.5510  |ST-L    |2020AJ....160...83S
350 |HD 102455                                                                                                |Star                              |11 47 21.1552379688 -32 23 33.033164316|287.5453684896229 +28.5572702293556| -30.509 -6.706    |9.967    |F5V                 |    ~     ~          |    1|  220.708   pc  |  -4.1340     +4.1340  |ST-L    |2020AJ....160...83S
351 |HD 102539                                                                                                |Spectroscopic Binary              |11 47 55.9716196080 -32 23 20.905636632|287.6782723925008 +28.5946178401772| -0.366 -16.371    |9.17     |K1III               |    ~     ~          |    1|  356.240   pc  |  -9.3911     +9.3911  |paral   |2020yCat.1350....0G
352 |HD 102127                                                                                                |Star                              |11 45 08.7236526864 -33 38 21.644097324|287.4418229602178 +27.2305102095503| 25.761 -24.434    |9.91     |G3/5V               |    ~     ~          |    1|  226.787   pc  |  -3.1750     +3.1750  |ST-L    |2020AJ....160...83S
353 |HD 102411                                                                                                |Star                              |11 47 06.9677994504 -33 08 34.521645588|287.7289212982526 +27.8228188820255|  -4.641 -4.491    |9.63     |A4IV                |    ~     ~          |    1|  482.413   pc  | -17.1500    +17.1500  |ST-L    |2020AJ....160...83S
354 |HD 102412                                                                                                |Star                              |11 47 05.7980725536 -33 35 34.456606368|287.8657915881072 +27.3894718786572|  -35.720 4.482    |8.04     |A2V                 |    ~     ~          |    1|  256.141   pc  |  -2.2372     +2.2372  |paral   |2020yCat.1350....0G
355 |HD 102422                                                                                                |Star                              |11 47 13.9691565792 -32 49 10.088610312|287.6533785560887 +28.1402628133885|  3.971 -31.676    |9.63     |F5V                 |    ~     ~          |    1|  151.643   pc  |  -1.4490     +1.4490  |ST-L    |2020AJ....160...83S
356 |HD 102439                                                                                                |Star                              |11 47 15.4958434224 -33 24 29.096944344|287.8444433857043 +27.5763833024151|   -4.164 3.930    |8.63     |K0III               |    ~     ~          |    1|  365.203   pc  |  -2.8809     +2.8809  |paral   |2020yCat.1350....0G
357 |HD 102489                                                                                                |High Proper Motion Star           |11 47 36.5883189672 -33 10 13.451397420|287.8497859108582 +27.8251121945505|  -55.425 7.230    |10.08    |F6V                 |    ~     ~          |    1|  222.891   pc  |  -1.2023     +1.2023  |paral   |2020yCat.1350....0G
358 |HD 102559                                                                                                |Star                              |11 48 11.2501536072 -33 20 40.564203252|288.0351758520656 +27.6908886125176|   4.434 -2.103    |9.04     |A1V                 |    ~     ~          |    1|  367.107   pc  |  -9.2181     +9.2181  |paral   |2020yCat.1350....0G
359 |V* Z Hya                                                                                                 |Long-Period Variable              |11 47 39.2812926552 -33 16 35.433412716|287.8931330773035 +27.7257357227679|  -18.902 3.216    |10.42    |~                   |    ~     ~          |    1| 2174.859   pc  |-105.0062   +105.0062  |paral   |2020yCat.1350....0G
360 |IRAS 11439-3216                                                                                          |Long-Period Variable Candidate    |11 46 26.6719223256 -32 33 16.913214612|287.3882281598404 +28.3477561890129|  -12.423 1.760    |10.59    |~                   |    ~     ~          |    1| 1755.62    pc  |-118.048    +118.048   |paral   |2020yCat.1350....0G
361 |CD-32 8298                                                                                               |Star                              |11 45 50.0234599848 -33 02 13.420811724|287.4037544051293 +27.8487939719010|  -9.997 -1.216    |10.515   |~                   |    ~     ~          |    1|  235.052   pc  |  -3.1020     +3.1020  |ST-L    |2020AJ....160...83S
362 |CD-32 8295                                                                                               |Star                              |11 45 13.7400558792 -33 15 14.460996348|287.3365844240760 +27.6047501769625|   -5.609 0.678    |10.921   |~                   |    ~     ~          |    1| 1351.940   pc  |-110.0000   +110.0000  |ST-L    |2020AJ....160...83S
363 |CD-31 9232                                                                                               |Star                              |11 45 56.3672394984 -31 53 42.347739228|287.0574590582000 +28.9496084674666| -12.287 -2.538    |10.820   |~                   |    ~     ~          |    1|  925.307   pc  | -37.3800    +37.3800  |ST-L    |2020AJ....160...83S
364 |CD-32 8299                                                                                               |Star                              |11 46 05.1920238360 -32 49 13.490214780|287.3916890317191 +28.0715868760345|    2.386 0.348    |10.36    |~                   |    ~     ~          |    1|  977.422   pc  | -18.5338    +18.5338  |paral   |2020yCat.1350....0G
365 |CD-32 8307                                                                                               |Star                              |11 46 58.8182474976 -33 05 40.340920164|287.6827656555694 +27.8613432602138|   -4.508 3.558    |10.23    |~                   |    ~     ~          |    1|  616.143   pc  |  -6.6056     +6.6056  |paral   |2020yCat.1350....0G
366 |CD-31 9247                                                                                               |Star                              |11 46 59.5379 -32 06 43.132            |287.3722582 +28.8051292            |  -13.30 -26.90    |10.561   |~                   |    ~     ~          |    1|  157.496   pc  |  -1.6310     +1.6310  |ST-L    |2020AJ....160...83S
367 |CD-30 9463                                                                                               |Star                              |11 47 46.1303444952 -31 19 47.273258568|287.3017485564664 +29.6021806184309|   -9.770 4.503    |10.945   |~                   |    ~     ~          |    1| 1141.370   pc  | -83.1300    +83.1300  |ST-L    |2020AJ....160...83S
368 |CD-32 8325                                                                                               |Star                              |11 48 14.0792524632 -32 49 56.489357100|287.8868164018005 +28.1861781766048| -15.886 -6.882    |10.219   |~                   |    ~     ~          |    1|  738.525   pc  | -22.3200    +22.3200  |ST-L    |2020AJ....160...83S
369 |CD-30 9469                                                                                               |Star                              |11 48 28.0866879360 -31 29 10.066503012|287.5165934703932 +29.4936979156170|   -5.345 7.186    |10.26    |~                   |    ~     ~          |    1| 1877.582   pc  | -66.6284    +66.6284  |paral   |2020yCat.1350....0G
370 |CD-32 8328                                                                                               |Star                              |11 48 29.5354876824 -33 18 44.636163048|288.0944051312770 +27.7392627398036|  7.115 -10.483    |10.897   |~                   |    ~     ~          |    1|  498.000   pc  | -15.7800    +15.7800  |ST-L    |2020AJ....160...83S
371 |TYC 7217-883-1                                                                                           |Star                              |11 45 27.4546890000 -31 12 42.923333988|286.7187598958263 +29.5740746014129|  -8.494 -3.538    |10.98    |~                   |    ~     ~          |    1|  546.206   pc  | -41.9300    +41.9300  |ST-L    |2020AJ....160...83S
372 |TYC 7221-62-1                                                                                            |Star                              |11 46 55.1113393224 -33 16 50.898244368|287.7275357976309 +27.6788800230556|  -9.384 -7.670    |10.671   |~                   |    ~     ~          |    1|  730.028   pc  | -31.7000    +31.7000  |ST-L    |2020AJ....160...83S
373 |TYC 7221-1554-1                                                                                          |Star                              |11 47 41.1018175944 -33 04 52.814066412|287.8390372056310 +27.9150594284252| -22.619 -4.528    |10.942   |~                   |    ~     ~          |    1|  200.091   pc  |  -2.5220     +2.5220  |ST-L    |2020AJ....160...83S
374 |CD-33 7942                                                                                               |High Proper Motion Star           |11 45 31.9182174600 -33 49 13.186769484|287.5862911485347 +27.0798718971764|-90.246 -16.122    |10.484   |G5                  |    ~     ~          |    1|  163.861   pc  |  -1.5640     +1.5640  |ST-L    |2020AJ....160...83S
375 |HD 102245                                                                                                |Star                              |11 45 57.9359475552 -33 50 10.524237864|287.6883710239034 +27.0900440570242| -37.895 -6.629    |9.60     |F7V                 |    ~     ~          |    1|  113.776   pc  |  -0.2058     +0.2058  |paral   |2020yCat.1350....0G
376 |HD 102456                                                                                                |Double or Multiple Star           |11 47 29.7448129152 -33 53 57.895977516|288.0508273088951 +27.1178582709764|  7.383 -20.249    |7.86     |K1III               |0.0067  0.0          |    1|  413.428   pc  | -11.5715    +11.5715  |paral   |2020yCat.1350....0G
377 |HD 102549                                                                                                |High Proper Motion Star           |11 48 08.1153303240 -33 43 09.785033400|288.1389553312190 +27.3274207624281| -53.491 20.647    |9.994    |G1V                 |    ~     ~          |    1|  156.269   pc  |  -1.4710     +1.4710  |ST-L    |2020AJ....160...83S
378 |CD-33 7952                                                                                               |Star                              |11 46 18.9083278464 -33 44 13.294037724|287.7353481740282 +27.2056899917354| -18.719 11.753    |10.482   |~                   |    ~     ~          |    1| 1075.990   pc  | -71.0500    +71.0500  |ST-L    |2020AJ....160...83S
379 |HD 102246                                                                                                |Star                              |11 45 57.4181892888 -34 12 52.370762076|287.8057696449182 +26.7265230605235| -31.931 -0.395    |10.22    |F6/7V               |    ~     ~          |    1|  299.428   pc  |  -3.8553     +3.8553  |paral   |2020yCat.1350....0G
380 |HD 102382                                                                                                |High Proper Motion Star           |11 46 59.9481241632 -34 10 35.512797324|288.0257086899981 +26.8231100434102|  -66.485 1.437    |9.763    |F2V                 |    ~     ~          |    1|  227.423   pc  |  -3.5590     +3.5590  |ST-L    |2020AJ....160...83S
381 |HD 102529                                                                                                |Star                              |11 47 57.0226631040 -34 04 54.064402392|288.2086965651591 +26.9684198371733|  -2.300 -3.585    |9.37     |G8IV                |    ~     ~          |    1|  544.514   pc  |  -5.0108     +5.0108  |paral   |2020yCat.1350....0G
382 |HD 102135                                                                                                |Star                              |11 45 17.1223429728 -34 17 55.438625328|287.6833605347982 +26.6066097583330|-16.202 -43.795    |10.251   |G2V                 |    ~     ~          |    1|  178.701   pc  |  -1.9220     +1.9220  |ST-L    |2020AJ....160...83S
383 |HD 102337                                                                                                |Star                              |11 46 41.2177296168 -34 20 55.285863180|288.0097437756145 +26.6398186490381|  -33.726 8.495    |9.56     |K2/3(III)           |    ~     ~          |    1|  751.202   pc  |  -7.9003     +7.9003  |paral   |2020yCat.1350....0G
384 |HD 102490                                                                                                |Star                              |11 47 39.1595742336 -34 27 04.053078540|288.2555067784335 +26.5962315409432|   37.562 0.317    |8.86     |F5V                 |    ~     ~          |    1|  157.178   pc  |  -0.4916     +0.4916  |paral   |2020yCat.1350....0G
385 |HD 102622                                                                                                |Star                              |11 48 39.3217213896 -34 22 40.731295044|288.4559937223958 +26.7227756754951|  -10.605 1.315    |9.71     |K1(III)             |    ~     ~          |    1|  613.497   pc  |  -6.4361     +6.4361  |paral   |2020yCat.1350....0G
386 |HD 102148                                                                                                |Star                              |11 45 18.4717317408 -34 48 36.405363600|287.8496625339516 +26.1173986151144|  -15.037 7.141    |8.92     |K1/2(III)           |    ~     ~          |    1|  372.620   pc  |  -2.5270     +2.5270  |paral   |2020yCat.1350....0G
387 |HD 102198                                                                                                |Star                              |11 45 37.4059384776 -35 36 19.241988300|288.1660155349306 +25.3721775679502|  -0.032 -8.651    |7.77     |K1III               |    ~     ~          |    1|  405.400   pc  |  -3.5992     +3.5992  |paral   |2020yCat.1350....0G
388 |HD 102288                                                                                                |High Proper Motion Star           |11 46 22.1283900600 -34 45 12.794342112|288.0650472775864 +26.2326900790770| 51.041 -38.181    |7.70     |A0V                 |    ~     ~          |    1|  198.322   pc  |  -4.6647     +4.6647  |paral   |2020yCat.1350....0G
389 |HD 102413                                                                                                |Star                              |11 47 10.8537883032 -35 23 48.920835120|288.4398390211035 +25.6600189411539|  -7.492 -3.376    |7.62     |F0V                 |    ~     ~          |    1|  100.267   pc  |  -0.2262     +0.2262  |paral   |2020yCat.1350....0G
390 |HD 102540                                                                                                |High Proper Motion Star           |11 48 03.8986918176 -35 13 31.200980952|288.5808258091859 +25.8741470652510|-157.122 -66.734   |7.106    |G5/6V               |    ~     ~          |    1|   76.286   pc  |  -1.2792     +1.2792  |paral   |2020yCat.1350....0G
391 |HD 102397                                                                                                |High Proper Motion Star           |11 47 07.0486782264 -35 54 24.714972900|288.5801260327611 +25.1659018168378| 40.273 -30.555    |6.147    |G8III               |    ~     ~          |    1|  106.437   pc  |  -2.1672     +2.1672  |paral   |2020yCat.1350....0G
392 |V* V919 Cen                                                                                              |Asymptotic Giant Branch Star      |11 48 39.2232025080 -35 59 12.920416044|288.9347935817980 +25.1725006836435|  -9.702 -7.444    |7.05     |M7III               |    ~     ~          |    1|  212.517   pc  |  -9.9947     +9.9947  |paral   |2020yCat.1350....0G
393 |HD 102149                                                                                                |High Proper Motion Star           |11 45 19.1134648200 -36 24 14.998414608|288.3463183793163 +24.5878267665161| 16.611 -65.859    |7.88     |K1III/IV            |    ~     ~          |    1|  194.099   pc  |  -0.8816     +0.8816  |paral   |2020yCat.1350....0G
394 |CD-35 7417                                                                                               |Star                              |11 45 23.9105750616 -36 24 30.513418740|288.3646295194308 +24.5881643013592|  -7.395 -1.846    |10.07    |~                   |    ~     ~          |    1|  280.049   pc  |  -5.1370     +5.1370  |paral   |2020yCat.1350....0G
395 |HD 102173                                                                                                |High Proper Motion Star           |11 45 26.6649974976 -36 21 07.129914588|288.3571097166678 +24.6450006668327|-55.353 -10.029    |8.21     |A5V(m)              |    ~     ~          |    1|  207.353   pc  |  -1.0835     +1.0835  |paral   |2020yCat.1350....0G
396 |HD 102398                                                                                                |Star                              |11 47 00.1862080680 -36 24 41.368373316|288.7070097354668 +24.6740286468247|  7.024 -21.697    |9.44     |A9/F2               |    ~     ~          |    1|  217.089   pc  |  -0.8200     +0.8200  |paral   |2020yCat.1350....0G
397 |CPD-35 4972                                                                                              |High Proper Motion Star           |11 46 21.0696360744 -35 56 27.281757228|288.4256176264964 +25.0906708003705| -56.771 14.725    |9.77     |~                   |    ~     ~          |    1|  199.259   pc  |  -0.7028     +0.7028  |paral   |2020yCat.1350....0G
398 |CD-34 7674                                                                                               |Star                              |11 46 27.4132228560 -34 49 10.281986112|288.1048267915955 +26.1743371659940|-25.647 -19.784    |9.70     |~                   |    ~     ~          |    1|  178.794   pc  |  -1.7930     +1.7930  |ST-L    |2020AJ....160...83S
399 |CD-34 7665                                                                                               |Double or Multiple Star           |11 45 53.738352 -35 19 21.15300        |288.137643772 +25.659220729        |     -72.9 -5.3    |9.92     |~                   |    ~     ~          |    0|                |                       |        |                   
400 |CD-35 7429                                                                                               |Star                              |11 46 25.5928534128 -35 43 38.772963228|288.3768704839313 +25.3000968106935|   0.875 -3.579    |10.43    |~                   |    ~     ~          |    1|  829.119   pc  | -12.0302    +12.0302  |paral   |2020yCat.1350....0G
401 |CD-35 7441                                                                                               |Star                              |11 47 26.0629996440 -36 05 09.089085912|288.7019091456343 +25.0110392758644|  -2.851 -5.979    |10.46    |~                   |    ~     ~          |    1| 1153.270   pc  | -23.0095    +23.0095  |paral   |2020yCat.1350....0G
402 |CD-34 7689                                                                                               |Spectroscopic Binary              |11 47 37.2426642480 -35 22 26.774262480|288.5286519970617 +25.7063898241571| -50.340 -3.015    |10.06    |~                   |    ~     ~          |    1|  118.496   pc  |  -4.9875     +4.9875  |paral   |2020yCat.1350....0G
403 |CD-35 7451                                                                                               |Star                              |11 48 19.7664604848 -35 43 25.759578936|288.7870738942786 +25.4085103100536|   -7.292 3.408    |9.85     |~                   |    ~     ~          |    1| 1301.067   pc  | -25.0531    +25.0531  |paral   |2020yCat.1350....0G
404 |CD-34 7700                                                                                               |Star                              |11 48 30.8495451648 -34 53 16.165177188|288.5781092555322 +26.2239424659500|  -5.915 -0.716    |10.48    |~                   |    ~     ~          |    1|  945.269   pc  | -15.0114    +15.0114  |paral   |2020yCat.1350....0G
405 |CD-34 7701                                                                                               |Star                              |11 48 32.3900859696 -35 25 09.911733312|288.7424026089211 +25.7132512527965|-37.075 -15.671    |9.67     |~                   |    ~     ~          |    1|  678.288   pc  |  -6.6251     +6.6251  |paral   |2020yCat.1350....0G
406 |TYC 7221-1410-1                                                                                          |Star                              |11 45 07.3486398456 -33 41 39.616693908|287.4543364149556 +27.1764450872769|   -1.855 1.736    |10.948   |~                   |    ~     ~          |    1|  579.477   pc  | -22.5100    +22.5100  |ST-L    |2020AJ....160...83S
407 |TYC 7225-308-1                                                                                           |Star                              |11 48 14.8150961760 -35 13 15.808374588|288.6193135571583 +25.8882849785057| -16.348 18.634    |10.12    |~                   |    ~     ~          |    1|  723.641   pc  |  -8.2738     +8.2738  |paral   |2020yCat.1350....0G
408 |TYC 7225-380-1                                                                                           |Star                              |11 47 38.4247781112 -35 12 12.257056944|288.4814493229139 +25.8717622054304|  -20.050 6.638    |10.87    |~                   |    ~     ~          |    1|  522.384   pc  |  -4.1751     +4.1751  |paral   |2020yCat.1350....0G
409 |TYC 7225-508-1                                                                                           |High Proper Motion Star           |11 46 43.3043594136 -35 21 06.280852428|288.3262292147446 +25.6778018420008| -49.518 19.171    |10.56    |~                   |    ~     ~          |    1|  332.226   pc  |  -1.7329     +1.7329  |paral   |2020yCat.1350....0G
410 |TYC 7225-555-1                                                                                           |Star                              |11 45 14.3116806768 -34 24 05.332207248|287.7055379069791 +26.5053321707497|-28.300 -10.766    |10.381   |~                   |    ~     ~          |    1|  512.396   pc  | -14.9100    +14.9100  |ST-L    |2020AJ....160...83S
411 |TYC 7225-781-1                                                                                           |Star                              |11 47 40.1550970464 -34 31 24.133075896|288.2812605089913 +26.5276726832941|   -6.112 4.577    |10.894   |~                   |    ~     ~          |    1| 1243.480   pc  | -97.8800    +97.8800  |ST-L    |2020AJ....160...83S
412 |TYC 7225-868-1                                                                                           |Star                              |11 46 36.0361608816 -35 34 20.110545660|288.3672020444934 +25.4590182669800|   1.884 -3.789    |10.57    |~                   |    ~     ~          |    1|  154.031   pc  |  -0.4342     +0.4342  |paral   |2020yCat.1350....0G
413 |TYC 7225-1038-1                                                                                          |Star                              |11 48 24.7223450784 -35 31 25.755481740|288.7456147612229 +25.6056956969997|   9.396 -7.697    |10.989   |~                   |    ~     ~          |    1|  892.042   pc  | -31.1900    +31.1900  |ST-L    |2020AJ....160...83S
414 |TYC 7225-1184-1                                                                                          |Star                              |11 47 47.6074835160 -35 28 57.775097028|288.5988889693124 +25.6113817731659|  -19.157 1.225    |10.97    |~                   |    ~     ~          |    1|  509.918   pc  |  -5.7204     +5.7204  |paral   |2020yCat.1350....0G
415 |TYC 7225-1350-1                                                                                          |Star                              |11 48 09.4136590080 -34 34 54.898178736|288.4070384234992 +26.4986637157105|  -34.143 8.534    |10.873   |~                   |    ~     ~          |    1|  280.594   pc  |  -7.4540     +7.4540  |ST-L    |2020AJ....160...83S
416 |TYC 7225-1788-1                                                                                          |High Proper Motion Star           |11 46 27.2445168576 -34 58 50.841314112|288.1539956247027 +26.0192325444425| 31.714 -89.325    |10.57    |~                   |    ~     ~          |    1|   98.781   pc  |  -0.1542     +0.1542  |paral   |2020yCat.1350....0G
417 |TYC 7225-1795-1                                                                                          |Star                              |11 48 09.8241388488 -34 59 00.740444604|288.5298006598454 +26.1124097924297|  -18.002 2.273    |10.76    |~                   |    ~     ~          |    1|  783.085   pc  |  -9.2597     +9.2597  |paral   |2020yCat.1350....0G
418 |TYC 7229-476-1                                                                                           |Star                              |11 46 18.6532431504 -35 49 46.154702964|288.3830386383252 +25.1955335841831|  -14.616 2.932    |10.65    |~                   |    ~     ~          |    1|  486.121   pc  |  -3.8047     +3.8047  |paral   |2020yCat.1350....0G
419 |TYC 7229-707-1                                                                                           |Star                              |11 46 15.2730232152 -36 06 48.019258620|288.4572870670992 +24.9195308277534|  4.706 -10.159    |10.45    |~                   |    ~     ~          |    1|  724.323   pc  |  -8.7091     +8.7091  |paral   |2020yCat.1350....0G
420 |TYC 7229-721-1                                                                                           |High Proper Motion Star           |11 47 54.3783151488 -36 00 05.568797376|288.7781971630295 +25.1179657050278| -62.637 -5.624    |10.96    |~                   |    ~     ~          |    1|  245.984   pc  |  -1.0952     +1.0952  |paral   |2020yCat.1350....0G
