C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:03:01

Vmag< 11&dec< 0&rah >=15.75&rah< 16.0
-------------------------------------

Number of objects : 6366

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |       ang. size       
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|-----------------------
1848|BD-02 4053                                                            |High Proper Motion Star               |15 50 03.2649531192 -02 51 59.254898472|005.2357139299773 +37.5540057281216|82.312 -152.991   |10.53    |~                |    ~     ~            
1849|BD-03 3834                                                            |Star                                  |15 50 33.2318400624 -04 03 04.674757464|004.1648835228389 +36.7229149646482| -12.922 -3.595   |10.31    |~                |    ~     ~            
1850|BD-03 3835                                                            |Star                                  |15 51 09.4111270776 -04 10 30.980375508|004.1607982896890 +36.5280650513555|-14.050 -21.647   |10.52    |~                |    ~     ~            
1851|BD-02 4061                                                            |Star                                  |15 51 54.3645186720 -02 56 48.198425028|005.5124815233693 +37.1395530020481|-13.783 -10.030   |10.42    |~                |    ~     ~            
1852|BD-04 3990                                                            |Spectroscopic Binary                  |15 51 59.8365404880 -04 32 46.178730420|003.9631435743348 +36.1329797289676| -15.703 -7.076   |10.94    |~                |    ~     ~            
1853|BD-03 3837                                                            |Star                                  |15 54 03.2682896688 -03 58 12.235973880|004.9162658594999 +36.0880578287358| -3.901 -10.118   |10.38    |~                |    ~     ~            
1854|BD-03 3839                                                            |Star                                  |15 54 25.6614495672 -03 45 14.457389040|005.1980312062263 +36.1475267431877| -7.574 -16.499   |10.835   |~                |    ~     ~            
1855|BD-03 3842                                                            |Star                                  |15 54 55.8726980136 -04 01 36.020325972|005.0274960764807 +35.8809057767874|  -21.607 7.610   |10.327   |~                |    ~     ~            
1856|BD-03 3844                                                            |Star                                  |15 54 59.0727169608 -03 31 13.132071660|005.5322623751672 +36.1808150965208| -22.927 -7.679   |10.817   |~                |    ~     ~            
1857|BD-02 4069                                                            |Star                                  |15 55 53.4851340000 -03 20 12.175178028|005.8833298952386 +36.1132867841341|  2.867 -11.777   |10.455   |~                |    ~     ~            
1858|BD-03 3830                                                            |Star                                  |15 49 16.0739689992 -03 38 14.577763092|004.3202979828490 +37.2316420232529|    3.386 0.263   |10.16    |~                |    ~     ~            
1859|BD-04 3991                                                            |High Proper Motion Star               |15 52 03.3482317752 -04 45 15.502062492|003.7734572839159 +35.9914714160140| 55.290 -47.200   |10.85    |K2V              |    ~     ~            
1860|BD-04 3992                                                            |Star                                  |15 52 22.2688044360 -04 42 50.933928060|003.8728957214835 +35.9552880620620| -9.815 -15.333   |10.26    |K1III-IV         |    ~     ~            
1861|BD-02 4046                                                            |Star                                  |15 47 51.3926242176 -02 36 15.226188480|005.0698522671190 +38.1480091336126| -10.717 14.326   |10.247   |~                |    ~     ~            
1862|BD-04 3983                                                            |Star                                  |15 49 18.5000127048 -04 35 36.211743924|003.3955323548069 +36.6253491251499| -24.736 -4.826   |10.78    |~                |    ~     ~            
1863|BD-03 3831                                                            |High Proper Motion Star               |15 49 20.2131362160 -03 39 14.202516420|004.3174626304527 +37.2078626955166|-60.485 -17.058   |10.32    |~                |    ~     ~            
1864|BD-02 4065                                                            |Star                                  |15 53 26.9201642952 -02 33 10.513025892|006.1982645236734 +37.0736779868960|  -0.510 -2.049   |10.681   |~                |    ~     ~            
1865|BD-04 3999                                                            |Star                                  |15 55 20.8490606808 -04 30 22.703761080|004.6413430801458 +35.5034627398542|   0.813 -4.960   |10.23    |K1III            |    ~     ~            
1866|TYC 5022-57-1                                                         |Star                                  |15 50 51.0311014104 -02 22 43.673563488|005.8763650612295 +37.6949809923643| -5.228 -17.231   |10.71    |~                |    ~     ~            
1867|V* V474 Ser                                                           |RS CVn Variable                       |15 48 40.9406293128 -03 10 44.217547788|004.6586364796519 +37.6308072538235| -8.446 -26.002   |10.78    |~                |    ~     ~            
1868|TYC 5026-125-1                                                        |Star                                  |15 52 08.6856318816 -04 29 14.678715264|004.0483881442263 +36.1409216843984|   5.585 17.182   |10.90    |~                |    ~     ~            
1869|BD-03 3843A                                                           |Star                                  |15 54 58.8798543888 -04 25 21.229691988|004.6529287445455 +35.6269638959305|  -3.744 -9.773   |10.51    |~                |    ~     ~            
1870|BD-02 4057                                                            |Star                                  |15 50 56.1380336328 -03 12 56.377795752|005.0595327128237 +37.1657677748424|  -1.754 19.704   |10.678   |~                |    ~     ~            
1871|HD 141569                                                             |Young Stellar Object                  |15 49 57.7482550392 -03 55 16.341617064|004.1771658656061 +36.9193350822719|-17.420 -19.113   |7.12     |A2VekB9mB9(_lB)  |    ~     ~            
1872|HD 142863                                                             |Star                                  |15 57 02.9108666616 -02 59 19.257344916|006.4426084331950 +36.0941736414245|   -3.039 1.367   |8.98     |A4IV/V           |    ~     ~            
1873|HD 143004                                                             |Star                                  |15 58 00.1362694776 -03 10 30.576732708|006.4362314147590 +35.7917896175304|  -6.146 -7.446   |9.62     |A1IV/V           |    ~     ~            
1874|BD-02 4084                                                            |Star                                  |15 58 48.9754139712 -03 00 26.270583228|006.7521275172447 +35.7304741387898|    0.952 8.134   |9.99     |K0               |    ~     ~            
1875|BD-03 3851                                                            |High Proper Motion Star               |15 58 40.3628756232 -03 28 59.454949944|006.2583742753070 +35.4724478181698|  6.087 -62.989   |9.58     |K0               |    ~     ~            
1876|BD-03 3847                                                            |Star                                  |15 56 56.5103709456 -04 15 58.220863344|005.1738195725918 +35.3381798434468|   14.869 8.471   |9.58     |G8               |    ~     ~            
1877|BD-04 4011                                                            |Star                                  |15 57 55.7838116280 -04 27 34.384291272|005.1717255140138 +35.0250746542113|   -3.002 2.055   |9.49     |M0               |    ~     ~            
1878|BD-04 4014                                                            |Star                                  |15 58 37.3399534152 -04 29 46.880536812|005.2652736220901 +34.8660999188664|   0.173 -0.643   |9.763    |G5               |    ~     ~            
1879|IRAS 15540-0314                                                       |Star                                  |15 56 37.3861262928 -03 23 20.213539188|005.9691962559222 +35.9365086595735| -8.898 -10.945   |9.89     |~                |    ~     ~            
1880|BD-02 4071                                                            |High Proper Motion Star               |15 56 19.5317371920 -03 20 07.439331660|005.9660589989301 +36.0280308467767| -60.219 19.302   |10.328   |~                |    ~     ~            
1881|BD-04 4002                                                            |Star                                  |15 56 23.2210478088 -04 45 06.541132032|004.6010353200027 +35.1480852374332|-35.247 -18.232   |10.953   |~                |    ~     ~            
1882|BD-02 4073                                                            |Star                                  |15 56 23.9644155360 -02 59 22.280638056|006.3206078626333 +36.2228604661550|   -3.077 4.271   |10.802   |~                |    ~     ~            
1883|BD-02 4075                                                            |Star                                  |15 56 48.0904432800 -03 10 17.356953684|006.2163110478840 +36.0328838979167| -11.389 -5.827   |9.88     |~                |    ~     ~            
1884|BD-03 3849                                                            |Star                                  |15 58 12.3647125296 -03 32 42.239931936|006.1113222454302 +35.5277262651224|  0.228 -11.117   |10.47    |~                |    ~     ~            
1885|BD-03 3850                                                            |Star                                  |15 58 28.1441208936 -04 23 41.750210652|005.3345812447570 +34.9583832057589| -7.200 -15.632   |10.790   |~                |    ~     ~            
1886|HD 143144                                                             |Double or Multiple Star               |15 58 52.79446 -03 04 23.1523          |006.69908307 +35.67825516          |  -241.52 44.57   |9.08     |G5V              |    ~     ~            
1887|BD-02 4086                                                            |Star                                  |15 59 27.8951279712 -02 49 22.778167188|007.0533971083367 +35.7111844002446|  -2.624 -1.239   |10.51    |~                |    ~     ~            
1888|BD-03 3852                                                            |Star                                  |15 59 59.0891637312 -04 02 06.110635632|005.9634051631775 +34.8778520980417| -19.682 -2.042   |10.693   |~                |    ~     ~            
1889|HD 141103                                                             |High Proper Motion Star               |15 47 17.0891539800 -00 16 11.679155508|007.3441968680862 +39.6771935890802|-243.362 -22.064  |7.23     |F6V              |    ~     ~            
1890|BD-00 3004B                                                           |Star                                  |15 45 24.2529875712 -01 23 30.095039760|005.8165827019147 +39.3754647155179|-43.397 -15.924   |10.41    |K0               |    ~     ~            
1891|HD 140731                                                             |Star                                  |15 45 23.2848215520 -01 23 29.317005708|005.8136216956665 +39.3787921434078|-44.993 -15.125   |9.41     |G3V+(G)          |    ~     ~            
1892|HD 140850                                                             |Star                                  |15 45 57.6365844192 -01 26 43.722048624|005.8710627918289 +39.2324536259753| -15.100 -7.023   |8.86     |K5/M0III         |    ~     ~            
1893|BD-00 3006                                                            |Star                                  |15 46 25.8461009664 -01 14 19.650215544|006.1752125423998 +39.2648613378679| -25.815 -6.376   |9.86     |F5               |    ~     ~            
1894|HD 141104                                                             |Star                                  |15 47 22.9958906328 -00 36 43.475506740|007.0074948239638 +39.4528952474099|-23.292 -11.983   |9.24     |F5V              |    ~     ~            
1895|HD 141105                                                             |High Proper Motion Star               |15 47 24.1458423840 -01 03 48.302515548|006.5451365234500 +39.1776251574676| -39.756 36.242   |8.04     |G8V              |    ~     ~            
1896|* 25 Ser                                                              |Spectroscopic Binary                  |15 46 05.6365266672 -01 48 15.085342728|005.5313128764807 +38.9869204804281|-22.060 -30.827   |5.39     |B8IV/V           |    ~     ~            
1897|HD 140893                                                             |Star                                  |15 46 11.8129218360 -01 34 09.945835320|005.7907943909016 +39.1100688168980|-11.774 -14.191   |9.01     |K5III            |    ~     ~            
1898|HD 140967                                                             |Star                                  |15 46 39.0968988672 -01 36 02.538901296|005.8481268134474 +39.0009355100213|   10.505 0.565   |8.99     |F3V              |    ~     ~            
1899|TYC 5022-618-1                                                        |Star                                  |15 46 07.2912082800 -02 11 03.047902512|005.1515551130236 +38.7481443900892|  -25.512 0.595   |9.946    |~                |    ~     ~            
1900|BD-01 3094                                                            |Star                                  |15 46 34.2847025352 -01 54 57.682616148|005.5116122023542 +38.8241167532449|   1.693 -0.007   |10.82    |~                |    ~     ~            
1901|HD 141770                                                             |Star                                  |15 50 47.8745881752 -00 08 06.869848668|008.1578039708359 +39.0496403239546| -16.721 17.471   |8.88     |G5V              |    ~     ~            
1902|BD+00 3416                                                            |High Proper Motion Star               |15 51 53.7631829064 -00 02 48.047596080|008.4574764241830 +38.8795773747097|-44.922 103.445   |9.65     |F8               |    ~     ~            
1903|TYC 5019-939-1                                                        |Star                                  |15 55 12.6167637840 -00 06 13.293408852|009.0167550732721 +38.1736548399689|  -10.994 3.236   |10.465   |~                |    ~     ~            
1904|HD 141611                                                             |Star                                  |15 50 01.6829770176 -00 14 10.161814272|007.9064680116010 +39.1454508377047|   1.771 -2.656   |9.659    |G8III            |    ~     ~            
1905|BD+00 3420                                                            |Star                                  |15 52 44.6685800280 -00 21 11.305310184|008.2991475936761 +38.5279528862103|-13.086 -13.369   |9.41     |K0III            |    ~     ~            
1906|HD 141377                                                             |Star                                  |15 48 52.8142741872 -01 00 04.580173296|006.8953167965329 +38.9200320659988|  -46.252 0.411   |6.84     |K5/M0III         |    ~     ~            
1907|HD 141460                                                             |Star                                  |15 49 15.7210414560 -00 38 56.045993352|007.3320090713170 +39.0544089846344|  36.379 19.200   |8.81     |G2/3V            |    ~     ~            
1908|HD 141478                                                             |Star                                  |15 49 23.0835101328 -00 45 56.971741680|007.2348405003508 +38.9600114794363|   1.713 -0.879   |9.47     |A0mA3-A8/F0      |    ~     ~            
1909|BD-00 3017                                                            |Star                                  |15 49 55.1412866112 -00 59 17.232291276|007.1085642300516 +38.7200557672559|  -1.895 -9.950   |10.456   |G5               |    ~     ~            
1910|BD-00 3018                                                            |Star                                  |15 49 54.8722317336 -00 53 17.995269552|007.2102676536285 +38.7806181427731|    2.781 3.929   |10.836   |K0               |    ~     ~            
1911|BD-00 3020                                                            |Star                                  |15 50 29.6419811856 -00 53 09.365247636|007.3235691519843 +38.6658336753625| 18.203 -34.625   |9.63     |K                |    ~     ~            
1912|BD-00 3023                                                            |Star                                  |15 50 59.9952586320 -01 20 05.227611828|006.9606033311595 +38.2960713978001| -14.055 -5.152   |9.57     |K5               |    ~     ~            
1913|HD 142071                                                             |Star                                  |15 52 34.5817078920 -01 19 48.493165152|007.2650013288763 +37.9831129071287|   -1.366 6.467   |8.56     |K2III            |    ~     ~            
1914|V* V373 Ser                                                           |alpha2 CVn Variable                   |15 52 35.0679747816 -01 01 52.823239248|007.5714512352203 +38.1594138515622|-14.315 -24.244   |7.97     |B9V              |    ~     ~            
1915|BD-00 3027                                                            |Double or Multiple Star               |15 52 36.5877821 -00 35 37.652020      |008.0254176458 +38.4134189585      |  -25.07 -30.50   |10.449   |G0               |0.0083  0.0            
1916|HD 142162                                                             |Star                                  |15 53 05.9267519520 -01 07 44.113206828|007.5687728511241 +37.9980323079950| -40.381 -9.417   |9.27     |G1V              |    ~     ~            
1917|HD 142180                                                             |Double or Multiple Star               |15 53 13.2786 -01 15 35.649            |007.4583212 +37.8955246            |      -0.4 -2.0   |9.28     |F2V              |    ~     ~            
1918|BD-00 3032                                                            |Star                                  |15 55 26.8654322736 -01 17 29.042826252|007.8433871446329 +37.4289022169931|   2.552 -8.210   |10.680   |F8               |    ~     ~            
1919|BD-00 3033                                                            |Star                                  |15 55 35.6606790600 -00 38 18.873990024|008.5367739729114 +37.7835531759479| -3.264 -22.779   |10.7     |A5               |    ~     ~            
1920|BD-01 3096                                                            |Star                                  |15 47 38.1903820800 -01 30 32.823071208|006.1340487390511 +38.8612961686333|  -3.174 -7.127   |10.129   |F8               |    ~     ~            
1921|BD-01 3098                                                            |Star                                  |15 47 58.8164509632 -01 54 10.494941940|005.8005513708856 +38.5535146889462|   2.590 -7.282   |9.58     |K0               |    ~     ~            
1922|BD-01 3102                                                            |Star                                  |15 49 06.1321333296 -01 52 46.312430160|006.0421494617574 +38.3453530607422|  6.741 -10.542   |9.49     |F5               |    ~     ~            
1923|HD 141438                                                             |Star                                  |15 49 11.7991651800 -01 59 16.742120496|005.9507183334692 +38.2606722068807|-24.873 -11.580   |8.08     |A2V              |    ~     ~            
1924|HD 142072                                                             |Rotating Variable                     |15 52 33.7493044488 -01 54 22.783453164|006.6785351023951 +37.6405615501996|-115.000 10.866   |7.878    |G6V              |    ~     ~            
1925|HD 142181                                                             |Star                                  |15 53 12.1884762288 -01 55 38.946288468|006.7786598609607 +37.4999442671449|-10.662 -17.671   |9.34     |F7V              |    ~     ~            
1926|HD 142230                                                             |Star                                  |15 53 29.4139886088 -01 56 59.945294220|006.8102902651485 +37.4290825059421|-17.753 -23.046   |8.32     |K5III            |    ~     ~            
1927|BD-01 3099                                                            |Star                                  |15 48 15.1685332080 -01 46 13.285114212|005.9880626442323 +38.5802392445887| -8.348 -19.047   |10.25    |M1               |    ~     ~            
1928|BD+00 3408                                                            |Star                                  |15 50 06.5450459496 -00 08 54.910993092|008.0130260384577 +39.1808459711863|    9.222 4.355   |10.663   |~                |    ~     ~            
1929|BD-01 3097                                                            |Star                                  |15 47 49.9329437040 -02 19 12.412973820|005.3503352245421 +38.3275194356267| -13.872 -2.250   |9.12     |M2III            |    ~     ~            
1930|HD 141308                                                             |High Proper Motion Star               |15 48 29.7702429624 -02 10 02.848675116|005.6335852682571 +38.2899150802979| -75.289 86.250   |8.63     |G2V              |    ~     ~            
1931|BD-01 3105                                                            |Star                                  |15 49 59.8265566752 -02 10 14.387163240|005.9211390802800 +37.9908145344097|  -5.541 11.049   |9.43     |K0III            |    ~     ~            
1932|HD 141694                                                             |Double or Multiple Star               |15 50 30.3647898624 -02 14 30.808493484|005.9475532100322 +37.8465719173766|-11.787 -11.732   |9.54     |F3/5V            |    ~     ~            
1933|HD 142011                                                             |Star                                  |15 52 12.5135357712 -02 16 42.573808308|006.2369062060553 +37.4863659118785|-15.247 -43.936   |8.54     |G1V              |    ~     ~            
1934|AG-02 959                                                             |Long-Period Variable Candidate        |15 54 57.7421989992 -02 10 36.016859568|006.8598766467085 +36.9988490907746|-11.198 -13.835   |9.39     |M2               |    ~     ~            
1935|BD-01 3115                                                            |Star                                  |15 55 04.0959470184 -02 12 50.588442684|006.8423162412705 +36.9552557552784|-21.088 -28.417   |10.280   |F2               |    ~     ~            
1936|BD-01 3117                                                            |Star                                  |15 55 36.0347512608 -02 14 45.029691348|006.9102430357150 +36.8297872300039|    1.552 0.648   |9.62     |K0               |    ~     ~            
1937|HD 142661A                                                            |High Proper Motion Star               |15 55 54.5836414920 -02 09 51.876204660|007.0494892963789 +36.8167069965868|-91.407 -61.263   |6.964    |F8.5V            |    ~     ~            
1938|AG-02 955                                                             |Rotating Variable                     |15 50 07.3889106720 -02 22 11.522916192|005.7452396195257 +37.8444667569375|-62.123 -71.133   |9.916    |K2               |    ~     ~            
1939|StKM 1-1278                                                           |High Proper Motion Star               |15 50 29.6747292240 -02 20 58.553131632|005.8371760543999 +37.7832818834350| 19.857 -89.202   |10.40    |K5               |    ~     ~            
1940|BD+00 3404                                                            |Long-Period Variable Candidate        |15 48 19.4515368528 -00 14 25.674431604|007.5756031994327 +39.4859452029758|  -0.235 -7.188   |10.3     |~                |    ~     ~            
1941|TYC 5018-555-1                                                        |Star                                  |15 48 22.6301996736 -01 13 04.856738664|006.5756282342116 +38.8900518597413|  10.069 -2.294   |10.360   |~                |    ~     ~            
1942|BD-00 3010                                                            |Star                                  |15 48 33.0318117672 -01 18 01.228126176|006.5248948677607 +38.8058275275599|-15.168 -39.303   |10.38    |~                |    ~     ~            
1943|TYC 5018-586-1                                                        |Star                                  |15 49 47.9516487456 -01 14 39.938633880|006.8228993576256 +38.5903429455711|-13.309 -22.453   |9.63     |~                |    ~     ~            
1944|BD-01 3107                                                            |Star                                  |15 50 30.9461711424 -01 29 59.344130436|006.6998794756005 +38.2936708585189|-16.234 -19.809   |9.91     |~                |    ~     ~            
1945|TYC 5018-270-1                                                        |Star                                  |15 51 50.6241247032 -01 21 49.374895896|007.0918684429422 +38.1098631721611|-13.582 -10.533   |10.82    |~                |    ~     ~            
1946|BD-01 3110                                                            |Star                                  |15 52 46.1378212176 -02 22 41.270239092|006.2437994875885 +37.3146287110402| -1.188 -13.088   |9.88     |~                |    ~     ~            
1947|BD+00 3421                                                            |Spectroscopic Binary                  |15 52 46.9165622400 -00 25 33.789313020|008.2308314662955 +38.4774983735776|  -46.996 2.487   |9.85     |~                |    ~     ~            
1948|BD-01 3111                                                            |Double or Multiple Star               |15 53 03.899808 -02 17 48.50124        |006.381457611 +37.304935743        |      2.4 -11.5   |9.930    |~                |    ~     ~            
1949|TYC 5019-932-1                                                        |Star                                  |15 53 20.7240868992 -00 13 49.020515652|008.5389097112920 +38.4783838284648|  5.713 -35.163   |10.103   |~                |    ~     ~            
1950|TYC 5023-449-1                                                        |Star                                  |15 55 12.0031812480 -02 01 57.993690504|007.0487238604678 +37.0375288117874|  9.603 -29.987   |10.228   |~                |    ~     ~            
1951|TYC 5019-551-1                                                        |Star                                  |15 55 16.8775607856 -00 10 14.828123028|008.9604922987807 +38.1201863844559|   7.593 -5.131   |10.542   |~                |    ~     ~            
1952|BD-00 3035                                                            |Star                                  |15 55 59.5987726440 -00 49 24.264254964|008.4214023346699 +37.5944134114209|   -9.764 0.857   |10.603   |~                |    ~     ~            
1953|TYC 5019-4-1                                                          |Star                                  |15 56 11.2030880520 -01 06 39.145541184|008.1640860456034 +37.3863518122086| -25.468 11.706   |10.46    |~                |    ~     ~            
1954|BD-00 3009                                                            |Star                                  |15 48 11.7280449336 -01 09 58.219860816|006.5935829068452 +38.9575443469265|  -22.224 5.235   |10.466   |~                |    ~     ~            
1955|TYC 5018-49-1                                                         |Star                                  |15 50 29.1423207600 -00 04 19.091247456|008.1644464059741 +39.1499832776397|  -11.923 4.132   |10.4     |~                |    ~     ~            
1956|TYC 5018-168-1                                                        |Star                                  |15 50 14.6164724832 -00 38 13.655068080|007.5321002616466 +38.8642956058244|-29.297 -29.186   |10.756   |~                |    ~     ~            
1957|TYC 5018-202-1                                                        |Star                                  |15 50 07.0820052576 -00 56 00.532493700|007.2028163801866 +38.7128524000394|-12.780 -10.586   |10.553   |~                |    ~     ~            
1958|TYC 5018-218-1                                                        |Star                                  |15 51 49.2855903144 -00 43 46.564282632|007.7367350173528 +38.4920007274489|   7.364 -4.428   |10.5     |~                |    ~     ~            
1959|TYC 5018-234-1                                                        |High Proper Motion Star               |15 50 29.2522195608 -00 47 23.491610808|007.4211740695224 +38.7243998044157| 20.509 -48.607   |10.9     |~                |    ~     ~            
1960|TYC 5018-303-1                                                        |High Proper Motion Star               |15 49 54.5109267648 -01 44 43.843702596|006.3336446309822 +38.2664078203643| -93.804 58.493   |9.914    |~                |    ~     ~            
1961|TYC 5018-533-1                                                        |Star                                  |15 49 05.6752828296 -01 22 41.461667616|006.5505011521499 +38.6504239845274|   -0.726 0.449   |10.75    |~                |    ~     ~            
1962|TYC 5018-761-1                                                        |Spectroscopic Binary                  |15 46 14.3348753976 -00 31 45.947544168|006.8705563080808 +39.7313426985165|-26.634 -11.716   |10.6     |~                |    ~     ~            
1963|TYC 5018-893-1                                                        |Star                                  |15 45 17.3520834312 -00 17 58.000390152|006.9244821734576 +40.0592919631787|  -28.782 0.604   |10.647   |~                |    ~     ~            
1964|TYC 5018-923-1                                                        |Star                                  |15 49 52.1029712472 -00 28 14.711126412|007.6325065650687 +39.0385993326340|-17.778 -13.807   |10.31    |~                |    ~     ~            
1965|TYC 5018-991-1                                                        |Star                                  |15 45 21.3930645720 -00 42 24.567284736|006.5134989981082 +39.8006024598166|  5.960 -24.289   |10.777   |~                |    ~     ~            
1966|TYC 5019-179-1                                                        |Star                                  |15 52 52.0904052288 -01 48 00.652344624|006.8436475450683 +37.6433263783451|-35.938 -14.680   |10.710   |~                |    ~     ~            
1967|TYC 5019-360-1                                                        |Star                                  |15 52 51.9789678528 -00 52 29.944696584|007.7847397542765 +38.1954496460525|  -10.381 1.802   |10.715   |~                |    ~     ~            
1968|TYC 5019-369-1                                                        |Star                                  |15 53 44.5071799032 -00 19 28.974928656|008.5153158156145 +38.3427542005265|   0.105 -2.996   |9.85     |~                |    ~     ~            
1969|TYC 5019-431-1                                                        |Star                                  |15 53 24.9007545864 -00 45 08.462853180|008.0137149209638 +38.1573444728721|  0.974 -10.515   |10.488   |~                |    ~     ~            
1970|TYC 5019-579-1                                                        |Star                                  |15 54 18.4837460088 -00 58 30.520135236|007.9528280046515 +37.8456237028599|  -0.232 -1.604   |10.7     |~                |    ~     ~            
1971|TYC 5019-622-1                                                        |Star                                  |15 55 20.3411970240 -00 23 37.927951440|008.7409921568504 +37.9784238115467|  7.991 -24.384   |10.2     |~                |    ~     ~            
1972|TYC 5019-720-1                                                        |Star                                  |15 54 11.8564641984 -00 35 35.159044308|008.3237804587021 +38.0930136353788|  -4.729 -1.690   |10.378   |~                |    ~     ~            
1973|TYC 5019-806-1                                                        |Star                                  |15 55 48.8570595504 -00 02 55.736808036|009.1850216737115 +38.0825910743449|-14.328 -40.667   |10.9     |~                |    ~     ~            
1974|TYC 5019-827-1                                                        |High Proper Motion Star               |15 54 54.5501485920 -00 19 41.169547272|008.7291094537751 +38.1040637281718|-58.869 -84.701   |10.7     |~                |    ~     ~            
1975|TYC 5019-848-1                                                        |Star                                  |15 52 34.0054543176 -00 03 20.193016284|008.5742602464549 +38.7384620152842|   -4.415 6.770   |10.939   |~                |    ~     ~            
1976|TYC 5022-9-1                                                          |Star                                  |15 51 01.6519181328 -02 05 40.819753536|006.1958308974473 +37.8324615409143|-10.153 -16.254   |10.352   |~                |    ~     ~            
1977|TYC 5022-18-1                                                         |Star                                  |15 51 13.9951631832 -02 09 14.140662264|006.1756193841648 +37.7556657640689| -20.545 -3.268   |10.34    |~                |    ~     ~            
1978|TYC 5023-214-1                                                        |Star                                  |15 53 56.4110126976 -02 18 05.047296264|006.5425439151893 +37.1278487802138|-23.331 -10.756   |10.72    |~                |    ~     ~            
1979|TYC 5023-439-1                                                        |Star                                  |15 54 13.6657057224 -02 02 46.358353932|006.8526423411768 +37.2239468256577| 16.433 -23.567   |10.511   |~                |    ~     ~            
1980|HD 142981                                                             |Star                                  |15 57 40.1798518560 -00 05 30.280105644|009.4807380545729 +37.6794566482190|-14.702 -21.093   |8.35     |A1V              |    ~     ~            
1981|HD 142817                                                             |Star                                  |15 56 36.8768134152 -00 54 30.746802888|008.4492959350219 +37.4186904158186|-16.057 -31.059   |9.34     |F3V              |    ~     ~            
1982|AG-00 2055                                                            |Long-Period Variable Candidate        |15 56 53.9151933120 -00 57 18.360183636|008.4542050476001 +37.3338891452206|   3.324 -2.482   |8.11     |A1V              |    ~     ~            
1983|HD 142881                                                             |Star                                  |15 57 00.8676900552 -00 44 42.836043876|008.6897010432352 +37.4332305579407|  -3.156 -6.970   |7.53     |K3III            |    ~     ~            
1984|BD-00 3043                                                            |Spectroscopic Binary                  |15 58 14.0363583336 -00 28 57.527706000|009.1817533254848 +37.3382030695663|  -11.708 8.587   |9.47     |G5               |    ~     ~            
1985|BD-01 3120                                                            |Star                                  |15 57 45.6404400312 -01 50 11.401771488|007.7217313347546 +36.6403590556611|  -4.006 -7.870   |9.64     |K2               |    ~     ~            
1986|TYC 5019-760-1                                                        |Star                                  |15 56 22.4199318072 -00 54 45.024138756|008.4007554960972 +37.4651447432197|    5.482 0.292   |10.7     |~                |    ~     ~            
1987|TYC 5019-211-1                                                        |Star                                  |15 56 54.1460991696 -01 09 43.284946176|008.2444291970725 +37.2116100748388| -4.889 -11.419   |10.63    |~                |    ~     ~            
1988|TYC 5019-937-1                                                        |High Proper Motion Star               |15 57 06.3200954496 -00 40 01.727275656|008.7862583752193 +37.4603762525069|-117.989 -95.032  |10.22    |~                |    ~     ~            
1989|BD-01 3119                                                            |Star                                  |15 57 18.6992549184 -02 15 52.859708928|007.2100920111512 +36.4759656533277| -13.292 -4.468   |10.45    |~                |    ~     ~            
1990|BD-00 3041                                                            |Star                                  |15 57 22.9521724656 -00 32 27.774126204|008.9662532235191 +37.4775249508174| -27.064 -2.193   |10.42    |~                |    ~     ~            
1991|BD-01 3121                                                            |Star                                  |15 58 15.5333965920 -01 35 32.589388248|008.0589423904148 +36.6841928890120|  -3.841 18.408   |10.512   |~                |    ~     ~            
1992|TYC 5019-486-1                                                        |Spectroscopic Binary                  |15 58 22.9699159896 -01 03 08.989808760|008.6276816041697 +36.9760982409248|   1.748 -8.321   |10.597   |~                |    ~     ~            
1993|PPM 706328                                                            |Star                                  |15 58 43.2386098440 -01 48 21.128743260|007.9290994958943 +36.4650668278648|    2.089 2.818   |10.942   |~                |    ~     ~            
1994|TYC 5023-229-1                                                        |Star                                  |15 58 49.7536535928 -01 52 35.996393712|007.8780249286432 +36.4013506976043|   6.416 -5.278   |10.017   |~                |    ~     ~            
1995|BD+00 3439                                                            |Star                                  |15 58 56.7968563920 -00 22 18.926737572|009.4248993324719 +37.2570265104648| -39.897 -5.452   |10.424   |K0               |    ~     ~            
1996|BD-00 3044                                                            |Star                                  |15 58 58.4413518144 -01 17 53.751226812|008.4867403800241 +36.7124418967181|  -5.029 -4.779   |10.422   |K0               |    ~     ~            
1997|BD-00 3045                                                            |Star                                  |15 59 31.2875122560 -00 37 47.777852208|009.2652217678772 +36.9905434231465|-23.347 -10.444   |9.21     |K2               |    ~     ~            
1998|BD-01 3124                                                            |Star                                  |15 59 40.3806766584 -01 48 03.531430080|008.1083063898396 +36.2757685456977|  -8.651 -7.250   |9.59     |K5               |    ~     ~            
1999|IRAS 15570-0109                                                       |Long-Period Variable                  |15 59 37.5760359384 -01 18 10.948231548|008.6008425681068 +36.5774726010677| -15.039 -6.290   |10.72    |~                |    ~     ~            
2000|TYC 5019-147-1                                                        |Star                                  |15 59 44.7688611072 -00 08 45.904785540|009.8014243942797 +37.2237955818369|   8.359 -3.470   |10.389   |~                |    ~     ~            
