C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:03:01

Vmag< 11&dec< 0&rah >=15.75&rah< 16.0
-------------------------------------

Number of objects : 6366

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |       ang. size       
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|-----------------------
34  |HD 141191                                                             |Star                                  |15 49 19.7793223872 -38 15 54.055383300|337.2223356693433 +12.4885532417507|-14.122 -10.535   |10.09    |F2IV             |    ~     ~            
35  |V* KZ Lup                                                             |Long-Period Variable                  |15 51 41.1811141512 -38 09 29.324144340|337.6560546438238 +12.2734644023313|   -4.592 1.944   |9.10     |M5III            |    ~     ~            
36  |HD 141904                                                             |Star                                  |15 53 02.1912885672 -38 11 31.790305788|337.8406836961154 +12.0759895777159|  -3.614 -2.827   |10.95    |A8/F0V           |    ~     ~            
37  |HD 141922                                                             |Star                                  |15 53 10.2708590290 -38 21 08.480770057|337.7551282225743 +11.9368603583947|-10.064 -10.790   |10.13    |K1/2(III)        |    ~     ~            
38  |HD 142167                                                             |Pulsating Variable                    |15 54 35.0272684133 -38 18 12.403703494|338.0027674810415 +11.7939970621216|   15.091 3.330   |10.11    |F2V              |    ~     ~            
39  |HD 142362                                                             |Star                                  |15 55 44.0951674944 -38 11 11.672034972|338.2555551664360 +11.7348644116123| -10.730 -8.434   |10.81    |A7V              |    ~     ~            
40  |HD 142409                                                             |High Proper Motion Star               |15 55 57.6643842024 -38 20 15.224364996|338.1888587559741 +11.5916822043133| 33.602 -53.465   |10.25    |G1V              |    ~     ~            
41  |V* KX Lup                                                             |Long-Period Variable Candidate        |15 48 56.2896065496 -38 36 45.084295368|336.9349722135291 +12.2697922461584|   5.479 -6.029   |8.37     |M2III            |    ~     ~            
42  |HD 141182                                                             |Spectroscopic Binary                  |15 49 12.8382103728 -38 44 52.928970648|336.8890737277981 +12.1310535606125|   3.959 -5.728   |10.06    |F3V              |    ~     ~            
43  |HD 141192                                                             |Star                                  |15 49 19.6483165296 -39 03 53.889807996|336.6999849578822 +11.8727397810952| -10.678 -4.304   |10.22    |A0IV             |    ~     ~            
44  |HD 141254                                                             |Double or Multiple Star               |15 49 39.6340128648 -38 46 38.914355928|336.9384282786205 +12.0528433739299|-18.153 -23.205   |9.23     |F3V              |    ~     ~            
45  |HD 141314                                                             |High Proper Motion Star               |15 49 57.1113721584 -39 14 10.796966520|336.6835880185068 +11.6635487789714|-99.719 -71.855   |10.27    |G5/8(V)          |    ~     ~            
46  |HD 141338                                                             |Star                                  |15 50 07.8825235800 -38 56 12.711313716|336.9063995830501 +11.8716705134187|-17.126 -22.797   |10.12    |F5/6(+A/F)       |    ~     ~            
47  |HD 141426                                                             |Star                                  |15 50 31.4583522456 -38 24 24.725868660|337.3136767334454 +12.2296279811238|    8.566 8.331   |10.27    |G8/K0(III)       |    ~     ~            
48  |HD 141498                                                             |Star                                  |15 50 55.7002386336 -39 20 02.105746944|336.7681478049873 +11.4676860994855|-14.641 -10.648   |9.90     |A5II/III         |    ~     ~            
49  |HD 141802                                                             |Star                                  |15 52 21.9164897256 -39 09 33.128654796|337.1001771260873 +11.4227514010182| -15.964 -6.451   |10.20    |F5/6V            |    ~     ~            
50  |HD 141979                                                             |Star                                  |15 53 28.8880012608 -38 35 45.210776136|337.6410811393688 +11.7120551880163|  -6.743 -9.197   |10.40    |A8/F0+(F/G)      |    ~     ~            
51  |HD 142018                                                             |Spectroscopic Binary                  |15 53 36.5206109400 -39 21 26.658571860|337.1569576506924 +11.1159684692570|-67.748 -74.423   |9.17     |G6V              |    ~     ~            
52  |HD 142099                                                             |Star                                  |15 54 07.8332283096 -39 05 46.224043008|337.4080267493080 +11.2493549040371| -11.379 -4.121   |10.34    |A9V              |    ~     ~            
