C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:09:08

dec >=0&rah >=19.0&rah< 19.25&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 7376

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------|-----|----------------|-----------------------|--------|-------------------
894 |TYC 3923-1102-1                                                                                          |Star                                  |19 02 52.5360336792 +54 33 41.451010488|084.8219350703682 +20.2284750103620|  0.985 -11.073   |10.49    |~                    |    ~     ~    |    1|  734.484   pc  |  -9.8183     +9.8183  |paral   |2020yCat.1350....0G
895 |HD 177276                                                                                                |Star                                  |19 00 34.9493325432 +57 29 22.843368384|087.6970938560221 +21.4351700865225|   -3.150 0.596   |8.42     |K2                   |    ~     ~    |    1|  671.501   pc  |  -7.4401     +7.4401  |paral   |2020yCat.1350....0G
896 |HD 177326                                                                                                |Star                                  |19 00 48.3143664984 +57 48 47.068347420|088.0385962608819 +21.5020324757078|  23.623 38.501   |8.06     |F2                   |    ~     ~    |    1|  166.783   pc  |  -0.4645     +0.4645  |paral   |2020yCat.1350....0G
897 |HD 238969                                                                                                |Star                                  |19 01 10.1355198528 +57 29 39.959123892|087.7270517134700 +21.3613291435670|   2.309 47.834   |9.69     |K2                   |    ~     ~    |    1|  235.766   pc  |  -1.3452     +1.3452  |paral   |2020yCat.1350....0G
898 |HD 177411                                                                                                |Star                                  |19 01 15.4916247000 +58 00 35.177040180|088.2596719304629 +21.5024217119036| -19.845 10.220   |8.52     |K5                   |    ~     ~    |    1|  277.185   pc  |  -1.1986     +1.1986  |paral   |2020yCat.1350....0G
899 |HD 238970                                                                                                |Star                                  |19 01 20.8008016104 +58 02 42.799857900|088.2997923311048 +21.5016649004852|   9.438 -0.925   |9.64     |F5                   |    ~     ~    |    1|  233.220   pc  |  -0.6201     +0.6201  |paral   |2020yCat.1350....0G
900 |AG+57 1216                                                                                               |Long-Period Variable Candidate        |19 01 35.0016457392 +57 49 47.984317752|088.0888434918741 +21.4080536797424|    3.265 6.079   |9.20     |M2                   |    ~     ~    |    1|  668.092   pc  | -12.8102    +12.8102  |paral   |2020yCat.1350....0G
901 |BD+57 1936                                                                                               |Star                                  |19 01 36.1608965592 +57 49 04.626234984|088.0773091764753 +21.4020244289267|  -5.826 -9.976   |9.61     |~                    |    ~     ~    |    1|  639.713   pc  |  -3.5603     +3.5603  |paral   |2020yCat.1350....0G
902 |HD 238977                                                                                                |Star                                  |19 03 20.2980759768 +57 18 40.924590444|087.6342904329273 +21.0275647825829|   1.345 11.478   |9.75     |F0                   |    ~     ~    |    1|  357.156   pc  |  -1.3649     +1.3649  |paral   |2020yCat.1350....0G
903 |HD 238978                                                                                                |Star                                  |19 03 21.3367809120 +57 32 48.673269312|087.8753893640699 +21.0971204367719| -29.901 -2.193   |8.74     |K2                   |    ~     ~    |    1|  634.317   pc  | -25.1473    +25.1473  |paral   |2020yCat.1350....0G
904 |HD 238979                                                                                                |Star                                  |19 03 25.8659468976 +57 23 31.659474228|087.7207769715782 +21.0403100702260|  -5.030 29.101   |9.45     |K0                   |    ~     ~    |    1|  490.124   pc  |  -2.2581     +2.2581  |paral   |2020yCat.1350....0G
905 |HIP 93598                                                                                                |Star                                  |19 03 40.6452947472 +57 27 31.617759564|087.7996284653239 +21.0291025686240|    4.354 4.673   |9.16     |kA1hA8VmA8           |    ~     ~    |    1|  288.875   pc  |  -1.5021     +1.5021  |paral   |2020yCat.1350....0G
906 |HD 178659                                                                                                |Star                                  |19 06 12.6183023712 +57 31 29.173990872|087.9795391374235 +20.7259448740192| -7.758 -25.078   |8.69     |K5                   |    ~     ~    |    1|  318.107   pc  |  -1.6191     +1.6191  |paral   |2020yCat.1350....0G
907 |HD 238994                                                                                                |Star                                  |19 06 48.4075167312 +57 29 30.535273932|087.9730338813723 +20.6395400866249|   13.580 9.634   |9.43     |G5                   |    ~     ~    |    1|  559.159   pc  |  -3.2829     +3.2829  |paral   |2020yCat.1350....0G
908 |HD 238996                                                                                                |Star                                  |19 07 52.2812442744 +57 20 01.409517060|087.8616010669944 +20.4533929851237| -27.665 29.643   |9.81     |F8                   |    ~     ~    |    1|  113.152   pc  |  -0.1332     +0.1332  |paral   |2020yCat.1350....0G
909 |HD 238998                                                                                                |Star                                  |19 08 09.3806414328 +57 45 20.669736240|088.3016194051162 +20.5518605710195|  -14.234 0.287   |9.72     |M0                   |    ~     ~    |    1| 1035.304   pc  | -12.0048    +12.0048  |paral   |2020yCat.1350....0G
910 |BD+57 1952                                                                                               |Star                                  |19 08 36.6699847560 +57 29 59.388201816|088.0635816380505 +20.4123156058144| -3.595 -12.250   |10.28    |K                    |    ~     ~    |    1|  769.527   pc  |  -6.1586     +6.1586  |paral   |2020yCat.1350....0G
911 |HD 239000                                                                                                |Star                                  |19 08 38.7485618856 +57 29 06.761867676|088.0504086065048 +20.4032088901893|   -7.741 3.035   |9.36     |F5                   |    ~     ~    |    1|  331.137   pc  |  -1.2281     +1.2281  |paral   |2020yCat.1350....0G
912 |HD 239006                                                                                                |High Proper Motion Star               |19 10 06.2930465496 +57 34 05.434202640|088.2017176378738 +20.2447588579048| -22.465 72.584   |10.02    |G5                   |    ~     ~    |    1|  150.602   pc  |  -0.2382     +0.2382  |paral   |2020yCat.1350....0G
913 |HD 239013                                                                                                |Star                                  |19 10 54.1681653312 +57 29 59.942959008|088.1704010012474 +20.1212585520047|   0.674 -8.577   |9.75     |A5                   |    ~     ~    |    1|  492.174   pc  |  -2.6404     +2.6404  |paral   |2020yCat.1350....0G
914 |HD 179868                                                                                                |High Proper Motion Star               |19 10 52.4941979040 +57 45 25.975995984|088.4279691386798 +20.2091474634822|-44.611 -87.604   |8.81     |G5                   |    ~     ~    |    1|   99.389   pc  |  -0.1284     +0.1284  |paral   |2020yCat.1350....0G
915 |BD+56 2175                                                                                               |Star                                  |19 00 01.5696937512 +56 54 46.258317576|087.0814600891654 +21.3361872363119|   3.031 19.902   |10.07    |K                    |    ~     ~    |    1|  758.668   pc  |  -5.9860     +5.9860  |paral   |2020yCat.1350....0G
916 |HD 177195                                                                                                |Star                                  |19 00 27.5014586208 +56 31 31.104150672|086.7037141977588 +21.1636846961995| -5.345 -11.687   |8.74     |B8                   |    ~     ~    |    1| 2110.150   pc  |-133.1367   +133.1367  |paral   |2020yCat.1350....0G
917 |HD 238967                                                                                                |Star                                  |19 00 33.2079066672 +56 48 33.003099540|086.9983360068040 +21.2364656735936|  11.962 23.630   |8.86     |K7                   |    ~     ~    |    1|  604.193   pc  |  -4.5631     +4.5631  |paral   |2020yCat.1350....0G
918 |HD 238968                                                                                                |Star                                  |19 01 04.1878091616 +56 48 41.911149708|087.0236356075275 +21.1698111987263|    3.410 0.403   |9.48     |K5                   |    ~     ~    |    1| 1328.198   pc  | -19.7580    +19.7580  |paral   |2020yCat.1350....0G
919 |HD 238974                                                                                                |Star                                  |19 02 16.2394537824 +56 23 59.917891416|086.6574175254455 +20.8871033214205|  14.271 -7.277   |9.67     |G0                   |    ~     ~    |    1|  171.081   pc  |  -2.1308     +2.1308  |paral   |2020yCat.1350....0G
920 |HD 177778                                                                                                |Star                                  |19 02 56.4967528104 +56 36 53.503219224|086.9067320595485 +20.8652242652524|   5.394 28.404   |8.00     |K0                   |    ~     ~    |    1|  295.648   pc  |  -1.5646     +1.5646  |paral   |2020yCat.1350....0G
921 |HD 238983                                                                                                |Star                                  |19 04 45.0648664944 +57 02 03.775644636|087.4155262204837 +20.7599638719159| -6.263 -17.813   |9.28     |A7                   |    ~     ~    |    1|  376.265   pc  |  -1.2742     +1.2742  |paral   |2020yCat.1350....0G
922 |V* DG Dra                                                                                                |Spectroscopic Binary                  |19 05 03.3774755688 +57 07 32.420852868|087.5221133556933 +20.7490405377023|  14.363 55.585   |9.28     |A3                   |    ~     ~    |    1|  278.823   pc  |  -7.8598     +7.8598  |paral   |2020yCat.1350....0G
923 |TYC 3927-1469-1                                                                                          |Star                                  |19 05 31.5803161824 +56 16 45.601575492|086.6859291119867 +20.4208858789303|    3.956 3.126   |10.18    |K2                   |    ~     ~    |    1|  697.447   pc  |  -5.0589     +5.0589  |paral   |2020yCat.1350....0G
924 |HD 238988                                                                                                |Star                                  |19 05 27.8739185952 +56 17 18.637823256|086.6922980000685 +20.4319345824764|  -7.264 -9.526   |10.11    |F2                   |    ~     ~    |    1|  299.168   pc  |  -6.3815     +6.3815  |paral   |2020yCat.1350....0G
925 |HD 178535                                                                                                |Star                                  |19 05 47.6266427568 +56 50 27.847620888|087.2670866710173 +20.5642524933075|  33.446 30.324   |8.52     |K0                   |    ~     ~    |    1|  140.062   pc  |  -1.7459     +1.7459  |paral   |2020yCat.1350....0G
926 |HD 238993                                                                                                |Star                                  |19 06 33.9071708160 +56 21 49.560279156|086.8204166558165 +20.3114726434810|   6.539 10.786   |9.88     |A2                   |    ~     ~    |    1|  374.728   pc  |  -1.9799     +1.9799  |paral   |2020yCat.1350....0G
927 |HD 238995                                                                                                |Star                                  |19 07 18.2908695504 +56 35 44.286569520|087.0895343995850 +20.2894318702550|   7.070 45.335   |8.90     |G5                   |    ~     ~    |    1|  136.256   pc  |  -0.1987     +0.1987  |paral   |2020yCat.1350....0G
928 |HD 239001                                                                                                |Star                                  |19 09 16.3783248528 +56 34 19.443271440|087.1597911857874 +20.0255575316515|   -0.636 3.222   |8.79     |K5                   |    ~     ~    |    1|  791.202   pc  |  -9.8282     +9.8282  |paral   |2020yCat.1350....0G
929 |HD 239007                                                                                                |High Proper Motion Star               |19 10 28.6226209392 +56 42 27.005345460|087.3539794745089 +19.9140601141748| -49.057 98.136   |9.02     |F8                   |    ~     ~    |    1|   75.698   pc  |  -0.0693     +0.0693  |paral   |2020yCat.1350....0G
930 |HD 238965                                                                                                |Star                                  |19 00 05.2287951840 +56 11 58.863735240|086.3542232714007 +21.1145493030674|   -2.593 7.130   |8.90     |K7                   |    ~     ~    |    1|  405.630   pc  |  -2.0402     +2.0402  |paral   |2020yCat.1350....0G
931 |V* BH Dra                                                                                                |Spectroscopic Binary                  |19 03 39.5419708392 +57 27 25.861535388|087.7971875902938 +21.0309683901787|    4.290 5.025   |8.43     |A1Vn                 |    ~     ~    |    1|  285.193   pc  |  -1.5535     +1.5535  |paral   |2020yCat.1350....0G
932 |IDS 19068+5819                                                                                           |Double or Multiple Star               |19 08 48.0 +56 29 00                   |087.0478 +20.0580                  |            ~ ~   |9.8      |~                    |    ~     ~    |    0|                |                       |        |                   
933 |HD 238966                                                                                                |Star                                  |19 00 10.0141948056 +55 58 39.247801932|086.1309551488455 +21.0367260289808|    0.268 6.642   |10.23    |F5                   |    ~     ~    |    1|  324.665   pc  |  -1.3914     +1.3914  |paral   |2020yCat.1350....0G
934 |* 49 Dra                                                                                                 |Star                                  |19 00 43.4564400648 +55 39 29.883053808|085.8309994253275 +20.8647066955112| -10.845 -7.530   |5.513    |G6IIbFe-0.5          |    ~     ~    |    1|  165.620   pc  |  -1.2042     +1.2042  |paral   |2020yCat.1350....0G
935 |HD 238971                                                                                                |Star                                  |19 02 01.4742265152 +55 50 43.055800044|086.0816729532417 +20.7484047463895|   -0.964 1.871   |9.38     |K0                   |    ~     ~    |    1|  512.111   pc  |  -3.0946     +3.0946  |paral   |2020yCat.1350....0G
936 |HD 238973                                                                                                |Star                                  |19 02 09.9744825648 +55 34 46.719710796|085.8184274956835 +20.6467887729182|   -9.569 9.450   |9.17     |K5                   |    ~     ~    |    1|  462.535   pc  |  -2.3533     +2.3533  |paral   |2020yCat.1350....0G
937 |HD 238976                                                                                                |Star                                  |19 03 26.1194185320 +55 36 30.641918328|085.9078355621767 +20.4856513612557| -2.432 -10.950   |9.51     |A0                   |    ~     ~    |    1|  601.757   pc  |  -9.5960     +9.5960  |paral   |2020yCat.1350....0G
938 |HD 238980                                                                                                |Star                                  |19 03 40.8977677536 +55 59 40.951171716|086.3108494690771 +20.5745440073567| 32.603 -12.643   |9.84     |F5                   |    ~     ~    |    1|  266.127   pc  |  -1.8343     +1.8343  |paral   |2020yCat.1350....0G
939 |HD 238981                                                                                                |High Proper Motion Star               |19 04 42.0180111024 +55 22 12.772562124|085.7278021973084 +20.2398876845374| -3.034 -74.473   |9.44     |G5                   |    ~     ~    |    1|  223.644   pc  |  -0.5502     +0.5502  |paral   |2020yCat.1350....0G
940 |HD 238982                                                                                                |Star                                  |19 04 53.0377645440 +55 58 11.889058548|086.3426039466509 +20.4071962030410|   -9.175 9.127   |9.27     |A2                   |    ~     ~    |    1|  232.439   pc  |  -0.7510     +0.7510  |paral   |2020yCat.1350....0G
941 |HD 238985                                                                                                |Double or Multiple Star               |19 04 57.3470 +55 53 19.524            |086.2639034 +20.3717746            |       6.3 -5.2   |9.09     |K7                   |    ~     ~    |    0|                |                       |        |                   
942 |HD 238986                                                                                                |Star                                  |19 05 05.2243312512 +55 51 53.470313028|086.2460147935768 +20.3466919637484| -16.656 -3.545   |9.33     |G5                   |    ~     ~    |    1|  156.971   pc  |  -0.3302     +0.3302  |paral   |2020yCat.1350....0G
943 |HD 238997                                                                                                |Star                                  |19 08 15.8480036400 +55 54 01.688758416|086.4359028493583 +19.9368745007009|-25.857 -39.179   |10.00    |K2                   |    ~     ~    |    1|  407.797   pc  |  -3.1430     +3.1430  |paral   |2020yCat.1350....0G
944 |NGC 6757                           NGC 6757                                                              |Galaxy                                |19 05 03.3832709184 +55 42 54.553421664|086.0933013349359 +20.3028665482254|  -6.734 -1.177   |     ~   |~                    |2.300 0.598    |    1| 1150.483   pc  | -27.6635    +27.6635  |paral   |2020yCat.1350....0G
945 |IRAS 19112+5740                                                                                          |Long-Period Variable Candidate        |19 12 09.4376560920 +57 45 36.548322696|088.4908958651484 +20.0486153767279|  -9.349 -2.857   |9.61     |~                    |    ~     ~    |    1| 1198.9     pc  | -25.01      +25.01    |paral   |2020yCat.1350....0G
946 |BD+56 2186B                                                                                              |Star                                  |19 03 36.2376026784 +56 14 36.735858816|086.5596688278641 +20.6628586609042| -3.016 -10.236   |10.83    |~                    |    ~     ~    |    1|  636.132   pc  |  -6.0700     +6.0700  |paral   |2020yCat.1350....0G
947 |HD 178232                                                                                                |High Proper Motion Star               |19 04 47.7650818440 +55 15 27.124199136|085.6187852678933 +20.1907257295137|-30.523 -65.902   |8.65     |F5                   |    ~     ~    |    1|  158.300   pc  |  -0.3934     +0.3934  |paral   |2020yCat.1350....0G
948 |TYC 3923-157-1                                                                                           |Star                                  |19 00 23.9262811632 +55 33 23.449232412|085.7122234833837 +20.8772117595363|  -2.741 -2.359   |10.47    |~                    |    ~     ~    |    1| 1858.045   pc  | -32.7972    +32.7972  |paral   |2020yCat.1350....0G
949 |TYC 3923-309-1                                                                                           |Star                                  |19 01 55.9078545024 +56 08 25.908129816|086.3777393554869 +20.8519970702267|   13.033 5.726   |10.91    |~                    |    ~     ~    |    1|  427.679   pc  |  -1.9388     +1.9388  |paral   |2020yCat.1350....0G
950 |TYC 3923-573-1                                                                                           |Star                                  |19 01 19.1235023232 +55 34 31.789511760|085.7744141353967 +20.7593397470535|   -2.024 2.555   |10.38    |~                    |    ~     ~    |    1|  303.324   pc  |  -1.2053     +1.2053  |paral   |2020yCat.1350....0G
951 |TYC 3923-585-1                                                                                           |Star                                  |19 05 35.1134570160 +56 01 43.626156780|086.4354543674146 +20.3330756786001|  18.578 -7.445   |10.08    |~                    |    ~     ~    |    1|  313.460   pc  |  -1.2773     +1.2773  |paral   |2020yCat.1350....0G
952 |TYC 3923-621-1                                                                                           |Star                                  |19 04 12.1341711648 +55 41 19.014956988|086.0255119789952 +20.4084308857404|  -1.684 -4.996   |10.19    |~                    |    ~     ~    |    1|  730.887   pc  |  -5.5556     +5.5556  |paral   |2020yCat.1350....0G
953 |TYC 3923-765-1                                                                                           |Star                                  |19 01 18.9140356632 +55 23 04.315009632|085.5801298268890 +20.7005961394214|  8.878 -21.401   |10.25    |~                    |    ~     ~    |    1|  553.342   pc  |  -3.1844     +3.1844  |paral   |2020yCat.1350....0G
954 |TYC 3923-837-1                                                                                           |Star                                  |19 06 23.8370722800 +56 09 01.170936180|086.5969651952839 +20.2648564509726|   0.285 -4.109   |10.12    |~                    |    ~     ~    |    1|  846.167   pc  |  -7.3032     +7.3032  |paral   |2020yCat.1350....0G
955 |TYC 3923-1199-1                                                                                          |Star                                  |19 01 14.0861142096 +55 53 08.685182256|086.0862377714364 +20.8662780906138|  -0.913 -1.150   |10.51    |~                    |    ~     ~    |    0|                |                       |        |                   
956 |TYC 3923-1346-1                                                                                          |Star                                  |19 00 13.0980896592 +55 27 21.985800696|085.6015563899601 +20.8707312350500|  -0.134 -1.174   |9.99     |~                    |    ~     ~    |    1|  550.206   pc  |  -2.7851     +2.7851  |paral   |2020yCat.1350....0G
957 |TYC 3923-1525-1                                                                                          |Star                                  |19 05 32.6218746600 +55 57 35.855642376|086.3639452762021 +20.3165229769802| -1.662 -15.851   |9.93     |~                    |    ~     ~    |    1|  637.146   pc  |  -4.5061     +4.5061  |paral   |2020yCat.1350....0G
958 |TYC 3924-814-1                                                                                           |Star                                  |19 08 40.4485442712 +56 09 31.061370384|086.7152916744108 +19.9678216746760|  10.655 29.562   |10.68    |~                    |    ~     ~    |    1|  338.043   pc  |  -6.1365     +6.1365  |paral   |2020yCat.1350....0G
959 |TYC 3927-80-1                                                                                            |Star                                  |19 04 48.9888945576 +57 14 44.785443624|087.6333652981130 +20.8173136106702|   1.087 -5.271   |10.48    |~                    |    ~     ~    |    1| 1415.028   pc  | -20.2233    +20.2233  |paral   |2020yCat.1350....0G
960 |TYC 3927-81-1                                                                                            |Star                                  |19 01 30.2749254048 +58 04 13.422968292|088.3322597083315 +21.4891239578908|  14.752 14.839   |10.95    |~                    |    ~     ~    |    1|  183.097   pc  |  -0.3218     +0.3218  |paral   |2020yCat.1350....0G
961 |TYC 3927-170-1                                                                                           |Star                                  |19 02 22.3269422280 +57 00 44.251197120|087.2863120455466 +21.0611449779400|-16.661 -31.982   |9.98     |~                    |    ~     ~    |    1|  661.026   pc  |  -4.6317     +4.6317  |paral   |2020yCat.1350....0G
962 |TYC 3927-234-1                                                                                           |Star                                  |19 05 26.9824466904 +57 12 35.436047796|087.6254266488652 +20.7246912945864| -4.156 -19.286   |10.98    |~                    |    ~     ~    |    1|  437.790   pc  |  -2.1849     +2.1849  |paral   |2020yCat.1350....0G
963 |TYC 3927-275-1                                                                                           |Star                                  |19 02 22.6997465160 +58 03 45.015284304|088.3609377670122 +21.3764346356995| -5.735 -16.847   |10.66    |~                    |    ~     ~    |    1|  742.666   pc  |  -5.6810     +5.6810  |paral   |2020yCat.1350....0G
964 |TYC 3927-299-1                                                                                           |Star                                  |19 04 55.9302662784 +57 47 20.158263780|088.1914057602786 +20.9704895986000|  -4.124 -9.016   |10.75    |~                    |    ~     ~    |    1|  619.003   pc  |  -4.0232     +4.0232  |paral   |2020yCat.1350....0G
965 |TYC 3927-340-1                                                                                           |Star                                  |19 05 58.0941147552 +57 01 27.674776452|087.4608718935708 +20.5995801116659|    6.950 2.015   |10.85    |~                    |    ~     ~    |    1| 1271.617   pc  | -15.8467    +15.8467  |paral   |2020yCat.1350....0G
966 |TYC 3927-365-1                                                                                           |Star                                  |19 05 30.0956122632 +57 38 08.803856760|088.0606496306269 +20.8508263158323|    0.760 8.262   |9.92     |~                    |    ~     ~    |    1|  592.382   pc  |  -3.9303     +3.9303  |paral   |2020yCat.1350....0G
967 |TYC 3927-368-1                                                                                           |High Proper Motion Star               |19 01 01.0635850368 +56 59 04.708779720|087.1983171915629 +21.2285965723858|  -1.584 73.441   |10.62    |~                    |    ~     ~    |    1|  222.464   pc  |  -0.6038     +0.6038  |paral   |2020yCat.1350....0G
968 |TYC 3927-471-1                                                                                           |Star                                  |19 05 37.9091155272 +57 45 08.541565416|088.1850392946037 +20.8704753866448| -7.730 -14.717   |10.55    |~                    |    ~     ~    |    1|  853.534   pc  | -10.4178    +10.4178  |paral   |2020yCat.1350....0G
969 |TYC 3927-569-1                                                                                           |Star                                  |19 03 05.4997452120 +57 38 36.938125500|087.9627123717572 +21.1601653566792|   -2.831 2.844   |10.69    |~                    |    ~     ~    |    1|  415.662   pc  |  -2.1079     +2.1079  |paral   |2020yCat.1350....0G
970 |TYC 3927-632-1                                                                                           |Star                                  |19 03 47.0038824744 +58 00 46.376476560|088.3700449578241 +21.1841676274389|  -1.933 -7.004   |10.87    |~                    |    ~     ~    |    1|  969.086   pc  |  -8.4522     +8.4522  |paral   |2020yCat.1350....0G
971 |TYC 3927-644-1                                                                                           |Star                                  |19 00 06.4227574632 +57 22 46.821830952|087.5638834100323 +21.4638474265639|   13.641 3.272   |10.42    |~                    |    ~     ~    |    1|  374.883   pc  |  -2.1783     +2.1783  |paral   |2020yCat.1350....0G
972 |TYC 3927-731-1                                                                                           |Star                                  |19 03 37.8509022936 +57 20 32.082452664|087.6787187696713 +20.9994185053505|  -5.592 -9.317   |10.73    |~                    |    ~     ~    |    1| 1022.390   pc  | -10.0347    +10.0347  |paral   |2020yCat.1350....0G
973 |TYC 3927-738-1                                                                                           |Star                                  |19 02 52.9349822712 +57 20 21.253313040|087.6426399102926 +21.0946812539215|  -1.692 -4.908   |10.51    |~                    |    ~     ~    |    1| 1616.554   pc  | -26.1325    +26.1325  |paral   |2020yCat.1350....0G
974 |TYC 3927-749-1                                                                                           |Star                                  |19 01 59.5487796360 +57 42 20.276903160|087.9787911199956 +21.3189598275806|  6.702 -11.271   |9.86     |~                    |    ~     ~    |    1|  226.567   pc  |  -0.5698     +0.5698  |paral   |2020yCat.1350....0G
975 |TYC 3927-866-1                                                                                           |Star                                  |19 04 46.9189910496 +56 57 36.989354088|087.3416393957511 +20.7328462084486|   17.741 6.185   |10.67    |~                    |    ~     ~    |    1|  246.786   pc  |  -0.8161     +0.8161  |paral   |2020yCat.1350....0G
976 |TYC 3927-906-1                                                                                           |Star                                  |19 00 32.7289526448 +56 45 37.422591192|086.9480666690985 +21.2228907764410|  -0.367 -7.950   |10.23    |~                    |    ~     ~    |    1|  895.415   pc  |  -8.1780     +8.1780  |paral   |2020yCat.1350....0G
977 |TYC 3927-912-1                                                                                           |Star                                  |19 01 29.4275675544 +56 41 34.272511152|086.9209296894552 +21.0789445913408| -3.542 -13.400   |10.71    |~                    |    ~     ~    |    1|  435.104   pc  | -18.5719    +18.5719  |paral   |2020yCat.1350....0G
978 |TYC 3927-953-1                                                                                           |Star                                  |19 05 34.2573871728 +56 56 41.412038244|087.3620203015019 +20.6258666686849| -7.121 -17.544   |10.29    |~                    |    ~     ~    |    1|  648.845   pc  |  -4.2521     +4.2521  |paral   |2020yCat.1350....0G
979 |TYC 3927-959-1                                                                                           |Star                                  |19 03 20.3882494512 +56 45 27.079488360|087.0700050874837 +20.8572485206067| -11.579 -5.702   |10.24    |~                    |    ~     ~    |    1|  721.605   pc  |  -6.3006     +6.3006  |paral   |2020yCat.1350....0G
980 |TYC 3927-1023-1                                                                                          |Star                                  |19 00 26.2137439752 +56 49 41.336306832|087.0126456664982 +21.2573654613543|  -16.107 1.188   |10.77    |~                    |    ~     ~    |    1|  236.463   pc  |  -0.5088     +0.5088  |paral   |2020yCat.1350....0G
981 |TYC 3927-1057-1                                                                                          |Star                                  |19 00 51.4661119320 +56 57 35.876113452|087.1660510673862 +21.2419919717876|   0.197 15.441   |10.49    |~                    |    ~     ~    |    1|  901.063   pc  |  -9.4994     +9.4994  |paral   |2020yCat.1350....0G
982 |TYC 3927-1104-1                                                                                          |Star                                  |19 01 05.2922425224 +56 37 03.477757476|086.8261483599578 +21.1088420579290|  -18.068 5.477   |10.94    |~                    |    ~     ~    |    1|  304.915   pc  |  -3.7096     +3.7096  |paral   |2020yCat.1350....0G
983 |TYC 3927-1173-1                                                                                          |Star                                  |19 02 40.9444248936 +56 19 50.739378240|086.6057809778232 +20.8115177036752| 11.819 -22.290   |10.93    |~                    |    ~     ~    |    1|  181.248   pc  |  -0.3515     +0.3515  |paral   |2020yCat.1350....0G
984 |TYC 3927-1174-1                                                                                          |Star                                  |19 00 53.3186196480 +56 27 57.575385792|086.6623114659200 +21.0891694705118|  -2.341 39.491   |10.15    |~                    |    ~     ~    |    1|  318.188   pc  |  -1.3162     +1.3162  |paral   |2020yCat.1350....0G
985 |TYC 3927-1201-1                                                                                          |Star                                  |19 06 22.3421247672 +56 37 46.171736184|087.0798335412895 +20.4217975205062|-13.753 -41.873   |10.45    |~                    |    ~     ~    |    1|  286.303   pc  |  -1.0492     +1.0492  |paral   |2020yCat.1350....0G
986 |TYC 3927-1219-1                                                                                          |Star                                  |19 01 35.8595681832 +56 29 50.240061996|086.7261211382589 +21.0054229720607|    1.381 2.732   |10.31    |~                    |    ~     ~    |    1|  542.888   pc  |  -3.7430     +3.7430  |paral   |2020yCat.1350....0G
987 |TYC 3927-1224-1                                                                                          |Star                                  |19 01 13.2209626968 +56 46 14.895735312|086.9885524425404 +21.1378406999264| -6.760 -22.451   |10.16    |~                    |    ~     ~    |    1|  768.167   pc  |  -6.1958     +6.1958  |paral   |2020yCat.1350....0G
988 |TYC 3927-1225-1                                                                                          |Star                                  |19 03 41.0645799768 +56 55 42.765869100|087.2596525968798 +20.8652587361745|   2.199 -2.191   |10.78    |~                    |    ~     ~    |    1|  472.188   pc  |  -3.5897     +3.5897  |paral   |2020yCat.1350....0G
989 |TYC 3927-1235-1                                                                                          |Star                                  |19 03 33.3869761272 +56 37 30.083581236|086.9450629077410 +20.7879475521161|   -3.773 4.332   |10.66    |~                    |    ~     ~    |    1|  293.470   pc  |  -0.9301     +0.9301  |paral   |2020yCat.1350....0G
990 |TYC 3927-1347-1                                                                                          |Star                                  |19 04 34.8942980352 +56 50 35.448701424|087.2135669991808 +20.7222722435799|-13.355 -22.600   |10.94    |~                    |    ~     ~    |    1|  617.894   pc  |  -4.0088     +4.0088  |paral   |2020yCat.1350....0G
991 |TYC 3927-1350-1                                                                                          |Star                                  |19 02 47.8075004544 +56 21 13.260025872|086.6343454065557 +20.8035391617390|  -6.281 -7.090   |10.26    |~                    |    ~     ~    |    1|  822.301   pc  |  -6.9646     +6.9646  |paral   |2020yCat.1350....0G
992 |TYC 3927-1556-1                                                                                          |High Proper Motion Star               |19 00 57.7172850000 +56 15 26.634262284|086.4526430248534 +21.0161841037319|-39.297 -36.996   |10.14    |~                    |    ~     ~    |    1|  217.151   pc  |  -3.0415     +3.0415  |paral   |2020yCat.1350....0G
993 |TYC 3927-1557-1                                                                                          |Star                                  |19 06 03.7956007104 +56 20 56.945095188|086.7818787740234 +20.3726251773788|-13.539 -10.417   |10.59    |~                    |    ~     ~    |    1|  402.269   pc  |  -1.6991     +1.6991  |paral   |2020yCat.1350....0G
994 |TYC 3927-1563-1                                                                                          |Star                                  |19 00 40.6934120280 +56 39 18.385329600|086.8462215044274 +21.1738887771222|  -9.713 -0.984   |10.72    |~                    |    ~     ~    |    1|  942.685   pc  |  -9.5975     +9.5975  |paral   |2020yCat.1350....0G
995 |TYC 3927-1571-1                                                                                          |Star                                  |19 05 57.8405813808 +56 32 04.599164436|086.9647336284029 +20.4448285170134|   -4.871 2.252   |10.90    |~                    |    ~     ~    |    1|  471.165   pc  |  -2.2866     +2.2866  |paral   |2020yCat.1350....0G
