C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:09:08

dec >=0&rah >=19.0&rah< 19.25&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 7376

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------|-----|----------------|-----------------------|--------|-------------------
23  |BD+44 3074                                                                                               |Star                                  |19 10 33.9693225864 +44 30 49.152114540|075.4281078092825 +15.4723807680586|   0.655 -0.005   |9.95     |A9V                  |    ~     ~    |    1|  638.366   pc  |  -5.9089     +5.9089  |paral   |2020yCat.1350....0G
24  |BD+44 3075                                                                                               |High Proper Motion Star               |19 10 38.6484627552 +44 32 25.214429328|075.4592309255178 +15.4700342706606|  50.870 51.460   |9.74     |G0                   |    ~     ~    |    1|  115.511   pc  |  -0.1534     +0.1534  |paral   |2020yCat.1350....0G
25  |BD+43 3168                                                                                               |Red Giant Branch star                 |19 09 03.5598199296 +44 07 00.590002140|074.9397560965475 +15.5656662332290|   -3.544 0.715   |10.09    |K0                   |    ~     ~    |    1| 1222.942   pc  | -17.1993    +17.1993  |paral   |2020yCat.1350....0G
26  |HD 178970                                                                                                |Horizontal Branch Star                |19 08 38.2500629832 +43 55 00.895898784|074.7179561136659 +15.5577378449125| -2.559 -37.047   |9.04     |K                    |    ~     ~    |    1|  471.076   pc  |  -7.1900     +7.1900  |paral   |2020yCat.1350....0G
27  |IRAS 19098+4333                                                                                          |Long-Period Variable Candidate        |19 11 22.4390346096 +43 38 09.493456200|074.6513623701035 +14.9931120862734| -4.593 -11.100   |10.60    |~                    |    ~     ~    |    1| 1382.55    pc  | -42.6253    +42.6253  |paral   |2020yCat.1350....0G
28  |BD+45 2853                                                                                               |Star                                  |19 12 56.7258693672 +45 21 53.456362020|076.4117855651918 +15.4193366662229|  -1.628 -2.716   |10.57    |G5III                |    ~     ~    |    1| 1723.247   pc  | -51.6707    +51.6707  |paral   |2020yCat.1350....0G
29  |BD+45 2857                                                                                               |Star                                  |19 13 39.5984703816 +46 08 33.783000216|077.2049051826879 +15.6106086944740|   -3.056 8.878   |10.26    |K2III                |    ~     ~    |    1|  660.240   pc  |  -4.9259     +4.9259  |paral   |2020yCat.1350....0G
30  |BD+45 2860                                                                                               |Rotating Variable                     |19 14 23.9225232600 +46 01 54.289991748|077.1513759502930 +15.4491734461122|   -8.045 8.988   |10.46    |F5V                  |    ~     ~    |    1|  296.244   pc  |  -1.1233     +1.1233  |paral   |2020yCat.1350....0G
31  |BD+45 2861                                                                                               |Star                                  |19 14 39.4539676800 +46 04 08.800302612|077.2053956146030 +15.4226804714966|    0.463 0.787   |10.09    |K3III                |    ~     ~    |    1| 1187.085   pc  | -14.9372    +14.9372  |paral   |2020yCat.1350....0G
32  |BD+45 2862                                                                                               |Red Giant Branch star                 |19 14 56.4588351816 +46 06 41.116251348|077.2658702217212 +15.3942947386500| -4.370 -16.698   |10.58    |K5III                |    ~     ~    |    1| 1066.553   pc  | -13.0817    +13.0817  |paral   |2020yCat.1350....0G
33  |BD+44 3081                                                                                               |Star                                  |19 13 20.0 +44 57 36                   |076.0542 +15.1965                  |            ~ ~   |9.5      |~                    |    ~     ~    |    0|                |                       |        |                   
34  |BD+44 3084                                                                                               |Rotating Variable                     |19 14 47.5756913784 +44 54 20.009921580|076.1091164030949 +14.9379033383254|  7.679 -31.999   |10.01    |F2V                  |    ~     ~    |    1|  343.525   pc  |  -9.4879     +9.4879  |paral   |2020yCat.1350....0G
35  |BD+44 3085                                                                                               |Star                                  |19 14 57.8744294088 +45 14 55.799154708|076.4473744762929 +15.0474231162563| -6.605 -23.241   |10.35    |K2III                |    ~     ~    |    1|  592.487   pc  |  -4.4582     +4.4582  |paral   |2020yCat.1350....0G
36  |BD+43 3166                                                                                               |Star                                  |19 08 47.7336371016 +43 42 43.538775156|074.5337253921382 +15.4516753480211|  6.040 -10.044   |9.85     |G9IIIb               |    ~     ~    |    1| 1321.178   pc  | -16.0587    +16.0587  |paral   |2020yCat.1350....0G
37  |BD+43 3188                                                                                               |Star                                  |19 13 43.4184202800 +44 11 09.579848928|075.3479480089242 +14.8243132110105|    1.501 3.870   |10.50    |A5                   |    ~     ~    |    1|  698.324   pc  |  -6.3395     +6.3395  |paral   |2020yCat.1350....0G
38  |ILF1+43 72                                                                                               |Star                                  |19 14 18.1078642056 +44 02 58.443135252|075.2618267931525 +14.6745013623643| -1.413 -11.245   |10.71    |K0III                |    ~     ~    |    1| 1019.160   pc  | -10.5946    +10.5946  |paral   |2020yCat.1350....0G
39  |BD+43 3190                                                                                               |Star                                  |19 14 20.0719386072 +44 10 07.107424608|075.3769698888502 +14.7170256094842|   -0.716 8.721   |10.94    |F0IV                 |    ~     ~    |    1|  550.025   pc  |  -3.3581     +3.3581  |paral   |2020yCat.1350....0G
40  |TYC 3132-739-1                                                                                           |Star                                  |19 08 03.3238757976 +43 45 23.299290936|074.5221401905659 +15.5921066749460|    2.862 5.136   |10.58    |~                    |    ~     ~    |    1|  370.769   pc  |  -3.3817     +3.3817  |paral   |2020yCat.1350....0G
41  |BD+44 3068                                                                                               |Long-Period Variable                  |19 09 06.5037464784 +44 17 44.934398160|075.1145038387635 +15.6271754533357|  -5.799 -4.636   |10.65    |M2III                |    ~     ~    |    1| 2400.384   pc  | -67.9898    +67.9898  |paral   |2020yCat.1350....0G
42  |TYC 3132-2040-1                                                                                          |High Proper Motion Star               |19 09 55.5773875656 +43 51 02.449475964|074.7488375223366 +15.3180958169539|   1.811 53.190   |10.66    |F6IV                 |    ~     ~    |    1|  194.028   pc  |  -0.5045     +0.5045  |paral   |2020yCat.1350....0G
43  |TYC 3133-468-1                                                                                           |Star                                  |19 14 11.3060643720 +44 59 57.246580608|076.1537963880749 +15.0733691512928|  -22.118 7.337   |10.43    |~                    |    ~     ~    |    0|                |                       |        |                   
44  |TYC 3133-786-1                                                                                           |Star                                  |19 10 05.4241682112 +44 32 43.046276784|075.4239523393747 +15.5627920031809|   8.242 -1.819   |9.82     |G2V                  |    ~     ~    |    1|  111.663   pc  |  -0.1571     +0.1571  |paral   |2020yCat.1350....0G
45  |TYC 3133-1000-1                                                                                          |Eruptive Variable                     |19 14 25.3352156712 +44 58 28.153497144|076.1473717499945 +15.0255858981464|  -5.116 -4.371   |10.85    |~                    |    ~     ~    |    1| 1047.230   pc  | -12.3926    +12.3926  |paral   |2020yCat.1350....0G
46  |TYC 3133-1172-1                                                                                          |Star                                  |19 11 37.8504440208 +44 29 26.310482304|075.4834849649104 +15.2887568007544|   0.273 10.573   |10.68    |~                    |    ~     ~    |    1|  661.376   pc  | -11.8103    +11.8103  |paral   |2020yCat.1350....0G
47  |TYC 3133-1435-1                                                                                          |Star                                  |19 10 22.2917813352 +44 43 12.456287580|075.6113284757761 +15.5849289559132|    6.268 9.300   |10.95    |~                    |    ~     ~    |    1|  514.854   pc  |  -3.2339     +3.2339  |paral   |2020yCat.1350....0G
48  |TYC 3133-1480-1                                                                                          |Rotating Variable                     |19 10 30.5576691576 +44 16 50.945669832|075.2017440030487 +15.3905107568855| -4.883 -27.086   |10.37    |F6IV                 |    ~     ~    |    1|  216.118   pc  |  -0.9155     +0.9155  |paral   |2020yCat.1350....0G
49  |TYC 3133-1481-1                                                                                          |Star                                  |19 13 27.6260554224 +44 01 55.885790712|075.1825989622933 +14.8060057181642|   0.916 24.068   |10.88    |~                    |    ~     ~    |    1|  534.359   pc  |  -2.6270     +2.6270  |paral   |2020yCat.1350....0G
50  |TYC 3133-1550-1                                                                                          |Star                                  |19 11 53.6128033224 +44 24 41.640156828|075.4273495470724 +15.2144751329431|  -5.316 -4.358   |10.84    |~                    |    ~     ~    |    1|  476.758   pc  | -14.3652    +14.3652  |paral   |2020yCat.1350....0G
