C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:30:38

dec< 0&rah >=20.5&rah< 20.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 4644

 #  |                                               identifier                                                |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type     |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-------------------|---------------|-----|----------------|-------------------------|--------|-------------------
713 |CD-24 16078                                                                                              |Star                               |20 30 28.9407736368 -24 06 34.288367544|020.0719699357121 -31.7694795464513|  21.718 -8.003   |10.290   |~                  |    ~     ~    |    1|  164.194   pc  |  -1.6880     +1.6880    |ST-L    |2020AJ....160...83S
714 |HD 195423                                                                                                |Star                               |20 31 58.2719341608 -24 03 45.734226912|020.2485158416804 -32.0780358394187|  12.229 -9.209   |10.05    |A0V                |    ~     ~    |    1|  516.289   pc  |  -9.6759     +9.6759    |paral   |2020yCat.1350....0G
715 |HD 195455                                                                                                |Star                               |20 32 14.6954243880 -24 04 03.661637772|020.2657431673158 -32.1389950713338|   1.383 -8.984   |9.20     |B1/2III            |    ~     ~    |    0|                |                         |        |                   
716 |CD-24 16099                                                                                              |Star                               |20 32 22.7657091144 -24 11 51.333693000|020.1309334123796 -32.2082581149020|  22.998 -8.622   |10.20    |~                  |    ~     ~    |    1|  462.694   pc  | -15.3100    +15.3100    |ST-L    |2020AJ....160...83S
717 |HD 195497                                                                                                |Star                               |20 32 27.8142139200 -23 57 58.020887772|020.3980641090621 -32.1550293177171|   -6.738 6.183   |8.91     |A1mA7-F2           |    ~     ~    |    1|  269.513   pc  |  -1.6198     +1.6198    |paral   |2020yCat.1350....0G
718 |CD-24 16104                                                                                              |Spectroscopic Binary               |20 33 07.7266599336 -24 17 13.303511196|020.0922605114870 -32.3982815126886|  17.518 -0.260   |10.589   |~                  |    ~     ~    |    1|  486.400   pc  | -30.8700    +30.8700    |ST-L    |2020AJ....160...83S
719 |CD-24 16129                                                                                              |Star                               |20 35 20.4521905440 -24 18 27.302610168|020.2515508581470 -32.8845786752548|  -5.147 -1.772   |10.480   |~                  |    ~     ~    |    1|  882.519   pc  | -48.4000    +48.4000    |ST-L    |2020AJ....160...83S
720 |CD-24 16130                                                                                              |Star                               |20 35 28.5891532440 -24 17 23.769049236|020.2827563301997 -32.9086571129064|   0.949 -2.856   |10.416   |~                  |    ~     ~    |    1| 1162.840   pc  | -85.2400    +85.2400    |ST-L    |2020AJ....160...83S
721 |HD 196044                                                                                                |Star                               |20 35 34.7247197640 -23 53 46.289262048|020.7375405893423 -32.8104725473336| -11.177 -4.128   |9.18     |G8/K0III           |    ~     ~    |    1|  496.376   pc  |  -3.5234     +3.5234    |paral   |2020yCat.1350....0G
722 |HD 196080                                                                                                |Star                               |20 35 49.0073105280 -24 22 24.318684120|020.2159574207896 -33.0078419032180|   15.025 5.577   |7.66     |K0III              |    ~     ~    |    1|  240.564   pc  |  -1.1864     +1.1864    |paral   |2020yCat.1350....0G
723 |HD 196208                                                                                                |Star                               |20 36 33.6816449760 -24 11 37.918827888|020.4815018899273 -33.1150852296184| -14.219 -0.016   |9.40     |G8/K0III           |    ~     ~    |    1|  505.817   pc  |  -4.4006     +4.4006    |paral   |2020yCat.1350....0G
724 |HD 195078                                                                                                |High Proper Motion Star            |20 30 02.3034582480 -24 46 31.749454668|019.2895806425309 -31.8780571207455|100.164 -37.703   |10.161   |G5V                |    ~     ~    |    1|  114.759   pc  |  -0.8159     +0.8159    |ST-L    |2020AJ....160...83S
725 |HD 195299                                                                                                |Star                               |20 31 16.6629015456 -25 01 35.534271468|019.1075515935982 -32.2218587140060|  0.043 -16.024   |9.66     |K1(III)            |    ~     ~    |    1|  797.385   pc  | -10.7454    +10.7454    |paral   |2020yCat.1350....0G
726 |HD 195331                                                                                                |Star                               |20 31 26.1431835024 -25 01 43.714953156|019.1177049543828 -32.2566795205915|-11.647 -25.472   |9.17     |F3V                |    ~     ~    |    1|  150.240   pc  |  -0.4311     +0.4311    |paral   |2020yCat.1350....0G
727 |HD 195400                                                                                                |Star                               |20 31 51.1514544648 -24 59 54.788690184|019.1853983789409 -32.3376605617535|   12.639 2.573   |9.04     |K2III              |    ~     ~    |    1|  642.508   pc  |  -8.2976     +8.2976    |paral   |2020yCat.1350....0G
728 |HD 195470                                                                                                |Star                               |20 32 18.9383606808 -24 52 13.649473344|019.3674131855561 -32.3992748968429|  10.156 -1.529   |7.33     |K4/5III            |    ~     ~    |    1|  337.553   pc  |  -2.1991     +2.1991    |paral   |2020yCat.1350....0G
729 |CD-25 14855                                                                                              |Star                               |20 33 08.4764157456 -24 59 25.197282744|019.2984135164834 -32.6137941468443|   5.661 -1.759   |9.70     |~                  |    ~     ~    |    1| 1141.422   pc  | -23.7118    +23.7118    |paral   |2020yCat.1350....0G
730 |HD 195735                                                                                                |Star                               |20 33 50.1954803160 -24 39 33.705697824|019.7295751322207 -32.6648734159264|    8.848 0.432   |8.24     |K1/2III            |    ~     ~    |    1|  555.494   pc  |  -6.8195     +6.8195    |paral   |2020yCat.1350....0G
731 |HD 195798                                                                                                |Star                               |20 34 12.3456687840 -25 02 29.498996976|019.3258128111422 -32.8592456560199| 12.821 -26.747   |9.68     |K1III              |    ~     ~    |    1|  553.312   pc  |  -5.4802     +5.4802    |paral   |2020yCat.1350....0G
732 |CD-25 14878                                                                                              |Star                               |20 34 47.0723273520 -24 59 59.321421852|019.4196939218186 -32.9720305335163|-31.843 -26.077   |10.046   |~                  |    ~     ~    |    1|  267.910   pc  |  -4.2750     +4.2750    |ST-L    |2020AJ....160...83S
733 |CD-23 16361                                                                                              |Star                               |20 35 51.6074480880 -22 58 41.141024508|021.7979189447772 -32.5850804145130|  34.211 -7.995   |10.325   |~                  |    ~     ~    |    1|  288.482   pc  |  -4.5560     +4.5560    |ST-L    |2020AJ....160...83S
734 |CD-25 14816                                                                                              |Star                               |20 30 00.1000989144 -25 17 28.137724872|018.7072254799111 -32.0257740692176|  -5.312 -8.998   |10.458   |~                  |    ~     ~    |    1|  677.939   pc  | -28.9400    +28.9400    |ST-L    |2020AJ....160...83S
735 |TYC 6907-1521-1                                                                                          |Star                               |20 30 00.2664176040 -23 24 14.589413280|020.8180630621941 -31.4440691511453| -5.522 -10.505   |10.413   |~                  |    ~     ~    |    1| 1157.380   pc  | -76.8700    +76.8700    |ST-L    |2020AJ....160...83S
736 |CD-25 14819                                                                                              |Star                               |20 30 22.7360541504 -25 02 14.610357384|019.0229667923249 -32.0309780325869|  16.641 -4.530   |10.685   |~                  |    ~     ~    |    1|  939.155   pc  | -45.2800    +45.2800    |ST-L    |2020AJ....160...83S
737 |CD-24 16080                                                                                              |Star                               |20 30 31.9274028624 -23 59 09.622399488|020.2141859612443 -31.7418615725394|  16.693 -1.143   |10.778   |~                  |    ~     ~    |    1|  310.773   pc  |  -6.2850     +6.2850    |ST-L    |2020AJ....160...83S
738 |CD-25 14822                                                                                              |Chemically Peculiar Star           |20 30 33.3923903040 -25 19 50.247031440|018.7069889461591 -32.1572414262202|  0.388 -22.607   |10.415   |CEMP               |    ~     ~    |    1| 4072.810   pc  |-1880.0000   +1880.0000  |ST-L    |2020AJ....160...83S
739 |CD-23 16296                                                                                              |Star                               |20 31 00.5271695736 -23 27 29.954558376|020.8433727205869 -31.6797713824951|    1.871 4.024   |10.371   |~                  |    ~     ~    |    1| 1075.770   pc  | -68.0900    +68.0900    |ST-L    |2020AJ....160...83S
740 |CD-25 14834                                                                                              |Star                               |20 31 09.6399646176 -24 52 47.338246344|019.2634077818175 -32.1523422858977|  6.664 -37.952   |10.618   |~                  |    ~     ~    |    1|  255.055   pc  |  -3.8080     +3.8080    |ST-L    |2020AJ....160...83S
741 |CD-24 16091                                                                                              |Star                               |20 31 49.6603232592 -23 47 46.891772808|020.5350667606501 -31.9640654903792|   0.196 -3.901   |10.97    |~                  |    ~     ~    |    1| 1481.262   pc  | -39.9333    +39.9333    |paral   |2020yCat.1350....0G
742 |CD-23 16311                                                                                              |Long-Period Variable Candidate     |20 32 01.5755022648 -22 54 13.797055188|021.5487048566686 -31.7247991206752|   1.857 -0.777   |10.74    |~                  |    ~     ~    |    1| 2693.24    pc  |-139.268    +139.268     |paral   |2020yCat.1350....0G
743 |CD-23 16322                                                                                              |Star                               |20 32 59.0532965088 -22 55 47.522789472|021.6028221953318 -31.9421076038815|   -1.849 0.578   |10.603   |~                  |    ~     ~    |    1|  930.078   pc  | -58.4100    +58.4100    |ST-L    |2020AJ....160...83S
744 |CD-25 14856                                                                                              |High Proper Motion Star            |20 33 08.1989693952 -24 37 47.787433428|019.7058238379801 -32.5043715633145| 81.039 -25.494   |10.580   |~                  |    ~     ~    |    1|  148.038   pc  |  -1.1920     +1.1920    |ST-L    |2020AJ....160...83S
745 |CD-25 14858                                                                                              |Star                               |20 33 12.2021571888 -24 38 28.402151676|019.6985125377136 -32.5222362128330|   0.349 -5.262   |10.307   |~                  |    ~     ~    |    1|  643.570   pc  | -25.4300    +25.4300    |ST-L    |2020AJ....160...83S
746 |CD-24 16111                                                                                              |Star                               |20 33 39.0225080328 -24 16 46.774984368|020.1436663223686 -32.5091908034933| 17.173 -25.260   |10.130   |~                  |    ~     ~    |    1|  493.252   pc  | -18.0200    +18.0200    |ST-L    |2020AJ....160...83S
747 |CD-24 16116                                                                                              |Spectroscopic Binary               |20 33 47.0159777376 -24 13 19.928686764|020.2195541652634 -32.5205243092562| 17.660 -13.209   |10.896   |~                  |    ~     ~    |    1|  431.904   pc  | -19.7900    +19.7900    |ST-L    |2020AJ....160...83S
748 |CD-23 16329                                                                                              |Star                               |20 33 48.1153498128 -23 09 27.298945188|021.4187199370180 -32.1929086264851|   8.443 -2.800   |10.29    |~                  |    ~     ~    |    1| 1141.340   pc  | -92.3000    +92.3000    |ST-L    |2020AJ....160...83S
749 |CD-24 16121                                                                                              |Star                               |20 34 09.6885052896 -23 57 59.904965988|020.5394103510237 -32.5240674066079|    4.080 0.656   |10.24    |~                  |    ~     ~    |    1| 1540.595   pc  | -39.1616    +39.1616    |paral   |2020yCat.1350....0G
750 |CPD-24 7024                                                                                              |Star                               |20 35 51.7669011384 -24 12 43.487555112|020.4030319285899 -32.9688689707701|   -5.042 2.870   |10.304   |~                  |    ~     ~    |    1| 1140.190   pc  | -80.7700    +80.7700    |ST-L    |2020AJ....160...83S
751 |CD-25 14899                                                                                              |Star                               |20 36 07.3911916368 -24 45 44.869240152|019.7980017042394 -33.1911863907566| -0.789 -19.177   |10.125   |~                  |    ~     ~    |    1|  721.126   pc  | -28.2900    +28.2900    |ST-L    |2020AJ....160...83S
752 |CD-24 16147                                                                                              |High Proper Motion Star            |20 36 50.507880 -24 16 17.76612        |020.416176646 -33.199579131        |     48.4 -40.4   |10.297   |~                  |    ~     ~    |    1|  170.056   pc  | +22.377     +45         |ST-L    |2017AJ....153...75K
753 |CD-24 16150                                                                                              |Star                               |20 37 08.5069523472 -23 41 07.895393232|021.1076513045300 -33.0857230491727| -5.450 -24.029   |10.527   |~                  |    ~     ~    |    1|  301.737   pc  |  -5.5120     +5.5120    |ST-L    |2020AJ....160...83S
754 |CD-23 16375                                                                                              |Long-Period Variable Candidate     |20 37 09.9008828712 -23 23 52.677392136|021.4357732781404 -33.0016571531192| -3.749 -15.688   |10.60    |~                  |    ~     ~    |    1| 2414.29    pc  |-174.281    +174.281     |paral   |2020yCat.1350....0G
755 |TYC 6907-1491-1                                                                                          |Star                               |20 30 12.1376790024 -23 15 38.220073452|020.9943866160012 -31.4414648823592|  8.474 -12.833   |10.01    |~                  |    ~     ~    |    1|  986.291   pc  | -16.3425    +16.3425    |paral   |2020yCat.1350....0G
756 |TYC 6908-842-1                                                                                           |Star                               |20 34 25.2112204752 -22 45 45.248446224|021.9147770187503 -32.2020275935210| -27.017 -5.141   |10.65    |~                  |    ~     ~    |    1|  420.628   pc  | -10.4387    +10.4387    |paral   |2020yCat.1350....0G
757 |TYC 6908-928-1                                                                                           |Spectroscopic Binary               |20 34 36.3627833064 -23 23 30.288485580|021.2246525147165 -32.4419832090623|  7.559 -38.283   |10.91    |~                  |    ~     ~    |    1|  257.891   pc  |  -8.4332     +8.4332    |paral   |2020yCat.1350....0G
758 |TYC 6908-1296-1                                                                                          |Star                               |20 32 22.0416424200 -23 44 03.486045444|020.6500724780856 -32.0619901656992| 22.562 -28.556   |10.920   |~                  |    ~     ~    |    1|  314.299   pc  |  -5.9500     +5.9500    |ST-L    |2020AJ....160...83S
759 |TYC 6908-1788-1                                                                                          |Star                               |20 36 29.9080917360 -24 01 25.042119204|020.6698044563976 -33.0495453517862|  -5.402 -0.948   |10.81    |~                  |    ~     ~    |    1|  154.581   pc  |  -0.4540     +0.4540    |paral   |2020yCat.1350....0G
760 |IRAS 20322-2505                                                                                          |Long-Period Variable Candidate     |20 35 12.7188342000 -24 55 37.343757756|019.5368989571475 -33.0428850017681|  1.218 -12.383   |10.51    |~                  |    ~     ~    |    1| 1361.66    pc  | -49.8755    +49.8755    |paral   |2020yCat.1350....0G
761 |TYC 6912-566-1                                                                                           |Star                               |20 31 46.6435626192 -25 02 14.285455152|019.1356061816259 -32.3330537383672|  7.260 -47.437   |10.86    |~                  |    ~     ~    |    1|  194.515   pc  |  -2.5691     +2.5691    |paral   |2020yCat.1350....0G
762 |CRTS J203510.7-244256                                                                                    |Eclipsing Binary                   |20 35 10.8470416776 -24 42 55.615370256|019.7751803846697 -32.9729402416658|  24.549 -1.505   |10.94    |~                  |    ~     ~    |    1|  376.138   pc  |  -3.9048     +3.9048    |paral   |2020yCat.1350....0G
763 |TYC 6912-1359-1                                                                                          |Star                               |20 33 45.2583112968 -25 06 51.724772136|019.2068953936544 -32.7832932331024|  25.623 -3.366   |10.920   |~                  |    ~     ~    |    1|  176.821   pc  |  -2.6230     +2.6230    |ST-L    |2020AJ....160...83S
764 |HD 196384                                                                                                |Star                               |20 37 43.4433909504 -22 26 34.304694540|022.5636215897433 -32.8219321947054| -14.860 10.510   |7.41     |F5V                |    ~     ~    |    1|   54.135   pc  |  -0.0689     +0.0689    |paral   |2020yCat.1350....0G
765 |HD 196429                                                                                                |Double or Multiple Star            |20 38 03.3421 -22 43 58.049            |022.2654333 -32.9869861            |       -0.7 7.0   |9.51     |K1IV               |    ~     ~    |    0|                |                         |        |                   
766 |CD-23 16386                                                                                              |Star                               |20 38 13.2932328024 -22 42 21.420334116|022.3102619373112 -33.0147301538612|   26.413 3.549   |10.222   |~                  |    ~     ~    |    1|  180.846   pc  |  -3.0320     +3.0320    |ST-L    |2020AJ....160...83S
767 |HD 196618                                                                                                |Star                               |20 39 10.2991995288 -22 44 35.675093472|022.3509600271589 -33.2343386011734|-40.009 -11.216   |9.46     |G8IV               |    ~     ~    |    1|  168.226   pc  |  -0.5235     +0.5235    |paral   |2020yCat.1350....0G
768 |HD 196734                                                                                                |Star                               |20 39 54.0064218264 -22 57 16.940969928|022.1740032093245 -33.4602366798103| 31.106 -15.176   |9.50     |F6V                |    ~     ~    |    1|  249.756   pc  |  -1.1602     +1.1602    |paral   |2020yCat.1350....0G
769 |HD 196733                                                                                                |Star                               |20 39 55.9598471712 -22 49 33.907461060|022.3231576364124 -33.4269281731392|  -8.792 -4.839   |8.52     |K3/4(V)            |    ~     ~    |    1|  672.631   pc  | -12.3062    +12.3062    |paral   |2020yCat.1350....0G
770 |HD 196743                                                                                                |Star                               |20 40 01.9867554408 -23 01 57.359808696|022.0967999248794 -33.5137022657522| -2.806 -19.516   |8.77     |A2III/IV           |    ~     ~    |    1|  292.826   pc  |  -2.3237     +2.3237    |paral   |2020yCat.1350....0G
771 |CD-23 16408                                                                                              |Star                               |20 40 04.2716990952 -22 59 46.294848276|022.1415613352295 -33.5106330055791| 31.210 -13.978   |9.46     |~                  |    ~     ~    |    1|  149.345   pc  |  -0.5420     +0.5420    |paral   |2020yCat.1350....0G
772 |HD 196761                                                                                                |High Proper Motion Star            |20 40 11.7551137131 -23 46 25.918619793|021.2637291075833 -33.7781179482365|499.697 461.374   |6.37     |G7.5IV-V           |    ~     ~    |    1|   14.6723  pc  |  -0.0064     +0.0064    |paral   |2020yCat.1350....0G
773 |HD 196430                                                                                                |High Proper Motion Star            |20 38 04.8918881280 -24 13 44.014738080|020.5671508055520 -33.4560274152366| 50.761 -22.010   |6.88     |A7V                |    ~     ~    |    1|  116.247   pc  |  -0.3446     +0.3446    |paral   |2020yCat.1350....0G
774 |HD 196559                                                                                                |Star                               |20 39 00.2704000824 -24 04 40.131925608|020.8162755534916 -33.6110435161984| -4.032 -21.082   |8.92     |K3/4III            |    ~     ~    |    1|  826.446   pc  | -13.1139    +13.1139    |paral   |2020yCat.1350....0G
775 |HD 196560                                                                                                |Star                               |20 39 01.0329774528 -24 27 54.440376912|020.3734689265736 -33.7302436290565| -3.010 -16.220   |10.16    |A7/8+F/G           |    ~     ~    |    1|  448.672   pc  | -20.0703    +20.0703    |paral   |2020yCat.1350....0G
776 |CD-24 16176                                                                                              |Long-Period Variable Candidate     |20 39 14.1829921752 -24 20 38.290870464|020.5304309851057 -33.7416169807655| -4.382 -12.975   |9.23     |M4III              |    ~     ~    |    1|  657.678   pc  | -15.5715    +15.5715    |paral   |2020yCat.1350....0G
777 |HD 196745                                                                                                |Star                               |20 40 06.1228195608 -24 10 30.390224916|020.7955641197146 -33.8791438845586|   -4.889 7.337   |9.36     |G6/8IIICNIV        |    ~     ~    |    1|  531.547   pc  |  -5.6791     +5.6791    |paral   |2020yCat.1350....0G
778 |CD-24 16192B                                                                                             |Star                               |20 40 04.3510682256 -24 10 23.886640020|020.7952005159755 -33.8721774349081| -6.974 -15.665   |10.93    |~                  |    ~     ~    |    1|  254.110   pc  |  -1.3625     +1.3625    |paral   |2020yCat.1350....0G
779 |HD 196800                                                                                                |High Proper Motion Star            |20 40 22.3333499453 -24 07 04.900463535|020.8834864253478 -33.9207531775798|180.429 -292.022  |7.23     |G1/2V              |    ~     ~    |    1|   41.6564  pc  |  -0.0419     +0.0419    |paral   |2020yCat.1350....0G
780 |HD 196375                                                                                                |Star                               |20 37 43.0501919760 -24 35 57.842251620|020.1136421855282 -33.4882057223005|  -13.496 2.123   |9.573    |G5V                |    ~     ~    |    1|  683.186   pc  | -29.1600    +29.1600    |ST-L    |2020AJ....160...83S
781 |CD-25 14928                                                                                              |Star                               |20 38 14.1524116968 -24 41 05.217565524|020.0579126403394 -33.6260749011158|   1.750 -7.084   |9.72     |~                  |    ~     ~    |    1|  920.471   pc  | -13.1326    +13.1326    |paral   |2020yCat.1350....0G
782 |CD-24 16159                                                                                              |Star                               |20 38 03.4065194784 -24 02 03.159029256|020.7873940507797 -33.3916567391355|   3.808 -0.375   |10.34    |~                  |    ~     ~    |    1|  252.544   pc  |  -3.4377     +3.4377    |paral   |2020yCat.1350....0G
783 |CD-24 16154                                                                                              |Star                               |20 37 30.8026737072 -23 46 27.333081336|021.0380952567357 -33.1939539557576|   -3.215 1.099   |10.635   |~                  |    ~     ~    |    1|  876.399   pc  | -36.6500    +36.6500    |ST-L    |2020AJ....160...83S
784 |TYC 6908-532-1                                                                                           |Star                               |20 37 56.6105284632 -22 34 08.155279632|022.4407227002575 -32.9102866382686| -9.441 -31.890   |10.899   |~                  |    ~     ~    |    1|  283.995   pc  |  -4.8120     +4.8120    |ST-L    |2020AJ....160...83S
785 |CPD-23 7830                                                                                              |Star                               |20 40 12.6344368368 -22 34 06.012275772|022.6403921246253 -33.4062390471911|   4.559 11.822   |10.21    |~                  |    ~     ~    |    1|  904.932   pc  | -52.3200    +52.3200    |ST-L    |2020AJ....160...83S
786 |CPD-22 7875                                                                                              |Star                               |20 44 20.0897335872 -21 57 42.663470904|023.6979430592802 -34.1170965020529| 10.753 -21.817   |10.502   |~                  |    ~     ~    |    1|  343.417   pc  |  -8.3160     +8.3160    |ST-L    |2020AJ....160...83S
787 |BD-22 5505                                                                                               |Star                               |20 42 03.3666171720 -22 28 12.851267700|022.9143779954860 -33.7793150783157|   6.474 -3.996   |9.46     |K5                 |    ~     ~    |    1|  940.822   pc  | -15.2245    +15.2245    |paral   |2020yCat.1350....0G
788 |HD 197267                                                                                                |Star                               |20 43 22.2476019240 -22 18 15.519236256|023.2201417957567 -34.0148430996699|  18.834 -9.127   |8.95     |F3V                |    ~     ~    |    1|  132.723   pc  |  -0.3770     +0.3770    |paral   |2020yCat.1350....0G
789 |HD 197368                                                                                                |Star                               |20 43 56.5326804528 -22 15 10.009065708|023.3298409001526 -34.1238034023523|   12.303 0.994   |9.34     |G5V                |    ~     ~    |    1|  199.859   pc  |  -2.3390     +2.3390    |ST-L    |2020AJ....160...83S
790 |HD 196837                                                                                                |Star                               |20 40 38.6049128880 -23 20 13.855810668|021.8014940936930 -33.7416954397310|-14.011 -18.170   |9.32     |K4/5III            |    ~     ~    |    1|  593.754   pc  |  -5.7112     +5.7112    |paral   |2020yCat.1350....0G
791 |CD-23 16420                                                                                              |Star                               |20 41 12.2349598776 -22 51 19.015438788|022.4003753148303 -33.7141546790884|  6.489 -24.519   |9.67     |~                  |    ~     ~    |    1| 1402.440   pc  |-130.0000   +130.0000    |ST-L    |2020AJ....160...83S
792 |HD 197047                                                                                                |Star                               |20 41 52.5783063024 -23 08 11.260247352|022.1368596189898 -33.9488676527735|  36.444 14.706   |8.06     |F3V                |    ~     ~    |    1|  106.750   pc  |  -0.3567     +0.3567    |paral   |2020yCat.1350....0G
793 |CD-23 16431                                                                                              |Star                               |20 42 09.5435251776 -22 51 01.682735328|022.4888485660762 -33.9216127611066|  0.030 -10.917   |9.67     |~                  |    ~     ~    |    1|  588.824   pc  |  -7.8704     +7.8704    |paral   |2020yCat.1350....0G
794 |HD 197111                                                                                                |Star                               |20 42 11.5511383416 -23 00 04.522807296|022.3190518044274 -33.9759927323132|    3.631 1.989   |8.58     |K2(III)            |    ~     ~    |    1|  647.668   pc  | -11.3678    +11.3678    |paral   |2020yCat.1350....0G
795 |HD 197110                                                                                                |Star                               |20 42 11.1065872728 -22 37 45.503795784|022.7440632185298 -33.8578560639641|  15.786 -3.933   |9.24     |K1(IV)CNIII        |    ~     ~    |    1|  501.052   pc  |  -4.4185     +4.4185    |paral   |2020yCat.1350....0G
796 |CD-23 16441                                                                                              |Star                               |20 43 08.5526133648 -22 41 45.568011192|022.7514960271252 -34.0884979000310|  -4.672 -0.841   |9.87     |~                  |    ~     ~    |    1| 1088.969   pc  | -36.6429    +36.6429    |paral   |2020yCat.1350....0G
797 |HD 197320                                                                                                |Star                               |20 43 39.3699600144 -23 28 12.665703504|021.9049093495769 -34.4403670299997|  11.150 -4.111   |7.97     |F6V                |    ~     ~    |    1|  155.785   pc  |  -0.6650     +0.6650    |paral   |2020yCat.1350....0G
798 |HD 197468                                                                                                |Star                               |20 44 38.9143335504 -23 11 14.493779916|022.3162693048703 -34.5706645928076|  -1.069 18.040   |8.93     |F5V                |    ~     ~    |    1|  167.205   pc  |  -2.8824     +2.8824    |paral   |2020yCat.1350....0G
799 |CD-24 16238                                                                                              |High Proper Motion Star            |20 44 23.3927233992 -23 38 58.461421812|021.7594044152664 -34.6550467300598| 62.426 -73.591   |9.52     |~                  |    ~     ~    |    1|  132.631   pc  |  -0.2621     +0.2621    |paral   |2020yCat.1350....0G
800 |CCDM J20444-2339BC                                                                                       |Double or Multiple Star            |20 44 23.7 -23 38 18                   |021.7729 -34.6528                  |            ~ ~   |9.7      |~                  |    ~     ~    |    0|                |                         |        |                   
801 |CD-24 16196                                                                                              |Star                               |20 40 47.6019440448 -24 31 26.783505156|020.4504324058602 -34.1335762664960| -7.897 -32.108   |10.528   |~                  |    ~     ~    |    1|  258.135   pc  |  -3.7270     +3.7270    |ST-L    |2020AJ....160...83S
802 |CD-24 16197                                                                                              |Star                               |20 41 02.0387871408 -24 12 41.581889748|020.8305281107504 -34.0928075979523|    7.358 2.775   |10.27    |~                  |    ~     ~    |    1|  837.942   pc  | -12.9195    +12.9195    |paral   |2020yCat.1350....0G
803 |HD 196915                                                                                                |Star                               |20 41 05.7341990712 -24 30 16.448012424|020.4975910704190 -34.1934459025879|  11.146 -6.074   |9.23     |A9V                |    ~     ~    |    1|  221.058   pc  |  -6.0399     +6.0399    |paral   |2020yCat.1350....0G
804 |CD-24 16209                                                                                              |Star                               |20 41 41.0639951136 -24 10 12.059670432|020.9320649207837 -34.2219047005981|  -2.680 -4.958   |10.00    |~                  |    ~     ~    |    1|  853.534   pc  | -12.8219    +12.8219    |paral   |2020yCat.1350....0G
805 |TYC 6921-80-1                                                                                            |Star                               |20 42 28.4863437480 -22 57 07.280893620|022.3998886453517 -34.0223943520431|  2.409 -11.601   |10.79    |~                  |    ~     ~    |    1| 1221.598   pc  | -51.6336    +51.6336    |paral   |2020yCat.1350....0G
806 |BD-22 5506                                                                                               |Star                               |20 42 03.0124937928 -22 17 56.916178332|023.1089572009515 -33.7236313252063|   21.323 4.678   |10.13    |~                  |    ~     ~    |    1|  272.140   pc  | -12.6500    +12.6500    |ST-L    |2020AJ....160...83S
807 |CD-23 16422                                                                                              |Star                               |20 41 18.8028047808 -22 58 31.632582324|022.2726010560153 -33.7757028238121|   9.768 -9.670   |10.966   |~                  |    ~     ~    |    1|  271.748   pc  |  -5.6090     +5.6090    |ST-L    |2020AJ....160...83S
808 |CPD-22 7866                                                                                              |Star                               |20 42 43.6562399232 -22 15 48.265483284|023.2098148503033 -33.8607726107777|  -2.329 -3.575   |10.845   |~                  |    ~     ~    |    1|  825.827   pc  | -34.9100    +34.9100    |ST-L    |2020AJ....160...83S
809 |BD-22 5515                                                                                               |Star                               |20 44 31.1284933416 -22 13 35.215484412|023.4112780982531 -34.2419442085441| 35.766 -20.703   |10.622   |~                  |    ~     ~    |    1|  422.486   pc  | -12.4400    +12.4400    |ST-L    |2020AJ....160...83S
810 |CPD-22 7878                                                                                              |Star                               |20 44 55.0862436240 -22 10 27.807120408|023.5065627240214 -34.3130279108938|  -5.839 -6.973   |10.811   |~                  |    ~     ~    |    1|  203.209   pc  |  -3.0790     +3.0790    |ST-L    |2020AJ....160...83S
811 |CD-24 16219                                                                                              |Star                               |20 42 28.3225475472 -23 41 34.683566820|021.5478807756359 -34.2497245132373|    8.471 1.567   |10.60    |~                  |    ~     ~    |    1| 1373.815   pc  | -33.2177    +33.2177    |paral   |2020yCat.1350....0G
812 |CPD-24 7061                                                                                              |Star                               |20 44 23.9013172536 -23 38 22.054357500|021.7718364189983 -34.6538380429200|   4.077 -7.481   |10.31    |~                  |    ~     ~    |    1|  372.439   pc  |  -2.7881     +2.7881    |paral   |2020yCat.1350....0G
813 |TYC 6908-287-1                                                                                           |Star                               |20 37 59.2603607304 -24 14 09.860016840|020.5512046088395 -33.4377970809488| -6.448 -11.051   |10.492   |~                  |    ~     ~    |    1|  811.801   pc  | -40.8900    +40.8900    |ST-L    |2020AJ....160...83S
814 |TYC 6908-361-1                                                                                           |Spectroscopic Binary               |20 38 11.8813496592 -24 18 54.141669000|020.4782659249845 -33.5073103566998| 45.199 -32.607   |10.915   |~                  |    ~     ~    |    1|  208.626   pc  |  -4.0500     +4.0500    |ST-L    |2020AJ....160...83S
815 |TYC 6908-732-1                                                                                           |Star                               |20 38 17.2810873968 -23 28 34.659518772|021.4423752862476 -33.2708343326955|  16.783 -3.742   |10.55    |~                  |    ~     ~    |    1|  171.110   pc  |  -3.2590     +3.2590    |ST-L    |2020AJ....160...83S
