C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:42:07

dec >=0&rah >=21.75&rah< 22.0&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 6448

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------|-----|----------------|-----------------------|--------|-------------------
18  |HD 207673                                                                                                |Star                              |21 49 40.0940581200 +41 08 55.633325604|089.9421170580876 -09.7970842592104|  -2.786 -5.960   |6.48     |A2Ib            |    ~     ~    |    1| 1600.256   pc  | -43.2778    +43.2778  |paral   |2020yCat.1350....0G
19  |HD 207685                                                                                                |Star                              |21 49 45.5858008584 +41 34 31.800014544|090.2338119507301 -09.4813647360519|  11.500 -3.577   |8.25     |B9              |    ~     ~    |    1|  347.210   pc  |  -7.7878     +7.7878  |paral   |2020yCat.1350....0G
20  |HD 207770                                                                                                |Star                              |21 50 26.7098735832 +41 03 46.108718460|089.9998544156513 -09.9570100206294|   7.003 -5.427   |8.06     |A0              |    ~     ~    |    1|  312.969   pc  |  -2.7426     +2.7426  |paral   |2020yCat.1350....0G
21  |BD+40 4654a                                                                                              |Star                              |21 51 44.7821590896 +41 22 52.124220768|090.3975101064270 -09.8689043944518| -1.844 -17.710   |9.79     |F0              |    ~     ~    |    1|  251.965   pc  |  -0.8571     +0.8571  |paral   |2020yCat.1350....0G
22  |TYC 3193-1758-1                                                                                          |Star                              |21 52 10.6648234272 +41 19 47.736712992|090.4276897644136 -09.9599678428115| -15.387 -1.068   |10.81    |A2              |    ~     ~    |    1|  710.480   pc  |  -5.2497     +5.2497  |paral   |2020yCat.1350....0G
23  |BD+40 4659                                                                                               |Star                              |21 52 10.3800208728 +41 18 49.887203364|090.4166008499495 -09.9717888288365|   18.547 0.628   |9.86     |A2              |    ~     ~    |    1|  389.955   pc  |  -2.4482     +2.4482  |paral   |2020yCat.1350....0G
24  |HD 208221                                                                                                |Star                              |21 53 49.5791027550 +40 40 38.420472542|090.2504661248187 -10.6615417752245|  -0.801 -4.075   |9.603    |A2              |    ~     ~    |    1|  314.545   pc  |  -1.7215     +1.7215  |paral   |2020yCat.1350....0G
25  |BD+39 4674                                                                                               |Spectroscopic Binary              |21 48 03.7958777040 +40 31 32.940456168|089.2982846776511 -10.0764879825642| 27.318 -34.645   |10.09    |K0              |    ~     ~    |    1|  217.889   pc  |  -4.6194     +4.6194  |paral   |2020yCat.1350....0G
26  |BD+39 4675                                                                                               |Star                              |21 48 06.1707361920 +40 33 29.628603432|089.3254455134936 -10.0566889826302|   15.326 2.057   |9.41     |K0              |    ~     ~    |    1|  456.934   pc  |  -2.5472     +2.5472  |paral   |2020yCat.1350....0G
27  |BD+39 4677                                                                                               |High Proper Motion Star           |21 48 52.4735016432 +40 37 13.567486764|089.4797633850587 -10.1041198122272|  50.088 14.197   |8.49     |F0              |    ~     ~    |    1|  176.957   pc  |  -0.5198     +0.5198  |paral   |2020yCat.1350....0G
28  |BD+39 4699a                                                                                              |Star                              |21 53 13.7657381880 +40 34 12.142628112|090.0921065903664 -10.6726090547172|   2.517 -4.160   |10.42    |A0              |    ~     ~    |    1|  572.017   pc  |  -8.5727     +8.5727  |paral   |2020yCat.1350....0G
29  |BD+39 4699                                                                                               |Star                              |21 53 12.7493865456 +40 33 45.978049548|090.0848794013094 -10.6761771988084| -11.917 -9.841   |10.18    |F8              |    ~     ~    |    1|  304.090   pc  |  -1.9049     +1.9049  |paral   |2020yCat.1350....0G
30  |IRAS 21437+4046                                                                                          |Star                              |21 45 46.5716491752 +41 00 38.500429104|089.2850483733681 -09.4265273091979|  -4.414 -9.570   |10.38    |~               |    ~     ~    |    1| 1404.692   pc  | -38.0820    +38.0820  |paral   |2020yCat.1350....0G
31  |BD+39 4657                                                                                               |Star                              |21 45 03.8099723016 +40 03 42.956070300|088.5506390569501 -10.0546773203935|  24.912 13.378   |9.22     |K5              |    ~     ~    |    1|  601.251   pc  |  -5.4225     +5.4225  |paral   |2020yCat.1350....0G
32  |BD+39 4659                                                                                               |High Proper Motion Star           |21 45 17.2452236520 +39 48 31.314548844|088.4146114087274 -10.2738633811337|-29.837 -62.247   |8.82     |G0              |    ~     ~    |    1|   68.395   pc  |  -0.0650     +0.0650  |paral   |2020yCat.1350....0G
33  |BD+39 4660                                                                                               |Star                              |21 45 27.9935124576 +39 47 57.219171648|088.4346774229113 -10.3035891101244|  10.373 -0.266   |9.15     |F8              |    ~     ~    |    1|  198.047   pc  |  -0.5295     +0.5295  |paral   |2020yCat.1350....0G
34  |BD+39 4696                                                                                               |High Proper Motion Star           |21 52 23.3229727080 +40 24 08.132961528|089.8579592276373 -10.7002431659337| 98.371 -10.150   |9.31     |F8              |    ~     ~    |    1|  112.262   pc  |  -0.1815     +0.1815  |paral   |2020yCat.1350....0G
35  |TYC 3188-1-1                                                                                             |Star                              |21 49 36.0148791768 +40 21 10.244327436|089.4112740483881 -10.3975495549985|  7.129 -12.405   |10.68    |~               |    ~     ~    |    1|  460.257   pc  | -12.7737    +12.7737  |paral   |2020yCat.1350....0G
36  |GSC 03188-00053                                                                                          |Double or Multiple Star           |21 49 25.5223173792 +40 57 45.579863844|089.7849088066097 -09.9099929871700|  -8.573 -6.094   |10.525   |~               |    ~     ~    |    1|  357.270   pc  |  -1.6211     +1.6211  |paral   |2020yCat.1350....0G
37  |TYC 3188-71-1                                                                                            |Star                              |21 49 52.1158037880 +41 10 36.589276020|089.9897234664714 -09.7998709814425|   4.307 15.983   |10.01    |~               |    ~     ~    |    1|  554.139   pc  |  -3.7770     +3.7770  |paral   |2020yCat.1350....0G
38  |TYC 3188-108-1                                                                                           |Star                              |21 49 43.0499796024 +40 53 18.530108340|089.7792509378239 -10.0022780389921|  -5.339 -2.604   |10.40    |~               |    ~     ~    |    1|  806.647   pc  |  -7.7431     +7.7431  |paral   |2020yCat.1350....0G
39  |TYC 3188-111-1                                                                                           |Star                              |21 49 50.7967779384 +41 00 36.104558148|089.8776175309970 -09.9249341922314|  22.432 -8.212   |9.81     |~               |    ~     ~    |    1|  505.255   pc  |  -2.7315     +2.7315  |paral   |2020yCat.1350....0G
40  |TYC 3188-747-1                                                                                           |Star                              |21 45 27.9809642640 +41 11 16.635132600|089.3577248349346 -09.2542322499199|   -9.049 4.409   |10.93    |~               |    ~     ~    |    1|  264.915   pc  |  -0.8632     +0.8632  |paral   |2020yCat.1350....0G
41  |TYC 3188-750-1                                                                                           |Star                              |21 47 40.7428262808 +40 21 19.279552104|089.1293976459209 -10.1586997808348|   5.549 -4.564   |10.17    |~               |    ~     ~    |    1|  644.787   pc  |  -4.9059     +4.9059  |paral   |2020yCat.1350....0G
42  |TYC 3188-794-1                                                                                           |Star                              |21 45 02.4023807640 +40 44 26.398378284|088.9991818706761 -09.5395696387532|   15.265 4.794   |10.97    |~               |    ~     ~    |    1|  363.941   pc  | -13.2850    +13.2850  |paral   |2020yCat.1350....0G
43  |TYC 3188-815-1                                                                                           |Spectroscopic Binary              |21 48 15.6398633136 +41 03 15.887881260|089.6748015876979 -09.6980363059922| 60.215 -14.428   |10.49    |~               |    ~     ~    |    1|  264.795   pc  |  -0.7783     +0.7783  |paral   |2020yCat.1350....0G
44  |TYC 3188-816-1                                                                                           |Spectroscopic Binary              |21 45 26.7396434400 +40 44 18.190943016|089.0565291235258 -09.5916334765141|  22.238 11.920   |10.89    |~               |    ~     ~    |    1|  277.193   pc  |  -3.4960     +3.4960  |paral   |2020yCat.1350....0G
45  |TYC 3188-1049-1                                                                                          |Star                              |21 47 47.1239977464 +41 01 22.308462912|089.5848115396080 -09.6640103408765|  7.408 -34.320   |10.63    |~               |    ~     ~    |    1|  255.154   pc  |  -1.1654     +1.1654  |paral   |2020yCat.1350....0G
46  |TYC 3188-1177-1                                                                                          |Star                              |21 46 42.9461827272 +40 59 51.839109240|089.4126943769000 -09.5519878084256|   5.139 -2.514   |10.75    |~               |    ~     ~    |    1|  306.129   pc  |  -1.2558     +1.2558  |paral   |2020yCat.1350....0G
47  |TYC 3188-1268-1                                                                                          |High Proper Motion Star           |21 47 02.7074366376 +40 01 07.290102396|088.8133357238444 -10.3355233634167|  58.519 29.708   |10.88    |~               |    ~     ~    |    1|  134.409   pc  |  -0.2023     +0.2023  |paral   |2020yCat.1350....0G
48  |TYC 3188-1562-1                                                                                          |Star                              |21 46 31.0562814792 +40 23 42.402152580|088.9851822191792 -09.9844905861046|   4.384 -4.801   |9.75     |~               |    ~     ~    |    1|  537.895   pc  |  -5.0054     +5.0054  |paral   |2020yCat.1350....0G
49  |TYC 3188-1576-1                                                                                          |Star                              |21 46 14.9336426064 +40 08 51.334742580|088.7815846240873 -10.1384578438213|  -4.436 -3.831   |10.45    |M1e             |    ~     ~    |    1| 1174.398   pc  | -35.5836    +35.5836  |paral   |2020yCat.1350....0G
50  |TYC 3188-1798-1                                                                                          |Star                              |21 49 07.8243207840 +40 09 07.822903788|089.2099119382042 -10.4929013443163|   0.281 -3.759   |10.98    |~               |    ~     ~    |    1|  656.297   pc  | -10.7251    +10.7251  |paral   |2020yCat.1350....0G
51  |TYC 3188-1911-1                                                                                          |Spectroscopic Binary              |21 45 34.6234907856 +39 59 39.651584568|088.5809640620898 -10.1701831365579|   19.436 3.407   |10.44    |~               |    ~     ~    |    1|  439.541   pc  |  -7.4381     +7.4381  |paral   |2020yCat.1350....0G
52  |TYC 3188-1926-1                                                                                          |Star                              |21 46 13.5005636232 +40 12 29.480751036|088.8183074729306 -10.0896139830339|-13.458 -24.172   |9.99     |~               |    ~     ~    |    1|  382.248   pc  |  -1.9433     +1.9433  |paral   |2020yCat.1350....0G
53  |TYC 3189-44-1                                                                                            |Star                              |21 54 36.2210499600 +40 48 21.764417400|090.4493546336048 -10.6549976353533|-15.237 -13.850   |9.65     |~               |    ~     ~    |    1|  416.979   pc  |  -4.7989     +4.7989  |paral   |2020yCat.1350....0G
54  |GSC 03189-00068                                                                                          |Double or Multiple Star           |21 51 49.1969590344 +40 21 30.978976032|089.7447645661564 -10.6646731634824|  25.915 -1.361   |10.491   |~               |    ~     ~    |    1|  393.949   pc  |  -1.9865     +1.9865  |paral   |2020yCat.1350....0G
55  |TYC 3189-72-1                                                                                            |Star                              |21 54 22.9819794600 +40 54 37.046427408|090.4834385346235 -10.5478281510795|   2.751 -7.317   |10.41    |~               |    ~     ~    |    1|  629.247   pc  |  -4.6326     +4.6326  |paral   |2020yCat.1350....0G
56  |TYC 3189-286-1                                                                                           |Star                              |21 54 54.0202490064 +40 43 29.198802864|090.4414968588556 -10.7534863925520| 17.923 -31.960   |9.87     |~               |    ~     ~    |    1|  132.637   pc  |  -0.2181     +0.2181  |paral   |2020yCat.1350....0G
57  |TYC 3189-903-1                                                                                           |Star                              |21 53 35.8911343392 +41 07 11.590937616|090.5017029143109 -10.2918474551956|   -1.253 2.615   |10.90    |~               |    ~     ~    |    1|  274.869   pc  |  -1.7604     +1.7604  |paral   |2020yCat.1350....0G
58  |TYC 3189-1088-1                                                                                          |High Proper Motion Star           |21 53 22.9023588192 +40 57 44.497690668|090.3681009030046 -10.3877961666510|  35.130 98.988   |9.77     |~               |    ~     ~    |    1|  121.794   pc  |  -0.1958     +0.1958  |paral   |2020yCat.1350....0G
59  |TYC 3189-1151-1                                                                                          |Star                              |21 51 57.8113300872 +40 48 11.107360692|090.0548551746020 -10.3401049153429| -10.650 -4.067   |10.11    |~               |    ~     ~    |    1|  745.601   pc  |  -8.3388     +8.3388  |paral   |2020yCat.1350....0G
60  |TYC 3189-1317-1                                                                                          |Star                              |21 50 38.2358104176 +40 29 22.799012064|089.6543939024552 -10.4198335779340|  -4.631 -3.680   |10.80    |~               |    ~     ~    |    1|  542.888   pc  |  -4.0967     +4.0967  |paral   |2020yCat.1350....0G
61  |TYC 3189-1465-1                                                                                          |Star                              |21 53 07.4712264024 +40 45 23.149145268|090.1969549016377 -10.5160340816903|  -1.696 -0.166   |10.47    |~               |    ~     ~    |    1| 1795.010   pc  | -48.0087    +48.0087  |paral   |2020yCat.1350....0G
62  |TYC 3189-1468-1                                                                                          |Star                              |21 51 28.0345351944 +40 55 06.910575420|090.0564655226726 -10.1913003564459|  3.033 -10.957   |10.53    |~               |    ~     ~    |    1| 1432.870   pc  | -31.6180    +31.6180  |paral   |2020yCat.1350....0G
63  |TYC 3189-1489-1                                                                                          |Star                              |21 51 16.5798353400 +41 13 21.301200120|090.2257581350724 -09.9345433045751|  -2.489 -5.626   |10.32    |~               |    ~     ~    |    1|  492.441   pc  |  -2.9585     +2.9585  |paral   |2020yCat.1350....0G
64  |TYC 3192-297-1                                                                                           |Star                              |21 49 30.4645738824 +41 28 54.783023592|090.1361492962098 -09.5227241227667|   -4.845 0.572   |10.72    |~               |    ~     ~    |    1|  359.673   pc  |  -2.1733     +2.1733  |paral   |2020yCat.1350....0G
65  |TYC 3192-378-1                                                                                           |Star                              |21 49 58.9429473480 +41 26 55.480379712|090.1836125315117 -09.6052721563056|   25.450 7.811   |9.35     |~               |    ~     ~    |    1|  312.637   pc  |  -2.0330     +2.0330  |paral   |2020yCat.1350....0G
66  |TYC 3192-523-1                                                                                           |Star                              |21 46 07.2162557952 +42 08 57.033609216|090.0863305856710 -08.6055485387369|  -0.260 -2.561   |10.27    |~               |    ~     ~    |    1|  959.877   pc  | -10.0429    +10.0429  |paral   |2020yCat.1350....0G
67  |TYC 3192-588-1                                                                                           |Star                              |21 49 06.9832121712 +41 20 31.881317784|089.9879920278987 -09.5823288219646|   2.729 -1.333   |10.16    |~               |    ~     ~    |    1|  619.042   pc  |  -8.0091     +8.0091  |paral   |2020yCat.1350....0G
68  |TYC 3192-594-1                                                                                           |Star                              |21 45 20.4592520784 +41 19 03.636995016|089.4256232583500 -09.1406948416072|   7.000 -0.906   |10.95    |~               |    ~     ~    |    1|  373.190   pc  |  -1.7270     +1.7270  |paral   |2020yCat.1350....0G
69  |TYC 3192-602-1                                                                                           |Star                              |21 48 44.4948660024 +41 18 08.333717364|089.9073771765742 -09.5673949216663|  17.181 11.032   |10.09    |~               |    ~     ~    |    1|  321.357   pc  |  -2.1997     +2.1997  |paral   |2020yCat.1350....0G
70  |TYC 3192-606-1                                                                                           |Star                              |21 47 36.1102677696 +41 22 35.735695428|089.7907340784782 -09.3723384377256|   2.642 27.450   |10.71    |~               |    ~     ~    |    1|  202.601   pc  |  -0.6034     +0.6034  |paral   |2020yCat.1350....0G
71  |TYC 3192-715-1                                                                                           |Star                              |21 45 45.5449400352 +41 55 48.741481524|089.8905314714201 -08.7279348077160|   3.953 -3.287   |10.63    |~               |    ~     ~    |    1|  759.071   pc  |  -6.9143     +6.9143  |paral   |2020yCat.1350....0G
72  |GSC 03192-00752                                                                                          |Double or Multiple Star           |21 45 34.9070196888 +42 01 47.492895576|089.9310402382615 -08.6309148930095| -8.382 -15.109   |10.461   |~               |    ~     ~    |    1|  303.822   pc  |  -1.6154     +1.6154  |paral   |2020yCat.1350....0G
73  |TYC 3192-777-1                                                                                           |Star                              |21 47 17.7827132016 +41 55 49.231968924|090.1104174084116 -08.9137787200252|  -1.145 -6.075   |9.98     |~               |    ~     ~    |    1| 1085.776   pc  | -16.7405    +16.7405  |paral   |2020yCat.1350....0G
74  |TYC 3192-850-1                                                                                           |Star                              |21 45 50.4414301032 +41 56 58.550593272|089.9149651569804 -08.7231315093198|   1.784 -4.452   |10.35    |~               |    ~     ~    |    1| 1218.027   pc  | -17.3580    +17.3580  |paral   |2020yCat.1350....0G
75  |TYC 3192-926-1                                                                                           |Star                              |21 46 36.2815711536 +41 59 10.585160484|090.0481873307727 -08.7877519175284|  10.403 12.878   |10.94    |~               |    ~     ~    |    1|  320.092   pc  |  -1.3012     +1.3012  |paral   |2020yCat.1350....0G
76  |TYC 3192-963-1                                                                                           |Star                              |21 48 08.7406949208 +42 09 59.144380236|090.3867128406603 -08.8358436173472|   4.435 -1.874   |10.57    |~               |    ~     ~    |    1|  754.432   pc  |  -7.1715     +7.1715  |paral   |2020yCat.1350....0G
77  |TYC 3192-1009-1                                                                                          |Star                              |21 46 56.8871440320 +42 20 50.122367628|090.3342744173189 -08.5545726543117|   22.685 1.536   |10.92    |~               |    ~     ~    |    1|  259.666   pc  |  -3.2769     +3.2769  |paral   |2020yCat.1350....0G
78  |TYC 3192-1207-1                                                                                          |Star                              |21 46 20.7108428640 +42 04 38.895640320|090.0711566956968 -08.6871349298993|   -1.473 0.389   |10.89    |~               |    ~     ~    |    0|                |                       |        |                   
79  |TYC 3192-1224-1                                                                                          |High Proper Motion Star           |21 46 51.0305406960 +42 20 31.487819820|090.3170000415949 -08.5468082783127|  78.503 87.220   |10.78    |~               |    ~     ~    |    1|  135.975   pc  |  -0.2089     +0.2089  |paral   |2020yCat.1350....0G
80  |TYC 3192-1294-1                                                                                          |Star                              |21 45 10.4824851240 +42 15 02.140925904|090.0189840561044 -08.4144559784514|  -8.165 -7.775   |9.97     |~               |    ~     ~    |    1|  585.446   pc  |  -6.6493     +6.6493  |paral   |2020yCat.1350....0G
81  |TYC 3192-1447-1                                                                                          |Star                              |21 48 02.3870815800 +42 02 33.988352028|090.2906702238391 -08.9175238133340| -14.962 -6.359   |10.93    |~               |    ~     ~    |    1|  245.586   pc  |  -0.7720     +0.7720  |paral   |2020yCat.1350....0G
82  |TYC 3192-1450-1                                                                                          |Star                              |21 45 36.2045233800 +41 32 43.839343752|089.6141304077072 -09.0004238260766|  -8.781 -0.108   |10.48    |~               |    ~     ~    |    1|  470.500   pc  |  -3.9404     +3.9404  |paral   |2020yCat.1350....0G
83  |TYC 3192-1512-1                                                                                          |Star                              |21 46 22.5529470192 +41 59 02.186611872|090.0139707078960 -08.7618706150232|  12.393 -1.696   |10.13    |~               |    ~     ~    |    1|  504.236   pc  | -15.8146    +15.8146  |paral   |2020yCat.1350....0G
84  |TYC 3192-1523-1                                                                                          |Star                              |21 48 01.5579278280 +41 46 31.747270512|090.1136942290994 -09.1197594990355|  -1.473 -4.483   |10.92    |~               |    ~     ~    |    1|  698.129   pc  |  -8.0418     +8.0418  |paral   |2020yCat.1350....0G
85  |TYC 3192-1581-1                                                                                          |High Proper Motion Star           |21 45 20.4524733000 +41 51 50.187844332|089.7871232876162 -08.7273251468218|  51.451 16.423   |10.75    |~               |    ~     ~    |    1|  228.191   pc  |  -0.6769     +0.6769  |paral   |2020yCat.1350....0G
86  |TYC 3192-1586-1                                                                                          |Star                              |21 45 28.6928763648 +42 20 01.991589576|090.1169291126524 -08.3880100146007|  -2.284 -5.194   |10.18    |~               |    ~     ~    |    1|  557.693   pc  |  -7.6200     +7.6200  |paral   |2020yCat.1350....0G
87  |TYC 3192-1656-1                                                                                          |Star                              |21 46 37.0905637728 +41 31 42.813983100|089.7487571191549 -09.1370747343278|   16.742 6.740   |10.64    |~               |    ~     ~    |    1|  443.794   pc  |  -2.6589     +2.6589  |paral   |2020yCat.1350....0G
88  |GSC 03192-01683                                                                                          |Double or Multiple Star           |21 46 04.9718196744 +41 43 16.195476648|089.7988852432313 -08.9257605415449|-16.161 -15.675   |9.872    |~               |    ~     ~    |    1|  695.507   pc  |  -8.0783     +8.0783  |paral   |2020yCat.1350....0G
89  |TYC 3192-1933-1                                                                                          |Star                              |21 48 07.1717670096 +41 46 11.792407872|090.1235406624375 -09.1352686991250|  -7.564 -7.620   |10.87    |~               |    ~     ~    |    1|  673.446   pc  |  -6.2134     +6.2134  |paral   |2020yCat.1350....0G
90  |TYC 3193-1728-1                                                                                          |Star                              |21 51 46.8220886496 +41 28 03.051129324|090.4584001488224 -09.8064481034280|  42.212 -0.500   |9.55     |~               |    ~     ~    |    1|  101.571   pc  |  -0.1217     +0.1217  |paral   |2020yCat.1350....0G
91  |TYC 3193-2108-1                                                                                          |Star                              |21 50 34.1455003872 +41 27 57.049999560|090.2802712151538 -09.6626764995971|    5.930 4.435   |10.15    |~               |    ~     ~    |    1|  665.026   pc  | -15.4349    +15.4349  |paral   |2020yCat.1350....0G
92  |ADS 15404 AB                                                                                             |Double or Multiple Star           |21 52 16.23 +40 26 09.0                |089.86212 -10.66003                |            ~ ~   |9.5      |~               |    ~     ~    |    0|                |                       |        |                   
93  |BD+42 4218                                                                                               |Star                              |21 49 04.6407319680 +42 48 52.205681412|090.9419471407545 -08.4509098499395|  -5.288 -5.710   |9.41     |A0              |    ~     ~    |    1|  583.294   pc  |  -7.2129     +7.2129  |paral   |2020yCat.1350....0G
94  |BD+42 4219                                                                                               |Star                              |21 49 07.7334552360 +42 41 34.756110744|090.8703050988162 -08.5500798830748|    8.383 2.497   |10.27    |A               |    ~     ~    |    1|  694.879   pc  | -12.9406    +12.9406  |paral   |2020yCat.1350....0G
95  |HD 207755                                                                                                |High Proper Motion Star           |21 50 09.7603748256 +42 51 33.965148672|091.1254376421876 -08.5440362599454|-31.341 -51.049   |7.70     |K0              |    ~     ~    |    1|  163.637   pc  |  -0.4365     +0.4365  |paral   |2020yCat.1350....0G
96  |BD+42 4230                                                                                               |Star                              |21 51 07.0150572720 +42 50 29.243083056|091.2499326480153 -08.6695757545464|   6.942 -8.517   |8.81     |K0              |    ~     ~    |    1|  354.899   pc  |  -1.8641     +1.8641  |paral   |2020yCat.1350....0G
97  |BD+42 4234                                                                                               |Variable Star                     |21 52 06.5782680288 +42 44 26.045849760|091.3271454130042 -08.8632869418093| -4.587 -23.970   |10.04    |F5              |    ~     ~    |    1|  210.606   pc  |  -0.6121     +0.6121  |paral   |2020yCat.1350....0G
98  |BD+42 4243                                                                                               |Star                              |21 54 00.9404331336 +42 59 47.027475852|091.7647052955747 -08.8859783059792| -10.436 -7.379   |9.54     |K0              |    ~     ~    |    1|  535.705   pc  |  -5.9118     +5.9118  |paral   |2020yCat.1350....0G
99  |HD 208327                                                                                                |Star                              |21 54 34.1418232416 +43 13 59.976199344|091.9949478774585 -08.7652711868475|  -3.601 -8.806   |9.09     |A0              |    ~     ~    |    1|  870.474   pc  | -42.0537    +42.0537  |paral   |2020yCat.1350....0G
100 |HD 208414                                                                                                |Star                              |21 55 03.6278577720 +42 54 05.708488608|091.8549414322768 -09.0798783190344|  5.751 -10.649   |8.87     |F0              |    ~     ~    |    1|  205.036   pc  |  -0.6222     +0.6222  |paral   |2020yCat.1350....0G
101 |HD 208413                                                                                                |High Proper Motion Star           |21 55 04.1012930208 +43 13 54.417968184|092.0656367552006 -08.8235297756835|   54.776 7.628   |8.93     |F0              |    ~     ~    |    1|  190.982   pc  |  -0.5653     +0.5653  |paral   |2020yCat.1350....0G
