C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:44:53

Vmag< 11&dec< 0&rah >=13.25&rah< 13.5
-------------------------------------

Number of objects : 5452

 #  |                                                                                                    identifier                                                                                                    |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |     spec. type     |   ang. size   
----|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|--------------------|---------------
415 |CD-38 8374                                                                                                                                                                                                        |Star                              |13 15 12.5162530392 -39 18 44.728416396|307.9365078118102 +23.3282243174024|-27.347 -14.798     |10.67    |~                   |    ~     ~    
416 |CD-39 8128                                                                                                                                                                                                        |Double or Multiple Star           |13 15 17.1465796704 -39 39 58.276656684|307.9139998646293 +22.9747530513791|  16.192 -0.222     |10.491   |~                   |    ~     ~    
417 |CD-39 8131                                                                                                                                                                                                        |Star                              |13 15 30.4410592992 -39 46 01.590322620|307.9489784572620 +22.8700505414377| -1.792 -12.500     |10.35    |~                   |    ~     ~    
418 |CD-39 8135                                                                                                                                                                                                        |Star                              |13 15 39.3782296848 -39 49 48.463704912|307.9729178392259 +22.8044507083208|   0.473 -0.572     |10.21    |~                   |    ~     ~    
419 |CD-37 8470                                                                                                                                                                                                        |Star                              |13 15 52.7840434032 -38 32 10.775074740|308.1648325391278 +24.0869484633444|   -3.214 1.835     |10.040   |~                   |    ~     ~    
420 |CD-38 8394                                                                                                                                                                                                        |High Proper Motion Star           |13 16 37.4183882808 -39 02 29.764911912|308.2643532883038 +23.5692340041480| 20.043 -83.074     |10.54    |~                   |    ~     ~    
421 |CD-37 8497                                                                                                                                                                                                        |Star                              |13 17 17.5184343216 -38 36 27.938430720|308.4569995790291 +23.9864657844777| -17.772 -8.205     |10.114   |~                   |    ~     ~    
422 |CD-39 8170                                                                                                                                                                                                        |Star                              |13 18 43.4452417128 -40 17 46.906588860|308.5501806938087 +22.2775346393160|-18.538 -13.355     |10.42    |~                   |    ~     ~    
423 |CD-38 8391                                                                                                                                                                                                        |Star                              |13 16 26.5288008720 -38 56 32.350373340|308.2375827957088 +23.6716983394318|   2.625 -2.288     |10.215   |~                   |    ~     ~    
424 |CD-39 8156                                                                                                                                                                                                        |Star                              |13 17 12.8646100176 -39 42 01.848336984|308.3108278471433 +22.9018684625543|  -5.862 -3.837     |10.831   |~                   |    ~     ~    
425 |TYC 7774-449-1                                                                                                                                                                                                    |Star                              |13 17 03.1367249928 -38 00 52.612995456|308.4769174693666 +24.5811953722649|    0.881 0.790     |10.76    |~                   |    ~     ~    
426 |TYC 7774-1084-1                                                                                                                                                                                                   |Star                              |13 17 10.1016868704 -38 09 54.624157632|308.4837779063590 +24.4290420613935|   -7.919 7.585     |10.443   |~                   |    ~     ~    
427 |TYC 7778-52-1                                                                                                                                                                                                     |Star                              |13 16 17.7518883048 -39 29 42.281685816|308.1434720575269 +23.1249946537197|-40.981 -13.524     |10.96    |~                   |    ~     ~    
428 |TYC 7778-1017-1                                                                                                                                                                                                   |Star                              |13 15 58.7826562200 -40 25 21.223027632|307.9738904380179 +22.2088014905208| -26.469 -9.576     |10.91    |~                   |    ~     ~    
429 |TYC 7778-1164-1                                                                                                                                                                                                   |Star                              |13 15 06.3612131496 -40 28 54.440953824|307.7888523547673 +22.1666481517649|  -20.429 6.297     |10.96    |~                   |    ~     ~    
430 |HD 115395                                                                                                                                                                                                         |Star                              |13 17 32.0901880752 -40 39 22.525914024|308.2642306037201 +21.9451362221666|  -5.501 -2.165     |8.63     |M0III               |    ~     ~    
431 |HD 115188                                                                                                                                                                                                         |Star                              |13 16 06.2254169256 -40 47 27.070638972|307.9582852371464 +21.8400423672980| -31.366 -6.377     |9.69     |F5/6V               |    ~     ~    
432 |CD-40 7806                                                                                                                                                                                                        |Star                              |13 18 35.9003583528 -40 47 09.082954896|308.4644909001245 +21.7939382564004|    2.223 0.946     |10.32    |~                   |    ~     ~    
433 |HD 115111                                                                                                                                                                                                         |Star                              |13 15 37.3274036592 -41 08 28.633683084|307.8225451451253 +21.5006935303577|  -22.870 2.569     |7.84     |K0III               |    ~     ~    
434 |HD 115261                                                                                                                                                                                                         |Star                              |13 16 41.9240918736 -41 21 39.188427876|308.0144376100068 +21.2614385465811|  -5.033 -4.774     |8.78     |K3III               |    ~     ~    
435 |HD 115279                                                                                                                                                                                                         |Double or Multiple Star           |13 16 46.2525167304 -41 16 58.805292540|308.0376905398206 +21.3374651755166|  -17.021 0.040     |7.21     |G8/K0(III)          |    ~     ~    
436 |CD-40 7789C                                                                                                                                                                                                       |Star                              |13 16 46.5974 -41 16 14.815            |308.0402265 +21.3495028            |   -6.629 8.601     |9.39     |~                   |    ~     ~    
437 |HD 115054                                                                                                                                                                                                         |Spectroscopic Binary              |13 15 11.7809539824 -41 40 12.204279804|307.6807573986246 +20.9825174465588|  -13.077 1.988     |9.06     |K1III               |    ~     ~    
438 |HD 115093                                                                                                                                                                                                         |Star                              |13 15 35.9711731872 -41 58 39.052896888|307.7280340806722 +20.6691177390645| -13.034 -8.432     |9.43     |K2III               |    ~     ~    
439 |V* V962 Cen                                                                                                                                                                                                       |Long-Period Variable Candidate    |13 15 47.0365472856 -42 03 17.639807400|307.7561443674315 +20.5886830341527|  10.670 -7.230     |8.35     |M3III               |    ~     ~    
440 |CD-41 7708                                                                                                                                                                                                        |High Proper Motion Star           |13 16 45.2429295168 -42 09 28.459968876|307.9359553566514 +20.4677326395183| -16.388 50.988     |10.68    |F8                  |    ~     ~    
441 |HD 115481                                                                                                                                                                                                         |Star                              |13 18 02.1268268448 -41 42 57.276047628|308.2399738637286 +20.8815458607820|   0.875 -4.573     |9.16     |K0III               |    ~     ~    
442 |HD 115547                                                                                                                                                                                                         |Star                              |13 18 29.1415381752 -42 02 48.890562612|308.2896982521966 +20.5432801892975|-28.495 -12.909     |9.27     |G8III/IV            |    ~     ~    
443 |HD 115068                                                                                                                                                                                                         |Star                              |13 15 22.5905879712 -43 03 46.958206104|307.5696849988235 +19.5930328393949|-15.588 -12.689     |7.50     |K1III               |    ~     ~    
444 |HD 115129                                                                                                                                                                                                         |Star                              |13 15 50.4711562344 -42 49 40.313239752|307.6844229566327 +19.8185818453927|  -19.698 0.082     |9.71     |K0III               |    ~     ~    
445 |HD 115295                                                                                                                                                                                                         |Star                              |13 16 53.7214923936 -42 57 58.003303068|307.8733816172953 +19.6612463125781| -13.289 -0.873     |9.05     |G8III               |    ~     ~    
446 |HD 115329                                                                                                                                                                                                         |Star                              |13 17 13.8592036944 -43 01 50.317496976|307.9309478368820 +19.5906043864486|  -17.234 2.387     |9.28     |K0/1III             |    ~     ~    
447 |HD 115371                                                                                                                                                                                                         |Variable Star                     |13 17 28.9532750760 -42 55 58.705913820|307.9905787243405 +19.6828109165828|-40.275 -23.152     |8.29     |F3V                 |    ~     ~    
448 |HD 115396                                                                                                                                                                                                         |Star                              |13 17 35.5670909448 -43 17 57.171242724|307.9701115778190 +19.3165262758072|  16.247 -9.330     |7.45     |A1/2V               |    ~     ~    
449 |HD 115413                                                                                                                                                                                                         |Star                              |13 17 42.1417384872 -43 08 00.713747184|308.0100669765781 +19.4790961776327|  -8.300 -3.880     |9.04     |G8III               |    ~     ~    
450 |CD-40 7776                                                                                                                                                                                                        |Star                              |13 15 32.7539 -41 30 21.191            |307.7679382 +21.1393769            |     11.90 5.20     |10.95    |~                   |    ~     ~    
451 |CD-42 8257                                                                                                                                                                                                        |Star                              |13 16 34.8473205624 -43 05 19.277191932|307.7991431824644 +19.5453196237293|    5.750 7.131     |10.01    |~                   |    ~     ~    
452 |CD-42 8266                                                                                                                                                                                                        |Spectroscopic Binary              |13 17 10.9950560064 -42 44 59.730398988|307.9533496318647 +19.8706664496473| -12.967 -2.817     |10.490   |~                   |    ~     ~    
453 |CD-42 8285                                                                                                                                                                                                        |Star                              |13 18 29.4417004872 -42 44 12.326213976|308.2085915403784 +19.8576485728979|   -0.668 6.398     |10.44    |~                   |    ~     ~    
454 |CD-41 7711                                                                                                                                                                                                        |Star                              |13 16 59.0 -41 46 06                   |308.0251 +20.8506                  |            ~ ~     |9.7      |~                   |    ~     ~    
455 |CD-41 7725                                                                                                                                                                                                        |Star                              |13 18 27.0 -42 34 42                   |308.2195 +20.0159                  |            ~ ~     |9.90     |~                   |    ~     ~    
456 |TYC 7778-323-1                                                                                                                                                                                                    |Star                              |13 15 18.1121576784 -41 02 40.288662816|307.7684122541631 +21.6030111123172|  -5.555 -0.677     |10.72    |~                   |    ~     ~    
457 |TYC 7778-476-1                                                                                                                                                                                                    |Star                              |13 18 13.7445160776 -40 31 34.026492216|308.4210209264609 +22.0599126967236|  6.815 -19.097     |10.73    |~                   |    ~     ~    
458 |TYC 7778-583-1                                                                                                                                                                                                    |Star                              |13 15 56.3083037760 -40 59 04.953806304|307.9034213116265 +21.6504130841501|  -22.124 5.191     |10.899   |~                   |    ~     ~    
459 |TYC 7778-857-1                                                                                                                                                                                                    |High Proper Motion Star           |13 15 49.5584777280 -41 09 13.301279064|307.8622282694814 +21.4844670778721|-101.853 17.662     |10.87    |~                   |    ~     ~    
460 |TYC 7778-881-1                                                                                                                                                                                                    |Star                              |13 17 18.9147952176 -41 12 42.160296672|308.1550984375593 +21.3974469590592| -41.204 -7.778     |10.77    |~                   |    ~     ~    
461 |TYC 7778-1090-1                                                                                                                                                                                                   |Star                              |13 17 14.3364374280 -40 34 14.214509976|308.2140424995575 +22.0363627966426|   2.565 -3.863     |10.46    |~                   |    ~     ~    
462 |TYC 7778-1115-1                                                                                                                                                                                                   |Star                              |13 15 42.8729029056 -41 00 41.949060588|307.8552553806085 +21.6279063858411|  -7.404 -3.889     |10.75    |~                   |    ~     ~    
463 |TYC 7778-1146-1                                                                                                                                                                                                   |Star                              |13 15 10.2650079864 -41 06 07.993902924|307.7358821951615 +21.5480450187736|  -0.402 -3.884     |10.64    |~                   |    ~     ~    
464 |TYC 7778-1244-1                                                                                                                                                                                                   |Star                              |13 17 32.0897515656 -41 09 05.025105792|308.2062299977534 +21.4529389799552|    1.415 1.074     |10.49    |~                   |    ~     ~    
465 |TYC 7778-1265-1                                                                                                                                                                                                   |Star                              |13 17 05.2643557440 -40 40 28.663824144|308.1712211735821 +21.9360364860820|  -42.889 2.092     |10.47    |~                   |    ~     ~    
466 |TYC 7782-358-1                                                                                                                                                                                                    |Star                              |13 17 36.0473834496 -41 50 20.392682928|308.1393929636579 +20.7680582836663| -14.010 -2.426     |10.87    |~                   |    ~     ~    
467 |TYC 7782-690-1                                                                                                                                                                                                    |Star                              |13 18 00.5523408768 -41 34 01.218803700|308.2523434300314 +21.0300828523848|  -1.858 -3.976     |10.86    |~                   |    ~     ~    
468 |TYC 7782-1277-1                                                                                                                                                                                                   |Star                              |13 16 05.7265309392 -42 58 44.222053008|307.7174233527407 +19.6635655893382|  -13.552 0.866     |10.44    |~                   |    ~     ~    
469 |TYC 7782-1328-1                                                                                                                                                                                                   |Star                              |13 15 41.2609988904 -42 04 03.419082912|307.7357899357804 +20.5778284718214|  -14.436 4.052     |10.92    |~                   |    ~     ~    
470 |TYC 7782-1421-1                                                                                                                                                                                                   |Star                              |13 18 25.4685330480 -41 50 14.192629116|308.3026691567450 +20.7528761926393| -21.922 -3.773     |9.78     |~                   |    ~     ~    
471 |TYC 7786-16-1                                                                                                                                                                                                     |Star                              |13 15 43.3809015504 -43 09 44.272557108|307.6260122919853 +19.4879966652659| -10.293 14.017     |10.35    |~                   |    ~     ~    
472 |CD-41 7712                                                                                                                                                                                                        |Star                              |13 17 01.0 -42 34 54                   |307.9399 +20.0412                  |            ~ ~     |9.17     |~                   |    ~     ~    
473 |BD+00 3044                                                                                                                                                                                                        |High Proper Motion Star           |13 19 04.4205938040 -00 05 38.044844700|317.7678996941733 +61.9791874721014|-30.864 -166.753    |10.45    |~                   |    ~     ~    
474 |HD 115724                                                                                                                                                                                                         |High Proper Motion Star           |13 18 58.2730997568 -01 16 10.070087376|317.1669672703471 +60.8390412607885|-100.775 -49.470    |8.630    |K1III               |    ~     ~    
475 |HD 115943                                                                                                                                                                                                         |Star                              |13 20 26.9729370144 -02 07 17.230596168|317.5139342982334 +59.9263758404973| -22.504 -0.416     |9.81     |F0/2V               |    ~     ~    
476 |BD-01 2801                                                                                                                                                                                                        |Star                              |13 20 59.3168891832 -02 07 41.456987148|317.7725389744376 +59.8893618226606|  17.310 12.233     |10.19    |G0                  |    ~     ~    
477 |HD 115711                                                                                                                                                                                                         |Star                              |13 18 55.2155825736 -02 31 53.456446128|316.5963628031889 +59.6091341306538|  4.473 -29.816     |9.32     |F5V                 |    ~     ~    
478 |TYC 4961-191-1                                                                                                                                                                                                    |Star                              |13 19 15.3590696928 -02 32 18.558180348|316.7553761732695 +59.5845724419772| -12.543 30.171     |10.50    |~                   |    ~     ~    
479 |2MASS J13200181-0200233                                                                                                                                                                                           |Red Giant Branch star             |13 20 01.8215171664 -02 00 23.277109212|317.3610788412199 +60.0618271665324|  9.929 -17.662     |10.07    |~                   |    ~     ~    
480 |HD 116208                                                                                                                                                                                                         |Red Giant Branch star             |13 22 07.7368993656 -00 04 03.947373408|319.3556048258467 +61.8214031115133|  -38.427 8.813     |7.96     |K1III               |    ~     ~    
481 |TYC 4959-166-1                                                                                                                                                                                                    |High Proper Motion Star           |13 26 25.5405949200 -00 13 04.835247564|321.4480310886698 +61.3895676496609| -52.115 -8.379     |10.21    |~                   |    ~     ~    
482 |BD+00 3054                                                                                                                                                                                                        |Spectroscopic Binary              |13 26 53.7182449272 -00 15 16.646617260|321.6611382439766 +61.3210956958974|-16.330 -39.075     |10.5     |~                   |    ~     ~    
483 |BD+00 3057                                                                                                                                                                                                        |Star                              |13 27 19.1604961920 -00 08 14.971973208|321.9433107988409 +61.4027558825837| -13.395 -9.750     |10.3     |~                   |    ~     ~    
484 |BD+00 3061                                                                                                                                                                                                        |Star                              |13 27 50.4286 -00 12 00.517            |322.1651660 +61.3048423            | -6.688 -32.964     |10.34    |~                   |    ~     ~    
485 |BD+00 3062                                                                                                                                                                                                        |Star                              |13 28 00.2588984784 -00 07 54.197686848|322.2887115762392 +61.3581932938053|  -46.989 3.159     |10.25    |~                   |    ~     ~    
486 |BD+00 3047                                                                                                                                                                                                        |Star                              |13 21 21.5121689712 -00 35 06.779655672|318.6948874556936 +61.3674553220727| -5.132 -12.851     |9.53     |M2                  |    ~     ~    
487 |HD 116258                                                                                                                                                                                                         |Star                              |13 22 28.8148366440 -00 34 43.774392756|319.2647908277938 +61.3046552389152| -26.832 -9.718     |8.24     |G8IV                |    ~     ~    
488 |HD 116444                                                                                                                                                                                                         |Double or Multiple Star           |13 23 43.1640152 -00 43 09.044867      |319.8124884551 +61.0901198365      |  -48.94 -20.29     |9.20     |G2/3V               |    ~     ~    
489 |HD 116543                                                                                                                                                                                                         |Star                              |13 24 21.0075445632 -00 18 57.065250492|320.3491110722022 +61.4379359890657|-37.133 -27.803     |8.12     |F3V                 |    ~     ~    
490 |BD+00 3052                                                                                                                                                                                                        |Star                              |13 24 45.9931247640 -00 28 58.289725236|320.4652227671874 +61.2491809872564|  -25.058 7.912     |10.08    |F8                  |    ~     ~    
491 |HD 116767                                                                                                                                                                                                         |Star                              |13 25 44.9125673736 -00 27 14.147233380|320.9724082924784 +61.2102757414851| -18.437 14.033     |8.97     |K0III               |    ~     ~    
492 |BD+00 3056                                                                                                                                                                                                        |Star                              |13 27 17.0910278064 -00 16 11.281628064|321.8463156669955 +61.2785954217515| -19.310 -4.479     |10.25    |F8                  |    ~     ~    
493 |HD 117002                                                                                                                                                                                                         |Star                              |13 27 29.3716967904 -00 22 37.458285564|321.8837268261303 +61.1611180077883| -1.172 -13.012     |9.52     |F7V                 |    ~     ~    
494 |HD 117088                                                                                                                                                                                                         |Star                              |13 28 02.7856797600 -00 19 00.605638560|322.1963085293662 +61.1781801156010|-31.804 -21.772     |8.85     |F5V                 |    ~     ~    
495 |BD-00 2680                                                                                                                                                                                                        |Red Giant Branch star             |13 21 53.5266879240 -00 52 24.787791984|318.8182551316492 +61.0553675121553| -43.958 -9.083     |9.79     |G5                  |    ~     ~    
496 |BD-00 2681                                                                                                                                                                                                        |Horizontal Branch Star            |13 22 13.0055228016 -01 09 49.622517864|318.8346019644979 +60.7541093202795|   -0.298 2.736     |10.61    |K0                  |    ~     ~    
497 |BD-00 2682                                                                                                                                                                                                        |High Proper Motion Star           |13 23 01.8289009200 -01 30 45.758322252|319.0613337624143 +60.3659180188979|-37.970 -63.517     |10.296   |G0                  |    ~     ~    
498 |BD-00 2683                                                                                                                                                                                                        |High Proper Motion Star           |13 23 06.5093524200 -00 47 07.539629424|319.4721755126850 +61.0651608578947|-16.077 -55.259     |10.9     |K                   |    ~     ~    
499 |BD-00 2684                                                                                                                                                                                                        |Star                              |13 23 20.5001267160 -01 29 52.385452152|319.2211215772649 +60.3609510313473|-13.950 -14.082     |9.72     |K0                  |    ~     ~    
500 |HD 116831                                                                                                                                                                                                         |High Proper Motion Star           |13 26 11.4149726232 -01 11 32.902280340|320.7747308711794 +60.4697614614412| -111.829 3.836     |5.965    |A8V                 |    ~     ~    
501 |BD-00 2689                                                                                                                                                                                                        |Star                              |13 27 12.9536035224 -01 17 51.891247104|321.2145141139353 +60.2978193437074|   5.924 -0.659     |9.81     |K2                  |    ~     ~    
502 |HD 117003                                                                                                                                                                                                         |High Proper Motion Star           |13 27 25.6849698048 -01 04 10.314266196|321.4473773800218 +60.5019407074638| -62.178 -0.067     |9.29     |F3V                 |    ~     ~    
503 |HD 117126                                                                                                                                                                                                         |Spectroscopic Binary              |13 28 18.7088282396 -00 50 24.689386051|322.0121117122008 +60.6582874002692|224.600 -405.310    |7.44     |G3/5V               |    ~     ~    
504 |BD-00 2692                                                                                                                                                                                                        |Horizontal Branch Star            |13 28 36.5941767984 -01 20 17.104229628|321.8642209842387 +60.1601748247896|  -13.496 6.520     |10.154   |K0                  |    ~     ~    
505 |HD 117218                                                                                                                                                                                                         |Spectroscopic Binary              |13 28 55.9163021880 -01 16 16.325451552|322.0581524132253 +60.2008162940944| -1.089 -77.065     |9.175    |G8/K0V              |    ~     ~    
506 |HD 117267                                                                                                                                                                                                         |High Proper Motion Star           |13 29 14.9156636856 -01 21 51.938259372|322.1554290669703 +60.0885235836043|-42.650 -58.969     |6.419    |K1IIICNII           |    ~     ~    
507 |HD 117349                                                                                                                                                                                                         |Star                              |13 29 47.2967183856 -01 23 48.873706656|322.3944265162896 +60.0177130399931|   2.069 -4.288     |8.70     |K2III               |    ~     ~    
508 |BD-01 2802                                                                                                                                                                                                        |Star                              |13 21 35.8032997224 -01 58 01.506990828|318.1420195998885 +60.0110307562342|-16.872 -25.103     |9.91     |K2                  |    ~     ~    
509 |BD-01 2803                                                                                                                                                                                                        |Star                              |13 21 59.0671240104 -01 47 03.268078764|318.4172462915331 +60.1658911414524|  -17.921 1.030     |10.07    |M0                  |    ~     ~    
510 |BD-01 2814                                                                                                                                                                                                        |Star                              |13 24 10.8487611984 -01 59 11.855873364|319.3822607882737 +59.8352275341823|  -26.932 4.173     |9.90     |G5                  |    ~     ~    
511 |BD-01 2813B                                                                                                                                                                                                       |Star                              |13 24 07.1411204856 -01 59 39.344044056|319.3486999010469 +59.8317278506763|   8.648 -0.647     |10.01    |F8                  |    ~     ~    
512 |HD 116532                                                                                                                                                                                                         |Star                              |13 24 14.6543356512 -02 06 26.555974344|319.3522846491668 +59.7143806392853| -4.318 -15.453     |8.28     |G3/5IV/V            |    ~     ~    
513 |BD-01 2815B                                                                                                                                                                                                       |Star                              |13 24 13.0064003016 -02 06 29.875267224|319.3386560726460 +59.7152150642629| -3.827 -15.234     |9.71     |G5                  |    ~     ~    
514 |HD 116680                                                                                                                                                                                                         |Star                              |13 25 13.7805529272 -02 13 31.084243824|319.7636534128879 +59.5376137942882|  -9.618 -3.484     |8.36     |F3V                 |    ~     ~    
515 |BD-01 2820                                                                                                                                                                                                        |Star                              |13 25 36.7017724224 -01 46 16.795158312|320.1816519519516 +59.9509446248330|   1.073 -4.137     |10.298   |G0                  |    ~     ~    
516 |BD-01 2826                                                                                                                                                                                                        |Red Giant Branch star             |13 29 12.6830280648 -02 02 11.672708424|321.7503643392198 +59.4479933492400|  20.471 -6.210     |9.76     |K0                  |    ~     ~    
517 |HD 116248                                                                                                                                                                                                         |High Proper Motion Star           |13 22 26.4055160928 -02 28 51.447878436|318.3088247580421 +59.4620446846950| -69.192 22.025     |9.70     |F3V                 |    ~     ~    
518 |BD-01 2808                                                                                                                                                                                                        |Red Giant Branch star             |13 22 37.3550439360 -02 35 25.037767212|318.3450316394192 +59.3450364462230| -13.866 12.924     |9.93     |G5                  |    ~     ~    
519 |V* IN Vir                                                                                                                                                                                                         |RS CVn Variable                   |13 24 24.1561749744 -02 18 54.937707948|319.3245972157478 +59.5032299932364|61.394 -142.696     |9.131    |K2III               |    ~     ~    
520 |BD-01 2823                                                                                                                                                                                                        |Red Giant Branch star             |13 27 13.1610393360 -02 18 54.907253172|320.6592730404877 +59.3193673076654| 32.302 -18.788     |9.55     |K0                  |    ~     ~    
521 |UGP 319                                                                                                                                                                                                           |High Proper Motion Star           |13 27 35.5556585784 -01 50 16.985597856|321.0944027884077 +59.7526682090522|-13.779 -93.479     |10.67    |K4                  |    ~     ~    
522 |TYC 4959-249-1                                                                                                                                                                                                    |Spectroscopic Binary              |13 21 54.7683832680 -02 05 26.568090384|318.2374493926435 +59.8723379690645| 11.396 -37.733     |10.664   |~                   |    ~     ~    
523 |TYC 4959-404-1                                                                                                                                                                                                    |Horizontal Branch Star            |13 22 07.3143024960 -00 32 18.073746420|319.1049433757189 +61.3661666227844|-22.918 -12.534     |10.9     |~                   |    ~     ~    
524 |BD-01 2804                                                                                                                                                                                                        |Red Giant Branch star             |13 22 16.9858309776 -02 12 35.921913300|318.3602131294371 +59.7346092728582|  -5.052 -5.643     |10.500   |~                   |    ~     ~    
525 |TYC 4962-10-1                                                                                                                                                                                                     |Star                              |13 22 25.8126872952 -02 37 47.745391260|318.2351638846794 +59.3178510758489|-20.193 -17.778     |10.223   |~                   |    ~     ~    
526 |BD-01 2809                                                                                                                                                                                                        |Star                              |13 22 45.5197403616 -02 12 39.548064456|318.5885422207832 +59.7052785508967|      13.8 -0.4     |10.15    |~                   |    ~     ~    
527 |BD-01 2811                                                                                                                                                                                                        |Star                              |13 23 53.5340380152 -02 02 49.552643436|319.2132707128105 +59.7947827174792| -26.370 -5.369     |10.44    |~                   |    ~     ~    
528 |BD-01 2812                                                                                                                                                                                                        |Star                              |13 23 58.1403986712 -02 19 52.710017484|319.1100038999857 +59.5147441747240|  -31.455 5.126     |10.18    |~                   |    ~     ~    
