C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:44:53

Vmag< 11&dec< 0&rah >=13.25&rah< 13.5
-------------------------------------

Number of objects : 5452

 #  |                                                                                                    identifier                                                                                                    |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |     spec. type     |   ang. size   
----|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|--------------------|---------------
30  |BD-02 3660                                                                                                                                                                                                        |High Proper Motion Star           |13 16 05.6332955784 -03 21 24.015389904|314.9229469306005 +58.9398535851762|-151.070 96.326     |10.23    |~                   |    ~     ~    
31  |BD-02 3657                                                                                                                                                                                                        |Spectroscopic Binary              |13 15 00.1665878688 -03 14 07.176671520|314.4454272805066 +59.1086290471198|  -7.435 -3.949     |9.68     |~                   |    ~     ~    
32  |BD-04 3446                                                                                                                                                                                                        |Star                              |13 15 00.2732652696 -05 14 51.770384124|313.7866940146391 +57.1265203916897|  2.424 -29.793     |10.27    |~                   |    ~     ~    
33  |BD-02 3658                                                                                                                                                                                                        |Star                              |13 15 09.9116193648 -02 59 46.629590496|314.6070619583754 +59.3365405465443| -23.122 -1.669     |9.89     |~                   |    ~     ~    
34  |BD-03 3432                                                                                                                                                                                                        |Star                              |13 15 36.9431176560 -04 32 40.132155588|314.2904570840506 +57.7930740960120| -37.693 -8.632     |10.339   |~                   |    ~     ~    
35  |BD-04 3451                                                                                                                                                                                                        |Star                              |13 15 38.0633967960 -05 13 42.836552580|314.0773303394357 +57.1186486696323|-36.515 -22.700     |9.71     |~                   |    ~     ~    
36  |BD-03 3436                                                                                                                                                                                                        |Star                              |13 16 09.6693321048 -04 37 51.777418296|314.5122575875937 +57.6837495839369| 11.611 -11.232     |10.76    |~                   |    ~     ~    
37  |BD-02 3661                                                                                                                                                                                                        |Star                              |13 16 16.1120433000 -03 13 31.282563720|315.0535756674083 +59.0607553891052| 18.149 -29.980     |10.130   |~                   |    ~     ~    
38  |BD-03 3439                                                                                                                                                                                                        |High Proper Motion Star           |13 16 31.2902521992 -04 36 40.126319388|314.6841950843527 +57.6871129742691|-74.164 -39.538     |9.84     |~                   |    ~     ~    
39  |BD-03 3441                                                                                                                                                                                                        |Star                              |13 16 43.9502234880 -04 10 26.728124628|314.9325525272796 +58.1070693203960| 24.165 -14.879     |10.347   |~                   |    ~     ~    
40  |BD-03 3445                                                                                                                                                                                                        |Star                              |13 17 16.8976602480 -04 03 51.471781812|315.2264679836646 +58.1892000905312| -40.373 15.968     |10.32    |~                   |    ~     ~    
41  |BD-02 3663                                                                                                                                                                                                        |Star                              |13 17 26.1228656808 -03 34 51.703323600|315.4753846103868 +58.6561379205346| -22.443 -4.849     |10.10    |~                   |    ~     ~    
42  |BD-03 3446                                                                                                                                                                                                        |High Proper Motion Star           |13 17 32.937 -04 29 59.59              |315.193963 +57.748880              |    118.0 -87.4     |10.70    |~                   |    ~     ~    
43  |BD-02 3665                                                                                                                                                                                                        |Star                              |13 18 00.1242643920 -03 32 14.941543992|315.7584064046432 +58.6711525060286|  -17.134 2.847     |10.58    |~                   |    ~     ~    
44  |BD-04 3457                                                                                                                                                                                                        |Star                              |13 18 02.8663169928 -04 50 28.207813524|315.3002813398698 +57.3901723528543|-25.762 -29.746     |10.24    |~                   |    ~     ~    
45  |TYC 4961-969-1                                                                                                                                                                                                    |Star                              |13 15 53.0946456168 -04 01 44.750211780|314.5885793737286 +58.2882754588099|  10.538 -8.270     |10.61    |~                   |    ~     ~    
46  |TYC 4961-1119-1                                                                                                                                                                                                   |Star                              |13 16 51.8214069480 -03 59 29.496878592|315.0581258830507 +58.2803311432010| 40.774 -15.358     |10.58    |~                   |    ~     ~    
47  |BD-02 3664                                                                                                                                                                                                        |Star                              |13 17 45.6405012384 -03 01 42.680452476|315.8397569449948 +59.1819449039176|  13.032 -6.904     |10.64    |~                   |    ~     ~    
48  |TYC 4961-928-1                                                                                                                                                                                                    |Star                              |13 15 55.5830066184 -04 39 38.623353264|314.3947113288496 +57.6649794533494| -21.970 -7.566     |10.15    |~                   |    ~     ~    
49  |HD 115341                                                                                                                                                                                                         |Star                              |13 16 40.0710619392 -05 34 24.610120752|314.4304215162327 +56.7339213406894|-12.831 -47.044     |7.83     |G1V                 |    ~     ~    
50  |HD 115540                                                                                                                                                                                                         |Star                              |13 17 52.7890539000 -05 31 24.098176488|314.9876143999483 +56.7281827615638|  23.541 16.909     |9.89     |F7/G0(+F)           |    ~     ~    
51  |BD-04 3448                                                                                                                                                                                                        |Star                              |13 15 17.3481620952 -05 28 47.992614816|313.8429147492785 +56.8856137776527|  -2.473 -0.288     |10.30    |~                   |    ~     ~    
52  |BD-04 3456                                                                                                                                                                                                        |High Proper Motion Star           |13 17 56.0575972416 -05 27 10.388697372|315.0359676552373 +56.7948764080966| 99.901 -87.474     |10.49    |~                   |    ~     ~    
53  |BD-04 3458                                                                                                                                                                                                        |Star                              |13 18 16.2529914408 -05 28 42.861545616|315.1772597005106 +56.7538563825390| -27.042 -0.152     |10.37    |~                   |    ~     ~    
54  |HD 115185                                                                                                                                                                                                         |High Proper Motion Star           |13 15 36.0017029992 -05 38 08.637991980|313.9338044458452 +56.7189973732727| 53.006 -73.062     |9.42     |F7V                 |    ~     ~    
55  |HD 115247                                                                                                                                                                                                         |High Proper Motion Star           |13 16 03.0999997752 -05 40 07.401158328|314.1250262994321 +56.6671581500323|-83.525 -40.430     |7.69     |F5V                 |    ~     ~    
56  |HD 115607                                                                                                                                                                                                         |Star                              |13 18 17.7709989696 -05 47 21.335747316|315.0818424403315 +56.4475763663256| -31.702 -8.391     |8.26     |F3V                 |    ~     ~    
57  |HD 115489                                                                                                                                                                                                         |Star                              |13 17 37.0903936896 -06 23 47.734489500|314.5830262465892 +55.8817817860076|   45.591 0.345     |8.99     |F3V                 |    ~     ~    
58  |HD 115631                                                                                                                                                                                                         |Star                              |13 18 33.0784796592 -06 15 56.767957524|315.0327972013494 +55.9676390096313| -42.731 -6.905     |7.61     |G8/K0III            |    ~     ~    
59  |HD 115248                                                                                                                                                                                                         |Star                              |13 16 01.8927037680 -07 43 11.913715560|313.5012022308745 +54.6462902369249|   -8.281 3.232     |9.55     |F2V                 |    ~     ~    
60  |HD 115353                                                                                                                                                                                                         |Star                              |13 16 49.5859908576 -06 56 05.202423744|314.0714494326310 +55.3868986514298| -31.066 -5.863     |8.30     |F6V                 |    ~     ~    
61  |HD 115090                                                                                                                                                                                                         |Star                              |13 15 06.0890009280 -07 58 22.369391400|313.0390673958029 +54.4338294250342|   -3.789 5.165     |9.45     |G5/6V               |    ~     ~    
62  |HD 115366                                                                                                                                                                                                         |High Proper Motion Star           |13 17 00.4658731992 -07 46 00.215866344|313.8992329133681 +54.5596199770672|-55.388 -30.433     |10.222   |G0/1V               |    ~     ~    
63  |BD-06 3777                                                                                                                                                                                                        |Star                              |13 16 53.5954264896 -07 22 23.741021496|313.9676074434296 +54.9521290920469|  -9.004 -7.406     |10.84    |~                   |    ~     ~    
64  |BD-06 3778                                                                                                                                                                                                        |Star                              |13 16 59.2076109912 -07 17 29.090259132|314.0320043069769 +55.0287577864889| -31.007 -8.876     |9.78     |~                   |    ~     ~    
65  |BD-05 3667                                                                                                                                                                                                        |Star                              |13 18 07.1594939592 -06 20 48.285958956|314.8175919430701 +55.9080481089254|  -44.105 5.324     |10.564   |~                   |    ~     ~    
66  |BD-06 3781                                                                                                                                                                                                        |Star                              |13 18 37.4771149752 -06 57 57.056261508|314.8334920907300 +55.2764226857218|   -5.990 0.634     |10.909   |~                   |    ~     ~    
67  |BD-07 3586                                                                                                                                                                                                        |Star                              |13 18 38.8994762544 -07 53 34.473629436|314.5491889199935 +54.3639265694436| -8.654 -13.498     |10.856   |~                   |    ~     ~    
68  |BD-04 3447                                                                                                                                                                                                        |Star                              |13 15 14.9309837856 -05 30 05.203846080|313.8181977096828 +56.8661696505643| -45.524 14.003     |10.73    |~                   |    ~     ~    
69  |HD 115153                                                                                                                                                                                                         |High Proper Motion Star           |13 15 30.7679504352 -08 03 18.498504204|313.1892593071451 +54.3364379075159|  29.947 49.684     |8.06     |G5V                 |    ~     ~    
70  |HD 115656                                                                                                                                                                                                         |Star                              |13 18 43.5803567016 -08 08 34.620206064|314.5044024421100 +54.1145106202236|   7.518 -0.998     |8.80     |K0III               |    ~     ~    
71  |BD-07 3580                                                                                                                                                                                                        |Star                              |13 17 29.5565498688 -07 59 14.576177112|314.0373583873943 +54.3216014383467|  -29.164 7.738     |10.731   |~                   |    ~     ~    
72  |HD 115275                                                                                                                                                                                                         |Star                              |13 16 13.8744259440 -08 27 20.604957372|313.3781223688412 +53.9123935259000|-37.110 -19.707     |10.387   |F5/6V               |    ~     ~    
73  |HD 115367                                                                                                                                                                                                         |Star                              |13 16 58.5063237240 -08 24 18.465217272|313.7004195281487 +53.9318230524902|   3.125 -3.940     |8.45     |K5/M0III            |    ~     ~    
74  |HD 115408                                                                                                                                                                                                         |Star                              |13 17 11.2759500624 -08 19 59.458492128|313.8092679636420 +53.9938438095748| -30.971 -6.745     |9.782    |G3/5V               |    ~     ~    
75  |HD 115503                                                                                                                                                                                                         |High Proper Motion Star           |13 17 44.1054214128 -08 43 59.766763296|313.9192941330005 +53.5765402225883| 15.040 -50.940     |7.25     |F6V                 |    ~     ~    
76  |BD-08 3516                                                                                                                                                                                                        |High Proper Motion Star           |13 15 19.8436278072 -09 31 28.374077208|312.7260167768356 +52.8922432659126| -78.732 -2.034     |10.538   |~                   |    ~     ~    
77  |BD-08 3518                                                                                                                                                                                                        |Star                              |13 15 57.5684618928 -09 37 27.312338856|312.9538215811157 +52.7696765529981|-18.368 -20.414     |10.372   |~                   |    ~     ~    
78  |HD 115258                                                                                                                                                                                                         |High Proper Motion Star           |13 16 10.1369684208 -08 48 59.881424796|313.2534404681403 +53.5587636625112|164.507 -36.478     |10.04    |G6/8V               |    ~     ~    
79  |HD 115504                                                                                                                                                                                                         |Star                              |13 17 37.5246244104 -09 39 42.712523100|313.6126214891992 +52.6659598922513|-11.606 -34.076     |9.84     |G3V                 |    ~     ~    
80  |HD 115490                                                                                                                                                                                                         |Star                              |13 17 42.8456108112 -09 04 18.481821888|313.8136751844730 +53.2438734170255| -9.315 -13.458     |9.46     |K3(III)             |    ~     ~    
81  |HD 115522                                                                                                                                                                                                         |High Proper Motion Star           |13 17 54.5470414824 -08 47 18.027036276|313.9746349718776 +53.5148909935213| -42.109 23.003     |10.20    |F7V                 |    ~     ~    
82  |HD 115608                                                                                                                                                                                                         |Star                              |13 18 18.3734767080 -09 34 34.923510012|313.9094164441236 +52.7217585647905|  -33.798 8.879     |9.08     |G8IV                |    ~     ~    
83  |HD 115121                                                                                                                                                                                                         |Double or Multiple Star           |13 15 09.4528039049 -10 03 57.582333127|312.5209227597098 +52.3635772558120| 7.177 -156.398     |9.961    |G3/5V               |    ~     ~    
84  |BD-09 3651                                                                                                                                                                                                        |Star                              |13 16 06.0015909624 -10 37 12.734174928|312.7560768232947 +51.7804968378154| -16.173 -2.398     |10.344   |F0                  |    ~     ~    
85  |HD 115276                                                                                                                                                                                                         |Star                              |13 16 13.9047054264 -10 35 35.275436016|312.8145558565594 +51.8022265134168|  -21.588 7.518     |8.61     |K0III               |    ~     ~    
86  |* 58 Vir                                                                                                                                                                                                          |gamma Dor Variable                |13 17 27.3256669272 -10 32 46.642703136|313.3067256023264 +51.8005907759580| -84.422 15.453     |6.89     |F1IV/V              |    ~     ~    
