C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:34:18

dec >=0&rah >=8.75&rah< 9.0&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 3764

 #  |                                                                 identifier                                                                 |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
23  |BD+84 188                                                                                                                                   |High Proper Motion Star            |08 57 49.7284372296 +84 02 30.586590420|128.7990943394271 +30.1274229876442|-39.442 -68.308    |10.24    |K0               |    ~     ~    |    1|  187.108   pc  |  -0.4656     +0.4656  |paral   |2020yCat.1350....0G
24  |BD+84 189                                                                                                                                   |Star                               |08 59 13.9492247136 +83 57 10.237570992|128.8686249139982 +30.2025981178903| -13.498 -6.586    |10.05    |K0               |    ~     ~    |    1|  482.021   pc  |  -2.5790     +2.5790  |paral   |2020yCat.1350....0G
25  |HD 73869                                                                                                                                    |Star                               |08 55 48.8556254112 +83 32 54.486441096|129.3312975504577 +30.3141893317429|    8.166 6.495    |9.21     |A3               |    ~     ~    |    1|  308.718   pc  |  -7.5197     +7.5197  |paral   |2020yCat.1350....0G
26  |BD+83 223                                                                                                                                   |Star                               |08 47 05.4090058512 +83 13 30.726105960|129.7964999288325 +30.2358336825786|  -7.914 -1.393    |9.82     |A5               |    ~     ~    |    1|  384.615   pc  |  -5.6509     +5.6509  |paral   |2020yCat.1350....0G
27  |BD+83 224                                                                                                                                   |Star                               |08 48 04.3425655800 +83 24 33.907617540|129.5901792924309 +30.1814211997290|-17.415 -21.407    |9.76     |A2               |    ~     ~    |    1|  287.877   pc  |  -1.0856     +1.0856  |paral   |2020yCat.1350....0G
28  |BD+83 225                                                                                                                                   |Star                               |08 49 20.5553854416 +82 44 34.081396368|130.2653326230815 +30.5075386931305|  17.919 17.187    |9.70     |F8               |    ~     ~    |    1|  163.757   pc  |  -1.2684     +1.2684  |paral   |2020yCat.1350....0G
29  |BD+83 226                                                                                                                                   |Star                               |08 50 32.4431007624 +82 55 37.906765140|130.0541444627396 +30.4598447240567| -4.793 -17.808    |10.69    |F0               |    ~     ~    |    1|  328.807   pc  |  -1.2433     +1.2433  |paral   |2020yCat.1350....0G
30  |BD+83 227                                                                                                                                   |Spectroscopic Binary               |08 51 53.5353161952 +82 46 24.197175048|130.1921961576338 +30.5660526007525| -45.844 -3.388    |9.54     |F8               |    ~     ~    |    1|  166.229   pc  |  -0.7240     +0.7240  |paral   |2020yCat.1350....0G
31  |BD+83 228                                                                                                                                   |Spectroscopic Binary               |08 56 26.9253881496 +82 57 24.143560452|129.9276474652622 +30.6079503815292|  11.941 39.057    |10.15    |G0               |    ~     ~    |    1|  195.354   pc  |  -3.1218     +3.1218  |paral   |2020yCat.1350....0G
32  |BD+83 230                                                                                                                                   |Star                               |08 58 07.5341185824 +82 51 30.790284156|130.0000307604840 +30.6997958307687|-11.661 -19.573    |10.77    |F8               |    ~     ~    |    1|  233.133   pc  |  -0.6413     +0.6413  |paral   |2020yCat.1350....0G
