C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:58:43

dec< 0&rah >=23.75&rah< 24.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 2512

 #  |                              identifier                              |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
760 |HD 224077                                                             |Star                               |23 54 58.1747182776 -20 02 44.933900316|058.6499117948353 -75.2666449457368| -3.294 -49.632   |8.34     |F5V            |    ~     ~    |    1|  113.730   pc  |  -1.0060     +1.0060    |ST-L    |2020AJ....160...83S
761 |HD 224280                                                             |Star                               |23 56 33.5941697664 -19 47 39.076185372|060.2793075260266 -75.4494379645554| 10.569 -17.605   |9.98     |G1V            |    ~     ~    |    1|  268.348   pc  |  -1.7571     +1.7571    |paral   |2020yCat.1350....0G
762 |HD 224281                                                             |Star                               |23 56 33.5717176416 -20 10 44.117629284|058.9744170102105 -75.6544545643941|  16.168 -3.159   |9.53     |G8IV           |    ~     ~    |    1|  480.885   pc  |  -3.7231     +3.7231    |paral   |2020yCat.1350....0G
763 |HD 224526                                                             |Star                               |23 58 42.8548565664 -20 01 31.153758240|060.6082040115599 -76.0001491613197|   33.192 3.154   |9.58     |F0V            |    ~     ~    |    1|  198.440   pc  |  -1.0357     +1.0357    |paral   |2020yCat.1350....0G
764 |HD 224619                                                             |High Proper Motion Star            |23 59 28.4320286594 -20 02 04.966516503|060.9807466166467 -76.1547021173926|507.592 -283.686  |7.46     |G8+V           |    ~     ~    |    1|   26.1777  pc  |  -0.0202     +0.0202    |paral   |2020yCat.1350....0G
765 |HD 224691                                                             |High Proper Motion Star            |23 59 57.1365529944 -20 02 09.797455212|061.2352427412662 -76.2492714556772| 70.164 -10.383   |9.46     |G8IV           |    ~     ~    |    1|  212.477   pc  |  -0.9165     +0.9165    |paral   |2020yCat.1350....0G
766 |HD 223654                                                             |Star                               |23 51 32.7219442176 -20 46 55.912453212|054.6179655979185 -74.9326256442726| 14.744 -18.534   |8.98     |K1(III)        |    ~     ~    |    1| 1167.679   pc  | -25.0879    +25.0879    |paral   |2020yCat.1350....0G
767 |HD 223907                                                             |Star                               |23 53 35.2789231368 -20 13 23.273378112|057.4050681026196 -75.0792053707855|    8.118 6.994   |9.80     |G8/K1          |    ~     ~    |    1|  641.231   pc  |  -7.9357     +7.9357    |paral   |2020yCat.1350....0G
768 |HD 223920                                                             |Star                               |23 53 38.4845862840 -20 31 03.363370824|056.4322727593052 -75.2366151537206|  5.188 -38.194   |7.37     |K2III          |    ~     ~    |    1|  202.327   pc  |  -1.1953     +1.1953    |paral   |2020yCat.1350....0G
769 |HD 224143                                                             |Star                               |23 55 34.9680327456 -20 57 11.398745376|055.7868027877253 -75.8447150744023|   6.862 -1.629   |7.91     |G1V            |    ~     ~    |    1|   39.622   pc  |  -0.1962     +0.1962    |paral   |2020yCat.1350....0G
770 |HD 224191                                                             |Star                               |23 55 58.0010215896 -20 27 58.674754260|057.6899946041512 -75.6832365566806|  9.893 -16.936   |9.58     |F2V            |    ~     ~    |    1|  245.140   pc  |  -4.4530     +4.4530    |ST-L    |2020AJ....160...83S
771 |HD 224349                                                             |Star                               |23 57 10.1146073808 -20 50 01.108706064|056.9607451270729 -76.1103522292659|-32.656 -13.471   |6.44     |G8/K0III       |    ~     ~    |    1|  146.690   pc  |  -0.5509     +0.5509    |paral   |2020yCat.1350....0G
772 |HD 224482                                                             |Be Star                            |23 58 22.3146849816 -20 19 07.419136872|059.4025004809527 -76.0895803646326| 66.954 -30.744   |8.84     |F3V            |    ~     ~    |    1|  171.721   pc  |  -1.8650     +1.8650    |ST-L    |2020AJ....160...83S
773 |BD-21 6506                                                            |Star                               |23 58 27.1513543680 -20 17 54.154155336|059.5159314987913 -76.0948767072726|  5.550 -15.444   |9.934    |K0             |    ~     ~    |    1|  456.776   pc  | -12.6000    +12.6000    |ST-L    |2020AJ....160...83S
774 |HD 224579                                                             |Star                               |23 59 06.2348677128 -20 37 34.550609052|058.6754574139233 -76.3963091136937|  -4.582 -9.224   |8.66     |K1/2III        |    ~     ~    |    1|  571.998   pc  | -23.6500    +23.6500    |ST-L    |2020AJ....160...83S
775 |HD 224620                                                             |Star                               |23 59 23.9466518328 -20 56 44.129344884|057.6471994252263 -76.6180650173318|  13.597 -1.695   |9.896    |G0V            |    ~     ~    |    1|  242.599   pc  |  -3.5700     +3.5700    |ST-L    |2020AJ....160...83S
776 |HD 224692                                                             |Star                               |23 59 55.8144769488 -21 00 22.193830476|057.6889950287563 -76.7557180795580|   2.251 -0.614   |10.06    |A9V            |    ~     ~    |    1|  279.501   pc  |  -1.6327     +1.6327    |paral   |2020yCat.1350....0G
777 |HD 223690                                                             |Spectroscopic Binary               |23 51 46.1492286168 -21 38 31.844081580|051.7027020340461 -75.3616585403448|  5.497 -14.314   |10.43    |G0V            |    ~     ~    |    1|  421.124   pc  |  -5.1075     +5.1075    |paral   |2020yCat.1350....0G
778 |HD 223749                                                             |Star                               |23 52 25.5067821048 -21 14 21.640185420|053.3987456059801 -75.3240827004408| 12.418 -25.044   |10.256   |G2/3(V)        |    ~     ~    |    1|  173.986   pc  |  -1.8390     +1.8390    |ST-L    |2020AJ....160...83S
779 |HD 223810                                                             |Star                               |23 52 55.5637145616 -21 28 50.128337532|052.7430892396590 -75.5352682646676|-37.614 -25.851   |8.75     |F5V            |    ~     ~    |    1|  180.574   pc  |  -1.6140     +1.6140    |paral   |2020yCat.1350....0G
780 |HD 223921                                                             |High Proper Motion Star            |23 53 43.6405652424 -21 37 18.427759176|052.5563919521046 -75.7644153011557|-15.653 -63.595   |9.80     |F6/7V          |    ~     ~    |    1|  137.468   pc  |  -1.3350     +1.3350    |ST-L    |2020AJ....160...83S
781 |HD 224107                                                             |Star                               |23 55 10.3496186976 -21 22 46.880056236|054.0542993834773 -75.9586955891308|  6.960 -28.800   |7.11     |G8/K0III       |    ~     ~    |    1|  231.241   pc  |  -1.1871     +1.1871    |paral   |2020yCat.1350....0G
782 |BD-22 6222B                                                           |Star                               |23 55 09.6104818944 -21 23 28.290198372|054.0066685573355 -75.9613443919165|    9.030 1.623   |10.28    |~              |    ~     ~    |    1|  201.256   pc  |  -1.1058     +1.1058    |paral   |2020yCat.1350....0G
783 |HD 224108                                                             |High Proper Motion Star            |23 55 15.0812754072 -21 37 58.922549328|053.1493479844297 -76.0881166531882|187.368 -148.928  |9.83     |G8V            |    ~     ~    |    1|   68.501   pc  |  -0.0741     +0.0741    |paral   |2020yCat.1350....0G
784 |HD 224282                                                             |Star                               |23 56 35.3317492992 -21 37 15.053066760|053.7733854145659 -76.3614140776924|  -1.201 -8.644   |9.41     |G8/K0III/IV    |    ~     ~    |    1|  512.216   pc  |  -9.2353     +9.2353    |paral   |2020yCat.1350....0G
785 |BD-22 6227                                                            |Star                               |23 56 56.7960446184 -21 20 19.602286872|054.9966726884089 -76.3069639747161| -1.801 -14.693   |10.439   |K5             |    ~     ~    |    1|  502.952   pc  | -15.7900    +15.7900    |ST-L    |2020AJ....160...83S
786 |BD-22 6229                                                            |High Proper Motion Star            |23 57 28.8351220032 -21 38 52.640659212|054.0666341025104 -76.5588076247891|-13.650 -49.242   |8.49     |G5             |    ~     ~    |    1|  215.582   pc  |  -6.3625     +6.3625    |paral   |2020yCat.1350....0G
787 |BD-22 6219                                                            |High Proper Motion Star            |23 54 46.3045406160 -21 46 28.239666600|052.4191444195494 -76.0491305730854|-42.286 127.136   |10.809   |M0V            |    ~     ~    |    1|   23.477   pc  |  -0.0132     +0.0132    |paral   |2020yCat.1350....0G
788 |V* LX Aqr                                                             |Long-Period Variable               |23 56 07.1848433568 -21 59 31.444444932|052.1510938229000 -76.4247070643540|   14.441 9.443   |7.27     |M2III          |    ~     ~    |    1|  525.238   pc  | -12.9661    +12.9661    |paral   |2020yCat.1350....0G
789 |HD 224462                                                             |Double or Multiple Star            |23 58 08.3584717272 -21 54 05.571567576|053.3750188165445 -76.8084536206803|  8.654 -11.190   |8.79     |A3V            |0.0017  0.0    |    1|  333.5557  pc  | -16.3885    +16.3885    |paral   |2018yCat.1345....0G
790 |HD 224469                                                             |High Proper Motion Star            |23 58 18.895848 -22 09 36.19800        |052.424428229 -76.956586594        |      77.1 33.4   |10.680   |F8             |    ~     ~    |    1|  212.117   pc  | +29.894     +35         |ST-L    |2017AJ....153...75K
791 |HD 224483                                                             |Star                               |23 58 24.0880457016 -21 54 00.461835684|053.4978577990821 -76.8624646233581|-25.665 -22.605   |9.56     |G5V            |    ~     ~    |    1|  106.940   pc  |  -0.7472     +0.7472    |ST-L    |2020AJ....160...83S
792 |BD-22 6210                                                            |Star                               |23 51 51.6144711384 -21 13 47.662812768|053.2012591099957 -75.2020506181227|   12.971 6.115   |10.78    |~              |    ~     ~    |    1|  308.071   pc  |  -1.8602     +1.8602    |paral   |2020yCat.1350....0G
793 |BD-21 6497                                                            |Star                               |23 55 32.0051672304 -20 17 25.989295344|058.0903070517046 -75.5063782836180| -10.574 15.692   |10.63    |~              |    ~     ~    |    1|  247.733   pc  |  -0.8653     +0.8653    |paral   |2020yCat.1350....0G
794 |BD-21 6504                                                            |Star                               |23 58 08.4369617448 -20 37 02.757108936|058.2189892148971 -76.1983470398002|    9.458 0.141   |10.83    |~              |    ~     ~    |    1|  299.177   pc  |  -1.4500     +1.4500    |paral   |2020yCat.1350....0G
795 |BD-21 6493                                                            |Star                               |23 53 52.4972625000 -20 56 43.142729892|055.0512053165217 -75.4898921938173|-19.936 -43.356   |10.94    |~              |    ~     ~    |    1|  243.920   pc  |  -1.1185     +1.1185    |paral   |2020yCat.1350....0G
796 |BD-21 6501                                                            |Star                               |23 57 36.2882579448 -21 10 12.786954456|055.9318679100267 -76.3628148396892|   9.944 -2.989   |10.29    |~              |    ~     ~    |    1|  884.877   pc  | -14.9555    +14.9555    |paral   |2020yCat.1350....0G
797 |BD-22 6238                                                            |High Proper Motion Star            |23 58 43.2589449792 -21 18 40.850540460|055.9318443022211 -76.6587253197683|143.115 -50.694   |10.42    |~              |    ~     ~    |    1|   78.812   pc  |  -0.3789     +0.3789    |ST-L    |2020AJ....160...83S
798 |TYC 6408-850-1                                                        |Star                               |23 59 04.7863922712 -19 51 32.503978368|061.3771019908557 -75.9805328228187| 15.968 -37.820   |10.745   |~              |    ~     ~    |    1|  268.028   pc  |  -4.2710     +4.2710    |ST-L    |2020AJ....160...83S
799 |TYC 6408-1091-1                                                       |Star                               |23 57 34.2317440632 -19 50 00.325626180|060.6663064220211 -75.6701810841219|   -0.732 0.321   |10.592   |~              |    ~     ~    |    1|  863.791   pc  | -35.9500    +35.9500    |ST-L    |2020AJ....160...83S
800 |TYC 6411-802-1                                                        |Spectroscopic Binary               |23 59 22.7262469200 -20 33 40.123056564|059.0542947504892 -76.4175345067547|  23.480 18.185   |10.388   |~              |    ~     ~    |    1|  504.366   pc  | -18.5500    +18.5500    |ST-L    |2020AJ....160...83S
801 |TYC 6411-1043-1                                                       |Star                               |23 54 52.9418341200 -20 51 22.268799036|055.8143266282218 -75.6546661351160| 19.153 -12.461   |10.92    |~              |    ~     ~    |    1|  268.413   pc  |  -1.0879     +1.0879    |paral   |2020yCat.1350....0G
802 |TYC 6411-1107-1                                                       |Star                               |23 59 00.1943946024 -21 29 38.819072076|055.3647239455657 -76.8028688569780|  2.008 -10.261   |10.932   |~              |    ~     ~    |    1|  525.933   pc  | -16.5600    +16.5600    |ST-L    |2020AJ....160...83S
803 |GEN# -0.02006683                                                      |Star                               |23 59 04.0 -19 51 42                   |061.3610 -75.9794                  |            ~ ~   |10.764   |~              |    ~     ~    |    0|                |                         |        |                   
804 |HD 223116                                                             |Star                               |23 46 51.8917137624 -19 31 51.986249544|056.6747425626409 -73.3651589012711|  26.515 -9.089   |10.08    |G6/8IV         |    ~     ~    |    1|  358.681   pc  |  -9.3160     +9.3160    |ST-L    |2020AJ....160...83S
805 |HD 223254                                                             |Double or Multiple Star            |23 47 58.4966007528 -19 30 22.072385052|057.2157201585506 -73.5781350828910| 75.138 -97.227   |10.18    |G3V            |0.0017  0.0    |    1|  148.203   pc  |  -1.9812     +1.9812    |paral   |2020yCat.1350....0G
806 |TYC 6407-689-1                                                        |High Proper Motion Star            |23 46 36.1717159440 -19 28 40.145397204|056.7269093506353 -73.2849862414272|-51.887 -32.296   |10.98    |~              |    ~     ~    |    1|   76.038   pc  |  -0.0919     +0.0919    |paral   |2020yCat.1350....0G
807 |BD-20 6649                                                            |Star                               |23 46 38.5779759072 -19 24 06.135490044|056.9716343900071 -73.2546575247550|  -9.041 -5.276   |10.717   |~              |    ~     ~    |    1|  288.809   pc  |  -7.1250     +7.1250    |ST-L    |2020AJ....160...83S
808 |BD-20 6650                                                            |Star                               |23 46 41.3017362864 -19 22 46.320650040|057.0567865027683 -73.2526171146373|  -9.616 -6.141   |10.58    |~              |    ~     ~    |    1|  282.950   pc  |  -6.8830     +6.8830    |ST-L    |2020AJ....160...83S
809 |HD 223032                                                             |Star                               |23 46 04.6340849808 -17 08 09.958632504|063.0424423314047 -71.8932653908565| -8.955 -17.873   |8.40     |K5/M0III       |    ~     ~    |    1|  457.331   pc  |  -5.9608     +5.9608    |paral   |2020yCat.1350....0G
810 |HD 223140                                                             |Star                               |23 47 07.4108461344 -17 05 57.987811176|063.6190850990015 -72.0722201053317|  16.425 -3.296   |9.38     |G8III          |    ~     ~    |    1|  455.622   pc  |  -3.1346     +3.1346    |paral   |2020yCat.1350....0G
811 |HD 223007                                                             |High Proper Motion Star            |23 45 54.8338209192 -17 48 09.574549992|061.2052826212674 -72.2482609154984|   77.477 3.810   |10.186   |G5/6(V)        |    ~     ~    |    1|  242.510   pc  |  -6.1500     +6.1500    |ST-L    |2020AJ....160...83S
812 |HD 223192                                                             |Star                               |23 47 31.7471320992 -17 56 33.231903684|061.5491478985269 -72.6438859453773|  29.821 -3.476   |8.95     |F3V            |    ~     ~    |    1|  161.985   pc  |  -0.6953     +0.6953    |paral   |2020yCat.1350....0G
813 |HD 223294                                                             |High Proper Motion Star            |23 48 23.0278497648 -17 53 30.564050712|062.0815620980431 -72.7812795777958| 22.499 -48.152   |10.000   |G5/6V          |    ~     ~    |    1|   84.316   pc  |  -0.5554     +0.5554    |ST-L    |2020AJ....160...83S
814 |HD 223327                                                             |Star                               |23 48 40.5885293407 -18 04 13.501203235|061.7210883642836 -72.9408262636155|   -4.088 8.556   |10.56    |K5             |    ~     ~    |    1|   77.8065  pc  |  -0.1350     +0.1350    |paral   |2020yCat.1350....0G
815 |HD 222942                                                             |Star                               |23 45 21.8159288208 -18 16 03.647902728|059.6937307230776 -72.3989913016357|    6.390 5.205   |10.04    |K5             |    ~     ~    |    1|  790.1391  pc  | -59.0606    +59.0606    |paral   |2018yCat.1345....0G
816 |* i02 Aqr B                                                           |High Proper Motion Star            |23 46 01.2608337888 -18 40 46.903098468|058.8181033810741 -72.7529921098533| 141.072 12.656   |6.42     |F2V            |    ~     ~    |    1|   48.891   pc  |  -0.5629     +0.5629    |paral   |2020yCat.1350....0G
817 |HD 223086                                                             |High Proper Motion Star            |23 46 36.5125373928 -18 19 56.624639484|060.0544308687055 -72.6814697217382|-42.281 -34.403   |10.004   |F3V            |    ~     ~    |    1|  282.718   pc  |  -6.9120     +6.9120    |ST-L    |2020AJ....160...83S
818 |HD 223087                                                             |Star                               |23 46 39.3274589400 -18 45 17.576643780|058.8748283674776 -72.9201438619851|  46.017 -0.634   |9.844    |G3V            |    ~     ~    |    1|  154.777   pc  |  -1.7440     +1.7440    |ST-L    |2020AJ....160...83S
819 |HD 223141                                                             |Star                               |23 47 07.6889820336 -19 10 09.402330396|057.8673657492714 -73.2335468602311|   36.869 3.705   |8.63     |F5V            |    ~     ~    |    1|  183.003   pc  |  -5.4890     +5.4890    |paral   |2020yCat.1350....0G
820 |HD 223272                                                             |High Proper Motion Star            |23 48 15.1882109592 -19 04 16.865693652|058.6434569116667 -73.4084443774484|  203.692 9.856   |9.60     |K2/3(V)        |    ~     ~    |    1|   55.288   pc  |  -0.0679     +0.0679    |paral   |2020yCat.1350....0G
821 |HD 223302                                                             |Star                               |23 48 30.6340614864 -18 53 04.938061704|059.3090104920496 -73.3602632113744|  5.115 -27.666   |7.37     |K0III          |    ~     ~    |    1|  228.201   pc  |  -1.8643     +1.8643    |paral   |2020yCat.1350....0G
822 |HD 223142                                                             |High Proper Motion Star            |23 47 08.1453039264 -19 21 14.309053344|057.3204848197980 -73.3303335170354| 101.005 23.323   |9.30     |G0(V)          |    ~     ~    |    1|  104.309   pc  |  -4.5687     +4.5687    |paral   |2020yCat.1350....0G
823 |CPD-19 8419                                                           |Star                               |23 46 33.6849235032 -18 56 50.312085540|058.2777883505764 -73.0033293539194|  17.817 18.516   |10.75    |~              |    ~     ~    |    1|  378.874   pc  |  -5.7705     +5.7705    |paral   |2020yCat.1350....0G
824 |HD 223464                                                             |Star                               |23 49 50.1372112464 -19 31 34.587713568|057.9593271406523 -73.9647328065530|  17.474 -5.375   |10.34    |K0             |    ~     ~    |    1|  675.219   pc  |  -9.6199     +9.6199    |paral   |2020yCat.1350....0G
825 |HD 224552                                                             |Star                               |23 58 51.2502921024 -19 39 07.895353284|061.9593398145542 -75.8209011418842|   28.272 4.586   |8.00     |G8IV           |    ~     ~    |    1|  440.800   pc  |  -4.7022     +4.7022    |paral   |2020yCat.1350....0G
826 |HD 224640                                                             |Star                               |23 59 33.9625943616 -19 31 48.532259676|062.7602093372604 -75.8894912758300| 22.860 -10.933   |9.38     |G0V            |    ~     ~    |    1|  116.643   pc  |  -0.5020     +0.5020    |paral   |2020yCat.1350....0G
827 |HD 223510                                                             |Double or Multiple Star            |23 50 12.7519579138 -17 22 35.825296514|064.3585951665062 -72.8279502048433| 91.035 -20.175   |9.539    |G0V            |    ~     ~    |    1|  331.084   pc  | -55.0400    +55.0400    |ST-L    |2020AJ....160...83S
828 |HD 223595                                                             |High Proper Motion Star            |23 50 55.1130349680 -17 24 46.871546832|064.6079403896457 -72.9839080511259| 34.151 -57.330   |9.78     |K0/1(III)      |    ~     ~    |    1|  550.449   pc  |  -4.7267     +4.7267    |paral   |2020yCat.1350....0G
829 |HD 223544                                                             |High Proper Motion Star            |23 50 29.9138865744 -18 08 00.291290208|062.4022130257802 -73.3312093195404| 126.827 11.629   |10.33    |G5             |    ~     ~    |    1|  199.219   pc  |  -1.2462     +1.2462    |paral   |2020yCat.1350....0G
830 |HD 223596                                                             |Double or Multiple Star            |23 50 54.6605871816 -18 03 02.434423320|062.8360093540431 -73.3628011477996|  81.711 -5.560   |10.72    |G3/5           |    ~     ~    |    1|  242.996   pc  |  -5.2650     +5.2650    |ST-L    |2020AJ....160...83S
831 |HD 223396                                                             |Star                               |23 49 10.6867221864 -18 12 19.463912856|061.5741517056432 -73.1157145473101|-19.232 -31.971   |10.559   |F7/G0          |    ~     ~    |    1|  230.694   pc  |  -7.2590     +7.2590    |ST-L    |2020AJ....160...83S
832 |HD 223476                                                             |Star                               |23 49 54.2817130152 -18 24 27.759554100|061.3353936708691 -73.3724814487353|   6.006 -9.158   |10.06    |K0             |    ~     ~    |    1|  869.792   pc  | -11.2724    +11.2724    |paral   |2020yCat.1350....0G
833 |HD 223535                                                             |Star                               |23 50 21.8415357672 -19 00 39.371110092|059.7713430935880 -73.7972114414911|   9.489 -1.372   |10.346   |K0             |    ~     ~    |    1|  348.258   pc  |  -9.9880     +9.9880    |ST-L    |2020AJ....160...83S
834 |HD 223545                                                             |Star                               |23 50 32.0032376640 -18 15 31.488019380|062.0610748101362 -73.4102397453699|  16.523 -9.814   |10.38    |F8/G1          |    ~     ~    |    1|  190.114   pc  |  -0.6867     +0.6867    |paral   |2020yCat.1350....0G
835 |HD 223586                                                             |Chemically Peculiar Star           |23 50 46.5638028720 -18 17 32.840639052|062.0803362495702 -73.4767600481767| -8.701 -32.947   |7.07     |G8/K0          |    ~     ~    |    1|  123.435   pc  |  -1.5389     +1.5389    |paral   |2020yCat.1350....0G
836 |HD 223621                                                             |Eruptive Variable                  |23 51 09.3451762800 -19 02 58.354713924|060.0213668554568 -73.9752196905809|  31.990 -5.379   |8.50     |F5V            |    ~     ~    |    1|  105.992   pc  |  -4.4139     +4.4139    |paral   |2020yCat.1350....0G
837 |HD 223621B                                                            |Star                               |23 51 09.1451044869 -19 02 48.251387436|060.0283315653272 -73.9730287423759|  28.663 -2.869   |10.61    |~              |    ~     ~    |    1|   99.6989  pc  |  -0.2216     +0.2216    |paral   |2020yCat.1350....0G
838 |BD-17 6827                                                            |High Proper Motion Star            |23 49 56.8289996424 -17 04 37.763605560|065.0268213345415 -72.5950151852082|-54.584 -20.519   |10.494   |~              |    ~     ~    |    1|  204.507   pc  |  -1.3843     +1.3843    |paral   |2020yCat.1350....0G
839 |BD-18 6376                                                            |High Proper Motion Star            |23 50 05.5334203272 -17 40 17.124330576|063.4977140966348 -72.9818793133395|-40.431 -75.961   |10.89    |~              |    ~     ~    |    1|  257.231   pc  |  -5.2760     +5.2760    |ST-L    |2020AJ....160...83S
840 |BD-19 6514                                                            |Star                               |23 48 50.7667042392 -19 08 01.590422064|058.7180733619405 -73.5603303007224|   14.611 2.086   |10.71    |~              |    ~     ~    |    1|  155.834   pc  |  -0.5440     +0.5440    |paral   |2020yCat.1350....0G
841 |TYC 6408-1057-1                                                       |Star                               |23 49 59.7419562192 -19 19 27.861886308|058.6523043892270 -73.8914468524066|    2.330 3.481   |10.74    |~              |    ~     ~    |    1| 1122.586   pc  | -22.3055    +22.3055    |paral   |2020yCat.1350....0G
842 |TYC 6408-545-1                                                        |Star                               |23 50 22.7055760896 -19 22 52.011772176|058.6500857685865 -73.9980540555775|-12.865 -16.107   |10.84    |~              |    ~     ~    |    1|  344.768   pc  | -20.3735    +20.3735    |paral   |2020yCat.1350....0G
843 |HD 223689                                                             |Star                               |23 51 45.3100411752 -16 52 46.035928236|066.4529017815606 -72.8099415921820| 37.823 -23.246   |9.81     |G8V            |    ~     ~    |    1|   68.092   pc  |  -0.3937     +0.3937    |ST-L    |2020AJ....160...83S
844 |BD-17 6848                                                            |Spectroscopic Binary               |23 56 40.8232253424 -17 03 28.903513572|068.6146792518451 -73.8268843317272|  30.953 11.845   |9.75     |K0             |    ~     ~    |    1|  254.570   pc  |  -1.6137     +1.6137    |paral   |2020yCat.1350....0G
845 |BD-17 6850                                                            |High Proper Motion Star            |23 57 57.1979564136 -17 01 14.927966544|069.4400877298367 -74.0312150054489|125.147 -112.375  |9.81     |G0             |    ~     ~    |    1|  124.831   pc  |  -0.2774     +0.2774    |paral   |2020yCat.1350....0G
846 |HD 224618                                                             |High Proper Motion Star            |23 59 27.8819655183 -16 56 40.929610806|070.5324587846755 -74.2486266345459|1128.639 -49.750  |8.96     |K0V            |    ~     ~    |    1|   36.1371  pc  |  -0.0365     +0.0365    |paral   |2020yCat.1350....0G
847 |HD 223730                                                             |High Proper Motion Star            |23 52 12.2297324616 -17 24 12.458447604|065.2794849836499 -73.2205462276064|   67.234 2.318   |9.524    |F3IV/V         |    ~     ~    |    1|  140.184   pc  |  -1.5880     +1.5880    |ST-L    |2020AJ....160...83S
848 |HD 223784                                                             |Spectroscopic Binary               |23 52 44.6543149992 -17 37 36.269301972|064.9398706546301 -73.4592389582787|111.125 -47.588   |10.22    |F7/G0          |    ~     ~    |    1|  170.117   pc  |  -4.8850     +4.8850    |paral   |2020yCat.1350....0G
849 |HD 224095                                                             |Star                               |23 55 05.1279030720 -17 36 54.073923012|066.1987561258567 -73.8906780721730|   16.950 2.820   |10.21    |F(6)V          |    ~     ~    |    1|  241.680   pc  |  -1.2324     +1.2324    |paral   |2020yCat.1350....0G
850 |HD 224279                                                             |Star                               |23 56 35.3528122368 -17 16 03.472960656|067.9900071148953 -73.9466815121784| 28.963 -26.901   |9.25     |F7V            |    ~     ~    |    1|  172.411   pc  |  -0.5261     +0.5261    |paral   |2020yCat.1350....0G
851 |BD-18 6405                                                            |Star                               |23 58 26.2033897128 -17 13 35.844391056|069.1548794212217 -74.2539810096052|  13.045 13.590   |9.969    |G5             |    ~     ~    |    1|  168.889   pc  |  -2.0550     +2.0550    |ST-L    |2020AJ....160...83S
852 |HD 223664                                                             |High Proper Motion Star            |23 51 33.4193236152 -17 52 06.215037780|063.6670180965792 -73.3793752635240|-39.288 -139.784  |9.36     |K0V            |    ~     ~    |    1|   54.202   pc  |  -0.2266     +0.2266    |ST-L    |2020AJ....160...83S
853 |HD 223738                                                             |High Proper Motion Star            |23 52 19.9895764056 -18 01 33.386206440|063.6070022262120 -73.6214664429484| 79.467 -19.500   |8.15     |F7V            |    ~     ~    |    1|   71.647   pc  |  -0.1550     +0.1550    |paral   |2020yCat.1350....0G
854 |HD 224135                                                             |High Proper Motion Star            |23 55 25.5881398560 -17 49 33.600370908|065.7829108676512 -74.0854855050858|  10.664 76.774   |7.77     |F7V            |    ~     ~    |    1|   65.289   pc  |  -0.1159     +0.1159    |paral   |2020yCat.1350....0G
855 |HD 224224                                                             |Star                               |23 56 07.9421599440 -18 00 24.546847716|065.6415624744290 -74.3292306328364|   4.453 -9.154   |9.17     |A7/8V          |    ~     ~    |    1|  299.796   pc  |  -1.7436     +1.7436    |paral   |2020yCat.1350....0G
856 |* i03 Aqr                                                             |Chemically Peculiar Star           |23 51 21.3383366673 -18 54 32.990905266|060.5398222489558 -73.9376834929838|  27.346 -3.941   |5.18     |A0VpSiSr       |    ~     ~    |    1|  100.196   pc  |  -1.5480     +1.5480    |paral   |2020yCat.1350....0G
857 |HD 223696                                                             |Star                               |23 51 55.1048455200 -18 39 44.107853904|061.5480514029912 -73.9101015050730| 24.602 -27.684   |8.12     |K1III          |    ~     ~    |    1|  386.608   pc  |  -3.6619     +3.6619    |paral   |2020yCat.1350....0G
858 |HD 223747                                                             |High Proper Motion Star            |23 52 21.7119688416 -18 12 39.097240452|063.0899353983437 -73.7360437504401|-89.093 -37.193   |8.95     |G0             |    ~     ~    |    1|  107.011   pc  |  -0.4466     +0.4466    |paral   |2020yCat.1350....0G
859 |HD 223748                                                             |Star                               |23 52 25.2670479624 -18 33 36.273675924|062.0964455555281 -73.9498763870204|  26.988 -3.486   |10.09    |G5V            |    ~     ~    |    1|   99.978   pc  |  -0.5677     +0.5677    |paral   |2018yCat.1345....0G
860 |HD 223785                                                             |Star                               |23 52 39.8812147416 -18 33 42.744260052|062.2109854334283 -73.9982034718104|  25.784 -3.552   |6.824    |A1V            |    ~     ~    |    1|  101.327   pc  |  -0.3604     +0.3604    |paral   |2020yCat.1350....0G
861 |HD 223896                                                             |Star                               |23 53 29.0935600272 -18 15 49.975249212|063.5001774709141 -73.9828432176787|   0.550 -2.518   |8.79     |K5/M0(III)     |    ~     ~    |    1|  939.673   pc  | -26.1364    +26.1364    |paral   |2020yCat.1350....0G
862 |HD 223906                                                             |Spectroscopic Binary               |23 53 35.0043050376 -18 22 09.303741984|063.2407701592247 -74.0637828550950|   12.331 0.174   |9.54     |A1V            |    ~     ~    |    1|  401.171   pc  | -16.3100    +16.3100    |ST-L    |2020AJ....160...83S
863 |AP J23534457-1812454                                                  |Red Giant Branch star Candidate    |23 53 44.5746520248 -18 12 45.690808068|063.7813341724201 -74.0018776065298|  -1.300 -8.710   |9.68     |K0(III)        |    ~     ~    |    1|  956.755   pc  | -17.5753    +17.5753    |paral   |2020yCat.1350....0G
