C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:58:43

dec< 0&rah >=23.75&rah< 24.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 2512

 #  |                              identifier                              |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
23  |CD-42 16481                                                           |Star                               |23 49 16.4988495192 -42 10 58.475224668|339.0482267789947 -70.3165443461132| -2.378 -25.163   |10.71    |~              |    ~     ~    |    1|  194.947   pc  |  -0.5777     +0.5777    |paral   |2020yCat.1350....0G
24  |CD-43 15514                                                           |Long-Period Variable               |23 49 45.3589849608 -43 17 07.760707656|336.6327920462053 -69.5830488088750| -1.124 -12.752   |10.03    |~              |    ~     ~    |    1| 2838.820   pc  |-243.9000   +243.9000    |ST-L    |2020AJ....160...83S
25  |CD-42 16494                                                           |Star                               |23 51 06.0812556552 -42 11 20.367188016|338.3158088364602 -70.5496382390492|   15.919 5.629   |10.23    |~              |    ~     ~    |    1|  588.305   pc  |  -4.9493     +4.9493    |paral   |2020yCat.1350....0G
26  |CD-42 16513                                                           |Star                               |23 54 04.1518 -42 18 06.800            |336.8698654 -70.8428386            |   11.202 5.814   |10.03    |F5             |    ~     ~    |    0|                |                         |        |                   
27  |CD-42 16521                                                           |Star                               |23 55 22.6577305992 -42 14 34.574293104|336.4385403187744 -71.0483463807336| -8.252 -18.744   |10.01    |F8             |    ~     ~    |    1|  280.136   pc  |  -1.8756     +1.8756    |paral   |2020yCat.1350....0G
28  |HD 224296                                                             |High Proper Motion Star            |23 56 42.7651939944 -42 11 43.211608512|335.9604165729514 -71.2470956557035|120.896 -47.268   |7.87     |F3V            |    ~     ~    |    1|   93.750   pc  |  -0.2180     +0.2180    |paral   |2020yCat.1350....0G
29  |HD 224596                                                             |Star                               |23 59 09.6719996424 -42 14 12.783735672|334.7912908873469 -71.5076126833820|  40.757 23.972   |6.772    |A4V            |    ~     ~    |    1|   86.029   pc  |  -0.1443     +0.1443    |paral   |2020yCat.1350....0G
30  |HD 224644                                                             |Star                               |23 59 34.1900906496 -42 16 59.652987708|334.5141231629779 -71.5195048664704|   1.408 -7.803   |7.99     |K2III          |    ~     ~    |    1|  535.504   pc  |  -6.4522     +6.4522    |paral   |2020yCat.1350....0G
31  |HD 223679                                                             |Star                               |23 51 42.2894519400 -43 06 48.342711888|336.2090028363915 -69.9494711857628| 30.814 -17.035   |9.24     |G8III          |    ~     ~    |    1|  490.028   pc  |  -3.8180     +3.8180    |paral   |2020yCat.1350....0G
32  |HD 223678                                                             |Star                               |23 51 46.5401751240 -42 40 22.432210644|337.0538319672306 -70.2836603647813|   14.252 4.835   |7.21     |K3III          |    ~     ~    |    1|  160.976   pc  |  -0.5520     +0.5520    |paral   |2020yCat.1350....0G
33  |CD-43 15539                                                           |Star                               |23 54 34.0284799392 -42 50 13.947415764|335.5895192614806 -70.5030845194070|   8.158 -9.044   |9.94     |~              |    ~     ~    |    1| 1020.512   pc  | -17.9129    +17.9129    |paral   |2020yCat.1350....0G
34  |HD 224194                                                             |High Proper Motion Star            |23 56 00.0521697216 -42 50 53.384674092|334.9669303206449 -70.6654347095513|114.023 -22.409   |8.66     |F5/6V          |    ~     ~    |    1|   83.876   pc  |  -0.1309     +0.1309    |paral   |2020yCat.1350....0G
35  |HD 224268                                                             |Double or Multiple Star            |23 56 30.85611 -43 17 25.5704          |333.90553823 -70.38403743          |   -5.73 -29.18   |9.56     |G3/5V          |    ~     ~    |    0|                |                         |        |                   
36  |HD 224375                                                             |Star                               |23 57 22.0599099600 -42 26 39.346686708|335.1735973859020 -71.1363189014559|   29.471 8.534   |8.89     |F2V            |    ~     ~    |    1|  230.728   pc  |  -2.7044     +2.7044    |paral   |2020yCat.1350....0G
37  |CD-44 15386                                                           |Star                               |23 53 09.5848886352 -43 24 59.854086828|335.0463622353479 -69.8966009461440| 10.413 -37.043   |10.013   |~              |    ~     ~    |    1|  146.598   pc  |  -1.3720     +1.3720    |ST-L    |2020AJ....160...83S
38  |HD 224318                                                             |High Proper Motion Star            |23 56 53.1731758344 -43 20 15.507842892|333.6603467450633 -70.3897125268022| 67.782 -96.910   |8.31     |G2V            |    ~     ~    |    1|   87.375   pc  |  -0.2054     +0.2054    |paral   |2020yCat.1350....0G
39  |CD-44 15393                                                           |Star                               |23 54 22.0335643536 -43 56 16.516427460|333.5957204833374 -69.6363485981461| -16.859 -9.934   |10.59    |~              |    ~     ~    |    1|  480.659   pc  | -13.0700    +13.0700    |ST-L    |2020AJ....160...83S
40  |HD 224254                                                             |Star                               |23 56 24.6858240936 -44 11 39.130101384|332.3102836755224 -69.6627695526572|  -1.935 -1.638   |9.41     |G8II/III       |    ~     ~    |    1|  545.703   pc  |  -4.2882     +4.2882    |paral   |2020yCat.1350....0G
41  |HD 224485                                                             |High Proper Motion Star            |23 58 24.0820004664 -43 55 58.592201664|331.9410996417679 -70.0869292311767| 54.526 -42.930   |8.88     |G8IV           |    ~     ~    |    1|  325.087   pc  |  -4.7768     +4.7768    |paral   |2020yCat.1350....0G
42  |HD 223692                                                             |Star                               |23 51 50.5134045552 -44 30 19.562036544|333.5699950609130 -68.9106176343595|   13.527 0.840   |9.04     |K2III          |    ~     ~    |    1|  401.457   pc  |  -9.5290     +9.5290    |ST-L    |2020AJ....160...83S
43  |HD 223776                                                             |High Proper Motion Star            |23 52 36.5369556552 -44 30 00.581575896|333.2845078244645 -69.0013074462055| -3.799 -63.866   |10.16    |G0/2V          |    ~     ~    |    1|  123.336   pc  |  -0.8847     +0.8847    |ST-L    |2020AJ....160...83S
44  |CD-45 15162B                                                          |High Proper Motion Star            |23 53 05.8701325056 -44 37 25.657998492|332.8792036658088 -68.9596678427014| 51.325 -63.010   |10.64    |~              |    ~     ~    |    1|  111.376   pc  |  -0.1675     +0.1675    |paral   |2020yCat.1350....0G
45  |HD 223842                                                             |High Proper Motion Star            |23 53 06.2959399176 -44 37 18.904616220|332.8797174833056 -68.9619216683308| 51.465 -63.722   |9.83     |F7/G0+F/G      |    ~     ~    |    1|  109.737   pc  |  -0.6844     +0.6844    |ST-L    |2020AJ....160...83S
46  |HD 223887                                                             |Star                               |23 53 25.5887570640 -44 38 59.217162792|332.7066515220456 -68.9757408927272|  17.053 -2.886   |9.79     |F6V            |    ~     ~    |    1|  202.063   pc  |  -2.3170     +2.3170    |ST-L    |2020AJ....160...83S
47  |CD-45 15166                                                           |Star                               |23 53 46.9484485968 -44 32 37.068233784|332.7521127208939 -69.0982968055903|  24.150 -4.251   |10.262   |F5             |    ~     ~    |    1|  218.424   pc  |  -2.6910     +2.6910    |ST-L    |2020AJ....160...83S
48  |HD 224352                                                             |Star                               |23 57 10.0716126408 -44 30 17.228503440|331.4646038455276 -69.4963695361056|  41.822 -8.919   |9.84     |G6/8(III)      |    ~     ~    |    1|  624.883   pc  |  -6.9115     +6.9115    |paral   |2020yCat.1350....0G
49  |HD 224400                                                             |Spectroscopic Binary               |23 57 35.0557851912 -44 26 02.459453388|331.4143189508808 -69.5974553763060| 55.624 -43.935   |9.59     |F5V            |    ~     ~    |    1|  242.539   pc  |  -7.1190     +7.1190    |ST-L    |2020AJ....160...83S
50  |CD-42 16495                                                           |Star                               |23 51 24.1715483232 -42 14 47.894529048|338.0749854797073 -70.5468529749369| -21.426 -2.610   |9.94     |~              |    ~     ~    |    1|  278.583   pc  |  -4.0512     +4.0512    |paral   |2020yCat.1350....0G
51  |CD-43 15522                                                           |Star                               |23 51 36.1975838232 -42 55 17.794012332|336.6261481808405 -70.0791316719130|   29.584 2.778   |10.69    |~              |    ~     ~    |    1|  238.447   pc  |  -2.2061     +2.2061    |paral   |2020yCat.1350....0G
52  |CD-43 15523                                                           |Star                               |23 51 40.1350847568 -42 45 28.208402172|336.9259785506524 -70.2079530091422|  41.128 27.431   |10.22    |~              |    ~     ~    |    1|  109.632   pc  |  -0.1755     +0.1755    |paral   |2020yCat.1350....0G
53  |CD-44 15381                                                           |Star                               |23 52 20.3175598080 -44 15 57.418736292|333.8049747130269 -69.1517772834772|-12.666 -19.902   |10.610   |~              |    ~     ~    |    1|  248.365   pc  |  -5.8850     +5.8850    |ST-L    |2020AJ....160...83S
54  |CD-45 15163                                                           |Star                               |23 53 20.5309450608 -44 35 23.150313852|332.8435925539637 -69.0133928131228| 34.745 -24.368   |10.50    |~              |    ~     ~    |    1|  256.622   pc  |  -4.4340     +4.4340    |ST-L    |2020AJ....160...83S
55  |CD-43 15533                                                           |Star                               |23 53 46.8357847370 -43 04 54.608737856|335.4364423585388 -70.2239690632169|-17.549 -34.425   |10.09    |~              |    ~     ~    |    1|  233.7705  pc  | -12.7113    +12.7113    |paral   |2018yCat.1345....0G
56  |CD-44 15394                                                           |Star                               |23 54 52.3836863424 -43 22 18.047929620|334.4358200279181 -70.1318631665469| 25.417 -24.087   |10.71    |~              |    ~     ~    |    1|  252.698   pc  |  -1.0792     +1.0792    |paral   |2020yCat.1350....0G
57  |CD-43 15544                                                           |Star                               |23 55 41.7329373912 -43 07 53.581916496|334.5497161677852 -70.4122442510196|   -7.798 1.217   |9.86     |~              |    ~     ~    |    1|  578.068   pc  | -10.7600    +10.7600    |paral   |2020yCat.1350....0G
58  |CD-45 15179                                                           |Star                               |23 56 10.2547833960 -44 20 26.146999428|332.1529572007701 -69.5203780332486| 36.321 -15.955   |10.69    |~              |    ~     ~    |    1|  235.975   pc  |  -3.5180     +3.5180    |ST-L    |2020AJ....160...83S
59  |CD-44 15399                                                           |Star                               |23 56 22.2581026632 -43 45 51.638544936|333.0924936224336 -69.9975745155662|  47.123 11.832   |10.45    |~              |    ~     ~    |    1|  160.460   pc  |  -0.5381     +0.5381    |paral   |2020yCat.1350....0G
60  |CD-44 15402                                                           |Star                               |23 56 42.3704404632 -43 50 26.299903200|332.8158784838427 -69.9748482265306|  12.209 -1.256   |10.970   |~              |    ~     ~    |    1|  476.677   pc  | -14.1800    +14.1800    |ST-L    |2020AJ....160...83S
61  |CD-43 15550                                                           |Star                               |23 56 47.1862824120 -42 48 53.681795604|334.6967658621774 -70.7833119993501| -3.091 -19.969   |10.54    |~              |    ~     ~    |    1|  414.697   pc  |  -2.3044     +2.3044    |paral   |2020yCat.1350....0G
62  |CD-45 15200                                                           |Star                               |23 59 26.6134440216 -44 27 21.913787916|330.6029666925950 -69.7742939295872|  15.682 -2.483   |10.29    |~              |    ~     ~    |    1|  573.559   pc  |  -4.9017     +4.9017    |paral   |2020yCat.1350....0G
63  |CD-44 15416                                                           |Star                               |23 59 39.1667059488 -43 43 50.792023992|331.7621905961412 -70.3838207723919|  16.774 13.902   |10.78    |~              |    ~     ~    |    1|  301.323   pc  |  -1.5617     +1.5617    |paral   |2020yCat.1350....0G
64  |CD-44 15417                                                           |Star                               |23 59 41.1906685440 -44 06 30.170671344|331.0895609733203 -70.0823593137466| -11.813 -9.952   |10.817   |~              |    ~     ~    |    1|  254.624   pc  |  -3.8400     +3.8400    |ST-L    |2020AJ....160...83S
65  |CD-45 15169                                                           |Star                               |23 54 01.4982400296 -44 22 43.455922500|332.9452662335401 -69.2543316889172| 42.382 -18.904   |10.572   |~              |    ~     ~    |    1|  285.546   pc  |  -5.4690     +5.4690    |ST-L    |2020AJ....160...83S
66  |CD-43 15531                                                           |Star                               |23 53 18.7361586744 -42 30 21.843467856|336.7676977682525 -70.5977353985039|   -3.015 3.974   |10.49    |~              |    ~     ~    |    1|  325.415   pc  |  -1.6943     +1.6943    |paral   |2020yCat.1350....0G
