C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:37:26

Vmag< 11&dec >=0&rah >=12.25&rah< 12.5
--------------------------------------

Number of objects : 2101

 #  |                                                                                  identifier                                                                                   |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
32  |BD+82 362                                                                                                                                                                      |Star                              |12 24 44.6515384776 +81 46 03.852140664|124.1001707104391 +35.2998785502302|  20.115 -3.101   |10.70    |F8             |    ~     ~    
33  |HD 108832                                                                                                                                                                      |High Proper Motion Star           |12 28 22.4018395200 +81 59 47.776154604|123.9114446840814 +35.0877350258356| -68.950 21.161   |8.09     |F3IV           |    ~     ~    
34  |BD+82 364                                                                                                                                                                      |High Proper Motion Star           |12 28 20.4322511280 +81 41 10.079240280|123.9545103507291 +35.3962098439933|-78.245 -39.071   |9.92     |G0             |    ~     ~    
35  |TYC 4556-1332-1                                                                                                                                                                |Star                              |12 20 22.0120589208 +81 38 50.384110776|124.3120896631425 +35.3974964175444|   -0.236 4.041   |10.80    |~              |    ~     ~    
36  |TYC 4633-156-1                                                                                                                                                                 |Star                              |12 26 46.6100486496 +83 55 54.354827064|123.7089758348852 +33.1592367634996|-33.237 -15.435   |10.87    |~              |    ~     ~    
37  |TYC 4633-1365-1                                                                                                                                                                |Spectroscopic Binary              |12 26 44.5641129936 +83 15 13.868796312|123.8033499732578 +33.8325665260781|  20.624 -5.659   |10.78    |~              |    ~     ~    
38  |BD+82 360                                                                                                                                                                      |Star                              |12 15 22.8890474712 +81 19 59.930720508|124.5974209836342 +35.6780281687340|   3.614 -5.487   |10.02    |K0             |    ~     ~    
39  |V* MW Cam                                                                                                                                                                      |delta Sct Variable                |12 26 43.7354131512 +81 28 26.254343064|124.0561654758529 +35.6002889466539|  12.912 -5.517   |9.17     |F0             |    ~     ~    
40  |BD+82 366                                                                                                                                                                      |Star                              |12 28 42.0898579152 +81 21 45.416815740|123.9816881703879 +35.7192446056838|   0.152 -4.993   |10.80    |F8             |    ~     ~    
41  |BD+82 361                                                                                                                                                                      |Star                              |12 21 13.8005234592 +81 12 56.097950904|124.3504587062646 +35.8293120801709| 31.538 -13.784   |9.43     |G0             |    ~     ~    
42  |BD+81 395                                                                                                                                                                      |Star                              |12 17 38.7301359408 +80 46 37.868737584|124.6048849003852 +36.2410373599474|  -17.073 4.544   |10.51    |A5             |    ~     ~    
43  |BD+81 396                                                                                                                                                                      |Star                              |12 20 31.0846407744 +80 13 09.516044640|124.5673346188207 +36.8105605466555| -42.465 -2.210   |9.12     |G5             |    ~     ~    
44  |BD+81 397                                                                                                                                                                      |Pulsating Variable                |12 24 09.5035735224 +80 49 36.099227028|124.2767088034176 +36.2302183306458|    3.042 9.850   |9.07     |F0             |    ~     ~    
45  |BD+81 398                                                                                                                                                                      |Spectroscopic Binary              |12 29 43.9198552440 +80 26 51.280565784|124.0525099679415 +36.6334002196636|  1.677 -14.836   |10.56    |G5             |    ~     ~    
46  |HD 106798                                                                                                                                                                      |Star                              |12 16 08.2311340320 +80 07 18.955236432|124.8174321958404 +36.8767416791067|  20.279 -6.413   |7.73     |F0             |    ~     ~    
47  |HD 106799                                                                                                                                                                      |Star                              |12 16 11.7285462528 +80 07 30.300363120|124.8136814127911 +36.8740627260345|  20.885 -5.746   |7.20     |F0             |    ~     ~    
48  |HD 107529                                                                                                                                                                      |Star                              |12 20 33.2139646200 +80 00 57.036713652|124.6035281518585 +37.0119642597901|   -2.022 5.968   |8.40     |K2             |    ~     ~    
49  |TYC 4556-847-1                                                                                                                                                                 |Star                              |12 26 31.3753105440 +80 41 23.285254308|124.1811511255445 +36.3779397357009|   9.227 -9.459   |10.87    |K              |    ~     ~    
50  |BD+80 382                                                                                                                                                                      |Star                              |12 18 20.8750249344 +79 41 29.804246016|124.7871590930202 +37.3171610046364|   -2.274 0.255   |9.76     |F2             |    ~     ~    
51  |BD+80 384                                                                                                                                                                      |Star                              |12 22 12.0205313016 +79 22 39.676253124|124.6294008082854 +37.6540206277605| -29.080 -4.157   |9.55     |F2             |    ~     ~    
52  |HD 106800                                                                                                                                                                      |Star                              |12 16 07.2980059560 +79 02 54.888005940|125.0506344453576 +37.9339888787576| -26.180 -1.777   |9.47     |F2             |    ~     ~    
53  |HD 107510                                                                                                                                                                      |Double or Multiple Star           |12 20 33.0461618832 +79 11 31.261483752|124.7598662327649 +37.8263804271517|   2.925 -2.297   |9.101    |G5             |    ~     ~    
54  |BD+79 394                                                                                                                                                                      |Star                              |12 27 58.4594885448 +79 12 36.964661472|124.3204237121134 +37.8546507172010|    4.564 0.367   |8.85     |K2             |    ~     ~    
55  |TYC 4553-450-1                                                                                                                                                                 |Star                              |12 23 23.0284095888 +79 08 28.566740940|124.6023175950588 +37.8958380363170|   14.804 9.906   |10.56    |~              |    ~     ~    
56  |TYC 4553-500-1                                                                                                                                                                 |High Proper Motion Star           |12 15 55.5928329048 +78 44 31.909144992|125.1301267899312 +38.2340620721286|-19.517 -54.207   |10.31    |~              |    ~     ~    
57  |TYC 4553-794-1                                                                                                                                                                 |Star                              |12 20 37.1055416616 +78 47 00.488454720|124.8344643249644 +38.2306935678267|   2.188 -1.383   |10.74    |~              |    ~     ~    
58  |TYC 4553-1427-1                                                                                                                                                                |Star                              |12 19 11.4736023984 +78 55 08.241501648|124.8943912417811 +38.0861399076827| -1.580 -15.414   |9.82     |~              |    ~     ~    
59  |TYC 4554-20-1                                                                                                                                                                  |Star                              |12 29 00.4484869464 +78 57 02.905490304|124.2958987788974 +38.1179753219460| -18.147 -7.786   |9.88     |~              |    ~     ~    
60  |TYC 4554-449-1                                                                                                                                                                 |Star                              |12 27 58.7397434112 +79 01 58.111770648|124.3460970113226 +38.0309512263642|    2.692 1.216   |10.17    |~              |    ~     ~    
61  |TYC 4554-575-1                                                                                                                                                                 |Star                              |12 28 18.3491070312 +79 12 56.481006708|124.3001235565491 +37.8510392551722|  -9.201 23.055   |10.98    |~              |    ~     ~    
62  |TYC 4554-1139-1                                                                                                                                                                |Spectroscopic Binary              |12 29 37.0527356496 +78 56 57.160481352|124.2591840804379 +38.1227492408084|  -8.538 -0.223   |10.95    |~              |    ~     ~    
63  |TYC 4554-1484-1                                                                                                                                                                |Star                              |12 29 49.8565308240 +79 15 01.310658984|124.2056557856797 +37.8243966261570|   -5.632 3.924   |10.93    |~              |    ~     ~    
64  |TYC 4556-41-1                                                                                                                                                                  |Star                              |12 23 16.5539240592 +80 09 58.180129884|124.4315862702450 +36.8799503601108|  -17.890 0.209   |10.54    |~              |    ~     ~    
65  |TYC 4556-1404-1                                                                                                                                                                |Star                              |12 15 43.7527696704 +80 00 41.516475876|124.8628402797169 +36.9824775444941|  -6.025 -0.745   |10.32    |~              |    ~     ~    
66  |DO 34042                                                                                                                                                                       |Star                              |12 21 51.6944152176 +78 53 23.030914740|124.7386574531279 +38.1345653200937|    3.073 4.802   |10.35    |K5/8           |    ~     ~    
67  |BD+79 391                                                                                                                                                                      |Star                              |12 23 55.3838600712 +78 28 08.481007956|124.6865692767600 +38.5653298437563|   -8.287 6.063   |9.52     |F0             |    ~     ~    
68  |HD 108700                                                                                                                                                                      |Star                              |12 28 04.1978224992 +78 13 36.753717648|124.4596217169146 +38.8319753214654|   4.224 -5.097   |8.66     |K0             |    ~     ~    
69  |HD 108533                                                                                                                                                                      |Star                              |12 26 51.3226054920 +77 56 27.994747488|124.5836216859348 +39.1081970786346|   19.482 3.735   |8.55     |F8             |    ~     ~    
70  |BD+78 421                                                                                                                                                                      |Star                              |12 26 55.3089361392 +78 02 26.719646640|124.5634796226291 +39.0097257028738|   9.463 -1.021   |8.94     |G5             |    ~     ~    
