C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:37:26

Vmag< 11&dec >=0&rah >=12.25&rah< 12.5
--------------------------------------

Number of objects : 2101

 #  |                                                                                  identifier                                                                                   |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
291 |BD+64 889                                                                                                                                                                      |High Proper Motion Star           |12 17 27.4868895600 +64 10 27.010973928|129.0072367923859 +52.5514175384335| -59.978 11.798   |9.57     |F8             |    ~     ~    
292 |HD 107414                                                                                                                                                                      |Variable Star                     |12 20 35.8133296200 +63 40 12.931393512|128.6218483141284 +53.1159494347167| -10.645 -3.732   |7.21     |G5             |    ~     ~    
293 |BD+64 891                                                                                                                                                                      |Star                              |12 21 49.9456005744 +63 30 42.699792024|128.4485590435378 +53.2981368828195| -11.835 18.356   |9.98     |G5             |    ~     ~    
294 |BD+63 1005                                                                                                                                                                     |High Proper Motion Star           |12 17 52.9385390832 +63 10 23.104363512|129.2928036257423 +53.5387947140511| 14.543 -76.906   |9.70     |G5             |    ~     ~    
295 |BD+63 1006                                                                                                                                                                     |Star                              |12 18 20.2345519416 +62 14 42.880103448|129.5525795778156 +54.4554685858906|  7.350 -17.893   |10.01    |K2             |    ~     ~    
296 |BD+63 1007                                                                                                                                                                     |High Proper Motion Star           |12 18 22.5750949368 +62 40 29.686556208|129.3839306398642 +54.0372280749770| -68.748 24.541   |10.45    |F8             |    ~     ~    
297 |HD 107273                                                                                                                                                                      |Star                              |12 19 40.2656287392 +62 21 32.650428636|129.2502829557908 +54.3777622222174| -9.568 -13.538   |7.84     |A3             |    ~     ~    
298 |BD+63 1010                                                                                                                                                                     |Double or Multiple Star           |12 19 39.92829 +62 29 01.4017          |129.20631912 +54.25577371          |   -21.96 -2.10   |10.12    |F8             |    ~     ~    
299 |BD+63 1011                                                                                                                                                                     |Star                              |12 21 34.2316034280 +62 58 28.924037580|128.6725645747434 +53.8193909094340| 25.473 -20.298   |10.28    |G5             |    ~     ~    
300 |BD+62 1222                                                                                                                                                                     |Spectroscopic Binary              |12 15 01.0399126848 +62 04 31.005234480|130.2695564714321 +54.5310663329473| -9.806 -22.448   |10.86    |F8             |    ~     ~    
301 |TYC 4158-631-1                                                                                                                                                                 |Star                              |12 21 59.1001451880 +63 37 18.723460944|128.3855730210191 +53.1934027304707|  -6.587 14.797   |10.86    |~              |    ~     ~    
302 |TYC 4158-773-1                                                                                                                                                                 |Star                              |12 20 51.4221149088 +63 56 34.753188156|128.4856263062420 +52.8542636600037|   -7.390 5.396   |10.63    |~              |    ~     ~    
303 |TYC 4158-1189-1                                                                                                                                                                |Spectroscopic Binary              |12 17 49.2687840120 +62 37 46.086858660|129.5068870895719 +54.0675510097227|-29.810 -36.659   |10.97    |~              |    ~     ~    
304 |TYC 4158-1226-1                                                                                                                                                                |Star                              |12 16 09.2232226104 +62 39 43.405665984|129.8118960965680 +53.9923503257488|  0.766 -24.143   |10.98    |~              |    ~     ~    
305 |TYC 4158-1301-1                                                                                                                                                                |Star                              |12 16 26.3069325384 +63 42 03.550278960|129.3602926778545 +52.9882462867438|-22.066 -28.075   |10.63    |~              |    ~     ~    
306 |HD 107670                                                                                                                                                                      |Star                              |12 22 04.3722907968 +61 35 29.025813408|129.0445843877009 +55.1869782502469|  45.777 -3.997   |6.74     |G5             |    ~     ~    
307 |HD 107548                                                                                                                                                                      |Star                              |12 21 28.5476350104 +61 28 06.997169928|129.2102212911349 +55.2929091324775|-12.310 -31.517   |9.23     |F8             |    ~     ~    
308 |HD 107724                                                                                                                                                                      |Double or Multiple Star           |12 22 20.3396797056 +61 28 18.162585120|129.0317571781131 +55.3105767893821|  -16.601 1.205   |8.33     |G5             |0.0067  0.0    
309 |BD+60 1393                                                                                                                                                                     |Star                              |12 21 55.5955047816 +59 47 10.549420728|129.7368911093456 +56.9503768414855| -8.074 -18.343   |9.67     |G5             |    ~     ~    
310 |HD 107194                                                                                                                                                                      |Star                              |12 19 17.9222551632 +59 40 08.790441276|130.3768248205142 +56.9921694579881|   36.087 7.279   |9.59     |G              |    ~     ~    
311 |HD 108261                                                                                                                                                                      |Star                              |12 25 55.8959672976 +61 38 22.835560308|128.2392235887379 +55.2249653051086| -1.238 -30.464   |9.35     |K              |    ~     ~    
312 |BD+62 1232                                                                                                                                                                     |High Proper Motion Star           |12 23 32.6107848672 +61 27 41.709550140|128.7871571547501 +55.3484197658533|-69.648 -68.830   |9.94     |G5             |    ~     ~    
313 |BD+62 1237                                                                                                                                                                     |Star                              |12 26 05.8397332992 +61 15 32.559270876|128.3212562852181 +55.6032572554136| -5.596 -26.777   |9.58     |G5             |    ~     ~    
314 |HD 107903                                                                                                                                                                      |Star                              |12 23 36.1985123904 +60 54 11.113392600|128.9637320181695 +55.8979954800184| -29.112 -3.777   |7.68     |G5             |    ~     ~    
315 |HD 108019                                                                                                                                                                      |High Proper Motion Star           |12 24 14.1717267528 +60 49 55.320472020|128.8528609844447 +55.9824116584647|-114.168 -17.174  |8.69     |F5             |    ~     ~    
316 |HD 108134                                                                                                                                                                      |High Proper Motion Star           |12 25 05.1347299440 +60 41 50.479218132|128.7151708065458 +56.1340141702926| 146.100 -5.578   |7.387    |G0p            |    ~     ~    
317 |HD 108518                                                                                                                                                                      |Star                              |12 27 36.9486665928 +61 09 09.858405888|128.0335277090362 +55.7389246705600|    3.646 1.537   |8.00     |A2             |    ~     ~    
318 |HD 107792                                                                                                                                                                      |Spectroscopic Binary              |12 22 49.6177551744 +60 06 17.002920672|129.4157824760968 +56.6618982331572|   -4.762 6.089   |7.68     |K0             |    ~     ~    
319 |HD 107933                                                                                                                                                                      |Star                              |12 23 49.1162988312 +60 06 03.543351408|129.1966669780668 +56.6900588238312|  10.180 -3.928   |8.21     |G5             |    ~     ~    
320 |HD 107671                                                                                                                                                                      |Star                              |12 22 06.7633896024 +59 36 23.982385644|129.7638206478195 +57.1309135486595|   21.757 3.129   |9.30     |F5             |    ~     ~    
321 |HD 108056                                                                                                                                                                      |Star                              |12 24 29.1599657232 +59 31 02.941011372|129.2533588927370 +57.2787508876657|  37.870 -6.485   |9.000    |F5             |    ~     ~    
322 |HD 108200                                                                                                                                                                      |Star                              |12 25 21.4102193160 +59 33 54.532711872|129.0362376496230 +57.2529237626051|  -2.819 -1.418   |8.37     |A3             |    ~     ~    
323 |BD+60 1402                                                                                                                                                                     |High Proper Motion Star           |12 29 52.9859181768 +59 28 21.103099104|128.0174424029814 +57.4423848781321|-103.822 -47.880  |10.37    |G5             |    ~     ~    
324 |HD 238104                                                                                                                                                                      |High Proper Motion Star           |12 21 29.8232557944 +59 07 21.962085276|130.0967953922583 +57.5870398458958|  -89.978 8.791   |9.79     |K0             |    ~     ~    
325 |HD 238125                                                                                                                                                                      |Star                              |12 29 58.6842327096 +58 57 10.718924832|128.1467318171007 +57.9574658970550|  -35.710 0.828   |10.11    |F8             |    ~     ~    
326 |TYC 3840-42-1                                                                                                                                                                  |Star                              |12 19 42.5646635592 +59 57 07.732230552|130.1677574945624 +56.7281349700229|  -15.666 4.045   |10.82    |~              |    ~     ~    
327 |TYC 3840-78-1                                                                                                                                                                  |High Proper Motion Star           |12 19 28.9049411256 +59 21 24.568183872|130.4667920713997 +57.3014885133946| 31.633 -54.899   |10.71    |~              |    ~     ~    
328 |TYC 3840-113-1                                                                                                                                                                 |Spectroscopic Binary              |12 21 45.4200596160 +59 57 24.009802380|129.7095928937161 +56.7792969773295|-31.132 -14.127   |10.86    |~              |    ~     ~    
329 |TYC 3840-458-1                                                                                                                                                                 |High Proper Motion Star           |12 19 27.5633336976 +59 26 31.003363032|130.4359050299390 +57.2179743468842|-56.096 -10.544   |10.73    |~              |    ~     ~    
330 |TYC 3840-561-1                                                                                                                                                                 |Star                              |12 26 26.3832535248 +59 16 15.620029356|128.8852151127529 +57.5673652751748| -2.595 -12.589   |10.85    |~              |    ~     ~    
331 |TYC 3840-586-1                                                                                                                                                                 |Star                              |12 23 12.0098669856 +59 29 37.549558140|129.5578153938014 +57.2697461902527|  -23.387 8.762   |10.95    |~              |    ~     ~    
332 |TYC 3840-760-1                                                                                                                                                                 |Star                              |12 25 08.4482637240 +59 42 13.011485184|129.0378844141644 +57.1117943117283| -48.130 -7.082   |10.86    |~              |    ~     ~    
333 |TYC 3840-995-1                                                                                                                                                                 |High Proper Motion Star           |12 22 27.9275546112 +59 22 36.987418488|129.7714954933900 +57.3649189610052|-47.233 -46.085   |10.55    |~              |    ~     ~    
334 |TYC 3847-382-1                                                                                                                                                                 |Star                              |12 29 28.2716588496 +59 24 54.839187648|128.1302970395254 +57.4907571104075| 31.472 -13.899   |10.62    |~              |    ~     ~    
335 |TYC 3847-667-1                                                                                                                                                                 |High Proper Motion Star           |12 28 03.6294465888 +59 48 39.784710168|128.3368818721033 +57.0712005242551| 45.658 -46.194   |10.86    |~              |    ~     ~    
336 |TYC 3847-755-1                                                                                                                                                                 |Star                              |12 28 06.5500372344 +58 56 35.147358960|128.5977235559724 +57.9277893857028| -34.147 -8.118   |9.91     |~              |    ~     ~    
337 |TYC 4155-327-1                                                                                                                                                                 |Star                              |12 26 44.8879359648 +61 21 44.528737860|128.1538771392788 +55.5148512593548| -14.875 -9.735   |10.71    |~              |    ~     ~    
338 |TYC 4155-353-1                                                                                                                                                                 |Star                              |12 27 51.5176604040 +61 04 54.810185232|128.0026712547015 +55.8136094207729|   -7.581 0.076   |10.94    |~              |    ~     ~    
339 |TYC 4155-639-1                                                                                                                                                                 |Star                              |12 28 35.9688442968 +60 44 52.632943548|127.9398289097626 +56.1576801860864|  6.508 -17.580   |10.66    |~              |    ~     ~    
340 |TYC 4155-800-1                                                                                                                                                                 |Star                              |12 27 12.7053932352 +60 30 59.887485900|128.3103735132942 +56.3579123476979|   17.050 6.758   |10.78    |~              |    ~     ~    
341 |TYC 4155-993-1                                                                                                                                                                 |Spectroscopic Binary              |12 20 33.5433992760 +60 12 24.509326716|129.8780063767609 +56.5030628666079|   3.283 -4.128   |10.64    |~              |    ~     ~    
342 |TYC 4155-1077-1                                                                                                                                                                |Star                              |12 25 29.8083445464 +60 47 14.928586548|128.5972513339088 +56.0545142632957|    2.406 0.509   |10.58    |~              |    ~     ~    
343 |TYC 4155-1131-1                                                                                                                                                                |High Proper Motion Star           |12 29 07.9175321016 +60 11 58.083354888|127.9796812558184 +56.7096357912111|-119.207 38.157   |10.69    |~              |    ~     ~    
344 |TYC 4155-1154-1                                                                                                                                                                |Star                              |12 23 45.9863432520 +60 36 11.105780472|129.0321217147301 +56.1962224713640| -37.357 17.697   |10.85    |~              |    ~     ~    
345 |HD 107014                                                                                                                                                                      |Star                              |12 18 11.6944746480 +61 20 35.482026444|129.9312478554644 +55.3310071011958|   2.924 -0.807   |9.68     |F5             |    ~     ~    
346 |BD+61 1286                                                                                                                                                                     |Star                              |12 15 34.2843667968 +60 28 58.336467672|130.8435792155197 +56.0910387927966|-36.174 -18.048   |10.25    |F8             |    ~     ~    
347 |BD+61 1287                                                                                                                                                                     |Star                              |12 15 57.6694493856 +60 22 43.881968100|130.8061971985133 +56.2037218836616|   1.136 -8.699   |9.91     |G0             |    ~     ~    
348 |HD 107052                                                                                                                                                                      |Star                              |12 18 23.0805751128 +60 21 22.097789064|130.2923147348823 +56.2972641355108| -3.008 -19.097   |7.78     |G5             |    ~     ~    
349 |BD+61 1290                                                                                                                                                                     |Star                              |12 18 54.5033425272 +60 56 36.388019688|129.9418872859875 +55.7398748079149| 13.974 -38.983   |10.23    |F5             |    ~     ~    
350 |HD 107156                                                                                                                                                                      |Star                              |12 19 03.5370128160 +60 43 23.062066248|129.9978740753073 +55.9587603989260|    4.883 3.406   |9.96     |K2             |    ~     ~    
351 |V* RY UMa                                                                                                                                                                      |Long-Period Variable              |12 20 27.3276418728 +61 18 34.705813140|129.4784694578526 +55.4230631265842| -20.735 -7.314   |6.90     |M3:III         |    ~     ~    
352 |MCC 642                                                                                                                                                                        |High Proper Motion Star           |12 16 19.2081170832 +60 05 37.262805144|130.8550647818549 +56.4910797016226|-107.660 -28.342  |10.774   |K4V            |    ~     ~    
353 |BD+60 1389                                                                                                                                                                     |High Proper Motion Star           |12 17 27.9737088288 +59 15 06.976123668|130.9756093023174 +57.3426285104967|-108.363 -13.530  |9.18     |G5             |    ~     ~    
354 |TYC 3840-207-1                                                                                                                                                                 |Spectroscopic Binary              |12 15 19.0252225800 +59 11 30.779196792|131.4966569241837 +57.3316949410036|  1.393 -13.497   |10.28    |~              |    ~     ~    
355 |TYC 3840-263-1                                                                                                                                                                 |Star                              |12 15 52.2985476792 +59 41 24.130458816|131.1371054939689 +56.8680307461532| -14.754 -7.752   |10.89    |~              |    ~     ~    
356 |TYC 3840-545-1                                                                                                                                                                 |Star                              |12 18 33.7738272768 +59 59 25.317134340|130.4062661069404 +56.6582632335334|   3.484 -8.234   |10.36    |~              |    ~     ~    
357 |TYC 4155-886-1                                                                                                                                                                 |Star                              |12 16 26.0539312488 +60 00 59.146677144|130.8644880100816 +56.5694632332524|  -34.807 5.324   |10.84    |~              |    ~     ~    
358 |TYC 4155-1052-1                                                                                                                                                                |Star                              |12 19 17.1360970080 +60 03 03.019832388|130.2212822272966 +56.6200545055413|-11.209 -29.916   |10.38    |~              |    ~     ~    
359 |TYC 4155-1208-1                                                                                                                                                                |Star                              |12 18 05.6815424784 +60 18 02.177868852|130.3784676143865 +56.3429729307823|  9.392 -14.468   |10.64    |~              |    ~     ~    
360 |TYC 4155-1228-1                                                                                                                                                                |Star                              |12 20 51.6879047664 +61 38 59.913209724|129.2703912965468 +55.1003891192098|-45.007 -12.575   |10.82    |~              |    ~     ~    
361 |GSC 04155-01268                                                                                                                                                                |Spectroscopic Binary              |12 17 46.8585194280 +60 51 45.713590344|130.2117788455038 +55.7872983811838|   7.289 -6.881   |10.616   |~              |    ~     ~    
362 |LP 95-88                                                                                                                                                                       |High Proper Motion Star           |12 20 05.4374947032 +60 56 41.075908296|129.6925302676771 +55.7701388371613|-128.386 -62.841  |10.77    |~              |    ~     ~    
363 |BD+58 1370                                                                                                                                                                     |Star                              |12 19 41.1103231848 +57 32 58.817901444|131.2199222142520 +59.0647148779013|  -5.187 -1.539   |9.99     |K0             |    ~     ~    
364 |HD 238098                                                                                                                                                                      |Double or Multiple Star           |12 18 53.80345 +56 22 06.6225          |132.00098650 +60.18308528          |   -6.20 -12.33   |9.43     |F8             |    ~     ~    
365 |HD 238099                                                                                                                                                                      |Star                              |12 19 08.1118887672 +56 56 10.619454876|131.6541777955076 +59.6415888364070|-20.534 -25.065   |9.35     |K2             |    ~     ~    
366 |HD 238109                                                                                                                                                                      |Spectroscopic Binary              |12 22 20.6383620312 +58 56 27.101894964|129.9704629146824 +57.7880350089637| -18.035 -3.945   |9.56     |K2             |    ~     ~    
367 |BD+59 1439                                                                                                                                                                     |Star                              |12 26 07.9156019904 +58 44 17.447752932|129.1415619939153 +58.0839318525490| -13.065 -0.384   |10.73    |G0             |    ~     ~    
368 |* 74 UMa                                                                                                                                                                       |High Proper Motion Star           |12 29 57.3223215912 +58 24 20.668103172|128.3166059913396 +58.4973511196663| -59.140 90.771   |5.347    |A8V            |    ~     ~    
369 |* 70 UMa                                                                                                                                                                       |High Proper Motion Star           |12 20 50.8828164888 +57 51 50.828622984|130.7848307258263 +58.7953064788206| 48.319 -70.246   |5.524    |K5III          |    ~     ~    
370 |HD 238108                                                                                                                                                                      |High Proper Motion Star           |12 22 18.9991996416 +58 05 10.365653544|130.3241930964663 +58.6221261055594| -28.160 66.888   |10.11    |F8             |    ~     ~    
371 |HD 238107                                                                                                                                                                      |Red Giant Branch star             |12 22 12.5272204344 +58 04 58.548975060|130.3522889343881 +58.6222365880630| -47.149 -6.483   |9.64     |G0             |    ~     ~    
372 |HD 107949                                                                                                                                                                      |Star                              |12 23 58.6977552600 +57 47 03.000955740|130.0314656098154 +58.9639763783945|  -25.302 1.948   |8.17     |K2III          |    ~     ~    
373 |HD 238115                                                                                                                                                                      |Star                              |12 25 20.7942919536 +57 44 59.819153280|129.6978758869153 +59.0342399808030|   2.409 -3.002   |10.34    |A3             |    ~     ~    
374 |HD 108099                                                                                                                                                                      |Spectroscopic Binary              |12 24 45.8881516440 +57 21 08.578416024|130.0025137023073 +59.4082023500676| -37.038 -1.627   |8.72     |G0             |    ~     ~    
375 |HD 238117                                                                                                                                                                      |Star                              |12 25 26.3005394856 +57 41 06.680671116|129.6992377445041 +59.1001460191483|  -8.029 39.286   |10.08    |F8             |    ~     ~    
376 |HD 238101                                                                                                                                                                      |Red Giant Branch star             |12 20 17.2784410200 +56 48 31.707012060|131.4127872024746 +59.8035876092632| -24.248 -5.931   |9.77     |G5             |    ~     ~    
377 |HD 238103                                                                                                                                                                      |Red Giant Branch star             |12 21 19.8211954056 +56 58 43.938486336|131.0588748281803 +59.6717933522861| 49.443 -19.104   |9.32     |K0             |    ~     ~    
378 |BD+57 1371                                                                                                                                                                     |Star                              |12 23 09.2425596984 +56 21 24.490091628|130.8520998280268 +60.3343958254068| -19.390 -4.505   |10.81    |G5             |    ~     ~    
379 |UCAC4 732-051200                                                                                                                                                               |Star                              |12 23 09.9202287120 +56 21 18.364894848|130.8497782011799 +60.3364012991200|   -2.133 0.397   |10.68    |~              |    ~     ~    
380 |HD 108121                                                                                                                                                                      |Star                              |12 25 00.1659297576 +57 09 59.009913360|130.0147301235094 +59.5968541888105|  -14.086 5.236   |9.36     |A              |    ~     ~    
381 |* 71 UMa                                                                                                                                                                       |Variable Star                     |12 25 03.2081950656 +56 46 40.181406780|130.1583202783138 +59.9787032274521|-14.150 -12.288   |5.81     |M3III          |    ~     ~    
382 |HD 238121                                                                                                                                                                      |Star                              |12 27 12.0207231840 +56 51 39.765001320|129.5502355890123 +59.9546696190557| -18.655 -4.938   |9.58     |F5             |    ~     ~    
383 |HD 238124                                                                                                                                                                      |Red Giant Branch star             |12 27 55.8998659056 +57 09 17.272131084|129.2480275790955 +59.6842632206859|   9.275 -4.748   |9.47     |G5             |    ~     ~    
384 |HD 238123                                                                                                                                                                      |Red Giant Branch star             |12 27 51.7091067456 +57 10 57.049714704|129.2565477966409 +59.6552927248035|  7.700 -35.267   |10.65    |K0             |    ~     ~    
385 |TYC 3837-57-1                                                                                                                                                                  |Star                              |12 21 26.3686171872 +56 12 54.452874276|131.3861475488949 +60.4180058793423|  18.721 -8.591   |10.94    |~              |    ~     ~    
386 |TYC 3837-62-1                                                                                                                                                                  |High Proper Motion Star           |12 23 47.0286685440 +56 10 58.734691860|130.7565938202850 +60.5231689183430|-51.810 -14.850   |10.63    |~              |    ~     ~    
387 |TYC 3837-599-1                                                                                                                                                                 |Spectroscopic Binary              |12 17 55.0783545672 +57 27 46.172598804|131.7091523630945 +59.0905576084789| 20.267 -16.115   |10.87    |~              |    ~     ~    
388 |TYC 3837-626-1                                                                                                                                                                 |High Proper Motion Star           |12 20 55.9519558512 +56 49 03.106038288|131.2382836165290 +59.8160491986616| 10.105 -82.685   |10.74    |~              |    ~     ~    
389 |TYC 3837-677-1                                                                                                                                                                 |High Proper Motion Star           |12 26 17.2941345096 +56 39 38.312033616|129.8728015931874 +60.1274019779802|-118.444 -36.693  |10.63    |~              |    ~     ~    
390 |TYC 3837-715-1                                                                                                                                                                 |Star                              |12 21 50.5249460904 +56 52 10.001080020|130.9738363868858 +59.7943160459488|  -15.202 2.221   |9.75     |~              |    ~     ~    
391 |TYC 3837-794-1                                                                                                                                                                 |Star                              |12 18 42.3269983200 +57 07 08.834728116|131.6763559235254 +59.4499588933779|  8.583 -34.605   |9.89     |~              |    ~     ~    
392 |TYC 3840-428-1                                                                                                                                                                 |Star                              |12 24 37.1703889968 +58 47 33.493348896|129.4855197394015 +57.9930706828645| -12.297 -9.282   |10.76    |~              |    ~     ~    
393 |TYC 3840-475-1                                                                                                                                                                 |Star                              |12 19 27.0450700944 +58 16 54.475399416|130.9433727722104 +58.3461426475337|-40.766 -13.314   |10.74    |~              |    ~     ~    
394 |TYC 3840-583-1                                                                                                                                                                 |Horizontal Branch Star            |12 20 59.0529502152 +57 58 44.288062644|130.7004980141710 +58.6875921272587|   10.930 1.943   |10.71    |~              |    ~     ~    
395 |TYC 3840-593-1                                                                                                                                                                 |Star                              |12 21 13.0380883704 +58 19 02.285395752|130.4973127317097 +58.3648524973794|-17.574 -18.398   |10.79    |~              |    ~     ~    
396 |TYC 3840-616-1                                                                                                                                                                 |Star                              |12 19 02.1936729648 +58 02 48.708771684|131.1517208416913 +58.5613073660431|  -3.786 -3.678   |10.65    |~              |    ~     ~    
397 |IRAS 12183+5813                                                                                                                                                                |Long-Period Variable Candidate    |12 20 48.0720095784 +57 56 27.293530848|130.7626753585243 +58.7191206834727| -2.899 -10.173   |10.33    |~              |    ~     ~    
398 |TYC 3840-697-1                                                                                                                                                                 |Star                              |12 26 36.9035354208 +58 30 13.627941444|129.1062600406874 +58.3259030283990|  9.538 -10.114   |10.59    |~              |    ~     ~    
399 |TYC 3840-974-1                                                                                                                                                                 |Spectroscopic Binary              |12 26 07.5995975544 +58 18 25.470656640|129.2959496930054 +58.5073334761532|  -49.292 0.978   |10.86    |~              |    ~     ~    
400 |TYC 3840-989-1                                                                                                                                                                 |Star                              |12 25 26.9339810640 +57 37 47.684406936|129.7176858496606 +59.1546244645180|    6.946 8.638   |10.76    |~              |    ~     ~    
401 |TYC 3844-935-1                                                                                                                                                                 |Star                              |12 28 36.7530673680 +57 13 25.251304296|129.0441001611468 +59.6328758111545|-41.520 -25.008   |10.78    |~              |    ~     ~    
402 |TYC 3847-57-1                                                                                                                                                                  |Spectroscopic Binary              |12 29 08.4324502704 +58 31 22.213358580|128.4811676145569 +58.3645312387593|  -12.542 1.302   |9.78     |~              |    ~     ~    
403 |TYC 3847-783-1                                                                                                                                                                 |Horizontal Branch Star            |12 27 08.1418179648 +57 34 59.974273416|129.3018695299918 +59.2433534769765|   4.789 -7.265   |10.32    |~              |    ~     ~    
404 |HD 106539                                                                                                                                                                      |Star                              |12 15 07.3828256592 +58 56 52.065660696|131.6594724597026 +57.5608779974913| -15.246 -4.966   |8.63     |K5             |    ~     ~    
405 |HD 106743                                                                                                                                                                      |Star                              |12 16 20.7037530648 +58 33 22.475178180|131.5625373505209 +57.9801101395896| -9.225 -11.071   |9.22     |G5             |    ~     ~    
406 |HD 106812                                                                                                                                                                      |Star                              |12 16 53.2296348312 +58 25 25.881729600|131.4967774582540 +58.1261672197581|  10.527 14.263   |8.93     |G5             |    ~     ~    
407 |BD+58 1366                                                                                                                                                                     |Star                              |12 16 18.9272893680 +58 08 57.135678468|131.7684591213223 +58.3724180800145|   -5.982 1.903   |10.12    |G5             |    ~     ~    
408 |HD 106617                                                                                                                                                                      |High Proper Motion Star           |12 15 38.1468232512 +57 36 26.215047720|132.2100588367922 +58.8713931256766| -83.467 10.241   |8.20     |F5             |    ~     ~    
409 |HD 238096                                                                                                                                                                      |Spectroscopic Binary              |12 16 56.1852837528 +57 25 14.965166928|131.9786258187154 +59.0973253239459|-18.258 -15.968   |9.61     |F8             |    ~     ~    
410 |NAME Megrez                        * del UMa                                                                                                                                   |High Proper Motion Star           |12 15 25.5606327 +57 01 57.415606      |132.5666169344 +59.4169239146      |    104.11 7.30   |3.320    |A2Vn           |    ~     ~    
411 |HD 106813                                                                                                                                                                      |High Proper Motion Star           |12 16 50.0496017160 +56 16 53.282939304|132.6018469791318 +60.1923890284740|-79.170 -17.436   |7.27     |K2             |    ~     ~    
412 |TYC 3837-559-1                                                                                                                                                                 |High Proper Motion Star           |12 16 14.7111862224 +57 17 35.942939592|132.2193450444238 +59.1958461611776|-55.773 -16.560   |10.95    |~              |    ~     ~    
413 |TYC 3840-137-1                                                                                                                                                                 |Star                              |12 17 41.2616303256 +58 20 48.894564552|131.3407289443022 +58.2269407261685|  1.309 -13.166   |10.86    |~              |    ~     ~    
414 |TYC 3840-314-1                                                                                                                                                                 |Star                              |12 16 01.7671113624 +58 17 48.776355276|131.7647131987505 +58.2200282205673| -17.159 -4.719   |10.93    |~              |    ~     ~    
415 |TYC 3840-468-1                                                                                                                                                                 |High Proper Motion Star           |12 16 21.2349592968 +58 58 11.237898288|131.3629953286758 +57.5804819704445| -61.668 -3.370   |10.30    |~              |    ~     ~    
416 |BD+56 1584                                                                                                                                                                     |High Proper Motion Star           |12 17 57.2886931848 +56 05 04.204202532|132.4041307452401 +60.4237243032207| -74.072 19.975   |10.02    |G5             |    ~     ~    
417 |BD+55 1521                                                                                                                                                                     |Star                              |12 16 20.5252988304 +54 48 48.054745152|133.5760487836611 +61.5836806197969|  9.928 -33.604   |9.09     |G5             |    ~     ~    
418 |HD 238097                                                                                                                                                                      |Star                              |12 18 33.8004577296 +55 09 26.388198576|132.7366461329950 +61.3407030300723|   2.957 -1.443   |9.99     |G0             |    ~     ~    
