C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:47:02

Vmag< 11&dec >=0&rah >=13.75&rah< 14.0
--------------------------------------

Number of objects : 2104

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |   spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|-----------------|---------------
34  |BD+82 409                                                                                                |Spectroscopic Binary Candidate |13 57 11.8328493528 +81 40 10.618739724|120.0596789577245 +35.0886787752916| -49.643 30.476    |10.35    |F8               |    ~     ~    
35  |BD+81 449                                                                                                |Star                           |13 47 04.4093987856 +81 16 24.294235152|120.3619551602885 +35.5754501543404| 15.281 -13.180    |9.39     |K0               |    ~     ~    
36  |BD+81 451                                                                                                |Star                           |13 49 55.4427467808 +80 55 14.140178328|120.1137248361386 +35.8853476887922|  -7.128 -2.883    |10.43    |K0               |    ~     ~    
37  |HD 121778                                                                                                |Star                           |13 51 00.5815529400 +80 46 04.499838696|120.0096903156137 +36.0198211718342|  45.036 -5.162    |6.66     |K0               |    ~     ~    
38  |BD+81 453                                                                                                |Star                           |13 52 12.7169825400 +80 48 27.964517760|119.9667561672345 +35.9678910566155| 28.140 -34.514    |10.46    |F2               |    ~     ~    
39  |BD+81 454                                                                                                |Star                           |13 54 30.9279241656 +80 46 37.800822756|119.8468185552545 +35.9700962158792|   7.641 -2.134    |10.70    |F5               |    ~     ~    
40  |BD+81 455                                                                                                |Star                           |13 55 41.5487860704 +80 23 39.622068960|119.6467133336302 +36.3204695777236| -32.023 24.509    |10.64    |F                |    ~     ~    
41  |BD+81 456                                                                                                |Star                           |13 56 11.6870544984 +80 52 54.826277340|119.8071926843001 +35.8500343490749|  -17.884 7.407    |9.54     |K2               |    ~     ~    
42  |TYC 4564-153-1                                                                                           |Star                           |13 52 58.0292530512 +82 16 19.376570136|120.4496065881404 +34.5574058291904| -32.314 -2.002    |10.90    |~                |    ~     ~    
43  |BD+78 467                                                                                                |Star                           |13 49 00.5102554560 +77 36 10.868275944|118.9900545079886 +39.0812188119351| -1.189 -15.002    |10.56    |F8               |    ~     ~    
44  |BD+78 472                                                                                                |High Proper Motion Star        |13 56 40.4355975288 +78 01 59.863746072|118.6623038235582 +38.5488830045931| 43.465 -52.029    |10.07    |G2V              |    ~     ~    
45  |BD+78 471                                                                                                |Star                           |13 56 26.2114909800 +77 27 21.370817772|118.4402793188343 +39.0998665159343| -30.343 22.037    |9.45     |F8               |    ~     ~    
46  |BD+77 524                                                                                                |Star                           |13 55 05.6583648744 +77 15 16.046150220|118.4474448094783 +39.3142515913175|  -0.940 -9.458    |9.59     |K0               |    ~     ~    
47  |TYC 4561-216-1                                                                                           |High Proper Motion Star        |13 52 10.1208471456 +77 43 22.762115472|118.8274564652642 +38.9171514969094| 54.111 -51.418    |10.83    |~                |    ~     ~    
48  |TYC 4561-288-1                                                                                           |Star                           |13 52 02.6219041032 +77 49 01.981620876|118.8717682720869 +38.8292167485098|  -11.764 7.474    |10.86    |~                |    ~     ~    
49  |TYC 4561-652-1                                                                                           |Star                           |13 59 00.1457381136 +77 53 42.598928400|118.4579507285067 +38.6400075638192|  -22.185 1.547    |10.93    |~                |    ~     ~    
50  |TYC 4561-1172-1                                                                                          |High Proper Motion Star        |13 53 44.0959605072 +77 57 41.749099056|118.8193193701595 +38.6647767270736|-76.783 107.395    |10.11    |~                |    ~     ~    
51  |BD+80 425                                                                                                |High Proper Motion Star        |13 56 33.9201485448 +80 17 34.563912864|119.5647022506128 +36.4056824439312| -42.526 39.924    |10.23    |G5               |    ~     ~    
52  |HD 121366                                                                                                |Star                           |13 49 06.9496171176 +79 55 16.988343456|119.8099434696730 +36.8547379726831|  -16.343 6.436    |7.27     |G5               |    ~     ~    
53  |BD+79 430                                                                                                |High Proper Motion Star        |13 47 26.2026890568 +78 34 11.737380756|119.4356097990646 +38.1754961554702|  -93.329 5.149    |10.02    |F8               |    ~     ~    
54  |HD 121457                                                                                                |High Proper Motion Star        |13 50 01.3905806304 +78 59 44.474471232|119.4331912351135 +37.7315542894111|  -53.134 0.822    |6.594    |G5               |    ~     ~    
55  |HD 122188                                                                                                |Star                           |13 54 40.7686483872 +78 58 30.009853956|119.1568969754606 +37.6855960222249| 33.221 -26.808    |7.85     |G5               |    ~     ~    
56  |HD 122343                                                                                                |Star                           |13 55 49.9221918792 +78 41 41.741199852|118.9799743934166 +37.9346276257277| -14.059 18.070    |8.210    |A5               |    ~     ~    
57  |TYC 4561-1239-1                                                                                          |High Proper Motion Star        |13 56 03.1902295536 +78 58 38.747556408|119.0789559030752 +37.6629573984974| -66.703 28.939    |10.50    |K0               |    ~     ~    
58  |TYC 4561-632-1                                                                                           |Star                           |13 46 16.2712426536 +78 19 09.689113020|119.4204831755898 +38.4324986993681|  20.191 -6.770    |10.80    |F8               |    ~     ~    
59  |TYC 4561-700-1                                                                                           |Star                           |13 49 42.0489475704 +78 17 06.641866716|119.1951974196037 +38.4171018719334|   8.982 20.514    |10.74    |G5               |    ~     ~    
60  |BD+78 468                                                                                                |Star                           |13 49 25.0399 +78 12 33.576            |119.1852471 +38.4939208            |   25.70 -42.40    |9.57     |G5               |    ~     ~    
61  |TYC 4561-348-2                                                                                           |Star                           |13 49 25.232 +78 12 32.96              |119.184985 +38.494038              |     22.8 -41.5    |9.96     |~                |    ~     ~    
62  |TYC 4561-305-1                                                                                           |Star                           |13 50 32.2870874568 +79 34 20.677316952|119.6111039002447 +37.1718811300298|  -13.304 1.707    |10.51    |~                |    ~     ~    
63  |TYC 4561-666-1                                                                                           |Star                           |13 46 15.6939357168 +77 46 43.929861888|119.2339879423587 +38.9530182545279|   5.419 -4.344    |10.76    |~                |    ~     ~    
64  |GSC 04561-00709                                                                                          |Double or Multiple Star        |13 54 42.544608 +79 15 40.38804        |119.265655951 +37.412673866        |      -16.3 2.9    |10.171   |~                |    ~     ~    
65  |TYC 4561-1033-1                                                                                          |Star                           |13 53 36.7843488216 +79 18 31.587219360|119.3448955289095 +37.3827758664128|-13.124 -10.152    |10.05    |~                |    ~     ~    
66  |TYC 4561-1053-1                                                                                          |Star                           |13 54 53.8079719440 +79 33 34.694071992|119.3698143687321 +37.1258685090628|  -41.283 0.303    |10.95    |~                |    ~     ~    
67  |TYC 4561-1091-1                                                                                          |Star                           |13 47 30.3380137584 +79 23 37.543644456|119.7157175039877 +37.3819580224361| -38.651 10.275    |10.77    |G5V              |    ~     ~    
68  |TYC 4561-1301-1                                                                                          |Star                           |13 45 33.1113795864 +79 06 03.279230424|119.7277860749385 +37.6885084456298|   8.053 10.411    |10.86    |~                |    ~     ~    
69  |TYC 4561-1423-1                                                                                          |Star                           |13 51 59.0640431160 +78 43 19.462517724|119.2179866644268 +37.9659943847268|  -13.856 6.559    |10.88    |~                |    ~     ~    
70  |TYC 4561-1701-1                                                                                          |Star                           |13 48 53.8453634496 +79 20 42.569960784|119.6212275160917 +37.4110645490755|   8.774 -5.562    |10.78    |~                |    ~     ~    
71  |TYC 4561-1724-1                                                                                          |Star                           |13 46 35.9060495352 +77 37 03.258713208|119.1552301983937 +39.1033366886959| -34.970 10.548    |10.78    |~                |    ~     ~    
72  |TYC 4561-1749-1                                                                                          |Star                           |13 57 34.6341154176 +79 23 41.210164644|119.1593639281001 +37.2443698063209|  11.340 -8.372    |10.50    |~                |    ~     ~    
73  |TYC 4561-1882-1                                                                                          |Star                           |13 52 15.4453584360 +79 12 44.509600332|119.3847573123604 +37.4935979624141|   4.274 -0.522    |10.39    |~                |    ~     ~    
74  |TYC 4561-2221-1                                                                                          |Star                           |13 52 10.2476215056 +78 26 02.175813024|119.0984844801415 +38.2385086424058|   1.912 -0.027    |10.65    |~                |    ~     ~    
75  |TYC 4564-510-1                                                                                           |Star                           |13 47 12.7852452792 +80 03 38.300992308|119.9566451941873 +36.7432608684593|   -3.499 4.444    |10.78    |~                |    ~     ~    
76  |TYC 4564-568-1                                                                                           |Star                           |13 53 06.9450484080 +80 02 45.629034144|119.6463939607376 +36.6855778918322|   -4.451 8.695    |10.38    |~                |    ~     ~    
77  |TYC 4564-918-1                                                                                           |Star                           |13 55 38.7689489592 +80 19 03.461787876|119.6198899885835 +36.3941020015687|  -2.965 13.156    |10.78    |~                |    ~     ~    
78  |BD+80 426                                                                                                |Variable Star                  |13 57 56.4114429192 +79 34 59.481642972|119.2150002411207 +37.0605071992423| -30.837 30.730    |9.63     |F8               |    ~     ~    
79  |BD+77 525                                                                                                |Star                           |13 56 34.4643812328 +77 01 30.743294772|118.2516559988414 +39.5051838162603|   -2.800 0.723    |9.84     |K2               |    ~     ~    
80  |BD+77 522                                                                                                |Star                           |13 47 24.1739955504 +77 09 11.494339380|118.9348716252013 +39.5375208804999| -15.773 11.932    |9.25     |A2               |    ~     ~    
81  |HD 122079                                                                                                |Star                           |13 55 12.5422212552 +76 30 03.318556644|118.1287693103216 +40.0267763732286| -6.563 -11.898    |7.89     |K2               |    ~     ~    
82  |HD 122005                                                                                                |Star                           |13 54 45.4042394256 +76 15 51.667892244|118.0631559094952 +40.2594953595006|  15.171 14.368    |8.64     |K0               |    ~     ~    
83  |HD 120770                                                                                                |High Proper Motion Star        |13 47 27.5437127664 +75 35 08.271506580|118.3506109055733 +41.0404101657322| -75.025 38.818    |8.24     |F5               |    ~     ~    
84  |BD+76 501                                                                                                |Star                           |13 49 24.0659953200 +75 32 26.722164300|118.1797567650492 +41.0481954194504|  16.698 -2.408    |9.13     |F8               |    ~     ~    
85  |HD 121128                                                                                                |Double or Multiple Star        |13 49 32.7032358648 +75 34 01.269703776|118.1786779844823 +41.0204519752685|  15.246 -1.225    |7.61     |kA8hA9mF2III     |0.0117  0.0    
86  |BD+75 517                                                                                                |Star                           |13 45 09.0614377344 +75 16 17.038691796|118.4186616645504 +41.3827432309094|  -16.724 6.168    |9.70     |G5               |    ~     ~    
87  |BD+75 518                                                                                                |Star                           |13 49 51.7140 +74 58 27.096            |117.9179674 +41.5803516            |      -0.7 10.6    |10.09    |G5               |    ~     ~    
88  |BD+75 519                                                                                                |Star                           |13 50 11.3544319728 +75 11 14.294699196|117.9765794602004 +41.3707528758155| -6.620 -20.520    |10.42    |G5               |    ~     ~    
89  |BD+75 520                                                                                                |Star                           |13 50 44.6151492048 +75 13 01.253578584|117.9435810075200 +41.3317398275957|  -21.523 5.199    |10.07    |F5               |    ~     ~    
90  |BD+75 521                                                                                                |Star                           |13 52 06.7873236168 +75 16 41.669713056|117.8581096334138 +41.2467371357064|  -7.086 -6.032    |9.76     |K2               |    ~     ~    
91  |BD+75 522                                                                                                |Star                           |13 52 12.7674543888 +75 09 55.051362216|117.8034258666582 +41.3521422635967| -14.414 -7.104    |10.65    |G5               |    ~     ~    
92  |BD+75 524                                                                                                |Star                           |13 56 56.6347413288 +74 42 16.037502120|117.2158510310197 +41.6887749153446| -25.319 10.698    |9.48     |F5               |    ~     ~    
93  |BD+74 561                                                                                                |Star                           |13 56 03.3843811752 +74 14 49.452428544|117.0851487734844 +42.1396262330888|-18.879 -18.818    |10.21    |F8               |    ~     ~    
94  |BD+76 506                                                                                                |Star                           |13 58 20.2343172144 +75 33 48.539888100|117.4894221069208 +40.8499467948544|  -6.812 -6.251    |10.22    |~                |    ~     ~    
95  |TYC 4409-1466-1                                                                                          |High Proper Motion Star        |13 54 50.0657963712 +74 21 40.107381300|117.2411032624993 +42.0592999024922| -54.138 70.429    |10.49    |~                |    ~     ~    
