C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:47:02

Vmag< 11&dec >=0&rah >=13.75&rah< 14.0
--------------------------------------

Number of objects : 2104

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |   spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|-----------------|---------------
611 |BD+46 1898                                                                                               |Double or Multiple Star        |13 45 17.2910 +45 58 42.126            |096.9379699 +68.3372221            |   -89.60 40.20    |10.11    |G5               |    ~     ~    
612 |BD+46 1899                                                                                               |Star                           |13 45 42.2049431232 +46 01 32.298817404|096.8486321841870 +68.2575808264071| -25.201 36.509    |9.66     |F8               |    ~     ~    
613 |BD+46 1903                                                                                               |Star                           |13 47 44.9800993656 +46 12 46.612016568|096.3536346161458 +67.9016655268247| 22.815 -22.359    |10.22    |F8               |    ~     ~    
614 |BD+46 1904                                                                                               |Star                           |13 48 01.4596018320 +46 13 14.106378072|096.2622002240901 +67.8680388140854|   -6.924 2.803    |9.08     |K2               |    ~     ~    
615 |BD+46 1905                                                                                               |Star                           |13 48 50.1122102568 +45 50 12.771616560|095.3594359427829 +68.0971779694391|   4.752 -3.542    |9.34     |K0               |    ~     ~    
616 |BD+47 2103                                                                                               |Star                           |13 55 28.9859163072 +46 19 36.292685952|093.7497689266701 +67.0057316961605|   1.703 -5.105    |10.05    |K2               |    ~     ~    
617 |BD+47 2105                                                                                               |Star                           |13 56 35.2932992688 +46 23 34.290462552|093.4791146966180 +66.8340695855189|-11.151 -16.852    |8.96     |K0               |    ~     ~    
618 |BD+46 1912                                                                                               |Spectroscopic Binary           |13 54 53.2080476088 +45 56 44.597922648|093.3372587312009 +67.3666622509302|-10.459 -25.616    |9.03     |K0               |    ~     ~    
619 |BD+46 1913                                                                                               |Variable Star                  |13 55 39.3255738864 +45 45 44.123831352|092.7648877139283 +67.4229495709739| -3.313 -18.986    |9.76     |Am               |    ~     ~    
620 |BD+46 1900                                                                                               |High Proper Motion Star        |13 46 11.9519823360 +45 23 48.652781460|095.6739531620194 +68.7238351182973|  -50.013 4.617    |10.01    |F8               |    ~     ~    
621 |HD 120829                                                                                                |Double or Multiple Star        |13 50 52.8828028752 +45 31 22.560892896|094.0867484464351 +68.1326408108486| -17.948 -5.485    |8.90     |G5               |0.0017  0.0    
622 |BD+46 1909a                                                                                              |Star                           |13 52 38.9496792432 +45 25 04.953440640|093.2613416327542 +68.0226772849592|  -18.435 7.562    |10.24    |K5               |    ~     ~    
623 |BD+46 1909                                                                                               |High Proper Motion Star        |13 52 08.7933078504 +45 25 55.607557548|093.4688799968561 +68.0668820441089| -50.835 10.084    |10.24    |G5               |    ~     ~    
624 |BD+45 2130                                                                                               |Star                           |13 47 54.5758873248 +44 41 59.395685856|093.8466663995851 +69.1046123637602|  -7.814 10.974    |10.51    |G5               |    ~     ~    
625 |HD 120462                                                                                                |Star                           |13 48 36.5020118232 +45 10 13.677146472|094.3654220462902 +68.6553306494251| -37.139 14.891    |8.72     |F5               |    ~     ~    
626 |TYC 3033-303-1                                                                                           |High Proper Motion Star        |13 48 42.8701533408 +44 54 43.297217712|093.8915380483260 +68.8493662689851|-28.444 -63.918    |10.52    |~                |    ~     ~    
627 |TYC 3033-349-1                                                                                           |Star                           |13 46 49.4827209768 +44 53 14.435048616|094.5935526193296 +69.0709146509698|  -17.030 4.761    |10.68    |~                |    ~     ~    
628 |TYC 3033-424-1                                                                                           |High Proper Motion Star        |13 49 08.8061098800 +44 29 40.578439020|093.0053212949595 +69.1307753986810|-83.999 -53.729    |10.41    |~                |    ~     ~    
629 |TYC 3033-456-1                                                                                           |High Proper Motion Star        |13 48 59.8697009016 +44 26 51.162590400|092.9814460247916 +69.1841467343970| 59.876 -37.572    |10.97    |~                |    ~     ~    
630 |TYC 3464-3-1                                                                                             |Spectroscopic Binary           |13 54 50.7167712000 +45 37 14.090423808|092.8121861047274 +67.6223501936642|121.537 -62.382    |10.86    |~                |    ~     ~    
631 |TYC 3464-5-1                                                                                             |Star                           |13 46 56.6412676704 +46 49 56.465683032|097.5782920478688 +67.4696023220184|   -9.108 1.878    |10.37    |F8V              |    ~     ~    
632 |TYC 3464-138-1                                                                                           |Spectroscopic Binary           |13 48 15.2751330288 +46 48 11.119694220|097.0525949638714 +67.3677286583119|  -13.716 9.731    |10.92    |~                |    ~     ~    
633 |TYC 3464-282-1                                                                                           |Star                           |13 50 11.5057117008 +47 10 10.154026776|096.8932394544275 +66.8782856965982|      -41.3 9.4    |10.50    |~                |    ~     ~    
634 |TYC 3464-298-1                                                                                           |Star                           |13 46 52.1362030560 +46 23 14.742003804|096.9495866938209 +67.8451110229656|  -44.604 8.787    |10.67    |~                |    ~     ~    
635 |TYC 3464-309-1                                                                                           |High Proper Motion Star        |13 55 46.2776541552 +45 58 19.250009400|093.0726522749065 +67.2487615214760|-79.779 -35.598    |10.58    |~                |    ~     ~    
636 |TYC 3464-335-1                                                                                           |Star                           |13 53 08.9900321448 +45 52 55.636708080|093.8479362012054 +67.6055867742479|  2.199 -40.556    |10.98    |~                |    ~     ~    
637 |TYC 3464-340-1                                                                                           |Star                           |13 45 26.4303462432 +46 33 25.214930100|097.7416494236696 +67.8416572602817|   -5.194 2.110    |10.71    |~                |    ~     ~    
638 |TYC 3464-481-1                                                                                           |Star                           |13 47 05.7243083304 +45 20 40.867020636|095.2384536961076 +68.6741601376115| -8.498 -42.151    |10.64    |~                |    ~     ~    
639 |TYC 3464-689-1                                                                                           |Star                           |13 52 19.4112391632 +46 42 14.461578324|095.4423769664459 +67.0415767841536| 17.073 -43.939    |10.84    |~                |    ~     ~    
640 |TYC 3464-715-1                                                                                           |High Proper Motion Star        |13 45 18.6464012448 +46 45 49.141971036|098.0902415534932 +67.6810553821843| -68.089 66.895    |10.92    |F9V              |    ~     ~    
641 |TYC 3464-755-1                                                                                           |Spectroscopic Binary           |13 58 16.4746129104 +46 34 01.383483648|093.1955219714416 +66.5146738255003|-136.148 19.370    |10.46    |~                |    ~     ~    
642 |TYC 3464-801-1                                                                                           |Star                           |13 51 43.6430223792 +45 35 50.682550236|093.8968843372552 +67.9828323367793|   2.728 -1.530    |10.02    |~                |    ~     ~    
643 |TYC 3464-832-1                                                                                           |Spectroscopic Binary           |13 47 10.7859549336 +46 14 33.716526612|096.6138536908310 +67.9337585970529|-50.933 -63.135    |10.30    |~                |    ~     ~    
644 |TYC 3464-849-1                                                                                           |Star                           |13 51 40.5368860632 +45 49 56.555715468|094.2996166549813 +67.8030574331752| -11.143 -7.678    |9.60     |~                |    ~     ~    
645 |TYC 3464-958-1                                                                                           |Star                           |13 55 06.9789704352 +45 36 28.059467292|092.6950548729032 +67.6018643756789| -21.507 14.374    |10.80    |~                |    ~     ~    
646 |TYC 3464-980-1                                                                                           |Star                           |13 53 34.5315954600 +45 45 46.903096260|093.5003879568512 +67.6523419558193|  -12.503 6.439    |10.06    |~                |    ~     ~    
647 |TYC 3464-1100-1                                                                                          |Star                           |13 50 51.9806320464 +46 37 50.182457664|095.8475174855988 +67.2492416941611|  10.373 22.718    |10.34    |~                |    ~     ~    
648 |TYC 3464-319-1                                                                                           |Star                           |13 45 39.2606831568 +47 09 33.994846476|098.5235912402426 +67.3169317450563|   5.767 -0.101    |10.98    |F8V              |    ~     ~    
649 |BD+42 2452                                                                                               |Spectroscopic Binary           |13 57 17.8511469144 +41 48 01.143483984|084.5994823442624 +70.0826732846772| 19.134 -27.639    |10.76    |F8               |    ~     ~    
650 |HD 121389                                                                                                |High Proper Motion Star        |13 54 10.8337735872 +41 32 37.498445088|085.2160817369733 +70.6841529608661| -56.443 27.870    |8.38     |F8               |    ~     ~    
651 |BD+42 2454                                                                                               |Star                           |13 59 43.1456093952 +42 06 11.209706388|084.3805725969892 +69.5453738560551|  -12.008 2.472    |10.02    |~                |    ~     ~    
652 |HD 122253                                                                                                |Star                           |13 59 41.5201639752 +42 02 59.302594032|084.2759043767181 +69.5845078502465|   4.595 28.531    |7.800    |K0               |    ~     ~    
653 |BD+42 2456                                                                                               |Star                           |13 59 47.7843890976 +41 21 00.284591412|082.7040988046926 +70.0268175295138|    1.804 2.112    |9.40     |G5               |    ~     ~    
654 |TYC 3030-372-1                                                                                           |Star                           |13 53 02.9417124984 +41 25 56.011772964|085.4138233558293 +70.9146151840279|  0.653 -22.600    |10.94    |~                |    ~     ~    
655 |TYC 3030-559-1                                                                                           |Star                           |13 59 17.6212206744 +41 58 10.471781892|084.2443531821211 +69.6930943429712|-18.967 -10.539    |10.32    |~                |    ~     ~    
656 |TYC 3030-666-1                                                                                           |Horizontal Branch Star         |13 55 59.1486591912 +42 10 36.916632264|085.8937511043213 +70.0044921677560|   -2.796 5.579    |10.94    |~                |    ~     ~    
657 |TYC 3030-1127-1                                                                                          |Star                           |13 59 06.5801656776 +41 45 27.199718928|083.8497764101143 +69.8589898223147| -6.001 -11.520    |10.80    |~                |    ~     ~    
658 |TYC 3033-140-1                                                                                           |Star                           |13 49 51.7134515184 +44 03 34.392920940|091.9506564743042 +69.3879966916436| -35.377 -7.286    |10.60    |F8               |    ~     ~    
659 |BD+44 2301                                                                                               |Star                           |13 48 11.4884182176 +43 19 28.583269320|091.2617047468629 +70.1459990774276|   -8.118 0.009    |9.53     |F5               |    ~     ~    
660 |HD 119964                                                                                                |High Proper Motion Star        |13 45 38.1883610304 +42 58 53.082000156|091.6819826469236 +70.7073396324838|  -7.449 54.308    |8.92     |K0               |    ~     ~    
661 |BD+43 2351                                                                                               |Star                           |13 45 40.5760440672 +43 12 07.877960640|092.0831552266337 +70.5310651237903|  6.485 -41.072    |10.83    |G0               |    ~     ~    
662 |BD+44 2304                                                                                               |Spectroscopic Binary           |13 51 28.8747807792 +43 54 22.634509104|091.0390253716965 +69.3171832005833|   -2.313 8.847    |9.02     |K0               |    ~     ~    
663 |BD+44 2303                                                                                               |Star                           |13 51 18.2562627192 +43 31 13.369532664|090.3853277490822 +69.6292896180341| -31.349 18.008    |9.91     |G5               |    ~     ~    
664 |HD 121196                                                                                                |High Proper Motion Star        |13 53 00.5145758664 +43 17 30.863994108|089.2862093752004 +69.5920570410728|-102.083 -36.359   |8.78     |G5               |    ~     ~    
665 |HD 119978                                                                                                |High Proper Motion Star        |13 45 46.2604336296 +42 17 23.373516300|090.2659802608672 +71.2227725000165| -78.589 31.739    |9.02     |G5               |    ~     ~    
666 |BD+43 2353                                                                                               |Horizontal Branch Star         |13 47 15.5274490656 +42 34 10.813099584|090.1861717299246 +70.8316093962874| -37.946 21.974    |9.51     |K0               |    ~     ~    
667 |HD 120265                                                                                                |Star                           |13 47 28.0289349696 +42 47 42.074756340|090.5432245948833 +70.6357278376047|  -35.581 0.422    |8.04     |kA8hF0mF5(III)   |    ~     ~    
668 |HD 120463                                                                                                |High Proper Motion Star        |13 48 42.8617209912 +42 20 15.427549212|089.1055375403394 +70.8277916103260|-51.263 -49.789    |7.078    |K2               |    ~     ~    
669 |BD+43 2358                                                                                               |Star                           |13 48 43.8013845984 +42 41 35.642393196|089.8153049597010 +70.5605650038327|  -15.051 8.522    |9.83     |K2               |    ~     ~    
670 |HD 120702                                                                                                |Star                           |13 50 08.1220936152 +42 33 26.132979384|088.9659432664310 +70.4889391905435|  -6.528 -8.139    |6.991    |F0               |    ~     ~    
671 |BD+43 2360                                                                                               |Star                           |13 51 04.2535106448 +42 30 25.912512792|088.4862699422089 +70.4086760060062| -9.306 -35.815    |9.67     |F5               |    ~     ~    
672 |BD+43 2361                                                                                               |Star                           |13 54 16.7269202376 +43 05 40.814210652|088.4152946696128 +69.5775550014368|    1.807 7.528    |9.26     |K0               |    ~     ~    
673 |BD+42 2437                                                                                               |Rotating Variable              |13 46 01.4821671456 +42 01 07.921824852|089.6021252508618 +71.3970597197003| 11.352 -14.515    |9.24     |G0               |    ~     ~    
674 |HD 120348                                                                                                |High Proper Motion Star        |13 48 05.1094558512 +42 02 50.880023808|088.7726558017514 +71.1210412759370| 22.813 -57.630    |6.583    |K1III            |    ~     ~    
675 |BD+42 2441                                                                                               |Star                           |13 48 45.4964294352 +41 45 37.956215556|087.8834938983993 +71.2466130924633|  1.692 -23.073    |10.27    |G0               |    ~     ~    
676 |BD+42 2443                                                                                               |Star                           |13 50 00.4224325728 +41 48 41.163328080|087.4698588372813 +71.0493466350191|  -21.791 0.935    |9.65     |F8               |    ~     ~    
677 |HD 120817                                                                                                |Star                           |13 50 51.7613417784 +42 09 18.701432424|087.8446053111279 +70.6910526473892|   6.460 14.929    |7.67     |A2               |    ~     ~    
678 |HD 121247                                                                                                |Star                           |13 53 20.7900300840 +42 11 05.327783664|086.9186181801990 +70.3485130372227|  -35.268 5.689    |6.868    |A0               |    ~     ~    
679 |HD 121247B                                                                                               |Star                           |13 53 21.2622261552 +42 11 00.905721936|086.9129694899879 +70.3483530299982|  -34.395 0.994    |10.74    |~                |    ~     ~    
680 |BD+44 2309                                                                                               |Star                           |13 55 19.5084071040 +43 32 49.648204212|088.9078162804132 +69.1184669114574|   7.278 -8.608    |9.67     |K0               |    ~     ~    
681 |BD+44 2313                                                                                               |Star                           |13 57 58.8844001040 +43 42 00.626614488|088.2413569330350 +68.6746994496838| -20.793 -2.833    |9.93     |F0               |    ~     ~    
682 |BD+43 2363                                                                                               |Star                           |13 55 20.8672034784 +42 39 19.855267164|087.1285960673661 +69.7545071272791|   -7.008 0.843    |8.71     |K0               |    ~     ~    
683 |BD+43 2364                                                                                               |Star                           |13 55 39.6303321408 +42 59 04.251384384|087.6778880761527 +69.4807715122968|  -8.705 15.395    |9.00     |K2               |    ~     ~    
684 |BD+43 2365                                                                                               |Star                           |13 55 48.9043235592 +42 25 43.182239232|086.4856335792975 +69.8524755250040| -16.355 -3.240    |9.98     |K0               |    ~     ~    
685 |BD+43 2367                                                                                               |Spectroscopic Binary           |13 59 22.7648797536 +43 08 01.203121356|086.6347101069848 +68.8922729498418|   -1.031 4.626    |10.71    |F2               |    ~     ~    
686 |BD+42 2442                                                                                               |Spectroscopic Binary           |13 49 08.3018685264 +41 43 11.857144008|087.6366406035456 +71.2273865127299| 12.950 -18.839    |9.67     |F8               |    ~     ~    
687 |BD+42 2448                                                                                               |High Proper Motion Star        |13 52 54.8820504912 +41 41 31.166780352|086.0360707811225 +70.7522127480641|-35.027 -71.577    |8.97     |F8               |    ~     ~    
688 |StKM 1-1105                                                                                              |High Proper Motion Star        |13 53 02.9733202728 +43 38 57.259011768|089.9563574745270 +69.3228998338822| -38.797 60.801    |10.97    |K5               |    ~     ~    
689 |BD+42 2446                                                                                               |Spectroscopic Binary           |13 51 52.5953435976 +42 02 36.240207684|087.2014703925976 +70.6407264730913|  -16.102 0.693    |10.07    |~                |    ~     ~    
690 |TYC 3030-38-1                                                                                            |Star                           |13 48 14.4017827152 +42 29 21.937207596|089.6117045689309 +70.7729963450591| -0.926 -10.002    |10.43    |~                |    ~     ~    
691 |TYC 3030-280-1                                                                                           |Star                           |13 48 15.6515973912 +41 48 25.473541176|088.1932794843167 +71.2759261187443|  -9.614 -2.318    |10.43    |~                |    ~     ~    
692 |TYC 3030-333-1                                                                                           |Spectroscopic Binary           |13 51 36.9615183168 +42 01 42.656068452|087.2745121756406 +70.6851942935008| 18.137 -25.502    |10.11    |~                |    ~     ~    
693 |TYC 3030-486-1                                                                                           |Spectroscopic Binary           |13 47 23.2454936712 +41 53 30.904690344|088.7459905665917 +71.3233810793364| -126.057 8.467    |10.67    |~                |    ~     ~    
694 |TYC 3033-20-1                                                                                            |High Proper Motion Star        |13 48 43.8181684224 +42 38 11.781404448|089.7023876031264 +70.6029612322872|  68.710 -5.719    |9.92     |~                |    ~     ~    
695 |NSVS 5090006                                                                                             |Long-Period Variable           |13 48 10.3124705688 +43 15 46.722510720|091.1529430265959 +70.1954921605316| -18.886 -7.722    |10.39    |~                |    ~     ~    
696 |TYC 3033-813-1                                                                                           |Horizontal Branch Star         |13 55 55.6033859928 +43 29 42.386939556|088.5858848967161 +69.0809297818282|  -2.562 -1.031    |10.85    |~                |    ~     ~    
697 |TYC 3033-842-1                                                                                           |Star                           |13 57 16.3827404280 +42 37 41.397573432|086.3603966935602 +69.5207178911312|   9.407 -4.982    |10.95    |~                |    ~     ~    
698 |TYC 3033-861-1                                                                                           |Red Giant Branch star          |13 54 14.4608735952 +42 33 16.899082164|087.3411801390120 +69.9696449163668| -3.394 -11.003    |10.95    |~                |    ~     ~    
699 |TYC 3033-893-1                                                                                           |Spectroscopic Binary           |13 54 18.7162386840 +43 08 45.961375920|088.5043775565350 +69.5361605049211| -33.171 16.221    |10.70    |~                |    ~     ~    
700 |BD+45 2133                                                                                               |High Proper Motion Star        |13 49 37.6617401712 +44 17 54.456323640|092.4712202084971 +69.2298521093862| -86.951 75.686    |10.17    |~                |    ~     ~    
701 |BD+45 2129                                                                                               |Spectroscopic Binary           |13 45 07.9132220424 +44 23 38.179376448|094.4470027996055 +69.6466334719967| -3.267 -13.900    |10.36    |K0               |    ~     ~    
702 |BD+44 2299                                                                                               |Star                           |13 45 35.5514669496 +44 08 51.558015372|093.8310530301352 +69.7945502279992|  11.753 -8.929    |10.04    |F8               |    ~     ~    
703 |BD+44 2300                                                                                               |Star                           |13 46 33.9072688584 +43 53 19.531086144|092.9706353357412 +69.8930404505858|  -24.766 0.374    |9.41     |K0               |    ~     ~    
704 |BD+44 2302                                                                                               |Star                           |13 48 57.3217355760 +44 06 00.033460848|092.3819476277591 +69.4598778879428| -2.959 -10.119    |10.32    |F8               |    ~     ~    
705 |BD+42 2438                                                                                               |High Proper Motion Star        |13 46 17.5409335920 +41 23 47.445805644|088.1674194737405 +71.8272140379720| -5.161 -96.398    |10.62    |F8               |    ~     ~    
706 |HD 119890                                                                                                |Star                           |13 45 15.1034144400 +40 25 17.177871000|086.4429613010117 +72.6717202319111|-33.048 -24.566    |8.88     |K0               |    ~     ~    
707 |HD 120047                                                                                                |High Proper Motion Star        |13 46 13.5455873496 +41 05 19.480664184|087.5214229110568 +72.0612892567637|-113.537 -42.835   |5.877    |A5V              |    ~     ~    
708 |BD+41 2426                                                                                               |High Proper Motion Star        |13 46 59.0994494736 +40 57 02.459806776|086.8755667747441 +72.0627079876260| 13.488 -52.533    |8.72     |K5               |    ~     ~    
709 |BD+41 2427                                                                                               |Star                           |13 47 44.3447787168 +40 36 11.469084156|085.7495031293443 +72.2104436508383| -22.816 17.293    |10.48    |F5               |    ~     ~    
710 |BD+41 2429                                                                                               |High Proper Motion Star        |13 48 58.8664084368 +40 55 43.908614616|085.9591851521333 +71.8139855699744| -64.834 31.082    |9.86     |G0               |    ~     ~    
711 |HD 120683                                                                                                |Star                           |13 50 05.2110559608 +41 02 22.001345952|085.7420862197330 +71.5878684899002|  2.564 -22.966    |8.96     |G0               |    ~     ~    
712 |BD+40 2689                                                                                               |Star                           |13 46 14.9026114776 +40 05 16.124096796|085.1975400324650 +72.7749973604771| 10.238 -37.121    |9.67     |K5               |    ~     ~    
713 |HD 120435                                                                                                |Star                           |13 48 33.0097373976 +40 14 48.850237680|084.5572132739893 +72.3485479048684|  -17.813 9.467    |7.77     |~                |    ~     ~    
714 |BD+40 2700                                                                                               |High Proper Motion Star        |13 51 18.8266462320 +39 58 52.015680588|082.7436305392687 +72.1388980119317| 71.083 -65.635    |9.49     |K0               |    ~     ~    
715 |BD+40 2688                                                                                               |High Proper Motion Star        |13 45 32.0718016800 +39 29 38.968823688|084.0644717446110 +73.2867572329519|-49.454 -32.929    |10.27    |F8               |    ~     ~    
716 |BD+40 2691                                                                                               |Star                           |13 48 03.1833617736 +39 37 58.909947420|083.2752035321331 +72.8372818184971|  2.270 -15.430    |9.80     |K2               |    ~     ~    
717 |BD+40 2695                                                                                               |Star                           |13 49 59.5379642664 +39 24 13.419209160|081.8573346480995 +72.7102080739416|   38.326 0.194    |9.44     |K2               |    ~     ~    
718 |BD+40 2699                                                                                               |Spectroscopic Binary           |13 51 14.8532996256 +39 39 59.543075988|081.9936050582326 +72.3552818349634|-89.385 -47.718    |9.89     |G5               |    ~     ~    
719 |V* CV CVn                                                                                                |Long-Period Variable Candidate |13 51 47.0968257408 +39 40 09.911965800|081.7792450401080 +72.2748916509096|  4.338 -19.639    |7.500    |M3               |    ~     ~    
720 |BD+40 2702                                                                                               |Star                           |13 52 04.3925452392 +39 35 15.566149212|081.4564037002456 +72.2854130420521| -28.665 -4.689    |10.14    |K0               |    ~     ~    
721 |BD+39 2685                                                                                               |Star                           |13 48 18.4201220928 +39 11 25.737508500|082.0384056032673 +73.0961470134140|    9.874 5.422    |9.84     |K0               |    ~     ~    
722 |BD+39 2688                                                                                               |Star                           |13 51 12.6417316272 +38 51 53.876546892|079.9470170981092 +72.8736757413727|  -7.649 31.073    |10.76    |G5               |    ~     ~    
723 |BD+39 2691                                                                                               |High Proper Motion Star        |13 52 12.4459032624 +38 49 03.384093684|079.4129478037029 +72.7511759383025|  7.560 -99.405    |9.31     |G0               |    ~     ~    
724 |V* R CVn                                                                                                 |Mira Variable                  |13 48 57.0415898280 +39 32 33.173805732|082.6558995825639 +72.7696701324155|  -1.115 -5.148    |7.40     |M6.5-9e          |    ~     ~    
725 |BD+40 2690                                                                                               |Star                           |13 48 02.9931276432 +39 26 29.925114972|082.7947742312151 +72.9664215765504|    0.576 1.284    |10.00    |~                |    ~     ~    
726 |TYC 3027-7-1                                                                                             |Star                           |13 48 14.1465954480 +39 28 13.737766188|082.7859678527061 +72.9204604657484| -18.794 19.137    |10.73    |~                |    ~     ~    
727 |TYC 3027-192-1                                                                                           |Star                           |13 50 43.9560098904 +39 30 32.674350276|081.8123557166816 +72.5331834820228|   0.833 -7.970    |10.88    |~                |    ~     ~    
728 |TYC 3030-35-1                                                                                            |Star                           |13 52 22.4918450784 +40 36 22.932906912|083.8050297875474 +71.5708760470648|  2.599 -11.830    |10.95    |~                |    ~     ~    
729 |TYC 3030-112-1                                                                                           |Spectroscopic Binary           |13 46 42.8376896280 +40 16 23.847650652|085.4304666652294 +72.5813451738282| -42.639 38.744    |10.41    |~                |    ~     ~    
730 |GSC 03030-00145                                                                                          |Double or Multiple Star        |13 50 02.2231417608 +40 05 26.591316864|083.5443084008177 +72.2474408825301| -16.459 -0.068    |10.266   |~                |    ~     ~    
731 |TYC 3030-161-1                                                                                           |Star                           |13 49 35.1926115864 +40 44 15.757070100|085.2642130627600 +71.8663207455948|   -2.283 5.997    |10.17    |~                |    ~     ~    
732 |TYC 3030-162-1                                                                                           |Star                           |13 49 58.8276379896 +41 00 40.519239804|085.7229423609995 +71.6219387661051|   4.694 -8.912    |10.93    |~                |    ~     ~    
733 |V* FU CVn                                                                                                |Eclipsing Binary               |13 52 09.7125433584 +41 17 41.660214324|085.4633274023119 +71.1298037812926|    1.211 2.790    |10.99    |~                |    ~     ~    
734 |TYC 3030-386-1                                                                                           |Star                           |13 47 42.7255921584 +40 30 26.530706916|085.5383598933571 +72.2815895669771| 18.585 -13.373    |10.72    |~                |    ~     ~    
735 |TYC 3027-156-1                                                                                           |Star                           |13 52 06.3946757616 +39 56 26.604452328|082.3193569808873 +72.0511695071941|    5.999 0.694    |10.74    |~                |    ~     ~    
736 |BD+39 2683                                                                                               |Star                           |13 47 46.7037501816 +38 53 35.759125500|081.4949440972143 +73.3687148359684| 14.781 -38.848    |9.04     |K0               |    ~     ~    
737 |HD 120048                                                                                                |High Proper Motion Star        |13 46 19.0616824776 +38 30 13.044486168|081.1083049824819 +73.8389665565425|-49.254 -13.604    |5.919    |G9III            |    ~     ~    
738 |BD+39 2679                                                                                               |High Proper Motion Star        |13 46 54.6517654968 +38 31 55.050351780|080.9153414258659 +73.7323753265430|-135.521 -22.791   |9.14     |F8V              |    ~     ~    
739 |HD 120164                                                                                                |High Proper Motion Star        |13 46 59.7747544992 +38 32 33.705180240|080.9059185649294 +73.7127005196010|-134.192 -22.362   |5.501    |K0III            |    ~     ~    
740 |BD+39 2681                                                                                               |Star                           |13 47 11.5254969480 +38 23 12.245996688|080.3914759596394 +73.7838772732875| -13.059 -2.599    |10.44    |K2III            |    ~     ~    
741 |BD+39 2682                                                                                               |Star                           |13 47 31.3694855304 +38 21 38.938019688|080.1719661103703 +73.7505847453509| 14.066 -13.068    |10.99    |G3III            |    ~     ~    
742 |BD+39 2686                                                                                               |Star                           |13 48 24.4257573120 +38 31 04.483135596|080.2106699864889 +73.5170408134693|  -31.853 0.324    |9.39     |G5               |    ~     ~    
743 |HD 120245                                                                                                |Spectroscopic Binary           |13 47 31.5514507488 +37 53 35.867017788|078.8599201100238 +74.0441187015119|   7.459 -2.272    |6.980    |K0III            |    ~     ~    
744 |BD+38 2481                                                                                               |Star                           |13 49 28.5538423632 +37 53 46.413891132|078.0188635297863 +73.7382414331021| 34.885 -20.934    |9.62     |F2               |    ~     ~    
745 |BD+38 2476                                                                                               |High Proper Motion Star        |13 45 18.5350621848 +37 17 42.515587464|078.1191635340941 +74.7589470407592| 19.380 -68.767    |10.81    |F8               |    ~     ~    
746 |BD+38 2478                                                                                               |High Proper Motion Star        |13 47 12.8853705168 +37 36 43.613886816|078.1875123364166 +74.2657951267935| 43.496 -88.299    |8.38     |G8III            |    ~     ~    
747 |HD 120566                                                                                                |High Proper Motion Star        |13 49 29.1835921848 +37 17 19.126667328|076.2483780655812 +74.0969248451172|-137.189 54.166    |9.00     |G2V              |    ~     ~    
748 |HD 120893                                                                                                |High Proper Motion Star        |13 51 27.0174986208 +37 43 07.946655168|076.6904614366082 +73.5298108703946| -56.339 -1.761    |8.36     |F6V              |    ~     ~    
749 |BD+37 2450                                                                                               |Star                           |13 45 05.4318084336 +36 38 15.145763964|076.1958285996519 +75.1899811644435|  -18.012 5.237    |9.59     |K1III            |    ~     ~    
750 |BD+37 2453                                                                                               |High Proper Motion Star        |13 45 53.0555521080 +36 27 50.546086632|075.2817005263745 +75.1614892259585| -98.875 64.311    |10.11    |K3III            |    ~     ~    
751 |BD+37 2455                                                                                               |Star                           |13 47 54.7745440440 +37 05 14.299245096|076.3192520162491 +74.4689158494460| 38.624 -23.960    |10.23    |F8               |    ~     ~    
752 |BD+37 2456                                                                                               |Star                           |13 48 03.7315421760 +36 22 12.159405876|074.0258084560985 +74.8528288112648|  10.472 -2.511    |9.58     |F2               |    ~     ~    
753 |HD 120600                                                                                                |Spectroscopic Binary           |13 49 44.9260076448 +36 37 58.182960360|074.1461110784473 +74.4251416519346| -81.351 21.762    |6.430    |A7IV-V           |    ~     ~    
754 |BD+37 2458                                                                                               |Star                           |13 51 50.7556252992 +36 49 11.441521740|073.8766178393921 +73.9710780698263|     19.1 -29.5    |10.37    |G0               |    ~     ~    
755 |HD 120830                                                                                                |Spectroscopic Binary           |13 51 06.0731517216 +36 15 36.117982440|072.4322567030730 +74.3963140201306| -60.700 -3.834    |9.34     |F2               |    ~     ~    
756 |BD+36 2416                                                                                               |Spectroscopic Binary           |13 51 40.8142096080 +36 05 46.572146628|071.6868049834983 +74.3812205687265| -6.960 -17.192    |8.99     |K5               |    ~     ~    
757 |TYC 2543-120-1                                                                                           |Star                           |13 45 12.9808526088 +36 43 37.201509624|076.4192748915123 +75.1167598141615|    5.822 3.378    |10.56    |~                |    ~     ~    
758 |TYC 2543-574-1                                                                                           |Star                           |13 45 09.3649964424 +37 05 26.895736464|077.5723700227572 +74.9079995898808|   10.907 1.340    |10.89    |~                |    ~     ~    
759 |TYC 2543-628-1                                                                                           |Star                           |13 46 37.6425017184 +36 46 45.228039852|075.9411976902396 +74.8573835522551|   3.896 -5.268    |10.14    |~                |    ~     ~    
