C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:27:08

dec >=0&rah >=15.25&rah< 15.5&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 3071

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
861 |BD+42 2596                                                                                               |Star                                |15 25 16.9997729808 +41 59 39.515812872|068.4613453074766 +55.3874728995080|  12.272 -1.327   |8.81     |K0                |    ~     ~    |    1|  507.305   pc  |  -4.1692     +4.1692  |paral   |2020yCat.1350....0G
862 |BD+42 2599                                                                                               |Star                                |15 25 48.6830153016 +41 50 26.586876336|068.1596114903717 +55.3256764099538|  1.222 -16.031   |9.19     |M0                |    ~     ~    |    1|  771.903   pc  |  -8.9375     +8.9375  |paral   |2020yCat.1350....0G
863 |BD+42 2600                                                                                               |Star                                |15 25 53.5695802320 +42 11 34.943056800|068.7567523112137 +55.2325158520383| -0.760 -14.322   |9.14     |F5                |    ~     ~    |    1|  177.749   pc  |  -0.4107     +0.4107  |paral   |2020yCat.1350....0G
864 |BD+42 2604a                                                                                              |Red Giant Branch star               |15 28 58.2547625112 +42 13 05.342032956|068.5800460992032 +54.6710461858647|-10.929 -21.593   |10.30    |K2                |    ~     ~    |    1|  450.167   pc  |  -2.3913     +2.3913  |paral   |2020yCat.1350....0G
865 |BD+42 2604                                                                                               |Star                                |15 28 40.366 +42 14 39.90              |068.645069 +54.719251              |      -21.1 0.0   |10.6     |F8                |    ~     ~    |    0|                |                       |        |                   
866 |BD+42 2607                                                                                               |High Proper Motion Star             |15 29 32.3330420328 +42 05 07.184899320|068.3171336953516 +54.5964388292150| -54.802 20.710   |10.24    |F8                |    ~     ~    |    1|  209.644   pc  |  -0.5758     +0.5758  |paral   |2020yCat.1350....0G
867 |BD+42 2586                                                                                               |Star                                |15 18 38.7083106216 +41 49 05.579709132|068.6746858076248 +56.6293287747054|  -7.555 -1.885   |10.43    |K2                |    ~     ~    |    1| 1550.388   pc  | -43.7474    +43.7474  |paral   |2020yCat.1350....0G
868 |BD+41 2594                                                                                               |Star                                |15 20 27.7192992168 +41 08 12.080122980|067.3283487906884 +56.4579089492541| -40.950 22.871   |9.21     |F8                |    ~     ~    |    1|  156.245   pc  |  -0.4004     +0.4004  |paral   |2020yCat.1350....0G
869 |HD 136710                                                                                                |Star                                |15 20 45.3939525912 +41 14 47.858496180|067.4998101651394 +56.3794025373349|  -4.946 19.036   |8.50     |F2                |    ~     ~    |    1|  139.445   pc  |  -0.3675     +0.3675  |paral   |2020yCat.1350....0G
870 |BD+41 2598                                                                                               |Red Giant Branch star Candidate     |15 23 33.2961388824 +41 02 49.695021060|066.9462553779691 +55.9079978294542|-15.124 -10.363   |9.57     |K2                |    ~     ~    |    1|  437.579   pc  |  -2.5849     +2.5849  |paral   |2020yCat.1350....0G
871 |BD+42 2595                                                                                               |Spectroscopic Binary                |15 24 44.6890457640 +41 38 46.887865332|067.9017425998807 +55.5622423551810| -10.296 40.798   |9.11     |F0                |    ~     ~    |    1|  202.355   pc  |  -2.6575     +2.6575  |paral   |2020yCat.1350....0G
872 |BD+42 2597                                                                                               |Star                                |15 25 42.1721410248 +41 36 24.292809972|067.7653827413839 +55.3959583520477|  3.835 -15.103   |9.89     |K0                |    ~     ~    |    1|  596.338   pc  |  -4.4808     +4.4808  |paral   |2020yCat.1350....0G
873 |HD 137896                                                                                                |Double or Multiple Star             |15 27 08.9720272344 +41 33 12.877668648|067.5744656346963 +55.1426081111684|    9.772 9.126   |8.39     |G5                |0.0100  0.0    |    1|  158.899   pc  |  -5.3023     +5.3023  |paral   |2020yCat.1350....0G
874 |HD 138198                                                                                                |Star                                |15 29 03.5906597784 +41 33 36.319488624|067.4592023520545 +54.7913563985513| -13.146 36.746   |7.90     |K0                |    ~     ~    |    1|  289.360   pc  |  -1.4234     +1.4234  |paral   |2020yCat.1350....0G
875 |BD+41 2604                                                                                               |Star                                |15 28 25.6057719648 +41 22 30.065166984|067.1848959475628 +54.9443227436714|  25.207 10.047   |9.14     |F8                |    ~     ~    |    1|  132.286   pc  |  -0.2065     +0.2065  |paral   |2020yCat.1350....0G
876 |BD+41 2605                                                                                               |Star                                |15 28 35.8357103184 +41 04 30.326301696|066.6616083904549 +54.9709130064361| -17.442 24.517   |10.51    |G0                |    ~     ~    |    1|  277.909   pc  |  -0.9577     +0.9577  |paral   |2020yCat.1350....0G
877 |NGC 5899                           NGC 5899                                                              |Seyfert 2 Galaxy                    |15 15 03.252 +42 02 59.47              |069.398446 +57.215534              |            ~ ~   |13.21    |~                 |2.087 0.668    |    1|   37.84    Mpc |  -2.90       +2.90    |T-F     |2020ApJ...902..145K
878 |NGC 5914                           NGC 5914A                          NGC 5914                           |Galaxy towards a Group of Galaxies  |15 18 43.8230103240 +41 51 55.586904048|068.7507511668212 +56.6023036797322|    1.530 1.881   |     ~   |~                 |0.800 0.336    |    1|   80.46    Mpc |                       |redshift|2007ApJ...655..790C
879 |NGC 5923                           NGC 5923                                                              |LINER-type Active Galaxy Nucleus    |15 21 14.2397923272 +41 43 33.390003036|068.3033579682772 +56.1822326782486|            ~ ~   |     ~   |~                 |0.710 0.497    |    1|   82.47    Mpc |                       |redshift|2007ApJ...655..790C
880 |NGC 5929                           NGC 5929                                                              |Seyfert 1 Galaxy                    |15 26 06.1564333536 +41 40 14.384294616|067.8471986423665 +55.3093589092354|            ~ ~   |14.00    |~                 | 0.91  0.87    |    1|   40.8     Mpc |                       |redshift|2011MNRAS.413..813C
881 |HD 136008                                                                                                |Star                                |15 16 52.5007127112 +41 24 23.814211572|068.0928378190533 +57.0507534254233|  -5.145 -2.850   |9.61     |F8                |    ~     ~    |    1|  221.558   pc  |  -1.4874     +1.4874  |paral   |2020yCat.1350....0G
882 |TYC 3048-31-1                                                                                            |High Proper Motion Star             |15 19 34.4474911248 +41 55 40.261924236|068.7904057550621 +56.4347671617745| -71.537 69.660   |10.50    |~                 |    ~     ~    |    1|  241.633   pc  |  -0.7240     +0.7240  |paral   |2020yCat.1350....0G
883 |TYC 3048-40-1                                                                                            |Star                                |15 19 38.7173406240 +42 01 06.415459860|068.9432777124604 +56.3996583114170|   -2.866 1.136   |10.18    |~                 |    ~     ~    |    1|  786.782   pc  |  -6.9331     +6.9331  |paral   |2020yCat.1350....0G
884 |TYC 3048-76-1                                                                                            |High Proper Motion Star             |15 18 45.7445699184 +42 26 59.862020028|069.7730060205766 +56.4480779136176| -58.837 40.875   |10.94    |~                 |    ~     ~    |    1|  234.329   pc  |  -0.5820     +0.5820  |paral   |2020yCat.1350....0G
885 |TYC 3048-79-1                                                                                            |High Proper Motion Star             |15 19 48.2444893008 +42 27 05.222049300|069.6857521489779 +56.2621022058897| 38.632 -87.412   |10.70    |~                 |    ~     ~    |    1|  165.901   pc  |  -0.3853     +0.3853  |paral   |2020yCat.1350....0G
886 |TYC 3048-83-1                                                                                            |Star                                |15 19 14.4590507856 +42 10 14.169835884|069.2434915073288 +56.4342961860488| -38.326 15.037   |10.68    |~                 |    ~     ~    |    1|  213.703   pc  |  -0.4750     +0.4750  |paral   |2020yCat.1350....0G
887 |TYC 3048-169-1                                                                                           |Star                                |15 18 22.8668009345 +41 22 05.463225778|067.9006375010985 +56.7856650771382| -20.710 -2.058   |10.94    |~                 |    ~     ~    |    1|  302.2609  pc  | -22.6211    +22.6211  |paral   |2018yCat.1345....0G
888 |TYC 3048-179-1                                                                                           |Star                                |15 18 34.4539166184 +41 23 40.826249232|067.9320245279762 +56.7442155370477|   -9.318 5.152   |10.84    |~                 |    ~     ~    |    1|  838.153   pc  | -11.3102    +11.3102  |paral   |2020yCat.1350....0G
889 |TYC 3048-998-1                                                                                           |Star                                |15 16 07.6392834480 +42 19 27.340565916|069.7871002426491 +56.9505648270526|  -25.909 9.837   |10.56    |~                 |    ~     ~    |    1|  216.802   pc  |  -0.6486     +0.6486  |paral   |2020yCat.1350....0G
890 |TYC 3048-1015-1                                                                                          |Star                                |15 15 15.6729313392 +41 51 08.920920744|069.0280122752267 +57.2304057427811| -27.017 -7.741   |9.75     |~                 |    ~     ~    |    1|  640.041   pc  |  -5.2436     +5.2436  |paral   |2020yCat.1350....0G
891 |TYC 3055-103-1                                                                                           |High Proper Motion Star             |15 26 57.6283248600 +41 25 36.017061924|067.3697177979201 +55.2033170958526|-65.937 -26.561   |10.39    |~                 |    ~     ~    |    1|  134.818   pc  |  -0.5071     +0.5071  |paral   |2020yCat.1350....0G
892 |TYC 3055-200-1                                                                                           |Star                                |15 22 20.0511370824 +41 40 18.593260248|068.1243368430871 +55.9954925846057|  -0.675 -8.073   |10.66    |~                 |    ~     ~    |    1| 1430.411   pc  | -28.6450    +28.6450  |paral   |2020yCat.1350....0G
893 |TYC 3055-274-1                                                                                           |Star                                |15 27 18.1112802552 +41 24 44.383409424|067.3223395416325 +55.1435714372758| 11.552 -12.023   |10.77    |~                 |    ~     ~    |    1|  224.633   pc  |  -0.5248     +0.5248  |paral   |2020yCat.1350....0G
894 |TYC 3055-284-1                                                                                           |High Proper Motion Star             |15 21 22.2286815840 +40 51 21.639880584|066.7660285024263 +56.3513525661721| -52.195 -6.162   |10.40    |~                 |    ~     ~    |    1|  223.814   pc  |  -0.5811     +0.5811  |paral   |2020yCat.1350....0G
895 |TYC 3055-289-1                                                                                           |Star                                |15 27 55.7427092904 +41 21 53.769654468|067.1999376199329 +55.0378471593526| -35.250 -3.909   |10.60    |~                 |    ~     ~    |    1|  383.377   pc  |  -4.2330     +4.2330  |paral   |2020yCat.1350....0G
896 |TYC 3055-355-1                                                                                           |High Proper Motion Star             |15 23 21.3526333248 +42 02 30.511636116|068.6877624674185 +55.7251342276108| 11.931 -56.767   |9.88     |~                 |    ~     ~    |    1|  187.290   pc  |  -0.4244     +0.4244  |paral   |2020yCat.1350....0G
897 |TYC 3055-432-1                                                                                           |Star                                |15 29 11.1646573752 +41 51 24.995225556|067.9545896570686 +54.7080968962585|   -2.366 4.228   |10.43    |~                 |    ~     ~    |    1|  933.968   pc  | -12.2994    +12.2994  |paral   |2020yCat.1350....0G
898 |TYC 3055-545-1                                                                                           |High Proper Motion Star             |15 24 27.8603009712 +41 27 06.570261216|067.5855494930079 +55.6555136588787|-64.405 -12.303   |10.50    |~                 |    ~     ~    |    1|  270.197   pc  |  -0.8542     +0.8542  |paral   |2020yCat.1350....0G
899 |TYC 3055-670-1                                                                                           |Star                                |15 21 29.2194677520 +41 57 10.039130712|068.6792793244681 +56.0835597719104|-29.695 -10.361   |10.61    |~                 |    ~     ~    |    1|  188.669   pc  |  -0.3951     +0.3951  |paral   |2020yCat.1350....0G
900 |TYC 3055-706-1                                                                                           |High Proper Motion Star             |15 27 00.2155212312 +41 59 02.234728500|068.3198699735578 +55.0779921725518| -43.683 82.899   |10.93    |~                 |    ~     ~    |    1|   81.510   pc  |  -0.2930     +0.2930  |paral   |2020yCat.1350....0G
901 |TYC 3055-722-1                                                                                           |Star                                |15 22 15.4307 +42 02 49.707            |068.7823581 +55.9221437            |     -17.5 15.9   |10.77    |~                 |    ~     ~    |    0|                |                       |        |                   
902 |TYC 3055-733-1                                                                                           |Star                                |15 20 18.2147117184 +42 02 27.886087212|068.9286086621405 +56.2756034847548|  31.812 27.113   |10.25    |~                 |    ~     ~    |    1|  153.116   pc  |  -0.3212     +0.3212  |paral   |2020yCat.1350....0G
903 |TYC 3055-746-1                                                                                           |Star                                |15 25 44.0619326784 +42 10 45.146356752|068.7447949615142 +55.2642414034316| 35.652 -28.312   |10.46    |~                 |    ~     ~    |    1|  170.672   pc  |  -1.1127     +1.1127  |paral   |2020yCat.1350....0G
904 |TYC 3055-855-1                                                                                           |Star                                |15 20 44.2963640904 +42 12 50.756197644|069.1944973604936 +56.1548927633245|   3.877 -2.336   |10.53    |~                 |    ~     ~    |    1|  265.034   pc  |  -0.8780     +0.8780  |paral   |2020yCat.1350....0G
905 |TYC 3055-927-1                                                                                           |Star                                |15 21 13.2093237816 +42 23 49.500853764|069.4724634467256 +56.0230891562190|  -0.166 -2.287   |10.98    |~                 |    ~     ~    |    1|  561.987   pc  | -11.9068    +11.9068  |paral   |2020yCat.1350....0G
906 |TYC 3055-1099-1                                                                                          |Star                                |15 22 11.0533988424 +41 37 09.002427600|068.0439935955635 +56.0347544623951|  -8.112 17.969   |10.04    |G5IV-V            |    ~     ~    |    1|   93.293   pc  |  -0.1201     +0.1201  |paral   |2020yCat.1350....0G
907 |GSC 03055-01181                                                                                          |Double or Multiple Star             |15 27 36.210000 +41 40 05.83320        |067.739865827 +55.035844843        |     -12.4 33.6   |10.807   |~                 |    ~     ~    |    0|                |                       |        |                   
908 |TYC 3055-1233-1                                                                                          |Star                                |15 28 48.5729460528 +41 30 14.937256800|067.3802592998974 +54.8484062196275|  -12.517 6.162   |9.75     |~                 |    ~     ~    |    1|  614.100   pc  |  -4.5254     +4.5254  |paral   |2020yCat.1350....0G
909 |TYC 3055-1298-1                                                                                          |High Proper Motion Star             |15 27 20.8770167328 +42 10 05.031972984|068.6088820898389 +54.9753440730008| 39.693 -90.560   |9.82     |~                 |    ~     ~    |    1|   77.576   pc  |  -0.0716     +0.0716  |paral   |2020yCat.1350....0G
910 |TYC 3055-1340-1                                                                                          |Star                                |15 29 47.3514687360 +41 12 06.674981472|066.8041741223775 +54.7265879133890|    0.252 9.667   |10.82    |~                 |    ~     ~    |    1|  436.053   pc  |  -2.1296     +2.1296  |paral   |2020yCat.1350....0G
911 |TYC 3055-1359-1                                                                                          |Star                                |15 29 40.9990457496 +42 03 59.636948976|068.2757806740774 +54.5741647466284|   -5.756 0.894   |10.50    |~                 |    ~     ~    |    1| 1497.006   pc  | -27.3405    +27.3405  |paral   |2020yCat.1350....0G
912 |TYC 3055-1598-1                                                                                          |Star                                |15 28 39.4602542952 +41 48 47.247736428|067.9155104355655 +54.8134490995227|   -8.216 6.679   |9.88     |~                 |    ~     ~    |    1| 1226.242   pc  | -19.6981    +19.6981  |paral   |2020yCat.1350....0G
913 |TYC 3058-195-1                                                                                           |Star                                |15 22 27.8267562864 +42 45 06.907625028|069.9817629952146 +55.7121834317563|  -5.893 -0.664   |10.57    |~                 |    ~     ~    |    1| 1222.942   pc  | -19.1435    +19.1435  |paral   |2020yCat.1350....0G
914 |TYC 3058-342-1                                                                                           |Star                                |15 23 15.4799599056 +42 46 15.885045732|069.9494853363539 +55.5662862758196|   -2.232 3.470   |10.76    |~                 |    ~     ~    |    1|  352.634   pc  |  -2.3254     +2.3254  |paral   |2020yCat.1350....0G
915 |TYC 3058-436-1                                                                                           |Star                                |15 20 15.3739999440 +42 51 58.576151952|070.3659859207282 +56.0735459962272|  -11.105 5.490   |10.42    |~                 |    ~     ~    |    1| 1709.402   pc  | -40.3243    +40.3243  |paral   |2020yCat.1350....0G
916 |TYC 3058-663-1                                                                                           |Star                                |15 26 15.4021433256 +42 45 57.137837544|069.7039760361501 +55.0339647316937| -1.255 -19.873   |10.89    |~                 |    ~     ~    |    1|  242.512   pc  |  -0.8351     +0.8351  |paral   |2020yCat.1350....0G
917 |BD+44 2448                                                                                               |Star                                |15 18 43.3050681528 +44 02 38.521476816|072.5294277975171 +56.0079785537562| -1.883 -12.088   |10.00    |M                 |    ~     ~    |    1|  555.185   pc  |  -3.3905     +3.3905  |paral   |2020yCat.1350....0G
918 |BD+44 2443                                                                                               |Star                                |15 17 02.7490358976 +43 41 18.672393732|072.0818806257485 +56.4025272182316|  4.741 -25.062   |9.83     |M0                |    ~     ~    |    1|  714.541   pc  |  -6.2800     +6.2800  |paral   |2020yCat.1350....0G
919 |BD+44 2445                                                                                               |Star                                |15 17 45.6091788000 +43 32 21.423088932|071.7555988168860 +56.3230131553040|  14.493 -2.519   |10.39    |F2                |    ~     ~    |    1|  304.990   pc  |  -1.2092     +1.2092  |paral   |2020yCat.1350....0G
920 |BD+44 2449                                                                                               |Double or Multiple Star             |15 19 13.19829 +43 28 52.8031          |071.51879237 +56.08623081          |     -3.86 7.14   |9.64     |G0                |    ~     ~    |    0|                |                       |        |                   
921 |BD+44 2456                                                                                               |Star                                |15 21 36.0128287800 +43 35 44.817182520|071.4987952884600 +55.6400827956600|    3.923 3.051   |9.59     |K5                |    ~     ~    |    1|  771.664   pc  |  -7.0265     +7.0265  |paral   |2020yCat.1350....0G
922 |BD+43 2481                                                                                               |Red Giant Branch star               |15 16 05.0748891048 +43 22 19.346197116|071.6274845520828 +56.6627647049904|  -27.489 9.645   |9.72     |K0                |    ~     ~    |    1|  813.670   pc  |  -8.4081     +8.4081  |paral   |2020yCat.1350....0G
923 |HD 135964                                                                                                |High Proper Motion Star             |15 16 23.2721261160 +43 25 39.769924800|071.6946756732380 +56.5937108742180|  -63.039 1.099   |9.29     |G                 |    ~     ~    |    1|  110.097   pc  |  -0.1527     +0.1527  |paral   |2020yCat.1350....0G
924 |TYC 3051-1-1                                                                                             |Spectroscopic Binary                |15 18 57.3924826248 +43 20 45.436168284|071.3101341600598 +56.1704471558767|-63.743 -65.532   |10.25    |~                 |    ~     ~    |    1|   73.083   pc  |  -0.3445     +0.3445  |paral   |2020yCat.1350....0G
925 |TYC 3051-191-1                                                                                           |Star                                |15 18 06.8775496488 +43 49 40.831235616|072.2182914248504 +56.1767601363210|  28.096 10.935   |10.54    |~                 |    ~     ~    |    1|  144.204   pc  |  -0.3098     +0.3098  |paral   |2020yCat.1350....0G
926 |TYC 3051-795-1                                                                                           |Star                                |15 15 21.7485475416 +42 43 45.800852520|070.5726511838484 +56.9744365640505|   5.629 16.638   |10.32    |~                 |    ~     ~    |    1|  458.674   pc  |  -2.5246     +2.5246  |paral   |2020yCat.1350....0G
927 |TYC 3051-800-1                                                                                           |Star                                |15 16 05.8860524856 +43 00 01.801662084|070.9783048110183 +56.7682289093180|  -9.225 11.023   |10.91    |~                 |    ~     ~    |    1|  340.044   pc  |  -1.4338     +1.4338  |paral   |2020yCat.1350....0G
928 |TYC 3051-889-1                                                                                           |Star                                |15 15 44.2165382520 +43 38 14.291450484|072.1222636516772 +56.6436926118945|   -4.126 3.208   |10.13    |~                 |    ~     ~    |    1|  309.761   pc  |  -1.3433     +1.3433  |paral   |2020yCat.1350....0G
929 |TYC 3051-978-1                                                                                           |High Proper Motion Star             |15 17 05.6966826288 +43 24 05.890368528|071.5812262870052 +56.4785830150449| -81.181 28.891   |10.86    |~                 |    ~     ~    |    1|  139.558   pc  |  -0.2064     +0.2064  |paral   |2020yCat.1350....0G
930 |TYC 3051-1208-1                                                                                          |Spectroscopic Binary                |15 16 57.9487295520 +42 53 09.001703076|070.6961996416220 +56.6482821492906| -5.253 -14.548   |10.73    |~                 |    ~     ~    |    0|                |                       |        |                   
931 |BD+40 2868                                                                                               |Star                                |15 17 47.9554880592 +39 53 17.798014356|065.2927605233275 +57.2161687559556|   -3.943 1.430   |9.99     |M0                |    ~     ~    |    1| 1784.121   pc  | -50.6111    +50.6111  |paral   |2020yCat.1350....0G
932 |BD+40 2874                                                                                               |Star                                |15 21 32.5828368168 +40 09 51.071729616|065.5295467423528 +56.4591980039998|  22.961 12.988   |8.40     |K0                |    ~     ~    |    1|  286.771   pc  |  -1.7763     +1.7763  |paral   |2020yCat.1350....0G
933 |BD+40 2878                                                                                               |Rotating Variable                   |15 23 19.3865200800 +40 22 16.850395704|065.7778977664681 +56.0860999462348|   3.688 -2.204   |8.88     |K0                |    ~     ~    |    0|                |                       |        |                   
934 |BD+40 2879                                                                                               |Double or Multiple Star             |15 23 34.00 +40 22 39.6                |065.77310 +56.03936                |            ~ ~   |9.3      |~                 |    ~     ~    |    0|                |                       |        |                   
935 |BD+40 2885                                                                                               |Star                                |15 26 07.1169648000 +39 54 51.570788328|064.8045115240867 +55.6434356163798|    4.841 1.188   |9.35     |K0                |    ~     ~    |    1|  568.408   pc  |  -3.3924     +3.3924  |paral   |2020yCat.1350....0G
936 |HD 136327                                                                                                |Star                                |15 18 37.5408678648 +39 36 33.865791660|064.7311880226205 +57.1147470101510|  4.506 -36.038   |8.53     |F0                |    ~     ~    |    1|  136.058   pc  |  -0.3221     +0.3221  |paral   |2020yCat.1350....0G
937 |BD+40 2871                                                                                               |Star                                |15 19 38.3933336544 +39 40 05.161502388|064.7693744665181 +56.9119233407450| -3.137 -33.028   |9.27     |G0IV              |    ~     ~    |    1|  192.282   pc  |  -5.5680     +5.5680  |paral   |2020yCat.1350....0G
938 |BD+40 2875                                                                                               |Star                                |15 21 54.3072717288 +39 40 47.038579500|064.6444414053367 +56.4813165221432| -19.206 -7.465   |10.59    |F8                |    ~     ~    |    1|  344.317   pc  |  -2.0984     +2.0984  |paral   |2020yCat.1350....0G
939 |BD+40 2876                                                                                               |Star                                |15 22 29.4986515152 +39 30 48.812963580|064.3124948506908 +56.3994208118324|  0.812 -15.690   |8.64     |K0                |    ~     ~    |    1|  325.214   pc  |  -1.6605     +1.6605  |paral   |2020yCat.1350....0G
940 |HD 137071                                                                                                |Star                                |15 22 37.3710895176 +39 34 53.261856840|064.4253245057967 +56.3627057301764|  1.905 -14.018   |5.532    |K4III             |    ~     ~    |    1|  755.744   pc  | -43.2931    +43.2931  |paral   |2020yCat.1350....0G
941 |BD+40 2880                                                                                               |Star                                |15 23 39.6289139904 +39 38 08.523552264|064.4591323553735 +56.1564772754320|  -8.887 15.356   |10.80    |K0                |    ~     ~    |    1|  350.459   pc  |  -4.9988     +4.9988  |paral   |2020yCat.1350....0G
942 |BD+39 2853                                                                                               |Star                                |15 15 44.9977116624 +39 03 20.728939248|063.9148635349423 +57.7649367428139|-15.406 -28.857   |9.45     |F8                |    ~     ~    |    1|  111.418   pc  |  -0.1639     +0.1639  |paral   |2020yCat.1350....0G
943 |BD+39 2857                                                                                               |High Proper Motion Star             |15 16 20.3757711720 +39 16 20.568777744|064.2728067580475 +57.6120270351825| 12.535 -56.466   |10.51    |F8                |    ~     ~    |    1|  301.514   pc  |  -1.3000     +1.3000  |paral   |2020yCat.1350....0G
944 |HD 135926                                                                                                |Star                                |15 16 27.4942028832 +38 47 24.912727692|063.3792204268419 +57.6775113887437| -21.296 -5.718   |8.36     |G5                |    ~     ~    |    1|  244.702   pc  |  -1.0958     +1.0958  |paral   |2020yCat.1350....0G
945 |BD+39 2862                                                                                               |Star                                |15 19 35.6792748720 +38 38 18.334222620|062.9101966605202 +57.1000358918800|  -9.336 -0.228   |10.41    |K0                |    ~     ~    |    1|  869.263   pc  |  -8.2362     +8.2362  |paral   |2020yCat.1350....0G
946 |BD+39 2863                                                                                               |Star                                |15 19 41.6206148160 +38 30 30.287825424|062.6682133408403 +57.1016061082085|  6.436 -12.579   |9.66     |K0                |    ~     ~    |    1|  607.718   pc  |  -4.5057     +4.5057  |paral   |2020yCat.1350....0G
947 |BD+39 2864                                                                                               |Star                                |15 20 11.1122707824 +39 09 35.835382620|063.8192026771795 +56.8998027309511|  -2.654 -5.159   |10.36    |K0                |    ~     ~    |    1|  702.149   pc  |  -6.3106     +6.3106  |paral   |2020yCat.1350....0G
948 |BD+39 2867                                                                                               |High Proper Motion Star             |15 23 14.3927687016 +39 07 50.613286692|063.5874975751998 +56.3206943497522|  66.074 52.279   |9.13     |G0                |    ~     ~    |    1|  118.742   pc  |  -0.2002     +0.2002  |paral   |2020yCat.1350....0G
949 |BD+39 2868                                                                                               |Star                                |15 23 59.1635248056 +38 43 32.218740012|062.8261336926716 +56.2398447387544|  -1.087 -0.677   |10.68    |K5                |    ~     ~    |    1| 1275.836   pc  | -21.1608    +21.1608  |paral   |2020yCat.1350....0G
950 |BD+38 2640                                                                                               |Star                                |15 19 12.0039004392 +38 24 45.068004432|062.5215141229397 +57.2120732141752|-33.908 -10.391   |9.46     |F8                |    ~     ~    |    1|  134.849   pc  |  -0.2218     +0.2218  |paral   |2020yCat.1350....0G
951 |BD+38 2645                                                                                               |Double or Multiple Star             |15 20 27.0691105752 +38 25 36.378480504|062.4778087391671 +56.9677599499965|  -7.747 -8.855   |10.227   |K2                |    ~     ~    |    1| 1173.433   pc  | -17.6249    +17.6249  |paral   |2020yCat.1350....0G
952 |BD+38 2648                                                                                               |Star                                |15 22 54.1239248784 +37 52 32.114722548|061.3581116065934 +56.5684471382516|  1.386 -13.380   |9.01     |K0                |    ~     ~    |    1|  354.811   pc  |  -8.2459     +8.2459  |paral   |2020yCat.1350....0G
953 |BD+38 2649                                                                                               |Star                                |15 23 07.7547006480 +37 55 38.019733968|061.4404222263870 +56.5173015865481|  -0.497 37.651   |9.21     |K0                |    ~     ~    |    1|  332.602   pc  |  -1.3828     +1.3828  |paral   |2020yCat.1350....0G
954 |BD+38 2651                                                                                               |Star                                |15 24 12.8567013864 +38 09 06.925779648|061.7922092942468 +56.2760031839461| 14.626 -27.368   |9.21     |K0                |    ~     ~    |    1|  515.225   pc  |  -2.9200     +2.9200  |paral   |2020yCat.1350....0G
955 |BD+40 2881                                                                                               |Star                                |15 24 41.6025300144 +39 38 55.972221540|064.4216857319518 +55.9582979239068|   -3.126 9.574   |9.93     |K8                |    ~     ~    |    1|  899.928   pc  |  -9.5565     +9.5565  |paral   |2020yCat.1350....0G
956 |BD+39 2869                                                                                               |High Proper Motion Star             |15 24 48.7349056104 +38 31 42.965860476|062.4341741857356 +56.1085272900465|  -52.907 7.784   |9.47     |F2                |    ~     ~    |    1|  149.741   pc  |  -0.2489     +0.2489  |paral   |2020yCat.1350....0G
957 |BD+39 2871                                                                                               |Spectroscopic Binary                |15 25 41.3456416488 +38 36 08.395491816|062.5220249952347 +55.9285180496859|-24.788 -28.274   |9.38     |K0                |    ~     ~    |    1|  116.143   pc  |  -2.0989     +2.0989  |paral   |2020yCat.1350....0G
958 |BD+39 2872                                                                                               |Star                                |15 27 09.00908 +39 29 35.5239          |064.01218394 +55.51644480          |    8.75 -37.62   |9.27     |F5                |    ~     ~    |    0|                |                       |        |                   
959 |BD+39 2874                                                                                               |High Proper Motion Star             |15 28 17.0688248616 +38 37 23.500039044|062.4374572097231 +55.4233388440247| 20.913 -54.422   |9.73     |F8                |    ~     ~    |    1|  193.226   pc  |  -0.7654     +0.7654  |paral   |2020yCat.1350....0G
960 |HD 138100                                                                                                |Star                                |15 28 31.2763409280 +38 43 25.408960248|062.6022219661606 +55.3642962777304|   39.473 0.575   |6.676    |F0                |    ~     ~    |    1|   59.412   pc  |  -0.0932     +0.0932  |paral   |2020yCat.1350....0G
961 |BD+38 2662A                                                                                              |Variable Star                       |15 28 09.8612361024 +38 21 38.036938536|061.9834274705651 +55.4801764778439| -19.261 21.351   |9.47     |K0                |    ~     ~    |    1|  111.851   pc  |  -0.3178     +0.3178  |paral   |2020yCat.1350....0G
962 |BD+38 2662B                                                                                              |Star                                |15 28 10.1205460224 +38 21 44.164861452|061.9862215283196 +55.4791238085991| -19.533 20.441   |10.31    |~                 |    ~     ~    |    1|  112.576   pc  |  -0.1648     +0.1648  |paral   |2020yCat.1350....0G
963 |StKM 1-1234                                                                                              |Star                                |15 20 22.9304140560 +39 06 54.940527900|063.7266171412216 +56.8698405507941|  -2.203 -5.619   |10.77    |M2                |    ~     ~    |    1| 1678.134   pc  | -40.5523    +40.5523  |paral   |2020yCat.1350....0G
964 |StKM 1-1241                                                                                              |Spectroscopic Binary                |15 25 15.6570264120 +39 35 31.116970104|064.2890131533706 +55.8600414531672|-92.129 111.376   |10.51    |K7                |    ~     ~    |    1|   45.252   pc  |  -0.7433     +0.7433  |paral   |2020yCat.1350....0G
